,Thal_MDl_L,SN_pc_L,Putamen_L,OFCant_R,Cerebellum_3_L,N_Acc_L,Vermis_9,Occipital_Inf_L,Parietal_Inf_L,LC_R,Heschl_L,Frontal_Med_Orb_L,Precentral_L,Pallidum_R,Vermis_4_5,Thal_VPL_R,Cerebellum_8_R,Vermis_6,Thal_MGN_R,Hippocampus_R,Vermis_10,LC_L,Thal_PuM_L,Occipital_Inf_R,Thal_LGN_R,Thal_LGN_L,Frontal_Sup_Medial_R,Pallidum_L,OFCmed_L,Occipital_Sup_L,OFClat_R,Cerebellum_Crus2_L,Insula_L,ACC_sup_L,Frontal_Inf_Orb_2_R,Cerebellum_9_L,Cerebellum_Crus1_R,Cerebellum_6_L,Postcentral_L,Cuneus_L,Rolandic_Oper_L,Cingulate_Mid_L,Cingulate_Post_R,Cingulate_Post_L,Thal_PuM_R,ParaHippocampal_R,Temporal_Pole_Sup_R,OFClat_L,Calcarine_L,Caudate_L,ACC_pre_R,Paracentral_Lobule_R,OFCpost_R,Hippocampus_L,Thal_PuA_R,Vermis_1_2,Precentral_R,Thal_AV_R,Vermis_3,Thal_MDm_R,Vermis_7,N_Acc_R,Cuneus_R,SupraMarginal_L,Thal_VL_L,Frontal_Inf_Oper_L,Lingual_R,Putamen_R,ACC_sub_R,Lingual_L
Thal_MDl_L,1.0,0.13001209386727042,-0.42442768719918406,-0.09790594862663529,-0.06246538917431902,-0.3686792646079307,-0.35081138914636456,0.18872722016732266,0.6064741956940373,0.06571701109315417,0.18079088906790702,0.1975322540203471,0.2709801732474178,-0.61119502529362,0.49902347014973053,-0.27341300724092715,-0.27621248842523927,0.49168673533160784,-0.1486813741010519,-0.3877163960328386,-0.23731869123318663,0.03254905418307045,0.1352765973134869,0.058405239463363595,0.23830114847242428,0.4435543757438083,-0.01606912694315186,-0.3929905945636746,0.08343842495516984,0.6043335152017995,0.3469185530196166,-0.056228081603041685,-0.04098157074915765,-0.25767133366424644,-0.3329374084804042,0.03607116802009801,0.368327981201449,0.26125740556257226,0.14509989506501225,0.5627868784096881,-0.35459173798546995,0.29225875099636156,0.46641061256396943,0.39541874677338945,-0.3272250219157848,-0.21804003715970105,0.41817827996756807,0.11005832576864936,0.12065130701659212,-0.34046122042091764,-0.031217283692570284,0.10113511692721751,-0.0295026645862551,-0.2394923129603078,-0.27877123667365106,-0.29192227085183425,0.011291816862286835,-0.10933461791610861,0.0019550016703790717,0.2509585810601126,0.1565239023710798,-0.01723098582204013,0.5876637730126557,0.49300694160118974,0.15606717708115111,-0.24910634438080628,0.38908007491290003,-0.6166352046877828,0.13122976947404932,0.5632972845169437
SN_pc_L,0.13001209386727042,1.0,0.3868608820011884,0.14033320781917466,0.6464245995521178,-0.1257430872074574,0.32424021295409383,0.2204165534286148,-0.03777713392451175,-0.18286951710718613,0.10851442707607886,-0.21382278225085724,0.3302195448572644,0.3208096953465152,0.29648239491091904,0.5831894897499887,0.2576941286658624,-0.2864746615334772,0.37943447009705933,0.3236228238299794,0.35604438104534536,-0.2474396906107972,0.4741272075968296,0.0480486626464162,-0.14829265380140166,0.02387832784851189,0.5570066588882292,0.14638514020055965,0.05384350074042873,-0.02471369646379021,-0.33260004394460774,-0.06262083353085675,0.343516104369778,0.3861427585088188,0.40970737870926727,-0.014011191791633239,0.10145673647063369,-0.1627666062992436,0.5380268302514585,0.26771467141696487,0.478226430615287,0.37828211930278904,0.1788563715147051,0.21493433195841882,0.5876581416803833,0.3886146846066678,0.40856598233379837,0.2557570593107678,0.3998793937985964,0.2549913061706136,0.4513459551125328,0.5904963122327406,-0.2979174823883063,0.49366389238945946,0.5812532369531883,0.597791486246527,0.5183752762406844,0.515856887951792,0.6650438518585914,0.39152940145967824,-0.049514129731935475,-0.1178043024687892,-0.26000953670982374,0.2359657877059943,0.6387367797767022,0.40893253900437104,0.35508815547634437,0.41856890753214804,0.005530865680970127,-0.17876641780374894
Putamen_L,-0.42442768719918406,0.3868608820011884,1.0,0.11523182631701767,0.5832868286494425,0.16799558507148046,0.3402313703344682,-0.006638445353568591,-0.157483935653463,-0.13363310648387455,0.3242011170046199,-0.15685641204704248,0.46805520594572453,0.785532811533403,-0.023291052293583785,0.7063712878243706,0.48187074937101915,-0.38946812247671264,0.49603546942468696,0.7039395324367298,0.24226630680596764,-0.1525664953054303,0.5010384729715307,-0.011191050939595625,0.08382007819303243,-0.11729790565855083,0.6697075087274176,0.8415669198845195,-0.04208651348490024,-0.47588192835444565,-0.354131485906519,-0.006163511119882526,0.7788306338428684,0.67792279047093,0.5325908819894782,-0.04143586839615483,-0.207891386012464,-0.17004326655040103,0.623938335552393,-0.1918727463848834,0.8559184683923231,0.4963731426332362,0.23292894817897186,0.1464559787201687,0.7565801339723423,0.5307011624636097,-0.10689646885786236,0.11780452413183247,0.17251848375898665,0.8784325683060237,0.3149672023858252,0.5028557237743934,0.016785945089371403,0.7828246080138707,0.6725624558178168,0.6192019011487292,0.5869961223943836,0.6815697230267348,0.668936015796751,0.46757909783717383,-0.05028788352925044,-0.026617863055603826,-0.45863338964735934,0.1485510238971813,0.6030504297759788,0.7762717533662886,0.09891470868038633,0.7811113811059579,-0.16110124656070482,-0.28080616180311274
OFCant_R,-0.09790594862663529,0.14033320781917466,0.11523182631701767,1.0,0.1248753702467453,0.2419491197598596,0.11186352750999838,0.05926465252188851,-0.16436615521351308,-0.12068035594589488,0.1296521249508103,-0.04014799603462741,0.02540960084272081,0.206154469267173,-0.046644685280219825,0.14814298969967993,0.09263826478051873,-0.1952205185648622,0.24118159132035047,0.24388248657490333,-0.025434158490081016,-0.11346392396626992,0.2826790797264417,-0.09659356539105465,0.1664884437532038,0.13968803167349642,0.04460299856726369,0.0905707555906119,0.1816957803450285,-0.010033922533068344,0.08065118030061902,-0.15717123395424656,0.07536956743226442,0.09844977992215154,-0.0007829094455609401,0.030463339068355567,-0.20604784561453118,0.0487059763696844,0.08271388614686101,-0.08709172531202043,0.1360408702872853,0.004528055290057697,-0.04128904325136579,0.013452678399643495,0.2237907153876627,0.14097784852599285,0.013351915374301821,0.25835026713498666,-0.0036767988798711427,0.016892999872364388,0.12646421015624162,0.15099947719689694,0.0244265429921688,0.204801692030925,0.07872515562565517,0.1812039932687361,0.2196082262495848,0.007854584808517428,0.2388880821336739,-0.00022671538232804571,0.22748842586200355,0.10048227864936958,-0.2854771453506651,-0.11698650780231683,0.20993142344431584,-0.08317651991169063,-0.03732904707177327,0.16744219906937674,0.017362245318632258,-0.08214659928902894
Cerebellum_3_L,-0.06246538917431902,0.6464245995521178,0.5832868286494425,0.1248753702467453,1.0,-0.09875544862302794,0.48054916461590763,0.09420785131021134,-0.03632114307457331,-0.23130411643569815,0.17958767968647035,-0.1830380224277303,0.3738310879491053,0.5959326721636266,0.41456090687324126,0.7855771843936262,0.31383910256612163,-0.2700206525331796,0.566053429077388,0.695549023541537,0.5301765149765835,-0.36191187315125545,0.4523029047290235,0.08574441495635352,-0.10701727440372362,-0.04919925265781188,0.729910137669719,0.3342861265280359,0.17169536300453178,-0.11609899130170151,-0.40360550550704904,0.09951842772687136,0.5542711736393953,0.6645170872512765,0.4283521502672401,0.14689622118461065,0.04669426775447581,-0.012750993689677708,0.6405754550284148,0.2783983360486674,0.6160831632381476,0.42676093247827435,0.2755240931389093,0.027319210704688162,0.7830842163885119,0.6341226738014739,0.15216762485429727,0.1848902287948751,0.6380553668813672,0.606641018562715,0.24645147050618468,0.6142814893877465,-0.2151255594325401,0.6562195812477224,0.7235266328024614,0.7796591869741225,0.6855536252827081,0.6909250673114758,0.733342197734451,0.5205143898930243,0.0016394068325899442,-0.1088238976020642,-0.2930517926035296,0.28770162783814973,0.6748573893283858,0.47253850581320844,0.4264882257025544,0.670449822595613,-0.10623246402357271,-0.06061477641321974
N_Acc_L,-0.3686792646079307,-0.1257430872074574,0.16799558507148046,0.2419491197598596,-0.09875544862302794,1.0,-0.10865815070563699,-0.050547470124789426,-0.08119936610263004,-0.01352748225365446,-0.011219399143588715,-0.1345929395441787,0.06793912157139577,0.19344643691028618,-0.1381170814823713,0.03060706535828646,0.3121832198773752,0.021352260754692796,0.14098683958236144,0.16761665629472608,-0.2021348671375966,0.3167565286368783,0.014633202181796432,-0.03488767938116531,0.2496987051346568,0.017988206244113097,-0.1043341782562134,0.2540310934362943,0.023625485390353917,-0.2515281407582048,0.12339197859109911,-0.11204398713881122,-0.07215327322698521,-0.14983803319150693,-0.1219370106435115,-0.21714553312426876,-0.1365773191238674,0.14570094979912648,-0.036512867277393724,-0.11777432666497238,0.07382104070502707,-0.012384177066850974,-0.007539981701000413,0.18250723119810422,-0.020062745008304246,0.013106225262959613,-0.30458996916734904,-0.06683734191304286,-0.2361422677653527,0.13184027150590705,0.0745205225214993,-0.0764094280393171,0.34089175299546265,0.005613034747325315,-0.07550516411252346,-0.13507976073565234,0.01503111379765764,-0.24095174619733015,-0.07222711451633884,-0.06838832680542777,0.08824385262551154,0.035889493075146356,-0.07816231303061617,-0.15501029538933042,-0.09254414399542542,0.00015653343122167413,-0.055537125562453306,0.15306374861296587,-0.07268254217624104,-0.056050494483123346
Vermis_9,-0.35081138914636456,0.32424021295409383,0.3402313703344682,0.11186352750999838,0.48054916461590763,-0.10865815070563699,1.0,0.03932526182384496,-0.4499219540790105,-0.1792563996114661,-0.10333770591309309,-0.24177562541145758,-0.13574301767124888,0.41429646793468894,-0.07295843790434647,0.424494929604633,0.13053098633957794,-0.4979731125828857,0.21142122356569945,0.3590895370289198,0.5502580138788635,-0.34020836747025246,0.08077332958175301,-0.011112922009079934,-0.47046052718952497,-0.2979599167227383,0.22575814216822096,0.15719067623664085,0.027613055238038458,-0.37366673000327927,-0.4375603839459591,-0.062276071322907696,0.1875226664376046,0.3820894296143074,0.37399244161181816,0.09652142981065213,-0.2011236029542236,-0.2282611123412792,0.11626061386277904,-0.1850261559725519,0.4109204498844451,-0.09299786956289213,-0.2621493080017628,-0.3479632186490478,0.5125983854129679,0.2975146338258921,0.029811224689793775,0.059635915726108345,0.35678970769634466,0.24421535667242153,0.07012219097921117,0.22390799610676915,-0.2637916518446382,0.3546822969185596,0.43326289871984,0.6301398347175003,0.2040217994812137,0.40939669155799757,0.3363631498425847,0.026803854155094314,-0.1352296715725495,-0.03319852046992681,-0.505935246203433,-0.18528599343903268,0.23765361537229132,0.2669071842747392,0.011875709990339878,0.47794114236017904,-0.13996328235512018,-0.4314917061107497
Occipital_Inf_L,0.18872722016732266,0.2204165534286148,-0.006638445353568591,0.05926465252188851,0.09420785131021134,-0.050547470124789426,0.03932526182384496,1.0,0.14574823015053864,0.04874992565769166,0.16175373218662362,-0.10650399014841608,0.15396713901202386,-0.024412123762755176,0.14186359879862817,0.055308518697556236,-0.07288551157789883,0.0350582373626288,0.09076210867667957,0.021806688832257705,-0.048281352323774396,-0.0238837255139636,0.1968480369070962,0.10692104753457006,0.04434775592817451,0.19184802844939725,0.19367526104634322,-0.0569520560272384,0.08693850232599916,0.20624026971253248,-0.06650625972020877,-0.04453900093358638,0.08124380645082485,-0.053174689960015176,0.05145032086011343,0.10111336300406734,0.06214786722965563,0.01593796103971749,0.12546053125614606,0.1363762930715536,0.01724929875917064,0.17002923696527433,0.10996470917428654,0.09583976991814307,0.020775208026788963,0.06474124549197649,0.08457509918683198,0.058001503244960326,0.07270642698613453,0.01577461305686688,-0.00870150518149643,0.1383067550597112,-0.03486571113328874,0.033838145628738395,-0.018566650695759614,0.03842817393208624,0.19665157541859607,-0.002399702248900982,0.16073941280239484,0.045211158343792586,-0.09217770602995042,-0.02203935914075733,0.09677325761769771,0.18007343903229542,0.15784563754866296,-0.03882842459141279,0.13544746175281447,0.02397461782458963,-0.034405803813728396,0.11168974430378865
Parietal_Inf_L,0.6064741956940373,-0.03777713392451175,-0.157483935653463,-0.16436615521351308,-0.03632114307457331,-0.08119936610263004,-0.4499219540790105,0.14574823015053864,1.0,0.04829796527099129,0.34310344211958094,0.16617191692290803,0.42968257175036306,-0.3775744592744785,0.2961595634609366,-0.20467620122159064,-0.11159757757935918,0.32808036894335746,-0.06314694536023523,-0.13360157758318733,-0.24439857323180247,-0.03583115682483855,0.15202589440900374,0.09402259529324686,0.4431449007636061,0.3758537095022728,0.015835336231186287,-0.04089285517854018,0.12124396372063621,0.5396493979215158,0.29080310396449605,0.12695954141017995,0.10917643821296086,-0.26197932959094516,-0.32292270888064456,-0.1515722221183401,0.1256685698915461,0.1267177505835392,0.32018741266561374,0.5375897730976839,-0.1591451072769008,0.5160659799620972,0.6379141544130431,0.6254105767095476,-0.24594904544491944,-0.10876184837199718,0.23852657834856028,0.039992139371021536,-0.009760380867812495,-0.10147433008033713,0.03432882908612213,0.18578336652691396,0.09743241189628252,-0.06757211502984674,-0.28629507572092644,-0.30925747906126494,0.04440138449959327,-0.14012041593598604,-0.00421979899007144,0.15322920649015082,0.19436348478678797,0.13683287084520365,0.6509673332767313,0.7179621180091474,0.10389458616158581,-0.06182125113699574,0.22628320942501218,-0.4141391389396377,0.1906795882115905,0.48135252580094084
LC_R,0.06571701109315417,-0.18286951710718613,-0.13363310648387455,-0.12068035594589488,-0.23130411643569815,-0.01352748225365446,-0.1792563996114661,0.04874992565769166,0.04829796527099129,1.0,0.20199218094476307,0.08786312117798897,0.07107567800522871,-0.1574181927223575,-0.010883266968722959,-0.21839084345526333,0.07133347118651316,0.18297444263950213,-0.23413528602352537,-0.1464095670007328,-0.18734036911883983,0.13574493113521044,0.05558807693942063,-0.25204651986781734,0.06866642319763562,0.18916204793486166,-0.07469731896377754,-0.11758386588945183,0.09335325675658765,0.04835634938767567,0.22761283249828798,-0.03720779001216279,-0.0255505394088042,-0.06593014914499783,-0.07150092391949267,-0.1176261383760521,0.20644631439565797,-0.07861656541559199,-0.089868671350512,-0.2227126182504478,-0.07649999863620373,0.020235364980771567,-0.021986516558043935,0.08257707993592728,-0.18704636263214577,-0.1954660788435231,-0.16341893301189367,-0.026801312483680905,-0.21035242563098672,-0.04666244321248823,-0.12715883868754982,-0.1013460215969556,0.1397316697698253,-0.0662354286527887,-0.16862250471415266,-0.3192556209918862,-0.10047314655945855,-0.16298665772353482,-0.056293707257053134,-0.16433315953571773,0.16142010848797717,-0.03164603525764056,0.05616823316055891,0.009841736821541817,-0.042479131082765326,-0.024766508334166278,0.08059603568749904,-0.18847883837282348,0.1234301280173171,0.08330176633196042
