,Temporal_Inf_L,Thal_VL_R,ACC_sub_R,OFCant_R,Thal_LGN_L,Fusiform_R,Frontal_Inf_Tri_R,Temporal_Sup_R,Cuneus_L,Cerebellum_Crus1_L
Temporal_Inf_L,1.0,0.3271529843721823,-0.06913330521056262,0.22020646012302936,0.1336667018219106,-0.04946689016235441,0.08497658373827924,0.08050367268220132,-0.09521720410460312,-0.041813721369640955
Thal_VL_R,0.3271529843721823,1.0,-0.202789966185087,0.17451164428558313,-0.12615790702553276,0.47612739450275027,0.8352616982889296,0.7258619898282267,-0.136328756015468,-0.4072451297030871
ACC_sub_R,-0.06913330521056262,-0.202789966185087,1.0,0.017362245318632258,-0.03687204534311893,0.009369500441857583,-0.1557407156750938,-0.13280539247239703,0.09387214196721824,0.08222968541950866
OFCant_R,0.22020646012302936,0.17451164428558313,0.017362245318632258,1.0,0.13968803167349642,-0.07001173025643376,0.026232560532418854,0.05121897998367977,-0.08709172531202043,0.002933946565122763
Thal_LGN_L,0.1336667018219106,-0.12615790702553276,-0.03687204534311893,0.13968803167349642,1.0,-0.152345924491787,-0.24299200879081298,-0.3665113423626066,0.1316579422680748,0.29312147206557476
Fusiform_R,-0.04946689016235441,0.47612739450275027,0.009369500441857583,-0.07001173025643376,-0.152345924491787,1.0,0.6595255908113735,0.7031197696034158,0.4806821088558477,-0.04084293140559572
Frontal_Inf_Tri_R,0.08497658373827924,0.8352616982889296,-0.1557407156750938,0.026232560532418854,-0.24299200879081298,0.6595255908113735,1.0,0.8420526662765089,-0.004482554636271364,-0.33498766983084194
Temporal_Sup_R,0.08050367268220132,0.7258619898282267,-0.13280539247239703,0.05121897998367977,-0.3665113423626066,0.7031197696034158,0.8420526662765089,1.0,0.17068214831957412,-0.3650780297568787
Cuneus_L,-0.09521720410460312,-0.136328756015468,0.09387214196721824,-0.08709172531202043,0.1316579422680748,0.4806821088558477,-0.004482554636271364,0.17068214831957412,1.0,0.3337723117339053
Cerebellum_Crus1_L,-0.041813721369640955,-0.4072451297030871,0.08222968541950866,0.002933946565122763,0.29312147206557476,-0.04084293140559572,-0.33498766983084194,-0.3650780297568787,0.3337723117339053,1.0
