,Vermis_7,Thal_MDl_R,Paracentral_Lobule_R,Thal_AV_L,Frontal_Inf_Tri_L,Cerebellum_4_5_R,Cerebellum_8_R,Thal_MDm_R,Thal_VA_L,Thal_LGN_R,Temporal_Inf_L,Frontal_Sup_2_L,Thal_MDl_L,Thal_LP_R,Cerebellum_9_R,Insula_R,Cerebellum_3_R,Calcarine_L,Red_N_L,ParaHippocampal_L,Thal_VL_R,Raphe_M,Postcentral_L,Temporal_Inf_R,Thal_AV_R,N_Acc_R,N_Acc_L,Temporal_Pole_Sup_L,VTA_R,Amygdala_L,Vermis_3,Cerebellum_9_L,Frontal_Inf_Oper_R,Olfactory_L,Fusiform_R,Lingual_R,Frontal_Sup_2_R,Postcentral_R,OFCmed_R,Vermis_10,Angular_R,Rectus_R,Caudate_R,Frontal_Sup_Medial_R,Precentral_R,Olfactory_R,Frontal_Inf_Orb_2_R,Occipital_Mid_R,OFCant_R,Frontal_Inf_Orb_2_L,Cerebellum_6_L,Thal_PuL_R,Cerebellum_Crus2_R,Precuneus_R,Temporal_Mid_R,LC_L,Vermis_6,Thal_MDm_L,Thal_VPL_R,ACC_sup_L
Vermis_7,1.0,-0.17008363477642072,0.012279886719192324,0.052951971505641654,0.08423321167951438,-0.10343287857706145,0.11442181006165186,-0.11218221600304834,-0.041856795227563234,0.19232643501217855,0.08681061957765462,0.0031201701139037417,0.1565239023710798,-0.054141688691296354,-0.008264688435120801,-0.1479571351351964,-0.07481212106636155,0.07917672560942571,0.007504634449517586,-0.0850946159540864,-0.13886304078415498,-0.13782412132358152,0.019418729385143947,0.12421796135068132,-0.16314487086979476,-0.017194715034507164,0.08824385262551154,-0.10058335138061764,-0.28149172820398777,0.06617289724651258,0.019515579464432182,-0.23105115728027098,-0.19121527547599346,0.011419338946181024,-0.06924386519209415,0.18005356197244884,-0.14016457136008995,0.0269027286053716,-0.17797119449736468,-0.07544146170800395,0.11557723935054157,-0.023394708293276053,-0.061056947393340076,-0.03397692629040665,-0.012583150926091215,0.0020689519106620704,-0.2006298591898135,-0.08892680504053029,0.22748842586200355,-0.09100741143250914,0.18232397606493064,0.10668797021491407,0.0044553483555334296,0.2267994905335238,0.09903452190570433,-0.04744241670477889,0.3397810646879265,0.022344182440969928,-0.14627275637549148,-0.09783704016147023
Thal_MDl_R,-0.17008363477642072,1.0,0.5115195445516239,0.5203980658686329,0.27038831350722825,0.5572570166023132,0.45282717171196657,0.5952056196780035,0.7585447280650238,0.023902075805958354,0.31159404644495003,0.5692432665349914,-0.380505797618502,0.6516592431308512,-0.21203401833167465,0.7367748883399854,0.6516755773724886,0.19595724579157617,0.06654383637086973,0.6085461597304764,0.8965674383119726,0.5282872900527905,0.5238222093773943,0.013663031509176412,0.7472208648784088,-0.11088366896066014,0.10590607034024446,-0.1341485734706239,0.7473832783892974,-0.0058313880783287765,0.6525000824527395,0.09070344257152266,0.6160446919733582,-0.16626189843228717,0.4112485913650625,0.12710470258135195,0.741628582421967,0.6212623084555814,0.08422789180711167,0.23229717500868843,-0.4979975891823866,0.2635369738018655,0.6660006565552051,0.6633729120192545,0.6382036315948455,-0.18267143331217686,0.5634003704894754,-0.14673343177902276,0.22070626820638603,0.24388419363761057,-0.068317609966744,0.2999224635364374,0.11580122786239748,-0.1806119910136516,0.01902451614024147,-0.037995368101322875,-0.3899638528599586,0.3496140578285079,0.7956585302643364,0.6871328152238751
Paracentral_Lobule_R,0.012279886719192324,0.5115195445516239,1.0,0.3376216759810478,0.3346748997506795,0.45708336697328666,0.3319366343998233,0.5081905588361835,0.5172556628583922,0.14770221651316276,0.4209707339081129,0.6783016767986201,0.10113511692721751,0.6310085904448773,-0.13553039741041953,0.4840015606826101,0.5440682275636091,0.19154662189809177,0.2727649437396597,0.6563760009010802,0.5905210888557898,0.37154336030763696,0.8536411960491348,0.09783631608133112,0.593280690898123,0.10706631658082329,-0.0764094280393171,0.09648692678822275,0.37395239140175013,0.0864622455360334,0.6690106812406068,-0.015148679607639241,0.5021663446977425,-0.16226500212668388,0.4395097428024918,0.35360566744134037,0.6493186767250478,0.8725726551242461,0.14243287706899424,0.2129525364607848,-0.21311568790027147,0.3458252407390565,0.41902355095197186,0.6585105821714766,0.7524754117810257,-0.03405081408023062,0.3740803404576426,-0.0800321585329223,0.15099947719689694,0.18434533289987645,-0.02622574848889242,0.3454395558969857,0.17586588663214273,0.24572417366194307,0.034643187648736584,-0.22165375674326437,-0.2638404875428172,0.5419689484225245,0.6046968961521199,0.5497536567130229
Thal_AV_L,0.052951971505641654,0.5203980658686329,0.3376216759810478,1.0,0.10523590713194889,0.15357564288957437,0.4357976844908499,0.2491447044994181,0.7331610909206742,0.20615730112488442,-0.03389533816279461,0.39019165738944184,-0.4653419908689069,0.35818639218196874,-0.11296158746968857,0.4677311673614758,0.24109989705335252,0.02849580816833041,-0.1377322413234581,0.34270124309447486,0.5310194472956037,0.09192425250793697,0.3670348400911736,8.70206218059923e-05,0.19242206676443557,0.166540808379985,0.5138845382064631,-0.01590699076936926,0.3744933390797858,-0.26490513216481,0.32638901907586665,-0.10424475475918038,0.4051464315318255,-0.13240037375446995,0.15154156670102906,0.09031664171842893,0.42333503301193953,0.443404180090839,-0.23199928048602045,0.09482730199972363,-0.303389811024947,0.1238104547399602,0.2329792929578312,0.3683073999021393,0.4410221914131419,-0.3907534090279461,0.12411878081335703,-0.1448625756692386,0.2500722373425556,0.004809788065429814,0.08545193885761114,0.42629775045764245,0.12643850736071816,-0.10479681264491866,0.08563878959144175,0.05415379696908114,-0.21788206528788082,0.1712607490193323,0.5305920542958161,0.30699304072946454
Frontal_Inf_Tri_L,0.08423321167951438,0.27038831350722825,0.3346748997506795,0.10523590713194889,1.0,0.2575574509810092,0.004278172464035877,0.3752855455526374,0.24018855354153615,0.14262873399453407,0.3244420900070248,0.6374610220568121,0.0832111545870912,0.36036484578022293,0.040068909441637296,0.3887642040131454,0.34061839119126797,0.23710073336643447,0.47866176487946044,0.2811350383800194,0.3935969426247595,0.1989795944743998,0.5274118717268302,0.20899936994624085,0.48399951464455293,-0.11158820584703992,-0.25969152007763535,-0.04228050384910689,0.17459951794131623,-0.08895559373394003,0.406858382570803,0.13217988956826304,0.4271517809302747,-0.04307347919379057,0.19480554596140398,0.06105443143537926,0.4553903181223441,0.42070437723935666,-0.05681328658802482,0.13982405639293874,0.06400178630467052,0.11341600145536518,0.5411232750644684,0.5936322563222538,0.4194546535093683,0.02336722443272099,0.20074936367086638,-0.09540318387604373,-0.03170770532431068,0.5934398582054127,0.01627383995388714,0.3853374789849815,-0.06857476594254287,0.28351868406706254,0.18124715876601258,-0.3546503083093191,-0.07624344006628704,0.3652013908743449,0.3329763107035585,0.48805032800921555
Cerebellum_4_5_R,-0.10343287857706145,0.5572570166023132,0.45708336697328666,0.15357564288957437,0.2575574509810092,1.0,0.2462552450682522,0.4037368969473734,0.3176092766637078,-0.3929757892863038,0.3005726414293432,0.36347039560196626,-0.05810887666416025,0.5586432721617034,-0.285745689000871,0.8170004117781854,0.8828096065203068,0.6708737773343029,0.12147372477839904,0.5581388093777198,0.683397077746285,0.823990057351193,0.4358795431008093,-0.20084531836088423,0.681964899352147,-0.09984022175344881,-0.2610455734136278,0.038364137087194494,0.6378441716166582,-0.046278686277292536,0.6080136730993736,0.1458808618001519,0.7167737371785385,-0.19238446983709057,0.7655070707783513,0.4938883683972578,0.6306190424132767,0.5310409856300463,-0.04841871433947138,0.687688221469928,-0.25951512950176525,0.25211439407725683,0.6294734877852184,0.5843367670325247,0.5270431476825238,-0.09811032501269847,0.5716199478497984,0.025124652579683177,0.013670433073740273,0.05286883052898776,-0.09840631129593568,0.06195855679290611,0.2805281807395353,-0.12895617619050304,0.30864354020165075,-0.35327148151113696,-0.24949765937734228,0.213964769021302,0.6819228292072511,0.5911485355841345
Cerebellum_8_R,0.11442181006165186,0.45282717171196657,0.3319366343998233,0.4357976844908499,0.004278172464035877,0.2462552450682522,1.0,0.14670667359935397,0.5398000573476086,0.03687076126034096,0.1426671664463139,0.2737276754803728,-0.27621248842523927,0.34115016515574614,-0.17581930974029664,0.3695915135067393,0.3157629036729634,0.03195100383837463,-0.11220968336361428,0.404152447149647,0.4711544102122842,0.24864412835360952,0.32044347426692593,-0.1811744024512183,0.2767252107756633,-0.03305370918635771,0.3121832198773752,-0.14729227565741526,0.3649094920428884,-0.04749823672136597,0.4028928054011365,-0.45894968309488826,0.27888259442631474,-0.1351972801710731,0.1392689542830594,0.1429798287220816,0.40569545249038064,0.31740996639217883,-0.045797903886428834,0.21258960428093715,-0.31230423826525106,0.27339799907070256,0.34509786293202277,0.3121864117203708,0.26274425078458336,-0.2010825529437001,0.3613694217375257,0.0043881671515411174,0.09263826478051873,-0.06287195672879209,-0.13086950036524034,0.19166935730926132,0.38784535966188555,-0.0719615931930899,0.08253119042284458,0.11141580626829893,-0.14908387528141268,0.14544426139366184,0.4618009227678909,0.35718626414801474
Thal_MDm_R,-0.11218221600304834,0.5952056196780035,0.5081905588361835,0.2491447044994181,0.3752855455526374,0.4037368969473734,0.14670667359935397,1.0,0.5368549538859131,0.2985964083954982,-0.0089646056424416,0.7084454527365307,0.2509585810601126,0.5613420681446886,-0.13073842792306015,0.4820975038726711,0.3445305181250864,0.2572165659453006,0.3778477717875615,0.45176464077107253,0.5559270481245344,0.14524131600512186,0.6052432025433122,0.34213353273355385,0.6415620303675856,-0.1849221217194521,-0.06838832680542777,-0.09585700911292767,0.5412317234743133,-0.018551933682841863,0.4379861709163169,0.23712331043130672,0.46479414547037473,-0.07904130825184263,0.6303680963100904,0.30861420386527866,0.3855816145815678,0.6296829806548797,0.19348136215417305,-0.03883342324513193,0.1682262365157686,0.04765374830844613,0.46265870682552107,0.6467960292475349,0.601483367743505,0.10806150410808817,0.20646651069729782,-0.13259877009868293,-0.00022671538232804571,0.270014927677864,0.3807430175707514,0.3686224933026801,-0.21824385573575017,0.38260458625640165,0.3472108248276585,0.1457851902041058,0.05894484831666947,0.7265399665483994,0.5661199565392768,0.43641010202384506
Thal_VA_L,-0.041856795227563234,0.7585447280650238,0.5172556628583922,0.7331610909206742,0.24018855354153615,0.3176092766637078,0.5398000573476086,0.5368549538859131,1.0,0.26702335055346066,0.13123380730736459,0.5945281769646694,-0.4153615449284503,0.6085616353120379,-0.15265730963217236,0.6021781444067638,0.42254985321988864,0.052800315373852665,-0.002554962225138886,0.506329885034617,0.7713718784753545,0.2625363192819435,0.6017039572247002,0.01605696162145203,0.5440330975624916,0.01552796424975013,0.38142258674382307,-0.0599975341448279,0.55417845626918,-0.11669738380858938,0.5672437157282254,-0.06064238441642489,0.5355577489342132,-0.06043972657351143,0.2412889830594515,0.13575648662693984,0.5818691586629096,0.6548194223125011,-0.05580567200068185,0.0804938557633901,-0.3714982470157065,0.22163213204759624,0.45980732982260325,0.6020926783883711,0.6244141313593508,-0.3312798730826822,0.3834392816462127,-0.1309944050941557,0.21826238363026385,0.1898105033403541,0.009125540091984767,0.4178183367500987,0.10655703597593918,-0.012494586872518938,0.03569563997328524,0.10905471569342993,-0.2849654957832684,0.38022021703475606,0.6846488526945749,0.5357201677995418
Thal_LGN_R,0.19232643501217855,0.023902075805958354,0.14770221651316276,0.20615730112488442,0.14262873399453407,-0.3929757892863038,0.03687076126034096,0.2985964083954982,0.26702335055346066,1.0,-0.16623340404149947,0.3477695659995949,0.23830114847242428,0.01918528307343489,0.15044246983231976,-0.21495046719711614,-0.3177404908923717,-0.23920162055408137,0.2557417917157929,-0.0018953672933467668,-0.05010678785203484,-0.5203614414137943,0.31828621592202494,0.4015620477009018,-0.10034764203303367,0.05219015654349134,0.2496987051346568,-0.018222199334793368,-0.13346724389715017,0.07656553683472972,0.00409560792530774,-0.03529464848107663,-0.10263183225399125,0.1306925166768661,-0.0954946265556776,-0.02031763757104702,-0.16538306410040704,0.21658868558621336,0.04367541834837109,-0.5050256188009792,0.35660877115782835,0.03574880326512792,-0.1268528151950838,0.043587002348307154,0.2022155631903623,-0.024099507633726782,-0.3499752141273343,-0.030993410316108864,0.1664884437532038,0.05153458644863843,0.3054364332735871,0.4436472521171398,-0.2540142562921709,0.5315054992595059,0.07483769611537501,0.2503716662560655,0.2931568200863861,0.4048475301696823,0.02555783565734701,-0.15046524403492748
