,Cuneus_L,Frontal_Inf_Tri_R,Precuneus_L,Parietal_Inf_R,Fusiform_L,Vermis_10,Putamen_L,Thal_MDm_L,Angular_L,Putamen_R,Cerebellum_Crus1_R,LC_R,Vermis_7,Supp_Motor_Area_R,Thal_PuL_R,Thal_PuI_R,Paracentral_Lobule_L,Frontal_Inf_Orb_2_R,ACC_pre_L,Frontal_Mid_2_L,Thal_PuI_L,Insula_R,Cerebellum_Crus2_R,Frontal_Sup_Medial_L,OFCpost_L,Cerebellum_8_R,Thal_IL_R,Thal_MDm_R,Postcentral_L,Thal_AV_L,Red_N_R,Cingulate_Mid_L,Frontal_Med_Orb_L,Parietal_Sup_R,Olfactory_R,Cerebellum_4_5_L,Thal_VPL_L,Calcarine_R,Vermis_1_2,Thal_MDl_L,Occipital_Inf_R,OFClat_L,Cerebellum_3_L,Occipital_Mid_R,N_Acc_R,Caudate_R,VTA_L,Occipital_Sup_R,Temporal_Inf_L,OFCmed_R,Cerebellum_4_5_R,ACC_sub_L,ParaHippocampal_L,Frontal_Sup_2_R,Thal_LGN_R,OFCpost_R,Hippocampus_R,Cerebellum_8_L,Thal_LGN_L,ParaHippocampal_R,OFCant_L,Thal_VA_R,Temporal_Mid_R,N_Acc_L,Vermis_6,Thal_LP_R,Thal_PuA_L,OFClat_R,OFCant_R,Temporal_Sup_L,Raphe_D,Paracentral_Lobule_R,Thal_VA_L,Fusiform_R,Rolandic_Oper_R,Amygdala_R,Thal_AV_R,Thal_PuL_L,LC_L,Thal_PuM_R
Cuneus_L,1.0,-0.004482554636271364,0.613130902795738,0.5797468346238764,0.17972490230152707,0.15678550748908968,-0.1918727463848834,0.3109475821477976,0.4881324964518348,-0.19338275098034485,0.3154861489815441,-0.2227126182504478,0.05756744741361355,0.22103016535698738,0.047481861613595196,0.006645547747936842,0.13767793944369727,-0.12351524179922677,0.24345204441231033,0.09085280732474553,-0.17525449377951582,0.06267698164050002,0.0005896756230725828,0.032933565808162285,0.08104367050282658,-0.14589302050457162,0.09201267632437747,0.29688202785078854,0.25967203804974365,-0.03357484557512482,0.11815182687179601,0.24763246872753913,0.11004248488579305,0.3687019859573156,0.09613232900095828,0.3355815602432789,0.15219420550421014,0.6100147020652014,0.01657296265831164,0.5627868784096881,0.22878489346845907,0.08770697362672278,0.2783983360486674,0.13217405258763093,0.07198377114146681,-0.21369389307249329,0.4211653254871092,0.26730843099627777,-0.09521720410460312,-0.0028187339034615407,0.27596226162190146,-0.1523816952876816,0.14939811634361339,-0.11268558081115602,0.06677747380723895,-0.11017694511750317,-0.07473144113532557,0.06997449196122964,0.1316579422680748,-0.02773270385113983,-0.14349872634329391,-0.19889116949314678,0.5194420473264673,-0.11777432666497238,0.30329413310073355,-0.005589210744412871,0.14970925167630783,-0.003955504764721457,-0.08709172531202043,0.029976732129409583,0.007861186143779795,0.23802684329254278,-0.13217881759727168,0.4806821088558477,-0.08303872581911072,0.293568367840641,0.013430605893377395,0.07380969987851416,-0.07708764639002744,-0.03588907355035101
Frontal_Inf_Tri_R,-0.004482554636271364,1.0,-0.15983856094987067,-0.09882096590010242,0.2766444550567409,0.42699186112102544,0.6485076165630408,0.2615179061306812,-0.48499112245755044,0.861795617988957,0.04108564012499719,-0.17356071037230952,-0.18666080944032268,0.25592472427090635,0.29053637150189143,0.6753048487852612,0.3328819209302614,0.5801579126412301,-0.4928627617532534,0.4891307289344165,0.39907609012280043,0.939381855489626,0.11272699973972752,0.785891342670073,-0.06463723061703772,0.38803007954362556,0.6100082278454028,0.5264222909426675,0.43814874266656906,0.46629630942467476,0.6278977835858478,0.25661782588230775,-0.15964956655693022,-0.41418714159506104,-0.24058490836698365,0.7168137329055367,0.6236943958844638,0.34484767377729997,0.7004699844961414,-0.36294922650473077,0.0898356045664935,0.14241753173067073,0.7577231512498686,-0.13139901444724503,-0.1027233603874993,0.7809938632152513,0.44092651724949083,-0.49732027226538295,0.08497658373827924,-0.17397101529940368,0.729952036492271,-0.04924010357905972,0.4932398469690485,0.7570377843929669,-0.15464423813295794,-0.18533942664843342,0.7585669266105612,0.21786935882471195,-0.24299200879081298,0.6886293469604751,-0.06855427593640336,0.7727287436572519,0.34059268082403205,-0.030720734466492105,-0.2809167563373336,0.6015035050995234,0.3395986648801678,-0.5119195472897782,0.026232560532418854,0.08136447464487011,0.37079245128031174,0.44350758586550215,0.6012232003511806,0.6595255908113735,0.8306722576228456,-0.2266039788590849,0.7246631119429136,0.5527082800444304,-0.08451169723043406,0.7517034920009636
Precuneus_L,0.613130902795738,-0.15983856094987067,1.0,0.8679293532168492,0.10988895574576911,-0.25519032770219324,-0.05806672413030549,0.5807897945334756,0.6702119982143394,-0.33780438573766186,0.25921382848957875,0.06802660894297491,0.23528444511512536,0.5376911179323778,0.26197350608699,-0.0262051970628594,0.440852608967037,-0.2884751579008055,0.3890233183973059,0.3675181053208707,-0.12331698028911049,-0.1361678429076041,-0.11790659994582926,0.07387151475341903,0.0737848100132767,-0.08353520936896934,0.046137199908562805,0.3460236271033684,0.4219232089723241,-0.09829048268849086,0.1455087188866771,0.6460613894391356,0.12195802115241958,0.8550029452841474,0.14555304603295877,0.16685140004125065,0.149655300425878,0.3440375755517598,-0.20452141936683985,0.6805872424021482,0.059846698544366896,0.12076660013037395,0.11804895774914925,0.16392876091466543,0.06600727128886767,-0.17820023422826126,0.25077810185184846,0.5656950368768164,-0.007886405626103758,0.16112073235455487,-0.04316450880831244,-0.11862672892875643,0.1443922327894843,-0.23519574419108044,0.44633401226857233,0.04338781769088288,-0.05901493638809626,0.023187203518046446,0.3685291915798415,0.051560857100790426,-0.05824068440706544,-0.3522538311479167,0.45682428747085624,-0.08548844379302656,0.4374517988116997,0.04796821046002168,0.15892273742011628,0.22054866827415923,-0.12252699693034974,0.26195213993140004,0.17998488994163545,0.24945257463357814,-0.05264198194085865,0.23788785555485512,-0.35598106902582316,0.2966290335227393,-0.0076907862299128195,0.11159363662888049,0.049799780774677546,-0.14651875834320943
Parietal_Inf_R,0.5797468346238764,-0.09882096590010242,0.8679293532168492,1.0,0.07273776843677933,-0.1500992519462946,-0.11591567171826347,0.5204795919572943,0.6222113010387984,-0.30323980500785713,0.2777770255230079,0.07996685136274372,0.21906252263292864,0.4869372865400731,0.21935881802926027,0.026186792741431358,0.37331004614026947,-0.20431004677014203,0.35046914303566057,0.3707810962805802,-0.13597250860747423,-0.08234917074559606,-0.014782100046022472,0.011950668320630081,0.056615080170624936,0.004927560249600455,0.00474524748951117,0.31235064294391257,0.3799254638429728,-0.11811605326216305,0.16108117395440832,0.486152334828445,0.07200353312895186,0.8143099790683591,0.1628408651821782,0.10103988120959936,0.08447293057209705,0.3138341386253617,-0.1963881813908067,0.594074280900247,0.05577387434997501,0.20399350290185722,0.08353387110391879,0.2304032831718361,0.05993806283022315,-0.11487393940588884,0.21740450842410605,0.5623665919559941,-0.05077505384609922,0.1100611714713461,-0.0004153580154926669,-0.11903494955434771,0.10374422616235134,-0.23602756379998374,0.3934500443734575,0.019280004316784897,-0.04143871293694461,-0.06662691712116603,0.2410020196626777,0.030003721017464267,-0.11392288460803951,-0.330238241865998,0.4677754369118693,-0.10431717148636803,0.40318002177536766,-0.015628612095010052,0.09255196454323109,0.20343666316126194,-0.17672777523872338,0.09419446976570933,0.20408737441700642,0.26683886477358076,-0.051515541772181775,0.2626732326470026,-0.27746974380446243,0.1802781887395942,-0.0303357083956023,0.05729166296154844,0.08995016603531909,-0.125336683511219
Fusiform_L,0.17972490230152707,0.2766444550567409,0.10988895574576911,0.07273776843677933,1.0,0.5133607208936527,0.460235562549051,0.28039253473379055,-0.3299710722293197,0.3343957150553435,0.07396698111504779,-0.013929904539285751,0.07938860833996551,0.32785699569808596,0.08944970262882303,0.43366402888008576,0.2983208898164933,0.38518528619783077,-0.12351120173857452,0.21037979206926932,0.6292106211831235,0.4052973282849759,0.5035481398069748,0.45115631895882946,0.4040606072525401,0.3317260369718395,0.388692325670741,0.16946160423468334,0.600862235234081,0.12669305433912864,0.3199005350076762,0.33058670714483457,-0.03838014488198947,-0.13263568485698787,0.03497783115836272,0.5797483360529658,0.6236637707682214,0.4889586285369036,0.597080506388952,0.05239103389326727,-0.06290978411108787,0.15622601733183503,0.6399667993908251,0.199826301076892,0.005777958446515511,0.36634741445794017,0.3942753046114922,-0.40571402463528206,0.6595119521137097,0.14281429770842755,0.6191277266332533,-0.15209365644546846,0.699128819860459,0.5426284338333803,-0.2009811882406372,-0.23367288828886998,0.3175281363709086,-0.25599639601028706,0.0649122291556802,0.23417023139303536,-0.03189990502624347,0.46242639943113456,-0.03826021569256331,-0.19681682550179488,-0.2658766427740761,0.481538406916361,0.6336945055029392,-0.25771408054718314,0.13497709793794566,0.7137041604949138,0.34586983407433797,0.5374084693376161,0.2861328596809829,0.29080294390398825,0.4870874670721124,0.2636690055924139,0.4863143702099387,0.5566150965855653,-0.5103946196930114,0.6238628641802842
Vermis_10,0.15678550748908968,0.42699186112102544,-0.25519032770219324,-0.1500992519462946,0.5133607208936527,1.0,0.24226630680596764,-0.14185648733348466,-0.38309944007934715,0.4203145168562759,0.03507975718079615,-0.18734036911883983,-0.07544146170800395,-0.23614144523689978,-0.142050194930747,0.3673753485491032,-0.13647542000567225,0.41018394405108144,-0.41302844092356883,-0.03689379894583819,0.30140923298340805,0.5265393828855125,0.43684420489589876,0.24458143076444397,0.05282956498101116,0.21258960428093715,0.26164573699761684,-0.03883342324513193,0.16432814172252008,0.09482730199972363,0.19035562597049824,-0.10775682507582941,-0.13513596904985675,-0.4578170500331765,-0.09649197213264864,0.5605227919561261,0.36628713271183483,0.45097837002344854,0.6207584407441636,-0.23731869123318663,-0.027804402782850346,-0.04942484713560651,0.5301765149765835,0.06057263526097309,-0.0489536737606033,0.399180029653558,0.3570004140031049,-0.4341818690998,0.24404799710867817,-0.21037312583442597,0.687688221469928,-0.03225853601013894,0.24561400836732633,0.40876493560645116,-0.5050256188009792,-0.3101688684538589,0.33886587434800125,-0.09565426590482203,-0.32262570086038095,0.23770524536973378,-0.20274754471032266,0.471884587330312,0.15618766139322948,-0.2021348671375966,-0.3017081047382757,0.22445445140386433,0.22609104819241477,-0.42016757230101015,-0.025434158490081016,0.2703309218724679,0.1646372400837801,0.2129525364607848,0.0804938557633901,0.39280952058575325,0.6029689699083521,-0.03999340892146421,0.3677253904306635,0.2485891468499048,-0.5175189818713927,0.4979085820159015
Putamen_L,-0.1918727463848834,0.6485076165630408,-0.05806672413030549,-0.11591567171826347,0.460235562549051,0.24226630680596764,1.0,0.31578653893424385,-0.5536587806182833,0.7811113811059579,-0.207891386012464,-0.13363310648387455,-0.05028788352925044,0.3788211268886462,0.40528973084811787,0.66284059629835,0.4697603771139627,0.5325908819894782,-0.3371359367682515,0.4777364847645969,0.6904874373895227,0.6817833178533936,0.1628788936773033,0.7788749529048467,-0.02196441401513661,0.48187074937101915,0.6417379346791627,0.46757909783717383,0.623938335552393,0.5897882731598215,0.5638995043445854,0.4963731426332362,-0.15685641204704248,-0.2293473500361013,-0.33091327713268714,0.539568685038477,0.714463781677221,0.11550707414579003,0.6192019011487292,-0.42442768719918406,-0.011191050939595625,0.11780452413183247,0.5832868286494425,-0.1183419166105027,-0.026617863055603826,0.6033331150145979,0.2925603791119185,-0.4284271882952524,0.30810048465005807,-0.045732993400922656,0.43519282836387263,-0.1111856893603329,0.5393251969090307,0.6875673873928595,0.08382007819303243,0.016785945089371403,0.7039395324367298,0.0645290610929143,-0.11729790565855083,0.5307011624636097,0.12877842007535562,0.8216955211556659,-0.015043424862825273,0.16799558507148046,-0.38946812247671264,0.6667169054466605,0.49937021044161684,-0.354131485906519,0.11523182631701767,0.5413151982555258,0.39825645830795336,0.5028557237743934,0.8267086631780987,0.24874447700732566,0.5982359541383021,-0.0934637933974183,0.6815697230267348,0.6583271443371594,-0.1525664953054303,0.7565801339723423
Thal_MDm_L,0.3109475821477976,0.2615179061306812,0.5807897945334756,0.5204795919572943,0.28039253473379055,-0.14185648733348466,0.31578653893424385,1.0,0.160136787452836,0.15234873522444128,0.20139064245090618,0.01172109804562239,0.022344182440969928,0.754571142010687,0.4139038659379244,0.3899493332735828,0.672778950145978,-0.038736934430317074,0.2635393374805307,0.6050426912831466,0.32753648399965285,0.24252079065507215,-0.07554974853104346,0.4823849197280015,0.1296198522613255,0.14544426139366184,0.37497367273242216,0.7265399665483994,0.700754397244443,0.1712607490193323,0.5470178641877015,0.7067548126224682,0.07418004949075414,0.4342115598875105,0.24230219537227832,0.3761904242040545,0.5685568153807968,0.23650946786045987,0.1067757924982289,0.4569710284748334,-0.051513432706418325,0.24406830113189812,0.4156011395216908,0.04599495945474611,-0.15701803138233544,0.3017211818461582,0.28149980287956855,0.07225337297464544,0.1881238661746959,0.24173119167822846,0.213964769021302,-0.18095744884652037,0.430575481348599,0.2418137998164352,0.4048475301696823,0.0873403464271298,0.3128672652927558,0.08564969202284832,0.47221108642615045,0.3328978968484883,0.08224229830884791,0.08802025895006785,0.24822744358730242,-0.059153257349819605,0.14201928499965152,0.471559577264084,0.4648855729492378,0.19039318830862037,0.055551372862224134,0.26864342649155704,0.4096342831828074,0.5419689484225245,0.38022021703475606,0.3501205328147452,0.08340156909737548,0.1539242199509198,0.39537293061285567,0.48310106982262185,0.03307761466880563,0.3475360894820619
Angular_L,0.4881324964518348,-0.48499112245755044,0.6702119982143394,0.6222113010387984,-0.3299710722293197,-0.38309944007934715,-0.5536587806182833,0.160136787452836,1.0,-0.651645300970569,0.13781392478306015,0.06028359570667123,0.12797357698133427,0.13043381994998846,0.03625909227134102,-0.44000940056734034,-0.03969315981984362,-0.5037718295680764,0.3882768295666106,-0.02340309713044012,-0.5913631162042267,-0.49838195158595305,-0.2653293673000831,-0.3950474737821336,-0.05370540049939331,-0.39509990200285355,-0.3874868968799235,-0.019111788296231228,-0.14549841292346605,-0.43409420273126326,-0.23486007960065655,0.11070758249853023,0.1861577028173264,0.7123522530902113,0.21496846483442433,-0.2667169583024841,-0.3649281658307055,-0.05576783824753536,-0.5731807409484847,0.6702110499477917,0.14301844246380332,-0.04341985241823444,-0.32988022111166865,0.1623849784509333,0.06973917651222586,-0.4310098595319728,-0.11724346430310342,0.7766347581621734,-0.244515472890158,0.025750597213377458,-0.39962281548566825,0.04594574295872029,-0.335385797513092,-0.5955761450734975,0.33821727560008064,0.023520264844976563,-0.3979856033396837,0.051562402984633174,0.3546986288501653,-0.2781055959753733,-0.11755729101727702,-0.698841686966729,0.3328854057498402,-0.17670532818428875,0.49212297012259043,-0.3819975847464233,-0.26509305645090975,0.34000368156429184,-0.18828399164064025,-0.21958882895622647,-0.06655479998363703,-0.2392114554016254,-0.526735454873316,-0.10048282011219455,-0.6656808730799774,0.1675417923039615,-0.4055273229104755,-0.3282797646928607,0.09984079366861613,-0.6056759904874675
Putamen_R,-0.19338275098034485,0.861795617988957,-0.33780438573766186,-0.30323980500785713,0.3343957150553435,0.4203145168562759,0.7811113811059579,0.15234873522444128,-0.651645300970569,1.0,-0.17515746894621123,-0.18847883837282348,-0.19269320049596664,0.21225774912478532,0.25820611982807506,0.7428513764775873,0.26340929819451675,0.5884081340978418,-0.5148606996175271,0.3405365266288267,0.6085929194711069,0.8516543804111167,0.21455074936220292,0.7455121982344634,-0.05207248116835928,0.4489887539681142,0.6543327665914631,0.3905738022696892,0.4167040592281583,0.6092640197215072,0.5906708569430463,0.20113148793535945,-0.24135993694448252,-0.510860482217987,-0.3592615889522642,0.6456695038448258,0.6581997369429086,0.15089731626984576,0.6999039281727993,-0.6166352046877828,-0.005162043782229901,0.08679761470517837,0.670449822595613,-0.1268152359738191,-0.13267471704237102,0.7012946006793609,0.34468979845579795,-0.587384709728647,0.13968871747268127,-0.1806901695192177,0.5897341981566667,-0.0624525333531221,0.5181288172204632,0.7551626151118752,-0.1209071452488196,-0.13377450041055786,0.8084902012184647,0.12596257344362013,-0.22988479681912938,0.6629380598486868,0.019311458778714218,0.8829757727906219,0.09772839894798713,0.15306374861296587,-0.5203925570798316,0.5995280635952565,0.358656047688127,-0.4721651132379972,0.16744219906937674,0.2245993405014321,0.3507862555077372,0.3928501291252262,0.7250619502779908,0.39218744217820867,0.8035057236268098,-0.2795962298267884,0.6476506725397426,0.6076059960945733,-0.14494877659189967,0.8162449549371706
