,ACC_sub_R,Precentral_R,Thal_VA_L,Cuneus_R,Thal_AV_R,Thal_MDm_L,Insula_L,Cerebellum_6_R,Cerebellum_8_R,Frontal_Mid_2_R,Parietal_Sup_R,Thal_PuM_R,ParaHippocampal_R,Amygdala_L,Paracentral_Lobule_L,Postcentral_L,Thal_MDl_R,Frontal_Inf_Oper_L,OFCant_R,Frontal_Inf_Orb_2_L,OFCant_L,Thal_LP_R,Red_N_L,Frontal_Sup_Medial_R,Putamen_L,Cerebellum_4_5_L,Thal_MGN_R,Vermis_8,Thal_PuI_L,Angular_L,Fusiform_R,Supp_Motor_Area_L,Thal_PuL_R,Frontal_Med_Orb_R,N_Acc_L,Cerebellum_Crus1_L,Raphe_M,Frontal_Inf_Tri_L,Temporal_Pole_Sup_R,Frontal_Sup_2_L,Temporal_Pole_Sup_L,Pallidum_R,LC_L,Vermis_1_2,Cerebellum_Crus2_L,Frontal_Mid_2_L,Thal_VPL_R,Temporal_Mid_R,Angular_R,Precuneus_R,Thal_AV_L,Cerebellum_9_L,Thal_LP_L,Precuneus_L,Cingulate_Post_R,Thal_VA_R,Parietal_Inf_L,Frontal_Med_Orb_L,SupraMarginal_L,OFCmed_L,Thal_VPL_L,SupraMarginal_R,Cerebellum_Crus1_R,Vermis_6,Thal_VL_R,Lingual_R,Occipital_Inf_R,Caudate_R,Rectus_L,Calcarine_R,Rolandic_Oper_L,Insula_R,Thal_PuI_R,Frontal_Sup_Medial_L,Thal_PuA_L,ACC_pre_R,VTA_L,Amygdala_R,Occipital_Mid_L,ParaHippocampal_L,Cingulate_Post_L,Pallidum_L,Thal_PuL_L,Hippocampus_R,Thal_LGN_R,Putamen_R,Vermis_9,Rectus_R,OFCmed_R,Vermis_3,Occipital_Sup_L,VTA_R,Vermis_4_5,Vermis_10,Fusiform_L
ACC_sub_R,1.0,-0.11770156017512741,-0.20432170886179646,0.13139032874252882,-0.17385929250514529,-0.05495458284798159,-0.15248273956584862,0.2000566624632081,-0.07734953911547088,-0.11645333100126991,0.19059589451788542,-0.18669250140684676,-0.19167895832529167,-0.0795090559352109,-0.016423734048192924,-0.03847767669324521,-0.1701955654866649,-0.052176519977300315,0.017362245318632258,-0.01860783128189979,-0.17655660429471143,-0.10959344160996355,0.02114367921151255,-0.08354153436008681,-0.16110124656070482,-0.11562681945142582,-0.10185177042902532,0.040085484777094164,-0.10570385362922315,0.16095418000758568,0.009369500441857583,0.00949253944780054,-0.10498951792541997,0.18416060578505236,-0.07268254217624104,0.08222968541950866,-0.1194306969936849,-0.10500309591898305,0.11302091652735226,-0.029678249786610753,0.022396834266762495,-0.17978762221043448,0.03981355601028907,-0.15096764987231776,0.10346099097284094,-0.0071435336288617835,-0.19836134913227757,-0.03627599327129574,0.15636199600925693,0.11467027681947241,-0.07522288700013477,-0.08960220496228276,-0.11466765892037308,0.1636047031165525,0.022423758908812614,-0.19218534119224656,0.1906795882115905,0.05501513877760312,0.09643031326800366,0.2052938298100995,-0.13032843525751947,-0.05181922141159393,0.07343342364696005,0.0818702093882776,-0.202789966185087,0.043796971454244174,-0.10950480565327751,-0.16539378965091683,-0.009688509103661326,0.051169754113238736,-0.10969770900267539,-0.17551608866052032,-0.13070378807137237,-0.08313033431445423,-0.05259041028864133,-0.015143098688708258,-0.027929656434669884,0.10288856559943874,0.11112600086642835,-0.0199110164627172,0.13533828562801076,-0.1790936923235107,-0.19196364678192784,-0.21077154557229957,0.0056929988965554994,-0.18353951646717812,-0.13996328235512018,0.06173243812505358,0.060435743094940375,-0.09559354459067196,0.18319488150037153,-0.1325231960500526,0.07503089763893338,-0.021030477938853934,-0.052789563575936234
Precentral_R,-0.11770156017512741,1.0,0.6244141313593508,-0.2796411901444159,0.633405699513809,0.559644824865507,0.6500045511336588,0.015086821872167507,0.26274425078458336,0.8159188223046964,-0.07785176801557395,0.7449690952664214,0.5207472618007853,0.16191377290793613,0.6368937020819188,0.7741202528036549,0.6382036315948455,0.43808494779051516,0.2196082262495848,0.27936893224312315,-0.025638044645741084,0.7136002808829299,0.17262066455863684,0.8256577399787842,0.5869961223943836,0.5523862847373868,0.5613278653862814,0.07799400070230059,0.5391148438235955,-0.23771925987764056,0.47272241736999315,0.7591140591348966,0.5486733572013917,0.01957416966447479,0.01503111379765764,0.021072587077637775,0.34570201653795096,0.4194546535093683,0.057359182263102056,0.7825343632916864,0.10150607496260616,0.5496989961762911,-0.08694335592034563,0.524014866487135,0.06993303384038049,0.5578332346880583,0.7196616398788112,0.1941623337851669,-0.1854155188520451,0.24245590360778227,0.4410221914131419,0.1337101485611246,0.5793436261134933,0.21026626210574728,0.5182015390569095,0.5311817393662508,0.04440138449959327,-0.02829950697521122,0.31713879386445226,0.2753262417918929,0.7318171196504576,0.6739737277414621,0.055253065823497094,-0.1980512356399584,0.7215090965409722,0.40902489617629917,0.015574864050176763,0.5228926353165843,0.12201444221165865,0.3281982292528927,0.5477775208293243,0.6760157200813107,0.6182065664199579,0.7927425928423621,0.6275677215193511,0.3880148312119027,0.3818463252524183,0.11039698777018722,-0.11325512776932843,0.6587645516488034,0.28462571409031473,0.39893258716582375,0.7488557708762493,0.5915024045044257,0.2022155631903623,0.5570523124955665,0.2040217994812137,0.20308193402939614,0.006479173460008994,0.7072134612054947,-0.16259262161874571,0.4634684580667575,0.22589990806103388,0.15330354662184986,0.44446353803397093
Thal_VA_L,-0.20432170886179646,0.6244141313593508,1.0,-0.41312878895382943,0.5440330975624916,0.38022021703475606,0.6106773797405257,-0.07961584929213592,0.5398000573476086,0.6884398473251203,-0.1615100785854199,0.6726874628468104,0.5065258682264795,-0.11669738380858938,0.5022088407766747,0.6017039572247002,0.7585447280650238,0.5996608620992087,0.21826238363026385,0.1898105033403541,0.1392548122691588,0.6085616353120379,-0.002554962225138886,0.6020926783883711,0.8267086631780987,0.4290604070189112,0.5271290182430098,0.21559611757683123,0.6851266674733535,-0.526735454873316,0.2412889830594515,0.5225154895477061,0.4178183367500987,-0.0638154464297161,0.38142258674382307,-0.29061682412739526,0.2625363192819435,0.24018855354153615,-0.17010586701416208,0.5945281769646694,-0.0599975341448279,0.7299668408353044,0.10905471569342993,0.44452966266728,-0.024637622095679684,0.45104367534434625,0.6846488526945749,0.03569563997328524,-0.3714982470157065,-0.012494586872518938,0.7331610909206742,-0.06064238441642489,0.30560116054249603,-0.05264198194085865,0.2785664944456629,0.7109715149204188,-0.17050008560575058,-0.13236234637781588,0.047432732052575956,0.12243966995834822,0.6123930752812243,0.40120008754375114,-0.11809908188551016,-0.2849654957832684,0.7713718784753545,0.13575648662693984,-0.024369155368843164,0.45980732982260325,0.26114554023142866,0.09242353504610233,0.7058694568621245,0.6021781444067638,0.6401497201289117,0.6830560357790028,0.3809854601325441,0.3682135110846282,0.2323915642810982,-0.09408740571022405,-0.189060094761261,0.506329885034617,0.20694207312769233,0.7385569942816991,0.6403322472605179,0.656710429457035,0.26702335055346066,0.7250619502779908,0.23594360070427564,0.22163213204759624,-0.05580567200068185,0.5672437157282254,-0.480308951822956,0.55417845626918,-0.011688833857346436,0.0804938557633901,0.2861328596809829
Cuneus_R,0.13139032874252882,-0.2796411901444159,-0.41312878895382943,1.0,-0.4161476537038081,0.1909750460197503,-0.24949741433127715,0.2988525344356865,-0.307666663434789,-0.311065484436983,0.7371828791295013,-0.5900528799134975,-0.17340310916638293,-0.09965887628700103,-0.018747865767143646,-0.10429260382861216,-0.5576604641010706,-0.3523080845562474,-0.2854771453506651,-0.04488519151615319,-0.05042679511796198,-0.437118679784505,0.2775155530909569,-0.26418896864705343,-0.45863338964735934,-0.13905621084240244,-0.29209245059969063,-0.05619677337869092,-0.5460515460161967,0.812196756693382,0.024635162458249787,-0.01593586375224419,0.04192572257671098,0.2694828760883629,-0.07816231303061617,0.3728440508162872,-0.5469708874108342,0.05714897598495419,0.14707102270945027,-0.06697581243264178,0.04471808336044912,-0.5864704526494713,0.16637721068971925,-0.5814100687001366,0.08075573386952278,0.06580368838075089,-0.41421572197033857,0.5191674033449472,0.9254408995669867,0.7133499686283424,-0.3123836735180357,-0.022532471080915446,-0.293898861878497,0.6704258286954924,0.3977423305714046,-0.6412938011018855,0.6509673332767313,0.11808836586442453,0.3918913366434896,-0.1213882371903708,-0.34128226102402165,-0.08090370153304181,0.30804975294723297,0.6514358875767102,-0.5685837684990709,0.15523984824442683,0.12760467783516327,-0.3943800584058437,-0.021415935152560468,0.07840622769858271,-0.4905406683137603,-0.42802953771139346,-0.3644723283506183,-0.3572548315851436,-0.3558106949142652,-0.31996182795739586,-0.04042143234559578,0.08886175813040781,0.3415135156541932,-0.384078826285598,0.3070747969269201,-0.2638368353100256,-0.318989283054293,-0.34903720632478086,0.3366324881984714,-0.5746447940596734,-0.505935246203433,-0.28376661831692396,-0.03846152285573201,-0.408733406828757,0.5401125452745624,-0.469476972872647,0.43062572346631006,-0.2749448503678309,-0.3000794203611206
Thal_AV_R,-0.17385929250514529,0.633405699513809,0.5440330975624916,-0.4161476537038081,1.0,0.39537293061285567,0.6930240055646716,-0.09149261531469614,0.2767252107756633,0.6041076027107214,-0.27598609438758437,0.7462337578755851,0.5499936006558908,0.12377886862528707,0.463244153084953,0.6073823925756937,0.7472208648784088,0.5743493393978255,0.007854584808517428,0.36011776592333744,0.02501289517745264,0.7053322595533768,0.19205366014535455,0.7252867132680328,0.6815697230267348,0.6663449021700794,0.4725023311502321,0.11205892653639045,0.4556037813790332,-0.4055273229104755,0.5815623390512242,0.5369315801286517,0.17952089358396583,-0.22269551852427763,-0.24095174619733015,-0.35533291347392404,0.6436894342602004,0.48399951464455293,0.1804089216902655,0.617714586565418,-0.011448886290388127,0.6730996816549778,-0.23881643523251117,0.7284474864922442,0.02264775238293558,0.46833753020047664,0.725246595387715,0.10209404594626581,-0.29506244687079336,-0.024191109606646607,0.19242206676443557,0.2541880283966218,0.6719800458439985,-0.0076907862299128195,0.30287849664137156,0.70056676509308,-0.14012041593598604,-0.03484732781141166,0.08799016168452051,0.14333346371088715,0.7363013259554158,0.6671275727135924,-0.0666037515400142,-0.34235370843391827,0.8139775585764424,0.19311121891166053,0.019490965382223044,0.7076194815240651,-0.08563117474787912,0.2700731789074021,0.611191120902745,0.736034834675854,0.5792230948832888,0.6910867074057953,0.5140353304729539,0.2938896634270276,0.4427731421951065,0.02434154392624549,-0.2433781792784199,0.5908169567070375,0.019064502722341854,0.5465535659404587,0.5592489841235283,0.6255501155496888,-0.10034764203303367,0.6476506725397426,0.40939669155799757,0.20390527747872775,0.15590655625877053,0.6348402768137918,-0.32396582413076314,0.7475931537909923,0.09817588873714417,0.3677253904306635,0.4863143702099387
Thal_MDm_L,-0.05495458284798159,0.559644824865507,0.38022021703475606,0.1909750460197503,0.39537293061285567,1.0,0.547234829060961,0.2987551565450787,0.14544426139366184,0.5220333554693629,0.4342115598875105,0.3475360894820619,0.3328978968484883,0.11355192694800925,0.672778950145978,0.700754397244443,0.3496140578285079,0.2949419283243317,0.055551372862224134,0.27163188244169384,0.08224229830884791,0.471559577264084,0.5403700443993322,0.5244311717418916,0.31578653893424385,0.3761904242040545,0.2830252364439165,0.11237646458040727,0.32753648399965285,0.160136787452836,0.3501205328147452,0.7734299021690195,0.4139038659379244,0.21412496447607868,-0.059153257349819605,0.14992283001030482,-0.05191045834659301,0.3652013908743449,0.140562291628369,0.7038312932069087,-0.04339533510958998,0.14574285591203368,0.03307761466880563,0.1067757924982289,-0.04395038032407046,0.6050426912831466,0.45089509338300565,0.24822744358730242,0.2729856425722549,0.6410761061707995,0.1712607490193323,0.031650724118312816,0.4701738916780596,0.5807897945334756,0.7387316963904539,0.08802025895006785,0.4255676236240189,0.07418004949075414,0.49154103742309535,0.15257073812913755,0.5685568153807968,0.40757605216712645,0.20139064245090618,0.14201928499965152,0.34009593030693047,0.353607411784977,-0.051513432706418325,0.3017211818461582,0.12655890697627645,0.23650946786045987,0.3392847905688892,0.24252079065507215,0.3899493332735828,0.4823849197280015,0.4648855729492378,0.1760768997974928,0.28149980287956855,0.1539242199509198,0.15920360137940723,0.430575481348599,0.5463516089792564,0.24372387304517318,0.48310106982262185,0.3128672652927558,0.4048475301696823,0.15234873522444128,-0.09448470274142468,0.046885088110464365,0.24173119167822846,0.5174000821747242,0.07525845011245849,0.15237794371927735,0.4066403713172456,-0.14185648733348466,0.28039253473379055
Insula_L,-0.15248273956584862,0.6500045511336588,0.6106773797405257,-0.24949741433127715,0.6930240055646716,0.547234829060961,1.0,-0.032536645514606825,0.32587320710167655,0.7183742073198729,0.044592239089500406,0.6419815598206118,0.48023017376033017,0.061707611162491356,0.6039952699874712,0.7182617981995583,0.6188456149399683,0.6795337239235463,0.07536956743226442,0.5562477737431405,0.08585097474288955,0.6509887711470161,0.3605514376454044,0.7393680151205007,0.7788306338428684,0.4570755174309891,0.42749434854962776,0.13639136683474112,0.5657188658675433,-0.22942342077722674,0.19288125502626793,0.6829364060270099,0.4331528193000948,-0.03283922348059519,-0.07215327322698521,-0.12218646640758064,0.3171170783246549,0.7115194714390187,-0.033088777342557864,0.7385966382514569,-0.12336158070277019,0.5246129817833693,-0.18023289540434287,0.4715830679273175,-0.004730695230979199,0.6448971532494612,0.5907156117128203,0.031173542021285933,-0.20206381812034208,0.2442258213241823,0.2719924380276514,0.007529622465257794,0.5635195464802768,0.18459389934777215,0.4492567135684034,0.5662127309974062,0.10917643821296086,-0.09158625046897068,0.38627286307156555,0.043033700779373095,0.706466794343916,0.37983982359540597,-0.15952746868097678,-0.21087201686924362,0.688178388188926,0.1306628067234169,-0.007653641734056278,0.6533216796505439,-0.07360942225380135,-0.003917805449075419,0.7467276414688275,0.5157705759377759,0.5509001011112358,0.7446241363665188,0.5257493046933894,0.14618951208099143,0.2791970182465313,-0.06605062218089663,-0.020714872551917424,0.5070510735562245,0.23302232408803855,0.6644068209897218,0.6422992586854416,0.5963522267261807,0.20299378002039292,0.5185722130087056,0.1875226664376046,0.17971532884584315,0.07997679068897698,0.7051808857637957,-0.23136824958777436,0.39681229110111216,0.07586316501998992,0.1231298249123803,0.48509329174227744
Cerebellum_6_R,0.2000566624632081,0.015086821872167507,-0.07961584929213592,0.2988525344356865,-0.09149261531469614,0.2987551565450787,-0.032536645514606825,1.0,0.15868578834761082,-0.07435245652669517,0.4339260734678121,-0.24511540833314477,-0.16449637143813386,0.17314414487450283,0.21385564325164713,0.11467678761617071,-0.12940767917310675,-0.02542013302770437,-0.03600333422337451,-0.2057714251437675,-0.07141943655827829,-0.04120602728726014,0.10462539869882975,0.0062099530673030215,-0.19458323225038893,-0.18918436234580435,-0.0917160123468188,0.18770033073826667,-0.15729478326707177,0.21453185604350475,0.19849167206358395,0.268245716501482,0.02420638862047674,0.3023063799319182,-0.027354907055885645,0.32734096916870675,-0.30231956295333845,-0.11078939038696738,0.3086656424891821,0.18899344189380696,-0.002457866260959832,-0.3447989384791353,0.3549387128567805,-0.338401463310484,-0.15009038797921806,0.1597215669047962,-0.16474852681852273,0.09272822865054813,0.3399186673246685,0.3926801005705647,-0.11583163767542459,-0.07969717019308738,0.005351731865136168,0.36308477404203887,0.2640289807341303,-0.3362516628716336,0.2541193270617728,0.20580761100279324,0.10951772840905427,-0.009958416453637186,-0.1114951451298692,-0.06311266416247299,0.6298915811664548,0.6160967938064613,-0.20072721818943304,0.43304309515860906,-0.12292664654773774,-0.15251325977008684,-0.04402393357914664,0.1261930590411985,-0.18446318518104482,-0.30369771272839247,-0.18221260818064633,-0.07258559714521878,0.015024404740082046,0.20896387364448302,-0.07858971028254555,0.21690475904435141,0.1390793962078536,0.14265523935381083,0.32546650752223644,-0.1764626255141586,-0.05420841519792571,-0.30560365022431496,0.30430907676830293,-0.3660766444644772,-0.3996201192414718,-0.0363882910127319,0.13999568758933625,-0.011919578480723284,0.23303311413842825,-0.2361511312076077,0.42397016383973934,-0.2904173556217355,0.026919532423836618
Cerebellum_8_R,-0.07734953911547088,0.26274425078458336,0.5398000573476086,-0.307666663434789,0.2767252107756633,0.14544426139366184,0.32587320710167655,0.15868578834761082,1.0,0.3826175310067671,-0.11367556267117544,0.45008065935834457,0.29547214411156203,-0.04749823672136597,0.18243602902322362,0.32044347426692593,0.45282717171196657,0.3552239494642869,0.09263826478051873,-0.06287195672879209,0.03978119166866239,0.34115016515574614,-0.11220968336361428,0.3121864117203708,0.48187074937101915,0.23353285726578332,0.2531515190558671,0.34750374452433125,0.45347031939242943,-0.39509990200285355,0.1392689542830594,0.27088191104709053,0.19166935730926132,-0.027199168907134096,0.3121832198773752,-0.32395927635732835,0.24864412835360952,0.004278172464035877,-0.1774738661499883,0.2737276754803728,-0.14729227565741526,0.48763683930388674,0.11141580626829893,0.3268570983925881,-0.10580984485361479,0.23454813940622402,0.4618009227678909,0.08253119042284458,-0.31230423826525106,-0.0719615931930899,0.4357976844908499,-0.45894968309488826,0.19853708094471215,-0.08353520936896934,-0.044705357156147256,0.47172895504220613,-0.11159757757935918,-0.06653603145355613,-0.02058156920718691,-0.10684830087833744,0.32789111704842744,0.28247807064545705,0.054703255337303046,-0.14908387528141268,0.4711544102122842,0.1429798287220816,-0.12569420001764264,0.34509786293202277,0.06059963962213958,0.1431742453040889,0.4352218164552718,0.3695915135067393,0.4581302316106807,0.3391285512291378,0.24767003900838194,0.3032317971924698,0.04292296505581761,-0.059500685856182144,-0.11490042960727533,0.404152447149647,-0.02366492236379514,0.393841466394316,0.35304127334769664,0.4587158559623962,0.03687076126034096,0.4489887539681142,0.13053098633957794,0.27339799907070256,-0.045797903886428834,0.4028928054011365,-0.3381416962369809,0.3649094920428884,0.005696434430676709,0.21258960428093715,0.3317260369718395
Frontal_Mid_2_R,-0.11645333100126991,0.8159188223046964,0.6884398473251203,-0.311065484436983,0.6041076027107214,0.5220333554693629,0.7183742073198729,-0.07435245652669517,0.3826175310067671,1.0,-0.10660861178620815,0.7007121744783453,0.5045070081432504,0.017957731573990002,0.6051078282828306,0.7115398809118847,0.6804124729783857,0.5274121607155122,0.14399572086184445,0.2827979731307354,0.004051969017638001,0.671147286122981,0.21991205603991887,0.7550504454668294,0.7046073870745498,0.47868266941564924,0.4954543301430061,0.17150776174101645,0.5181540920637749,-0.26532589744097274,0.30079218434194327,0.6770079806451756,0.6628689678342021,-0.05616332811287141,0.0787983367131921,-0.05583784736089789,0.24570170766058266,0.546909008061476,-0.17374483437442656,0.8150867686993888,-0.029062980956315033,0.6684506494400543,-0.018483307610137518,0.4102133972903006,0.12105427190500068,0.6922142029249313,0.673339870809185,0.1549290501276417,-0.2674659322191831,0.14671779933408705,0.48983622341118127,0.043822593534140405,0.4826864633922461,0.06744240301887522,0.40413513413338503,0.5846819109112796,0.00583334185806469,0.05133246533333641,0.2614887928242873,0.18783558695856312,0.6949370120369953,0.4979607744881866,0.004394738118281651,-0.21312119760453038,0.7536576671471499,0.22837953661897378,-0.002745473142925557,0.6426928887399744,0.0589727538646457,0.03889378530750532,0.6139438880473679,0.6349890642197191,0.5898424508000382,0.845386148932271,0.5195545307468434,0.22740005907840885,0.17264840316356977,-0.1136021730794889,-0.1031898341833321,0.5215025667755355,0.12760380644210131,0.5281454729291416,0.6925370973965286,0.6347752073862116,0.24022583491453878,0.6650280350913912,0.13450206535701964,0.148385681187033,0.007183014348063088,0.633430276324229,-0.2836713617359651,0.4493618068756736,0.0947088984027636,0.09473457672644128,0.3419829986101227
