,Frontal_Med_Orb_R,Cingulate_Post_L,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Med_Orb_L,Occipital_Mid_L,Thal_PuL_L,Thal_VL_R,Insula_R,Cuneus_R,Precentral_L,Temporal_Sup_L,Fusiform_R,Angular_R,OFClat_R,LC_R,Thal_LP_L,Insula_L,Thal_VA_L,Thal_VL_L,Red_N_R,Temporal_Inf_R,Occipital_Mid_R,Temporal_Pole_Sup_L,OFCpost_R,Thal_IL_L,Frontal_Inf_Orb_2_R,Thal_PuM_L,Rectus_R,Thal_VPL_R,Precentral_R,Olfactory_R,Frontal_Inf_Oper_R,Supp_Motor_Area_R,Frontal_Mid_2_R,Thal_PuI_L,Rolandic_Oper_L,Cerebellum_8_R,SN_pr_L,Amygdala_R,Precuneus_L,Vermis_8,Temporal_Pole_Sup_R,Thal_LGN_L,Vermis_3,Cerebellum_3_L,Caudate_L,Paracentral_Lobule_L,Paracentral_Lobule_R,Calcarine_L,Cerebellum_6_L,Parietal_Inf_R,Lingual_R,Occipital_Inf_L,ParaHippocampal_L
Frontal_Med_Orb_R,1.0,0.3631177550291824,0.130367117297762,-0.27072174838714436,-0.006962424200016294,0.02768700011051405,-0.03181823877421807,-0.2240862591736815,-0.27024350874821934,0.2694828760883629,0.1994935747212056,-0.006927965364314829,-0.044374503585101005,0.2764497801373542,0.29625351958627344,-0.004088312846055149,-0.24114447603976025,-0.03283922348059519,-0.0638154464297161,0.048717414183586494,-0.11275703556173312,0.25340872841022516,0.026831091200235614,0.05377346711390312,0.013636729530141379,0.2031434995081527,-0.2761377446516138,0.07041816843688715,-0.020826731355038115,-0.12952481043504546,0.01957416966447479,0.09935185659719348,-0.16566862083171036,0.2669987399841095,-0.05616332811287141,-0.04115701507321414,-0.12794210843815065,-0.027199168907134096,0.23026442278573053,0.20023807864850793,0.30935528073477525,0.0586134937479838,0.2636402807349841,0.36033406367760457,-0.04712572386841707,-0.06986511076320352,-0.1943619463008243,0.16666129654163656,0.06879309608112646,-0.059207658987316364,0.2216989298470165,0.20191587248424295,0.11763924765836217,0.05249322259717649,0.034334057352703236
Cingulate_Post_L,0.3631177550291824,1.0,0.1134804417840244,-0.1636797850842099,0.1025906572093534,0.28457330618202564,0.2362142062061711,-0.07007854099759826,-0.14570585035969555,0.3070747969269201,0.6536021244006589,0.36546892428014655,0.040083990571531475,0.42179125028098946,0.16834091291816058,0.08257707993592728,0.06759679609233853,0.23302232408803855,0.20694207312769233,0.3387303277161044,0.11447339512888036,0.2348238480188644,0.10018111661131324,0.3037267082175749,0.1242186058199529,0.38575926414316514,-0.24773552819518194,0.40904647666994637,0.03423805216016392,0.026582963794927784,0.28462571409031473,0.07244654550079785,-0.02632524871623433,0.5576019239177235,0.12760380644210131,0.16668572370882528,0.16549407666661453,-0.02366492236379514,0.4621711471656106,0.4060744153242305,0.7363264318615365,-0.05947903031959647,0.26211321083146566,0.4180708054280913,0.1995743493210602,0.027319210704688162,0.12286458346738909,0.5451404319244911,0.36790980689288477,-0.14673773397564574,0.14401069460135926,0.5282796320165171,0.2990468359994822,0.09583976991814307,0.283963934085527
Cerebellum_Crus1_R,0.130367117297762,0.1134804417840244,1.0,-0.2816532523603082,0.17741275827172917,0.026686053911861733,0.04675558136693761,-0.08377012722055169,-0.036392191053599095,0.30804975294723297,0.20167256889565624,-0.1545391482373908,0.47320798669982045,0.3196846144018029,0.21970954751499053,0.20644631439565797,0.01616494205546233,-0.15952746868097678,-0.11809908188551016,0.05892172108747577,-0.0006062776569526944,-0.05910630877139739,0.15913959878671857,0.16498367936616837,0.06253729273368185,0.05334280288777684,-0.013712129524489415,-0.01508097695219339,-0.0732394345107593,-0.007267271851933072,0.055253065823497094,0.1646460375986206,0.07148540467375943,0.20138452032885173,0.004394738118281651,-0.2072871191049995,-0.2007125781517764,0.054703255337303046,0.1251818003443445,0.12522369306541842,0.25921382848957875,0.004499039447028582,0.15110233487531574,0.1848084149408112,-0.052300887113631025,0.04669426775447581,-0.09463104166526798,0.08610401014566071,0.05236989420866815,0.11140879637356577,0.31234617576597895,0.2777770255230079,0.6246064099695953,0.06214786722965563,0.04221790534218751
Thal_VA_R,-0.27072174838714436,-0.1636797850842099,-0.2816532523603082,1.0,-0.22467562553193304,-0.3233551391844433,0.5529485664975405,0.8651601715567492,0.8094637799665181,-0.6412938011018855,0.14441785715000838,0.3457303766262852,0.31432875128050897,-0.6167236853603608,-0.5575897555266683,-0.1825253609046223,0.45691061094152263,0.5662127309974062,0.7109715149204188,0.49596841958348303,0.524200487312486,-0.21067603779504418,-0.13459158708373206,-0.0975171308948715,-0.19870174346633454,-0.04531901943316997,0.657361745119801,0.3084043690249934,0.23281224404914483,0.7576792898180111,0.5311817393662508,-0.34742266996946697,0.6242633987140794,0.11542805620723769,0.5846819109112796,0.6805467795862721,0.7310219744421306,0.47172895504220613,0.0029965184688969227,-0.1572739832784214,-0.3522538311479167,0.18732846341699574,-0.08770632263761188,-0.30098406452719834,0.6165893328107205,0.6566036146298875,0.7318957727566265,0.2171021666019848,0.42341144052345436,0.270879292640948,-0.22451104872309166,-0.330238241865998,0.01665082104749187,-0.03965142037669428,0.5324164158792153
Frontal_Med_Orb_L,-0.006962424200016294,0.1025906572093534,0.17741275827172917,-0.22467562553193304,1.0,0.15863937009048648,-0.1612171301724396,-0.19124946808786256,-0.22600206751775687,0.11808836586442453,0.14788435068519382,-0.0034181685020430934,-0.05027626913776968,0.11350231563237538,0.2158663379300825,0.08786312117798897,-0.012437733040465235,-0.09158625046897068,-0.13236234637781588,-0.006690263045783979,-0.062097888616847764,-0.0008096613048387644,0.02168280859848381,0.20813486014323143,0.1397018888036544,0.035483941787469636,-0.09938794646944343,-0.008818653592241798,-0.2113954489141013,-0.186414858586237,-0.02829950697521122,0.082924132275098,-0.14542433187535903,0.09156224708995281,0.05133246533333641,-0.15460096355865963,-0.19981288118423793,-0.06653603145355613,-0.017158489399444723,0.03571025625344618,0.12195802115241958,-0.02420555381873646,0.015469743224080621,0.1583900759742287,-0.0785677106715804,-0.1830380224277303,-0.0709638058189776,-0.017907316252308358,-0.014547445784569124,-0.1714117937906106,-0.005977216492328428,0.07200353312895186,0.06160763965673556,-0.10650399014841608,-0.11013921650169642
Occipital_Mid_L,0.02768700011051405,0.28457330618202564,0.026686053911861733,-0.3233551391844433,0.15863937009048648,1.0,-0.06976067858651919,-0.29343972314199496,-0.3937079222475057,0.3415135156541932,0.19958914626365146,0.15188080837529477,-0.19272359652641718,0.30564050293174283,0.35572184813433344,0.11764816946091994,-0.02831555376584699,-0.020714872551917424,-0.189060094761261,0.0521847361162528,-0.12960767927864816,0.008305360940248339,0.14205269437915036,0.0747376304874969,0.12084347170681604,0.3272996967431926,-0.16680422243065618,0.142952107182551,0.11136410554796398,-0.24497010551394302,-0.11325512776932843,0.08721168399691381,-0.27625169490539125,0.18731884930600473,-0.1031898341833321,-0.06120622651023996,-0.06309049043662888,-0.11490042960727533,0.24346031846065708,0.2435892742307157,0.3867751062760399,-0.006203563346495942,0.080174539582039,0.31974690253935434,-0.04836464119360209,-0.18011401692978735,-0.2086468867168293,0.15155019041713666,0.09657885342287117,-0.18859331301528057,-0.10710600911006891,0.39146203134512186,-0.008149794514047704,0.1909703591271119,-0.0045019119756275405
Thal_PuL_L,-0.03181823877421807,0.2362142062061711,0.04675558136693761,0.5529485664975405,-0.1612171301724396,-0.06976067858651919,1.0,0.7162546407692122,0.6222795404440638,-0.318989283054293,0.5943716375121877,0.4728513342080782,0.394580087257823,-0.2580675385718532,-0.18416259750834757,-0.09920713196103062,0.5790455031981743,0.6422992586854416,0.6403322472605179,0.7264855862958775,0.5653673265868889,0.028941322837058515,-0.004310070452612044,-0.04122562499732193,0.02575751983787868,0.27263056990173967,0.30819661191258785,0.7318615809753736,0.24179079589303926,0.6979133718526066,0.7488557708762493,-0.15822489448802365,0.6385189816433274,0.5908985337738983,0.6925370973965286,0.6426840256778705,0.6790592377551651,0.35304127334769664,0.30149358044440683,0.09066324771178304,0.11159363662888049,0.001684731080779974,0.022593329979989776,0.15141142134390423,0.7267765144834735,0.690800733089765,0.6356950973597125,0.5132771028466551,0.5998970540894437,0.31277991006823275,-0.07528844476709115,0.05729166296154844,0.3254492837134733,0.1660042738118074,0.6874490034943515
Thal_VL_R,-0.2240862591736815,-0.07007854099759826,-0.08377012722055169,0.8651601715567492,-0.19124946808786256,-0.29343972314199496,0.7162546407692122,1.0,0.8441078386733716,-0.5685837684990709,0.40887923137811555,0.3797146638073845,0.47612739450275027,-0.5215672045414647,-0.37628659882026766,-0.1868668698999288,0.6075127418512684,0.688178388188926,0.7713718784753545,0.697525907826954,0.6838305326893319,-0.0781163364830013,-0.1367157747009971,-0.13548225945586706,-0.12504076154104474,0.12824956805730905,0.6496262928692224,0.5260769436122644,0.27394076485828717,0.9020077312528052,0.7215090965409722,-0.27791774817017306,0.7352368547923899,0.37286235998098793,0.7536576671471499,0.6888584950712002,0.7725882747681487,0.4711544102122842,0.10198876110057342,-0.11879604319602194,-0.1977878772281157,0.21254638615102647,-0.08484834675554387,-0.12615790702553276,0.7329876288253345,0.7510862849985053,0.8124158870601937,0.45377200465179446,0.5905210888557898,0.3364120538970298,-0.10483474834007532,-0.18988829392138853,0.17381727922528886,0.007264815418144672,0.6398045793867765
Insula_R,-0.27024350874821934,-0.14570585035969555,-0.036392191053599095,0.8094637799665181,-0.22600206751775687,-0.3937079222475057,0.6222795404440638,0.8441078386733716,1.0,-0.42802953771139346,0.23205857657612172,0.22843739178934144,0.6518546522368336,-0.3681715244312848,-0.5611087148566349,-0.23496453701461634,0.5435879840820446,0.5157705759377759,0.6021781444067638,0.5176681054197809,0.608438535727845,-0.09905744252832187,-0.10221286932196351,-0.031549365380956595,-0.2126652728694848,-0.03436017018277892,0.5850779492320111,0.2825515053141758,0.21866394656974814,0.8079306232045683,0.6760157200813107,-0.31016579728306204,0.852927423131164,0.21751625380324202,0.6349890642197191,0.4987273169377292,0.5848371466841096,0.3695915135067393,0.057419255495760754,-0.08770739208797776,-0.1361678429076041,0.10787725624272386,-0.02173705741747707,-0.2895555684544533,0.5815127338063434,0.831655283132534,0.7252822536860097,0.2844153850564154,0.4840015606826101,0.4916742684101164,-0.0016025101899271267,-0.08234917074559606,0.29482497148209963,0.09937022861012385,0.547075639244764
Cuneus_R,0.2694828760883629,0.3070747969269201,0.30804975294723297,-0.6412938011018855,0.11808836586442453,0.3415135156541932,-0.318989283054293,-0.5685837684990709,-0.42802953771139346,1.0,0.10118923751249434,-0.23207963500127485,0.024635162458249787,0.9254408995669867,0.25548029781378734,0.05616823316055891,-0.293898861878497,-0.24949741433127715,-0.41312878895382943,-0.3280628450717363,-0.19723248922667067,0.1837314584405744,0.18733301622300003,0.04471808336044912,-6.0186125304427644e-05,0.14406328361183662,-0.4756568281263863,-0.2616068977285441,-0.28376661831692396,-0.41421572197033857,-0.2796411901444159,0.17906308237512766,-0.24529163056517217,0.10763000726009539,-0.311065484436983,-0.5460515460161967,-0.4905406683137603,-0.307666663434789,0.19174756460439613,0.08886175813040781,0.6704258286954924,-0.05619677337869092,0.14707102270945027,0.26078550805417117,-0.408733406828757,-0.2930517926035296,-0.3481546448248742,-0.018747865767143646,-0.2937995547820827,0.0059364546383285964,0.32066584957171207,0.6724905542638427,0.15523984824442683,0.09677325761769771,-0.384078826285598
