,Cerebellum_3_L,Vermis_7,Cerebellum_Crus1_L,Calcarine_R,Vermis_3,Hippocampus_R,Frontal_Inf_Orb_2_L,Cingulate_Post_L,Occipital_Sup_R,Cerebellum_9_L,Paracentral_Lobule_R,Temporal_Mid_R,Postcentral_L,SN_pr_R,Temporal_Sup_L,Rectus_R,Thal_LP_L,Thal_VA_L,Vermis_4_5,Cerebellum_3_R,Amygdala_L,OFCpost_R,Parietal_Inf_L,ACC_pre_R,OFCant_R,SN_pr_L,Postcentral_R,Cerebellum_Crus2_R,Angular_L,Thal_LGN_L,Temporal_Pole_Sup_L,ACC_sup_L,Vermis_10,Temporal_Pole_Mid_L,Rolandic_Oper_R,Thal_VL_R,ACC_sub_R,Thal_MDm_R,Thal_IL_L,Temporal_Pole_Sup_R,OFClat_L,Putamen_R,Occipital_Sup_L,SN_pc_R,Thal_VA_R
Cerebellum_3_L,1.0,0.0016394068325899442,-0.1899679146422419,0.5488822538903094,0.733342197734451,0.695549023541537,0.21395458589647964,0.027319210704688162,-0.43172945032514826,0.14689622118461065,0.6142814893877465,0.3233507839659301,0.6405754550284148,0.4060571442692027,0.4254100118783127,0.282203397787194,0.6183326320664622,0.49324510846712877,0.41456090687324126,0.8399021385685949,-0.06202042670219282,-0.2151255594325401,-0.03632114307457331,0.24645147050618468,0.1248753702467453,0.27180387290154656,0.7027418263682759,0.2070212702902057,-0.32988022111166865,-0.04919925265781188,0.009873960050867553,0.6645170872512765,0.5301765149765835,-0.01203701362138967,0.7600784943796347,0.7510862849985053,-0.10623246402357271,0.5205143898930243,0.20022229278068404,0.15216762485429727,0.1848902287948751,0.670449822595613,-0.11609899130170151,0.5539965498501902,0.6566036146298875
Vermis_7,0.0016394068325899442,1.0,0.22466932407375387,-0.026849396810420728,0.019515579464432182,-0.023221149764529197,-0.09100741143250914,0.18342486913355788,0.2603498932073246,-0.23105115728027098,0.012279886719192324,0.09903452190570433,0.019418729385143947,-0.13592550153327138,0.03839368812524845,-0.023394708293276053,-0.1644860759119399,-0.041856795227563234,0.26266584239276236,-0.07481212106636155,0.06617289724651258,-0.011503529945450645,0.19436348478678797,0.03195950950647104,0.22748842586200355,0.10296632772541495,0.0269027286053716,0.0044553483555334296,0.12797357698133427,0.13689539854852503,-0.10058335138061764,-0.09783704016147023,-0.07544146170800395,-0.14209071366420375,-0.1496969581905902,-0.13886304078415498,0.10730583138921622,-0.11218221600304834,0.042568794563860805,0.061190171714047344,-0.06368628709856711,-0.19269320049596664,0.17248013721311545,-0.07964911373099628,-0.09182661890825324
Cerebellum_Crus1_L,-0.1899679146422419,0.22466932407375387,1.0,-0.019525891564228282,-0.20522803480828566,-0.41190092000484363,-0.1927629583407527,0.26728241097196626,0.4251435709398426,0.04994730164570086,-0.05427525768737521,0.1594263147500652,0.02237501537191145,-0.1168894598616312,-0.15509491673694734,-0.18007518421867977,-0.1748065730139223,-0.29061682412739526,0.3119414139002099,-0.3589507455581926,0.07745723054071244,0.25493297953395333,0.4022923204076255,-0.059337523854718056,0.002933946565122763,0.09621271778173142,-0.04820595765397301,-0.21848357697571621,0.49550304688423735,0.29312147206557476,0.12435546211408395,-0.2635185334247049,-0.3155571115827381,0.010404177004506772,-0.41826229521022373,-0.4072451297030871,0.08222968541950866,-0.00889297571991314,0.20652384221901374,0.11752355283224772,0.02919518102036478,-0.4904036229402243,0.3301981170859055,-0.4841121071197918,-0.501617456298561
Calcarine_R,0.5488822538903094,-0.026849396810420728,-0.019525891564228282,1.0,0.3546142617050812,0.12969806083380486,-0.1202642100899725,0.21957063991830633,-0.1675813582334378,0.06797354158444484,0.3418278274096094,0.4340814812337613,0.3394684738273168,0.18880880937682762,0.29156651670347444,0.14874827382057967,0.2970790643569079,0.09242353504610233,0.6265377306606559,0.4572796490628429,-0.12116878525434989,-0.18692965724514707,0.12768145741178938,0.3221113227826222,-0.05558296879460617,0.1539965917574912,0.368141264966976,0.2521760456350303,-0.05576783824753536,-0.19638470727373813,0.3445636866202317,0.21246281505773965,0.45097837002344854,0.30684678514109487,0.3798960115861647,0.23476637224907151,0.051169754113238736,0.22184050548850479,-0.03295968503277586,0.3146303999165785,0.1167164033002483,0.15089731626984576,0.13925602865941633,0.11037178881412542,0.17662217809239655
Vermis_3,0.733342197734451,0.019515579464432182,-0.20522803480828566,0.3546142617050812,1.0,0.571558379034792,0.30926363504151577,0.1995743493210602,-0.4363393048966734,-0.07168750517381883,0.6690106812406068,-0.0027996293474377688,0.7163027217018839,0.07631216925669829,0.6837086979437778,0.30178231068509875,0.6921961766376195,0.5672437157282254,0.20771953459101863,0.7346492128089079,0.11789646139851183,-0.09559536353384587,-0.00421979899007144,0.2866156180589816,0.2388880821336739,0.3508867350799292,0.7471663431219102,0.29063735449102907,-0.39274897166190054,0.09266199741628023,-0.07617635010781008,0.5802188699723839,0.32615037918378026,-0.10669160737615636,0.6527742675080755,0.7329876288253345,-0.09559354459067196,0.4379861709163169,0.373793342916778,0.02415767994960168,0.19631481028097014,0.5445552053171026,-0.13777929989877946,0.38093337649813963,0.6165893328107205
Hippocampus_R,0.695549023541537,-0.023221149764529197,-0.41190092000484363,0.12969806083380486,0.571558379034792,1.0,0.2673625040597403,-0.027027842277615333,-0.3410225913547478,0.0479213332353691,0.44371095817048345,0.24687682396311353,0.4798026276356026,0.4298334009666638,0.25924379316262525,0.18083526430685484,0.4142713555532887,0.656710429457035,0.04268544929183293,0.6554979736761563,-0.10171814933076286,-0.1420571935105064,-0.13360157758318733,0.13537871123803674,0.24388248657490333,0.08620540138000071,0.5774140836366939,0.15472370229045593,-0.3979856033396837,-0.041468835893134944,-0.1576765622582666,0.6019001078621398,0.33886587434800125,-0.24379929424877966,0.6727487953065927,0.773783356446083,-0.21077154557229957,0.45338346064172586,0.1505437301845428,-0.0861886859397143,0.16764259128217876,0.8084902012184647,-0.3505311391545213,0.8183040314958614,0.7495618492794037
Frontal_Inf_Orb_2_L,0.21395458589647964,-0.09100741143250914,-0.1927629583407527,-0.1202642100899725,0.30926363504151577,0.2673625040597403,1.0,0.2163964416650306,0.027904957412075902,0.08603639515927246,0.18434533289987645,-0.09307797748019689,0.3059281707832631,0.10427733263015378,0.265622429279921,0.19580163466704686,0.2827084130647783,0.1898105033403541,-0.1358203784575468,0.20773476661657916,0.0222713571694339,-0.22459771244291293,0.15469989118532332,0.06701128496123031,-0.054278179959609325,0.26693807550389337,0.28268454896268597,-0.08673692446176622,0.04556597376228892,0.1160476532007457,-0.0651184227432772,0.2335444913566208,-0.0762013927054571,-0.21550636722997737,0.09789082341268947,0.24083971242222246,-0.01860783128189979,0.270014927677864,0.35889846092420985,0.0483105119027659,0.174276248358455,0.2206665503347106,0.03021644596361471,0.13129469301642377,0.24754821912889316
Cingulate_Post_L,0.027319210704688162,0.18342486913355788,0.26728241097196626,0.21957063991830633,0.1995743493210602,-0.027027842277615333,0.2163964416650306,1.0,0.31181438503715064,-0.12934534641816753,0.36790980689288477,0.11461513964582416,0.5039827820121314,0.15272268199301905,0.36546892428014655,0.03423805216016392,0.06759679609233853,0.20694207312769233,0.2171051746332708,-0.16735878464122084,0.01416477733261197,0.1242186058199529,0.6254105767095476,0.4007985018174279,0.013452678399643495,0.4621711471656106,0.3737472006029006,-0.09568879482197168,0.31226762646782985,0.4180708054280913,0.3037267082175749,-0.06926449156653752,-0.3382110649879941,-0.05435346531646953,-0.3057495624462305,-0.07007854099759826,0.13533828562801076,0.30960978871908307,0.38575926414316514,0.26211321083146566,0.16056505356472642,-0.18378373570637666,0.1702415429420132,-0.08222195872782305,-0.1636797850842099
Occipital_Sup_R,-0.43172945032514826,0.2603498932073246,0.4251435709398426,-0.1675813582334378,-0.4363393048966734,-0.3410225913547478,0.027904957412075902,0.31181438503715064,1.0,-0.061887321461980505,-0.38599725058790035,0.3007355122415158,-0.19342168459535652,-0.14516934593848954,-0.21887277282869222,-0.26982783342335914,-0.4324783034019062,-0.35916152753478764,0.2188498045348935,-0.621545952456837,-0.03728460784749398,0.1383122614832355,0.6049388922291212,-0.3581813252289504,-0.11076188117255993,0.13380885948775323,-0.31349198332143424,-0.2440433127563999,0.7766347581621734,0.2851080280279933,-0.00788018979886513,-0.5970945667012854,-0.4341818690998,-0.16899468126198766,-0.7542373457248203,-0.6420901683804896,0.06820055660876528,-0.16391265814545478,0.22284804637345457,-0.02335733615038463,-0.08949802134996694,-0.587384709728647,0.5305751602923297,-0.4720279386989626,-0.6223625144529061
Cerebellum_9_L,0.14689622118461065,-0.23105115728027098,0.04994730164570086,0.06797354158444484,-0.07168750517381883,0.0479213332353691,0.08603639515927246,-0.12934534641816753,-0.061887321461980505,1.0,-0.015148679607639241,0.08869625518291804,-0.04434446668706612,0.44549860078128534,-0.16206308287346105,-0.10604743899817685,0.12044104803861891,-0.06064238441642489,0.17326215804015674,0.04039956687994092,0.09933517003648946,-0.11703002828389251,-0.1515722221183401,-0.2545643473114333,0.030463339068355567,0.04112255083901208,0.04495650679518156,-0.44853803191270614,0.013753895493973387,-0.1176116988031227,0.0810615556355066,0.1529822469963941,-0.09305600313171877,-0.09127603883250122,0.1166229466128406,0.09309436983090486,-0.08960220496228276,0.23712331043130672,0.0020475497768496585,0.060567969732866926,0.1358446905193303,0.07723349166670536,0.1413646275074489,0.09522204004335999,-0.0003430478848485707
Paracentral_Lobule_R,0.6142814893877465,0.012279886719192324,-0.05427525768737521,0.3418278274096094,0.6690106812406068,0.44371095817048345,0.18434533289987645,0.36790980689288477,-0.38599725058790035,-0.015148679607639241,1.0,0.034643187648736584,0.8536411960491348,0.28738481715555625,0.47593097492336595,0.3458252407390565,0.562942008499755,0.5172556628583922,0.15416383578641876,0.5440682275636091,0.0864622455360334,-0.011009235513112543,0.18578336652691396,0.49647792794237894,0.15099947719689694,0.35162172483497517,0.8725726551242461,0.17586588663214273,-0.2392114554016254,0.16114208188762474,0.09648692678822275,0.5497536567130229,0.2129525364607848,-0.001811438819406222,0.518343457760573,0.5905210888557898,0.026800925244699726,0.5081905588361835,0.3142883020766692,0.3007459431914396,0.2803311429651506,0.3928501291252262,-0.13446156927632957,0.3143700194557903,0.42341144052345436
