,N_Acc_L,Amygdala_R,Lingual_L,LC_R,Temporal_Sup_L,Frontal_Sup_2_R,Cerebellum_4_5_L,Frontal_Sup_Medial_L,Raphe_D,Temporal_Sup_R,Amygdala_L,Paracentral_Lobule_L,Hippocampus_L,Vermis_9,Thal_PuI_R,Frontal_Med_Orb_R,Occipital_Mid_L,N_Acc_R,Caudate_R,Paracentral_Lobule_R,Thal_AV_R,OFCpost_L,Cerebellum_8_R,ParaHippocampal_R,Vermis_4_5,Thal_PuA_R,Frontal_Med_Orb_L,Vermis_1_2,Temporal_Mid_R,Cerebellum_7b_L,Pallidum_L,VTA_L,Cuneus_L,ParaHippocampal_L,Cerebellum_6_L,Occipital_Sup_L,Precuneus_R,Occipital_Inf_R,SN_pr_R,Thal_MDm_L,Cerebellum_6_R,OFClat_L,Rolandic_Oper_R,Thal_IL_L,Rolandic_Oper_L,SupraMarginal_R,Supp_Motor_Area_L,Thal_VL_R,OFClat_R,ACC_pre_R,Caudate_L,Frontal_Inf_Orb_2_L,ACC_sub_R,Olfactory_L,Parietal_Sup_R,Lingual_R,Postcentral_R,SupraMarginal_L,Frontal_Sup_2_L,Frontal_Mid_2_L,Fusiform_R,Cerebellum_3_L,Parietal_Sup_L,Thal_VPL_L,Temporal_Pole_Sup_R,Occipital_Mid_R,Frontal_Inf_Orb_2_R,Parietal_Inf_L,Thal_MGN_L,Thal_PuL_L
N_Acc_L,1.0,0.017299916026840785,-0.3347510343452845,-0.5182528056292176,0.8192172099436552,-0.44898125996151195,0.3661765449211094,-0.4891296021687761,0.13271198338083415,0.2884653975886112,0.39676736794319234,0.501799660388872,0.5293583467546503,-0.4949020846541784,0.34179397857634053,0.04823507645721782,0.5042440382614585,0.3630003183667319,0.2713657235805996,0.6801521947040259,0.015019827909840888,0.4236361756544822,-0.6122605596752716,0.19361846164430094,0.3017404299035985,0.2006486278472436,0.013929769246229025,0.5827155287498289,-0.29838291591966926,-0.49311486652173914,0.42882399924532777,-0.02578087733686402,0.4774128592737541,0.5231984190194163,-0.47351205636441046,0.5718375207747903,0.6527932942026352,-0.4749306155481111,0.2077709768920916,0.1771435852289972,-0.5727002749444028,-0.07069281497592539,-0.1802803689442756,0.46463144244797033,0.6001409489452519,0.35114727881754054,-0.019055653660981168,-0.022167678488048514,-0.1520387841426192,0.19487227385264372,0.8289929911213089,0.1312699851155807,0.1947502403056636,0.49121069338059464,0.5526825620640984,-0.3811704499283796,0.1995747274231158,0.4521668160132099,-0.5137029367245122,-0.29570406613856925,-0.339372193686861,0.006942154851758205,0.5386620578340484,0.7824093501448545,0.06499184004101136,0.4782386824783045,0.13673251498950242,0.47303663546746244,-0.10376429818263827,0.28947282587146034
Amygdala_R,0.017299916026840785,1.0,-0.42420081726694026,0.22081055357052454,0.32570968513770143,-0.5969242806516103,0.3765346622362082,-0.35553802023083714,0.07525118897286065,0.5374569990338667,0.8386654198943149,0.3799593854759341,0.6316444862079811,-0.48009643871425517,0.6277019505994159,0.6560288907238088,0.456607120239102,0.4202641441852027,0.8108277779419496,0.29028580754589545,0.6565412045359084,0.7125162433405746,-0.42935391655390115,0.780706890448876,0.2708484778880205,0.5998338944965536,0.7053512537232203,0.29240393031310147,0.7992900080853259,-0.5649783492167206,0.33194485607488816,-0.5938111791888432,0.4375412989622172,0.6326433513287151,-0.4885657948942824,0.5827261297206698,0.5583864128435244,0.04486340843783883,0.6012115630960686,0.7654578451669711,-0.2941442575316828,-0.3675888306249272,0.6874018427116099,0.42114618391432407,0.5986238379159263,-0.34589983850618616,-0.3948616185595478,0.46495547854205294,-0.6074554356405536,0.7926542617622961,0.3931051159396075,0.031599164411833955,0.6710290581662747,0.6319394333472134,0.11050854503358926,-0.2901503706537356,-0.44671543028671273,0.6704536425452657,-0.4197213517555416,-0.37308070969271756,0.5449743784183623,-0.4660582530691064,0.6348777320568988,0.1278648480098748,0.7885245633856991,0.3662468921396169,0.7554916804270531,0.6717673965861104,-0.006026491243260448,0.3498703729229176
Lingual_L,-0.3347510343452845,-0.42420081726694026,1.0,0.3790006544272411,-0.3504685128456128,0.8370034685415215,-0.0019321532966097598,0.7415259354430659,0.008407961899680192,-0.17452387838264918,-0.5516102275099817,-0.26768244290158133,-0.436638780728893,0.9321947898058899,-0.3292296514549263,-0.5979613231608027,-0.32958516282912736,-0.11269370250212515,-0.6733761382593222,-0.4675198211978281,-0.5042836517662755,-0.8098341072476923,0.894994162742522,-0.6842824359561764,-0.07639479159231367,-0.27442330519117525,-0.6367740059956162,-0.15348449700150535,-0.20546835030152202,0.9179585898604166,-0.6366924811184742,0.7197702240681887,-0.06260803560830588,-0.6307193259149863,0.9528840371816194,-0.45877618514874163,-0.6303877283198207,0.4990266558636149,-0.4815615018325074,-0.28265238464871145,0.9178956024695223,0.44836820457085924,-0.09903812075814489,-0.5474195890663313,-0.6238043173842733,0.2546982946620205,0.7184412992481862,-0.26754941414221267,0.747674897677971,-0.7414003642725121,-0.5440178824346242,0.20755982614006188,-0.8173260892196498,-0.7461153312684601,-0.29388927441939944,0.9568800275227172,0.4837897881947962,-0.6590416922993294,0.7862386905921737,0.6792016662812532,0.2994079895430978,0.8000015211105396,-0.7655507584458876,-0.30162281229897375,-0.6977289766289664,-0.32566401235068,-0.7923885772535453,-0.6991609977987346,0.41391056844101515,-0.21974903167705626
LC_R,-0.5182528056292176,0.22081055357052454,0.3790006544272411,1.0,-0.34315382748990214,0.29256180557750994,0.11245997696196876,0.4396060431975535,-0.41967433471048904,-0.07834849165715978,-0.01517384108044088,-0.46516495079861325,-0.2611962567915516,0.46917486787084844,0.1381052968000874,0.11782719693657727,-0.41540885339872236,-0.09672090515621072,-0.012819299904476736,-0.6002615698799011,0.27594695724849627,-0.1708166827073691,0.5518239424368646,0.15032270694651773,0.17570020120369367,0.3124594512198337,0.05840975798627605,-0.1126090913379667,0.3972864625771028,0.4167340414296597,-0.09455486773085581,-0.05051489879915263,-0.20761869668113758,-0.062374896557201874,0.4148722631898243,-0.39204582018663,-0.4659464574184939,0.2612796354137946,0.0897791086920462,0.1224810474213823,0.49920725212352113,0.20067391877590543,0.4576225878552125,-0.1795761700324025,-0.24214482768056905,-0.4943167774219702,0.003760670704579784,0.20538286471806272,0.1419346552196211,0.0033318199573726835,-0.3074051117648392,0.11920389208878446,-0.05756588711098242,-0.1871755374475837,-0.31440773115626053,0.4992668246213148,-0.30173272826334735,-0.32375175425551467,0.3981881096829189,0.2620229243489988,0.603848772448485,0.03758867593786393,-0.4370277509066033,-0.40540567396089305,0.08636986065835628,-0.4943510892058041,-0.01839944799772442,-0.36017496435734186,0.10257966229828855,-0.11044023540727618
Temporal_Sup_L,0.8192172099436552,0.32570968513770143,-0.3504685128456128,-0.34315382748990214,1.0,-0.5609860620143803,0.5201821628447024,-0.4732400134708191,0.11203936634274547,0.44159774085720616,0.6177157395472869,0.6314217593862405,0.648511875209061,-0.5240837889245423,0.4818095568894736,0.2737129015597934,0.6451736279644178,0.35937454077430814,0.495806722332336,0.7084212093122472,0.21713894326033242,0.6025994467596744,-0.6288524107057465,0.42126893175783203,0.4563179512052137,0.4046690769672851,0.24653074680190618,0.5987665137272962,-0.029006947670926278,-0.5573318997284192,0.5280099083923677,-0.19209799041204415,0.6755963397604702,0.6340043362896146,-0.5073446910844498,0.7233776199164189,0.8038863689753573,-0.4489885750075754,0.45586107594126135,0.3379547811069298,-0.5070190072347571,-0.12770980587283698,0.1522022812720942,0.6112532317986608,0.8403513432925613,0.13856227399803253,-0.05701322421158439,0.10564223180306696,-0.3549400620279926,0.4306761604271938,0.8791989555061868,0.20801191103953617,0.4106488561252228,0.6334392093135728,0.437926156663571,-0.3068134314121433,0.0483944813480963,0.6676260253528531,-0.5272173762818985,-0.2955199940388988,-0.0655449903764017,-0.05953294627274668,0.6696896811196642,0.8403221216571403,0.3478354780982602,0.48897325435183914,0.3774126181512024,0.7010614268325315,-0.0474540064352663,0.24473956793901464
Frontal_Sup_2_R,-0.44898125996151195,-0.5969242806516103,0.8370034685415215,0.29256180557750994,-0.5609860620143803,1.0,-0.1820555839704674,0.8956715517035445,0.06120124029898364,-0.2934721748097624,-0.708397219579653,-0.381209495700181,-0.5421794071360495,0.9295637221316123,-0.32841682314904147,-0.6736196123703019,-0.660909117846769,-0.31026435022525634,-0.8169053955393667,-0.573524252364443,-0.5680082296203216,-0.9263902134892235,0.8910043529976239,-0.8106403545023431,-0.1843047204617188,-0.3318955358509697,-0.6893301095599582,-0.1991161851250925,-0.4044296373746542,0.9195940635470206,-0.560008930939152,0.7022267578032255,-0.4610543822076657,-0.7654624997340645,0.914443290061826,-0.7740243387386763,-0.8031859641484325,0.32857811811691534,-0.48106836911703804,-0.41535928484674867,0.8090519541244704,0.558218373730097,-0.20460208241557273,-0.5135205373647519,-0.7489281677850674,0.22602831632329906,0.7570281037559392,-0.15139657477918783,0.7917771369113001,-0.8499726163620382,-0.6806136729579961,0.33851474601315923,-0.8512110283127691,-0.817139679550748,-0.3338473102869068,0.7525386156652267,0.4985486570172792,-0.8015182276640439,0.9390193478952655,0.8233290316188245,0.051750289371763306,0.7445716201111194,-0.9083584252181908,-0.3465913312431058,-0.794158728840753,-0.6003044456848596,-0.8137077705931688,-0.850231844484449,0.29058558245741034,-0.32990174943850176
Cerebellum_4_5_L,0.3661765449211094,0.3765346622362082,-0.0019321532966097598,0.11245997696196876,0.5201821628447024,-0.1820555839704674,1.0,-0.09201502891106818,0.04164697950087499,0.6256332155926912,0.5281331903979034,0.4765239584872933,0.4773727305267873,-0.13884987184177852,0.6403377940307364,0.35518938824311946,0.08787706656576523,0.26700962437652115,0.4692080154650188,0.3305714870843667,0.41950495993504217,0.38195038652240815,-0.23900992547051866,0.4087736068083018,0.8945226866149394,0.556736239954777,0.28378142795051553,0.6583484786766594,0.2609340599540494,-0.19403748135797916,0.5300183106758914,-0.19164856726334029,0.4674588778463832,0.5872747219297031,-0.15724786152904988,0.31396917145281256,0.4612901779181905,-0.09216027843740855,0.6210216725147043,0.48861258362357163,-0.13326712290829676,0.19553958026064827,0.5592752906599977,0.6076839202266671,0.5673242688148961,0.0710888623314205,0.12204757456406244,0.5325028489596705,-0.1800858315730261,0.3279057395486552,0.5381795775570245,0.3888522149090872,0.32882847574942514,0.42933079898789256,0.2307924250700172,0.06343709822759581,0.15558473598343966,0.2422893780609991,-0.16870906587527895,-0.12765149981805457,0.3886065190790941,0.11423398803211204,0.2455089958370309,0.4580472611410335,0.35305739165181416,0.12254931014002372,0.3548553348272565,0.2759022029371279,0.06528981299014057,0.2875913662927095
Frontal_Sup_Medial_L,-0.4891296021687761,-0.35553802023083714,0.7415259354430659,0.4396060431975535,-0.4732400134708191,0.8956715517035445,-0.09201502891106818,1.0,0.08546450923619761,-0.29262833023350143,-0.5180622371948501,-0.3500321756172168,-0.4493336115245358,0.8369520352757686,-0.1672199785514181,-0.4244444955466131,-0.6031749980939898,-0.25828092225785426,-0.6081204189200441,-0.5602087119646756,-0.3183636270276824,-0.7661063151632028,0.8443680195984472,-0.5648642397002889,-0.05297732247119467,-0.154374589800007,-0.4457617440454358,-0.1376546373948015,-0.1836185955248552,0.8086982915189871,-0.4080335879074151,0.45503921388159063,-0.41993031556668386,-0.641806809425172,0.8160532050003767,-0.7050181977988215,-0.7173598351535984,0.34737907133366747,-0.2896967250829225,-0.3005048081321314,0.7923829819932995,0.4549681477493432,0.007660959076578391,-0.37068424012174106,-0.5699532000978077,-0.1037737731173683,0.6823715640731955,0.046880452736247746,0.5755127606541297,-0.5971541501491936,-0.5809552457163186,0.4571257659238802,-0.6337514262704714,-0.6681860947334365,-0.4456645419273274,0.7022814616046092,0.1914196134857603,-0.5742113291986135,0.9746233240556764,0.9144020952794971,0.3000357257900209,0.5827149504962316,-0.7855261288037574,-0.2533273371596218,-0.5517455968604681,-0.6750872785208119,-0.6063286033106393,-0.6539832027597552,0.24852026263474777,-0.3107837542601883
Raphe_D,0.13271198338083415,0.07525118897286065,0.008407961899680192,-0.41967433471048904,0.11203936634274547,0.06120124029898364,0.04164697950087499,0.08546450923619761,1.0,0.33332957482715364,0.13070099730144286,0.5875803669579893,0.31012335997961077,-0.07476008770905701,0.19726748332588792,-0.1932186188608833,0.30920308567581395,0.34475046295187345,0.08332781750690502,0.4677718948148673,-0.08013300631574048,-0.0006001640354556289,-0.09979192751973526,-0.1359071195857319,-0.1275536091704925,-0.055350217008487586,-0.11375951575045821,0.28603096093268576,0.06452281432469419,-0.1078660085939556,-0.11130130200771396,0.013664360330888314,0.20337514615232247,-0.16493776660684714,-0.06331644240085181,0.2651246201159008,0.2946312485970294,0.16091331590220315,-0.011221080643297117,0.24778784878076035,-0.05264023428763076,-0.04408651442388001,0.03452943152647542,0.0862031629514592,0.12149627800865907,0.294014424021582,0.41690923813539676,0.25716678577549695,-0.08619138131983399,-0.01307069370684266,0.05386469237224485,0.18240853469245757,-0.09196470608813591,0.08688241879944887,-0.015308377352323741,-0.07444824608236765,0.2675279848332157,0.3367551473185023,0.11228939204693555,0.23532399474318746,0.032157336352572195,0.1995126667143124,0.2590848452917591,0.22366020106600723,-0.010758467205617931,0.2883423869074691,-0.009874254776389903,0.29915532848013626,0.06271255424571076,0.263533781784804
Temporal_Sup_R,0.2884653975886112,0.5374569990338667,-0.17452387838264918,-0.07834849165715978,0.44159774085720616,-0.2934721748097624,0.6256332155926912,-0.29262833023350143,0.33332957482715364,1.0,0.6006684050230937,0.6999398276982725,0.5679817063276941,-0.29830104472815794,0.6604590702277501,0.24164977444607544,0.3093018477586052,0.4924198509065805,0.5508227110575633,0.5342825237799742,0.4050810700399263,0.4657201099101496,-0.39181040141651485,0.38262954196260496,0.4263739328229288,0.5007863634891666,0.3042993196890626,0.5869173271381453,0.47792906677396335,-0.37427186196450146,0.3152661797098831,-0.21746397312878094,0.5131880792134621,0.49315212534748576,-0.3097504668724047,0.49195649663595953,0.6085244705409973,-0.04664277631611094,0.43654427774788046,0.7475896583223233,-0.24848883125670562,-0.10257399336336137,0.6331410223856232,0.4320339389362776,0.57303249423127,0.3602317017735347,0.09214480258003635,0.5171260127378009,-0.2737736716249793,0.39045952979382625,0.4449286029768021,0.1577645790700669,0.3381150468276561,0.4452542927441477,0.38807116158758054,-0.12526883852406767,0.3046954412140458,0.3765207922056697,-0.3265832856559949,-0.29688835107511397,0.30398695171281626,-0.05617232822953926,0.44841405416943503,0.26757266890411935,0.41876717779605793,0.4635340643522787,0.45456139991383987,0.41748098331225353,0.0986078692309448,0.45821866041389053
