,VTA_R,Insula_R,Thal_AV_L,Cerebellum_9_R,Frontal_Med_Orb_L,Putamen_L,Vermis_1_2,ACC_sub_R,Thal_VL_L,Precuneus_L,Thal_PuI_R,Cingulate_Mid_R,Thal_PuM_L,Precentral_L,ACC_pre_L,Occipital_Mid_R,Rolandic_Oper_L,Calcarine_L,Rolandic_Oper_R,Thal_VL_R,Supp_Motor_Area_L,Frontal_Med_Orb_R,Angular_R,ParaHippocampal_L,Calcarine_R,Paracentral_Lobule_L,Cerebellum_Crus2_R,Thal_LP_R,Thal_MDl_R,Cerebellum_6_L,Heschl_R,SupraMarginal_L,OFCant_L,ACC_sup_R,Cerebellum_6_R,Olfactory_R,Frontal_Sup_Medial_L,OFCant_R,Parietal_Inf_R,Postcentral_L,Vermis_9,Caudate_R,Vermis_8,Cerebellum_3_L,N_Acc_L,Hippocampus_L,Temporal_Mid_R,Cerebellum_7b_L,Precentral_R,Cingulate_Post_R,Temporal_Sup_L,Thal_PuA_R,Cerebellum_7b_R,Temporal_Inf_R,Thal_PuL_R,Frontal_Inf_Oper_L,Temporal_Inf_L,ParaHippocampal_R,Hippocampus_R,Lingual_R
VTA_R,1.0,0.17989899569054482,0.690421371658721,0.06923767012985126,0.5414605276966312,0.5775009410437403,0.3159193830362124,0.6890731839669862,0.43927618100350313,0.426708146040124,0.30509424599681356,0.4312102400652921,-0.10683513819673723,0.3085070899318423,0.7072176419831961,0.18034788009180006,0.6252565003261192,-0.530222756479927,0.18076283900560233,0.35843560924107937,-0.5294993885087207,0.5960567854673574,0.13054132763390092,0.6781023868289684,-0.5255875850405869,0.13786416981020358,-0.6889173053719616,-0.31775763203611784,0.6474660261725245,-0.6843959918981875,-0.063692082668876,0.5242068418984227,0.5051051511488336,0.5070567588815396,-0.6748596242233946,0.736752356708081,-0.5272799327968605,0.2939697393623439,0.14370165813683888,0.48260931438281185,-0.7165598692287156,0.5964072512916989,-0.5174215425775665,-0.5917581536035581,0.47286434239376374,0.21833545047257003,0.1306666079546609,-0.6944111318688155,-0.6104362623757403,0.33007840810386085,0.4910751649546366,0.2843946774611455,-0.6841515684245316,-0.020444406651053862,-0.32080471757813267,0.5572484363807053,-0.39968126300295903,0.6789828456311893,0.5651686621903286,-0.6070020712758534
Insula_R,0.17989899569054482,1.0,0.16631420417690473,0.5068977953937597,0.04328921249388062,0.4697769691633802,0.7371665757539011,0.14869908151495567,0.7317209103297571,0.5189980720986733,0.6815801070176369,0.6090061488243447,0.539102251210093,0.564670976571749,0.3192730767420956,0.40328348656394375,0.6250712683140027,0.31021102374118464,0.40856463784303904,0.28274209491671193,0.23320541141905823,0.041239603616533636,0.47277346689832533,0.5042233483897901,0.22236926882500083,0.6038322641249156,-0.3012871266770812,0.18485178360475846,0.47025791675589507,-0.18635494167837469,0.4621744561500976,0.4379616670420361,0.20071969164782266,0.4548116276211517,-0.18815072409446523,0.4165560849654348,-0.18502997556402054,0.1455917079282529,0.4152671051575387,0.5013987726008312,-0.18736822121762983,0.39896908732380926,-0.17033736086911028,0.21071291122425934,0.6176114437015909,0.6681810384899401,0.17700308733641157,-0.27239551011568014,0.08240478001322629,0.6788768170446997,0.7461271189029849,0.5888212757006936,-0.16524589716236707,-0.07671326375295982,0.2950906022220317,0.6079659320770486,-0.05183139099703036,0.29537218986186603,0.6113318644132602,0.009720642313837877
Thal_AV_L,0.690421371658721,0.16631420417690473,1.0,0.059240614984084936,0.7507097154840491,0.6994516709232451,0.25281164973647996,0.7948536747298183,0.22861180251288513,0.3862187795808594,0.3567387448944755,0.6748465121450173,-0.16085129221534822,0.07487174055790162,0.784489165198365,0.16202408297787593,0.551471371056403,-0.3317266976456189,0.5656863676222184,0.5145023980664013,-0.6420332964022786,0.7624494836455654,0.02501155196735643,0.7077280010191845,-0.28421646666064837,0.04390219878812947,-0.43985049730364373,-0.5737726378390817,0.8174382958284461,-0.5353517227704531,-0.32021552076245874,0.4410992627393219,0.5676965874623411,0.7238362933842197,-0.40048897104704895,0.6981770581892696,-0.43406551539765575,0.2503996154782788,0.027830883653015063,0.33909940597533467,-0.5450514719163466,0.7313786435578643,-0.39510195386385216,-0.5883016136499454,0.08541008253628832,0.12630735861888517,0.5736592236687003,-0.5542995210672171,-0.7179425285958707,0.4690768872291132,0.25929555344245514,0.4811860859202779,-0.32054281492623005,0.3891886640921082,-0.48218088159739736,0.5638484258365916,-0.4871084354815983,0.8119558838350448,0.4790604804140497,-0.36711767600136347
Cerebellum_9_R,0.06923767012985126,0.5068977953937597,0.059240614984084936,1.0,0.00883640085396619,0.19427663877404233,0.547359156807736,0.06471596005128402,0.44283000191866884,0.21575530626198436,0.5615332083560572,0.4330676900608619,0.04004489876556319,0.1607926725000195,0.08310806773412198,-0.07628660524556279,0.328030876113707,0.2967956604786763,0.349500701183489,0.3475548250409367,0.2240263846058946,0.1123780225299355,0.0026212698036658603,0.3545857487199329,0.19095187449219045,0.2520182475038292,-0.060929590654107524,-0.01688274162662536,0.23310848148793478,0.0761059619674275,0.22145289168829957,0.062243516135507305,0.08033140747071092,0.2844525835785161,0.022258070645764814,0.1735819268698504,0.10364856557524811,0.23667436409225526,0.01823789247468056,0.12218330358232526,0.10898244969514584,0.22029528702734116,0.1948495056181265,0.22705893495649349,0.2816302743668265,0.47431449956918914,0.09313881157241206,0.05582896079942426,0.058352304386105454,0.5652762594321492,0.34976829326776193,0.5312526327552737,-0.10553059975085854,0.10483562669893065,0.05761089770220175,0.3590233630666498,0.12297735675550207,0.2163399186652737,0.40936697820899887,0.17605621677665065
Frontal_Med_Orb_L,0.5414605276966312,0.04328921249388062,0.7507097154840491,0.00883640085396619,1.0,0.7338531876162562,0.1399114369792289,0.8743464483679321,0.1304921045177962,0.5386274459777278,0.413768420815285,0.592002182078253,-0.11269072184637155,0.2395348347579284,0.8350875678540662,0.21610222345001695,0.6072023546367123,-0.36082298674854696,0.5423004543992868,0.49915379556877937,-0.6481982547260529,0.9159178283113727,0.10328837555772016,0.6991465215843674,-0.35317665697481687,0.2110998666760549,-0.5275301069432196,-0.5525533023672642,0.6495281608635887,-0.6387988587529634,-0.3546058057202787,0.5883590085197767,0.6975658805859541,0.7431126811989901,-0.4614742721035834,0.7312615231826012,-0.4457617440454358,0.20351626642764128,0.01822369007893392,0.5102895615365767,-0.6389971585380642,0.8018725719937669,-0.5761939242430694,-0.6835063875409528,0.013929769246229025,0.3109854055900652,0.619169105653471,-0.663099264443546,-0.822953602233167,0.3401389556221045,0.24653074680190618,0.4095510585529758,-0.3446951962143852,0.44799336008555646,-0.2775147580452979,0.5683055376505964,-0.6979475980687311,0.8346899874948687,0.5711551547405379,-0.5082882960190758
Putamen_L,0.5775009410437403,0.4697769691633802,0.6994516709232451,0.19427663877404233,0.7338531876162562,1.0,0.46120829861394697,0.8649620823039526,0.40988336331615993,0.8160285674586458,0.6318178212268271,0.7920077303356783,0.2164583476489235,0.53153686784937,0.9259797797190777,0.5022556265233344,0.8394057167504314,-0.25428621531339934,0.6167390316870053,0.5581098937652869,-0.5107441648651597,0.7047906126345745,0.45152105061882286,0.802543381347996,-0.28894277812385766,0.5477104508218221,-0.7047652812684505,-0.41075971522455207,0.7722976381437788,-0.7912240139237299,-0.13565225575536394,0.7949395354347722,0.7435906915556781,0.8726085707954996,-0.6589654636399899,0.9054599572851766,-0.6578382842364606,0.2881024913776381,0.3281139895614527,0.7605748207655625,-0.7817889499890617,0.9659511147444055,-0.7226170518530443,-0.6145863705659659,0.34286418818672354,0.6563259863125915,0.6518795479693317,-0.8197123964726596,-0.687416428442205,0.6055496198259297,0.5511037083926538,0.5748846325576781,-0.4630023516459817,0.313966816180682,-0.03290954567985783,0.7262433007760999,-0.759887658293319,0.8800178365758353,0.8368476360492085,-0.5620943062117016
Vermis_1_2,0.3159193830362124,0.7371665757539011,0.25281164973647996,0.547359156807736,0.1399114369792289,0.46120829861394697,1.0,0.260476957526354,0.7716289616721994,0.4783243495310243,0.7158766265672291,0.5667350200308802,0.4108430314653426,0.4292849768566988,0.33279083858971814,0.22186396435642042,0.5751182322142766,0.06922510262802786,0.3547981269259478,0.5188419632326385,0.1910389502393308,0.1833821297486332,0.32920434851235747,0.5667057328687668,-0.001361901214854855,0.5754281456552861,-0.38195001178962035,0.10306612819604469,0.4782233533730582,-0.2657470820174385,0.4250510698328052,0.36745473767108083,0.21520905111341168,0.467342285185613,-0.3080927263649393,0.4338483641365964,-0.1376546373948015,0.22158380994338878,0.2940464090896633,0.4049099598144258,-0.2259210936938172,0.4026051650084301,-0.2140488768182708,0.19148246405825722,0.5827155287498289,0.5415888009699716,0.07997387804440236,-0.31940471721765373,0.001999195316956374,0.6680246326794916,0.5987665137272962,0.5416955714265825,-0.35352332760984234,-0.14143783326380674,0.27864815929949355,0.5677591513624191,-0.09424801458278383,0.33319211278002914,0.603986233923421,-0.14025337921076972
ACC_sub_R,0.6890731839669862,0.14869908151495567,0.7948536747298183,0.06471596005128402,0.8743464483679321,0.8649620823039526,0.260476957526354,1.0,0.26277472719419215,0.6789704940037764,0.49813490768838864,0.6432273048114143,-0.13462649190632336,0.37146815877550127,0.9512834400773282,0.27257421249366837,0.7583945199093065,-0.5009834602796457,0.4825366221136452,0.5115521821606097,-0.7300452393687875,0.8530724856295171,0.22579165292685854,0.7983179529238503,-0.5275586164802656,0.3114886708092412,-0.7411830208613308,-0.5877534574758442,0.7699440926495693,-0.8377532959746022,-0.2935007671337846,0.7196166591660821,0.7498154898281265,0.8301885408623463,-0.7042145807036504,0.9088876016644613,-0.6337514262704714,0.3864170214652019,0.1455022719183696,0.6558899701119874,-0.825619510235603,0.896924955833365,-0.7368414047046508,-0.7697740284660077,0.1947502403056636,0.46268703305056635,0.5375288927178647,-0.8326290419554395,-0.8748582294951396,0.38849218873840097,0.4106488561252228,0.5425574249700448,-0.5610212940198118,0.32184888160075076,-0.29258439118841983,0.6904934410831567,-0.7713340820595201,0.9258072701479519,0.7498421746046546,-0.6929382767091037
Thal_VL_L,0.43927618100350313,0.7317209103297571,0.22861180251288513,0.44283000191866884,0.1304921045177962,0.40988336331615993,0.7716289616721994,0.26277472719419215,1.0,0.5594360016931277,0.586478295910448,0.42444811854737785,0.41939137937152327,0.6405861096667873,0.3680256102331581,0.3044791231360974,0.6688787111871434,0.08290914346558488,0.15160129530468455,0.4167988893119147,0.1692095840729435,0.15404370411403046,0.40858804080350714,0.5220799512742994,-0.028007840164620584,0.5994830507859411,-0.4460992998386465,0.32511960869208195,0.5681143406741045,-0.33569555086529484,0.5181854507074134,0.509976716383775,0.1666912839829388,0.3905362836746286,-0.3752507351078801,0.5014139430369101,-0.17570586345512773,0.208078829020755,0.4013003069387648,0.5455474016123254,-0.33346158678272003,0.3803264650042707,-0.30906862339034147,0.1363922458345906,0.7736131701542975,0.541152478097191,-0.11159052389783741,-0.38382166960227315,-0.023837668144612686,0.5631486345324503,0.8055418405788961,0.42620234624670145,-0.3924342127544132,-0.3456993473837901,0.26195257748491774,0.6592061185909599,-0.05565764066327872,0.2719996637404025,0.631224071852137,-0.22222434742033653
Precuneus_L,0.426708146040124,0.5189980720986733,0.3862187795808594,0.21575530626198436,0.5386274459777278,0.8160285674586458,0.4783243495310243,0.6789704940037764,0.5594360016931277,1.0,0.4987997925196922,0.6409343639106678,0.33509080760648247,0.7597658790890723,0.7599816293064932,0.6482742732313448,0.8400365401828732,0.009157626002447548,0.34971217054081644,0.3211982663431281,-0.2305230626152877,0.5177562528793451,0.691131092770526,0.6545038496662474,-0.090276023008385,0.8494180572434701,-0.6946978673760115,-0.06010667703947543,0.6462738553340844,-0.7159426683228463,0.09777843358698318,0.8376765847927009,0.5092233456864653,0.6296531874087661,-0.6241304892827538,0.8114966203159389,-0.6441660229840583,0.2832468331206094,0.5700896549949931,0.8629273846697824,-0.7285013303153679,0.7794144498754347,-0.7435824010063447,-0.33740427323676425,0.5367815993539474,0.7425635863400847,0.37367250270749913,-0.7486425803806319,-0.438290744841345,0.5395021303093609,0.7332820294588406,0.39039983514481047,-0.4735626409669417,0.013920902612462389,0.17624698604963568,0.6771890562800779,-0.6058779997641895,0.6305829205102688,0.8120429494660231,-0.4754820298518754
