,Vermis_4_5,SupraMarginal_R,Cerebellum_7b_L,Lingual_L,SN_pc_L,Thal_PuM_R,Frontal_Sup_2_R,Frontal_Mid_2_L,Cuneus_R,Temporal_Mid_R
Vermis_4_5,1.0,-0.12970732094091575,-0.1758589244218199,-0.07639479159231367,0.3026184796699836,-0.06928655491164691,-0.1843047204617188,-0.12252009446319767,0.19012537887728137,0.18419575635908336
SupraMarginal_R,-0.12970732094091575,1.0,0.14285087117425643,0.2546982946620205,0.007712411836735336,0.6598151497429687,0.22602831632329906,-0.04365981114814843,0.250414744203502,-0.4013831170481436
Cerebellum_7b_L,-0.1758589244218199,0.14285087117425643,1.0,0.9179585898604166,-0.433323597817991,-0.1277044637532842,0.9195940635470206,0.7131448004766028,-0.6088183135136935,-0.33187741160999024
Lingual_L,-0.07639479159231367,0.2546982946620205,0.9179585898604166,1.0,-0.322502267573828,0.10694907249126559,0.8370034685415215,0.6792016662812532,-0.34764540361304047,-0.20546835030152202
SN_pc_L,0.3026184796699836,0.007712411836735336,-0.433323597817991,-0.322502267573828,1.0,0.22605273046884256,-0.2826955761164917,0.006882131680142894,0.43377290322117096,0.2561276398842389
Thal_PuM_R,-0.06928655491164691,0.6598151497429687,-0.1277044637532842,0.10694907249126559,0.22605273046884256,1.0,-0.053285471032717066,0.01546085637214175,0.5416098770514229,-0.22064288630125234
Frontal_Sup_2_R,-0.1843047204617188,0.22602831632329906,0.9195940635470206,0.8370034685415215,-0.2826955761164917,-0.053285471032717066,1.0,0.8233290316188245,-0.6935179281981247,-0.4044296373746542
Frontal_Mid_2_L,-0.12252009446319767,-0.04365981114814843,0.7131448004766028,0.6792016662812532,0.006882131680142894,0.01546085637214175,0.8233290316188245,1.0,-0.5216936856101821,-0.2866077272936637
Cuneus_R,0.19012537887728137,0.250414744203502,-0.6088183135136935,-0.34764540361304047,0.43377290322117096,0.5416098770514229,-0.6935179281981247,-0.5216936856101821,1.0,0.34066783980020676
Temporal_Mid_R,0.18419575635908336,-0.4013831170481436,-0.33187741160999024,-0.20546835030152202,0.2561276398842389,-0.22064288630125234,-0.4044296373746542,-0.2866077272936637,0.34066783980020676,1.0
