,Paracentral_Lobule_R,Pallidum_L,Temporal_Pole_Mid_L,ParaHippocampal_L,Thal_AV_R,OFCant_L,SN_pc_L,Cerebellum_6_R,Precentral_R,VTA_R,Olfactory_L,OFClat_L,Temporal_Pole_Mid_R,Heschl_L,Precuneus_L,Occipital_Mid_R,Parietal_Sup_L,Olfactory_R,Thal_VL_R,Cerebellum_10_R,ACC_sup_R,Cerebellum_7b_R,Cerebellum_10_L,Frontal_Sup_Medial_R,Frontal_Sup_2_R,Calcarine_L,Caudate_R,Vermis_9,Amygdala_R,Thal_PuA_R,Vermis_3,Pallidum_R,Occipital_Sup_L,Thal_MDm_R,SN_pr_L,OFCpost_L,ACC_sub_R,Amygdala_L,Supp_Motor_Area_L,Occipital_Sup_R,Fusiform_L,Cerebellum_3_L,Postcentral_L,Thal_PuM_L,Thal_PuL_R,SN_pc_R,Thal_MDl_R,Thal_MDl_L,Frontal_Med_Orb_R,Thal_MGN_L,Caudate_L,Vermis_1_2,Cerebellum_7b_L,OFCmed_R,Rolandic_Oper_R,Vermis_10,Vermis_6,Precentral_L,Thal_AV_L,Rectus_R,Vermis_7,Thal_VL_L,Temporal_Mid_R,Thal_LP_R,VTA_L,Cingulate_Mid_L,OFCmed_L,Postcentral_R,Calcarine_R,Red_N_R,Angular_R,Cuneus_R,Occipital_Inf_R,ACC_sup_L,Thal_VA_R
Paracentral_Lobule_R,1.0,0.4023169012747146,0.4364336779000846,0.4357482522746064,0.25481709630395327,0.2689660347235253,0.6208822062015065,-0.5856032147135262,-0.14903011727472745,0.41319089096304834,0.5915345787419094,-0.3426062981499345,0.325908148179987,0.6372379078824122,0.8216178684619746,0.6800222510201359,0.7892541518930714,0.6327547629233586,0.20100771039294754,0.12852947137896586,0.3766024312150666,-0.44577296787683296,0.5632805154282466,-0.6827261637444564,-0.573524252364443,-0.046934129421857186,0.5139274540992301,-0.6447176773909428,0.29028580754589545,0.1716863183237745,0.5786193266598249,0.3298477150172303,0.7618329327151662,0.3859296872069631,0.3921178703780329,0.5881662362564865,0.4085160212762139,0.5455645000979368,-0.002785346137149086,0.8384351750150663,-0.4929482161174082,-0.13982229151914116,0.746251850341425,0.5089263571656145,0.3646574263913583,0.04710743652301833,0.5117919755248254,0.295993934260032,0.22162513845008674,-0.049851553263509256,0.7059211521307899,0.5295237002990169,-0.6557723319757605,0.5530574293076664,0.10928689529199671,-0.5069563466339654,-0.23538728836638567,0.7374157016837134,0.22114795118100203,0.5659432072913385,-0.6704242558665776,0.6571937194544198,0.07656555803408335,0.2098588911507163,-0.3084437310494296,0.7352528802588614,0.4245011526997876,0.14081489473199785,-0.10595798139817277,0.24767698481094805,0.7400888705709909,0.7382839420493217,-0.30145872112388566,0.6065507039100758,0.3977118275789417
Pallidum_L,0.4023169012747146,1.0,0.6662875852297743,0.765173478716713,0.6055194937525278,0.48256394713795986,0.3527344107562376,-0.6427925837708477,-0.5601223419996391,0.7646635796580208,0.6788539754938615,-0.001930093351954243,0.5951563459216725,0.4027829470558986,0.5244996563435678,0.022360176174993966,0.491373566506685,0.736223975627232,0.5763415379146181,0.6726802280129145,0.6352798769718654,-0.7200768763264652,0.8291417202497647,-0.5146401112244762,-0.560008930939152,-0.4590617211950421,0.6485295029971815,-0.6091747305373365,0.33194485607488816,0.4619882643060183,-0.012114907848695919,0.7784177184506837,0.262703705934783,0.5447992930051229,0.8563926450093111,0.6844487922333693,0.7480414497199828,0.4910655074459696,-0.39747904067488093,0.2887735894702857,-0.5052582933816879,-0.46297790438710773,0.44175033508040984,-0.2294735419655391,-0.25536596185758487,0.20439810356330393,0.6232337296768636,0.5258464998392887,0.6824346398985044,-0.29115581699783755,0.71193071910873,0.4927541019944994,-0.6285362141006854,0.7235064762362653,0.3413740442796899,-0.5545180470245609,-0.4014995645811099,0.256825524187772,0.6063074315734664,0.7072725365971947,-0.7177754010301428,0.5199828610696389,0.10618488462860359,-0.41449691870854677,-0.6265512828227008,0.6395529091903996,0.5388192165934712,-0.3254079706255166,-0.4840951244107627,0.6020644963460984,0.12432645681954571,0.21104014852698735,-0.5472169813473418,0.7304506447617158,0.6922702188364378
Temporal_Pole_Mid_L,0.4364336779000846,0.6662875852297743,1.0,0.8499799629283447,0.5350310850909588,0.3636908488184811,0.1162618040842802,-0.7258046959036938,-0.5950618548129065,0.6039454852572563,0.7157489499333614,-0.37525606187029376,0.6882035189616934,0.3170055020585852,0.6437310460537387,0.4725512818485083,0.7066190510037856,0.7938309394725217,0.1794081258823376,0.38014550650579176,0.5793311883779193,-0.5966753981155237,0.7555183862290169,-0.8399257255292362,-0.8582278962543642,-0.3840483911304868,0.7072882772128207,-0.779670990967578,0.5001032795572253,0.4133946521921718,-0.026587590933421792,0.6987143708305521,0.6167835734202852,0.6517417772775739,0.7156065470578001,0.8469041481208052,0.8095785758830892,0.6263805079147734,-0.7450852758983265,0.6467870051895179,-0.6390948352281903,-0.5998065008461156,0.48628663839746233,-0.03401378851835179,-0.11495750097343593,-0.007551639575106198,0.6575585725340156,0.6423323218446519,0.7049906984844692,-0.22606874740433786,0.7175943980374274,0.2488989825249915,-0.7807266961602303,0.8409967841645746,0.205556931251948,-0.6137648479978592,-0.454053642572127,0.2553028749818926,0.6677769230902382,0.8087085525969516,-0.78397992413695,0.3084405339371491,0.25736710374967015,-0.27837361565374347,-0.5595319384234906,0.7065468939153381,0.5147065002699264,-0.30858093506889883,-0.43000053173788594,0.30148184541356154,0.5138141716763832,0.5734091998296492,-0.35634824484100175,0.8524054357934228,0.4929574052850648
ParaHippocampal_L,0.4357482522746064,0.765173478716713,0.8499799629283447,1.0,0.6691658866329602,0.534462136516671,0.28153829316709195,-0.6582804187258972,-0.5878038453132761,0.6781023868289684,0.8155669321941301,-0.19144928307080522,0.6988674847696127,0.5014208872286267,0.6545038496662474,0.3930885708022802,0.6903526770785932,0.8512146995755506,0.44764567537947486,0.7074504143316851,0.7295187969125281,-0.606304556934717,0.8717942961725411,-0.7375379830826536,-0.7654624997340645,-0.2892726428853623,0.7997369095862318,-0.6984738590479607,0.6326433513287151,0.6293418582289693,0.07875011280222198,0.7837982731601334,0.590679475749895,0.7195276170469084,0.8274803360639678,0.8560223473596682,0.7983179529238503,0.7679671812176809,-0.5770081324806864,0.5899404140042884,-0.5559384825429927,-0.47849398839516766,0.5710172237645215,0.11576462205981275,-0.08368291374188544,0.09878014058820096,0.7364297911350872,0.7042232281637401,0.7203921342834673,-0.24841081053198713,0.8109989740937695,0.5667057328687668,-0.7534100522495748,0.7915826515276292,0.417155807786925,-0.5276890599579158,-0.36598925710500996,0.37062819832006205,0.7077280010191845,0.8470550384429959,-0.7422807458585533,0.5220799512742994,0.371163910790117,-0.30742653764166655,-0.5987628184263332,0.8144075344906266,0.5976500735923013,-0.31914875495739087,-0.3545282355874255,0.4530794581947068,0.40007704751965883,0.5591723332486644,-0.3667893681787202,0.8940231553668796,0.6688232421385049
Thal_AV_R,0.25481709630395327,0.6055194937525278,0.5350310850909588,0.6691658866329602,1.0,0.7183307635111356,0.2939705027820096,-0.3889869938184534,-0.7484233512341399,0.6238088294180207,0.6649195886734347,-0.3597938524861517,0.8481325458862227,0.46768256202767033,0.453507786763488,0.11891365911206989,0.51234729061822,0.731229178391798,0.731780759785183,0.6184769265578247,0.8606084828607292,-0.27319926726677213,0.5857984899069353,-0.41083887929085683,-0.5680082296203216,-0.3129071480538448,0.8252896670446217,-0.5332551254783725,0.6565412045359084,0.5867649743750583,-0.15739959290284145,0.8448566202540627,0.3146850141620581,0.40319417287953924,0.6994890834899634,0.7301931340638341,0.8175562479665618,0.6213957420725708,-0.5212347129064561,0.26809888013677957,-0.6157506608375903,-0.5997468385935781,0.4420612672914457,-0.07172413390832776,-0.363845832026757,0.382633558210558,0.8127822273184325,0.557328000746445,0.7544832432155345,-0.23430060217247545,0.4338444983626311,0.3441775888785028,-0.5648689558712995,0.6168794310427493,0.7205338107287595,-0.39988212277374297,-0.178778362736319,0.18958296583159898,0.9249986902289564,0.6807996891276716,-0.5030651942625232,0.26815399980724414,0.71637863667356,-0.6274240950572021,-0.8222764878326254,0.5496234096603815,0.756814265350443,-0.597987465818682,-0.2885562734812286,0.43360027985875715,-0.015316552652937195,0.2508238423837086,-0.10956223766894473,0.7334135509742838,0.7881597743574307
OFCant_L,0.2689660347235253,0.48256394713795986,0.3636908488184811,0.534462136516671,0.7183307635111356,1.0,0.49280474429809573,-0.4148610565478802,-0.7937273107187698,0.5051051511488336,0.6735631318594172,-0.29301562380985996,0.788799856440931,0.7209394052878844,0.5092233456864653,0.19117993679521306,0.6183110645713663,0.7180119630855776,0.5344709794068302,0.5694862118337605,0.7355921474272396,-0.27604026968837003,0.5402632832308866,-0.4062794273783878,-0.5883457375571686,-0.3115268264484181,0.7914182977262333,-0.587782459974956,0.754077112811299,0.4464857706863469,-0.017014559006225026,0.8103568568461579,0.40841443911211467,0.27064544589917416,0.7389380315987467,0.6881390654263877,0.7498154898281265,0.6663139335084811,-0.4404611281508831,0.3116402791693672,-0.7286979405566194,-0.6206265440036456,0.6825714385210757,0.05742861920284777,-0.24175184252692178,0.32778418642103074,0.5612375160509354,0.34595349171781464,0.6782406666653612,-0.24368884256479348,0.3363555702560494,0.21520905111341168,-0.6220946339748258,0.5964492828532683,0.5808922451354495,-0.6153619851512941,-0.3058206158674769,0.4718869779707596,0.5676965874623411,0.6709131370219408,-0.5259130947584737,0.1666912839829388,0.6816890795742149,-0.5593593370945568,-0.7737966562253771,0.5025729377851607,0.8618638492447898,-0.6605498460364965,-0.32756534653615293,0.3000922246624778,0.0039713390649016725,0.32677115958316144,-0.10454548392929763,0.6775806056120108,0.7347946258918955
SN_pc_L,0.6208822062015065,0.3527344107562376,0.1162618040842802,0.28153829316709195,0.2939705027820096,0.49280474429809573,1.0,-0.31563649327155413,-0.20365448910300593,0.28943141549529355,0.49018358245863636,-0.07992802206323485,0.3367108354065559,0.7004481291852854,0.6338887473941287,0.30518803687062274,0.5249854523235715,0.49688706066889704,0.4353867577565748,0.24088192619813925,0.4523399739896289,-0.2962515478176479,0.41246934339583224,-0.2792237232468847,-0.2826955761164917,0.0109407821790536,0.4659574654320599,-0.40484886170874035,0.42153340565870506,0.30201941667161664,0.5588390212123177,0.37513568411616205,0.4655988235792645,0.2353556920804531,0.42425565635289136,0.4256343574397864,0.35091966232848726,0.5357112701185606,0.15215040161143767,0.4324692704559809,-0.42870729239210126,-0.09655800342108652,0.6538902657885826,0.23835330429602455,0.17234551772564277,0.4324286900916895,0.4544178888410915,0.27814860645733064,0.28431487295657426,0.04543228761440271,0.3587118739559111,0.38380843685127064,-0.433323597817991,0.41869207297623623,0.33903024601113124,-0.41760614759239595,-0.047433198259519804,0.6586919817419249,0.12133185510374686,0.4248978801371914,-0.4598305715085587,0.4790921238983329,0.2561276398842389,-0.04210064249563401,-0.3171309345889428,0.5098818529741083,0.5214739730005078,0.004093572980389718,-0.04865980639660576,0.4309487151783205,0.3487282485161485,0.43377290322117096,-0.08190282111762226,0.4254484274353257,0.5131579517786555
Cerebellum_6_R,-0.5856032147135262,-0.6427925837708477,-0.7258046959036938,-0.6582804187258972,-0.3889869938184534,-0.4148610565478802,-0.31563649327155413,1.0,0.5067821780681044,-0.6748596242233946,-0.7609891999605554,0.36993012616108434,-0.5283209152482475,-0.4723627575537815,-0.6241304892827538,-0.42053982722512884,-0.7772646845674774,-0.797562464954202,-0.21903962435446783,-0.347839713629476,-0.48205832171850377,0.833726918477499,-0.7677310145162568,0.8325287354914347,0.8090519541244704,0.6733980143303677,-0.6188805367153899,0.9137810823561121,-0.2941442575316828,-0.2692699014143749,-0.037580236538788815,-0.5936890719159013,-0.5331492373727539,-0.4830458509190973,-0.6948956014153046,-0.7812944903398599,-0.7042145807036504,-0.5536828066942008,0.5857735225240184,-0.6249370068679967,0.7795019971633538,0.6365192923470577,-0.6122679534886976,-0.08977608850937036,-0.09292119927134425,0.2055460019469644,-0.5101501585683544,-0.42582651553102546,-0.44803930637286005,0.38408702850373694,-0.6761008288014053,-0.3080927263649393,0.8989738080295289,-0.7737305151707955,0.006500309151098486,0.8292172858275375,0.809054824226166,-0.4421534962282237,-0.40048897104704895,-0.7821455004860937,0.9422758424977318,-0.3752507351078801,-0.044767924907300014,0.13517314627428276,0.5495803751629349,-0.6280218541194319,-0.5131500141146638,0.2675404245361331,0.75415106548222,-0.2038319246296366,-0.5287690091588023,-0.4457470071930885,0.5860991578160996,-0.7294797249017952,-0.4408212667834168
Precentral_R,-0.14903011727472745,-0.5601223419996391,-0.5950618548129065,-0.5878038453132761,-0.7484233512341399,-0.7937273107187698,-0.20365448910300593,0.5067821780681044,1.0,-0.6104362623757403,-0.64333900371261,0.46416037123542325,-0.8978802527473941,-0.49115460861859006,-0.438290744841345,-0.10045542990427503,-0.6106521433459684,-0.7330533195428209,-0.3837163654664068,-0.5210161604940335,-0.6543265931105109,0.3351976089428669,-0.5427928180481387,0.5296190199500529,0.7488879212660814,0.4942965330050245,-0.7772762681872558,0.6739596959665908,-0.6437048026322122,-0.3586002576641293,0.3113924402924446,-0.8923387016795304,-0.3655304588667691,-0.3769600964111402,-0.7451614852627401,-0.754892885650739,-0.8748582294951396,-0.5576035181289574,0.7638475549426929,-0.2504747787093586,0.7965501319646867,0.8310089373619614,-0.5772745806171692,0.20075446334349192,0.4527110143632172,-0.21101187300283447,-0.5776429294187458,-0.372370285252945,-0.8236130150920067,0.33188879534100435,-0.36234707788376114,0.001999195316956374,0.6754166288758782,-0.7062248758117441,-0.4169061737747817,0.6732959445152549,0.39389002575454934,-0.3097671031180403,-0.7179425285958707,-0.7353581740470662,0.5894445833605488,-0.023837668144612686,-0.5981566090687617,0.6751362442861308,0.8706042383565524,-0.42989793746400323,-0.7944707592196619,0.9019385095873179,0.4956957459579552,-0.2743633362234471,0.10511861959312646,-0.24276650642217545,0.15046944048119415,-0.7181086996300504,-0.6421545619032915
VTA_R,0.41319089096304834,0.7646635796580208,0.6039454852572563,0.6781023868289684,0.6238088294180207,0.5051051511488336,0.28943141549529355,-0.6748596242233946,-0.6104362623757403,1.0,0.6688174355844396,-0.22440955488229575,0.6096678886758257,0.35977786533406203,0.426708146040124,0.18034788009180006,0.5692875247547269,0.736752356708081,0.35843560924107937,0.6416249498412708,0.5070567588815396,-0.6841515684245316,0.7935459815280818,-0.6119879937097711,-0.6585893207741269,-0.530222756479927,0.5964072512916989,-0.7165598692287156,0.2626591198155784,0.2843946774611455,-0.23360309076096705,0.6920968963336349,0.32112656231538517,0.47454688169735715,0.7231579741425934,0.6858895945865939,0.6890731839669862,0.4165564172117503,-0.5294993885087207,0.36205077535198954,-0.5562958335959881,-0.5917581536035581,0.48260931438281185,-0.10683513819673723,-0.32080471757813267,0.017152449849396144,0.6474660261725245,0.4514347578330656,0.5960567854673574,-0.4227725561065457,0.6460031358917946,0.3159193830362124,-0.6944111318688155,0.6527978622920361,0.18076283900560233,-0.601931956262861,-0.5137048775415239,0.3085070899318423,0.690421371658721,0.6966728334760363,-0.6945864905647843,0.43927618100350313,0.1306666079546609,-0.31775763203611784,-0.6482175710008002,0.5875460660132689,0.5042965083171121,-0.4721449178969887,-0.5255875850405869,0.4005014890863647,0.13054132763390092,0.25282494638151953,-0.4782753583938418,0.6939156059316456,0.4914652064389814
Olfactory_L,0.5915345787419094,0.6788539754938615,0.7157489499333614,0.8155669321941301,0.6649195886734347,0.6735631318594172,0.49018358245863636,-0.7609891999605554,-0.64333900371261,0.6688174355844396,1.0,-0.2948510141509087,0.7375328765362762,0.6778753566889437,0.768732253488345,0.44234775948371313,0.8369734618473154,0.9430908011312578,0.435215844159282,0.621368170118218,0.7504807253244422,-0.6322090225938138,0.8395990902659826,-0.7633005324406389,-0.817139679550748,-0.34489763838431425,0.8528733681976368,-0.8291097875083535,0.6319394333472134,0.5795969817283528,0.0884892061806187,0.7934290774522573,0.6874052229360172,0.6546501644468735,0.8157312483702781,0.9193995934008682,0.829752843170053,0.8399025503721028,-0.5200962509682865,0.6529753162673287,-0.7353372896327297,-0.5490948921567786,0.7735236148408176,0.15860501461828688,-0.0320050881238065,0.04962408531713867,0.7399375752873117,0.627855852934354,0.6300570646445836,-0.21948638261866105,0.7652431085282836,0.5023724427607781,-0.8508755833444412,0.819386134504434,0.364991116151029,-0.6912517177154044,-0.47836896777918897,0.5899985235050211,0.6213477644667104,0.8886802216033133,-0.8439051693348658,0.5084481173081254,0.3915013540932618,-0.3164037658759874,-0.678059380131996,0.8241086893634656,0.7404939781746505,-0.390605176431266,-0.44395541661659443,0.4821573364856824,0.447556983789035,0.6289767516973321,-0.4262705320241004,0.9005874443780233,0.707960649286051
