,Thal_VA_L,Thal_LGN_L,Cerebellum_3_L,Thal_PuA_L,N_Acc_L,Parietal_Inf_L,Cerebellum_7b_L,Occipital_Inf_L,OFClat_R,Thal_PuI_R,SN_pc_L,Thal_MDl_R,Precuneus_L,Frontal_Inf_Tri_R,Thal_MGN_L,ACC_sub_R,Temporal_Inf_R,Thal_MDl_L,Frontal_Sup_2_L,Thal_VL_L,Paracentral_Lobule_R,Parietal_Inf_R,Lingual_R,Putamen_L,Thal_LP_L,Occipital_Mid_R,Thal_IL_R,Raphe_D,Red_N_R,Cuneus_L,Thal_VPL_L,Occipital_Sup_L,Calcarine_L,Occipital_Inf_R,Frontal_Mid_2_R,Thal_LP_R,Cerebellum_3_R,Supp_Motor_Area_R,Frontal_Inf_Oper_R,Cerebellum_6_R,Cingulate_Mid_R,Calcarine_R,Vermis_3,Heschl_R,Thal_PuI_L,ACC_pre_L,ParaHippocampal_L,Frontal_Inf_Orb_2_R,Cerebellum_Crus2_L,Cerebellum_Crus2_R,Insula_L,Thal_PuM_L,Hippocampus_L,Hippocampus_R,Cerebellum_Crus1_L,SN_pr_R,Thal_PuL_R,Temporal_Pole_Mid_R,Angular_L,Frontal_Inf_Oper_L,Temporal_Pole_Sup_R,Cerebellum_4_5_L,Frontal_Sup_2_R,Temporal_Mid_R,ACC_sup_R
Thal_VA_L,1.0,0.6883469334826233,-0.26612183677128703,0.3218020471302709,0.6823537178870087,0.6070167983852227,-0.5979509826976407,-0.6585391438248385,-0.47248826576088204,0.6173472467831389,0.38772280311231966,0.6932306535249265,0.6748366500286306,-0.2188847301819961,-0.15044944339879987,0.6332013544762788,-0.11533204096269482,0.6079777643923385,-0.5307751765678063,0.8096364750216005,0.5901015897245825,0.27489709199734746,-0.4355239313404781,0.6604070043689804,-0.24010211742234613,0.2508439908800052,0.5181010497508947,0.0446575750947485,0.5575109436304271,0.43552008670948544,0.7829676573747721,0.5259106931279175,-0.14209564929073762,-0.4814126046005111,-0.6192365166854545,-0.12592508292018706,0.5834116139886771,-0.1201225087549958,-0.4046188906875228,-0.5829708843538992,0.5702677475610403,-0.2420238108254282,0.20742446605616952,0.25845929453299954,0.7632707039803983,0.6858359308710007,0.7767578765091008,0.5674676943338706,-0.6509918047475336,-0.6513606135466029,0.5717933658256666,0.10130166644649591,0.5596737568140746,0.7719015481524142,-0.633530664243254,0.6598754544277667,-0.05266845671007016,0.5014872572251552,0.6087374341030466,0.753846490431269,0.5319477695520171,0.6247675731938176,-0.5783484833385191,0.09071631369399603,0.5977095721900382
Thal_LGN_L,0.6883469334826233,1.0,-0.17745827665941283,0.19754220772798164,0.4777693436524881,0.6162487894940774,-0.5375000968105494,-0.5720856912054072,-0.4628128797791221,0.5048198724207216,0.7004817206167022,0.4484716939296149,0.6511019708692428,-0.06807836638901148,-0.08277449291655724,0.47145192597733904,-0.11922220794841909,0.3008701589945349,-0.27675457553185984,0.6586263752432439,0.6485450028725414,0.18164533116597875,-0.45301733498232793,0.5261775576564086,-0.033831806447639695,0.15895811121066392,0.41332059895339324,0.49922341386621216,0.438773130683859,0.25994416931353065,0.6939649546474959,0.40229985880731606,-0.206251811132531,-0.4671063632638629,-0.4121321932950758,-0.02713163382245505,0.49358852253502516,0.11948070681007396,-0.2660581085132335,-0.5232773247051845,0.4045681134289237,-0.29998841737274784,0.4097739509481454,0.22092138745393144,0.6916483135984264,0.4697426744940812,0.42276979652813707,0.49068357336858626,-0.6121103982517657,-0.5459448962665089,0.5745191917337451,0.16362063071936583,0.5854435389044729,0.6680673405584897,-0.5774988388016639,0.6054456893864838,0.17562497305862168,0.34943111057109016,0.5967219522149517,0.6085884679745861,0.42976808455534665,0.41748607871490134,-0.3781823701579801,0.026449976381162244,0.49750230277811786
Cerebellum_3_L,-0.26612183677128703,-0.17745827665941283,1.0,0.06350367998042783,0.006942154851758205,-0.5327812765431321,0.7297095638327135,0.7617546486620089,0.7559917314062848,-0.13663474870550263,-0.09655800342108652,-0.4191258871920595,-0.33740427323676425,0.24670245278200684,0.4241495026210396,-0.7697740284660077,-0.3438435062770239,-0.21602928826911905,0.6382522395582989,0.1363922458345906,-0.13982229151914116,-0.00828683705248884,0.7220346147518492,-0.6145863705659659,0.24972265801666818,-0.16967132072494842,-0.31612844330164847,0.1995126667143124,-0.06833250558700332,0.06284802378602854,0.054185430238302724,-0.2840035160000627,0.6880814435990432,0.24750049233172636,0.7214351142405975,0.5482358814991652,-0.0024992043979961444,0.7996068511089347,0.6018334754932434,0.6365192923470577,-0.2703951574920183,0.6735399276260667,0.477719912948881,0.42889186157776304,-0.024774487635471423,-0.7300981843888628,-0.47849398839516766,-0.7519452445210304,0.6966935716914163,0.6066335453416015,-0.38988716626922876,0.19527476352077996,-0.1751011384987514,-0.45448683645337506,0.7424562048321539,-0.381926506451391,0.26656034345211904,-0.7419986849493246,-0.5230329079653039,-0.2997073711851517,-0.7312520740442267,0.11423398803211204,0.7445716201111194,-0.467417862081696,-0.5181124942022678
Thal_PuA_L,0.3218020471302709,0.19754220772798164,0.06350367998042783,1.0,0.47384615192912916,0.4593347761468863,-0.35471631666157555,-0.33400492462690856,-0.1669530937809944,0.59667844834252,0.20871326859952474,0.3023511144988379,0.4716880997228141,-0.18837940925551735,0.19234866407502718,0.2252321679432275,-0.13522610832411308,0.5742017287882791,-0.3531652182374606,0.4075084166267605,0.3567312712372643,0.44766430882641306,-0.21932004988465414,0.39702056580693906,0.004192284399060679,0.40958733678224707,0.5764036957743542,0.12434582179039569,0.1859281192444543,0.5001763679823217,0.5072973726980337,0.6005540934691652,0.1254921564680531,-0.24189369974634067,-0.3581575298860003,0.08977779805547378,0.1987936766062585,0.016964482974877373,-0.29100321100422455,-0.33472474851135176,0.33752319381692536,-0.026608453047021467,0.44947973447170175,0.3195526861198645,0.49725271552352035,0.3301574696094409,0.46484523262460714,0.2896232268474346,-0.4001384138526991,-0.42746876889444824,0.628407391352874,0.3917104257835817,0.7747495792052024,0.5979763550720024,-0.3739198112041988,0.2317188678784654,0.3365442984812882,0.10026937722473257,0.45612380206280284,0.46226495615239793,0.20797375627508383,0.29272252858511516,-0.3747813251539666,0.09422026116048576,0.33806567177686925
N_Acc_L,0.6823537178870087,0.4777693436524881,0.006942154851758205,0.47384615192912916,1.0,0.47303663546746244,-0.49311486652173914,-0.44188809463493584,-0.1520387841426192,0.34179397857634053,0.2766174755188176,0.3662977894406555,0.5367815993539474,-0.509435756224126,-0.10376429818263827,0.1947502403056636,-0.58360527025378,0.3902217673357189,-0.5137029367245122,0.7736131701542975,0.6801521947040259,0.6432724202569989,-0.3811704499283796,0.34286418818672354,0.18574602266165563,0.4782386824783045,0.259206986118154,0.13271198338083415,0.25307019366378963,0.4774128592737541,0.7824093501448545,0.5718375207747903,-0.05089818684156937,-0.4749306155481111,-0.4689666158392966,0.4037922228168326,0.3371327967460235,0.12436682645622087,-0.5271490223720436,-0.5727002749444028,0.2147855947224425,-0.1690399025927884,0.356891044088677,0.5503000606746907,0.5226262383013458,0.33815505825171194,0.5231984190194163,0.13673251498950242,-0.49042984972987563,-0.6352702385925973,0.4360303409691533,0.41384959574823654,0.5293583467546503,0.5866204709189164,-0.46123395730683137,0.2077709768920916,0.31245507306836245,0.031190966634160468,0.49432486692930744,0.4498106712154409,0.06499184004101136,0.3661765449211094,-0.44898125996151195,-0.29838291591966926,0.13867403851384716
Parietal_Inf_L,0.6070167983852227,0.6162487894940774,-0.5327812765431321,0.4593347761468863,0.47303663546746244,1.0,-0.855635543207779,-0.8039202187442666,-0.7976282355333306,0.45170717555991524,0.6097106312808902,0.6514286599087525,0.8945178437275284,-0.47983694967582013,-0.1610913186398851,0.7479584262294942,0.13448611570976568,0.46460850251376806,-0.7007635192416727,0.48123228571931964,0.7461674966917599,0.4227113273023293,-0.6139322508978533,0.8182150292279721,0.03254607140500724,0.6164641075171485,0.5623407511626622,0.29915532848013626,0.27696488174612893,0.6169845816599328,0.5318195248498043,0.8691749172242903,-0.20244546929482943,-0.2773257880633299,-0.8641312626679079,-0.14699349125214567,0.4328883668876867,-0.3313703673512569,-0.7265737361259528,-0.6789845640506589,0.5073416004029772,-0.28691364334610875,0.3169299201437664,-0.09397178920568454,0.44802170599337177,0.8421857027007585,0.6353098738557891,0.7630201135635275,-0.8844275373510937,-0.7266586448725142,0.8758492072647318,0.3449838471851636,0.7060314768053008,0.7978485472212725,-0.8855682793707162,0.5365209574801394,0.08028207296715192,0.7064570533927801,0.9844230338847975,0.7109719491242044,0.7598578035647581,0.2759022029371279,-0.850231844484449,0.43207425136672706,0.6329066692327315
Cerebellum_7b_L,-0.5979509826976407,-0.5375000968105494,0.7297095638327135,-0.35471631666157555,-0.49311486652173914,-0.855635543207779,1.0,0.9450265848899179,0.7815402829834626,-0.44078422193760525,-0.433323597817991,-0.6422750764564774,-0.7486425803806319,0.48822972699938977,0.36833783179697055,-0.8326290419554395,0.014156285062198523,-0.4655811186556272,0.8615425522204002,-0.38382166960227315,-0.6557723319757605,-0.4827377474177696,0.8638962929197243,-0.8197123964726596,0.04891398920356154,-0.5612682294435438,-0.4870352664562224,-0.1078660085939556,-0.21018837643800736,-0.3556411235613392,-0.4133252155635647,-0.6984012728388042,0.5613699873107534,0.40796566637059417,0.9218732757121596,0.21951981569852333,-0.33555762483318324,0.5576335795533817,0.8006358581966501,0.8989738080295289,-0.4701372618538586,0.6141884612205837,-0.07000507877700521,0.069340747823768,-0.41603662722612694,-0.8754389361610391,-0.7534100522495748,-0.8146374009954073,0.9786896622661142,0.9249775975319545,-0.7251363620682929,-0.22633395500772366,-0.5891555770755499,-0.8011180574129291,0.9790145281908077,-0.5207520096103188,-0.07151869154334344,-0.727994975584792,-0.8670893867360103,-0.5848105482901166,-0.7618054700738331,-0.19403748135797916,0.9195940635470206,-0.33187741160999024,-0.6377940933317178
Occipital_Inf_L,-0.6585391438248385,-0.5720856912054072,0.7617546486620089,-0.33400492462690856,-0.44188809463493584,-0.8039202187442666,0.9450265848899179,1.0,0.8189008548484117,-0.5102877449566179,-0.43303765793046,-0.7104773785189744,-0.7547535273099653,0.3529457930623839,0.3330344986925341,-0.902802038623203,-0.04646314949532925,-0.5759707663588396,0.8312492367321662,-0.38045470366740386,-0.5833939258643392,-0.3928284388393091,0.8463447259452032,-0.8621899553233314,0.19908344690499122,-0.41254061254858226,-0.625907381792333,-0.04271404132146677,-0.3709993366525816,-0.2993230272808282,-0.4444279890560064,-0.6198565968511248,0.581246951920877,0.4622462795637292,0.8936806838832205,0.3555942643704052,-0.38955097275753153,0.5593803923432084,0.7196269083368441,0.8969107068782757,-0.5745433707859073,0.6454384282827155,-0.021759701927111685,0.07182038274617428,-0.4702844535052777,-0.8979187682787025,-0.7882822593687985,-0.893205290318869,0.9714100476673303,0.9143282073486794,-0.710203239006673,-0.034147047069850237,-0.6028454581840723,-0.8545902602716751,0.9751755181541342,-0.6202268224381158,0.03580873333823592,-0.7702733216274269,-0.800858523414957,-0.6523541991493595,-0.8151550389051284,-0.32657912769714376,0.8955961932097285,-0.35954994785999356,-0.7332520536568501
OFClat_R,-0.47248826576088204,-0.4628128797791221,0.7559917314062848,-0.1669530937809944,-0.1520387841426192,-0.7976282355333306,0.7815402829834626,0.8189008548484117,1.0,-0.3727900076395393,-0.4216694469039245,-0.5740894188205721,-0.6899283831179375,0.3180316989203895,0.2782881683928768,-0.839229850595576,-0.3563062628604726,-0.3553827424344866,0.6355486861274352,-0.17041563281579147,-0.4456924421889558,-0.10443412071175454,0.6399141036966525,-0.789785624484893,0.12559886098577344,-0.3169508147412219,-0.5033459014211247,-0.08619138131983399,-0.2861360689062529,-0.2906523431939065,-0.2404940089078373,-0.5704675201949568,0.4272194040745782,0.2877747719288954,0.7934989864635169,0.44261537986924626,-0.30745472640530275,0.5476062316430035,0.6103649105153738,0.6598448708176611,-0.5128978431950965,0.45939308961056385,0.016309363815466722,0.36703259882423495,-0.27912848796458845,-0.837837816123655,-0.5855326688107266,-0.854062691993617,0.8144015751537999,0.6567385483650544,-0.6853406780716451,-0.030447007759166617,-0.4605224566779939,-0.6590687026605708,0.8415047112138707,-0.5756862184800362,0.15808043085492213,-0.8105924003977053,-0.7835440171870688,-0.5747431256353133,-0.8540910445229523,-0.1800858315730261,0.7917771369113001,-0.5444961218660119,-0.6945539569270495
Thal_PuI_R,0.6173472467831389,0.5048198724207216,-0.13663474870550263,0.59667844834252,0.34179397857634053,0.45170717555991524,-0.44078422193760525,-0.5102877449566179,-0.3727900076395393,1.0,0.42860609214558787,0.5380920512518342,0.4987997925196922,0.12831594683783462,-0.04411569113837381,0.49813490768838864,0.20943819260963006,0.5759195632916626,-0.2409407360651591,0.586478295910448,0.3417680142509358,0.10848518046048296,-0.2871090002124764,0.6318178212268271,-0.19548745001498793,0.1308036836341536,0.6401398302695928,0.19726748332588792,0.457026041958986,0.26573373852487675,0.4982077661754488,0.36735465609661555,-0.07626478327392043,-0.26985439532535377,-0.34817330799290747,-0.23584270047738404,0.5372244873369352,0.006934737735104201,-0.012436881401348398,-0.3691664414541282,0.7080971971533173,-0.1751089747808801,0.35853778264142433,0.21734944317973964,0.8465140349560997,0.5346904710476141,0.6818474219060285,0.5734434710455918,-0.5051606738653464,-0.44724862574210394,0.7060880514762181,0.2690346731229834,0.7022920991528346,0.7743048617582641,-0.5009209640861929,0.6868980203862877,0.17633261674786865,0.4001825537598859,0.4427746545445114,0.6836054984424002,0.5252679861448888,0.6403377940307364,-0.32841682314904147,0.3809658166554813,0.7338710103040774
