,N_Acc_L,Vermis_9,Thal_PuA_L,Fusiform_R,Pallidum_L,Red_N_R,ACC_pre_L,Cingulate_Post_L,Frontal_Inf_Orb_2_L,OFCmed_R,Parietal_Inf_L,Thal_PuA_R,OFCant_L,Postcentral_L,Thal_LGN_L,Thal_IL_R,Frontal_Mid_2_L,Hippocampus_L,Frontal_Inf_Tri_L,Occipital_Mid_R
N_Acc_L,1.0,-0.4949020846541784,0.47384615192912916,-0.339372193686861,0.42882399924532777,0.25307019366378963,0.33815505825171194,0.5378656543576893,0.1312699851155807,0.41923021447367365,0.47303663546746244,0.2006486278472436,-0.0008096400417720914,0.5066585422769695,0.4777693436524881,0.259206986118154,-0.29570406613856925,0.5293583467546503,0.3370209506291559,0.4782386824783045
Vermis_9,-0.4949020846541784,1.0,-0.29278772087603677,0.20122452413232866,-0.6091747305373365,-0.19637370830819437,-0.856851106365952,-0.2799579426887503,0.24388480344131938,-0.8602919205458388,-0.8315684957631011,-0.2703133895000265,-0.587782459974956,-0.755409867736685,-0.5180675921910775,-0.4698248127457846,0.7392259935856635,-0.5383856206480876,-0.6271688396412952,-0.5440275470484623
Thal_PuA_L,0.47384615192912916,-0.29278772087603677,1.0,-0.04599789767898395,0.10069466706129689,0.1859281192444543,0.3301574696094409,0.4895388413615245,0.2077015265892816,0.34301794578636025,0.4593347761468863,0.650817678022639,0.1632150901472781,0.47203054412523426,0.19754220772798164,0.5764036957743542,-0.20600853052207463,0.7747495792052024,0.3941915896846477,0.40958733678224707
Fusiform_R,-0.339372193686861,0.20122452413232866,-0.04599789767898395,1.0,-0.0070210456780952476,0.26034696803271973,0.1911578879392991,0.31635296674279567,0.18413910500593864,0.016184585702421036,0.10161537524085792,0.3083640355486987,0.4155718968025972,0.14064437252791087,-0.0145200167430502,0.2298519168839214,0.2069054592860284,0.07103571236594729,0.23143421058098126,-0.07253039333219662
Pallidum_L,0.42882399924532777,-0.6091747305373365,0.10069466706129689,-0.0070210456780952476,1.0,0.6020644963460984,0.6892449408786587,0.5340087880733414,0.15734163602183293,0.7235064762362653,0.4807235951337756,0.4619882643060183,0.48256394713795986,0.44175033508040984,0.6445118508749562,0.4966980825097905,-0.44415886023462814,0.3707244910696561,0.6755719152228287,0.022360176174993966
Red_N_R,0.25307019366378963,-0.19637370830819437,0.1859281192444543,0.26034696803271973,0.6020644963460984,1.0,0.3900378773872109,0.5900587545919921,0.3556466115910637,0.38547568174498026,0.27696488174612893,0.5625540634085949,0.3000922246624778,0.2840728482640443,0.438773130683859,0.6363181788681356,-0.08199985106958445,0.39798617863865887,0.5167824282696744,-0.1251887570415441
ACC_pre_L,0.33815505825171194,-0.856851106365952,0.3301574696094409,0.1911578879392991,0.6892449408786587,0.3900378773872109,1.0,0.48786778587430046,-0.14849205553287803,0.8771490524500253,0.8421857027007585,0.5346284483957068,0.7768295086239476,0.7661558775872424,0.4697426744940812,0.6271326815946895,-0.690881913953796,0.5607019467933824,0.7583780587613033,0.4581838029191357
Cingulate_Post_L,0.5378656543576893,-0.2799579426887503,0.4895388413615245,0.31635296674279567,0.5340087880733414,0.5900587545919921,0.48786778587430046,1.0,0.4577963673890774,0.46617740766062915,0.5294155844984421,0.6358328822830805,0.35146026452274803,0.5785448481300728,0.5728888019706486,0.5945885487913588,-0.12916494803171044,0.6192818377543813,0.5635976550532085,0.2839640143578823
Frontal_Inf_Orb_2_L,0.1312699851155807,0.24388480344131938,0.2077015265892816,0.18413910500593864,0.15734163602183293,0.3556466115910637,-0.14849205553287803,0.4577963673890774,1.0,-0.09204791464116814,-0.046198045207915664,0.4169427758894084,0.11892110143163706,0.08476837003627032,0.42765063136295967,0.2579530863433783,0.5622686251718915,0.29653791258308043,0.3696731912970429,-0.38385318996475076
OFCmed_R,0.41923021447367365,-0.8602919205458388,0.34301794578636025,0.016184585702421036,0.7235064762362653,0.38547568174498026,0.8771490524500253,0.46617740766062915,-0.09204791464116814,1.0,0.8035295895286402,0.45953924541688795,0.5964492828532683,0.7261021920597672,0.5394276835912499,0.6557423142342065,-0.680928203545206,0.5992435998286604,0.704238815219948,0.4089705268777457
Parietal_Inf_L,0.47303663546746244,-0.8315684957631011,0.4593347761468863,0.10161537524085792,0.4807235951337756,0.27696488174612893,0.8421857027007585,0.5294155844984421,-0.046198045207915664,0.8035295895286402,1.0,0.36725093897246947,0.6844264535728886,0.9782245353532721,0.6162487894940774,0.5623407511626622,-0.4866104437732995,0.7060314768053008,0.7260404898827904,0.6164641075171485
Thal_PuA_R,0.2006486278472436,-0.2703133895000265,0.650817678022639,0.3083640355486987,0.4619882643060183,0.5625540634085949,0.5346284483957068,0.6358328822830805,0.4169427758894084,0.45953924541688795,0.36725093897246947,1.0,0.4464857706863469,0.3636933085665962,0.3013668385121095,0.7910630179058825,-0.1749782112786037,0.612699260598261,0.6570938512595987,0.003194708145040902
OFCant_L,-0.0008096400417720914,-0.587782459974956,0.1632150901472781,0.4155718968025972,0.48256394713795986,0.3000922246624778,0.7768295086239476,0.35146026452274803,0.11892110143163706,0.5964492828532683,0.6844264535728886,0.4464857706863469,1.0,0.6825714385210757,0.46665306698390346,0.47455101442842024,-0.25691168686496335,0.45290437064874944,0.7382172938756042,0.19117993679521306
Postcentral_L,0.5066585422769695,-0.755409867736685,0.47203054412523426,0.14064437252791087,0.44175033508040984,0.2840728482640443,0.7661558775872424,0.5785448481300728,0.08476837003627032,0.7261021920597672,0.9782245353532721,0.3636933085665962,0.6825714385210757,1.0,0.6690402156343256,0.5306861850337906,-0.33377582805964434,0.728734609198614,0.7329171827803407,0.5677000811082977
Thal_LGN_L,0.4777693436524881,-0.5180675921910775,0.19754220772798164,-0.0145200167430502,0.6445118508749562,0.438773130683859,0.4697426744940812,0.5728888019706486,0.42765063136295967,0.5394276835912499,0.6162487894940774,0.3013668385121095,0.46665306698390346,0.6690402156343256,1.0,0.41332059895339324,-0.0838577096273132,0.5854435389044729,0.6669743670139812,0.15895811121066392
Thal_IL_R,0.259206986118154,-0.4698248127457846,0.5764036957743542,0.2298519168839214,0.4966980825097905,0.6363181788681356,0.6271326815946895,0.5945885487913588,0.2579530863433783,0.6557423142342065,0.5623407511626622,0.7910630179058825,0.47455101442842024,0.5306861850337906,0.41332059895339324,1.0,-0.2996653416981571,0.7055649027963954,0.662397370144587,0.15806019555789175
