,Frontal_Sup_2_L,Paracentral_Lobule_L,Thal_PuA_R,Red_N_L,OFCpost_L,Vermis_10,Rolandic_Oper_R,Precentral_L,OFCant_L,Thal_PuA_L,Thal_VPL_R,Rectus_L,Red_N_R,Supp_Motor_Area_R,Cerebellum_8_R,ACC_sub_L,Temporal_Pole_Mid_R,Vermis_8,Thal_LGN_L,Supp_Motor_Area_L,Temporal_Sup_L,Cerebellum_9_L,Frontal_Inf_Orb_2_L,Thal_MDm_R,N_Acc_R,SN_pr_L,Cerebellum_8_L,SN_pr_R,Amygdala_R,Cerebellum_Crus1_R,Thal_VL_R,VTA_R,Vermis_9,Thal_MDl_R,Rectus_R,Frontal_Med_Orb_L,Frontal_Inf_Tri_R,Temporal_Pole_Sup_L,Vermis_6,Insula_R,Temporal_Inf_R,Cerebellum_6_L,Frontal_Sup_Medial_L,ParaHippocampal_R,Temporal_Mid_L,OFClat_L,Thal_PuM_R,OFCmed_L,Precuneus_L,ParaHippocampal_L,Cerebellum_Crus2_R,Thal_VA_L,SupraMarginal_R,Thal_PuI_R,Cingulate_Post_L,SN_pc_R,OFCmed_R,Cerebellum_7b_R,Temporal_Mid_R,Postcentral_R,Amygdala_L,Fusiform_R,SupraMarginal_L,Frontal_Inf_Orb_2_R,Precentral_R,Occipital_Mid_L,Thal_LP_L,Cerebellum_6_R,Parietal_Inf_L,Frontal_Mid_2_R,OFCant_R,Cingulate_Mid_R,Angular_L,ACC_sub_R,Thal_PuM_L,Thal_VL_L,Precuneus_R,Hippocampus_R,Heschl_R,Temporal_Sup_R,Cerebellum_3_R,SN_pc_L,N_Acc_L,Parietal_Sup_R,Frontal_Med_Orb_R,Cerebellum_4_5_L,Temporal_Pole_Sup_R,LC_R,Cingulate_Post_R,Parietal_Inf_R,Temporal_Inf_L,Occipital_Inf_L,Cerebellum_Crus2_L,Thal_IL_L,VTA_L,Cerebellum_3_L,Occipital_Sup_R,LC_L,OFCpost_R,Cerebellum_10_L,Thal_AV_L,ACC_pre_R,Fusiform_L,OFClat_R,Lingual_R,Pallidum_R,ACC_pre_L,Thal_MDm_L,Thal_MGN_L,Putamen_R,Cuneus_R,Parietal_Sup_L,Vermis_3,Lingual_L,Thal_AV_R,Thal_MGN_R,Frontal_Mid_2_L,Olfactory_L,Frontal_Sup_Medial_R,Cerebellum_4_5_R,Frontal_Inf_Oper_L,ACC_sup_L,Caudate_L,Angular_R,Insula_L
Frontal_Sup_2_L,1.0,-0.3566139505857094,-0.23545462041907697,-0.6028285251581903,-0.844488632530569,0.7271133577188704,-0.07566364309385822,-0.36293938992285185,-0.3540619329736634,-0.3531652182374606,-0.4006790108945652,-0.7092507142465063,-0.15240338199662012,0.6221758537438685,0.8908117193954451,-0.7844927827128664,-0.6479074961096197,0.8467401995598142,-0.27675457553185984,0.7361242613820069,-0.5272173762818985,-0.3242817902123488,0.44837538651997644,-0.5151643059020868,-0.26494915740526576,-0.6273554616832958,0.859423730489576,-0.35132762662304834,-0.4197213517555416,0.7173692777563304,-0.06429046564037055,-0.6147540775214656,0.8828363092265931,-0.5692557527200142,-0.7955464793433357,-0.5634675832854209,0.5469091081479223,-0.8294781646365871,0.5654928158206692,-0.21670977786081524,0.14597816240097494,0.8692619635292083,0.9746233240556764,-0.6587853345939189,0.000634498790555207,0.5052606997813007,-0.13863724362278418,-0.48015938329259944,-0.6878455774061089,-0.738705402332701,0.8569993582659879,-0.5307751765678063,-0.031660610253909614,-0.2409407360651591,-0.26616389771579035,0.15927738586628282,-0.7926920449842098,0.6266869317312663,-0.24258869994321067,0.269120656842354,-0.5815428653972963,0.2437767740768737,-0.6256979281384224,-0.6854464584519352,0.5433006132895568,-0.600948918333104,0.042254005948216135,0.8215957092697393,-0.7007635192416727,0.9303026586557761,-0.3809269146720118,-0.42601039288146725,-0.7482647954999353,-0.7371944573509773,-0.17406066412830126,-0.2658677246053303,-0.7661826863954192,-0.6513969106398337,0.042998269912774736,-0.3265832856559949,-0.2867556187079924,-0.15632304906710498,-0.5137029367245122,-0.44210222403989224,-0.541429056858141,-0.16870906587527895,-0.634763497230142,0.3981881096829189,-0.2768489823597405,-0.6211928113978099,0.5381099345186294,0.8312492367321662,0.8464355031651755,-0.4433689574632118,0.553254322988037,0.6382522395582989,-0.7919241992957007,0.6121419070767934,-0.7565088651319535,-0.735459551122411,-0.5672656824465924,-0.6943655581074399,0.7211032596695816,0.6355486861274352,0.7363544067110955,-0.6112520504228321,-0.7860013338408949,-0.34923175668006673,0.286610410330851,-0.3133606256275073,-0.6750238385745081,-0.8267901410908024,0.0031026238746887443,0.7862386905921737,-0.45058850087501656,-0.0807750702064594,0.9379665411872254,-0.7297769433645626,0.9687137959356844,0.016316741557141044,-0.37758095254242946,-0.8148469374567802,-0.6725416189364202,-0.6571096447437781,-0.5254445375046843
Paracentral_Lobule_L,-0.3566139505857094,1.0,0.27450882002992216,0.4275853639780871,0.46476849067667264,-0.33479118408407676,0.28251491152290864,0.7266940409924482,0.2592377510894736,0.4535419107956937,0.5512615970695546,0.40946340572951245,0.27803932546397875,0.30295135909853377,-0.5412564414452326,0.324706998296787,0.2611593534088554,-0.5191386329042141,0.6561225880851494,0.23372072360964,0.6314217593862405,0.31462571242034576,0.2236647656826488,0.3212477082171789,0.407581954050874,0.33163855190039554,-0.5106290720202884,0.3856122169795451,0.3799593854759341,-0.5006044193780022,0.29575722417292677,0.13786416981020358,-0.4288264721896258,0.4032737460683744,0.43489828204424424,0.2110998666760549,-0.25243965730914397,0.2628905901783288,-0.044379033324722976,0.6038322641249156,-0.1410049902344485,-0.4212836845773627,-0.3500321756172168,0.2669499298624755,0.3690714405390143,-0.1803236673178235,0.5386851993051462,0.42500793420968785,0.8494180572434701,0.3471688979893195,-0.4520517209399778,0.4802131055996601,0.3489630854922491,0.4689209487789568,0.7014768190772623,0.25511571042090125,0.48035283043015614,-0.29700880433427834,0.20224435173114505,0.2796682398856242,0.5792886444891272,0.0713885049188986,0.6368110792480197,0.3836951887923544,-0.023668160732388754,0.6112625079052016,0.2696860924340241,-0.3958643578770439,0.6686144876240241,-0.41373474601160576,0.17434739614523861,0.5418706630775145,0.6864115919378552,0.3114886708092412,0.507131016046654,0.5994830507859411,0.8159738390252586,0.6199191180139085,0.3486110845724095,0.6999398276982725,0.5079303298344406,0.6888725462267548,0.501799660388872,0.35036416056334146,0.17463448889729552,0.4765239584872933,0.3416834074569046,-0.46516495079861325,0.536271810327067,0.5763096738843692,-0.3837458816995204,-0.45050616800644977,-0.5476162473760837,0.5096017113341389,-0.17346982537348885,0.041293259825978826,0.7132281556335732,-0.4244338257211256,0.4661665131187376,0.4302051857452055,0.04390219878812947,0.36321389709836654,-0.3703991849640835,-0.39127612089750907,-0.2462282215503229,0.28042478111955826,0.4001450634091616,0.48893805955717773,0.14772517896328966,0.5319030886147964,0.7222216884999272,0.6471522679322886,0.7280835156965839,-0.26768244290158133,0.18256881653777302,0.6298211063112773,-0.19359462429121513,0.5122547541301572,-0.47479602430721,0.3067320621668353,0.5028072683985907,0.5054293920184592,0.553840415356792,0.6875099198537185,0.6801093972676565
Thal_PuA_R,-0.23545462041907697,0.27450882002992216,1.0,0.5826305211146955,0.558576542883054,-0.08558481411771054,0.5928101402816882,0.2653894264214814,0.4464857706863469,0.650817678022639,0.7182434463130878,0.5203151829587399,0.5625540634085949,-0.14751669051217967,-0.3181452608039714,0.5212142553202498,0.43733102799217494,-0.21799432408814493,0.3013668385121095,-0.19020701253686395,0.4046690769672851,0.6234302743829314,0.4169427758894084,0.7139413893560412,0.14943032385689864,0.51816894369788,-0.3550334611672854,0.5362569147074053,0.5998338944965536,-0.17332629599593935,0.5333203392661704,0.2843946774611455,-0.2703133895000265,0.6647407696869614,0.5085382101127063,0.4095510585529758,0.25411519562774526,0.4862835806297188,-0.1044909437870208,0.5888212757006936,0.2781714935264888,-0.3185831058145413,-0.154374589800007,0.6068108638683766,0.07402046932543052,-0.004410960536053366,-0.017601066462739262,0.4198709285350344,0.39039983514481047,0.6293418582289693,-0.3487294237069349,0.5081925321675343,-0.20433369788426708,0.8106302151075241,0.6358328822830805,0.24100160784289304,0.45953924541688795,-0.23402226699320744,0.3958525542721139,-0.19816353756858548,0.7529108770398575,0.3083640355486987,0.365947242460825,0.5969584043888906,-0.3586002576641293,0.1400156759101114,-0.42909759117523233,-0.2692699014143749,0.36725093897246947,-0.33671162738330845,0.36194797376354715,0.7005656306415259,0.3523176437525139,0.5425574249700448,-0.04480014450411236,0.42620234624670145,0.4036690635372557,0.6808637964160049,0.11077569851399367,0.5007863634891666,0.41637457506222486,0.30201941667161664,0.2006486278472436,0.254668705227586,0.4244846359149809,0.556736239954777,0.542115588723157,0.3124594512198337,0.5858684013041557,0.02127126099458377,-0.31485613238279275,-0.4611657882634402,-0.40975604685782246,0.5405126769890274,-0.33038865662533723,-0.15815407445291807,0.18855417801625418,-0.04905106323857299,0.5667591902341781,0.4845399840990141,0.4811860859202779,0.5381039259942842,-0.27060649626904093,-0.33178509999349526,-0.1913313873413922,0.5619583965457194,0.5346284483957068,0.7740293314726736,0.09738302107246449,0.2881679568016474,0.29589796799030704,0.3332304939988549,0.16126027265787635,-0.27442330519117525,0.5867649743750583,-0.023896017087452426,-0.1749782112786037,0.5795969817283528,-0.25751404525777666,0.3503505981787211,0.6978730820996734,0.5988740273678225,0.5201286808412939,0.08891290582110022,0.6133935417776764
Red_N_L,-0.6028285251581903,0.4275853639780871,0.5826305211146955,1.0,0.8429483985378309,-0.6975415559759813,0.5853953367385859,0.43329616385858877,0.7610607569086872,0.2608672457545597,0.8115605110102065,0.8325869901411778,0.5307764313322586,-0.4438479230222258,-0.7132723714126086,0.8531272679973118,0.7953810108203299,-0.6414569189914069,0.5181449236427428,-0.5067728061101778,0.3999804469779981,0.425059515339583,0.027187074489593066,0.4857007480200356,0.4183404468253001,0.8253024211311416,-0.8028296796478781,0.667364067228922,0.6946989916482618,-0.3855977006130679,0.6046168980406039,0.6028235018490763,-0.7462601231167149,0.7591036537559884,0.8023938164678506,0.7206929054381218,-0.10763556211164402,0.7000702444076452,-0.3707908671410857,0.31036450598729665,0.35669046811638977,-0.7642786443176971,-0.510865211140718,0.8505036800763699,-0.2611946963532655,-0.3830295014169295,-0.170260283723213,0.8142991946495266,0.6905529967656209,0.7331350813105931,-0.6720861914305336,0.5702031517974823,-0.34417854386655816,0.597000347354031,0.4919235664023553,0.3394047233350455,0.7838785985314111,-0.5307169437403705,0.5917476327491681,-0.4677321797029512,0.7694410162616302,0.2556112243980451,0.6925594181743772,0.9054151904094074,-0.7257162818615934,0.31047752178662646,-0.3146314293966309,-0.6376293913250319,0.7156579631093957,-0.7331750198491439,0.32456744008161714,0.7176919884946589,0.7009333114224298,0.871538322363294,-0.01841385729546448,0.3119682304065341,0.6800828958540509,0.8024983446132605,-0.16690512619313835,0.538122885103443,0.516576388245768,0.5160750397511766,0.23831018493468079,0.20782608019415355,0.7152326288082946,0.44369011686854837,0.8694982489106251,-0.039250349437263396,0.530543449608609,0.17892684674024642,-0.7621327549099514,-0.8612306393483946,-0.8212920384930577,0.6523294411267736,-0.7776809681183657,-0.6672668360634945,0.4711411483209391,-0.6681120309199573,0.8886981689700246,0.728041945286806,0.683473232384587,0.867589372066002,-0.7683386957680666,-0.785247956702326,-0.602712790737066,0.8580610291029264,0.8624184177151497,0.6307260507920255,-0.18631916784242594,0.09026569875481827,0.44140311230270246,0.7110573772730521,0.0756232070972663,-0.7167230199650724,0.7873383447177383,0.15694950889729184,-0.5117262934309845,0.7671061365370023,-0.6207326666102047,0.2332949480401287,0.7023156303359855,0.8270471971439263,0.5549713922889047,0.2576786328015139,0.7436914880284234
OFCpost_L,-0.844488632530569,0.46476849067667264,0.558576542883054,0.8429483985378309,1.0,-0.7363979868773131,0.42099171720605333,0.5411276369568627,0.6881390654263877,0.4360072385324739,0.6840771566347966,0.8997082515389948,0.4064565591996067,-0.5779316552431698,-0.867740463868411,0.9300191251822745,0.8432832448306996,-0.8214869827361196,0.5042426216863981,-0.669750040038329,0.6025994467596744,0.49186544259923326,-0.1331744124703001,0.658542018789475,0.3538658618510864,0.8338901528127541,-0.9234575930743617,0.6182445250483305,0.7125162433405746,-0.5752541413740903,0.41512004882776504,0.6858895945865939,-0.89012660200795,0.7883782004643346,0.9289692389995641,0.7483668408310787,-0.3399104837868363,0.854010821842308,-0.4790678175823827,0.39106344927978853,0.17824823082265248,-0.8875272470613694,-0.7661063151632028,0.895354352670821,-0.05351766951081005,-0.477217854812135,0.03098678917305841,0.7892949915765991,0.799747916177568,0.8560223473596682,-0.8277556715465046,0.6891068286927128,-0.25713138712776884,0.553471338814127,0.5180222256413685,0.09433832079495937,0.8828549997679699,-0.5801557275948283,0.5012349618025271,-0.4781120135856944,0.8456144560695884,0.08144154647425852,0.8188454729339326,0.9106061333825007,-0.754892885650739,0.566709636451036,-0.22919084300744563,-0.7812944903398599,0.8548044262523083,-0.9350908834980828,0.36598699792323464,0.6710190486133927,0.8632878346819872,0.921791572163717,0.11935468446319099,0.4107414835540079,0.8405926460776089,0.8646908752469263,-0.13816419056686965,0.4657201099101496,0.44594115002102924,0.4256343574397864,0.4236361756544822,0.34604257490552387,0.73502085769988,0.38195038652240815,0.8825381634659375,-0.1708166827073691,0.46331834158289675,0.3858677149399786,-0.7465151629424834,-0.935400882727989,-0.934359514685794,0.6546454935856431,-0.7645745769890562,-0.6985107134837057,0.7087307308698629,-0.6864805175802152,0.9467887642329532,0.8340476133178474,0.7144791128297604,0.9284343171860503,-0.831197523660658,-0.7993380137336129,-0.7071772351504092,0.8642652666169987,0.965764160435389,0.5969356979023858,-0.254861630187045,0.26345502164491974,0.6607681026508906,0.8943927444002553,0.058734339432588455,-0.8098341072476923,0.7301931340638341,0.10900322295787822,-0.7338442087658446,0.9193995934008682,-0.8555175847137011,0.1360513509098944,0.7222699893427412,0.966716229270268,0.7459072657625064,0.4696741915555804,0.7903240914187056
Vermis_10,0.7271133577188704,-0.33479118408407676,-0.08558481411771054,-0.6975415559759813,-0.7363979868773131,1.0,-0.062142445090624374,-0.48873721548515986,-0.6153619851512941,-0.11837421569305687,-0.4213489331503926,-0.7436162412140157,-0.1572282503113539,0.5465244606233591,0.8451378479351882,-0.7421804970151055,-0.6354984527066792,0.8454205915246402,-0.530660142095698,0.6142871194250971,-0.3484058370325044,-0.11918264891406939,0.22963859274646922,-0.2694060136294884,-0.21553925867626514,-0.7232134475848067,0.8904725378230136,-0.49282910969142646,-0.4011876012209664,0.633217424863486,-0.20068599705713494,-0.601931956262861,0.9049021118275588,-0.41169739050307874,-0.7543979566672899,-0.5817310221527542,0.4403031051202175,-0.5907307129568455,0.6732148332714757,0.02444332916871603,-0.016035097681731728,0.8981808051507766,0.7075662687121685,-0.6240411074993415,0.2514660253838571,0.4694069494555747,0.08105499150843748,-0.6687704799703251,-0.623333415183778,-0.5276890599579158,0.821910126815527,-0.42019844985536003,0.26260873479813396,-0.207861833747116,-0.1007664176802142,0.0343867532620948,-0.7604538192163252,0.7056706318507323,-0.22781862788475007,0.4674427859479271,-0.47341450886964215,0.1912675942690231,-0.7046212925233302,-0.7273815765854647,0.6732959445152549,-0.4142431573985873,0.08323594763330472,0.8292172858275375,-0.7509792199795099,0.7975574098628707,-0.24100074973512525,-0.24859217622483912,-0.7339843040717214,-0.7424940278794667,-0.017507382208801384,-0.13592562536632066,-0.650007317088423,-0.6202043821070526,0.20437538103989472,-0.16577704742924426,-0.2305108905252098,-0.41760614759239595,-0.3184004429100945,-0.18934077997596901,-0.543863401802309,-0.018035525725527784,-0.6642843775518694,0.47362950034571255,-0.07324256057533114,-0.3006897820667571,0.7477195143602103,0.8540408690096213,0.877477578384044,-0.5303339829075834,0.7063014866330847,0.7667097611848863,-0.5508751524810519,0.816140892381373,-0.7536509804899681,-0.6597686716216572,-0.3716990644839913,-0.7113003670930544,0.8816183472261248,0.7819004889635107,0.8499182942769001,-0.6634909385708236,-0.7318665721046341,-0.18145331009036858,0.36872480702916144,-0.058534846362463366,-0.4148524525245915,-0.778881412375677,0.025395836095261123,0.8950421801246041,-0.39988212277374297,-0.2679407221756437,0.5892874391152758,-0.6912517177154044,0.760114782715783,0.12074981813929016,-0.4185757827645361,-0.6735751313453795,-0.45448299219466676,-0.381404943245819,-0.5375389232670678
Rolandic_Oper_R,-0.07566364309385822,0.28251491152290864,0.5928101402816882,0.5853953367385859,0.42099171720605333,-0.062142445090624374,1.0,0.14198291427445967,0.5808922451354495,0.1391440077290045,0.6414389894195617,0.41734756984059274,0.4076160935086773,-0.09329612429136185,-0.08835355628344788,0.4463578192686451,0.5709496521122512,-0.0575842797954638,0.2157547443003522,-0.07466224249085056,0.1522022812720942,0.3019789786843701,0.21743946455054064,0.18455633801995752,0.3449974813815094,0.4712267598196126,-0.24076551337391353,0.5549433056022574,0.6874018427116099,0.22063226533130192,0.698342741144456,0.18076283900560233,-0.13240419017248575,0.5199555494522315,0.37168088561772156,0.5423004543992868,0.28470243973000325,0.289000505692318,0.2092456408283857,0.40856463784303904,0.6834494449655721,-0.14924367622240173,0.007660959076578391,0.6041742582922147,-0.19305079415845194,-0.10927634528687184,-0.19811328909362128,0.5702238497760608,0.34971217054081644,0.417155807786925,-0.05243026153923026,0.2964582206715302,-0.3156128654214482,0.5928315791181628,0.5468498267531121,0.6392712124915072,0.3380158077227456,0.053514353562714265,0.7768023128922107,-0.23305193587527548,0.5505914876703794,0.6927943424801151,0.3339339680314312,0.5872464506501845,-0.4169061737747817,0.05338642220048995,-0.28570839740201653,0.006500309151098486,0.31109872911874076,-0.22498322169747492,0.10805595512836767,0.8080768635073112,0.29712654924155885,0.4825366221136452,0.02130466475755467,0.15160129530468455,0.273188110625069,0.4202381147058333,-0.1672599874012909,0.6331410223856232,0.5576309647607586,0.33903024601113124,-0.1802803689442756,-0.025723848650636878,0.5298798642408126,0.5592752906599977,0.6471028245734307,0.4576225878552125,0.6708572374510049,-0.1901860984265012,-0.4389344227754384,-0.30449118244069523,-0.27316322190904174,0.35275301966488254,-0.489120452949036,-0.2248947345063863,0.09725437075585434,-0.195953394256067,0.5214820774689832,0.2976287383070445,0.5656863676222184,0.56121911393645,-0.2822837614991259,-0.4026940375418358,0.05264656900149116,0.6099881629969884,0.48922580494375173,0.6467907001286417,0.07390955614744507,-0.09686603549057829,0.19441446393897743,0.24433640847667806,0.08510648489920623,-0.09903812075814489,0.7205338107287595,-0.0404319129347726,-0.12305531700241748,0.364991116151029,-0.07891468499113412,0.479909578261621,0.51999389219035,0.4742659989517522,0.18011655343893265,-0.07268882042441172,0.5518115041009359
Precentral_L,-0.36293938992285185,0.7266940409924482,0.2653894264214814,0.43329616385858877,0.5411276369568627,-0.48873721548515986,0.14198291427445967,1.0,0.4718869779707596,0.48734842039777554,0.39908400545061196,0.5540056729293541,0.20270332628331506,0.08394118590442663,-0.5697596336267078,0.3628164087095432,0.3321268280374232,-0.5818069843488881,0.648910007292665,0.033959512389047576,0.7485997323576853,0.3381503821857257,0.22332010223505996,0.47715064123741735,0.46254845080169005,0.40323907444424795,-0.6087028018208602,0.36484671651524236,0.45690536878416954,-0.4514180348464537,0.14922603669578435,0.3085070899318423,-0.5529155473925489,0.4444889475492217,0.5569021847939204,0.2395348347579284,-0.433990425305206,0.2613963846963817,-0.21804561742970693,0.564670976571749,-0.028272756001852733,-0.5196107721322187,-0.3408007437061877,0.3971031810658708,0.43393019580865666,-0.2861211714362877,0.5160477823350185,0.5314053639425821,0.7597658790890723,0.37062819832006205,-0.49149726850709186,0.5337414242378918,-0.026506634049524715,0.40963849072855346,0.573989893261215,0.029725816745459283,0.5259338454093752,-0.28497203910228813,0.1881571988815209,-0.14012277627361477,0.6338589439370634,0.09778629802916966,0.8739294481261004,0.4099203882065401,-0.3097671031180403,0.777392500529886,0.25645332166057233,-0.4421534962282237,0.855066331127523,-0.5562487236954947,0.015831317428259876,0.30500388110111754,0.8243252115734193,0.37146815877550127,0.5184028730682402,0.6405861096667873,0.7722446002714334,0.6647611691454287,0.14019685399005974,0.34442218203701114,0.36088048780172177,0.6586919817419249,0.5872351439253372,0.2610563313555097,0.22283692151222262,0.27193694952792785,0.41008772889698974,-0.411929806169134,0.2779768212186364,0.38550506509452676,-0.5141559098060002,-0.5048852328659327,-0.6155772216982732,0.4453987575548944,-0.2969995191181773,-0.16473700678286105,0.6698233512354969,-0.5077604029060747,0.5105402240142671,0.46830994465404946,0.07487174055790162,0.48071494718603336,-0.4918602175453324,-0.5109152572077981,-0.3617055438824825,0.35915595739599576,0.5137174810783893,0.38706373741239314,-0.023814843334412885,0.5560819051464824,0.7081161591078035,0.7683476276962101,0.5104443211302823,-0.38467312404199794,0.18958296583159898,0.4533788592369398,-0.07036764120341042,0.5899985235050211,-0.5448608810318732,0.0992502856026594,0.6516174693306643,0.5685365598994357,0.6342004583478732,0.4836182505684228,0.7965549289904429
OFCant_L,-0.3540619329736634,0.2592377510894736,0.4464857706863469,0.7610607569086872,0.6881390654263877,-0.6153619851512941,0.5808922451354495,0.4718869779707596,1.0,0.1632150901472781,0.5825633553828338,0.7809069204238951,0.3000922246624778,-0.45047739004825077,-0.46428481300327684,0.7180903162027207,0.788799856440931,-0.5078805343256014,0.46665306698390346,-0.4404611281508831,0.25892801551953176,0.2602330349799461,0.11892110143163706,0.27064544589917416,0.39331837356243227,0.7389380315987467,-0.6583627361510761,0.6683434086786517,0.754077112811299,-0.07988609154261832,0.5344709794068302,0.5051051511488336,-0.587782459974956,0.5612375160509354,0.6709131370219408,0.6975658805859541,-0.04326646718013318,0.4317020760696743,-0.3058206158674769,0.20071969164782266,0.609453106056547,-0.5728601850267564,-0.29083334616435347,0.8044907708631982,-0.2848438031211956,-0.29301562380985996,-0.19011625315904798,0.8618638492447898,0.5092233456864653,0.534462136516671,-0.4287019475159433,0.40781646840676533,-0.5965998216824571,0.5229003936042735,0.35146026452274803,0.32778418642103074,0.5964492828532683,-0.27604026968837003,0.6816890795742149,-0.6605498460364965,0.6663139335084811,0.4155718968025972,0.7274516629258518,0.7838381146388853,-0.7937273107187698,0.3205661370425671,-0.25784139418225244,-0.4148610565478802,0.6844264535728886,-0.6059624324379302,0.0902303729671134,0.5474911621147533,0.6541240934255416,0.7498154898281265,0.05742861920284777,0.1666912839829388,0.4746338465926905,0.5909780599545145,-0.4680799342459238,0.29107009895349567,0.37250639557582044,0.49280474429809573,-0.0008096400417720914,-0.049728426780904486,0.6782406666653612,0.23313823515325888,0.8496242738228096,0.1105773470775898,0.2927755510443203,-0.12756953131204227,-0.8183107821020214,-0.6450736565075179,-0.6590915923259962,0.45692866131245274,-0.7737966562253771,-0.6206265440036456,0.3116402791693672,-0.6311718697485815,0.7479444259507392,0.5402632832308866,0.5676965874623411,0.842122884491531,-0.7286979405566194,-0.7569227390176485,-0.4486951964577118,0.8103568568461579,0.7768295086239476,0.5001169404229262,-0.24368884256479348,-0.1098267516682774,0.32677115958316144,0.6183110645713663,-0.017014559006225026,-0.5804928000409292,0.7183307635111356,0.048510170032217824,-0.25691168686496335,0.6735631318594172,-0.4062794273783878,0.09988050376773826,0.6457104556200224,0.6775806056120108,0.3363555702560494,0.0039713390649016725,0.7233564856715629
Thal_PuA_L,-0.3531652182374606,0.4535419107956937,0.650817678022639,0.2608672457545597,0.4360072385324739,-0.11837421569305687,0.1391440077290045,0.48734842039777554,0.1632150901472781,1.0,0.4139479412359593,0.3751423936963589,0.1859281192444543,0.016964482974877373,-0.4086049840918959,0.243730694656663,0.10026937722473257,-0.3738737675272982,0.19754220772798164,-0.06316072538448526,0.5778170791210275,0.5369205477520645,0.2077015265892816,0.6412739205652952,0.24326977694863103,0.2376190606147373,-0.3657783494314684,0.2317188678784654,0.4560554347484521,-0.42086139482012314,-0.031120714859589782,-0.01823867594455178,-0.29278772087603677,0.3023511144988379,0.38801886419627263,0.07669405096300101,-0.18837940925551735,0.28172835664186796,-0.1938634204413488,0.6823837720485788,-0.13522610832411308,-0.3199137435068964,-0.3668100909266008,0.27635072675501754,0.4054926646608222,-0.07177257533116602,0.5394341871915752,0.16719938297156198,0.4716880997228141,0.46484523262460714,-0.42746876889444824,0.3218020471302709,0.2601305532979792,0.59667844834252,0.4895388413615245,-0.18218882427590732,0.34301794578636025,-0.2102681348375323,0.09422026116048576,0.15987511411807664,0.6740121321710679,-0.04599789767898395,0.41665084072839476,0.2896232268474346,-0.02826611293620141,0.5070425412316404,0.004192284399060679,-0.33472474851135176,0.4593347761468863,-0.3581575298860003,0.2088657873425411,0.33752319381692536,0.45612380206280284,0.2252321679432275,0.3917104257835817,0.4075084166267605,0.5319971762818383,0.5979763550720024,0.3195526861198645,0.4351378931333943,0.1987936766062585,0.20871326859952474,0.47384615192912916,0.39424514798913973,0.06262193767948238,0.29272252858511516,0.20797375627508383,-0.11623745435658465,0.2925787388785275,0.44766430882641306,-0.1787607481696778,-0.33400492462690856,-0.4001384138526991,0.3588264827801451,0.04177029744135265,0.06350367998042783,0.5186555851491362,-0.035592679615876796,0.34153264066522515,0.35648289721169,-0.021860241964347497,0.2832271125999852,-0.17946221693838343,-0.1669530937809944,-0.21932004988465414,0.16833333214986632,0.3301574696094409,0.6492672623438986,0.19234866407502718,0.587731453143746,0.6091939245678855,0.4619123783324234,0.44947973447170175,-0.2279273749295553,0.02513128158816546,0.18108245853329802,-0.20600853052207463,0.4721241345282671,-0.43280190447695027,0.08118561226700899,0.46226495615239793,0.46247579130804145,0.5397085685421388,0.5365127942538678,0.628407391352874
