,Frontal_Sup_2_L,Cingulate_Mid_R,Thal_PuI_R,Thal_AV_R,Hippocampus_R,Postcentral_L,Red_N_L,Olfactory_L,Fusiform_L,Pallidum_L,SN_pc_L,Angular_L,Thal_VL_L,Thal_MDl_R,Temporal_Inf_L,Heschl_R,Cerebellum_10_R,Parietal_Inf_L,Cuneus_L,Cerebellum_8_R,Occipital_Mid_L,Cerebellum_7b_L,Amygdala_R,Cerebellum_Crus2_L,LC_R,Occipital_Mid_R,Rolandic_Oper_L,Frontal_Sup_2_R,Thal_VA_R,SupraMarginal_R,Temporal_Mid_R,Thal_LP_R,Cerebellum_Crus2_R,Frontal_Inf_Orb_2_R,Temporal_Pole_Sup_R,Thal_PuI_L,Frontal_Mid_2_R,Thal_PuL_L,Thal_VPL_L,Precentral_L,Occipital_Inf_L,Thal_PuM_L,Frontal_Inf_Tri_R,OFCant_L,Thal_LGN_L,Thal_PuM_R,Vermis_3,Cerebellum_9_L,Red_N_R,Caudate_R,Rolandic_Oper_R,Supp_Motor_Area_L,OFCpost_R,Frontal_Inf_Tri_L,Calcarine_L
Frontal_Sup_2_L,1.0,-0.42601039288146725,-0.2409407360651591,-0.45058850087501656,-0.6513969106398337,-0.5817128782673601,-0.6028285251581903,-0.7297769433645626,0.7211032596695816,-0.5172275776895446,-0.15632304906710498,-0.7482647954999353,-0.2658677246053303,-0.5692557527200142,0.5381099345186294,0.042998269912774736,-0.2900566715283106,-0.7007635192416727,-0.44004380287638445,0.8908117193954451,-0.600948918333104,0.8615425522204002,-0.4197213517555416,0.8464355031651755,0.3981881096829189,-0.6593721225458897,-0.6559435153724534,0.9390193478952655,-0.38691313068245664,-0.031660610253909614,-0.24258869994321067,0.1401544711185742,0.8569993582659879,-0.6854464584519352,-0.634763497230142,-0.1952946178975678,0.9303026586557761,-0.33046486098465966,-0.3111766006244812,-0.36293938992285185,0.8312492367321662,-0.17406066412830126,0.5469091081479223,-0.3540619329736634,-0.27675457553185984,-0.13863724362278418,0.0031026238746887443,-0.3242817902123488,-0.15240338199662012,-0.6920804911917527,-0.07566364309385822,0.7361242613820069,-0.7565088651319535,-0.40458966690002807,0.43056849638624134
Cingulate_Mid_R,-0.42601039288146725,1.0,0.7080971971533173,0.7582250391741607,0.696308268684367,0.48223144600633056,0.7176919884946589,0.642712464139383,-0.40452159614936734,0.5571614313315025,0.444786412309932,0.5215303238010878,0.42444811854737785,0.7276047237496064,-0.4472219886669838,0.03271435023869323,0.5966156118100069,0.5073416004029772,0.4612594209538225,-0.4450437806954555,0.2644396723370022,-0.4701372618538586,0.6775243655530262,-0.5505295668530411,0.16922437196148105,0.26039410264818474,0.7130200729267174,-0.47354538928149725,0.7728320537437285,-0.0964107842808472,0.6228496090661075,-0.3977515511163946,-0.42260824915939155,0.7177387054485377,0.7163715637799237,0.5320063334547515,-0.4986794421216089,0.3690122845066727,0.29929323909518685,0.30500388110111754,-0.5745433707859073,0.1077442140891636,0.1075605760974669,0.5474911621147533,0.4045681134289237,0.004638184959364932,0.20495141675428444,0.520961213901182,0.5479322813776671,0.7762334180761813,0.8080768635073112,-0.17135002414175474,0.7127613439155084,0.5538708528618574,0.014436829533673338
Thal_PuI_R,-0.2409407360651591,0.7080971971533173,1.0,0.5338882585380134,0.7743048617582641,0.4827180866334393,0.597000347354031,0.6110419813530933,-0.3134473833858458,0.5624281225037189,0.42860609214558787,0.4427746545445114,0.586478295910448,0.5380920512518342,-0.3823063601712994,0.21734944317973964,0.6402832292815743,0.45170717555991524,0.26573373852487675,-0.39810365489147553,0.16435892874003338,-0.44078422193760525,0.6277019505994159,-0.5051606738653464,0.1381052968000874,0.1308036836341536,0.6485369999134613,-0.32841682314904147,0.7191178424530955,-0.0837313720006596,0.3809658166554813,-0.23584270047738404,-0.44724862574210394,0.5734434710455918,0.5252679861448888,0.8465140349560997,-0.34817330799290747,0.42805640002628453,0.4982077661754488,0.40963849072855346,-0.5102877449566179,0.2690346731229834,0.12831594683783462,0.5229003936042735,0.5048198724207216,0.24301538582270368,0.35853778264142433,0.618274576843596,0.457026041958986,0.6294103491309511,0.5928315791181628,-0.05679888710655815,0.592585325587599,0.6522866190531411,-0.07626478327392043
Thal_AV_R,-0.45058850087501656,0.7582250391741607,0.5338882585380134,1.0,0.5724660514791149,0.4420612672914457,0.7873383447177383,0.6649195886734347,-0.6157506608375903,0.6055194937525278,0.2939705027820096,0.5173244615416697,0.26815399980724414,0.8127822273184325,-0.643268838185412,-0.34210503845228407,0.6184769265578247,0.5007601027112031,0.17591078483265551,-0.44658269139480417,0.1727565834419892,-0.5648689558712995,0.6565412045359084,-0.5893667273083223,0.27594695724849627,0.11891365911206989,0.5911406980021192,-0.5680082296203216,0.7881597743574307,-0.5042014521555851,0.71637863667356,-0.6274240950572021,-0.40922931164012954,0.8123012339404275,0.8602304068080593,0.3854166487798528,-0.5951695268656019,0.33209539152281997,0.1179546265100302,0.18958296583159898,-0.6587164837049897,-0.07172413390832776,0.07856453668816848,0.7183307635111356,0.3280396021737956,-0.31138984153942917,-0.15739959290284145,0.3273378242862849,0.43360027985875715,0.8252896670446217,0.7205338107287595,-0.5212347129064561,0.7641805593998536,0.613538880798632,-0.3129071480538448
Hippocampus_R,-0.6513969106398337,0.696308268684367,0.7743048617582641,0.5724660514791149,1.0,0.7841546419701185,0.8024983446132605,0.8719563809843992,-0.6497659817552262,0.6897003109309171,0.5708662682935568,0.7873228692695493,0.631224071852137,0.7281907651000172,-0.6067754951006982,0.18380666925479608,0.6015452233606178,0.7978485472212725,0.4699025108370221,-0.8034547254150165,0.49311788268154716,-0.8011180574129291,0.6657983240222146,-0.8595301690772246,-0.22738381451673284,0.4040742180334677,0.8845216167847522,-0.7383715417980822,0.7393862760897533,-0.08806161372525331,0.34326108675685457,-0.22109431137285007,-0.8029223805221434,0.7962564986202288,0.7104781513582088,0.7135829767781298,-0.7484776828692061,0.460058845353066,0.6697778421506928,0.6647611691454287,-0.8545902602716751,0.22080788085914166,-0.214584223530709,0.5909780599545145,0.6680673405584897,0.2254714704694294,0.3082355548094035,0.6632117496795235,0.5131883295585583,0.8275820551119926,0.4202381147058333,-0.3501667294226035,0.848746943249054,0.8000283353958973,-0.26270304371130865
Postcentral_L,-0.5817128782673601,0.48223144600633056,0.4827180866334393,0.4420612672914457,0.7841546419701185,1.0,0.6637898763782442,0.7735236148408176,-0.7339616612726712,0.44175033508040984,0.6538902657885826,0.9542704236990569,0.5455474016123254,0.600323184392491,-0.7307043715427486,-0.04580411545210402,0.41138203811201096,0.9782245353532721,0.6052751288188356,-0.7380538296747864,0.7878685438384672,-0.7867494687237753,0.6380478366935979,-0.8212364140955809,-0.3526789662694262,0.5677000811082977,0.835456610502198,-0.7576265803429924,0.6093785092039371,-0.1880463134684387,0.3921370046115194,-0.07880845201343674,-0.6603205694599451,0.6849998133097663,0.6931100711829894,0.5090508324323308,-0.778379316746,0.34380474513658243,0.5844551980426426,0.9256317684499531,-0.730248940089362,0.40338543343152555,-0.4527093165192736,0.6825714385210757,0.6690402156343256,0.3318194294759358,0.37227576000161194,0.3797638291591129,0.2840728482640443,0.7549153181333136,0.31673898138497414,-0.25973266762442065,0.7581671184562333,0.7329171827803407,-0.13470530497771932
Red_N_L,-0.6028285251581903,0.7176919884946589,0.597000347354031,0.7873383447177383,0.8024983446132605,0.6637898763782442,1.0,0.7671061365370023,-0.7683386957680666,0.6718170531910925,0.5160750397511766,0.7009333114224298,0.3119682304065341,0.7591036537559884,-0.7621327549099514,-0.16690512619313835,0.5597026500628733,0.7156579631093957,0.2894505021686475,-0.7132723714126086,0.31047752178662646,-0.7722651243429798,0.6946989916482618,-0.8212920384930577,-0.039250349437263396,0.26938724886122245,0.7495199345687038,-0.7301978168438451,0.7787153532606225,-0.34417854386655816,0.5917476327491681,-0.5452384430868938,-0.6720861914305336,0.9054151904094074,0.8694982489106251,0.48229138382034153,-0.7331750198491439,0.34709039140454573,0.29897723878814136,0.43329616385858877,-0.8612306393483946,-0.01841385729546448,-0.10763556211164402,0.7610607569086872,0.5181449236427428,-0.170260283723213,0.0756232070972663,0.425059515339583,0.5307764313322586,0.8642076428418485,0.5853953367385859,-0.5067728061101778,0.8886981689700246,0.7416264103426704,-0.40177428109848523
Olfactory_L,-0.7297769433645626,0.642712464139383,0.6110419813530933,0.6649195886734347,0.8719563809843992,0.7735236148408176,0.7671061365370023,1.0,-0.7353372896327297,0.6788539754938615,0.49018358245863636,0.8133673798834032,0.5084481173081254,0.7399375752873117,-0.6686168525349968,-0.06221038551764484,0.621368170118218,0.8067512733961675,0.4537668078506637,-0.8185547081851081,0.5150133692274749,-0.8508755833444412,0.6319394333472134,-0.8867425178406818,-0.1871755374475837,0.44234775948371313,0.8290711975356364,-0.817139679550748,0.707960649286051,-0.21172515590180407,0.3915013540932618,-0.3164037658759874,-0.8080770472908401,0.8214758555911038,0.7935416376904818,0.5905243057145156,-0.8371499953762198,0.39299314138901353,0.5382462677006526,0.5899985235050211,-0.8723496442859158,0.15860501461828688,-0.28814995734915916,0.6735631318594172,0.6142134395267745,0.12079585557409665,0.0884892061806187,0.5660916924167296,0.4821573364856824,0.8528733681976368,0.364991116151029,-0.5200962509682865,0.8710228124447751,0.7692936853983912,-0.34489763838431425
Fusiform_L,0.7211032596695816,-0.40452159614936734,-0.3134473833858458,-0.6157506608375903,-0.6497659817552262,-0.7339616612726712,-0.7683386957680666,-0.7353372896327297,1.0,-0.5052582933816879,-0.42870729239210126,-0.814069040179782,-0.13744568705490479,-0.5703270412563785,0.9164135324129447,0.3440172213580628,-0.28561336602605675,-0.8128945664090266,-0.17753601613111347,0.8099560537497266,-0.4839024792833058,0.8896343489556907,-0.5885986006901097,0.8931508899874578,0.31609798774523395,-0.4047243036906619,-0.6254778507503317,0.839762477917378,-0.5960993729062816,0.3613673264246096,-0.48086004432979873,0.3897668015163041,0.7473911901176242,-0.8673010619038612,-0.8321963393893727,-0.22961014629126208,0.83768787925602,-0.2689109831590964,-0.19626536944878187,-0.4918602175453324,0.8754429220297381,-0.0676058763444703,0.32408824866401453,-0.7286979405566194,-0.47939675300673484,0.13959456648488244,-0.005350957659257579,-0.11004975913708842,-0.11767544693637283,-0.7874280033149943,-0.2822837614991259,0.6767298696746165,-0.8390085492379269,-0.6217027210341154,0.6233646497955065
Pallidum_L,-0.5172275776895446,0.5571614313315025,0.5624281225037189,0.6055194937525278,0.6897003109309171,0.44175033508040984,0.6718170531910925,0.6788539754938615,-0.5052582933816879,1.0,0.3527344107562376,0.46259881739629605,0.5199828610696389,0.6232337296768636,-0.3388576269987033,0.10331443803864784,0.6726802280129145,0.4807235951337756,0.11597452893099651,-0.6380792318557541,0.044340543836542526,-0.6285362141006854,0.33194485607488816,-0.6789623646686527,-0.09455486773085581,0.022360176174993966,0.7185983368115175,-0.560008930939152,0.6922702188364378,-0.30873765039963097,0.10618488462860359,-0.41449691870854677,-0.6856507157567444,0.6811732886930147,0.6285644477449073,0.7103893506068606,-0.5832272711262172,0.20369642203961533,0.5488895731768346,0.256825524187772,-0.730295136190456,-0.2294735419655391,-0.07560635128658601,0.48256394713795986,0.6445118508749562,-0.13987860636783145,-0.012114907848695919,0.484026481799878,0.6020644963460984,0.6485295029971815,0.3413740442796899,-0.39747904067488093,0.7464191102165832,0.6755719152228287,-0.4590617211950421
