,Heschl_R,Precuneus_R,Thal_PuM_L,Thal_MGN_L,Red_N_L,N_Acc_L,Frontal_Med_Orb_L,Insula_R,Frontal_Inf_Orb_2_R,Thal_PuL_L,Frontal_Sup_Medial_R,Thal_LGN_L,Putamen_L,Precuneus_L,Cerebellum_9_L,Temporal_Inf_L,Thal_MDl_R,SN_pc_L,Supp_Motor_Area_L,Precentral_R,Occipital_Sup_R,Cerebellum_Crus2_R,ACC_sub_R,Angular_L,Hippocampus_L,Thal_VA_R,Olfactory_L,Cingulate_Mid_R,VTA_R,Thal_PuA_R,SupraMarginal_L,Frontal_Med_Orb_R,Hippocampus_R,ACC_sup_R,OFCmed_L,Thal_IL_R,Supp_Motor_Area_R,Frontal_Sup_2_R,OFCant_L,OFCpost_L,Cerebellum_6_R,Raphe_D,Rolandic_Oper_R,Cerebellum_10_R,Temporal_Sup_L,Calcarine_R,OFClat_R,Caudate_R,Frontal_Mid_2_L,Olfactory_R,Vermis_3,Thal_IL_L,Amygdala_R,Vermis_10,Occipital_Inf_R,OFCpost_R,ACC_sub_L,Cerebellum_Crus1_L,SN_pr_R,Amygdala_L,Cerebellum_7b_R,Cingulate_Post_R,Temporal_Sup_R,Cerebellum_Crus2_L,Cingulate_Mid_L,Temporal_Pole_Sup_L,Vermis_6,Vermis_9,Red_N_R,Pallidum_L,Precentral_L,Thal_PuL_R,Thal_PuI_R,Temporal_Inf_R,Temporal_Mid_L,Thal_PuM_R,Parietal_Inf_L,Cerebellum_8_L,Vermis_7,Temporal_Pole_Sup_R,Cerebellum_9_R,Thal_LGN_R,Thal_MDm_L,SN_pc_R,Thal_LP_R,Cuneus_L,Cerebellum_Crus1_R,ParaHippocampal_R,Parietal_Inf_R,Occipital_Mid_L,Putamen_R,Fusiform_R,LC_R,Thal_MDl_L,Thal_VL_L
Heschl_R,1.0,0.19378241750701367,0.2155253310484077,0.19159688869747007,-0.16690512619313835,0.5503000606746907,-0.3546058057202787,0.4621744561500976,-0.2572241103758861,0.13557663374422324,-0.015274675153382376,0.22092138745393144,-0.13565225575536394,0.09777843358698318,0.22804699577801052,0.44173833199361817,-0.03550309504384243,0.1349841358971877,0.47980886370227943,0.5835544979729241,0.17642939249717063,-0.1361114493346205,-0.2935007671337846,-0.0807956514777722,0.25562116186086176,-0.11188908978587679,-0.06221038551764484,0.03271435023869323,-0.063692082668876,0.11077569851399367,-0.14578760166741567,-0.3432517080084752,0.18380666925479608,-0.1566840581752498,-0.3514464842657801,0.1098762438721822,0.6120177706315735,0.20420502322918418,-0.4680799342459238,-0.13816419056686965,-0.06882346456385108,0.18392350723537007,-0.1672599874012909,-0.14369083593851295,0.3925523946718227,0.10065260426339613,0.36703259882423495,-0.22799412140404374,0.12067349545739484,-0.08650007090990434,0.44123928297772813,0.24907927576323496,-0.297209675529123,0.20437538103989472,-0.3222761015911314,-0.18830286908692026,-0.28470075324352334,0.11169220888603941,-0.08950181348688858,-0.004443577324532117,-0.2179859172387894,0.24344040124537136,0.33785745605204665,0.05425563848755771,0.21341861000457632,-0.0033496216838139604,0.05623870093945031,0.07972314711041223,0.13019985498463008,0.10331443803864784,0.14019685399005974,0.5075057486977747,0.21734944317973964,-0.6967890274531086,0.4544469072959319,0.5475747870811462,-0.09397178920568454,0.1042156937194721,-0.05833600107519726,-0.4181749842083353,0.22145289168829957,0.08218895782055671,0.03684540971043987,-0.16897439222845764,0.48434795762278166,0.1627551641752038,-0.44231185657710137,-0.3637695524418526,0.4073832412654738,-0.006404357822420571,0.6695486078051053,-0.3154381232764118,-0.35616758357092454,0.1316991027252887,0.5181854507074134
Precuneus_R,0.19378241750701367,1.0,0.39709732917941554,-0.08423145373645252,0.6800828958540509,0.6527932942026352,0.5148914891669777,0.5775153687377441,0.6905476320940721,0.4246411811639374,-0.8429764985179578,0.6479488362773163,0.8195436600231621,0.9698451202878475,0.471683408832912,-0.5794007158193156,0.6733559932412589,0.5835455107870295,-0.28837887943034823,-0.4190296753835336,0.8934275704684126,-0.79004115556072,0.6825705335122008,0.9205063627946093,0.7596382814399689,0.6116784925621788,0.8125810026987997,0.6118116037096393,0.5098427326576449,0.4036690635372557,0.8522293765114457,0.4845610037517298,0.8506144735309681,0.6202228839203461,0.6361249341036098,0.5999622597439027,-0.1706519365208211,-0.8031859641484325,0.4746338465926905,0.8405926460776089,-0.7186031500178737,0.2946312485970294,0.273188110625069,0.3659538333776017,0.8038863689753573,-0.1985213962003728,-0.6651390160789592,0.7681402323872351,-0.5826100573893048,0.8523533072051739,0.45011287681754825,0.6624567889164255,0.5583864128435244,-0.650007317088423,-0.35867488560047306,0.7872302037797938,0.7009943562287339,-0.8504920846933233,0.5274612473966543,0.7823985058139424,-0.5526635201125638,0.5202825715574212,0.6085244705409973,-0.8694414503562861,0.9075045333520826,0.6932580535485267,-0.3412206919812696,-0.7995552450649166,0.3624601066788565,0.556504453154192,0.7722446002714334,0.23061183377258948,0.5227518337232466,-0.11222731006063014,0.295533930736828,0.414749726649785,0.9059005563076098,-0.8480665476285696,-0.8418696191799903,0.6416475413434871,0.1809225003407999,0.621489786078931,0.5416849886274699,0.0910208345139092,0.008947512268343774,0.7378645114640184,-0.7183078634842349,0.6292962501545996,0.6488832407098234,0.764578178558714,0.5656495120311216,-0.009269170831401047,-0.4659464574184939,0.539815854188424,0.6362924673308042
Thal_PuM_L,0.2155253310484077,0.39709732917941554,1.0,-0.05490519470893265,-0.01841385729546448,0.41384959574823654,-0.11269072184637155,0.539102251210093,-0.07957414607294752,0.43225515302437056,-0.2796267019387168,0.16362063071936583,0.2164583476489235,0.33509080760648247,0.10929960689447975,-0.17732688253298806,0.014310948109323337,0.23835330429602455,0.21446100334670024,0.20075446334349192,0.6164373168982559,-0.13021161869947495,-0.13462649190632336,0.4135752821389264,0.3680445843449358,0.03314490198328833,0.15860501461828688,0.1077442140891636,-0.10683513819673723,-0.04480014450411236,0.3994129269625817,-0.1846204783522506,0.22080788085914166,0.05429377361668634,0.10166032250120362,-0.13178194664285278,0.23485324932848947,-0.1484504218395279,0.05742861920284777,0.11935468446319099,-0.08977608850937036,0.556957183648193,0.02130466475755467,-0.06553672666596236,0.3368008022860986,0.24720842915511007,-0.030447007759166617,0.15359185572669876,-0.05843802412430338,0.1382139907120305,0.5361635403492565,-0.11852184607792601,0.2441431386506497,-0.017507382208801384,0.18211932638608389,0.010035764568608089,-0.12009749856967827,-0.19522819468037753,-0.12358465525604999,0.2710326933835042,0.09473811312202321,0.2682676202475254,0.4210029059436969,-0.17495318628452614,0.31404592882732485,-0.12853571662798002,0.06654640725197727,-0.13781468744767983,-0.3151133966317974,-0.2294735419655391,0.5184028730682402,0.7130294766791108,0.2690346731229834,-0.1381221962988452,0.26497593640576667,0.8494216957684392,0.3449838471851636,-0.19280765787700468,-0.08186175755264823,-0.021685444909010032,0.04004489876556319,0.11547127953774985,0.38293497005310684,-0.19573741393069904,0.5865950393244485,0.4679466115618978,-0.19187822054193884,-0.0024017992390575394,0.49565677319859774,0.5980945468484742,0.4146070930315716,0.05018379384664408,-0.316899399692019,-0.10059011922350704,0.41939137937152327
Thal_MGN_L,0.19159688869747007,-0.08423145373645252,-0.05490519470893265,1.0,-0.18631916784242594,-0.10376429818263827,-0.22431093605340163,0.1431631993989408,-0.2183656195076654,-0.12432913822441513,0.2579680014763079,-0.08277449291655724,-0.20075720909170297,-0.006477943196561825,0.02354788776834629,0.25310229639389575,-0.05968053082854023,0.04543228761440271,0.404284862789921,0.33188879534100435,-0.09608885079657158,0.312762178455023,-0.28598700730718124,-0.17014670764005524,0.0934371119154803,-0.11238280622169168,-0.21948638261866105,0.010048900785177742,-0.4227725561065457,0.09738302107246449,-0.19116244072720623,-0.22732070542298188,-0.12104144815918502,-0.13338772889416542,-0.2062783716427422,0.18479380333637413,0.3736191429535954,0.29058558245741034,-0.24368884256479348,-0.254861630187045,0.38408702850373694,0.06271255424571076,0.07390955614744507,-0.17710302605479833,-0.0474540064352663,0.49146752005578964,0.2782881683928768,-0.21310389634785828,0.26166619802699254,-0.2602083656821514,0.27716638779662034,-0.05337147564336374,-0.006026491243260448,0.36872480702916144,0.15250984286625124,-0.22345621850596345,-0.2670293809204679,0.3331583439980699,-0.12240376709240454,-0.012743164816344259,0.308571044413225,0.016707270374428904,0.0986078692309448,0.2993284242292849,-0.06612918965797444,-0.2501003043137533,0.3987062037086,0.35318229942181206,0.1441101292144374,-0.29115581699783755,-0.023814843334412885,0.013897102381487184,-0.04411569113837381,0.008419921116210956,0.28478821973607094,0.07826326653964989,-0.1610913186398851,0.3242081410604646,0.28475170795662536,-0.24082136947942656,0.20788841473243394,-0.23448466148459185,0.10197309736269371,0.2056908848237707,0.07149237891401586,0.24746151748029466,0.21449902303437673,-0.2624801620885901,0.026521031919895285,0.014061046837111745,0.0859102216414637,0.23104880345058132,0.10257966229828855,0.058047340196290244,-0.05055634371058041
Red_N_L,-0.16690512619313835,0.6800828958540509,-0.01841385729546448,-0.18631916784242594,1.0,0.23831018493468079,0.7206929054381218,0.31036450598729665,0.9054151904094074,0.34709039140454573,-0.6207326666102047,0.5181449236427428,0.8822608660552576,0.6905529967656209,0.425059515339583,-0.7621327549099514,0.7591036537559884,0.5160750397511766,-0.5067728061101778,-0.7257162818615934,0.4711411483209391,-0.6720861914305336,0.871538322363294,0.7009333114224298,0.5606418133929902,0.7787153532606225,0.7671061365370023,0.7176919884946589,0.6028235018490763,0.5826305211146955,0.6925594181743772,0.7152326288082946,0.8024983446132605,0.8281825582521747,0.8142991946495266,0.7085721906466755,-0.4438479230222258,-0.7301978168438451,0.7610607569086872,0.8429483985378309,-0.6376293913250319,0.07259841300466684,0.5853953367385859,0.5597026500628733,0.3999804469779981,-0.43360115800648785,-0.785247956702326,0.8642076428418485,-0.5117262934309845,0.8385247547077642,0.0756232070972663,0.6523294411267736,0.6946989916482618,-0.6975415559759813,-0.2553638678157559,0.8886981689700246,0.8531272679973118,-0.8344534374104806,0.667364067228922,0.7694410162616302,-0.5307169437403705,0.530543449608609,0.538122885103443,-0.8212920384930577,0.6893359949765896,0.7000702444076452,-0.3707908671410857,-0.7462601231167149,0.5307764313322586,0.6718170531910925,0.43329616385858877,-0.15072685255687213,0.597000347354031,0.35669046811638977,-0.2611946963532655,-0.170260283723213,0.7156579631093957,-0.8028296796478781,-0.7621704063020187,0.8694982489106251,0.1898561634059033,0.7843723328641956,0.6307260507920255,0.3394047233350455,-0.5452384430868938,0.2894505021686475,-0.3855977006130679,0.8505036800763699,0.17892684674024642,0.31047752178662646,0.09026569875481827,0.2556112243980451,-0.039250349437263396,0.5885916872574263,0.3119682304065341
N_Acc_L,0.5503000606746907,0.6527932942026352,0.41384959574823654,-0.10376429818263827,0.23831018493468079,1.0,0.013929769246229025,0.6176114437015909,0.13673251498950242,0.28947282587146034,-0.6019905726963052,0.4777693436524881,0.34286418818672354,0.5367815993539474,0.5556598786538433,0.015583605691572895,0.3662977894406555,0.2766174755188176,-0.019055653660981168,0.023703994695919228,0.6227154254566072,-0.6352702385925973,0.1947502403056636,0.49432486692930744,0.5293583467546503,0.15030365123523592,0.49121069338059464,0.2147855947224425,0.47286434239376374,0.2006486278472436,0.4521668160132099,0.04823507645721782,0.5866204709189164,0.13867403851384716,0.0900736427581105,0.259206986118154,0.12436682645622087,-0.44898125996151195,-0.0008096400417720914,0.4236361756544822,-0.5727002749444028,0.13271198338083415,-0.1802803689442756,0.3300846448816496,0.8192172099436552,-0.1690399025927884,-0.1520387841426192,0.2713657235805996,-0.29570406613856925,0.47951627546344755,0.356891044088677,0.46463144244797033,0.017299916026840785,-0.3184004429100945,-0.4749306155481111,0.30887667639925714,0.23268489064499198,-0.46123395730683137,0.2077709768920916,0.39676736794319234,-0.6002207788190467,0.3619005629631293,0.2884653975886112,-0.49042984972987563,0.6904377333419723,0.444355567208792,-0.3572080166664729,-0.4949020846541784,0.25307019366378963,0.42882399924532777,0.5872351439253372,0.31245507306836245,0.34179397857634053,-0.58360527025378,0.5831214745615592,0.6453703422848481,0.47303663546746244,-0.45242550749783367,-0.5668428034828595,0.06499184004101136,0.2816302743668265,0.27862393978069677,0.1771435852289972,-0.2867136212555286,0.4037922228168326,0.4774128592737541,-0.7748375313613712,0.19361846164430094,0.6432724202569989,0.5042440382614585,0.900520096922746,-0.339372193686861,-0.5182528056292176,0.3902217673357189,0.7736131701542975
Frontal_Med_Orb_L,-0.3546058057202787,0.5148914891669777,-0.11269072184637155,-0.22431093605340163,0.7206929054381218,0.013929769246229025,1.0,0.04328921249388062,0.8355407442138171,0.20854015981722082,-0.5367408924525968,0.3304184452621325,0.7338531876162562,0.5386274459777278,0.16579320434111824,-0.6979475980687311,0.6495281608635887,0.283069669905758,-0.6481982547260529,-0.822953602233167,0.37648851833408614,-0.5275301069432196,0.8743464483679321,0.6008279891897003,0.3109854055900652,0.7094525055687039,0.610691422975517,0.592002182078253,0.5414605276966312,0.4095510585529758,0.5883590085197767,0.9159178283113727,0.5711551547405379,0.7431126811989901,0.8059212370454168,0.49825751379944033,-0.6322153208470279,-0.6893301095599582,0.6975658805859541,0.7483668408310787,-0.4614742721035834,-0.11375951575045821,0.5423004543992868,0.4638475011432684,0.24653074680190618,-0.35317665697481687,-0.7169078086835865,0.8018725719937669,-0.5769789316544853,0.7312615231826012,-0.08245992993692389,0.5249687809685827,0.7053512537232203,-0.5817310221527542,-0.10239238867337747,0.8424296384393726,0.8524149968499034,-0.7005376313906244,0.6151429721396346,0.5773055246807393,-0.3446951962143852,0.3401389556221045,0.3042993196890626,-0.6883759098308996,0.512919581712504,0.7386062811430535,-0.25097408030388557,-0.6389971585380642,0.25317221324192374,0.628745360407733,0.2395348347579284,-0.2775147580452979,0.413768420815285,0.44799336008555646,-0.301048949202258,-0.3217718637376463,0.6049706752169065,-0.6887797633374707,-0.5948378587528247,0.8524589867950323,0.00883640085396619,0.6074040326957859,0.403421951870969,0.3858420219532303,-0.5525533023672642,0.21688605006345965,-0.207118913170888,0.8346899874948687,0.01822369007893392,0.2743211833872726,-0.13285966847953368,0.3235092563413427,0.05840975798627605,0.45674187264220306,0.1304921045177962
Insula_R,0.4621744561500976,0.5775153687377441,0.539102251210093,0.1431631993989408,0.31036450598729665,0.6176114437015909,0.04328921249388062,1.0,0.22476585394288562,0.3955759014280152,-0.3253027842689975,0.3901090389099743,0.4697769691633802,0.5189980720986733,0.6197054913789111,-0.05183139099703036,0.47025791675589507,0.4158018137916568,0.23320541141905823,0.08240478001322629,0.5146007760865184,-0.3012871266770812,0.14869908151495567,0.4407601438427303,0.6681810384899401,0.38003501012882246,0.47291819138791785,0.6090061488243447,0.17989899569054482,0.5888212757006936,0.4379616670420361,0.041239603616533636,0.6113318644132602,0.4548116276211517,0.20939083908741304,0.47774089280938115,0.33221593094975826,-0.23077530385181055,0.20071969164782266,0.39106344927978853,-0.18815072409446523,0.22595715173228528,0.40856463784303904,0.4307142181369065,0.7461271189029849,0.22236926882500083,-0.11618685168125532,0.39896908732380926,-0.05770258165269706,0.4165560849654348,0.5163634880233134,0.4014847069885983,0.4299560905942769,0.02444332916871603,-0.23011974519025258,0.3044518283361266,0.15292197313545727,-0.29578009549068346,0.3279638562716843,0.6380568094283153,-0.16524589716236707,0.6788768170446997,0.7010244190040475,-0.31293588989838245,0.7402930554718394,0.2656806631150176,0.05220748529977698,-0.18736822121762983,0.3923349581701116,0.25430946094046786,0.564670976571749,0.2950906022220317,0.6815801070176369,-0.07671326375295982,0.5508850970507657,0.6517956915521262,0.4332745439264195,-0.25929233838248383,-0.279117689463613,0.20976994622502645,0.5068977953937597,0.30820242492185457,0.6581312661336131,0.05631625411410678,0.18485178360475846,0.6051218440526391,-0.3289209836817122,0.29537218986186603,0.4152671051575387,0.47020379353547576,0.7712912907788653,0.20247422083807431,-0.01991937571555193,0.5234985396364761,0.7317209103297571
Frontal_Inf_Orb_2_R,-0.2572241103758861,0.6905476320940721,-0.07957414607294752,-0.2183656195076654,0.9054151904094074,0.13673251498950242,0.8355407442138171,0.22476585394288562,1.0,0.316019124005845,-0.6879483925836128,0.49068357336858626,0.898816199875201,0.7009427382672444,0.35890639609827696,-0.8329072066170551,0.7474125943518677,0.44027203474549786,-0.6403949104045212,-0.830491928629062,0.4870443694758809,-0.7091330682443624,0.9604402260981041,0.7542737739539113,0.5607051225191085,0.8141232181195733,0.8214758555911038,0.7177387054485377,0.6002771873276737,0.5969584043888906,0.734105725004579,0.7977255233967419,0.7962564986202288,0.8819891237923163,0.8474377544915099,0.7037428412442881,-0.5949110743124341,-0.8137077705931688,0.7838381146388853,0.9106061333825007,-0.6771014252064282,-0.009874254776389903,0.5872464506501845,0.5376251841487782,0.3774126181512024,-0.48755784594978346,-0.854062691993617,0.9253073826256709,-0.6276897779861921,0.8914160337295327,-0.012511960628194683,0.6600507165765739,0.7554916804270531,-0.7273815765854647,-0.3133712082765934,0.9593400219639313,0.9454974516201919,-0.8772131451345062,0.7043898906150279,0.7920647946404591,-0.5001376971927429,0.4489293629089477,0.45456139991383987,-0.8667732237249904,0.6809951898801699,0.7686938496474892,-0.42410456473076774,-0.7948874834088875,0.4212827806854186,0.6811732886930147,0.4099203882065401,-0.20697810475937672,0.5734434710455918,0.39109165775226545,-0.2780305109088915,-0.24503669984000429,0.7630201135635275,-0.8540844699834417,-0.7982033153406898,0.9557154803344545,0.11316230319079314,0.7491108634821249,0.5949136259303296,0.28836092579661016,-0.6065721641119702,0.2697906088052856,-0.3929177688299767,0.917269268524446,0.12440612187958719,0.3636956995605834,0.003399697203519098,0.21338485265340906,-0.01839944799772442,0.5938189783330768,0.23199619083261525
Thal_PuL_L,0.13557663374422324,0.4246411811639374,0.43225515302437056,-0.12432913822441513,0.34709039140454573,0.28947282587146034,0.20854015981722082,0.3955759014280152,0.316019124005845,1.0,-0.3511163031643606,0.24316452861636703,0.4957790029938811,0.38892473174571957,0.4018808762275106,-0.32787790408734857,0.31812454305187765,0.24587418573205777,-0.13982183334017462,-0.15954053135922816,0.43113092726219976,-0.33670854031406533,0.26946104247856784,0.39175839294905135,0.43910723239246935,0.4075108301345547,0.39299314138901353,0.3690122845066727,0.17681029816968685,0.28630186642756383,0.36026155642945873,0.1951632616649893,0.460058845353066,0.412950744917012,0.34296421430018786,0.28361719582873907,-0.10802855679332275,-0.32990174943850176,0.2582307260131168,0.40380049365808673,-0.2939249693664521,0.263533781784804,0.31862054557763303,0.2698159225190302,0.24473956793901464,-0.06583105205300363,-0.32433258771827844,0.47335518941859084,-0.26366804543046923,0.40391590504575614,0.1696442177323131,0.24072034779412843,0.3498703729229176,-0.2537888884243552,-0.08474630465229807,0.3411522980394115,0.26594596343961313,-0.4123903984032115,0.197335507243488,0.40484655117335544,-0.20913122837993245,0.47550951232314104,0.45821866041389053,-0.3837323543263721,0.3673365929346577,0.23822218446254823,-0.07488631385375287,-0.34735702617048847,0.10876207171707097,0.20369642203961533,0.27908349307429303,0.3676232409952834,0.42805640002628453,0.07682208146464263,-0.050502994283063485,0.28621451263862574,0.3489245047326618,-0.3637238031418848,-0.3147002938889804,0.3164689293362187,0.25478109759642753,0.38114180781917273,0.5112265927291848,0.0095837028412393,0.01545502514246964,0.30153943590510646,-0.2537400398784469,0.35078548724157405,0.31025464145921655,0.3167098027042655,0.20668340304586544,0.15319128473978577,-0.11044023540727618,0.18932455495276937,0.32825658626143517
