,Cerebellum_9_R,OFCmed_R,Heschl_R,Thal_AV_L,Thal_MGN_R,Cerebellum_Crus1_L,Thal_PuM_L,Frontal_Inf_Tri_L,OFCant_R,Thal_IL_R,N_Acc_L,Cerebellum_10_L,Paracentral_Lobule_L,Caudate_R,Frontal_Med_Orb_R
Cerebellum_9_R,1.0,0.38873023235399745,-0.18681850739941988,0.13370153416790329,-0.09367063930102408,0.4117063880015824,0.21762133645241188,0.391174162572994,0.23933004472648534,-0.13021295292970764,0.18648818716544507,0.00018018650549461712,0.17817877405724117,-0.01642425987421596,0.2939764565743622
OFCmed_R,0.38873023235399745,1.0,-0.11699488617284141,0.2272656714851641,-0.01995506469435779,0.2587160940915304,0.10042931793574077,0.10006927804917838,0.09627730207946214,-0.02659002846713884,0.1428626890300929,0.016044124850747018,0.11247101682284014,0.0231271367967773,0.1974051991272542
Heschl_R,-0.18681850739941988,-0.11699488617284141,1.0,0.2142777295907002,0.03396802557010737,0.0021254546132514736,0.3926510249032589,0.23971885948461993,0.04509952160879925,0.023855021832427655,-0.1659487710768139,0.23965741263176166,0.31782746379499255,0.6354673559904029,0.08944749473368595
Thal_AV_L,0.13370153416790329,0.2272656714851641,0.2142777295907002,1.0,-0.08194749831151767,0.04217952733220901,0.3921590067733749,0.5250956901115515,0.11472051293613081,-0.29795228361539716,0.26585999684528006,0.13415263746974146,0.5464413835734679,0.29636880183341535,0.18916535273717552
Thal_MGN_R,-0.09367063930102408,-0.01995506469435779,0.03396802557010737,-0.08194749831151767,1.0,0.17633657465717803,0.11558135544042962,-0.07390132691243864,0.006260664475847791,0.06499674398714284,-0.20019914528674068,-0.03460036832516573,0.13374723849019288,-0.08175655233940796,-0.23219309698246077
Cerebellum_Crus1_L,0.4117063880015824,0.2587160940915304,0.0021254546132514736,0.04217952733220901,0.17633657465717803,1.0,0.3543336455016957,0.4041406656766382,0.26669654840374896,-0.09999236986872412,-0.08939019588738514,-0.11612714073887981,0.3747331445435367,0.09521602229015691,0.23560737020720063
Thal_PuM_L,0.21762133645241188,0.10042931793574077,0.3926510249032589,0.3921590067733749,0.11558135544042962,0.3543336455016957,1.0,0.5351792793960075,0.12422016776718926,-0.05709369721038544,-0.09803511692502648,0.03959392571523451,0.7213383338700071,0.44204381848531715,0.07569033359498802
Frontal_Inf_Tri_L,0.391174162572994,0.10006927804917838,0.23971885948461993,0.5250956901115515,-0.07390132691243864,0.4041406656766382,0.5351792793960075,1.0,0.23282019611523055,-0.23840601950908524,0.18169152700251756,0.025864198825522766,0.6282743913789675,0.48599058298780096,0.3789114715312831
OFCant_R,0.23933004472648534,0.09627730207946214,0.04509952160879925,0.11472051293613081,0.006260664475847791,0.26669654840374896,0.12422016776718926,0.23282019611523055,1.0,-0.15706571867841923,-0.036353394726565166,0.012733973278185417,0.302973738707748,0.1742496946951534,0.32354380695543633
Thal_IL_R,-0.13021295292970764,-0.02659002846713884,0.023855021832427655,-0.29795228361539716,0.06499674398714284,-0.09999236986872412,-0.05709369721038544,-0.23840601950908524,-0.15706571867841923,1.0,0.2654483703862775,0.09704674746581415,-0.004729279469876727,0.004226123120607932,-0.1477542105857994
N_Acc_L,0.18648818716544507,0.1428626890300929,-0.1659487710768139,0.26585999684528006,-0.20019914528674068,-0.08939019588738514,-0.09803511692502648,0.18169152700251756,-0.036353394726565166,0.2654483703862775,1.0,0.07361746469900698,0.19541328725690715,0.09066080791847839,0.1244262353943458
Cerebellum_10_L,0.00018018650549461712,0.016044124850747018,0.23965741263176166,0.13415263746974146,-0.03460036832516573,-0.11612714073887981,0.03959392571523451,0.025864198825522766,0.012733973278185417,0.09704674746581415,0.07361746469900698,1.0,0.06501343772305389,0.25180232290977544,-0.2278326179042661
Paracentral_Lobule_L,0.17817877405724117,0.11247101682284014,0.31782746379499255,0.5464413835734679,0.13374723849019288,0.3747331445435367,0.7213383338700071,0.6282743913789675,0.302973738707748,-0.004729279469876727,0.19541328725690715,0.06501343772305389,1.0,0.3906811924711284,0.22941182920580028
Caudate_R,-0.01642425987421596,0.0231271367967773,0.6354673559904029,0.29636880183341535,-0.08175655233940796,0.09521602229015691,0.44204381848531715,0.48599058298780096,0.1742496946951534,0.004226123120607932,0.09066080791847839,0.25180232290977544,0.3906811924711284,1.0,0.25094028034571964
Frontal_Med_Orb_R,0.2939764565743622,0.1974051991272542,0.08944749473368595,0.18916535273717552,-0.23219309698246077,0.23560737020720063,0.07569033359498802,0.3789114715312831,0.32354380695543633,-0.1477542105857994,0.1244262353943458,-0.2278326179042661,0.22941182920580028,0.25094028034571964,1.0
