,Pallidum_R,Calcarine_L,ACC_sup_L,Cingulate_Mid_R,Vermis_6,Temporal_Inf_L,Cerebellum_Crus2_L,Parietal_Inf_R,SN_pr_L,Heschl_R
Pallidum_R,1.0,-0.029758577820914234,0.38533101927272634,0.4132007362181767,0.09557749537701764,0.3827970232651008,-0.11898837861901239,0.17005188781322067,0.6010411790545024,0.42903080310457076
Calcarine_L,-0.029758577820914234,1.0,0.07630331663432427,0.47424235833635625,-0.22054253021076162,0.14714402772761065,-0.058708869239214465,0.5252367724189875,-0.03260109841803205,-0.015762290043116432
ACC_sup_L,0.38533101927272634,0.07630331663432427,1.0,0.6094105313539614,0.19459044992001734,0.23744301879158886,-0.1415791964412125,0.35763046452612174,0.5805511141560766,0.49459916413404686
Cingulate_Mid_R,0.4132007362181767,0.47424235833635625,0.6094105313539614,1.0,0.12815066720059246,0.2197000168301246,0.08110803157295512,0.7075715692084306,0.3781778183622786,0.5411212752284692
Vermis_6,0.09557749537701764,-0.22054253021076162,0.19459044992001734,0.12815066720059246,1.0,0.002235308188108902,0.12074730860318073,0.06844632235172167,0.221765497332099,0.14277275303309064
Temporal_Inf_L,0.3827970232651008,0.14714402772761065,0.23744301879158886,0.2197000168301246,0.002235308188108902,1.0,-0.192208633435389,-0.00805405509187475,0.42858827328823335,0.33492625749133803
Cerebellum_Crus2_L,-0.11898837861901239,-0.058708869239214465,-0.1415791964412125,0.08110803157295512,0.12074730860318073,-0.192208633435389,1.0,0.11683939101615745,-0.2846837058712612,0.13458191768724947
Parietal_Inf_R,0.17005188781322067,0.5252367724189875,0.35763046452612174,0.7075715692084306,0.06844632235172167,-0.00805405509187475,0.11683939101615745,1.0,0.1609143781995694,0.22418466103420642
SN_pr_L,0.6010411790545024,-0.03260109841803205,0.5805511141560766,0.3781778183622786,0.221765497332099,0.42858827328823335,-0.2846837058712612,0.1609143781995694,1.0,0.37548254472958703
Heschl_R,0.42903080310457076,-0.015762290043116432,0.49459916413404686,0.5411212752284692,0.14277275303309064,0.33492625749133803,0.13458191768724947,0.22418466103420642,0.37548254472958703,1.0
