,Postcentral_L,Parietal_Sup_R,Temporal_Sup_R,OFCpost_R,Cerebellum_9_R,Thal_PuM_R,Rectus_L,Thal_LGN_R,Rolandic_Oper_L,Cerebellum_8_R,Pallidum_L,Precuneus_R,Thal_MDm_L,Cingulate_Mid_L,Paracentral_Lobule_R,Cerebellum_6_L,Pallidum_R,Cuneus_R,Occipital_Sup_R,Occipital_Inf_R,Vermis_10,Vermis_4_5,Cingulate_Mid_R,Precentral_R,N_Acc_R,Angular_L,Vermis_7,Parietal_Sup_L,SupraMarginal_R,Cerebellum_3_R,Frontal_Inf_Tri_R,Cerebellum_6_R,Frontal_Med_Orb_L,Red_N_R,Supp_Motor_Area_R,Insula_R,Occipital_Inf_L,VTA_R,Thal_VL_R,Insula_L,Cerebellum_Crus2_L,Cerebellum_4_5_R,Frontal_Sup_2_L,VTA_L,Thal_VPL_R,Thal_PuM_L,Cingulate_Post_L,Thal_PuL_R,Thal_LP_R,Frontal_Sup_2_R,Lingual_L,ACC_sup_L,Amygdala_R,ParaHippocampal_L,Occipital_Mid_L,OFCant_L,ACC_sup_R,Temporal_Pole_Mid_L,Thal_MGN_L,Temporal_Mid_L,Frontal_Mid_2_R,Temporal_Pole_Mid_R,Lingual_R,Thal_PuL_L,Cerebellum_7b_R,Frontal_Sup_Medial_L,Thal_PuI_L,Temporal_Inf_R,Cerebellum_Crus2_R,Thal_PuA_R,Thal_AV_R,Red_N_L,Putamen_R,Cerebellum_Crus1_L,ACC_sub_R,Angular_R,Temporal_Pole_Sup_L,Cerebellum_10_R,Cerebellum_Crus1_R,Frontal_Inf_Orb_2_L,Postcentral_R,Cuneus_L,Rectus_R,Heschl_L,ParaHippocampal_R
Postcentral_L,1.0,0.7656519167786997,0.557092448856051,0.14861233211977345,0.23450610442156267,0.7386970664721472,0.28131426873304943,0.5508654538668076,0.5986534043305326,0.24234525250170305,0.18430776396160953,0.748513692931371,0.6790513700705442,0.7600989116499285,0.7608530929470432,0.06884553579785034,0.150299647753955,0.6176088192980826,0.5691777556381065,0.1350182578360094,0.0638216517575142,0.7731530535056376,0.6936240688868541,0.7919685759983572,0.11539481975406467,0.5308552615538649,0.19317194828440223,0.5978016448993758,0.7591871150568748,0.6191229444345772,0.19790843123221405,0.19257168172953482,0.04689032467353193,0.25206735156240745,0.731468304055988,0.3463419247677049,-0.044251453610664564,0.1030436883560993,0.5392185572099879,0.6181928591987549,0.08153831088198071,0.4474920807542064,0.49547926441650725,0.27345181747850095,0.7121357639980472,0.7233527829765046,0.7352657564009438,0.6265623242588314,0.34848301277728666,0.6148612860651302,0.718853957080761,0.35608652262124485,0.006182105947423788,0.5030157055206657,0.5184059991156107,-0.003785515910372994,0.07549325068433245,0.18339870077776838,0.326304528017058,0.49701195305830864,0.6385890938431333,-0.1254903123363094,0.5356237262839691,0.6914564026959252,0.2574905591328072,0.587113556487233,0.7278364607516689,0.1734450675138318,0.1969611890949689,0.5914736983951809,0.4066567879015098,0.49230965834445917,0.3387485492279458,0.4779089588729551,-0.04824114835066533,0.6556681522279956,0.1650540281060294,0.04059850138251152,0.20706799992597508,0.09023517758312448,0.8087254181679924,0.5836101942870983,-0.12134528873801954,0.7260409076863754,0.22819207103093253
Parietal_Sup_R,0.7656519167786997,1.0,0.7501018441642788,0.10303719929240361,0.141306332533875,0.6453574910035201,0.2740812148246585,0.441585373209236,0.45407620168667834,0.2122429780679519,0.2431905426005764,0.8548071162453903,0.6223616532321671,0.7077216826325428,0.8255240206090911,0.1422903170444882,0.15385631975545105,0.5196604599348565,0.5322557113795627,0.26551002255638423,0.07401730382349724,0.754190675067363,0.7755776196194,0.7745603026971278,0.10516019509426215,0.38324400166598255,0.040514981538520144,0.7406136950395948,0.8044129881813405,0.538571225984039,0.19988026157692773,0.18771244277930063,0.10847952303799377,0.16519889552411465,0.6698669312931539,0.27290885638495493,-0.0019139977802073195,0.048420192873752974,0.47442655592637245,0.386556112692368,0.07193144741707555,0.32012552890486434,0.4868196521191884,0.20924219618163883,0.588817136171209,0.7846562905805802,0.7722341382943179,0.5424473170829247,0.30090212766159663,0.6580296952088915,0.6618953121810482,0.3174980272909874,0.008680904105699761,0.5521320535844755,0.4140669516349478,0.02058688503374797,-0.022727002567495897,0.13884161146453652,0.37323138967952874,0.1799724745137879,0.5377048561375558,0.00042311972205197904,0.655184323165596,0.7591773993216059,0.20538166557827411,0.4925788642102562,0.6596920606640336,0.3788501934923532,0.15327103982230206,0.5174740280222014,0.26400345003437536,0.5513059139928284,0.38463376475992755,0.2913132668549093,-0.018910031042833453,0.8612847621046037,0.23411633768332193,0.13767994122718508,0.08764514348975501,0.11149642332219376,0.8178825458353779,0.5731646796574383,0.009791155900956097,0.6527849529231877,0.26414218166306663
Temporal_Sup_R,0.557092448856051,0.7501018441642788,1.0,0.21815208379312645,-0.22369035350043404,0.6712289881380545,0.13505890694760553,0.4395279028609946,0.29552598262940843,0.2684011816669268,0.24641842361508773,0.6284907028275419,0.6256675742393321,0.689003248730516,0.6457090912162037,0.1461732999809413,0.30433522847247085,0.18433182941641982,0.3185350777618949,0.07690348038262217,0.0967817057940375,0.5840170460496006,0.8270149671480885,0.6303628634764815,-0.13965785102277778,0.17299480630966102,0.1877315741333513,0.5256596792972916,0.6832199319675165,0.7058474488561624,0.5188262513721876,0.31663000808284497,0.09449026449566147,0.256051178527675,0.5160676477361924,0.5385208714283172,-0.026911384484588925,0.17904042496666797,0.5156369574784886,0.22093326163647575,0.21062239977018127,0.5081357896835627,0.5126378438223302,0.19645425441405073,0.5779309290275136,0.6287128443536089,0.5647436501696416,0.46052966675527945,0.36322864470643845,0.6442372099344609,0.48376395785383963,0.42068227197530933,0.15870631847096708,0.4307575727408664,0.1182500977946429,0.1676090772959028,0.19199922123021995,0.11385376990002447,0.45485289442257454,-0.10575808508667132,0.5471851117780346,0.26716312257463576,0.7514559408761492,0.5784958111001535,0.26219271201426114,0.5589743725212014,0.5732991172757572,0.5861794308077306,0.2917871544839598,0.6115271400564963,0.12559386177038118,0.3295428892952734,0.49587144153722856,0.05043418824115945,-0.06947337844796367,0.7366357550454564,0.34041372768416356,0.2411189217365701,0.20941703915955773,0.22832210665865435,0.7897070441345994,0.3487833364683139,-0.09561853742601457,0.4750008780201932,0.4468556402513181
OFCpost_R,0.14861233211977345,0.10303719929240361,0.21815208379312645,1.0,0.09279826053920412,0.14896113711205836,0.09208395013706867,0.09389153001493612,0.35675104182021483,0.45871286887736207,0.615392438620119,0.06800769826036428,0.24087923156271787,0.2429158578067464,0.18635111744944458,0.2101767048416805,0.6459022933797914,0.00470370887738643,-0.021381301663682503,0.1209400987814336,-0.0380032329487309,-0.0323301273876278,0.24490647995831913,0.2696761388539467,0.09941578390249284,-0.047838108443007454,-0.049958370511165855,0.03673453010272876,0.1522040101200021,0.16075082675673777,0.49540323222652305,0.5187116227364146,-0.14910895018226997,0.2596102549236392,0.19835055248141795,0.6039155518869909,-0.10201532182561106,0.2835439529750755,0.5482505779331646,0.4440439943982071,-0.1436173368752929,-0.06972826427283672,0.42799499512482214,-0.05522444765878026,0.1508919626818701,0.11638408214183392,0.026985256389457,0.003233314899661797,0.355531794772875,0.3454160634493989,-0.08858825607868863,0.35877917254652886,0.2335288134338073,0.46458732511408385,-0.07674350016515605,-0.15603383090989084,0.44502895377015417,0.06901607256729161,0.16811270973833703,-0.05649197703509679,0.43218109218136647,0.27128130693652097,0.041831608909502334,0.08482948851021667,0.05060740686413807,0.4039568019055961,0.2523217428537934,-0.004637257456218528,-0.13605743003129406,0.12937788892595492,0.33656544133995386,0.17468257583747604,0.536413284143844,0.1346316952499628,-0.01250212693246426,0.0560320026461444,0.22948015134510902,0.22688697322490006,-0.249253645157661,-0.09761765523004054,0.2522123186448057,0.08367891534944068,0.2293636575275905,0.3463766804098631,0.6011644473369394
Cerebellum_9_R,0.23450610442156267,0.141306332533875,-0.22369035350043404,0.09279826053920412,1.0,-0.06784594509215934,0.1590384194124972,0.11985553283364125,0.22932688676846322,0.17820121071121053,0.08945329510556763,0.1423907430676669,0.009015909363991338,0.0976363588644231,0.1871584585585256,0.1367588993731625,0.044126549886122156,0.3485121710275753,0.184560854123841,0.3353892294742581,-0.1414532690063308,0.132194405957696,-0.02686822517464435,0.23007674234757194,0.27813470236386145,0.28387265496523933,-0.08949022293675382,0.08918273369457104,0.12378010766792068,-0.1913525665607873,-0.16380875611869142,0.14179500772274656,-0.18061361089460698,-0.07544293299863934,0.18862930670598282,-0.14641955685163788,-0.0591729478205742,0.05153471137019902,0.004710574047925778,0.470867535905708,-0.1735220118436171,-0.3404642167117206,0.03926579704042837,0.06652612062920754,0.011459931148111006,0.21762133645241188,0.1803407311924922,0.1467201287800215,0.1008905475508896,0.13747280431615042,0.20054668954309032,-0.02932036016075912,-0.21174875578836333,0.26644381907777176,0.2874678970757118,-0.2998143117824284,-0.030843725345409006,0.015231271879877394,-0.13690278860465366,0.41358991658977196,0.14613415987392467,-0.2634739068269926,-0.17702880798450252,0.11141711489428985,-0.14686702493695244,0.12125474943830021,0.10868687792216852,-0.2520813356410729,-0.18159156454652284,-0.11397944529573317,0.24505078087450002,0.3064186449632996,-0.04072563380402705,0.4117063880015824,-0.06174127285835763,-0.028317997198342198,-0.020538062878031556,0.1450806733997282,-0.3568781126542382,-0.18633242724910462,0.051616360062037264,0.2706951728023234,0.13497982390258437,0.3055894303451061,-0.1114309508180368
Thal_PuM_R,0.7386970664721472,0.6453574910035201,0.6712289881380545,0.14896113711205836,-0.06784594509215934,1.0,0.13862306840150412,0.5377680046349825,0.5592745475482908,0.1903524468945878,0.22272739320347337,0.6068379388485036,0.7669430360087047,0.7906730376075668,0.628896448018508,0.05497437864153266,0.23776531983901786,0.3300188340454896,0.40357276309776546,0.01024239954396768,0.12880112795984666,0.64721092078629,0.7598244312958926,0.7070037016745306,-0.08368536298123957,0.26921636803258725,0.1626737311565337,0.4181259395260905,0.6698096348438992,0.7098942181893684,0.39672410625476495,0.1596681518282746,0.01674501599818877,0.30029834903567043,0.6119433225807654,0.5808912733392064,0.0010641696815381074,0.11765831027466689,0.6302417276956649,0.49142645498066445,0.10092926546006348,0.5600750837565349,0.5849589572020863,0.22612200784095016,0.8432174525930962,0.6848494805553317,0.6534894082692586,0.5928724926621003,0.4314777994679251,0.6479542720738001,0.550074665711212,0.46703529579162406,0.12163154634519047,0.4488495526634891,0.27806770981568857,0.0984111832044849,0.2770530750979982,0.11645090552655699,0.45396445331594054,0.23314924593734657,0.670188020121013,0.03721708394864077,0.6000901783081174,0.6076751581238499,0.2575094080267508,0.654918458485327,0.7435945216148843,0.2374201781887437,0.1914821334601231,0.6967775809930656,0.27346230170431535,0.37448671374489945,0.4503829308181804,0.20830906971851768,-0.05101804061974122,0.6018335877733223,0.15662625732060748,-0.0022972709762072423,0.19740050378446755,0.18169680967081278,0.8067256071435895,0.39300539954530833,-0.15844772102405374,0.5919347437414223,0.3945274164150012
Rectus_L,0.28131426873304943,0.2740812148246585,0.13505890694760553,0.09208395013706867,0.1590384194124972,0.13862306840150412,1.0,0.2174785010761684,0.059829506478775406,0.07246913103158892,0.018492504185076298,0.2951850238830996,0.12782548906527233,0.1729076732292301,0.2906778685799964,-0.06648800967930019,-0.050113528811410575,0.22706972634778919,0.09355404870378305,-0.02095755350397026,-0.07933792084024333,0.19263015543665904,0.16505600626401817,0.29653930041182197,0.26753585120116746,0.29364671780687013,-0.25256496768138287,0.32731624587004937,0.3017418362109137,0.1279568713266822,-0.14722770974074068,-0.03179071506443312,0.06943073126967152,-0.06640682076822102,0.2673972779114948,0.03149242568975356,0.06376806295646356,0.0700958759900333,0.11975687578158059,0.16999701873724915,0.3046575741560198,-0.055166257085898146,0.05433591743238773,-0.0073133463963396496,0.06622569285146808,0.26801121435753944,0.32532869669525394,0.10954882663532621,-0.043549099291903294,0.20370649951445743,0.1859620116614252,0.05752606963614448,-0.0706097357286191,-0.023365025491473075,0.16434500413492734,0.195210391468905,-0.17459135118422914,0.10401557312661633,0.3017174264473965,0.18099488053295126,0.18759163170460444,-0.12950676841994588,0.18349505525883883,0.3071551124429249,0.12873397039560866,0.14108841261056712,0.27458368652850834,0.0725449452119449,-0.06641398777803212,0.10276681470450286,0.202303770834362,0.1798088768320397,0.14613383677846886,0.047411331921143496,-0.08573023472086609,0.21253499873695142,0.10285129002667956,0.044673828753255894,0.06987664486386218,0.13597520171029057,0.25834044251308824,0.23472823563259873,-0.312580547385111,0.2644410434250604,-0.23197920554067453
Thal_LGN_R,0.5508654538668076,0.441585373209236,0.4395279028609946,0.09389153001493612,0.11985553283364125,0.5377680046349825,0.2174785010761684,1.0,0.2935293455758277,0.17987990121602004,0.03486000173064452,0.3862359051773091,0.42889144909739135,0.5457923921877189,0.42533162055919504,0.13784755618097397,0.09803410824430632,0.36910175877594337,0.42548557620980954,0.0005396556280235999,0.15265375147527555,0.4539141998855916,0.4198256664038789,0.46918721278321,-0.0027412281660488098,0.3957169934861307,0.16118174328047213,0.334611061025654,0.469299432486448,0.6485277446495996,0.30121337532982606,0.16450683458151108,-0.014089947390703754,0.22794764014742835,0.4510418194263253,0.3631493477445596,0.08353731638043048,0.14102731586173858,0.2633259715411417,0.35438334591218196,0.2842705056028502,0.4525803078656683,0.34864927585667643,0.10390890965666442,0.5215622382052847,0.48500420378182424,0.41054334346273763,0.3029546830140499,0.36140439721602247,0.4523237866070704,0.4105052527651313,0.08035045511843794,0.189031084178532,0.2773947716934139,0.24402880727501172,0.08252353878145574,0.04757205106807731,0.2657064520295587,0.29725334653784496,0.20853970381683334,0.4155761840914657,0.0910335256667681,0.4581868602837145,0.41568945025444193,0.2541996972861347,0.4224874297197484,0.4510659974061326,0.21260758151870712,0.27334758088635286,0.5154448608740133,0.05713283968367421,0.4122562133353765,0.1997717576844455,0.3069176768621082,-0.1625229357336543,0.47386118168571534,0.30114790010393094,0.14603522954327053,0.24197323604276327,0.20838953440600932,0.5305979869818088,0.35950770941321125,-0.22436331270588533,0.4356169463387512,0.15097318827750486
Rolandic_Oper_L,0.5986534043305326,0.45407620168667834,0.29552598262940843,0.35675104182021483,0.22932688676846322,0.5592745475482908,0.059829506478775406,0.2935293455758277,1.0,0.15595003556598216,0.4868738627623322,0.36707228905433537,0.45712951120456397,0.5200715589778098,0.3793027103818858,-0.04696552564553156,0.4638500999935223,0.1926504398780879,0.06964366715257425,0.2809302577209495,0.12566519158342007,0.5100927036922154,0.47205391581036604,0.4844979888645617,0.20312569118639598,0.08883377787015435,-0.1561565173192432,0.14602040916050973,0.32480442693426287,0.2554648928407203,0.17711396737643145,0.23137505469024092,-0.19867810500796876,0.20611002578580742,0.34684141629976545,0.44323769211495984,-0.01214653724696937,0.08756859072615308,0.6467129027955285,0.7550594380781398,-0.053700062640138026,0.09064919576648492,0.46057017441707077,0.026142786586590982,0.5868853229730475,0.48568016689736737,0.443754293498366,0.3361235087087148,0.3134506689453463,0.4361819531047846,0.4730304115488787,0.3255195659559276,0.07243072721869181,0.6204290180446542,0.4271339891412486,-0.02784886373448566,0.44977188373284116,0.10709042606585266,0.23527028109465276,0.2995021018444931,0.5176752951568155,-0.14328883831454148,0.26103909653498786,0.4014477986445914,-0.0529157363719756,0.5567104453994733,0.6068587186281806,-0.026608355102329246,-0.11053016194076323,0.25652965116520093,0.45674759597321146,0.3288589645545331,0.517617343414034,0.4006371082601809,-0.13984119541472992,0.25805843922439475,0.16803436751294332,-0.013060816851068219,-0.251053672112594,-0.06140874168414611,0.46746629018562436,0.22783002649352307,0.02162243255684072,0.7009785619748937,0.40465994566562535
Cerebellum_8_R,0.24234525250170305,0.2122429780679519,0.2684011816669268,0.45871286887736207,0.17820121071121053,0.1903524468945878,0.07246913103158892,0.17987990121602004,0.15595003556598216,1.0,0.34752643096103664,0.15203216592923938,0.24512045906249474,0.47215271478413445,0.3602664009487675,0.525408717291216,0.2704394382440053,-0.0294620587988819,0.020196036422172686,0.250806576478253,-0.06064085063090699,-0.10704350626217005,0.2947316135794116,0.4502698425411653,0.23924800479746058,-0.06220384877843725,0.18288044427847622,0.18618036996300108,0.35463536312664434,0.15593845527100478,0.4590819091747957,0.5788040439307734,-0.14895848663239994,0.2734816572703847,0.525978385585158,0.4489647507159319,-0.1361067973664484,0.19455067448250735,0.45876763616254884,0.35981488994750643,-0.1708970630098905,-0.13984442150639648,0.49522013313573177,0.29096966328565943,0.24167201305947833,0.0898705542978845,0.18937227150067995,0.1996193784950011,0.40635940343765103,0.5069259086260093,-0.196581052681677,0.4876167086434727,0.02085659397440744,0.5057880448905474,-0.284209180518263,-0.27852099286977255,0.3815914056148496,0.006837528732010601,0.3227248257607915,-0.08726374812982655,0.4587602027871936,0.21830901811042533,-0.10424181411535675,0.22741521429507525,0.23185661471392519,0.4486107822333063,0.24608575237080096,0.0821187120907535,-0.13255723222053756,0.2630323678292341,0.44959431139380607,0.21161397375831917,0.3759602663296293,0.03647439625691422,0.01407651375243428,0.13541322423710564,0.07282546923975572,-0.010552912279515608,-0.18806443838041398,-0.13905439818812387,0.4193740708467419,0.027680556212248672,0.34691317331505456,0.17024140575062602,0.5527825890806394
