,Raphe_D,Thal_LP_L,Vermis_8,Cerebellum_7b_L,Cerebellum_Crus2_R,Thal_VPL_L,Caudate_R,Olfactory_R,Frontal_Sup_Medial_R,Supp_Motor_Area_R,N_Acc_R,Olfactory_L,Rectus_R,Frontal_Med_Orb_L,Thal_MGN_L,Thal_PuM_L,Calcarine_R,Caudate_L,OFCmed_L,Cerebellum_Crus1_L,Cerebellum_3_L,Thal_PuA_L,Frontal_Sup_Medial_L,Vermis_6,Postcentral_R,Cerebellum_10_L,Cingulate_Mid_R,Temporal_Pole_Mid_L,Temporal_Sup_R,Occipital_Mid_L,Red_N_L,Vermis_10,OFCant_L,ACC_sub_L,N_Acc_L,Angular_L,Temporal_Mid_R,Parietal_Sup_R,ACC_pre_R,OFCant_R,Cerebellum_9_R,Precentral_R,Cerebellum_6_L,Occipital_Inf_R,Temporal_Pole_Sup_R,Precuneus_L,Thal_LGN_R,Thal_MGN_R,Lingual_L,Cingulate_Post_L,Vermis_1_2,Thal_VA_L,Lingual_R,Raphe_M,ACC_sup_R,Vermis_3,Cerebellum_Crus2_L,Frontal_Mid_2_R,Occipital_Mid_R,Thal_MDm_R,Vermis_4_5,Paracentral_Lobule_R,Heschl_R,SN_pr_L,Thal_AV_L
Raphe_D,1.0,0.21689874362628891,0.02776448868708725,0.27084709211893926,-0.05289771388176579,0.625453297179046,0.6509283953833152,0.31652713349830675,0.5167302404312847,0.50263991851581,0.06832356016495775,0.1783526416372187,0.15677900875963025,-0.17829947281030037,0.3437854174498275,0.5408650515862843,0.31234081496298427,0.7492807450245024,0.31991326819896565,0.26996549029451244,0.4156925444081599,0.4569843843547934,0.63839991003358,0.08339907924569233,0.6430695089512136,0.07966593606781805,0.6641128554979856,0.17053354716557512,0.4307713256763369,0.05974996862918692,0.4857611555947748,-0.040175075105565256,-0.17985010118742,-0.10542870970540531,0.07033571861147049,-0.007441673281305637,0.07001067163741374,0.43552227516160147,0.2929987196607885,0.29350002014982224,0.0851188365425691,0.6643530401285805,0.3258289411778064,0.22815992998002743,0.33632029625192833,0.45409486390463194,0.3668173184614889,-0.028549345906688936,0.2706731923192833,0.5409308806220714,0.39018777492021245,0.3308327013653025,0.29898490863881844,0.5412477986944582,0.47771234372822796,0.587587425149057,-0.07525264063730834,0.6823726765842929,0.0019791092799571917,0.5362323390551386,0.34194752079651447,0.5741106091186363,0.41666034781232525,0.5753671454545983,0.44902957995038917
Thal_LP_L,0.21689874362628891,1.0,0.025942396823642463,0.0963166696189305,0.14911688799529454,0.22234204887985323,0.1855304923663301,0.04818194485031175,0.03301320885434576,0.017814262807615475,-0.31707794735130734,-0.00917965652368033,0.06394991216915566,0.12986626757947944,-0.018304882800258205,0.4927428035370391,0.2611989212575821,0.147846497812411,-0.08503677661572616,0.17910834943927434,0.28956785023486165,0.56951768713544,0.03893597996881402,0.049899114304085966,0.1464302407587958,-0.03318430483984241,0.18380626556094354,0.3846999649332944,0.2250481466373662,0.12446962427210634,0.49090066650535513,0.023878938520316355,0.041727264019362234,-0.2874019500319916,-0.6228804636285794,0.11404459598086748,-0.017174213775611888,0.2097264587376851,-0.3681891903329299,0.06429914283340687,0.026786572035024533,0.16455129109457986,0.19377444635357793,0.010565501552930895,0.0865611520710757,0.2319160436329286,0.23679989577976746,0.1756150555010421,0.13264036671406831,0.17144108560160326,0.2886591318509043,-0.0939759610882241,0.4183289421642995,0.1778078370900404,-0.0676335814567183,0.276568072553694,0.08262697323129642,-0.017105955846459082,0.14172769529024992,-0.0036509877680755212,0.15742455151655155,0.17340264639311537,0.25694394734736226,0.028306161661999747,0.06631810943442082
Vermis_8,0.02776448868708725,0.025942396823642463,1.0,-0.3070342607688117,0.15022883461916015,-0.013355486731536827,0.010728307974138178,-0.10489686449024936,-0.0026019054329664846,0.027999068786336876,-0.14989645012510985,-0.26677842778737365,0.041963922520808196,0.2931782917741963,0.2550923175073813,-0.19767892740292228,-0.10527192551714804,0.11638972357904859,0.27563769954038336,-0.3768704161739473,0.2912576930115495,0.06035631242858147,-0.029584546369083527,-0.0766397694470909,0.035559989160344224,0.1472260208771204,0.054193597672442105,0.02872122130802019,0.21087402448188527,-0.28208126839304026,-0.2632698051264963,0.017225248610083316,-0.006520383514298245,0.011560476998000396,-0.13470329594183572,-0.14507593997944132,0.38274842919479807,-0.18099692572330497,-0.06626084417679916,-0.24325848841871703,-0.4716342107735209,-0.11019747356261003,-0.002114202994494084,-0.346406788025374,-0.1270369834415872,-0.163669944690718,0.027262542493817557,0.1995346500638911,-0.21838448284258175,-0.07614709737472967,-0.24971427029051071,0.07765723742217154,0.18869849133898337,-0.2648010215824062,0.09931830122051737,-0.3540037397649987,0.10793726009852289,-0.09165249624165535,0.035641362325116076,-0.14834534805703847,-0.13407825209705626,-0.046707404251564756,0.156207716971477,-0.004781134657769246,-0.004866610605481592
Cerebellum_7b_L,0.27084709211893926,0.0963166696189305,-0.3070342607688117,1.0,0.13829935550849978,0.07195587293153008,0.006892776435209307,0.489329076270657,0.0336840118555878,0.14206508316468044,0.026853015636764704,0.15855574948569712,0.07641358235149912,-0.23806311068729766,-0.30815298183652595,0.17697217074203508,0.2569884629609771,0.03652863875088993,0.10552188615319352,0.6010577309173084,-0.08211913060609509,0.15655110756852111,0.092061973854103,-0.25278852992665224,0.1155552570550325,-0.3002483853477763,-0.020520676053421685,0.03091630156097334,-0.12812119076733672,0.37362790486152614,0.3046127162001183,0.023537078845619435,-0.12285260559603357,0.0338084011907264,-0.009633422506902687,0.2633434575877304,-0.13690007972427506,0.08623703183477971,0.0313527201493751,0.32512798522191444,0.3231455037761957,0.16788065514974887,0.036160062904222814,0.14560108801994534,0.3114690068491762,0.16340172636372471,0.19042064432128164,-0.07553210178521433,0.34728719017287124,0.046297668464635254,0.44390936842107215,0.010281974678309071,-0.005992538752604426,0.08841962960583477,0.0030990270400385513,0.4129783735621517,-0.11028413441889089,0.06999734798949395,0.25785738112514367,0.4032145342587458,0.33309747281966773,0.10293767418700987,-0.16627862742063976,0.0828116096536381,0.08864976803768222
Cerebellum_Crus2_R,-0.05289771388176579,0.14911688799529454,0.15022883461916015,0.13829935550849978,1.0,0.17017955397275272,0.03322355455006467,0.18343134445246917,-0.0033812744504623294,0.08272241598472595,-0.21941894185992641,-0.17918935218640514,-0.23644292851491672,0.1293700814023491,0.009462937183416224,0.11840808867310391,0.2034982674011421,-0.025211632176194883,-0.12778528370929793,0.13730028993455973,0.24237368821439378,0.1351448884227081,-0.06371655578349315,-0.21078166979773255,0.14467851120713598,-0.033749216260445455,0.12520293143431502,-0.15114837024386962,0.2917871544839598,0.17951934281368392,-0.025269605537868552,0.1641796682430897,0.30340763636647056,0.0686279508018371,-0.1148728062019086,0.3257883219947148,0.3813013479538864,0.15327103982230206,-0.21537553023717654,-0.017014737200155974,-0.18159156454652284,0.030020819854827012,-0.03362494271033034,-0.09824929527950588,0.06614027557974543,0.11150362301658853,0.27334758088635286,0.15960525654063198,0.23467325500423034,0.0673590151108883,0.03588826213233571,0.1362717226145989,0.335461779813515,-0.0698814469198587,-0.2604801274435412,-0.03727028235580953,0.2779610552904597,-0.02257623113814377,0.334960513494763,-0.16698501835392227,0.23325092263296388,0.035770142586425406,0.10968674371605859,-0.11074822768067998,-0.16113170480195974
Thal_VPL_L,0.625453297179046,0.22234204887985323,-0.013355486731536827,0.07195587293153008,0.17017955397275272,1.0,0.6038661076607467,0.19926930956433472,0.4842247911908975,0.5832805839437072,-0.034001710618538065,0.07820878796265388,-0.1023710923255547,0.01676822508070736,0.39805794461217725,0.7973556982572423,0.5836606300150234,0.5904065452786107,-0.09203715186110821,0.2599735885840139,0.698551418003109,0.5605171416773694,0.6021460285973066,0.010550631767020239,0.8221636537396989,0.2498746982986916,0.7850488502456889,0.14854637148283292,0.6869999436596531,0.321395138042585,0.49178447985824514,0.056258825468263655,0.08288743748943216,0.011750048927677377,0.10765454364243807,0.3264097207320267,0.3835758444179257,0.7308496902133811,0.046041371984273986,0.1484000533688509,0.05263739637432785,0.7660374030441189,0.27877828752169537,0.13058709602180585,0.14134931335088088,0.7290214526360124,0.524888732453956,0.051534926186880305,0.5507463791206546,0.7831176155228059,0.5324157780020734,0.5401231017351042,0.5515678313728632,0.47572954085537744,0.20955620318672358,0.7172952715878886,-0.0026260403617868505,0.6851790391626696,0.2341401012642248,0.32759991970429475,0.6258735346362384,0.6726153939078914,0.4652527331538883,0.39317174888937273,0.3903348126453376
Caudate_R,0.6509283953833152,0.1855304923663301,0.010728307974138178,0.006892776435209307,0.03322355455006467,0.6038661076607467,1.0,0.14403019447819695,0.5476725949403678,0.3007090823779022,-0.006293709242111557,0.1110063976751017,0.11631316297828315,-0.12851822091170245,0.31431133706595893,0.44204381848531715,0.06134683321279337,0.694287212327727,0.29051100547950004,0.09521602229015691,0.3295446062772774,0.21131205931459615,0.48814206081463984,0.1503069629587287,0.5050242357874263,0.25180232290977544,0.5790535792259573,0.1482554423652638,0.4813056591671009,-0.01836847823846224,0.34186208760610676,-0.014318430352105551,-0.08435979305093985,-0.2723930863954281,0.09066080791847839,0.0002817494206388139,0.08976413391730521,0.34698791025894693,0.31046324866614294,0.1742496946951534,-0.01642425987421596,0.5189053626685955,0.4576576977149692,0.28190533847582194,0.2667064756793604,0.31992005162014436,0.23042392908523396,-0.08175655233940796,0.1276909980447632,0.42708279488718087,0.2670316884067457,0.26267852662889185,0.20723560904095323,0.4832134331047243,0.43161014062896974,0.39164257005023245,-0.11142884257277956,0.6902891486449068,-0.003691876671141032,0.18286740527300996,0.19938476982825526,0.3601775894482607,0.6354673559904029,0.6099049891228319,0.29636880183341535
Olfactory_R,0.31652713349830675,0.04818194485031175,-0.10489686449024936,0.489329076270657,0.18343134445246917,0.19926930956433472,0.14403019447819695,1.0,0.2802004044590639,0.18942169390794739,-0.1695190519424383,0.3916047210640549,-0.07031897117358843,-0.05631831043395678,-0.07930293261644082,0.1914556696204858,0.19440093026202873,0.12212672436775969,0.1928496967711568,0.3674259294219955,0.016151858047713765,0.14641493255955115,0.2908286123366654,-0.1924425700452859,0.24815719394887,-0.14590299403723253,0.162248866318821,0.03437429639421237,0.19394977666508997,0.22723371892665717,0.1952918792517573,0.13710409098818538,-0.020124200797489746,-0.03244450624808868,-0.0619062792732373,0.2737020211271465,0.09941210081849589,0.13851862519277994,0.16435528893316156,0.3448724900200342,0.14577942614349312,0.2147568880280005,-0.04969926745299327,-0.017280562538720262,0.3119625664473401,0.12140201221109127,0.25961581488342983,-0.010341322871002652,0.30741067342883194,0.037974971900296466,0.318393154884869,0.26537223119613934,0.14776622401703618,0.01927737904122708,0.10993283776534159,0.3878301717301386,-0.04902107575425941,0.263624431401815,0.2200169810236212,0.24737808457596724,0.30057364018875615,0.161433304637799,0.045385349743452284,0.18777313227514716,0.12645049492979815
Frontal_Sup_Medial_R,0.5167302404312847,0.03301320885434576,-0.0026019054329664846,0.0336840118555878,-0.0033812744504623294,0.4842247911908975,0.5476725949403678,0.2802004044590639,1.0,0.5740078493010183,0.03288094024666153,0.42118832179700383,0.03153877251189598,-0.236637708074174,0.3270138522276489,0.3556970625531995,-0.009392615496702774,0.519628606724848,0.33343155944457076,0.06828080601115702,0.315775930451974,0.2668871472215932,0.8161414230456587,0.1540071845934638,0.6193903307367193,0.14379118647777797,0.5783843079368826,0.06463213562462164,0.5457958921467995,-0.21971533738396007,0.31310740663547293,-0.006271852860778692,-0.009190940269646777,-0.11844588197756808,0.10698986752339182,-0.07775534350732072,0.09983429773600908,0.3913963214808198,0.5508521881187293,0.32786362801689417,0.08343188363790045,0.6143332158188868,0.41595142181530803,0.3006721437053886,0.47767924401231526,0.29233591584747426,0.3279197493656484,-0.09633826186914854,0.039809249600156596,0.29221468550905305,0.1893531188412741,0.30598693276905153,0.09290431846898344,0.38048228392872024,0.5161535351198566,0.4035930004656653,0.07747232318799274,0.7403324781954606,-0.06787318065772313,0.38004076443759666,0.13774697659440852,0.4170388955830206,0.5076014051431116,0.4760035261792267,0.43490479918303176
Supp_Motor_Area_R,0.50263991851581,0.017814262807615475,0.027999068786336876,0.14206508316468044,0.08272241598472595,0.5832805839437072,0.3007090823779022,0.18942169390794739,0.5740078493010183,1.0,0.2599845520055871,0.27179551637146543,0.02450062168241364,-0.004225798490726372,0.5281392325843212,0.5502292988923052,0.4807109758593705,0.3767648469251603,0.08214950450632617,0.24084184436585196,0.5727056340132202,0.3704245778505564,0.6568815933156807,0.1588940407240112,0.8179412300992644,0.13383599649377956,0.6559785256857521,0.06700916011903162,0.5160676477361924,0.027283968332724604,0.4086348291721565,-0.148381575390911,-0.003845147096853823,0.24247964506641884,0.34196109470357666,0.2786351204381194,0.3578737423257768,0.6698669312931539,0.18273271108297232,0.18479785258529033,0.18862930670598282,0.8617134286734158,0.2557140795444613,0.18885033164635687,0.3594245572579773,0.6801412595037697,0.4510418194263253,0.15239206679750808,0.32021537216757184,0.6731865540444844,0.37201849541221355,0.4428414676845903,0.309661177177208,0.45350124041487805,0.08835168609001602,0.5644038857123175,0.18840468335715826,0.7024845389472739,0.28102907921935116,0.5836487410425564,0.4074521463952104,0.8183651134733185,0.2671013472484898,0.22477291073481653,0.5258222123465095
