,Frontal_Inf_Tri_R,OFClat_L,ACC_sub_R,Thal_LP_R,OFClat_R,Caudate_L,Cerebellum_8_R,Occipital_Sup_L,Red_N_R,Thal_LGN_R,Cerebellum_4_5_L,Cerebellum_10_R,Frontal_Inf_Orb_2_L,Thal_PuI_R,Temporal_Mid_R,Thal_PuM_L,ACC_pre_L,Occipital_Sup_R,Frontal_Inf_Oper_L,ACC_sup_L,Insula_L,Cingulate_Post_R,Putamen_R,Cerebellum_8_L,Hippocampus_R,Lingual_R,Red_N_L,Cerebellum_9_R,Occipital_Mid_R,Cerebellum_3_L,Occipital_Inf_R,Thal_Re_L,Cingulate_Mid_R,Thal_IL_L,Hippocampus_L,SN_pr_L,Vermis_10,Cerebellum_6_L,Cuneus_R,Thal_AV_L
Cerebellum_4_5_L,0.07657161078392231,-0.23011387505890565,-0.06287799525373447,0.398740634609621,-0.1243961801477104,0.35954162225154307,0.0642367675446777,0.4819356162137534,0.13974401798414324,0.45181772484435384,1.0,0.18954358310498493,-0.1904403318837197,0.43220984065354073,0.3202949751122383,0.5973925797541451,0.060565843356089756,0.6517569883912363,0.7297204784658912,0.07552485563628186,0.6254543597614666,0.4513266504838767,0.2720584594392648,0.4119891174253139,0.14901118174006642,0.5117777627203213,0.4864643282448793,0.3003699815814291,0.508149418871946,0.2900922332347949,0.11139636574104875,0.14303351978879594,0.4749130127753529,0.34063616059162327,0.47161790492067035,0.04773302121283581,0.07367158850849172,-0.025767892319414933,0.6340458859469293,0.33396735983181686
Cerebellum_10_R,0.17709632901211614,0.0838496764913057,-0.09203488795323381,0.3093113394905352,-0.0682604349013529,0.21676152169213644,-0.010552912279515608,0.10116953334463065,-0.1317015247688797,0.14603522954327053,0.18954358310498493,1.0,0.06049379758280591,0.060018738014804174,-0.14072751713450987,0.333073658303291,-0.020096171249426694,0.14661947536188705,0.1275316601703565,-0.12533155260754958,0.06673729294615323,-0.056157801891847256,0.0851977636939044,-0.07271485916692524,0.11866216626824992,0.3995823842789654,0.3049334215623406,0.1450806733997282,0.0585951045678467,0.1152978940446264,0.1712582073802061,0.06107933960336922,0.14383721840305425,-0.07276165115769004,0.18031237910773984,0.15182661141060708,-0.13391205727261996,0.11326530144829744,0.1782534037838374,-0.09180367736198201
Frontal_Inf_Orb_2_L,0.16890410121145089,0.630555448606249,-0.10864372191089466,-0.06501278082821091,0.6519847464797168,-0.12179048088566659,-0.13905439818812387,-0.014977901290804658,0.17531372963681757,0.20838953440600932,-0.1904403318837197,0.06049379758280591,1.0,0.009040239728225187,0.03685782903370176,0.1753953239814274,-0.020417356444214916,-0.04221600771339328,-0.008218483279996974,0.10057033999483041,-0.19799834448490142,0.05442405559284779,-0.18050189297532587,-0.1502978907118006,-0.15281062610575394,0.07523040809348781,0.1303623600285535,-0.18633242724910462,-0.03624361641714773,0.2761393406340749,0.03492718213539551,0.20475135233541744,0.13528837668976235,0.305970335224552,-0.22039485322425825,-0.024647336580055332,0.07238915676712969,0.001198020383741327,-0.048880417079614595,-0.1681981241795702
Thal_PuI_R,0.21238056988255893,0.08476877468099983,0.013108496187156232,0.3418547666346652,0.0031288139281607187,0.4406043984386462,0.24913164840244398,0.2296145577477735,0.19838025167548895,0.4084453741166982,0.43220984065354073,0.060018738014804174,0.009040239728225187,1.0,0.05743822416467352,0.5859762430280114,0.1013562921132134,0.26207319978746046,0.41390577438794757,0.40700936094447,0.5447133830011834,0.5220038342492404,0.38096127280189673,0.33555940078495666,0.36318754773896483,0.2680229546951865,0.41626772271420664,0.21569602426702417,0.07511392369458121,0.425748559967261,0.1654983132419196,0.14870954829105065,0.5244925795611093,0.5579134732423052,0.5553045186004683,0.2703442489457861,-0.0725887140115227,0.10231666441635437,0.3463708359002578,0.47114669599062914
Temporal_Mid_R,0.08942746197238904,0.007506809353261371,-0.026608608849656535,0.010366192562570212,-0.0014830124724309374,0.22381065151307022,-0.04030031855579179,0.26459229962200453,0.13619912090348943,0.3610453964783969,0.3202949751122383,-0.14072751713450987,0.03685782903370176,0.05743822416467352,1.0,0.3046115573091013,0.05975096686505589,0.4836212719142692,0.06151967377798142,0.0902278550013547,-0.026797101586012072,0.5752460140294487,0.2190141432322426,-0.2079908314588931,0.27315017992574053,0.6708840559271911,0.011677971124706211,-0.3340485029635319,0.6097163624332882,0.5616207929462561,-0.3239890712163956,-0.16919144984521123,0.527341653324679,0.16333685451662022,0.027747817235319786,-0.1682480012036374,0.1844973291718625,-0.15002781103341564,0.30518421436043097,0.14573741127666487
Thal_PuM_L,0.27751188816485267,0.18501460115194554,-0.04601682927693092,0.46497170752780437,0.10856422696647426,0.515194848391174,0.0898705542978845,0.4745464529164094,0.23079860962528193,0.48500420378182424,0.5973925797541451,0.333073658303291,0.1753953239814274,0.5859762430280114,0.3046115573091013,1.0,-0.08718219460065751,0.4850449315510062,0.4740441906465652,0.33217735701687806,0.4765324680271586,0.7044228422318485,0.3780948221811758,0.18322117658153003,0.3419405102938303,0.6753743760507015,0.6826877805208731,0.21762133645241188,0.34071699861331134,0.5775866362442819,0.24851990535660354,0.11353951205451966,0.744674685022804,0.46237868511429797,0.5959445912373176,0.22104383935620972,-0.05165862225082027,0.19917954142030037,0.5394258164572042,0.3921590067733749
ACC_pre_L,-0.17022022061360564,0.08978598911029245,0.0983181097720581,-0.015595809697845867,0.14619190006575378,0.0176851588292793,0.14521561670083283,0.07653600596364926,-0.21983483766787257,0.11381893320235047,0.060565843356089756,-0.020096171249426694,-0.020417356444214916,0.1013562921132134,0.05975096686505589,-0.08718219460065751,1.0,-0.05712642601593727,-0.0026025303605381176,-0.17190447792439914,0.14153905737013664,0.16332446873992845,0.3851032544513478,0.0911894263796358,0.044425923511498384,0.027600360205842694,-0.06442802244950678,-0.024581466965346473,-0.002117097621782501,-0.0654336344492566,-0.12281673237239052,0.14807917197031156,0.054456309042725554,0.08538345790474777,0.07241768560102446,-0.12472430598714668,-0.015049348353113185,-0.22716097321360423,0.10945595249369992,0.3157848257634229
Occipital_Sup_R,0.06450366127004757,-0.09262717996470858,0.009154606092659152,0.24832220614687286,-0.01714283615480618,0.14297946311330004,0.020196036422172686,0.7157883955308789,0.1458993267753829,0.42548557620980954,0.6517569883912363,0.14661947536188705,-0.04221600771339328,0.26207319978746046,0.4836212719142692,0.4850449315510062,-0.05712642601593727,1.0,0.3505199302663514,-0.05065478731397329,0.25461228435114425,0.38033270486399046,0.057150885521304456,0.20474779808379578,0.04385631240748122,0.44875784330409996,0.4240822042042306,0.184560854123841,0.8570397582191782,0.40465717737255275,-0.02271325221303638,0.0850514169302408,0.330637008454489,0.1465282475277191,0.2673448390673251,-0.06429907646196659,0.0072571598703462465,0.12178006294423034,0.8121177968157566,0.09293439873837889
Frontal_Inf_Oper_L,0.20542402121094938,-0.17383470520705097,-0.15845032665881914,0.2912410696795748,0.07198343077969205,0.4438641308016595,0.06921696855828714,0.4096165408836392,0.25536065723356255,0.34625542698912554,0.7297204784658912,0.1275316601703565,-0.008218483279996974,0.41390577438794757,0.06151967377798142,0.4740441906465652,-0.0026025303605381176,0.3505199302663514,1.0,0.2646371414049172,0.7840103720598183,0.303166941508445,0.2793537721981253,0.3948421195702181,0.10749403555502775,0.2788535748250095,0.4048319547994872,0.32417309452616516,0.2867879157657441,0.11069091783418818,0.18722260145340006,0.20872720460735789,0.4360999486216728,0.49420216869557704,0.36745223425342705,0.2176008246590955,-0.022457954057351442,-0.0010467444128336998,0.4131471185508253,0.28232801203970437
ACC_sup_L,0.6264897309329386,-0.046375137140744205,-0.02481738073358583,0.2818664751045272,-0.07097934289777803,0.6475007644137072,0.4876167086434727,-0.012544628066010099,0.42111057894827353,0.08035045511843794,0.07552485563628186,-0.12533155260754958,0.10057033999483041,0.40700936094447,0.0902278550013547,0.33217735701687806,-0.17190447792439914,-0.05065478731397329,0.2646371414049172,1.0,0.38221098321223995,0.328099829851549,0.38632357886611046,0.3725185694946681,0.5167193940980804,0.08248973759038976,0.1327506519175958,-0.02932036016075912,-0.16483406886600557,0.3230802896370185,0.24070834505402786,0.06339481445993972,0.6094105313539614,0.4925121088035157,0.524767043476622,0.5805511141560766,-0.12015189647943109,0.4026738510233281,-0.12464456611531305,0.3744393850812697
