,OFCant_R,Thal_PuL_L,Parietal_Sup_L,Thal_LGN_R,Precuneus_R,Cuneus_R,ACC_sup_L,Occipital_Mid_L,Paracentral_Lobule_L,Frontal_Inf_Oper_L,Postcentral_L,OFCmed_R,N_Acc_L,Insula_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,Vermis_7,Vermis_10,Thal_Re_L,Putamen_L,Hippocampus_R,Supp_Motor_Area_L,Frontal_Sup_Medial_R,Cerebellum_4_5_L,SN_pr_L
OFCant_R,1.0,0.09429631991127338,-0.1395286269762445,0.16245853482354408,0.048563101586661044,0.1415785253828589,0.07386491145868533,0.019444419976547517,0.302973738707748,0.21777238240015717,0.17571122385489546,0.09627730207946214,-0.036353394726565166,0.24737474927749642,0.27076251173514415,0.28224956118893435,0.04864154804292774,0.06752251135112938,0.22781042650272695,0.2718752378922673,0.04206556785873461,0.04348617638349713,0.32786362801689417,0.19582631188340982,0.19121916234852543
Thal_PuL_L,0.09429631991127338,1.0,0.587284296232289,0.41568945025444193,0.7510852700314747,0.3304480993711975,0.5032752561833567,0.3218155894011104,0.6045550110950711,0.29021025618962876,0.6914564026959252,0.10866527850058504,0.25851938873083435,0.2999631467764106,-0.1395647052775013,0.5982253111078658,0.14739525541178222,-0.001768164997868938,0.021794893456164362,0.37389848738859816,0.34832905700150646,0.7307830513962228,0.37527790957190726,0.38157530429370057,0.2839904633452602
Parietal_Sup_L,-0.1395286269762445,0.587284296232289,1.0,0.334611061025654,0.8245601433253367,0.5821772716973989,0.2446624844770658,0.24931800618640285,0.4771415971249613,0.17240744117487264,0.5978016448993758,0.15214808133945754,0.17253290895732026,0.1383831784754439,-0.24733724054938325,0.3530758276386872,0.17923152879969573,-0.15170336989460426,0.1357838476731918,0.055051037880462415,0.29367414192404045,0.7153220397036221,0.11064784249053562,0.37877102873450746,0.05629884785644453
Thal_LGN_R,0.16245853482354408,0.41568945025444193,0.334611061025654,1.0,0.3862359051773091,0.36910175877594337,0.08035045511843794,0.24402880727501172,0.48736932393830273,0.34625542698912554,0.5508654538668076,-0.1123667012522384,-0.06801984029921249,0.3631493477445596,0.1154834924463037,0.4155761840914657,0.16118174328047213,0.15265375147527555,0.07335090683304939,0.1708508137849415,0.2532672659442934,0.5447720014478337,0.3279197493656484,0.45181772484435384,0.05024551953001589
Precuneus_R,0.048563101586661044,0.7510852700314747,0.8245601433253367,0.3862359051773091,1.0,0.5530802566744025,0.4222673203696886,0.34716449820763023,0.6603185463340923,0.37103874474487025,0.748513692931371,0.10960684885380641,0.18436483529290873,0.2600501811791626,-0.12406169588443561,0.5662654136376829,0.17233460701102135,-0.08978192089860365,0.1215874319983726,0.2758893627359102,0.32287030152116364,0.7785156077684862,0.23422726029229574,0.5003570970985296,0.2060831337668387
Cuneus_R,0.1415785253828589,0.3304480993711975,0.5821772716973989,0.36910175877594337,0.5530802566744025,1.0,-0.12464456611531305,0.5502863762609588,0.4805373991635398,0.4131471185508253,0.6176088192980826,0.11326593722823407,0.029779010177292183,0.0369139309618586,-0.23334268087835222,0.23896668032099067,0.1999844061430314,-0.10620263167953743,0.2244123359791686,0.02097535375623248,-0.041394992615843895,0.5372786467176605,0.008105784254602408,0.6340458859469293,-0.07021238568876151
ACC_sup_L,0.07386491145868533,0.5032752561833567,0.2446624844770658,0.08035045511843794,0.4222673203696886,-0.12464456611531305,1.0,-0.18169879917257736,0.42284449871381286,0.2646371414049172,0.35608652262124485,0.060318680838999154,0.35180925120617357,0.5369987359374382,0.2352098005291319,0.6781433652152157,0.22476935120124863,-0.12015189647943109,0.06339481445993972,0.6517429807525944,0.5167193940980804,0.4339350623212212,0.5281762698141632,0.07552485563628186,0.5805511141560766
Occipital_Mid_L,0.019444419976547517,0.3218155894011104,0.24931800618640285,0.24402880727501172,0.34716449820763023,0.5502863762609588,-0.18169879917257736,1.0,0.22009020305114255,0.5389265403027789,0.5184059991156107,0.08951658352537928,0.028821427960026964,-0.11478886030601136,-0.2893267103295977,0.008033740761676409,-0.07010208206787924,0.1166149388893671,0.07604074390258841,0.1408874918958636,-0.16188010301939365,0.22173699501549335,-0.21971533738396007,0.6394320235055699,-0.13871244743572064
Paracentral_Lobule_L,0.302973738707748,0.6045550110950711,0.4771415971249613,0.48736932393830273,0.6603185463340923,0.4805373991635398,0.42284449871381286,0.22009020305114255,1.0,0.47225852978815663,0.814902777720749,0.11247101682284014,0.19541328725690715,0.47482256453559746,0.02764865247874953,0.6939101220565868,0.09292986436384096,-0.06224729132924699,0.24807926221992974,0.42961329639642687,0.4074444381523851,0.8119279453400805,0.5705194496034117,0.5997729079109219,0.27703684358466135
Frontal_Inf_Oper_L,0.21777238240015717,0.29021025618962876,0.17240744117487264,0.34625542698912554,0.37103874474487025,0.4131471185508253,0.2646371414049172,0.5389265403027789,0.47225852978815663,1.0,0.6196208553343889,-0.009874651498738486,0.03217372451215503,0.34015946431051053,0.18735022934383377,0.47208826846300034,0.19829414770020623,-0.022457954057351442,0.20872720460735789,0.6375065142691438,0.10749403555502775,0.3642948682092156,0.2480261335427918,0.7297204784658912,0.2176008246590955
