,Lingual_L,Frontal_Inf_Oper_R,Supp_Motor_Area_L,Temporal_Mid_R,Occipital_Mid_L,Cerebellum_8_L,Thal_PuM_L,Thal_MDl_R,Thal_PuL_R,Temporal_Sup_R,Thal_VPL_R,Cerebellum_Crus1_R,Thal_PuM_R,Temporal_Mid_L,Cuneus_R,Raphe_D,N_Acc_R,Caudate_L,ACC_sub_R,OFCmed_L,Thal_AV_R,Rectus_L,Precuneus_L,Hippocampus_L,Paracentral_Lobule_L,Frontal_Sup_2_L,Frontal_Sup_Medial_L,ACC_sub_L,Temporal_Pole_Mid_R,Olfactory_L,Frontal_Mid_2_L,Thal_LGN_R,Vermis_4_5,Thal_PuI_L,Frontal_Inf_Orb_2_R
Lingual_L,1.0,0.09425626029217492,0.49644305923723886,0.5408845974686115,0.7386297959504701,0.04089540686169301,0.6505255321940803,0.30026199635243134,0.4462626739064842,0.48376395785383963,0.5042608589603399,0.2917361148058848,0.550074665711212,0.534971958831811,0.5701736507090174,0.2706731923192833,-0.015482668758873573,0.25527133694538334,-0.13190183793443844,-0.33783055289243974,0.03243472055797909,0.1859620116614252,0.7376505268642299,0.2636554549854655,0.520571391180682,0.05570704740188316,0.23442553046863313,0.23191024104738053,-0.26295571837711035,-0.040896818020937024,0.27055282663088004,0.4105052527651313,0.9512439587743138,0.4716293824628287,-0.2444229369270183
Frontal_Inf_Oper_R,0.09425626029217492,1.0,0.5433205958150515,0.3912337142954613,-0.15898895105038963,0.37567473761513476,0.3405821888848561,0.20826028526343832,0.48587619392419423,0.6114918949854469,0.5199006642298343,0.12344912025662622,0.6247890130499055,-0.020959776461198402,0.08388155594073228,0.5684296804210031,-0.0010316947077494963,0.5532398483559559,0.04422693827134424,0.31030385341105876,0.3414315508665579,0.04212014769865549,0.34554773594570637,0.4709472329969713,0.49750887975772123,0.7456643457741464,0.6079147437418482,-0.0776525774193428,0.16590426453409887,0.11121763638770718,0.7186646115281615,0.40464968592455547,0.19400012458449828,0.5005759436750669,0.31474134335640824
Supp_Motor_Area_L,0.49644305923723886,0.5433205958150515,1.0,0.44800414773315245,0.22173699501549335,0.2771541790358401,0.750258374907827,0.4969153485028655,0.5481886203987056,0.6658044743152769,0.6289796951531638,0.13789742937501576,0.7332538535168974,0.1688758243143267,0.5372786467176605,0.5589104099155757,0.10485290995521286,0.49779360293690106,0.011885281717607884,-0.11133177678681559,0.39427145772296057,0.3163288090311332,0.8061037743769475,0.571214766830144,0.8119279453400805,0.5913577068921523,0.629606018246774,0.1312737371041923,0.06762699421716163,0.056127364905948,0.6505809780673271,0.5447720014478337,0.5911463194523575,0.7319369702260836,-0.09217434844744214
Temporal_Mid_R,0.5408845974686115,0.3912337142954613,0.44800414773315245,1.0,0.2678761842766011,-0.2079908314588931,0.3046115573091013,0.40491236766410316,0.3006778116018963,0.6622171455981793,0.4576189811339007,0.6353897074989231,0.49457943840749324,0.1076798674148231,0.30518421436043097,0.07001067163741374,0.0028309452405414636,0.22381065151307022,-0.026608608849656535,-0.12065279641375708,-0.03326235910196012,0.1373078183673149,0.5346550651512232,0.027747817235319786,0.32382121330915803,0.13839573352714693,0.19173754332294904,0.27712243684999127,-0.02101182956093814,-0.19642338318409752,0.206984898466023,0.3610453964783969,0.607944534477698,0.31372189919984833,-0.05859066057878714
Occipital_Mid_L,0.7386297959504701,-0.15898895105038963,0.22173699501549335,0.2678761842766011,1.0,-0.04990969197206541,0.4346159179530216,0.04719906749425275,0.29003229937355296,0.1182500977946429,0.24631188715829982,0.22792504673409697,0.27806770981568857,0.6573636402906754,0.5502863762609588,0.05974996862918692,0.05758633017058264,0.056239025796640925,-0.07092213707093308,-0.2890464891575942,0.015581321723473174,0.16434500413492734,0.5105953099015048,0.10273358928999858,0.22009020305114255,-0.19559692906624418,-0.008435340200402392,0.18315804460984225,-0.3291612492314823,-0.07982345570484412,0.026397749452431805,0.24402880727501172,0.7021684003122242,0.28543085780417266,-0.2893267103295977
Cerebellum_8_L,0.04089540686169301,0.37567473761513476,0.2771541790358401,-0.2079908314588931,-0.04990969197206541,1.0,0.18322117658153003,0.2075072604076009,0.32624950887925575,0.09143175895582653,0.39057342343548596,-0.28354840507055484,0.24934395222816527,0.17359854719468704,0.17878015928271374,0.5358696657126542,0.14945593387471096,0.3483570444155669,0.0026638879506085773,0.4287361383933923,0.4405020811506377,-0.1389453475851235,0.19645829170968487,0.5784046903034377,0.5003265683592962,0.5200477050964539,0.4676867174711463,-0.05137418736648871,-0.004931718664994057,0.3462903404285814,0.4193323692727559,0.24278071462542575,0.09917094091800678,0.24062829651781925,0.07086692229786239
Thal_PuM_L,0.6505255321940803,0.3405821888848561,0.750258374907827,0.3046115573091013,0.4346159179530216,0.18322117658153003,1.0,0.300911721140737,0.4488756300957371,0.6287128443536089,0.5173540272923591,-0.027816235221873438,0.6848494805553317,0.22745227226189682,0.5394258164572042,0.5408650515862843,-0.05263386683545048,0.515194848391174,-0.04601682927693092,-0.21158632990597667,0.15518014288780468,0.26801121435753944,0.8273425209597717,0.5959445912373176,0.7213383338700071,0.43150710134673537,0.48777400036149193,-0.010635255143067063,0.11059931588586965,0.09836251497584841,0.5221868109166281,0.48500420378182424,0.7043439565117894,0.7038693433719915,-0.12383516989682035
Thal_MDl_R,0.30026199635243134,0.20826028526343832,0.4969153485028655,0.40491236766410316,0.04719906749425275,0.2075072604076009,0.300911721140737,1.0,0.1779728546693792,0.3212446120946094,0.5525114257100029,0.22388026966145272,0.4604882497597865,0.05860766398928057,0.36540467179414854,0.27705213224420067,0.06666468295355596,0.09531108205166233,-0.043630262152598985,-0.06588655716313806,0.10304200899204133,0.044024542585651937,0.3993355928732731,0.20950614168835166,0.5576532187469792,0.3043720133084272,0.3383322296098021,0.3046948294169928,0.07966941489948422,0.0439483337150845,0.21287672728387322,0.360104826650012,0.36764418392859327,0.36081012596517437,0.04691827834047608
Thal_PuL_R,0.4462626739064842,0.48587619392419423,0.5481886203987056,0.3006778116018963,0.29003229937355296,0.32624950887925575,0.4488756300957371,0.1779728546693792,1.0,0.46052966675527945,0.6215151070016953,0.11667193493136754,0.5928724926621003,0.4235414150690491,0.3499453423538456,0.37809239050718363,0.020877932543601003,0.37842909078926734,-0.04723907129537318,-0.010416358695331472,0.37612139845988335,0.10954882663532621,0.5232392045694307,0.33502076568923306,0.5381173140530523,0.462636867096397,0.4589055536181943,0.12267691159677203,-0.26370799760952257,0.15969694835379158,0.5989835975768528,0.3029546830140499,0.4902407631265777,0.5252900527380516,0.09892631040706777
Temporal_Sup_R,0.48376395785383963,0.6114918949854469,0.6658044743152769,0.6622171455981793,0.1182500977946429,0.09143175895582653,0.6287128443536089,0.3212446120946094,0.46052966675527945,1.0,0.5779309290275136,0.20941703915955773,0.6712289881380545,-0.10575808508667132,0.18433182941641982,0.4307713256763369,-0.13965785102277778,0.5887972734219028,-0.06947337844796367,-0.030547578607051325,0.12559386177038118,0.13505890694760553,0.6681371578471231,0.45101696414210385,0.6131583923977593,0.5126378438223302,0.5589743725212014,0.02656929949325834,0.26716312257463576,0.08108248504596055,0.540076652668254,0.4395279028609946,0.5840170460496006,0.5732991172757572,0.14067813706144644
