,Occipital_Inf_R,Occipital_Mid_L,Frontal_Inf_Tri_R,Precuneus_R,N_Acc_L,Amygdala_L,Caudate_L,Cerebellum_7b_L,Temporal_Sup_L,Frontal_Mid_2_R,Cerebellum_9_L,Cerebellum_9_R,Thal_MGN_R,OFCmed_R,Thal_AV_L,Paracentral_Lobule_L,SupraMarginal_L,Temporal_Mid_L,Thal_PuL_L,Frontal_Inf_Tri_L,Frontal_Sup_Medial_R,Frontal_Sup_Medial_L,Parietal_Inf_R,OFCpost_R,Postcentral_L,Putamen_L,Cerebellum_3_L,Pallidum_R,Thal_MGN_L,Thal_PuL_R,ParaHippocampal_L,Red_N_L,Rolandic_Oper_R,Frontal_Inf_Oper_R,Cerebellum_6_R
Occipital_Inf_R,1.0,0.3099683460958101,0.5942574608418855,0.42703283776865286,-0.017910870979616276,-0.4185285680195506,-0.08080726627177459,-0.5463772110221132,-0.4832052475725729,-0.15049023950012153,0.5797940397410082,0.38425295705795437,-0.1361091837082777,-0.16246132514821268,-0.22968121955147125,0.4435700016904032,0.11471171564951708,-0.23776018865228074,0.3904902883858298,-0.28100780126426067,-0.20344667696255878,-0.11188176827910304,0.25260630993148264,0.3650587777331371,0.4538476757003466,-0.226617440216143,-0.4332045807118904,-0.05092680172205758,0.20999441590473422,0.2012799476275763,-0.3010699119142141,0.09147452903455171,0.4564170557514539,0.7146225799089396,0.7421469632570373
Occipital_Mid_L,0.3099683460958101,1.0,-0.137787581420869,0.44489447758837447,-0.28579937685167145,-0.11509717594857628,-0.21856926038105595,-0.12772958969026962,0.3691318683287818,-0.12622521957239666,0.0810030844884218,0.5020046256638376,-0.02732470065414482,0.19374603869762028,-0.1516134670964607,0.1671065602466716,0.5901408220996668,0.7283042242740867,0.45105777809003844,0.2493776638518315,-0.021137078788761903,-0.018963932144967596,0.4253605241815381,-0.07533958875738932,0.3213178459278893,-0.22180639974347843,0.17534696048427384,-0.5399267398752879,-0.1100079987326922,0.3709179927391607,-0.14162494419703572,0.5512425735794284,-0.10276428399539758,0.237845069808572,0.28873816586116036
Frontal_Inf_Tri_R,0.5942574608418855,-0.137787581420869,1.0,0.556068599969941,0.3641550939372379,-0.08952241383793046,0.46186998901210613,-0.12386475558801884,-0.4890152637906069,0.27140178012477706,0.2595292385386259,0.21842063147431856,0.13814552067480618,-0.38197901320112865,-0.049663571951934424,0.6600800073465224,0.12621251583145665,-0.5434128660480174,0.0020519921921296636,-0.183975239616013,0.07990190584315555,0.07281828538311577,0.0743806658223639,0.6859767417875494,0.6464967429852652,0.3660685997957972,-0.08034944524348986,0.574070338375184,0.5626954764161065,0.22222042993370084,0.1600799281901436,-0.23067263628350518,0.8906023977050397,0.8618440162059398,0.6692441328133852
Precuneus_R,0.42703283776865286,0.44489447758837447,0.556068599969941,1.0,0.2539582351724116,0.14159058260239932,0.3221258032394553,0.13244855961910848,0.05181214681983798,0.32507506130773106,0.17954727348867217,0.603343824780567,0.3142218876235692,-0.10896709172016514,-0.13113748138125284,0.852772853647075,0.6904242426321633,0.2184368845067761,0.306075628029347,0.17613312798029818,0.19158619649965583,0.11239909288291493,0.5550301835507477,0.3705533848557755,0.8694616115774295,0.4272670369268016,0.4327124832309238,0.3133749200965844,0.538515116017753,0.5113900342295707,0.30758018859119257,0.3459129792502223,0.5289799675245904,0.735729874170539,0.7329265902378677
N_Acc_L,-0.017910870979616276,-0.28579937685167145,0.3641550939372379,0.2539582351724116,1.0,0.47462936740673,0.4132024638182117,0.2547499971212194,-0.07216885267465602,0.23690129950660288,-0.13450851608316258,0.008882063276107625,0.17676817682588844,-0.355765186000972,-0.2587714526289891,0.2840372375490114,0.027615593501334555,-0.21118174560284955,-0.36020027971052676,0.007373258598006979,0.13602007924427614,0.049008802424839015,-0.02065356086131419,0.34960064928538187,0.2716943946235005,0.5012456855811789,0.29934325692907426,0.517928413956446,0.47191753750359433,0.3390770065629689,0.32835146865668186,0.019480155261344615,0.25297221292540534,0.18710632986158587,0.1840931480061734
Amygdala_L,-0.4185285680195506,-0.11509717594857628,-0.08952241383793046,0.14159058260239932,0.47462936740673,1.0,0.5116155828701255,0.6155445165032666,0.359927433931762,0.29020454943402035,-0.24645183969967885,0.057413322623212665,0.16956398183255378,-0.16779128162949533,-0.261878126409815,0.08831789995202186,0.13682639657444728,0.24169339153990832,-0.20698549845342873,0.27178666817275976,0.28337660145215204,0.15826333755372715,-0.07243864969095207,-0.19722108685572154,0.09546722594142483,0.44749951158821255,0.5770572502155628,0.443956996096326,0.21117056687335337,0.32512639105441526,0.4122919588783072,0.42709553406567047,-0.11968160528090294,-0.1303009050586946,-0.1678532497742747
Caudate_L,-0.08080726627177459,-0.21856926038105595,0.46186998901210613,0.3221258032394553,0.4132024638182117,0.5116155828701255,1.0,0.40263418469710854,0.21090853354538144,0.6455485842130508,0.05388989976653497,0.04717851587788773,0.25257220087503024,-0.37951378318915824,-0.01480357518701977,0.3877925415371191,0.22234013501903555,-0.039249806535481484,-0.08748433681414662,0.3735315505390055,0.5215556235586962,0.4480281561092972,-0.08036750799094021,0.2020628302617827,0.3919708179783383,0.6165741666445684,0.3561844872363494,0.6493575489261674,0.34869508032561575,0.24952928637284286,0.5541590817362786,0.03437268351093011,0.4118205297924922,0.31298773752355596,0.13120988769738293
Cerebellum_7b_L,-0.5463772110221132,-0.12772958969026962,-0.12386475558801884,0.13244855961910848,0.2547499971212194,0.6155445165032666,0.40263418469710854,1.0,0.41900805249875256,0.39413945411152124,-0.3070864111269324,0.11486228212321536,0.30575299408565676,0.03086276323230334,0.15585691430491053,0.03261453212068649,0.18148559249865764,0.284710664348728,-0.16008352721768795,0.34397128085509454,0.41165117773582754,0.3035273427003075,0.017737834477809244,-0.13514174645051785,0.12347648445866943,0.5430241298836689,0.7092091499783605,0.44995446799343686,0.16017425922815226,0.08955179030623353,0.5980377874725412,0.1084061416899475,-0.0741469609314031,-0.18265983226679677,-0.2536720891560312
Temporal_Sup_L,-0.4832052475725729,0.3691318683287818,-0.4890152637906069,0.05181214681983798,-0.07216885267465602,0.359927433931762,0.21090853354538144,0.41900805249875256,1.0,0.4395880848385833,-0.1672166635591144,0.03517545391067728,0.27921972274158346,0.2733745474934276,0.07595487202995925,-0.1865314725999716,0.48665830834441254,0.826866324618415,0.11428551212011885,0.8354201272712651,0.6068622059195976,0.5315989791269341,0.135251826298433,-0.3625005871195422,0.03278493558886135,0.28305995018136304,0.6097913150860563,-0.12366130468360194,-0.15492553946171608,0.17351868289769104,0.5186671013325209,0.376212092004743,-0.29034082378399784,-0.3205185862365067,-0.3952134094638875
Frontal_Mid_2_R,-0.15049023950012153,-0.12622521957239666,0.27140178012477706,0.32507506130773106,0.23690129950660288,0.29020454943402035,0.6455485842130508,0.39413945411152124,0.4395880848385833,1.0,0.06562854729310451,-0.009974325156473968,0.41057556263553163,0.0032479843785124794,0.3085464034689158,0.306558990929156,0.4361865339689469,0.12201117690935724,0.04249523337127311,0.6924005166587734,0.7690165033109413,0.7156028901048035,0.11325512130498915,0.20190043751834935,0.4991134581573392,0.6217683678173411,0.4856338297972636,0.521248171442901,0.36183631434757557,0.1426565776918678,0.7335692248883351,-0.027654315208855,0.40039619451715736,0.19238848215717183,-0.004853604340729396
