,Frontal_Mid_2_R,Insula_L,Cerebellum_Crus1_L,Thal_VPL_L,Hippocampus_L,Thal_VL_R,Thal_IL_L,Temporal_Mid_L,Temporal_Pole_Sup_R,Thal_LP_L,Supp_Motor_Area_L,Parietal_Sup_L,Thal_MDm_R,Heschl_L,Temporal_Sup_L,ACC_sub_L,Cerebellum_4_5_R,Frontal_Inf_Oper_L,Cerebellum_8_R,Frontal_Inf_Oper_R
Frontal_Mid_2_R,1.0,0.5226785012131316,0.001033129735702266,0.22972308772752617,0.6820522611449406,0.5622006568896084,0.3690716641900197,0.12201117690935724,-0.2582042802281706,0.3116516958704163,0.7100689800740576,0.06153779017493893,0.4968823326623861,0.3663852236128671,0.4395880848385833,0.16299229006493732,0.6396390966981299,0.7001375438105828,0.33417905196957387,0.19238848215717183
Insula_L,0.5226785012131316,1.0,0.5683095891070435,0.22609624841124715,0.4763065095224584,0.15120589864363596,0.510367940603791,0.5826942849911464,-0.2882327957584376,0.22455771512047876,0.3109797668435432,-0.21724788082449958,0.26283105084234104,0.5947618016635526,0.8505778956225118,0.6117877602830712,0.3439743895121423,0.7911757068568626,0.48302482825795395,-0.19682386680920572
Cerebellum_Crus1_L,0.001033129735702266,0.5683095891070435,1.0,0.24344542129599236,0.02982249130492377,-0.34268908311875357,0.5039182007761406,0.79638772875417,-0.08306159856721038,0.30023160497878987,-0.08352766395961522,-0.20292025183995926,-0.1365822709728312,0.5179227132924945,0.7263955399993924,0.6425396437474393,-0.023501745912408598,0.41336598810306774,0.5223361251357423,-0.460491535153854
Thal_VPL_L,0.22972308772752617,0.22609624841124715,0.24344542129599236,1.0,0.5521800010508523,0.34797061618099073,0.2752359575770748,0.31252686976932514,0.49022709116582236,0.30317360121690723,0.47396905614433577,0.5579416194821413,0.38684242253391776,0.38831575432561494,0.18486423479234132,-0.11568194949126911,0.5772097081858976,0.25850886900977493,0.42878762292759287,0.5304934816722797
Hippocampus_L,0.6820522611449406,0.4763065095224584,0.02982249130492377,0.5521800010508523,1.0,0.6333467229943486,0.38210411464178423,0.23169567488406198,0.12474038476048653,0.28592011377857335,0.7350938162679056,0.3427968772765848,0.6685096054234156,0.5241885366177153,0.3895125353843281,-0.01696046849533248,0.8522268869327351,0.5640233811348012,0.5315926509049135,0.40716376044744407
Thal_VL_R,0.5622006568896084,0.15120589864363596,-0.34268908311875357,0.34797061618099073,0.6333467229943486,1.0,0.2963081134707956,-0.056661013152941225,-0.09902630168117806,0.18374144480279522,0.6076813928808436,0.36383627857652684,0.5331569636103302,0.21258179430452442,0.0779766531060889,-0.2861316069196872,0.6158841912103834,0.28473051436901886,0.1846517642101342,0.5326946732208607
Thal_IL_L,0.3690716641900197,0.510367940603791,0.5039182007761406,0.2752359575770748,0.38210411464178423,0.2963081134707956,1.0,0.6666052208937676,-0.20927429407002665,0.5619977168951511,0.4384331755465203,0.265672628713615,0.14520303418665592,0.44394295176559817,0.6102742671329988,0.37102675729458584,0.3970233106542536,0.5408234252834447,0.3891117864273638,0.0965444576300246
Temporal_Mid_L,0.12201117690935724,0.5826942849911464,0.79638772875417,0.31252686976932514,0.23169567488406198,-0.056661013152941225,0.6666052208937676,1.0,-0.115004201932437,0.3289982068607951,0.2162960911271641,0.14104732398004954,0.03369334628804743,0.6204626261481604,0.826866324618415,0.5247211125469973,0.1504517378650173,0.5687382506639453,0.5175127519008113,-0.21883244678295277
Temporal_Pole_Sup_R,-0.2582042802281706,-0.2882327957584376,-0.08306159856721038,0.49022709116582236,0.12474038476048653,-0.09902630168117806,-0.20927429407002665,-0.115004201932437,1.0,0.038691662888284795,0.0631061799521463,0.48247930561851565,0.14537359132747937,-0.01903334989880029,-0.3518940268286331,-0.4286422539304746,0.230334055373294,-0.2078915807732098,-0.019048979370153762,0.4580869426692358
Thal_LP_L,0.3116516958704163,0.22455771512047876,0.30023160497878987,0.30317360121690723,0.28592011377857335,0.18374144480279522,0.5619977168951511,0.3289982068607951,0.038691662888284795,1.0,0.5282273655044463,0.3956784994359333,0.1096281718743209,0.19547831171822436,0.22037376202952336,0.18859837102511068,0.4725860272211611,0.271706242923184,0.20339511347289865,0.22211150090651838
Supp_Motor_Area_L,0.7100689800740576,0.3109797668435432,-0.08352766395961522,0.47396905614433577,0.7350938162679056,0.6076813928808436,0.4384331755465203,0.2162960911271641,0.0631061799521463,0.5282273655044463,1.0,0.5963762233939247,0.563959650045158,0.4153772932238997,0.27799791054426864,-0.10666546459957378,0.8247332123128293,0.516427155049953,0.35306381064733217,0.5379355708405652
Parietal_Sup_L,0.06153779017493893,-0.21724788082449958,-0.20292025183995926,0.5579416194821413,0.3427968772765848,0.36383627857652684,0.265672628713615,0.14104732398004954,0.48247930561851565,0.3956784994359333,0.5963762233939247,1.0,0.3056444620364486,0.07309681271242507,-0.18849690567021976,-0.4145979938923713,0.5047995541662,0.00684199505619876,0.08655645485820157,0.7645214775336259
Thal_MDm_R,0.4968823326623861,0.26283105084234104,-0.1365822709728312,0.38684242253391776,0.6685096054234156,0.5331569636103302,0.14520303418665592,0.03369334628804743,0.14537359132747937,0.1096281718743209,0.563959650045158,0.3056444620364486,1.0,0.3627333409313607,0.16169787408676603,-0.21502154150730668,0.6820451737400558,0.4055044725431138,0.36029379853819193,0.3613861850353611
Heschl_L,0.3663852236128671,0.5947618016635526,0.5179227132924945,0.38831575432561494,0.5241885366177153,0.21258179430452442,0.44394295176559817,0.6204626261481604,-0.01903334989880029,0.19547831171822436,0.4153772932238997,0.07309681271242507,0.3627333409313607,1.0,0.7218426890397177,0.28739888346815856,0.502109676161398,0.6013935098320949,0.5925546096969954,-0.11389496746951877
Temporal_Sup_L,0.4395880848385833,0.8505778956225118,0.7263955399993924,0.18486423479234132,0.3895125353843281,0.0779766531060889,0.6102742671329988,0.826866324618415,-0.3518940268286331,0.22037376202952336,0.27799791054426864,-0.18849690567021976,0.16169787408676603,0.7218426890397177,1.0,0.6276018426197937,0.26726004727660657,0.7923166287594678,0.5586246883641873,-0.3205185862365067
ACC_sub_L,0.16299229006493732,0.6117877602830712,0.6425396437474393,-0.11568194949126911,-0.01696046849533248,-0.2861316069196872,0.37102675729458584,0.5247211125469973,-0.4286422539304746,0.18859837102511068,-0.10666546459957378,-0.4145979938923713,-0.21502154150730668,0.28739888346815856,0.6276018426197937,1.0,-0.13644892165226025,0.42609280772873126,0.22899451840286744,-0.526551426424506
Cerebellum_4_5_R,0.6396390966981299,0.3439743895121423,-0.023501745912408598,0.5772097081858976,0.8522268869327351,0.6158841912103834,0.3970233106542536,0.1504517378650173,0.230334055373294,0.4725860272211611,0.8247332123128293,0.5047995541662,0.6820451737400558,0.502109676161398,0.26726004727660657,-0.13644892165226025,1.0,0.4721733098626295,0.4515662253742575,0.5043479161349648
Frontal_Inf_Oper_L,0.7001375438105828,0.7911757068568626,0.41336598810306774,0.25850886900977493,0.5640233811348012,0.28473051436901886,0.5408234252834447,0.5687382506639453,-0.2078915807732098,0.271706242923184,0.516427155049953,0.00684199505619876,0.4055044725431138,0.6013935098320949,0.7923166287594678,0.42609280772873126,0.4721733098626295,1.0,0.37720033148957155,0.0063464338321021566
