,Parietal_Inf_R,Vermis_1_2,Cuneus_R,Thal_LP_R,Cingulate_Mid_R,Cerebellum_Crus1_R,Caudate_R,Thal_PuM_L,N_Acc_L,Parietal_Inf_L,Hippocampus_R,Angular_L,Thal_IL_L,Parietal_Sup_L,Caudate_L,Red_N_L,Pallidum_R,Vermis_3,Vermis_4_5,OFClat_R,ACC_sub_L,Frontal_Inf_Oper_L,Cingulate_Post_R,Temporal_Mid_L,Amygdala_L,Precentral_L,Angular_R,Temporal_Pole_Sup_L,Cerebellum_Crus1_L,Pallidum_L
Parietal_Inf_R,1.0,0.38751919117537975,0.6435423933710753,0.2274386193371373,0.6825963437719174,-0.03986285918744482,-0.14597759464322826,0.3215581374536382,-0.02065356086131419,0.42908150678035634,0.19942443908406027,0.4579432430216744,0.4218257729613935,0.4995190972003482,-0.08036750799094021,0.4115720065257647,-0.07482065050634516,0.27778220110563595,0.5425612576855293,0.3222118238286182,0.012298787921106202,0.09298857636561345,0.5118526332180369,0.281501875404418,-0.07243864969095207,0.3439817872580614,0.8214832863162493,0.14049684366524948,0.32470946766829994,0.11242204411076033
Vermis_1_2,0.38751919117537975,1.0,0.48327987066856637,0.19934778918860258,0.5612487192601135,0.0908918513707993,0.4283738786978503,0.4403497122243608,0.37505203786630936,0.608896664530415,0.6325105810959873,0.4698410996560041,0.2336677173566962,0.624486194538448,0.4530955663562612,0.3884180872799928,0.4929463097678514,0.5868104412971964,0.7847819853210694,0.03181391719727161,-0.2999625921131986,0.3431208682797342,0.555859107022775,0.14163096869446756,0.37803394104839255,0.7537996745945769,0.45413735142438927,0.1449254071414315,-0.09128948714973997,0.6216056707956719
Cuneus_R,0.6435423933710753,0.48327987066856637,1.0,0.13393423956667957,0.43202048700679474,0.3106892104362878,-0.1780268727258889,0.39329137903030303,-0.08537746582941466,0.6933518105125944,0.06703654148916564,0.7241745421057951,0.38337092968759595,0.8317988972838128,-0.1139100007931381,0.45181087413483906,-0.22706585790635903,0.09279570642243044,0.6552904502236638,0.1839021589089775,-0.16654255306962493,0.0023735683111228375,0.4763616522889665,0.3212827837347549,-0.19448092283384805,0.3622891188647695,0.8689385098533786,-0.006619244704798383,0.1398874659882456,0.043652485033625774
Thal_LP_R,0.2274386193371373,0.19934778918860258,0.13393423956667957,1.0,0.262693963509842,0.3156632506528428,0.19642351717718987,0.014600289912975227,-0.22367230873632954,0.26158706061483866,0.1820901210639122,0.12474523198888361,0.1403126371835328,0.23200236257214127,0.14152009566163445,-0.2271890197921474,0.17087632575539802,0.2724655450825039,0.2497203976923857,-0.1108759346780119,-0.11859980367507274,-0.010753370140235327,0.21390951594463598,-0.14841890539362193,-0.3734695418140932,0.41829273130748207,0.26652233147064847,-0.0939489329463951,-0.2194830139262954,-0.0061342841079192224
Cingulate_Mid_R,0.6825963437719174,0.5612487192601135,0.43202048700679474,0.262693963509842,1.0,-0.04917427212735076,0.3326031273540031,0.44612789289667276,0.13023922675513,0.5132608118588781,0.5619290105194238,0.46524045537947134,0.5577945357070626,0.4315232047159235,0.3138784899076463,0.39406225611848006,0.2919518565489519,0.6799761549568104,0.6641266913654983,0.31993548727780435,0.030845298273945523,0.5093808238593626,0.7512633843150751,0.36196432156836544,0.21542086246936712,0.6616048889316837,0.5724614855011659,0.16451685908308486,0.25468621056903157,0.38239908569450143
Cerebellum_Crus1_R,-0.03986285918744482,0.0908918513707993,0.3106892104362878,0.3156632506528428,-0.04917427212735076,1.0,0.09265219464952214,-0.2738168192678985,0.08434196975837144,0.2908858187353363,0.23683055876572717,0.022210160305063713,-0.2516296307274748,0.36438499709182504,0.02949852195443205,-0.18171363871422067,0.12131883975800307,0.04162658452348184,0.09201733725071388,-0.5075334975557579,-0.36834451278960634,-0.2684460226739351,-0.2055534897732217,-0.5051786454946197,-0.3577388609845246,0.2679017801728441,0.27683555101032753,0.028207058945239644,-0.45958155321970506,0.12170166927515277
Caudate_R,-0.14597759464322826,0.4283738786978503,-0.1780268727258889,0.19642351717718987,0.3326031273540031,0.09265219464952214,1.0,0.3409456359233043,0.43089703590885425,0.29017883372492115,0.7088242077045404,0.029432886502806888,0.2027062366521283,0.09346211179979956,0.8506080119858133,-0.10149026718406076,0.6717333804495613,0.7508953268778311,0.2888527589465869,-0.1700583930129417,-0.02029727207774364,0.5548887661587005,0.267644930161477,-0.05730328500929339,0.3722369071618126,0.6221029981350473,-0.2090252165099163,-0.09968796095991107,-0.24984279153655065,0.5462027087093355
Thal_PuM_L,0.3215581374536382,0.4403497122243608,0.39329137903030303,0.014600289912975227,0.44612789289667276,-0.2738168192678985,0.3409456359233043,1.0,0.050732254205412976,0.4508927989307974,0.25795462216709825,0.5351261428518247,0.610140008209026,0.41925527896106957,0.39744027955136385,0.32305336650796573,0.09650010917162957,0.40303294519026556,0.5435011133516743,0.3334319317838975,0.023499101372763773,0.39245995473433487,0.5676308948825514,0.4136945746201945,0.1749542880740236,0.42430818838054624,0.31667531711780594,-0.2976094296290588,0.1522074740700402,0.06505185193280473
N_Acc_L,-0.02065356086131419,0.37505203786630936,-0.08537746582941466,-0.22367230873632954,0.13023922675513,0.08434196975837144,0.43089703590885425,0.050732254205412976,1.0,0.14744190897749843,0.5542728906588851,-0.059497504108006666,-0.2665317567058751,0.11380439781230142,0.4132024638182117,0.019480155261344615,0.517928413956446,0.41314526517200956,0.1799303081748223,-0.3035898515626101,-0.2585048858753487,0.12492946695228349,0.06140247940698707,-0.21118174560284955,0.47462936740673,0.33243159993991356,-0.07345158152276876,0.0802931129647906,-0.31178224128017684,0.5732258227806805
Parietal_Inf_L,0.42908150678035634,0.608896664530415,0.6933518105125944,0.26158706061483866,0.5132608118588781,0.2908858187353363,0.29017883372492115,0.4508927989307974,0.14744190897749843,1.0,0.3765217279194079,0.837966309842068,0.3832062110683328,0.9105384091452338,0.17069144130128602,0.29430925028080834,0.08633878979902236,0.47052217528729157,0.7758079182371013,0.07051042480503725,-0.25512782779336535,0.2797501595606236,0.6355891036965561,0.28468744973036353,-0.012148466568338727,0.6872074936064473,0.58995708176335,0.021781997356149666,-0.11935078370923859,0.2967246240345898
Hippocampus_R,0.19942443908406027,0.6325105810959873,0.06703654148916564,0.1820901210639122,0.5619290105194238,0.23683055876572717,0.7088242077045404,0.25795462216709825,0.5542728906588851,0.3765217279194079,1.0,0.02576101625534077,0.020538580525012683,0.31677247776289996,0.6638939883946086,-0.01593742425103345,0.8325045339360184,0.8538595697198644,0.5052119553526927,-0.31675724243758197,-0.28994410656939407,0.3507946191618816,0.3154445313398265,-0.2727922981883616,0.38119706319871677,0.7882282586498689,0.15664336656363162,0.045105391271631184,-0.3840374642167142,0.6853570685900758
Angular_L,0.4579432430216744,0.4698410996560041,0.7241745421057951,0.12474523198888361,0.46524045537947134,0.022210160305063713,0.029432886502806888,0.5351261428518247,-0.059497504108006666,0.837966309842068,0.02576101625534077,1.0,0.538502992613841,0.7708496241739194,-0.034249846793505304,0.4835886097694619,-0.21768649640077276,0.1853642838763165,0.6746250225820939,0.40799685392058277,-0.052689424340616575,0.3418113200361261,0.7058651149025026,0.5892881450678769,-0.0023288750995719702,0.41456437833770193,0.6211852734429366,0.008771049139071972,0.23316917615917804,0.07469303677725005
Thal_IL_L,0.4218257729613935,0.2336677173566962,0.38337092968759595,0.1403126371835328,0.5577945357070626,-0.2516296307274748,0.2027062366521283,0.610140008209026,-0.2665317567058751,0.3832062110683328,0.020538580525012683,0.538502992613841,1.0,0.265672628713615,0.17247204436736696,0.3551435388772271,-0.1940987856492473,0.33231794577091134,0.43293558790558434,0.6067200374483628,0.37102675729458584,0.5408234252834447,0.5700048232113559,0.6666052208937676,-0.0031404312634854036,0.2833647460533257,0.3323695041118227,-0.011474709003970202,0.5039182007761406,-0.06541132590233996
Parietal_Sup_L,0.4995190972003482,0.624486194538448,0.8317988972838128,0.23200236257214127,0.4315232047159235,0.36438499709182504,0.09346211179979956,0.41925527896106957,0.11380439781230142,0.9105384091452338,0.31677247776289996,0.7708496241739194,0.265672628713615,1.0,0.05217112743120173,0.31808128602286406,0.0550815399823179,0.33506675117219076,0.791217032731977,-0.020229469717579832,-0.4145979938923713,0.00684199505619876,0.529533553125773,0.14104732398004954,-0.1023579504015286,0.6126792161613221,0.7410095000867659,-0.008870481463887598,-0.20292025183995926,0.27459133077396414
Caudate_L,-0.08036750799094021,0.4530955663562612,-0.1139100007931381,0.14152009566163445,0.3138784899076463,0.02949852195443205,0.8506080119858133,0.39744027955136385,0.4132024638182117,0.17069144130128602,0.6638939883946086,-0.034249846793505304,0.17247204436736696,0.05217112743120173,1.0,0.03437268351093011,0.6493575489261674,0.6303865464359872,0.24659899708784375,-0.1436813808274968,-0.03327422979864437,0.5293824967985166,0.23108565700960543,-0.039249806535481484,0.5116155828701255,0.5548222890224975,-0.159989303896975,-0.20977778476554784,-0.18038490512979652,0.46414050116529243
Red_N_L,0.4115720065257647,0.3884180872799928,0.45181087413483906,-0.2271890197921474,0.39406225611848006,-0.18171363871422067,-0.10149026718406076,0.32305336650796573,0.019480155261344615,0.29430925028080834,-0.01593742425103345,0.4835886097694619,0.3551435388772271,0.31808128602286406,0.03437268351093011,1.0,-0.1921300685247232,-0.026043035247063192,0.40199984413819373,0.591868720761479,0.14355071227304966,0.3249717308821109,0.4544636284573655,0.6068079081990521,0.42709553406567047,0.13733543209205185,0.3447924226409652,0.3917374730899275,0.5698437996823658,0.2346322145331753
Pallidum_R,-0.07482065050634516,0.4929463097678514,-0.22706585790635903,0.17087632575539802,0.2919518565489519,0.12131883975800307,0.6717333804495613,0.09650010917162957,0.517928413956446,0.08633878979902236,0.8325045339360184,-0.21768649640077276,-0.1940987856492473,0.0550815399823179,0.6493575489261674,-0.1921300685247232,1.0,0.6645810266635909,0.2378249457610238,-0.38650474624374226,-0.33339287313534505,0.20227765955332314,0.12544733387658283,-0.4199548332265513,0.443956996096326,0.5654838874271341,-0.09621712998174681,-0.058613405651058895,-0.5018674509555184,0.6776056980518685
Vermis_3,0.27778220110563595,0.5868104412971964,0.09279570642243044,0.2724655450825039,0.6799761549568104,0.04162658452348184,0.7508953268778311,0.40303294519026556,0.41314526517200956,0.47052217528729157,0.8538595697198644,0.1853642838763165,0.33231794577091134,0.33506675117219076,0.6303865464359872,-0.026043035247063192,0.6645810266635909,1.0,0.5946811599805997,-0.08227153626464052,-0.1064368882408057,0.5129082125440618,0.47622730629366905,0.014789835062348563,0.2887813322444887,0.8105833463959959,0.16699160859076584,0.010782909239074281,-0.19979731250011654,0.563160952496872
