,Raphe_D,Frontal_Inf_Oper_R,Temporal_Pole_Sup_L,Frontal_Inf_Orb_2_R,OFCant_R,OFClat_L,Thal_MDm_L,SN_pr_R,ACC_pre_R,Heschl_R,Cerebellum_6_L,Temporal_Inf_L,Thal_VPL_R,Thal_AV_R,Thal_VL_L,Cerebellum_7b_L,Amygdala_L,Cerebellum_4_5_L,Angular_R,Thal_PuL_R,SN_pc_R,OFCmed_R,Cerebellum_10_L,Cerebellum_3_R,Vermis_4_5,Thal_PuI_R,Cerebellum_Crus1_R,Thal_IL_L,Thal_LP_L,Cerebellum_9_R,Temporal_Pole_Mid_R,Vermis_8,Red_N_R,Cerebellum_4_5_R,Rolandic_Oper_L,Cuneus_L,Occipital_Sup_L,Frontal_Mid_2_R,Vermis_9,Cerebellum_8_R,LC_L,SupraMarginal_L,Frontal_Inf_Orb_2_L,Angular_L,Cerebellum_Crus2_L
Raphe_D,1.0,0.39798984926799535,0.14889234995042153,0.28967916355920403,0.06666407141446026,-0.0663781625779898,0.47034111978273857,0.48440376657630996,0.07549463513805682,0.28685017803094626,0.33648420870362095,0.26133914915359835,0.48347742909276925,0.30402279536074917,0.4572706572804782,0.3061919720786677,0.28076392586259197,0.5388867794161714,0.22831012436620743,0.25713230774902646,0.34974157636495845,-0.06843829924385392,0.017885523453798364,0.3932535849776331,0.47338156822999977,0.23047683606488886,0.12855806051193588,0.247740037032097,0.2294123502215533,0.2723699006591296,0.12394155421953751,0.16542985002328162,0.2536888684097578,0.6233989689509507,0.25928350380542337,0.10170169397487568,0.13239339708406414,0.49053988504551943,-0.07769316139078182,0.31145420886366326,0.24592743461021088,0.2749634337912057,0.21170047362841535,0.16607365515148256,0.1013417129534277
Frontal_Inf_Oper_R,0.39798984926799535,1.0,-0.17654084346662835,0.5439435280974539,-0.4090037379830165,-0.21465579825891584,0.2863524460541871,0.5648848616202524,-0.037065867244199094,0.34575384588759017,0.30206560568610596,-0.05416049370626331,0.7670184248688935,0.002860842069209126,0.35495699335934466,-0.18265983226679677,-0.1303009050586946,0.511072731842093,0.615045498602456,0.374877783401477,0.6409874365820405,-0.2683735290291263,-0.24792111228083813,0.2130093474500875,0.6160270676150695,0.480450597515139,0.618698405668369,0.0965444576300246,0.22211150090651838,0.43655348317958287,-0.006696241758134955,0.44495600492824333,0.5369448013279637,0.5043479161349648,-0.24466435897887662,0.3514500968789915,0.49736010649275497,0.19238848215717183,0.3765659359870604,-0.12850440418463435,0.3656646243705883,0.3597276666929104,0.12059755350061649,0.4259032632833167,0.14195353955874462
Temporal_Pole_Sup_L,0.14889234995042153,-0.17654084346662835,1.0,-0.2600052980332502,0.3341609767514916,0.12419783678899979,-0.0024175727347605478,-0.05788522243858658,-0.23458606160626436,-0.08100817130603302,0.30950371444270247,0.18451823725169958,-0.09817667160266416,0.151130244464917,-0.21329906361059275,0.04803534202479551,0.20039325698690966,0.1317833946380147,0.062397267353173295,0.1525739074973969,-0.04006968014800076,0.40941387565766657,0.200282935087091,0.22281115670828452,0.13424478903595444,0.04683627822203636,0.028207058945239644,-0.011474709003970202,0.17834205656453447,0.16858762005751404,0.5948182158109598,-0.18774228020487227,0.28742925112357276,0.18315275914642806,0.09950108136193714,0.19607318354006745,0.0519056294757935,-0.05272608914010281,-0.005194380520507708,0.26294759002417634,0.2778208782253304,-0.04577451515070032,0.038515584118388,0.008771049139071972,0.12402515342933731
Frontal_Inf_Orb_2_R,0.28967916355920403,0.5439435280974539,-0.2600052980332502,1.0,-0.6900225542063759,-0.08189515390680357,0.43508532671477945,0.7031100860776516,0.4708367199218857,0.741521278740456,-0.2511962406023286,-0.36993896133574816,0.39581720085612987,0.3375749624904169,0.2530210797773187,0.004062447372997667,-0.025688219939661718,0.1463581866248748,-0.11815712124697865,0.004994312619978125,0.46746059418926506,-0.4163711684479814,-0.1295691147690103,0.1354436588752269,0.11590150650031332,0.3184775606280394,0.5765586092981959,-0.2650381567995566,-0.09161884877237368,-0.041696852293259416,-0.2328206983629239,0.07919451561543807,-0.08140243670839553,0.2869491722694028,-0.21887151016297327,-0.37561261613068625,-0.20584208635749182,0.38493436156741456,0.1143227906729318,-0.45124442665520137,-0.0010083357414144714,0.005716528439598461,0.199423534547669,-0.12061888175611994,-0.3413897409935487
OFCant_R,0.06666407141446026,-0.4090037379830165,0.3341609767514916,-0.6900225542063759,1.0,0.21355066219056046,-0.07205986121859181,-0.4115587557655492,-0.2224402483992887,-0.41450862639388225,0.4132922072579089,0.5540589243120967,-0.1222082122759909,-0.019181974273123143,0.05122305250540668,0.25473227128149134,0.27706624352024,0.1557863832451137,0.08204316641027809,0.18689845160029428,-0.28256881321274296,0.47429012142035115,0.36991262450798523,0.20070295098818186,0.09240636496609801,-0.2145561615611261,-0.49578299272873566,0.5691683395469167,0.3248688330961894,0.15570075779586762,0.2216771935777341,-0.10198404364269921,0.14882935290444635,0.12127984915717267,0.5555075356535285,0.3944352870970815,0.28150675527718316,0.15260706053185055,-0.16891483687134037,0.5804003560237218,0.2321320053221349,0.2462639827207723,0.020658525147691946,0.2622308807128415,0.3464449908636861
OFClat_L,-0.0663781625779898,-0.21465579825891584,0.12419783678899979,-0.08189515390680357,0.21355066219056046,1.0,0.14973298862545045,-0.06490388655301517,0.2912559370632182,0.1616864796610099,0.018757037215314618,0.05367931941084676,-0.0593800445745274,0.09420274841884242,-0.16707028001303886,0.045782734524112856,-0.006081487028775258,0.055787499353931826,-0.12505713005103264,0.2586534401354156,-0.1331153713291307,0.14600241711088893,0.600294722420826,0.4040928511341012,-0.10390427761523557,-0.0598340719309181,-0.11703845924460725,0.18967831213602546,0.13927005329467404,-0.33809466323519427,0.0573032729243694,-0.32592973054790947,-0.051077272776498595,0.12115009726168079,0.599805163479046,0.03763439205105276,0.10599057996094614,0.18385206040222557,0.14385614617650186,0.1202614135620347,0.23359937594385427,0.08525208991832058,0.4582230585803457,-0.057785536157127955,-0.051082852558416554
Thal_MDm_L,0.47034111978273857,0.2863524460541871,-0.0024175727347605478,0.43508532671477945,-0.07205986121859181,0.14973298862545045,1.0,0.4580645612171808,0.30006228999166557,0.6275820210489966,-0.029611247584756896,0.18144803963670358,0.4666308356648463,0.6166989318811746,0.5997884506832577,0.49690370227789427,0.4600258689127131,0.4857671028158256,-0.0837969165005568,0.22092093532467344,0.1684079279300752,-0.14749711410656804,0.021403710298283633,0.5961783102659295,0.29125538506679993,0.26374481845853903,-0.05718727657156805,0.04535184871205058,-0.018332371448449628,0.07309848415486224,-0.022359302703835637,-0.1616993671961399,-0.015299355014418297,0.6048796748934944,0.3113770425051834,-0.29099468112866417,-0.19947387571410471,0.6523028974718579,-0.2513202420593983,0.29009488922284393,0.18679162026518642,0.16033939706105219,0.11900945411310015,-0.10104723859239773,-0.14408815246746318
SN_pr_R,0.48440376657630996,0.5648848616202524,-0.05788522243858658,0.7031100860776516,-0.4115587557655492,-0.06490388655301517,0.4580645612171808,1.0,0.30378194763928035,0.6091798629450439,0.09582781003798242,-0.24030511811405855,0.4979089629412236,0.2923304359332509,0.27157263982407537,0.08261439934782815,0.04192297969518691,0.30805638030259064,0.14795348798160007,0.14417015080622764,0.5721297222250691,-0.19381088196069002,0.05404066561993928,0.27786861198640117,0.26463771349762377,0.39680390946544847,0.4903217135343216,-0.09008325648223046,0.06010785056147569,0.1373256245619677,-0.09389270961399816,0.07712886955948046,0.20077645829086874,0.43948274476591204,0.023117208029643472,-0.09832310814156221,-0.06862183832642464,0.3938278766851049,0.2343920515479283,-0.17024053756119623,0.1192579844217517,0.03155604535924418,0.2994416382304858,-0.06742347408044001,-0.2602698781768822
ACC_pre_R,0.07549463513805682,-0.037065867244199094,-0.23458606160626436,0.4708367199218857,-0.2224402483992887,0.2912559370632182,0.30006228999166557,0.30378194763928035,1.0,0.45837355840989524,-0.3595943957268008,-0.20113536899340068,-0.05750580547221726,0.23281130905334052,-0.07087385617286728,0.10451675259459506,-0.1482845165447672,-0.10237484701164531,-0.3978680943095722,-0.27246461977728303,0.01718337795513799,-0.019944559188800188,0.2830417750702747,0.19517669121530462,-0.2477628769385712,0.020227758179501648,0.0695064373259773,0.03850873800497388,0.0647425380622026,-0.354458746801292,-0.1736532814756087,-0.24337001217253643,-0.3929185931407789,0.050767105696575034,0.279421298310929,-0.4174556616552998,-0.3176172204936834,0.497383712746766,-0.009407844512702943,-0.22645831734195213,-0.12111556592223074,-0.02176219035238196,0.2671722474482874,-0.31188456371366796,-0.2411200209351632
Heschl_R,0.28685017803094626,0.34575384588759017,-0.08100817130603302,0.741521278740456,-0.41450862639388225,0.1616864796610099,0.6275820210489966,0.6091798629450439,0.45837355840989524,1.0,-0.25605449648416334,-0.2264945285768527,0.3954096661058315,0.5498608436714406,0.29754567111380104,0.25290726164250216,0.16929525176731422,0.30842873625515943,-0.10684208834162458,0.24866658730418945,0.3812689347888191,-0.24647418931726273,0.024828584456748324,0.5914183602550132,0.12744656647263145,0.3157262953091732,0.3116042459189879,-0.1502901907415675,-0.01058696790478538,-0.14910485134067974,-0.08577591350087316,-0.12643843130852775,-0.05465544470795011,0.508447637166471,0.03706993223882125,-0.3326431629617429,-0.21535063492674525,0.6070744339404488,-0.06462729545668391,-0.04221509522561304,0.23462415022780608,-0.004411922758452503,0.27877602482147723,-0.1834955777013291,-0.3103202269925944
