,ACC_sup_L,ACC_pre_L,SN_pc_R,Rectus_R,Cerebellum_6_R,Red_N_L,ParaHippocampal_R,Thal_IL_L,N_Acc_R,Thal_PuI_R,Rolandic_Oper_R,Postcentral_R,Thal_LGN_R,Calcarine_R,Vermis_7,Cuneus_L,Precuneus_L,LC_L,Temporal_Pole_Sup_L,OFCant_L,Cerebellum_Crus1_R,Parietal_Inf_L,Thal_MDl_R,Cerebellum_8_L,Paracentral_Lobule_L,Thal_AV_L,Thal_VPL_R,Thal_VL_L,SN_pr_L,Insula_R,Cingulate_Post_R,Vermis_8,Temporal_Sup_L,Temporal_Sup_R,Cerebellum_7b_R,Cerebellum_3_R,Occipital_Sup_R,Hippocampus_L,Cerebellum_9_L,Temporal_Pole_Mid_L,Hippocampus_R,Vermis_6,VTA_L,OFClat_L,Frontal_Sup_2_R,Thal_Re_R,Thal_PuL_L,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Paracentral_Lobule_R,Occipital_Sup_L,Occipital_Inf_R,Heschl_R,Olfactory_R,Insula_L
ACC_sup_L,1.0,0.3419785238489261,0.1224764892630519,0.2619210430103364,0.023389949340640738,0.4341598250099506,0.2808907682269912,0.39639544703971424,0.06625191396117783,0.1287801863644527,0.07778181410306402,0.22031327234550088,0.3623695117341272,0.3453173259422845,0.23013327334190886,0.19511813783249843,0.2840717055168988,0.36298628617353446,0.10110608333638947,0.22912677484143368,-0.15699834324670423,0.2742804596693347,0.5763308931476675,0.13808153768413317,0.2132899115740218,-0.11103915365262684,0.4624687343116259,0.5963883388805035,0.4855855099369015,0.02912216614829637,0.4385729111142404,-0.005582187822968837,0.5828498583450932,-0.06370217894185896,-0.1120768991439408,0.43460716363426016,0.1235260470231526,0.612569431729975,0.11452282840852285,-0.24149689338220307,0.4245311494663361,0.1271999487254601,0.2882183180580285,0.19366037815618514,0.6141844485626791,-0.40251411190451003,0.15655390821421783,0.3372866037440325,0.3602456160891835,0.2657489009040857,0.2116491549161517,-0.1252030393302678,0.1982889566216321,0.04374682779303865,0.6081699884991275
ACC_pre_L,0.3419785238489261,1.0,-0.3480768664153763,0.5575203892521885,-0.6698336498780653,-0.08171030809233797,-0.20601146798574496,0.2519250136046096,0.3803496638545417,-0.35523508831620354,-0.2909401826954358,-0.527379108069133,-0.10771148081260273,-0.3863774542783687,0.17633851130587702,-0.294772945600799,-0.572117584987548,-0.17682079971782666,-0.03874456740884135,0.3491890035720336,-0.3373923914860058,-0.42948665692448956,0.08450524794469014,-0.09994844122969693,-0.5190555167811711,0.21991477782112123,-0.329832787987895,-0.052672994374885755,0.45217867791677063,-0.41907376750613723,-0.13485506628028435,-0.3197694985288092,0.594127744300079,-0.43233623414572797,0.07090523727874286,0.07483549816590723,-0.5122849889455905,0.03637511909464613,-0.17098248051023793,-0.1885277424597874,-0.12669897669418678,-0.4089425544378353,0.08013385237419784,0.33524854616376976,0.3272973142364458,-0.14883076676631893,-0.1885101358709853,0.7620038526436765,0.7256208678517487,-0.45292664550271505,-0.34376582494664,-0.525966288114481,0.018459241115738705,-0.05848695575295696,0.5802468946863353
SN_pc_R,0.1224764892630519,-0.3480768664153763,1.0,-0.19128197271471803,0.4577903573670176,0.06799112208861915,0.3751620775374099,-0.13141978313652158,-0.3379254462429031,0.5594200747008231,0.5204330634045842,0.4526606315734845,0.47199961615472374,0.49803604715832767,0.243764500731986,0.1985925653023001,0.3660690291504793,0.4336521324041342,-0.04006968014800076,-0.0014376155573647248,0.604952808057605,0.2809304027609682,0.1125658134839515,0.1997012344190404,0.4076420214135914,-0.17521519291627669,0.6272663525112471,0.22470666232162131,-0.19308529544311215,0.6812938867641568,0.03325229063909271,0.4113739881746013,-0.3557037141759552,0.6925983461177976,-0.061842170439509674,0.29434992312873437,0.23763842753924846,0.27596787985073107,0.37203905721139807,-0.10675641031478394,0.5259003900918048,0.44565385120504436,0.3859128913370388,-0.1331153713291307,0.18709202562048347,0.024724461887301943,0.0885174195341895,-0.41692704401332015,-0.4023064470441229,0.34745979003413113,0.17697798289538208,0.5112745860571601,0.3812689347888191,0.023442580715498932,-0.14303883768968945
Rectus_R,0.2619210430103364,0.5575203892521885,-0.19128197271471803,1.0,-0.36440701672814146,0.17878073285189058,-0.1623783402315325,0.413523935095377,0.2054977908809554,-0.27645743791854366,-0.39399264457864736,-0.2091812360609861,-0.005418748449216762,-0.08542925845835456,0.12572829668457017,0.17409734022541049,-0.25166624353556244,0.07910755086811154,0.03873278912384848,0.4319423692920789,-0.3040895043701589,-0.17355362296280405,-0.035037533828720054,-0.003851489597488815,-0.27728548414705945,0.10568786019669599,-0.14420163498898428,-0.02260376788645859,0.23898630734199092,-0.38631213637078393,0.03425513171534695,-0.0972489536147093,0.48064193807480465,-0.4311952962849397,0.10750294914541096,0.11698384541053221,-0.039874328704223395,0.014584827561715644,-0.07352813722116976,-0.04798477902218917,-0.18862861470889253,-0.18568869060647739,-0.0659967776169275,0.2597052285807216,0.21195480939189856,-0.19470695345662917,0.12442321476526196,0.7016492425908295,0.6993226012597372,-0.23641260103445713,0.08607568988505501,-0.2948724528807711,-0.1880191025446031,-0.20445682672231758,0.4340560951237445
Cerebellum_6_R,0.023389949340640738,-0.6698336498780653,0.4577903573670176,-0.36440701672814146,1.0,0.17405794737237792,0.45268771551834036,0.04783145942851671,-0.34997651413195435,0.35712831376486615,0.6048182996192947,0.7236363612763762,0.37750976917143936,0.5936505665347468,-0.21647307111442904,0.3735815958552492,0.7671364229212699,0.26623190776565375,0.042949568532450765,-0.2789059486486798,0.5283366925878766,0.7022805040129574,-0.011375006865842606,0.2943580803504076,0.8089862039812499,-0.170221275236927,0.6006949321019995,0.32322757170421346,-0.19956533645706892,0.6763194896520281,0.30294392020392175,0.4188553896716051,-0.3952134094638875,0.6221541293882064,-0.008000302650024325,0.018323087501238067,0.6539882077886102,0.2677270265827954,0.4364913214784902,0.29350056788784845,0.3774697936861377,0.6736238827551706,0.1118132404422677,-0.3317464222351717,0.04024578493462181,0.11724930529992394,0.3758491929729217,-0.6009169597749544,-0.5293119159997852,0.6574386167931845,0.4601289250270071,0.7421469632570373,0.14045947872621373,0.0004965374502806885,-0.3803777043411693
Red_N_L,0.4341598250099506,-0.08171030809233797,0.06799112208861915,0.17878073285189058,0.17405794737237792,1.0,-0.052712569681820365,0.3551435388772271,-0.41820905989183293,-0.001959366480999848,-0.2677317130213876,0.23184112198907603,0.3974955408555752,0.4890946064380451,-0.060820983376706494,0.521125253725814,0.3262231177848441,0.41837743108809705,0.3917374730899275,0.4339372618513385,-0.18171363871422067,0.29430925028080834,0.16569327330461592,0.0604324753420609,0.1920929382567945,-0.3912721378461463,0.21014068835520497,0.2632633396176874,0.12673769702050466,-0.19446113766228468,0.4544636284573655,0.2060860184674461,0.376212092004743,-0.3482388847450483,-0.2094897255709893,0.12073307596917748,0.5160945675948513,0.2758599832641786,0.09736881405553485,-0.09452839760634742,-0.01593742425103345,0.42763317657895583,0.02985880193597731,-0.11281704191188155,0.18106216164272879,-0.5312432278930446,0.3931678949412944,0.20635461411239048,0.26817193952936946,0.15901713032206435,0.46663813822812045,0.09147452903455171,-0.3830476051368947,-0.22344103025959128,0.2325833772772027
ParaHippocampal_R,0.2808907682269912,-0.20601146798574496,0.3751620775374099,-0.1623783402315325,0.45268771551834036,-0.052712569681820365,1.0,0.17778171164535003,0.11619449648629873,0.43409842014243344,0.6365243379085209,0.6678192955733998,0.43106307017526113,0.3206650918762663,0.19067173363099096,0.004953500051497158,0.6174232348924809,0.45843846682602957,0.06830404259074288,-0.08792171875594713,0.21432950815214738,0.5757488577766244,0.3201843928593261,0.4579285283345978,0.6520362202676075,0.07716968216297214,0.5833917951274703,0.47523688681661713,0.012043363001754468,0.5192023322405135,0.42122110579488947,0.0015180952722036501,0.012585522093913826,0.530211639788817,0.09652416036766834,0.7030494583604169,0.1537310913502377,0.7157466211832267,0.006828790179879668,0.25882728329810745,0.8326860358847679,0.17460386568448188,0.05705963815664058,0.1553178860134872,0.6181028645921177,0.28377886870860025,-0.1417290104204986,-0.22576446655269553,-0.22569946584673992,0.6813660026483835,0.20929036092796083,0.16119932860589078,0.7097885399514585,0.4171370714701806,0.16322556620623585
Thal_IL_L,0.39639544703971424,0.2519250136046096,-0.13141978313652158,0.413523935095377,0.04783145942851671,0.3551435388772271,0.17778171164535003,1.0,0.22459496777611554,-0.053188168857320764,-0.02251431921800572,0.2991285410712554,0.31646719833772835,0.3170386068633825,-0.01654505025205839,0.46555255201615536,0.30453244856863476,0.2555870035597734,-0.011474709003970202,0.25891728952883153,-0.2516296307274748,0.3832062110683328,0.0465655001844084,0.3767988414618812,0.15319961438651652,0.12065996010369834,0.18575831035279303,0.24369898650352753,0.428929326155925,-0.12272574485139047,0.5700048232113559,0.06824852444788616,0.6102742671329988,-0.2810743031390662,0.30439019965597325,0.23457863738148257,0.39993410984183053,0.38210411464178423,0.07392598626825,0.30893732873515883,0.020538580525012683,-0.008877358711003076,0.059811939944171985,0.18967831213602546,0.41677818302702563,0.044378897690270244,0.3336758919547759,0.45659817267420616,0.46061793168793264,0.2230966490942097,0.5227359710456227,-0.06446126699795697,-0.1502901907415675,-0.1905323087542874,0.510367940603791
N_Acc_R,0.06625191396117783,0.3803496638545417,-0.3379254462429031,0.2054977908809554,-0.34997651413195435,-0.41820905989183293,0.11619449648629873,0.22459496777611554,1.0,-0.24358668370943865,0.046527401776932174,-0.11060731545946723,-0.24088281703967945,-0.3252458462492185,0.16227922481905002,-0.2514298191625505,-0.13495047484207437,-0.13179435450402435,-0.2618384646002657,-0.25157629826570826,-0.3319315527565489,-0.08655908684380678,0.09815581875684354,0.2410686513551398,-0.1624996988064038,0.5636068914334734,-0.19816204418219033,0.04839917988292141,0.45222516667287227,-0.16470968187372592,0.09334015943512872,-0.2751073731471177,0.3071815991341592,-0.12562650446225568,0.4019524200944142,0.13888084134012652,-0.32760857338928057,0.1296857682971162,-0.20171371262377222,0.12656183995665327,0.008217809633418565,-0.5572852831369166,-0.06349201436684876,0.21555936390042083,0.23061956588748292,0.3117625617478964,-0.09333767809684422,0.27154688618823025,0.20476247435579847,0.00911323185182966,-0.1850604944155019,-0.45365424206591587,0.2625491054387077,0.2630640837827573,0.30625390882461806
Thal_PuI_R,0.1287801863644527,-0.35523508831620354,0.5594200747008231,-0.27645743791854366,0.35712831376486615,-0.001959366480999848,0.43409842014243344,-0.053188168857320764,-0.24358668370943865,1.0,0.3649245101507471,0.4605772277400427,0.27700338190084595,0.3697052066476001,0.1289812558557124,0.16837911774829367,0.4063251218191889,0.2724673652343392,0.04683627822203636,0.09023468267480081,0.3077210862909135,0.2885985492727074,0.16378809137674594,0.10895818953526587,0.44237896710827185,0.10411399217406124,0.6195511129366539,0.1443400911476697,-0.21072594888824212,0.4819259300295385,0.13091431683311,0.22048166006755648,-0.28021023314856736,0.49288669108373234,-0.0628937226034386,0.28924494601736606,0.24251487557868343,0.3136626589790543,0.3178066785622119,-0.02051296075228882,0.4953850384113402,0.40469195778326117,0.2652686788245461,-0.0598340719309181,0.28417652433664903,0.07605957376737528,0.07468430999080908,-0.3042530475966326,-0.25817200205380164,0.3817804482057784,0.1580306257919269,0.37052755741450766,0.3157262953091732,0.12820315251164927,-0.13105563851700627
