,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_R,1.0,0.10008919436530618,0.33078805067150285,0.6925983461177976,-0.1331153713291307,0.3812689347888191,0.1985925653023001,0.5112745860571601,0.6956466858929125,0.4113739881746013
Thal_MDl_L,0.10008919436530618,1.0,-0.0787739567724461,0.043333168942830486,-0.24699488206999942,0.11388796063926653,0.04649994686330691,-0.0829985915480079,-0.11712797016917333,0.1120734961539977
OFCpost_R,0.33078805067150285,-0.0787739567724461,1.0,0.658762070090088,0.10737350399528862,0.6434396777566986,-0.10904681035427284,0.3650587777331371,0.5931816375423004,0.06294648535903291
Temporal_Sup_R,0.6925983461177976,0.043333168942830486,0.658762070090088,1.0,-0.23509558962901675,0.6364148034758575,-0.02493730771701063,0.6316109288418047,0.9242389846973982,0.31418134069541814
OFClat_L,-0.1331153713291307,-0.24699488206999942,0.10737350399528862,-0.23509558962901675,1.0,0.1616864796610099,0.03763439205105276,-0.25971991414261386,-0.17455658068868377,-0.32592973054790947
Heschl_R,0.3812689347888191,0.11388796063926653,0.6434396777566986,0.6364148034758575,0.1616864796610099,1.0,-0.3326431629617429,0.045290255782549374,0.4887256724713677,-0.12643843130852775
Cuneus_L,0.1985925653023001,0.04649994686330691,-0.10904681035427284,-0.02493730771701063,0.03763439205105276,-0.3326431629617429,1.0,0.5271167591879596,0.06391412660865137,0.3171190633935166
Occipital_Inf_R,0.5112745860571601,-0.0829985915480079,0.3650587777331371,0.6316109288418047,-0.25971991414261386,0.045290255782549374,0.5271167591879596,1.0,0.7070587157395674,0.45384559088803933
Temporal_Inf_R,0.6956466858929125,-0.11712797016917333,0.5931816375423004,0.9242389846973982,-0.17455658068868377,0.4887256724713677,0.06391412660865137,0.7070587157395674,1.0,0.36866858308147393
Vermis_8,0.4113739881746013,0.1120734961539977,0.06294648535903291,0.31418134069541814,-0.32592973054790947,-0.12643843130852775,0.3171190633935166,0.45384559088803933,0.36866858308147393,1.0
