,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_R,Red_N_L,Precentral_L,Frontal_Inf_Orb_2_R
SN_pc_R,1.0,0.10008919436530618,0.33078805067150285,0.6925983461177976,-0.1331153713291307,0.3812689347888191,0.1985925653023001,0.5112745860571601,0.6956466858929125,0.4113739881746013,-0.17521519291627669,0.47199961615472374,0.34745979003413113,0.45004167234241454,0.3708629414927909,-0.3557037141759552,0.024724461887301943,0.06799112208861915,0.4330799189409909,0.46746059418926506
Thal_MDl_L,0.10008919436530618,1.0,-0.0787739567724461,0.043333168942830486,-0.24699488206999942,0.11388796063926653,0.04649994686330691,-0.0829985915480079,-0.11712797016917333,0.1120734961539977,-0.25277074394305643,0.425113253372474,0.5589597512130252,-0.3233919421689782,0.2490340660620156,0.27645769886894017,-0.2816019707277386,0.4588247116870537,0.47980810925629924,0.04187783662680464
OFCpost_R,0.33078805067150285,-0.0787739567724461,1.0,0.658762070090088,0.10737350399528862,0.6434396777566986,-0.10904681035427284,0.3650587777331371,0.5931816375423004,0.06294648535903291,0.07901678440143907,0.03561383389306194,0.36645009448766636,0.1541713491890121,0.29709588559081174,-0.3625005871195422,0.35863371822378215,-0.4463941511767741,0.45377664636962134,0.7267312551292313
Temporal_Sup_R,0.6925983461177976,0.043333168942830486,0.658762070090088,1.0,-0.23509558962901675,0.6364148034758575,-0.02493730771701063,0.6316109288418047,0.9242389846973982,0.31418134069541814,-0.021464428466175262,0.3428570016853291,0.40402733330772245,0.35493164144732114,0.5305502024162019,-0.6213596017150019,0.3354337360368374,-0.3482388847450483,0.547654112716,0.805537794989732
OFClat_L,-0.1331153713291307,-0.24699488206999942,0.10737350399528862,-0.23509558962901675,1.0,0.1616864796610099,0.03763439205105276,-0.25971991414261386,-0.17455658068868377,-0.32592973054790947,0.021230634475934988,-0.08742314332398696,-0.1949228320508146,0.14385614617650186,-0.13526173954383203,0.49646566478179444,0.1311612496425772,-0.11281704191188155,-0.006872831945732754,-0.08189515390680357
Heschl_R,0.3812689347888191,0.11388796063926653,0.6434396777566986,0.6364148034758575,0.1616864796610099,1.0,-0.3326431629617429,0.045290255782549374,0.4887256724713677,-0.12643843130852775,0.12380961123462048,0.3055924781144525,0.322329159950415,-0.06462729545668391,0.6072853172685525,-0.15141947698985372,0.257296525276583,-0.3830476051368947,0.5282531292416184,0.741521278740456
Cuneus_L,0.1985925653023001,0.04649994686330691,-0.10904681035427284,-0.02493730771701063,0.03763439205105276,-0.3326431629617429,1.0,0.5271167591879596,0.06391412660865137,0.3171190633935166,-0.18329277355749557,0.35173438431288045,0.09354862317395153,0.46142004987673296,-0.429456346250765,0.16065408268862486,-0.0348325772555787,0.521125253725814,0.15150194407602718,-0.37561261613068625
Occipital_Inf_R,0.5112745860571601,-0.0829985915480079,0.3650587777331371,0.6316109288418047,-0.25971991414261386,0.045290255782549374,0.5271167591879596,1.0,0.7070587157395674,0.45384559088803933,-0.22968121955147125,0.3367450876479175,0.2196022832515805,0.5564478821230944,-0.009062464351691422,-0.4832052475725729,0.1524395295519159,0.09147452903455171,0.3636262684110723,0.31225759606842163
Temporal_Inf_R,0.6956466858929125,-0.11712797016917333,0.5931816375423004,0.9242389846973982,-0.17455658068868377,0.4887256724713677,0.06391412660865137,0.7070587157395674,1.0,0.36866858308147393,-0.03763689018380339,0.25727439143550923,0.2454623998230877,0.5242206086401308,0.40834916671199395,-0.6219143481272081,0.3154052267168492,-0.3615138620290445,0.42134228763714365,0.7442398209662248
Vermis_8,0.4113739881746013,0.1120734961539977,0.06294648535903291,0.31418134069541814,-0.32592973054790947,-0.12643843130852775,0.3171190633935166,0.45384559088803933,0.36866858308147393,1.0,-0.12351693133395335,0.25227757054297556,0.184894192484344,0.21010499982079228,-0.06211173441823902,-0.25231280619376967,-0.03381212998255745,0.2060860184674461,0.17915980873913748,0.07919451561543807
Thal_AV_L,-0.17521519291627669,-0.25277074394305643,0.07901678440143907,-0.021464428466175262,0.021230634475934988,0.12380961123462048,-0.18329277355749557,-0.22968121955147125,-0.03763689018380339,-0.12351693133395335,1.0,-0.2632331735847641,0.05739140245845619,-0.10755801276733211,0.0060438822483142125,0.07595487202995925,0.3590078830514354,-0.3912721378461463,0.06168101103148867,0.11887247544776984
Thal_LGN_R,0.47199961615472374,0.425113253372474,0.03561383389306194,0.3428570016853291,-0.08742314332398696,0.3055924781144525,0.35173438431288045,0.3367450876479175,0.25727439143550923,0.25227757054297556,-0.2632331735847641,1.0,0.34778925703302405,0.10102212268012183,0.16729554730396956,0.03683241336097226,-0.06148397132844496,0.3974955408555752,0.527653725674728,0.132713150106294
Paracentral_Lobule_R,0.34745979003413113,0.5589597512130252,0.36645009448766636,0.40402733330772245,-0.1949228320508146,0.322329159950415,0.09354862317395153,0.2196022832515805,0.2454623998230877,0.184894192484344,0.05739140245845619,0.34778925703302405,1.0,-0.05605486211163434,0.20373900501652972,-0.02379384831191968,0.11086452887186232,0.15901713032206435,0.8142711568245414,0.33929500815785485
Vermis_9,0.45004167234241454,-0.3233919421689782,0.1541713491890121,0.35493164144732114,0.14385614617650186,-0.06462729545668391,0.46142004987673296,0.5564478821230944,0.5242206086401308,0.21010499982079228,-0.10755801276733211,0.10102212268012183,-0.05605486211163434,1.0,-0.14554677528064525,-0.2467180342133569,0.16799760201994784,-0.05090494786623446,0.015152991714543923,0.1143227906729318
Amygdala_R,0.3708629414927909,0.2490340660620156,0.29709588559081174,0.5305502024162019,-0.13526173954383203,0.6072853172685525,-0.429456346250765,-0.009062464351691422,0.40834916671199395,-0.06211173441823902,0.0060438822483142125,0.16729554730396956,0.20373900501652972,-0.14554677528064525,1.0,-0.23528985278784578,-0.01487317174400614,-0.2655510206149161,0.32760846209796207,0.6189526582412783
Temporal_Sup_L,-0.3557037141759552,0.27645769886894017,-0.3625005871195422,-0.6213596017150019,0.49646566478179444,-0.15141947698985372,0.16065408268862486,-0.4832052475725729,-0.6219143481272081,-0.25231280619376967,0.07595487202995925,0.03683241336097226,-0.02379384831191968,-0.2467180342133569,-0.23528985278784578,1.0,-0.2384840076582535,0.376212092004743,0.08024331810949802,-0.39595619910648555
Thal_Re_R,0.024724461887301943,-0.2816019707277386,0.35863371822378215,0.3354337360368374,0.1311612496425772,0.257296525276583,-0.0348325772555787,0.1524395295519159,0.3154052267168492,-0.03381212998255745,0.3590078830514354,-0.06148397132844496,0.11086452887186232,0.16799760201994784,-0.01487317174400614,-0.2384840076582535,1.0,-0.5312432278930446,0.1424254728047362,0.2987861950879376
Red_N_L,0.06799112208861915,0.4588247116870537,-0.4463941511767741,-0.3482388847450483,-0.11281704191188155,-0.3830476051368947,0.521125253725814,0.09147452903455171,-0.3615138620290445,0.2060860184674461,-0.3912721378461463,0.3974955408555752,0.15901713032206435,-0.05090494786623446,-0.2655510206149161,0.376212092004743,-0.5312432278930446,1.0,0.13733543209205185,-0.4867799933405393
