,Vermis_1_2,Fusiform_R,LC_L,Frontal_Sup_Medial_L,Precuneus_L,Occipital_Sup_R,Caudate_L,Frontal_Sup_2_R,Cerebellum_7b_L,Cuneus_L,Rectus_L,Thal_MDm_R,Vermis_9,Thal_MDl_L,Cerebellum_Crus2_R
Vermis_1_2,1.0,0.5579980457157036,0.3850532554614989,0.11748575748097913,0.808048825170464,0.4853595297991828,0.4530955663562612,0.46393128212862983,0.24222296504778323,0.2579535559441049,-0.2507944871134309,0.5678221095312761,-0.05544167711605948,0.6837492350509667,0.2731202442394765
Fusiform_R,0.5579980457157036,1.0,0.37083831554677277,0.13939041709605332,0.6672605465297531,0.4081069101325931,0.36838236139938146,0.3150196354547516,-0.16120788313536136,0.22016084054546506,-0.4358027927403202,0.4017201711450412,0.32116902616098586,0.22844307246219261,0.4893162409379743
LC_L,0.3850532554614989,0.37083831554677277,1.0,0.22440985845703307,0.4024695817496123,0.39606044559130266,0.13315835719644656,0.37255196974470967,-0.11539377703233532,0.454315031386776,0.05615901166820109,0.38544530076971534,0.25645851432726113,0.2142785807739272,0.34912025511997374
Frontal_Sup_Medial_L,0.11748575748097913,0.13939041709605332,0.22440985845703307,1.0,-0.046881336988853155,-0.18451713874986478,0.4480281561092972,0.7765524351905356,0.3035273427003075,0.011856277950942412,0.3652852235675001,0.2905223302767027,-0.01520398193926845,0.023725666810868493,-0.03653722676875938
Precuneus_L,0.808048825170464,0.6672605465297531,0.4024695817496123,-0.046881336988853155,1.0,0.6464617373758798,0.30036816556256835,0.31357430187966756,0.1521181736476862,0.3582425126542448,-0.4102540980720526,0.5264862881275421,-0.0043964108449116995,0.5939804917704306,0.3220451005219103
Occipital_Sup_R,0.4853595297991828,0.4081069101325931,0.39606044559130266,-0.18451713874986478,0.6464617373758798,1.0,-0.15407474363697027,-0.0030191853512114147,-0.28260358454202156,0.845403229414254,-0.22887491082949657,0.08745102561162847,0.33504555599425495,0.25712336626190235,0.5549293736640873
Caudate_L,0.4530955663562612,0.36838236139938146,0.13315835719644656,0.4480281561092972,0.30036816556256835,-0.15407474363697027,1.0,0.598163790231336,0.40263418469710854,-0.2565444395232131,0.17765438074574166,0.5158620083568876,-0.16346705201443223,0.5663398973725284,-0.04216814371143896
Frontal_Sup_2_R,0.46393128212862983,0.3150196354547516,0.37255196974470967,0.7765524351905356,0.31357430187966756,-0.0030191853512114147,0.598163790231336,1.0,0.4727531060279146,0.04666661897058155,0.23691117287111532,0.511786352502839,-0.20483056329209443,0.3926910469530627,0.05475566532731465
Cerebellum_7b_L,0.24222296504778323,-0.16120788313536136,-0.11539377703233532,0.3035273427003075,0.1521181736476862,-0.28260358454202156,0.40263418469710854,0.4727531060279146,1.0,-0.3297059937247801,0.22421201270499866,0.4555118463578366,-0.6918250555590297,0.46269433503563595,-0.3501762491275751
Cuneus_L,0.2579535559441049,0.22016084054546506,0.454315031386776,0.011856277950942412,0.3582425126542448,0.845403229414254,-0.2565444395232131,0.04666661897058155,-0.3297059937247801,1.0,0.027301638527153643,-0.021486592682104483,0.46142004987673296,0.04649994686330691,0.5233594024964277
Rectus_L,-0.2507944871134309,-0.4358027927403202,0.05615901166820109,0.3652852235675001,-0.4102540980720526,-0.22887491082949657,0.17765438074574166,0.23691117287111532,0.22421201270499866,0.027301638527153643,1.0,-0.09253794104244975,-0.178227079973789,0.001077975398660701,-0.25068097961125174
Thal_MDm_R,0.5678221095312761,0.4017201711450412,0.38544530076971534,0.2905223302767027,0.5264862881275421,0.08745102561162847,0.5158620083568876,0.511786352502839,0.4555118463578366,-0.021486592682104483,-0.09253794104244975,1.0,-0.19691614690937456,0.5802259830950648,0.062466404824035884
Vermis_9,-0.05544167711605948,0.32116902616098586,0.25645851432726113,-0.01520398193926845,-0.0043964108449116995,0.33504555599425495,-0.16346705201443223,-0.20483056329209443,-0.6918250555590297,0.46142004987673296,-0.178227079973789,-0.19691614690937456,1.0,-0.3233919421689782,0.4052243814901679
Thal_MDl_L,0.6837492350509667,0.22844307246219261,0.2142785807739272,0.023725666810868493,0.5939804917704306,0.25712336626190235,0.5663398973725284,0.3926910469530627,0.46269433503563595,0.04649994686330691,0.001077975398660701,0.5802259830950648,-0.3233919421689782,1.0,0.023381296506222303
Cerebellum_Crus2_R,0.2731202442394765,0.4893162409379743,0.34912025511997374,-0.03653722676875938,0.3220451005219103,0.5549293736640873,-0.04216814371143896,0.05475566532731465,-0.3501762491275751,0.5233594024964277,-0.25068097961125174,0.062466404824035884,0.4052243814901679,0.023381296506222303,1.0
