,Temporal_Pole_Sup_R,ParaHippocampal_L,ACC_sup_R,Thal_MDm_L,Cerebellum_6_R,Parietal_Inf_R,Olfactory_R,Amygdala_R,Pallidum_L,LC_L,Olfactory_L,Thal_VA_L,Cingulate_Mid_R,Lingual_R,Insula_L,Frontal_Inf_Oper_L,ACC_sup_L,N_Acc_R,Cerebellum_7b_L,Temporal_Pole_Mid_R,Heschl_L,Paracentral_Lobule_R,Thal_LP_L,OFCmed_R,Rolandic_Oper_L,Vermis_6,Postcentral_L,ACC_pre_R,Frontal_Med_Orb_R,SN_pc_L,Frontal_Inf_Tri_L,Calcarine_L,Thal_PuA_L,OFCpost_L,Thal_VPL_R
Temporal_Pole_Sup_R,1.0,-0.7253232188006224,-0.025865776067768433,-0.3365979958650184,0.690954022891277,0.47725055794068855,-0.47114519986108905,-0.6216403720762225,-0.5839922548807724,-0.5289366404629386,-0.6323423279272826,-0.44553012061122843,-0.08952504512522276,0.8005178204026602,-0.5224491251077784,-0.6168155055596423,-0.2467537302606863,-0.26717766023985784,0.4130543131941704,0.707939176377443,-0.6355212953674202,0.08763736151211525,-0.3002831107671879,-0.7288155899572881,-0.7318861540692725,0.6718016642396928,-0.12600990780444862,-0.5959989522968561,-0.5497555315125849,0.5249270403009755,-0.5161326917239303,0.6256427989331244,-0.40398485309332033,-0.24340969990655376,0.1857860010606666
ParaHippocampal_L,-0.7253232188006224,1.0,0.2431068245880164,0.4195181637917151,-0.3681758756661532,-0.6019998014347542,0.8083340034972022,0.6149943304823619,0.6593234172848299,0.6412937857960533,0.8776365338776313,0.6589618098677782,0.04304433929508403,-0.3958732863146937,0.65208549824522,0.6742190253696619,0.3508763881014565,0.24342807308930067,-0.2420396072819441,-0.7522920043077802,0.5698597430093434,-0.12774166297280745,0.3563433658665285,0.6610219099173729,0.8321477726780164,-0.16324696038956127,-0.020240960106321072,0.7213906734161256,0.5000355094869563,-0.6059719633929813,0.4686074953994331,-0.6128859498343818,0.6307761571155729,0.4511054340465964,0.1277090070126319
ACC_sup_R,-0.025865776067768433,0.2431068245880164,1.0,0.4687916972247464,0.25162418413387116,-0.2180602138401089,0.3671029582529431,0.049433578203153056,0.3399848003484907,0.07288875144175067,0.2267779715187944,0.5163308203935486,0.5258705246842299,0.06017041744112215,0.35564531923316356,0.3621636060069309,0.8016949834036772,0.220224241070647,-0.17770848120448499,-0.20008022383186366,0.29244521729002726,-0.17215794177054006,0.4484604495637892,-0.04210686119834242,0.37399459857203476,0.14496511938307224,-0.0027889746174614865,0.555698308818426,-0.1799210654233385,-0.4167472892037206,0.28328901961116265,-0.2002433431211154,0.35880553179234226,-0.10977939824926941,0.40456881089246194
Thal_MDm_L,-0.3365979958650184,0.4195181637917151,0.4687916972247464,1.0,-0.26547609489340424,-0.23226724507261506,0.35870747035130435,0.3250690181080841,0.7626940188773975,0.30053663940659725,0.36587216340754375,0.7451093555733074,0.4998858826915723,-0.16816102622418452,0.5623139607709443,0.5148105365558419,0.48826471389298504,0.32633293368224864,-0.2939456311697413,-0.2883797939486167,0.6012503985640342,-0.14421853674429555,0.5373456392130319,0.29445852526317,0.5011852748793278,-0.20672763807022365,0.18247332860131973,0.4450210409185988,-0.01225497170142808,-0.34379896542915356,0.5923485466245423,-0.048989832939884216,0.4689118671980462,0.2662204721908496,0.43872311428051836
Cerebellum_6_R,0.690954022891277,-0.3681758756661532,0.25162418413387116,-0.26547609489340424,1.0,0.17142601455398002,-0.24821224737164707,-0.321549401652282,-0.3593026794132303,-0.3220531901751526,-0.44093203209434373,-0.22337276576656195,-0.13719023894628418,0.6210183334365154,-0.41021571709950505,-0.40270324762908644,0.04586072988873117,-0.17910412027496303,0.4120629406736606,0.31922004869130033,-0.5004558190282943,0.10761143374316896,-0.10343526729723011,-0.5489688585776287,-0.4299469446936967,0.6352107883463954,-0.14177216936075276,-0.3129184325984856,-0.42341733540232995,0.26458225406265024,-0.4663377039195999,0.25202383255326105,-0.08852502799301448,-0.3934702901878796,0.28623654787547087
Parietal_Inf_R,0.47725055794068855,-0.6019998014347542,-0.2180602138401089,-0.23226724507261506,0.17142601455398002,1.0,-0.7121482207113327,-0.5482273953522194,-0.5306998283682687,-0.46549497901053427,-0.6055626303619527,-0.5043717746131219,0.32327746781508565,0.4367748298873145,-0.23108498469095684,-0.13830145060446228,-0.1636757373779668,-0.07514676728351975,0.5381417137390414,0.46125697244102465,-0.38993598185548695,0.7077655797205611,-0.462798188950627,-0.34916975150506385,-0.4133746159996997,0.22042263965335168,0.482270512734864,-0.6514193356540477,-0.19125142397723552,0.7074352458246592,0.007257326209736245,0.8230413827259045,-0.20257294868622386,-0.020087774869024126,0.1367627954840398
Olfactory_R,-0.47114519986108905,0.8083340034972022,0.3671029582529431,0.35870747035130435,-0.24821224737164707,-0.7121482207113327,1.0,0.5213100691891583,0.5731865028681535,0.5054862713355603,0.891681833790166,0.6766355082844673,-0.035836151673267334,-0.33646414179024525,0.5056666974978985,0.41361801316156216,0.31254599672979705,0.08830589910666206,-0.4455883434242132,-0.5868087409800639,0.46834892094633956,-0.4294233066564701,0.4396746292592899,0.4361436214055142,0.6098653547005092,-0.02155165849653619,-0.2509394015750016,0.8036304932812741,0.29515905445893237,-0.7301959901398081,0.2232299674326444,-0.698350855733167,0.40378943038392573,0.3578745418143316,-0.01372009767222603
Amygdala_R,-0.6216403720762225,0.6149943304823619,0.049433578203153056,0.3250690181080841,-0.321549401652282,-0.5482273953522194,0.5213100691891583,1.0,0.42676226322842936,0.46606113632399165,0.5068905599135756,0.3185350181224107,-0.016700827585607668,-0.5326805204859032,0.26791691824480013,0.2362908879900625,0.21290751424534118,-0.11917201217365511,-0.44468994964218367,-0.5067778007593161,0.32283390060115147,-0.19517323473691806,0.3137586137985185,0.5082505404358412,0.40833209622947,-0.418902165472833,0.042470235468890956,0.5559589591679699,0.49741063198717117,-0.4034884587518066,0.16042881185319102,-0.6222203801956758,0.20010828761917676,0.07029943309946664,-0.20655351827142232
Pallidum_L,-0.5839922548807724,0.6593234172848299,0.3399848003484907,0.7626940188773975,-0.3593026794132303,-0.5306998283682687,0.5731865028681535,0.42676226322842936,1.0,0.5051349015600638,0.6552286791694844,0.8150792417323219,0.2452443838749238,-0.44256467051450077,0.5365003483355858,0.5697071306395998,0.372477903637579,0.538137576051426,-0.3997636685442014,-0.5121690680920096,0.6287666788778387,-0.3065273706502841,0.570984172189507,0.4966551659681247,0.6588960863793866,-0.3303900842056684,-0.06198000661904443,0.5884976841212275,0.018297023572513824,-0.6377896488585536,0.5267806410028346,-0.38690985701565717,0.5686977697526864,0.29883448257310313,0.208245178751313
LC_L,-0.5289366404629386,0.6412937857960533,0.07288875144175067,0.30053663940659725,-0.3220531901751526,-0.46549497901053427,0.5054862713355603,0.46606113632399165,0.5051349015600638,1.0,0.6035666079871407,0.4556503580964415,-0.08881473012261448,-0.3086938924928977,0.4225409045021518,0.40627286995186446,0.07019290597480068,0.17115431504723408,-0.13710470967968402,-0.5319071925668709,0.4383648746575641,-0.12909194768008456,0.27441068653314366,0.6556829722594767,0.5377120936618446,-0.17219899041426498,0.06580453795123756,0.38355549614515255,0.41673392489355043,-0.4079166264794545,0.3523488444146027,-0.38553649870696205,0.3954880792659186,0.18466618065755502,0.061354922579420115
