,Caudate_L,Thal_PuL_L,OFCant_L,Vermis_9,Pallidum_R,Thal_MDl_L,Temporal_Pole_Mid_R,Frontal_Inf_Orb_2_L,Thal_MGN_R,Frontal_Med_Orb_L,Frontal_Sup_Medial_R,Vermis_8,Putamen_L,Vermis_10,Rolandic_Oper_R,OFCant_R,Thal_PuM_R,Caudate_R,ACC_pre_R,Frontal_Inf_Oper_L,Postcentral_R,OFCmed_L,Vermis_6,OFCmed_R,Frontal_Mid_2_L,Red_N_R,OFCpost_L,Thal_VL_L,Insula_R,Thal_VPL_L,Cerebellum_6_L,Olfactory_R,Angular_L,Thal_Re_L,Hippocampus_R,SN_pc_R,Thal_MGN_L,Temporal_Mid_L,Paracentral_Lobule_R,Temporal_Inf_L,ACC_sup_R,Thal_MDm_R,Raphe_D,Thal_PuI_R,Hippocampus_L,OFClat_L,Cerebellum_10_R,Calcarine_L,Amygdala_L,Heschl_L,Cingulate_Mid_R,Temporal_Mid_R,Cerebellum_9_R,LC_L,Olfactory_L,ParaHippocampal_R,Occipital_Inf_R,Cuneus_R,Thal_LGN_R,Thal_AV_L,Parietal_Sup_L,Thal_LP_R,Cerebellum_3_R,Thal_IL_R,Thal_Re_R,Cerebellum_7b_R,Fusiform_R,Supp_Motor_Area_L,Lingual_L,Insula_L,Precentral_R,N_Acc_L,Frontal_Sup_2_L,Vermis_3,Thal_MDl_R,ParaHippocampal_L,Cerebellum_3_L,Putamen_R,Occipital_Mid_R,Red_N_L,Thal_PuA_R,N_Acc_R,ACC_sup_L,Thal_IL_L,Temporal_Sup_L,Cerebellum_Crus2_R,Precuneus_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_R,ACC_sub_L,Cerebellum_8_L,Pallidum_L,Supp_Motor_Area_R,SN_pr_L,Temporal_Inf_R,Occipital_Sup_L,Cuneus_L,Cerebellum_6_R,OFClat_R,Vermis_7,Frontal_Inf_Oper_R,Cerebellum_9_L,Occipital_Sup_R,Thal_PuM_L,ACC_sub_R,VTA_L,Thal_MDm_L,Parietal_Inf_R,Thal_PuL_R
Caudate_L,1.0,-0.0449347525811599,0.7316924247564875,-0.5032135050636898,0.34797501442435397,0.37445676063966465,-0.7196199473183577,0.36216900995349055,0.04973132187141118,0.44941390843664336,0.7264435464285656,0.33696493561910984,0.6866053944558316,-0.5779001453975696,0.1602801679361355,0.7622929018106553,0.33547374984758266,0.8097887266478809,0.7977036957394711,0.7588285097490639,-0.20481320537412412,0.4995105413548161,-0.26426066250272434,0.5875897103931683,0.8416291224058925,-0.07193632297027738,0.25884264541529944,0.8118759117161822,-0.08536279609930865,0.5621421777627502,-0.30956725571435717,0.6139686389597696,-0.4550363069573531,0.5710452363833277,0.6120134089385303,0.5659876603518829,0.48948393150970315,0.22832280088108478,-0.026374876360224783,0.7065424061775436,0.49789394764501366,0.6361880217310949,0.7495724011340976,0.43109258732472444,0.8864933853142796,0.7979333024735664,0.46103213997925535,-0.5051047097664182,0.7356912647113898,0.5646182410040287,0.3312081591888179,-0.5893810064209718,-0.3284752860562644,0.5124757739734123,0.6806005936249998,0.7422149886502802,-0.6105918963075994,-0.427047499033628,-0.21955069541959923,-0.19707458510862347,-0.4269669298124619,0.4632499599837459,0.6719267242563574,0.4057829984479942,0.2607856766074269,-0.28263445470756354,-0.1645787596623265,0.4507910197919978,-0.2805332462267454,0.697131345551708,0.18170342543013265,0.38255939759481794,0.7758080388830294,-0.2292653883339112,-0.006132594821810728,0.8117119969155829,0.6904947333040703,0.5956691456871785,-0.689786640286178,0.1198386117920694,0.3141290667792981,0.24779329626878743,0.7138739258817316,-0.13189451990790066,0.7975497536384751,-0.20913512537718823,-0.007668503494115506,0.5872814230887736,0.2722680629564359,0.09958944042902644,0.5921377763769696,-0.08424324350099602,0.5745704006496463,0.3119411621988993,0.6734372131876548,-0.2652739636956509,-0.6133808293264121,-0.38601859889141726,-0.30326838531919825,0.3178054071718343,0.5692896558030877,-0.25200595002088,-0.3086782275080833,-0.5928428497473184,0.5322553954950959,0.4451180290547353,-0.5105107070174297,0.5021432254951812,-0.4761434015698139,0.4284825320802907
Thal_PuL_L,-0.0449347525811599,1.0,-0.3524463074278412,0.2910263874165508,0.2338351337744581,-0.14292055466115008,0.02442797880647682,0.02703502826652418,0.2838453143519339,-0.4858614913292511,-0.16041857421094327,0.008175446563274753,0.13245975779507035,0.42653794665289063,0.5598490280512854,-0.3237040344061094,0.4775672244862402,0.18075433943494262,-0.005949016244435118,-0.07227614774094862,-0.15877096436895938,-0.2948359644886596,0.639464225219168,-0.49230746909223994,-0.18859582074886597,0.3037485508513278,0.02335834912985671,0.2545458466377016,0.6950658477508936,0.5505998426801862,0.4000482198010214,-0.01845876675376127,0.0624821295739321,-0.03885676268117436,0.16308571556173643,0.13721416840243464,0.197895508180661,0.028098414714492054,-0.10890163171276217,-0.28053144154038595,0.41965084128966534,-0.07375682860618803,-0.11806174421647803,0.14117189567451285,-0.07263948475021094,-0.32515408147710634,-0.34801469392494555,0.3400156814973397,-0.37503765726915606,-0.1982995341062931,0.25400001942361977,0.6218198608401291,0.5298637147490515,-0.2136049418578318,-0.10448083723185016,-0.09666344604646787,0.39500404758174357,0.262388088739705,0.4617772861375363,0.30225386674407323,-0.05163122152422676,0.3611582208379177,-0.12182656364089817,0.1360577304972428,0.02171986530430599,0.5033164372798818,0.5257736803670591,-0.3131094245684928,0.5962184001878174,-0.052850482855219594,0.09688743288057657,-0.25317605909989255,-0.2922022108724282,0.3623418820732641,-0.024401086598513755,-0.13828318062280168,0.06126981955205013,0.277849942528984,0.142288484067222,0.23291416451721106,0.28786843522395034,0.2885732695305793,0.28999471930936427,0.2546216717755722,-0.16900338499446013,0.43433596979915595,0.12181891655388642,-0.08502358088608944,0.3885515752161551,0.5777431420483767,-0.10473878135013642,0.05061444644552222,-0.02169706724917696,-0.09794560840498538,-0.10384342101995697,0.47775512998222447,-0.09484206154928114,0.1440775291286316,0.47307937982799353,0.07830823323666955,-0.1745043096297154,0.639492927481876,0.4163858443044771,0.05867507190414642,0.36560333938677786,-0.04934151469508703,0.2637472789023998,0.04853436976807989,0.10211588324262562,0.6237664141419682
OFCant_L,0.7316924247564875,-0.3524463074278412,1.0,-0.7739541089359273,0.39264740944043547,0.562207307754251,-0.6523559204135402,0.11205650259637914,-0.21753222810698994,0.4635921435760492,0.5562226235368113,0.38317276848845366,0.592243311121084,-0.7607292332920992,0.15864676181717755,0.8986695443437387,-0.060726516494912036,0.6972925132244542,0.8108103355291669,0.5280231576488756,-0.34957330073556353,0.57371359516345,-0.4845190064944732,0.6609378059664799,0.8309856998190722,-0.13896400169804524,0.3445193106748814,0.4090447449948726,-0.19401187375309756,0.338015900902885,-0.5209844161147885,0.7886329031163596,-0.6910936570118922,0.6784781064128683,0.7110864780193119,0.5349402699155091,0.2513496138429986,-0.16600128562229713,-0.3122544694953447,0.6453078619051452,0.2307838527226219,0.4640463245636664,0.8620182737249795,0.09951842365982673,0.7782020958294689,0.8776027290044351,0.6850012563537422,-0.7824503785154303,0.8826795186007537,0.5833845534206186,0.008844629877609346,-0.7400922380182772,-0.4824291391379394,0.5435360544013168,0.8215402583421199,0.7966419724785466,-0.7256677866959841,-0.7564960134615027,-0.3209627948958863,-0.46249441255627577,-0.637551985198362,0.18951618980016952,0.7935853752482165,0.14770374869578418,0.2568464627603124,-0.4853494304967643,-0.2824831437856684,0.28909599891081583,-0.5927621000770348,0.5489698765209234,0.06699564897958048,0.18060802756130098,0.6731578358051526,-0.6042792066396702,-0.23563155215955536,0.8370110490877565,0.7221177429781154,0.5922726047462574,-0.8342673362966871,-0.039006865249980816,0.09322617362105888,0.10806118570493708,0.3295618616699882,-0.47107822157015683,0.6796816631418039,-0.44489560215264623,-0.380483546526909,0.36156921323269164,0.15990850236149365,0.14826780856791832,0.8184764351115956,-0.003239040672691554,0.6420448275441933,0.24490261061402704,0.5878282932627874,-0.3226407921873683,-0.688981612217981,-0.6754875975621354,-0.49123218066470714,0.5900950835552727,0.5266948308312518,-0.4362608316198777,-0.5120811144628737,-0.7568040608577833,0.26699648082654387,0.6760104611300267,-0.8047052655136114,0.4092742083289472,-0.7027987413974732,0.1333162271208508
Vermis_9,-0.5032135050636898,0.2910263874165508,-0.7739541089359273,1.0,-0.41777116262718234,-0.5187302356844552,0.4171974217509374,0.17270762719071334,0.4095835337930184,-0.25852972126039653,-0.34744302317567183,-0.15804435925070764,-0.41854597615107536,0.7585623485050468,-0.20864421408329187,-0.7210541720062326,0.27128424976896287,-0.5740967630217577,-0.689507860412932,-0.30107264691468194,0.43865747300610797,-0.31046596096333245,0.5840643423544405,-0.56000455498256,-0.6380896448911506,-0.02899025944905574,-0.19360498518941868,-0.22728160141200796,0.11481303279909479,-0.33940191588902285,0.5317728835503971,-0.6175000622790187,0.6940549640796203,-0.5670956587085924,-0.644822182968454,-0.35401556876282136,-0.10698278889819257,0.4039906104728722,0.6048422518621223,-0.3140145188398176,-0.19626309684518795,-0.36182790773570295,-0.7608565348434067,0.23026823472905614,-0.4699359471629024,-0.6628250972641103,-0.70964395718712,0.7644656419009559,-0.7465461770917291,-0.5770615394720954,0.014851732871908134,0.6851244979358961,0.580379969854647,-0.40499486925558975,-0.6226906337870406,-0.638323966741719,0.637874930463255,0.8451394991054354,0.15224915148751256,0.5340133758343851,0.7162117630386732,-0.05288778910181676,-0.6974155822834973,-0.030400634940964438,-0.23107874196584458,0.5298784153974935,0.3720407017045447,-0.08231969661153302,0.595906771362406,-0.4011617881222222,0.05469589859427843,0.05738711101501161,-0.4950874579692111,0.7794193630747999,0.2663777255717595,-0.5768742774304335,-0.5700423177324421,-0.5279521691630182,0.7497155114691126,0.08061292380590308,0.005449656855310072,-0.13988420852227249,-0.24152110044287908,0.366585171558133,-0.5305543659282516,0.5872376735554081,0.6951441691378989,-0.23414205753044334,-0.18434110392589254,-0.1285333254924402,-0.6538790538736872,0.09942856273772113,-0.543918587619112,-0.06080320167318987,-0.2798058710807933,0.32739190961266024,0.6299835812100093,0.6832751066458628,0.5606506863114319,-0.5686492292748903,-0.2535996568723332,0.3639953580221057,0.6304434311223327,0.7324378439074795,-0.20821764411365573,-0.6383725822722285,0.7473731040362277,-0.3362653677540787,0.7054095459701665,0.03158412983767777
Pallidum_R,0.34797501442435397,0.2338351337744581,0.39264740944043547,-0.41777116262718234,1.0,0.7247922215249847,-0.2573672719636076,-0.07256458635167876,-0.12510804487953994,-0.29196112662252227,0.171953480886719,0.3005209558799571,0.7596057267406193,-0.3752371612386051,0.5551833899005135,0.40268428943714824,0.34362662511040704,0.6775097946169616,0.5185044220716839,0.3650122061937787,-0.1533219310222456,-0.057342345903419384,-0.13854081029637252,0.1974192783673429,0.4819921289972396,0.1533368386128059,0.27927931614855844,0.41447263253059974,0.26481670765221965,0.6196449087472755,-0.19769421825739014,0.48605523066433076,-0.46709395602664605,0.553216513286579,0.64719096895638,0.18754497287968278,0.3575157780218755,-0.14595667756389888,-0.4115726058210377,0.41358017395338176,0.41561942357741016,0.616884558437302,0.46374130239372774,0.1440406582711508,0.44723941879621604,0.349797552851351,0.32481560375801516,-0.2206997007701265,0.37775726861150655,0.4162425457419885,0.23760832980497015,-0.09372634373730684,-0.1419856434553836,0.29116613339141856,0.5465770646600114,0.5487979948453556,-0.07482117673370235,-0.42728460121050366,0.20522591736501158,-0.21905328358728335,-0.47748144245513563,0.11880945137283104,0.46767091999442634,0.33596967865255317,0.31938666954014633,-0.15985081354243658,0.0810959707669897,-0.1421647862679668,0.020465660847284534,0.3856597271067252,0.17420536021000466,-0.5050573619139431,0.09571006551343518,-0.2798018610873041,-0.26748754247295503,0.43314658423613384,0.4281286882727578,0.781340678756982,-0.37145927725484307,-0.1035077758042234,0.5707833239194211,0.5450709405180663,0.3370114513940745,0.05081040871677612,0.38330209051199754,-0.1427909892037037,-0.19726666947794289,0.2861759542470667,0.6865728559343968,0.5364657847408241,0.6207108897848786,0.13583735050096044,0.834005655287759,-0.021662293581008924,0.014537325179035802,-0.09241246514282167,-0.37271551185648266,-0.47127500068870487,-0.17674848813350727,0.5552272809274481,0.33000442513719647,0.28154028471186343,-0.2837391043206167,-0.4649387102856493,0.613341169744018,0.6451808104136396,-0.5229093794728725,0.7077002850572428,-0.3868116465786798,0.5298440487395571
Thal_MDl_L,0.37445676063966465,-0.14292055466115008,0.562207307754251,-0.5187302356844552,0.7247922215249847,1.0,-0.39048852460132377,-0.07126906736832181,-0.15281227670677933,0.08588925006297006,0.31341631262795583,0.25589476704129427,0.6612263021301266,-0.5659855724113413,0.33906179867553426,0.5246837795623793,0.11634678925792837,0.5617289787553494,0.49980672008037913,0.40863506315608955,-0.07553161655721537,0.2761357858440599,-0.3613435247093234,0.34161657700329445,0.6392997260737642,-0.07523219089948285,0.33433724908350365,0.3530886537378229,-0.01864847994580954,0.4939023383808314,-0.4583372681203746,0.5207165511903029,-0.4503337916217732,0.64535477228312,0.5798771451320301,0.1344629883603982,0.19278942483253036,-0.17656513417547717,-0.32382898160319434,0.41586027519008134,0.18841693728359096,0.7877113853425399,0.5240368648217708,-0.0011157333601838162,0.4754184101797166,0.47370697215106533,0.3497922529809032,-0.26929751672119284,0.6070743050686387,0.5897644575819491,0.28376465967445264,-0.34565661000318915,-0.3531202481089679,0.383465900538842,0.5423020623647188,0.6092389957063952,-0.3158653584068405,-0.524024478925556,-0.12755291357870369,-0.4590618152526901,-0.41180590180772425,-0.05375591855942808,0.4766563752280278,0.2310856931857408,0.44083925493033327,-0.3595424544056771,-0.18924468775541659,0.09519692615886202,-0.21224725653321347,0.4023836921521486,0.13647358709473337,-0.29649169339777565,0.3495274296311342,-0.3532772178487402,-0.16703346946267025,0.493281154321002,0.3937063733599661,0.6475079225757971,-0.4348797156481904,-0.23008962159871968,0.44455067059931175,0.38124152126225996,0.20660288677246472,-0.0053084475750225036,0.4772657598125677,-0.23684772185324945,-0.1994471476674249,0.4574769453231439,0.5690151769223424,0.29970866495238696,0.7123186462406645,-0.0016030847401396864,0.8186755526064228,0.03962734464609414,0.10552118291767296,-0.2700431304689798,-0.31552733625327606,-0.47074087706070217,-0.5386124200428685,0.4964936031959078,0.36095841938442785,0.02621797584567829,-0.5112412903398077,-0.4689825203596374,0.5014983252128644,0.6327813898263868,-0.6508564368753303,0.767293474198053,-0.42712546408903945,0.32028903641900375
Temporal_Pole_Mid_R,-0.7196199473183577,0.02442797880647682,-0.6523559204135402,0.4171974217509374,-0.2573672719636076,-0.39048852460132377,1.0,-0.31333107005414035,-0.20798702128781008,-0.3767175353408968,-0.49401280698897393,-0.41958255391150584,-0.587576318382941,0.6030097095340909,-0.12527097493231024,-0.6280719377918963,-0.13784633805705818,-0.6099378636926367,-0.6202212603642804,-0.4883141034150375,0.24255422270452642,-0.5755477646901587,0.17432335524872822,-0.4663912882975487,-0.6788360080216592,0.3350538362072799,-0.25682579678918444,-0.5043990328735048,0.14567585526149748,-0.4464231439193806,0.45889424345776036,-0.5868087409800639,0.47302883072120294,-0.7211509920164975,-0.5757253189784598,-0.517560724158789,-0.34009100391876435,0.05086861445500471,0.09926079012958051,-0.5636653207423661,-0.20008022383186366,-0.4074284647415698,-0.7169382040533065,-0.26698502393652357,-0.71671699668378,-0.7226892111194929,-0.17854951882565803,0.4862759348839782,-0.7041834351806548,-0.41559755971517853,-0.1547989450786492,0.523047588630751,0.26945776830384427,-0.5319071925668709,-0.6312700988242683,-0.6905898490407786,0.548446482051527,0.47886753747527494,0.3664776635264696,0.3787623260431003,0.3882093707330317,-0.2667756329553465,-0.5379798069490586,-0.1894864243288767,-0.34618314396545186,0.2167465648294358,0.22593169107831093,-0.23831950610313182,0.365118663301906,-0.3613221993881847,0.030910953839614036,-0.21958654181196632,-0.5677880446527882,0.2341129705896161,0.15808892391897084,-0.7522920043077802,-0.6253938249591434,-0.42067337326300663,0.6707706090484747,0.10514466003534358,-0.14656130683386073,-0.2932620625707914,-0.37889211772400705,0.2820002836253501,-0.571671421014198,0.18396345130161468,0.12895919590906496,-0.3640989678540827,-0.05885710062136844,-0.19078410045471594,-0.6068991452438324,0.3255565393005607,-0.5121690680920096,-0.1760508858013776,-0.6310630102179657,0.2704300670805104,0.6083782939623469,0.412021044760557,0.31922004869130033,-0.28718863571188574,-0.5701906903369048,0.34020843619688174,0.4276152398548282,0.5584753551463495,-0.2885432444020446,-0.4209406061906374,0.45491701147968083,-0.2883797939486167,0.46125697244102465,-0.3463157946005653
Frontal_Inf_Orb_2_L,0.36216900995349055,0.02703502826652418,0.11205650259637914,0.17270762719071334,-0.07256458635167876,-0.07126906736832181,-0.31333107005414035,1.0,0.42940634296027314,0.5455437332365733,0.37221952654808615,-0.28774069738874647,0.4040139740936671,0.023296674827686582,-0.1781615876687194,0.2289896691266866,0.2711427872344663,-0.008363252652544957,-0.003792479049683529,0.6510742715260445,0.342483159195997,0.3944235017795593,0.0010921805010090711,0.3675509156382285,0.3297411805662708,-0.21537825932498558,0.524167374269244,0.2847580248447915,-0.1538961153872408,0.10913219013572846,0.096720976029164,-0.013447411261628002,0.4438919573976668,0.0890757964406576,-0.12607929617602626,0.01907583416960614,0.27913871715865696,0.6619340140749337,0.6451301701595656,0.46682280969679096,-0.02790991605917203,0.24396846161105112,-0.0055552626185856975,0.365124683113354,0.413391469321074,0.35979626143116594,-0.208964067317174,0.2740356394970783,0.16657161907785958,0.2637733823347703,0.2715008681873786,-0.17225413380447221,-0.07587533945229781,0.13554946226240852,0.20726511319292773,0.059821599135301974,-0.2670937143358505,0.2697322870727089,-0.14601728643894038,0.011305377643990045,0.4562941398504244,0.1529675152116137,-0.023938385676553015,-0.08412345289441253,0.20154398178580862,-0.1501314777134001,-0.21900172435189427,0.4150097183761057,0.2274966508239291,0.5359212268533187,-0.11066235908612213,0.3918158213260572,0.41299753438879455,0.40735996886945813,-0.09003226709732952,0.3191930035209146,0.0010101424896194631,-0.0011468229361224522,0.08611625944829146,-0.08187310264017549,0.24090648449142274,0.2641850447739029,0.15856652504693772,0.297687537248019,0.49042600079248694,0.10912296923402706,0.5009122815396879,0.6393887646975495,-0.07048927451813448,-0.2289176442518426,-0.054736800991146785,-0.3583127822226872,0.07741630365963859,0.2023823345834919,0.3019482493018454,-0.22877870468373307,0.18751214467065414,0.4467833975587044,-0.21248829803564992,-0.46017633345728737,0.36550403277237714,0.01068098502489111,-0.03128385142563283,0.321351271194826,0.16530319522449657,-0.33113013658817675,0.19350205653004504,0.09963784226639355,0.3606129726189295,0.27607058818331
Thal_MGN_R,0.04973132187141118,0.2838453143519339,-0.21753222810698994,0.4095835337930184,-0.12510804487953994,-0.15281227670677933,-0.20798702128781008,0.42940634296027314,1.0,0.015193916076643554,-0.013690405488961449,-0.037980087328140275,0.09783581146133094,0.17135125958426306,-0.01988565814142656,-0.2036424930994148,0.2801194900486404,-0.09307851872982811,-0.21381473005805818,0.00446812474519115,0.11970180676602211,0.1755839691651605,0.29936094712360317,-0.1784951664275358,-0.13389978862872084,-0.3170036163892216,0.11491846016411171,0.050592021737451816,0.06855681310699319,-0.005975038466008874,0.030060271251246766,-0.22321496375856772,0.2758417533642212,0.08426513940038095,-0.10977624958184005,0.1483607783114184,0.35676485124026924,0.17396668100200718,0.417084935521395,0.08136705212281672,-0.2024745361670051,-0.009652975774058067,-0.1605125803276733,0.23998773173512916,0.13676895795340988,-0.01904081994819629,-0.39525319136862314,0.3877056207781841,-0.18914553424339658,-0.2672822971863746,0.06251348497762028,0.20314989583105297,0.16731517467029788,0.0092416241235652,-0.10865106152140618,-0.06080504389010167,0.061074498571642204,0.3074786629751073,-0.031181314431856472,-0.045788727105503815,0.3668255494374974,-0.034733079723004386,-0.12482723281427277,-0.01181455353413944,0.29778058972562454,0.23364862780089476,0.013680850190701404,-0.07292563370747296,0.2972700244892792,-0.15864008887505093,-0.21939760908343203,0.18306703029069465,-0.06883329406368714,0.6045479665288163,-0.17384724212416444,0.04243703868513183,0.04733466456610143,-0.18356361441046762,0.12001733160764748,-0.16252760141984307,0.06077489963328078,0.18072810330110214,-0.060526338542116864,0.08543605402632652,-0.1086580725672273,0.37239562492625455,0.37292070777046626,0.012128553969253027,-0.1263775906022129,0.02032704229061584,-0.1485304264062272,-0.21256940581083067,-0.12474479229972506,-0.022900038503197422,0.3274606642348924,-0.011849733667587492,0.05249739239973115,0.33270422506380243,0.045028261480981525,-0.3113251246032381,0.1550026245497078,0.1008269728377418,0.1740701363208235,0.2696539878833224,-0.042269910321857104,-0.40758453201676326,0.3992203903032889,-0.07996691810447724,0.32583381316972637,0.4460061633284977
Frontal_Med_Orb_L,0.44941390843664336,-0.4858614913292511,0.4635921435760492,-0.25852972126039653,-0.29196112662252227,0.08588925006297006,-0.3767175353408968,0.5455437332365733,0.015193916076643554,1.0,0.44986072534591975,-0.13286422812254742,0.22771715781405905,-0.3263965745908025,-0.3810262609760728,0.5415109466660685,-0.1424097350421039,0.017865294682113862,0.16474302402311533,0.54189239117826,0.016279429677447475,0.6165338995099445,-0.37458556280648375,0.6621817894824389,0.4918677089232433,-0.18462838620392488,0.28458802876526196,0.1951139772690225,-0.43375314987292457,0.017930411285326592,-0.1965656282641562,0.1624137196783338,0.11486407923032857,0.08380464482358617,-0.0018910481812127432,0.09511196078257103,0.1079039421246449,0.4073598961582683,0.34229460939851514,0.45843509245704633,-0.15250312916828762,0.27566518992585015,0.30222025982477374,0.05471929841463599,0.45705715055910495,0.529866087479244,0.2352464258804506,-0.2060150262663582,0.5226760525224853,0.5215854385713729,0.03606503783350593,-0.6013341111141205,-0.3557367166799646,0.38216528536194255,0.2764828834152311,0.2955317906299863,-0.569564766545523,-0.187665416376145,-0.3870364339869798,-0.22204988955230082,0.13401630867635958,0.1073583533897894,0.2762331525751584,-0.13957080689246687,0.08522371833289656,-0.41938431471419035,-0.42421078543492086,0.5435386907783994,-0.24473615092726247,0.5082463797140386,-0.22102422272901062,0.494250953708824,0.6856545148224579,-0.07014574192652169,-0.04723755559059315,0.4362143040200859,0.18138173200212349,-0.011549762438914285,-0.2157880397480866,-0.015627444661881016,0.0036469609693561586,-0.036801145240778724,0.03785102256248709,0.0373240416502008,0.5956367199411723,-0.17977570704444085,0.08228522813524973,0.5965338245984803,-0.2771513153082654,-0.48418687166311797,0.14655299677064496,-0.21474544197506454,0.1051436186587439,0.14500643437712374,0.41833017647462234,-0.34970609950874515,-0.015953176603227547,0.09593521386601582,-0.48147854994848566,-0.20331145018996538,0.2851978978447385,-0.4846687995672445,-0.2726263233858975,-0.03230055713148646,0.012182028980793076,-0.10916744329120369,-0.19062588804059488,0.09112076305604584,-0.10605819322407684,-0.16121011173458047
