,Frontal_Med_Orb_R,OFCpost_R,Precentral_R,Thal_PuA_L,VTA_L,Vermis_4_5,Thal_PuM_L,Cerebellum_8_R,ParaHippocampal_L,Caudate_R,Thal_PuA_R,Occipital_Sup_L,LC_L,Pallidum_L,Supp_Motor_Area_L,Cuneus_R,Thal_LGN_L,Hippocampus_R,Hippocampus_L,Cerebellum_Crus2_L
Frontal_Med_Orb_R,1.0,0.22241045907549117,-0.17134458808370884,0.2991188647787454,-0.17122809133799924,0.07406895751082535,-0.014234553929078643,-0.49801070511438306,0.5000355094869563,0.062365595083717563,-0.09788844191552065,-0.1829962832344715,0.41673392489355043,0.018297023572513824,0.4940522362943895,-0.2057327283584729,0.17460619333736868,0.1377261890303159,0.472634315194987,0.3025949859193955
OFCpost_R,0.22241045907549117,1.0,0.0836321586274969,0.17677180251270655,-0.6310620471589152,0.4663808747045085,0.3597328097878123,-0.4387756916712602,0.7138053647908688,0.5400905161876004,0.11604483081610985,-0.4795984552520162,0.4727173314965591,0.5230076130407153,0.1194725337492756,-0.5534988990117963,0.17759212969196284,0.6359299748007374,0.6417973308915341,-0.17919121302135066
Precentral_R,-0.17134458808370884,0.0836321586274969,1.0,0.10493096017043968,-0.13101757305569958,0.40622639811314865,0.26088591900969105,0.23577925115969706,0.10183435277568202,0.31903448518156274,0.2684132599544529,-0.0782681120693505,-0.11534702196368893,0.08268872834516473,0.5211956941530974,0.184857587149618,0.2022653968964041,0.18693347185916445,0.12360209779234957,-0.12351585281252266
Thal_PuA_L,0.2991188647787454,0.17677180251270655,0.10493096017043968,1.0,-0.22943681857982626,0.4805045755429534,0.5703991757764227,-0.033407516421747066,0.6307761571155729,0.5407507180885203,0.5814490869614415,-0.33524858914762085,0.3954880792659186,0.5686977697526864,0.31546806930206744,-0.1867018568189001,0.4849740278697144,0.4626655479883075,0.6863984868355901,0.47762805011046766
VTA_L,-0.17122809133799924,-0.6310620471589152,-0.13101757305569958,-0.22943681857982626,1.0,-0.2239720351883472,-0.24962717219804037,0.3806120556358386,-0.6102024978261184,-0.617855397119865,-0.14367980709021883,0.6656209067937493,-0.39487746120098327,-0.6331859171274538,-0.17407139559584223,0.7786264697607107,0.08326646085333585,-0.6409951912550319,-0.5345816585707992,0.03737427931579222
Vermis_4_5,0.07406895751082535,0.4663808747045085,0.40622639811314865,0.4805045755429534,-0.2239720351883472,1.0,0.6629329173034751,0.20619266887746282,0.5207505006276618,0.5150901049681049,0.5617262613811852,-0.27362399990477215,0.24678625041909388,0.3916267706420158,0.1408208992937089,-0.0082534981424187,0.617320709518616,0.5025119516605404,0.6004262610680583,-0.11815312484638653
Thal_PuM_L,-0.014234553929078643,0.3597328097878123,0.26088591900969105,0.5703991757764227,-0.24962717219804037,0.6629329173034751,1.0,0.05814364987620704,0.42319254219152275,0.6378147153729782,0.7614899015909061,-0.2420676651902418,0.2861800532285168,0.5953258636291344,0.09599435907698084,-0.1300952818607156,0.5154345268123866,0.5627092350992177,0.5208010945062245,0.046855133540557696
Cerebellum_8_R,-0.49801070511438306,-0.4387756916712602,0.23577925115969706,-0.033407516421747066,0.3806120556358386,0.20619266887746282,0.05814364987620704,1.0,-0.3630573945970412,-0.10787991423636907,0.1470895239476436,0.18407235049984833,-0.28565795523133214,-0.18579240227937513,-0.28775284464786005,0.406502096583278,0.03739100884737826,-0.09724176968412555,-0.3333586990490063,0.027940391253344778
ParaHippocampal_L,0.5000355094869563,0.7138053647908688,0.10183435277568202,0.6307761571155729,-0.6102024978261184,0.5207505006276618,0.42319254219152275,-0.3630573945970412,1.0,0.7169397864534519,0.2349898945702635,-0.657152886387318,0.6412937857960533,0.6593234172848299,0.3254658238754673,-0.5761077227705677,0.30190922605293585,0.7640468809392345,0.9332114773457527,0.22555113040459962
Caudate_R,0.062365595083717563,0.5400905161876004,0.31903448518156274,0.5407507180885203,-0.617855397119865,0.5150901049681049,0.6378147153729782,-0.10787991423636907,0.7169397864534519,1.0,0.4408302905230243,-0.7038728576092336,0.45127879825289413,0.7333199637084014,0.1583608536435429,-0.5239909593163887,0.30797244686467945,0.8283175168042684,0.7419481353473781,0.06489825824822637
