,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_Re_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pc_L,1.0,-0.3417392481987582,-0.5129204735443086,-0.13419593860295892,-0.5562347723121629,-0.43277755710522947,0.7711033760189928,0.39758282511481235,0.12686330368602095,0.14902649505031887,-0.5070846835732049,0.35836534496332173,0.16278675360383726,0.4961777126154916,0.6702494799254232,-0.4034884587518066,-0.4088810956229462,-0.4167472892037206,-0.6554122781919949,-0.2298244087602067,-0.6751067393961877,-0.4090011865465063,-0.2811942364530008,0.2922931997528305,-0.35495719115733015
Thal_MDm_R,-0.3417392481987582,1.0,0.38903312848864013,-0.04945722215155076,0.5116001407766297,0.24486213432918028,-0.18355115564175756,-0.34404319919752735,-0.31831962056828766,-0.05669179908422214,0.1749635860886123,-0.23185784290982975,0.4312909814345815,-0.017027233823567495,-0.36182790773570295,0.3261802409546287,0.679542793289236,0.35564213329333466,0.49070094214318666,0.4455992147567355,0.4928549725322472,0.08534899926838621,0.6421004781035181,0.2726917730504024,0.4268085287023964
OFCpost_R,-0.5129204735443086,0.38903312848864013,1.0,0.06701962273985278,0.6414421752941779,0.30831496009361686,-0.5328835149717017,-0.48537275262278223,-0.11436066584199221,0.17114385158301296,0.1038939081070437,-0.378970640737616,0.17759212969196284,-0.3597661784796263,-0.667549284591861,0.4388665365532239,0.6580921195504953,0.14109806022663987,0.45947694153023744,0.24961520420400446,0.41380366258002876,0.20205770257036132,0.6753387976357951,-0.20571501848852375,0.24245452446982085
Temporal_Sup_R,-0.13419593860295892,-0.04945722215155076,0.06701962273985278,1.0,-0.4136651621765711,0.8719112195968807,-0.09189348015337165,0.4920161359267807,0.7701818773417443,0.4143765403684935,0.04768962783238918,0.33306648922265114,0.13185310498813196,-0.3557031743648096,0.06639853914089054,-0.21723304701803353,-0.23423768209087997,0.42442817373210495,-0.058228374519842536,-0.2283671286674754,-0.10581373981670142,0.7841521630679714,-0.04025259656744376,-0.2867997946393537,-0.31953693054566035
OFClat_L,-0.5562347723121629,0.5116001407766297,0.6414421752941779,-0.4136651621765711,1.0,-0.08044558462522919,-0.5249791837798082,-0.8219774102941223,-0.5579753463063988,-0.1685575244783063,0.2508665366037401,-0.5271463773875782,0.19960415574520549,-0.10747638592969262,-0.6628250972641103,0.6056780806000445,0.8093653592794531,0.1445962370265235,0.6825924015176477,0.5419305778218858,0.6592520859889242,-0.0641986722459761,0.6197548755154975,-0.02976383381952598,0.6860372582209567
Heschl_R,-0.43277755710522947,0.24486213432918028,0.30831496009361686,0.8719112195968807,-0.08044558462522919,1.0,-0.3605792096379484,0.23742229105313284,0.5195574765847991,0.26843705074976487,0.14736137747132708,0.03108154910697305,0.11341126494521112,-0.5202644331181986,-0.24843345302908199,-0.0645734782818473,0.0949263382554545,0.5259115385418448,0.28530054311202885,-0.12577815495611153,0.21295960764414892,0.8257166666461225,0.19498758693711576,-0.3603896324514505,-0.07842390878380202
Cuneus_L,0.7711033760189928,-0.18355115564175756,-0.5328835149717017,-0.09189348015337165,-0.5249791837798082,-0.3605792096379484,1.0,0.3924677253166373,0.06738559157819393,-0.01922116202014519,-0.5009474793945374,0.4075977862328321,0.11936103007996872,0.6944976675168133,0.6832751066458628,-0.49692303403895915,-0.28057765276504704,-0.22016395820393447,-0.6133856664826405,-0.040931021202936554,-0.6792646642348548,-0.37299423946185206,-0.10689091065849247,0.5299958958381543,-0.3451832822305117
Occipital_Inf_R,0.39758282511481235,-0.34404319919752735,-0.48537275262278223,0.4920161359267807,-0.8219774102941223,0.23742229105313284,0.3924677253166373,1.0,0.5620422932677688,0.21154518880018797,-0.10582928396185197,0.5645401797592822,-0.018248826912841395,0.08583467822706818,0.637874930463255,-0.5440731585219489,-0.6365090618870509,0.027271440618697983,-0.47836868280589206,-0.4069099331371274,-0.5010616556560871,0.2783499026743475,-0.4331543322456131,-0.0053931932392742845,-0.38545882509956414
Temporal_Inf_R,0.12686330368602095,-0.31831962056828766,-0.11436066584199221,0.7701818773417443,-0.5579753463063988,0.5195574765847991,0.06738559157819393,0.5620422932677688,1.0,0.5319990161078364,-0.0036964072717858287,0.49885496841626337,0.0831955087574721,-0.10877378930198954,0.32739190961266024,-0.2502158962317298,-0.3923759045674708,0.2156049064254719,-0.27158723128197537,-0.13102044928609036,-0.4001797198959306,0.5211118875469587,-0.2074581677472225,-0.1515977122978024,-0.431597049000619
Red_N_L,0.14902649505031887,-0.05669179908422214,0.17114385158301296,0.4143765403684935,-0.1685575244783063,0.26843705074976487,-0.01922116202014519,0.21154518880018797,0.5319990161078364,1.0,0.09848362071863964,0.4799691661944494,0.31426351470337444,-0.1421371002548941,0.08061292380590308,0.020947909633170888,0.0418662361982223,0.3329356367401127,-0.22913213637309582,0.029797406505888205,-0.12541160107673763,0.2541029096599961,0.20093743276794113,-0.04561883408756615,-0.24297687331119694
Vermis_8,-0.5070846835732049,0.1749635860886123,0.1038939081070437,0.04768962783238918,0.2508665366037401,0.14736137747132708,-0.5009474793945374,-0.10582928396185197,-0.0036964072717858287,0.09848362071863964,1.0,-0.01028670500690215,-0.05979569038162176,-0.2859402423376779,-0.15804435925070764,0.511593433060066,0.07446072202052939,0.2925185628388306,0.4037048284418332,0.06862171467182589,0.541980408853061,0.2805572736875327,-0.020164864324871915,-0.1878269846416901,0.20312097110290459
Thal_AV_L,0.35836534496332173,-0.23185784290982975,-0.378970640737616,0.33306648922265114,-0.5271463773875782,0.03108154910697305,0.4075977862328321,0.5645401797592822,0.49885496841626337,0.4799691661944494,-0.01028670500690215,1.0,0.26387840442318006,0.30877631719212206,0.5340133758343851,-0.3304183991414077,-0.3666029977499273,0.4073430177119239,-0.5486305718559926,0.04854072298010773,-0.38902215285942726,0.09879737226166585,-0.15924329663975248,0.22037038885226484,-0.21427953858253232
Thal_LGN_L,0.16278675360383726,0.4312909814345815,0.17759212969196284,0.13185310498813196,0.19960415574520549,0.11341126494521112,0.11936103007996872,-0.018248826912841395,0.0831955087574721,0.31426351470337444,-0.05979569038162176,0.26387840442318006,1.0,0.27759662102481136,0.10441861461842257,0.07301839734334307,0.4140971706950364,0.2996620991772483,0.036515233322540516,0.4210143354665765,0.0722763266441669,0.05737855551903374,0.5148208603332486,0.2987674259439031,0.33314494872692463
Paracentral_Lobule_R,0.4961777126154916,-0.017027233823567495,-0.3597661784796263,-0.3557031743648096,-0.10747638592969262,-0.5202644331181986,0.6944976675168133,0.08583467822706818,-0.10877378930198954,-0.1421371002548941,-0.2859402423376779,0.30877631719212206,0.27759662102481136,1.0,0.6048422518621223,-0.19517323473691806,0.001174896221260429,-0.17215794177054006,-0.3053836133163738,0.4970367038340026,-0.42119390670644724,-0.47981797274967125,0.036455436070728396,0.7086251932869718,0.12856293095920185
Vermis_9,0.6702494799254232,-0.36182790773570295,-0.667549284591861,0.06639853914089054,-0.6628250972641103,-0.24843345302908199,0.6832751066458628,0.637874930463255,0.32739190961266024,0.08061292380590308,-0.15804435925070764,0.5340133758343851,0.10441861461842257,0.6048422518621223,1.0,-0.5417677361379252,-0.5305543659282516,-0.19626309684518795,-0.5670956587085924,-0.13783369273022603,-0.657163234321638,-0.1285333254924402,-0.4011617881222222,0.27230553630790394,-0.2535996568723332
