,Temporal_Sup_R,Thal_Re_R,Paracentral_Lobule_L,Thal_MDl_L,Cerebellum_4_5_L,Thal_PuM_R,Red_N_L,Calcarine_L,Lingual_R,Angular_L,Temporal_Sup_L,Cerebellum_4_5_R,Cerebellum_3_L,Parietal_Inf_R,Cuneus_L,Vermis_3,Postcentral_R,Thal_PuL_R,Thal_MDm_R,Vermis_6,Cerebellum_8_L,Cerebellum_7b_L,Cerebellum_9_L,Calcarine_R,Pallidum_R,Vermis_7,Heschl_L,Thal_Re_L,LC_L,Lingual_L,ParaHippocampal_R,Supp_Motor_Area_R,ACC_pre_L,Amygdala_R,OFCpost_L,Insula_L,OFClat_R,Occipital_Mid_L,Hippocampus_R,Frontal_Inf_Oper_R,Thal_PuI_L,Precentral_R,Putamen_R,SupraMarginal_R,Paracentral_Lobule_R,Occipital_Mid_R,OFClat_L,Cerebellum_Crus1_R,Cerebellum_Crus2_L,Angular_R,Parietal_Sup_L,Cerebellum_7b_R,Temporal_Pole_Sup_L,Heschl_R,Supp_Motor_Area_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,ParaHippocampal_L,Vermis_8,ACC_sub_L
Temporal_Sup_R,1.0,-0.18570199738217635,-0.22859608381393173,0.08997431533827008,0.4151503330828887,0.4141149618412252,0.4143765403684935,0.13108607951398316,0.5710253141223709,-0.08228457236321426,-0.23423768209087997,0.6148560321145092,0.19640410951305473,-0.10117978024685699,-0.09189348015337165,0.18021579477920407,-0.2266350124143658,0.2878001613585422,-0.04945722215155076,0.6797419822471541,0.4861776037976816,-0.06086907713602858,0.49161019813225487,0.35972851510380566,0.3264129790446944,-0.31953693054566035,-0.06610171501333899,-0.058228374519842536,-0.0723345281796578,0.5397071328960383,0.024396008409221556,-0.010425194897580247,-0.05507250033643597,-0.21723304701803353,0.05852948705607659,-0.04025259656744376,0.5273382772838312,-0.25407737025384086,0.4082351809993397,0.7255468325127243,0.11048187929546638,0.33374534110165904,0.4872124184210488,0.5890922487377781,-0.3557031743648096,0.09630122463509093,-0.4136651621765711,0.2301846025919614,-0.4058589135323685,0.1685656857693947,-0.2454748091891252,0.3210947903956318,0.034649478712601475,0.8719112195968807,-0.31330634849010325,-0.26838498722724274,-0.33955856992117345,-0.05487230568955864,0.04768962783238918,0.15913312904074856
Thal_Re_R,-0.18570199738217635,1.0,0.0085984075474694,0.44083925493033327,0.048547796050645416,-0.005896735274368945,-0.2526507260801136,-0.0959222735953054,-0.31014241532832787,-0.18781701164546322,0.3209776130304132,-0.21491619050668995,0.2698697873978597,-0.08513506622066784,-0.17365055374675534,-0.05769144301466271,-0.006699454054411469,0.3740959886284876,0.3971189339782176,-0.21214264442225053,-0.20585527776635992,-0.11436957599760542,-0.31153011532781155,-0.3918988589875423,0.31938666954014633,0.3819699658499829,0.20276831976158963,0.5147942985169845,0.1686779681576943,-0.15448512373511053,0.33174869974648646,0.08747644097100411,0.3196819945273088,0.2351798549646939,0.23508484009230898,0.14487972761232212,0.05050327670251965,-0.18102886931754747,0.23419843406629443,-0.07965205668643825,0.017903845943947432,-0.0276823434468318,0.1542447333039255,-0.27373746899603557,0.03253375047496639,-0.3550436174965485,0.41532894040149526,-0.31640639252705177,0.21161761281204905,-0.18697703125851653,-0.09739131957934404,-0.1704986994690451,-0.30927006610117436,0.01651860814990751,0.0942553852326806,0.25040493406031644,0.1524547774756948,0.3344289912923718,0.05168462913252826,0.34841294024437336
Paracentral_Lobule_L,-0.22859608381393173,0.0085984075474694,1.0,0.07932527847773338,0.0832818300519057,0.16523905077438658,-0.028184312997182732,-0.07826252231225304,-0.12776893559715205,0.1394133425312934,0.23277531099906404,-0.06749032358033477,-0.09397791810232507,0.20169390355524572,0.08616697095944172,0.018134943391635846,0.6092373471192102,-0.12825653692011008,0.19239779327534146,-0.06819775775538241,-0.15100360963439022,0.20047485383139133,-0.09298538928214369,-0.0833207623381921,-0.11078805666817333,0.34863608429271603,0.22984919956583585,0.01855952821561491,0.09415987843935594,-0.1814694745915732,0.1409957516562112,0.6037628054335268,0.12753736732117676,0.15973018813744289,0.049641756646001546,0.23234268421451745,-0.1715229500947539,0.20268949379005877,-0.06003401181695295,-0.13998063041610181,0.130987904393873,0.487794259072692,-0.03346838269521226,0.031142453840629004,0.5379512705285163,0.01471917973207765,0.22289944355706282,0.012345353511216406,0.40468747505039426,0.10788331837128039,0.2717280537989801,0.03727778364139084,-0.13421911639887424,-0.23625276743699117,0.6405889027494562,0.46068757147476225,0.31600324518649275,0.25635075327770107,0.09291079410462824,0.04394291761281891
Thal_MDl_L,0.08997431533827008,0.44083925493033327,0.07932527847773338,1.0,0.13214709278124862,0.11634678925792837,-0.23008962159871968,-0.26929751672119284,-0.4715274319708096,-0.4503337916217732,0.4772657598125677,-0.1842606615972626,0.3937063733599661,-0.42712546408903945,-0.47074087706070217,-0.3532772178487402,-0.07553161655721537,0.32028903641900375,0.7877113853425399,-0.3613435247093234,-0.0016030847401396864,-0.448599772530306,-0.5112412903398077,-0.5623573408614294,0.7247922215249847,0.36095841938442785,0.5897644575819491,0.64535477228312,0.383465900538842,-0.21224725653321347,0.6092389957063952,0.03962734464609414,0.5894534849730511,0.3936182910818736,0.33433724908350365,0.4023836921521486,0.4964936031959078,-0.451154392299719,0.5798771451320301,0.02621797584567829,0.0504396279176849,0.13647358709473337,0.6475079225757971,-0.2472076939719982,-0.32382898160319434,-0.4348797156481904,0.47370697215106533,-0.327447877015203,-0.006548899905016927,-0.4515986126815199,-0.41180590180772425,-0.3595424544056771,-0.627721289152157,0.40634302511795684,0.09519692615886202,0.31341631262795583,0.037309113363072396,0.493281154321002,0.25589476704129427,0.7123186462406645
Cerebellum_4_5_L,0.4151503330828887,0.048547796050645416,0.0832818300519057,0.13214709278124862,1.0,0.5590340646392652,0.5626351036115473,0.06895150689041317,0.4303844497154898,-0.030944288725214875,0.28295824705558836,0.749839582828981,0.548480085183212,-0.12683933645166784,-0.059396506858718036,0.49197366174141133,-0.1114214284024387,0.35632323859685305,0.2963660227949283,0.4838607906555824,0.5876280150310691,0.22749779621098978,0.512101539956703,0.310509529913236,0.21513158393062534,0.04147281394873851,0.14712147091886343,0.07743838871897836,0.2047729060107589,0.5303035438933127,0.3808352085307574,0.07037626295819115,0.1663389935144268,0.13438304756543096,0.2951590520716694,0.3981194407281539,0.2776560980426977,-0.07980523744851815,0.3536526318431851,0.2497672102723422,0.32347772275467074,0.24543699921903261,0.3998970657980794,0.13937817871195995,0.09068491496769332,-0.10502878769360982,0.09914872995947377,-0.022876366814630435,-0.13051515909987332,-0.016193587797956918,-0.12338808449581273,0.0025558330616305192,-0.11154861944491833,0.34753635909294317,0.06519778133604037,0.026628765537728815,0.1702129975623756,0.43304912604494256,0.06510099174272077,0.28469531660155883
Thal_PuM_R,0.4141149618412252,-0.005896735274368945,0.16523905077438658,0.11634678925792837,0.5590340646392652,1.0,0.34367948611775295,0.26223823254926976,0.45686056838868055,0.08772825009207785,0.15337488876067853,0.47379834306419805,0.19152138845932987,0.10421249804110054,0.12493038300355011,0.4638700150537521,0.19296650796232165,0.5530296742342865,0.3933573624972063,0.43032251397863475,0.15241113615349197,0.3101869313857351,0.31169417097793184,0.3332646185174869,0.34362662511040704,0.14451229295417392,0.1049192852612725,0.08206728096268509,0.04658196711217529,0.5030862603284554,0.22382780413007144,0.20157663145967736,0.09825399092403882,-0.0660387812447423,0.12755318692479323,0.28911268947481666,0.07306746031710792,0.046378086146201855,0.25164225084793884,0.5666689253085558,0.5649732824082769,0.3777272456067149,0.4677368396090651,0.35861361631273825,0.16501447740956937,0.07854872726979321,-0.061580289897655585,0.4519625314294019,0.16088691497571495,0.19127986873539224,0.047795469433908666,0.37565329141910214,0.07250964167765911,0.3672220238184094,0.0909481748100189,0.2255578188273593,-0.13492783144969298,0.1948116318921711,0.200417334469011,0.07974009587482829
Red_N_L,0.4143765403684935,-0.2526507260801136,-0.028184312997182732,-0.23008962159871968,0.5626351036115473,0.34367948611775295,1.0,-0.03314726191265886,0.4732845593954312,-0.022607084834974728,0.0418662361982223,0.560668526192879,0.3250269165499809,-0.13713589631673376,-0.01922116202014519,0.24938362706584008,-0.18172721657076973,-0.02854662215237468,-0.05669179908422214,0.4384451580956944,0.46074557715739073,0.10830641268056318,0.5576219748473978,0.37559744926943256,-0.1035077758042234,-0.24297687331119694,0.0028716907619973945,-0.22913213637309582,-0.010897220449821268,0.38097025127036216,0.09480018331736673,-0.047317463891575325,-0.001441702948507009,0.020947909633170888,-0.12607141859788173,0.20093743276794113,0.2059878189241128,-0.03468113226716818,0.16533935863239935,0.20744769699139537,0.06388907031230517,0.22092058394078531,0.18995332468189888,0.23224459439825565,-0.1421371002548941,0.03710432070221331,-0.1685575244783063,0.21519212919372538,-0.16609449415063995,0.002101918181820654,-0.17250892857832756,0.29547859412185284,0.1493456516481291,0.26843705074976487,-0.09271450638424965,-0.1030009881488083,0.03505849397358334,0.09279887986145086,0.09848362071863964,-0.05451242425982146
Calcarine_L,0.13108607951398316,-0.0959222735953054,-0.07826252231225304,-0.26929751672119284,0.06895150689041317,0.26223823254926976,-0.03314726191265886,1.0,0.6451953637360184,0.8556960647070295,-0.3891070200606355,0.45208930757384935,-0.6404316023627736,0.8230413827259045,0.8699571877101936,0.7738690535458322,0.527286323880761,0.09095858253279485,-0.09799102631152146,0.3946252716902235,-0.030388051157042,0.6234208896658969,0.4094312096224633,0.7198312639354468,-0.2206997007701265,-0.3445377680639758,-0.33353624750190103,-0.5259048326316277,-0.38553649870696205,0.7478653700494314,-0.6439023723120124,-0.20247126743928306,-0.6666297003854076,-0.6222203801956758,0.04585953074049126,-0.19752858773437448,-0.6178761586005672,0.7733749685363507,-0.6375027922718934,0.5710251018358972,0.6067372823834041,-0.04832401006738301,-0.37008101753413336,0.6913151072042508,0.5363894007750996,0.8629688899687765,-0.6617420337605635,0.4135446781528634,-0.037707542617159966,0.8886548657678086,0.8128273741948994,0.25413743870102773,0.6803392188942202,-0.10650179648762671,-0.12617543431989137,-0.34278196866469396,-0.28417514065983707,-0.6128859498343818,-0.4734444665441187,-0.6431284597648838
Lingual_R,0.5710253141223709,-0.31014241532832787,-0.12776893559715205,-0.4715274319708096,0.4303844497154898,0.45686056838868055,0.4732845593954312,0.6451953637360184,1.0,0.5244416938179122,-0.4398528894667353,0.8025388102728622,-0.24619178292899327,0.4367748298873145,0.5136201114511825,0.7687640287047586,0.11015443016132523,0.15326004369750199,-0.310626755313779,0.8466369606380599,0.3318250266178898,0.6058878256222217,0.816991572658791,0.8576754419280219,-0.2309308891376176,-0.4441669037641376,-0.4440126285495773,-0.4970414335675918,-0.3086938924928977,0.8624282899072621,-0.4474964819511372,-0.09219009135924285,-0.6098239667394353,-0.5326805204859032,-0.07429622832500343,-0.20832994601079727,-0.2161458335885089,0.40069745261064443,-0.25746617560324153,0.6703120538135984,0.43364074598119406,0.1614176303513189,-0.1459864690835308,0.7044037129784173,0.2428704061795399,0.6009976428908281,-0.7188388386700107,0.5198173220660313,-0.21209262435027226,0.646214077976842,0.3774970240708419,0.5253263054705396,0.5784482675548791,0.2500999877653025,-0.20436688761601252,-0.45172102743863035,-0.2516827652244612,-0.3958732863146937,-0.2326608220056068,-0.46711148993308405
Angular_L,-0.08228457236321426,-0.18781701164546322,0.1394133425312934,-0.4503337916217732,-0.030944288725214875,0.08772825009207785,-0.022607084834974728,0.8556960647070295,0.5244416938179122,1.0,-0.24629346023458376,0.2939477064417826,-0.6950583668432702,0.8657561363253302,0.9444073113174166,0.6658955035818588,0.5941678687656884,-0.15455550965823747,-0.20557451610511088,0.2709403160596402,-0.11445197455191855,0.6807477063382654,0.36809451454592196,0.687650154556801,-0.46709395602664605,-0.33473889712162375,-0.23646806119485175,-0.6440932423388477,-0.3134937329581101,0.5750389123589802,-0.6801120486353154,-0.09819005942665053,-0.6523985856643456,-0.5519612428837726,0.0862487323510911,-0.07866435456274824,-0.7568419748651652,0.9473515584016509,-0.7517226730081795,0.36440131728086383,0.518736592978921,-0.08391497259691323,-0.5287993121159584,0.6043159563977829,0.7009072645736173,0.8673096765338173,-0.5485628091655081,0.26175426006871133,0.0669509651242323,0.8831745355341043,0.9273698505033039,0.12764460051419008,0.6750155622473196,-0.3395514285841335,0.11382690327694939,-0.22642365106578546,-0.0016495897601396746,-0.5336641985034987,-0.5556335590404804,-0.6945003054528378
