,Frontal_Sup_2_R,Thal_PuI_L,Thal_MDm_R,Cerebellum_4_5_R,Frontal_Mid_2_L,Postcentral_L,Frontal_Inf_Tri_L,N_Acc_L,Vermis_3,Thal_PuM_R,Precuneus_L,Precentral_L,Olfactory_R,Thal_MGN_R,SN_pc_L,Angular_L,Cerebellum_4_5_L,ACC_pre_R,Frontal_Inf_Oper_L,OFCmed_L,Occipital_Inf_R,LC_R,Calcarine_R,Thal_LGN_L,Pallidum_R,ParaHippocampal_L,Cuneus_R,Cerebellum_3_R,Frontal_Inf_Orb_2_L,Thal_VA_R,Rectus_R,Red_N_L,Vermis_9,Caudate_R,SN_pr_L,Thal_PuL_R,Supp_Motor_Area_L,Cerebellum_Crus2_R,Temporal_Mid_R,Temporal_Pole_Mid_L,Frontal_Inf_Orb_2_R,Frontal_Sup_2_L,Cerebellum_8_R,OFCpost_L,Insula_R,Rolandic_Oper_L,OFCpost_R,Temporal_Pole_Sup_R,Hippocampus_R,Frontal_Med_Orb_R,Thal_MGN_L,LC_L,Temporal_Inf_R,Calcarine_L,Thal_PuA_L
Frontal_Sup_2_R,1.0,-0.2351363255146353,0.42881912243004194,-0.11091702283373535,0.7340040239194886,-0.05377022549300909,0.2682627587892827,0.10584236152339246,-0.44466406204725323,0.22637144609211066,-0.22060618843289265,0.5455555379030367,0.6486230628592554,-0.242522625845273,-0.6254197187837339,-0.6038428608927213,0.19781218424558708,0.8421042559410616,0.4121108156364805,0.19752235880982677,-0.3677519601254085,0.560492108496092,-0.4189843573630705,0.22673514657832075,0.447482050661886,0.5120522351603386,-0.4448335738921865,0.5675649143780658,-0.08356670660809488,0.630549692840704,0.24885816342530928,0.1283737900656096,-0.5097956780471405,0.7324115263852305,0.36644166531479966,0.33621265528541894,0.42922998053697603,-0.11977413859666328,-0.30830060031330814,-0.4602298755624566,0.36154114646240304,0.6387166808204569,-0.14294184790157688,0.06057299390556203,0.144403046679313,0.5427898054382911,0.43924522380245873,-0.38984772385208705,0.634438304343211,0.07146663088506885,0.21300337514105852,0.17052513747081205,0.008448053134809836,-0.5490638711734898,0.30835962528516586
Thal_PuI_L,-0.2351363255146353,1.0,0.31979258580781983,0.2987063445143361,0.039497066512171754,0.49629000702556647,0.4864822921992206,0.060278601165342914,0.6181334772304885,0.5649732824082769,0.5741437610042772,0.21443948354461695,-0.32093019497811254,0.3828777877814773,0.41237628157783063,0.518736592978921,0.32347772275467074,-0.32185662741604903,0.27080927064611815,-0.008468593045343292,0.24930596444570377,-0.17733285949114827,0.35887083597617875,0.5226296987644693,0.015786661842156925,-0.06275582382326883,0.47735203335812426,-0.2465824131201924,0.48331158338141417,-0.022477591728524107,-0.03199063792323165,0.06388907031230517,0.4194411211202725,-0.021806824423259496,-0.0640004137530831,0.3184448454348054,0.16988669938906983,0.4359786336136565,0.3196920782433246,0.34095872944482475,0.006938235496517307,0.04374480068840907,0.20853401200750232,0.18549189373041727,0.1738638530108864,0.16836591695693467,-0.35183820498188495,0.14909851073001018,-0.17425311644722227,0.12659528901843115,0.4116172017448407,0.018855400645459697,0.10185725676179697,0.6067372823834041,0.44188724402286983
Thal_MDm_R,0.42881912243004194,0.31979258580781983,1.0,-0.09540006860469415,0.7048151361896192,0.2726917730504024,0.7359908713478055,0.02272922386953364,-0.08341461802192718,0.3933573624972063,0.08603707198714194,0.4455992147567355,0.38115908755491684,-0.009652975774058067,-0.3417392481987582,-0.20557451610511088,0.2963660227949283,0.47260957438101964,0.6774032199586725,0.28907325343480994,-0.34404319919752735,0.4928549725322472,-0.36273282586738304,0.4312909814345815,0.616884558437302,0.5258849901163094,-0.24653035553137315,0.42318354948229,0.24396846161105112,0.7260449365343028,0.2705042049907334,-0.05669179908422214,-0.36182790773570295,0.6129869984734755,0.22790750569648077,0.4207591704175833,0.2964304361144299,-0.13526707652611525,-0.3723352558877059,-0.4312303711797855,0.08534899926838621,0.5439565182795362,-0.27547080573749616,0.2913658350316377,-0.05667927070202251,0.6517705637707918,0.38903312848864013,-0.5427994478441296,0.4503074523219422,0.1734339552573422,0.41213251607561496,0.40040732177920607,-0.31831962056828766,-0.09799102631152146,0.5058215451847168
Cerebellum_4_5_R,-0.11091702283373535,0.2987063445143361,-0.09540006860469415,1.0,-0.3052663808179969,-0.007369286183729094,-0.1759852756273593,0.08566246181079692,0.6898066371101229,0.47379834306419805,0.16874311615776505,-0.0612742596599837,-0.019387520185130253,0.1546509762978784,0.33908822586190907,0.2939477064417826,0.749839582828981,-0.2318286653316409,-0.1728654910071342,-0.09632121199713174,0.5275575795236842,-0.4149715249824564,0.7135352934852506,0.31733425549994543,-0.03403651795079624,-0.14211009459169144,0.5072840528290377,-0.030532481312112975,-0.019124308155441742,-0.21690556877749165,-0.10663336180871581,0.560668526192879,0.5119220370490665,-0.08489122959769882,0.027212185306129486,0.17374359918096846,-0.14944241693871702,0.19583441873732396,0.6998702032405505,0.3948629672837992,0.3583247098580344,-0.4491112652443939,0.5364096193118707,0.06868195879623606,0.6502222166769263,-0.25349767606918355,-0.02720122125251359,0.6322253996848316,-0.028402780117052186,-0.18887334431880312,0.13016890080098092,-0.1563578790407204,0.7043422568761987,0.45208930757384935,-0.024850587450095413
Frontal_Mid_2_L,0.7340040239194886,0.039497066512171754,0.7048151361896192,-0.3052663808179969,1.0,0.18468404948422246,0.6991650843184021,0.2028355385960048,-0.3998312634050207,0.22095208285425283,-0.09220884763560797,0.6955153978033045,0.686656233325525,-0.13389978862872084,-0.6052729856673893,-0.47946312080434766,0.232422896993614,0.8097285442147751,0.7892215610173875,0.50124899626952,-0.636584530610727,0.6570168870936197,-0.5893052661461443,0.39224471526216254,0.4819921289972396,0.8006710268278596,-0.5596345471825255,0.6927603938763381,0.3297411805662708,0.7447705727826938,0.5844770089578637,-0.028776196151991163,-0.6380896448911506,0.7497757684270483,0.5172170406788597,0.3298110199914847,0.5364498232860656,-0.2548292730741239,-0.6378355794606763,-0.6019206584026247,0.13733398138479444,0.8397308371857983,-0.45523419483066574,0.3930744486092328,-0.12331929714645286,0.8758477102516109,0.5814226612604063,-0.7743647248986948,0.6480728135823934,0.447202167528733,0.35575494077750397,0.47585292379738836,-0.3317346954128441,-0.5495833047208034,0.6149612075364437
Postcentral_L,-0.05377022549300909,0.49629000702556647,0.2726917730504024,-0.007369286183729094,0.18468404948422246,1.0,0.5336247623732371,0.3439604876807577,0.2829511159011774,0.15722419106580043,0.7917226644083716,0.5641165304633571,-0.2509394015750016,0.06502702770393434,0.2922931997528305,0.5639272720767001,0.04973147176983655,-0.25296980103136746,0.3419584265494086,0.23715154283679,-0.0053931932392742845,-0.2067776400401065,0.19403285876068574,0.2987674259439031,-0.3035505651404828,-0.020240960106321072,0.44671661691267595,-0.274578366782774,0.44795816443510594,-0.06732948375020907,0.20878890277162826,-0.04561883408756615,0.27230553630790394,-0.21992205470721662,-0.03315483891956306,-0.1792945763544264,0.6645456859899523,0.19690522281543124,-0.055326700087954636,0.1355439308012177,-0.4316092266747579,0.38212091490977496,-0.11503564802585914,0.0808100936247174,-0.3078636826592685,0.08306686347217872,-0.20571501848852375,-0.12600990780444862,-0.3649546444921905,0.4071945967628654,-0.0161179660159489,0.06580453795123756,-0.1515977122978024,0.34728183499799503,0.1524725215122847
Frontal_Inf_Tri_L,0.2682627587892827,0.4864822921992206,0.7359908713478055,-0.1759852756273593,0.6991650843184021,0.5336247623732371,1.0,0.22844162650769737,0.02939506772488843,0.33491300999786844,0.3815246986288659,0.6039038945044543,0.2232299674326444,0.012128553969253027,-0.127462836712443,0.16401198731700214,0.18392633990738189,0.29397342144293226,0.8853286731761074,0.3829771512030424,-0.34258294767514536,0.22057777804290926,-0.21443902743612045,0.5255904254470198,0.2861759542470667,0.4686074953994331,-0.07317557004619435,0.23235901855609922,0.6393887646975495,0.4479572889661044,0.3715021014228484,-0.04319616917176215,-0.23414205753044334,0.35402258746468956,0.2041149091177691,0.30162276597464455,0.530714722952862,-0.0313588080421326,-0.366060597337574,-0.2965940223094742,-0.14053404730725919,0.6606026594807716,-0.375863320176343,0.4236168524845976,-0.11013601979593723,0.7107348672818402,0.29421599314596414,-0.5161326917239303,0.19333356025543813,0.42207639160908117,0.3190999848594933,0.3523488444146027,-0.30570060366510327,0.04330031139412377,0.5960158620484296
N_Acc_L,0.10584236152339246,0.060278601165342914,0.02272922386953364,0.08566246181079692,0.2028355385960048,0.3439604876807577,0.22844162650769737,1.0,0.23718662680084032,0.13068413143585517,0.26123081382433244,0.4536589390087174,0.12752554774200275,0.18306703029069465,0.22781123010669024,0.12090967459339055,0.29842495839026084,0.10530889887765552,0.26122413293446056,0.4300862612500534,-0.29554597907820485,-0.0845825290257117,0.24351666678713596,0.34482013011287393,-0.5050573619139431,0.2737616790774235,0.1373244494062463,0.16620883105614717,0.3918158213260572,-0.09664547145194465,0.5136513911837134,0.37441810931755426,0.05738711101501161,-0.009331756198650027,0.6084299893051826,-0.1476262119900889,0.38831885155832185,-0.06270745059636365,-0.24056064526133214,-0.08635709995478474,-0.2752169244981427,0.3793809816749028,-0.17961325889298488,0.08061061304943754,-0.14454161767987925,0.19073259562720557,0.15098934484539467,-0.2167518171448086,-0.011812366659908995,0.6743915266051813,0.14992566081911937,0.1366090817255509,0.03837403301410761,-0.13465144891001846,0.09015077730273457
Vermis_3,-0.44466406204725323,0.6181334772304885,-0.08341461802192718,0.6898066371101229,-0.3998312634050207,0.2829511159011774,0.02939506772488843,0.23718662680084032,1.0,0.4638700150537521,0.5872768558033351,0.0006981119001451448,-0.42545395915956946,0.6045479665288163,0.6908063865409528,0.6658955035818588,0.49197366174141133,-0.5310384199106742,-0.05440959027345225,-0.06290967806470271,0.4741134892381471,-0.5236439919897431,0.7534499987636868,0.3695595459172955,-0.2798018610873041,-0.25946979469251163,0.7619033382539091,-0.3737137355043115,0.40735996886945813,-0.4388012138394043,-0.13070549364393783,0.24938362706584008,0.7794193630747999,-0.35339037281917457,0.01028466231286154,0.23810425256218126,-0.05492787635025498,0.44756142853661657,0.6062322048395433,0.6197194350427084,0.004742948486072676,-0.3547919447510888,0.4135989820233493,0.10658995970639218,0.30568186508834955,-0.1790875924990703,-0.39563408748815576,0.520065568695371,-0.3770921688523606,-0.008208859201950821,0.19274639847739758,-0.1818397639162251,0.3493149260900258,0.7738690535458322,0.114977178698997
Thal_PuM_R,0.22637144609211066,0.5649732824082769,0.3933573624972063,0.47379834306419805,0.22095208285425283,0.15722419106580043,0.33491300999786844,0.13068413143585517,0.4638700150537521,1.0,0.26267457932912114,0.25630771606438757,0.06264891540411023,0.2801194900486404,0.01887792873352342,0.08772825009207785,0.5590340646392652,0.12163141248261819,0.35153642919639044,-0.10691854458676758,0.21799348385607542,0.13037881544115712,0.3332646185174869,0.6123916520791874,0.34362662511040704,0.1948116318921711,0.3069814318644028,0.0772739321692417,0.2711427872344663,0.3628940269136307,0.001985044945998166,0.34367948611775295,0.27128424976896287,0.43987756034711434,0.18122042411466788,0.5530296742342865,0.0909481748100189,0.42260002248788037,0.37873425657083315,0.1727274568523747,0.38805864502384757,0.02927718160254943,0.40592168753168734,0.12755318692479323,0.4432383742693808,0.3188763421352998,-0.05270858121802029,0.14165284197083267,0.25164225084793884,-0.13492783144969298,0.5129451355891625,0.04658196711217529,0.26965196206108377,0.26223823254926976,0.5682720440957458
