,Supp_Motor_Area_L,Thal_MDm_R,Cerebellum_Crus2_R,Thal_LP_R,Olfactory_L
Supp_Motor_Area_L,1.0,0.2964304361144299,0.0012072196691441514,0.23699808899204408,0.22386982672001907
Thal_MDm_R,0.2964304361144299,1.0,-0.13526707652611525,0.18132045156349805,0.4499891787686456
Cerebellum_Crus2_R,0.0012072196691441514,-0.13526707652611525,1.0,0.19116483678951482,-0.46106173599448724
Thal_LP_R,0.23699808899204408,0.18132045156349805,0.19116483678951482,1.0,0.19291424625379575
Olfactory_L,0.22386982672001907,0.4499891787686456,-0.46106173599448724,0.19291424625379575,1.0
