,Thal_Re_R,Paracentral_Lobule_L,Thal_LGN_L,Thal_MDl_R,Cerebellum_9_R,Temporal_Pole_Mid_L,Thal_Re_L,Cerebellum_7b_L,Vermis_9,Insula_L,Raphe_D,Precentral_L,Thal_AV_L,Frontal_Inf_Tri_L,Thal_IL_R,Insula_R,OFCpost_R,Temporal_Mid_L,Frontal_Inf_Orb_2_L,OFCant_L,Temporal_Pole_Sup_R,Cerebellum_6_L,Thal_PuL_L,N_Acc_L,Thal_LGN_R,ParaHippocampal_R,Supp_Motor_Area_L,Rectus_R,Thal_VPL_R,Thal_PuA_L,Thal_PuI_L,Temporal_Pole_Mid_R,OFClat_R,Occipital_Mid_R,Caudate_R,Amygdala_R,SupraMarginal_L,Occipital_Sup_L,Thal_MGN_L,LC_L,Occipital_Sup_R,Thal_AV_R,Thal_PuM_L,Cerebellum_10_R,LC_R
Thal_Re_R,1.0,0.0085984075474694,0.05134083234683881,-0.37070137499922984,-0.26227130634384993,-0.14088087079306447,0.5147942985169845,-0.11436957599760542,-0.23107874196584458,0.14487972761232212,0.3203046480005793,0.23567687775307736,-0.4130676710783016,0.28649151660400224,-0.002384818037726736,-0.159000732541823,0.13599042515459298,-0.009919184602142772,0.20154398178580862,0.2568464627603124,-0.3907761295381463,-0.31765267807766295,0.02171986530430599,0.02172987301683852,-0.17395038600649973,0.33174869974648646,0.0942553852326806,0.17551794796215325,-0.01874713024597189,0.3150210741082209,0.017903845943947432,-0.34618314396545186,0.05050327670251965,-0.3550436174965485,0.22498605761933607,0.2351798549646939,-0.006311750412363931,-0.29450483501322716,0.20167495557248266,0.1686779681576943,-0.20217388997403934,0.34167497880316094,0.12948600953360567,0.13810780285740276,0.3384821007819978
Paracentral_Lobule_L,0.0085984075474694,1.0,0.24145967033657675,0.12625106662614938,-0.05045617935738676,-0.05064619902596437,0.01855952821561491,0.20047485383139133,0.0853379800334811,0.23234268421451745,0.019177734609888624,0.6214598889896193,0.19059685228772322,0.37183135199637785,0.14840586691364965,-0.32895693493674444,0.031461085575369245,0.334445369640473,0.38324292450197694,0.19518228513082697,-0.2920721981746378,-0.07200625206146476,-0.3743114364874475,0.3088657349965844,-0.3909902615928707,0.1409957516562112,0.6405889027494562,0.3496366687380464,-0.036702251011046204,0.29625478104338915,0.130987904393873,-0.1676513737929786,-0.1715229500947539,0.01471917973207765,-0.01409081556632021,0.15973018813744289,0.3709149241125744,0.1539684864741506,-0.11121685685340682,0.09415987843935594,0.16113064918575132,0.13449111076105918,0.03130834812473376,-0.0025994840867935645,0.05537631850773267
Thal_LGN_L,0.05134083234683881,0.24145967033657675,1.0,0.21364597491884482,0.0785276451562733,-0.06003194151494485,0.036515233322540516,0.21577789935203143,0.10441861461842257,0.5148208603332486,0.11562984115974308,0.4210143354665765,0.26387840442318006,0.5255904254470198,0.3205886536430395,0.1511527798853377,0.17759212969196284,0.5414081438567352,0.46136478897095157,0.141867682545908,-0.08097318953792984,0.2228988123886809,0.1089413730131548,0.34482013011287393,0.305745321389413,0.2656154958124898,0.25240292652562274,0.18867746698566706,0.6442098835865872,0.4849740278697144,0.5226296987644693,-0.1424381849594973,-0.02137267154154237,-0.018397152041121866,0.30797244686467945,0.07301839734334307,0.4546949696044197,0.015413026940658723,0.5160873478709808,0.14918034673404773,0.041405974346541786,0.3998723654678286,0.5154345268123866,0.13129531485754403,0.0722763266441669
Thal_MDl_R,-0.37070137499922984,0.12625106662614938,0.21364597491884482,1.0,0.1743708542519031,0.11275207981645177,-0.2766391478638354,0.21876854366894646,0.2663777255717595,-0.005188130088450605,-0.2117029355947129,-0.016136373103390913,0.528647699447803,0.012715560103098059,0.4158215048476079,0.07438806219524852,-0.1863433391623762,0.17033275690148572,-0.09003226709732952,-0.23563155215955536,0.22827630733209867,0.2073353494974922,-0.024401086598513755,0.39412189785159213,0.1826218740992531,-0.11553512884558341,0.05794788740849553,-0.16418481309875177,0.27603430909614496,-0.19053412486759677,0.19502611246038998,0.15808892391897084,-0.12924668873742434,0.2840928027306968,-0.048640487327599825,-0.030456209138484208,0.17468649196311495,0.26045321079740014,0.0506092624338555,-0.14387642551296503,0.19622573154096346,-0.19139749872419712,0.18874895560497962,-0.13567899465709374,-0.09740975539997045
Cerebellum_9_R,-0.26227130634384993,-0.05045617935738676,0.0785276451562733,0.1743708542519031,1.0,0.5093268349182452,-0.33080121532840756,0.5304641059114588,0.580379969854647,-0.21278490779924664,-0.3378202040672647,-0.13335709069665475,0.5424937812067233,-0.29283866107111595,-0.0731157847544133,0.6740500275587925,-0.23478143845293978,0.2317306002691738,-0.07587533945229781,-0.4824291391379394,0.7083221259750209,0.8384321404256811,0.5298637147490515,0.01676588672454655,0.4272206560611722,-0.25930872243574254,-0.1877008139051979,-0.1347477833045028,0.33632324477084985,0.015837553128983994,0.17440236708957194,0.26945776830384427,0.06374536662311336,0.3905846154247549,-0.191912232228801,-0.438000824532,0.1615623862066113,0.1629696112899701,-0.08602593440230268,-0.1784362369715619,0.20622280290738418,0.37060329885594745,0.10632639506894255,-0.2782146108206744,-0.49747282846959817
Temporal_Pole_Mid_L,-0.14088087079306447,-0.05064619902596437,-0.06003194151494485,0.11275207981645177,0.5093268349182452,1.0,-0.5229791927829753,0.588029289805269,0.7722774998709014,-0.49726792706885925,-0.7006263419121689,-0.2275618751878651,0.4318447475777947,-0.2965940223094742,-0.15078638911149467,0.20967929604877272,-0.709151722156307,0.16139623535257855,0.04648976184722459,-0.7282232138680728,0.66038291960442,0.41757430113989674,0.31877404372036067,-0.08635709995478474,0.17778698678111424,-0.6046453987646667,-0.17760394740297009,-0.4336327033629922,0.20644711813381025,-0.1377661526890101,0.34095872944482475,0.40858092203955354,-0.4607453818222718,0.6211546211601386,-0.5340349431686935,-0.5687091131104283,0.2688405129613107,0.5039495224049236,-0.14162611775830908,-0.4281456038527444,0.6235059669856797,0.23202798546583087,-0.2727801589657246,-0.6719483731571654,-0.5588188617017065
Thal_Re_L,0.5147942985169845,0.01855952821561491,0.036515233322540516,-0.2766391478638354,-0.33080121532840756,-0.5229791927829753,1.0,-0.38799719498690616,-0.5670956587085924,0.3017804442091232,0.7409052788248347,0.26662390342881764,-0.5486305718559926,0.2665719771492731,0.1882176467333399,-0.07946664502083754,0.45947694153023744,-0.27056667676999646,0.0890757964406576,0.6784781064128683,-0.6461647195294852,-0.5237405622933923,-0.03885676268117436,-0.054690716579757326,-0.20151010982397893,0.7305921096771234,0.11496622471390844,0.4915999315984441,-0.01266922362587943,0.5000856201940748,-0.1315219331660151,-0.7211509920164975,0.4809257453125091,-0.7094792279782154,0.6742442791367124,0.5118155806283585,-0.30696845210779694,-0.6648425843936503,0.3041007834603953,0.48015580430661325,-0.6756831996160083,0.22435053172069197,0.31830990844230234,0.2834780940502318,0.7467810003196196
Cerebellum_7b_L,-0.11436957599760542,0.20047485383139133,0.21577789935203143,0.21876854366894646,0.5304641059114588,0.588029289805269,-0.38799719498690616,1.0,0.7813807871262481,-0.11184190595131303,-0.5066667734800585,0.12266153675176408,0.4240751671953258,0.0644098732962899,-0.0035088285538586446,0.046517562006870884,-0.4552716937694394,0.6165915869447122,0.44634769924124834,-0.5545701431458765,0.4130543131941704,0.5423510038093363,0.21867936677471939,0.2628843331041875,0.0849821324778018,-0.39453863549023455,0.14109351309011386,-0.08278439127687927,0.4304965375372156,0.14654866800352262,0.5058590756076266,0.2070412028918714,-0.591840731497212,0.5655296045581785,-0.4470078886637761,-0.44468994964218367,0.6021387384078006,0.49439253986021386,0.013831700097938347,-0.13710470967968402,0.5893180636222385,0.391733078633586,-0.07985554094364856,-0.5732854950670224,-0.545933601153774
Vermis_9,-0.23107874196584458,0.0853379800334811,0.10441861461842257,0.2663777255717595,0.580379969854647,0.7722774998709014,-0.5670956587085924,0.7813807871262481,1.0,-0.4011617881222222,-0.7608565348434067,-0.13783369273022603,0.5340133758343851,-0.23414205753044334,-0.030400634940964438,0.11481303279909479,-0.667549284591861,0.4039906104728722,0.17270762719071334,-0.7739541089359273,0.6699056153296402,0.5317728835503971,0.2910263874165508,0.05738711101501161,0.15224915148751256,-0.638323966741719,-0.08231969661153302,-0.362159808880907,0.3027736930954975,-0.09476942356936609,0.4194411211202725,0.4171974217509374,-0.5686492292748903,0.7497155114691126,-0.5740967630217577,-0.5417677361379252,0.4331542149144146,0.6299835812100093,-0.10698278889819257,-0.40499486925558975,0.7324378439074795,0.2680406002250636,-0.20821764411365573,-0.70964395718712,-0.657163234321638
Insula_L,0.14487972761232212,0.23234268421451745,0.5148208603332486,-0.005188130088450605,-0.21278490779924664,-0.49726792706885925,0.3017804442091232,-0.11184190595131303,-0.4011617881222222,1.0,0.4984158415515085,0.5237596239634864,-0.15924329663975248,0.7900790762733996,0.186319069229267,0.012182957026990685,0.6753387976357951,0.535075176687552,0.5359212268533187,0.5489698765209234,-0.5224491251077784,0.03792327011927541,-0.052850482855219594,0.28177337976773265,-0.009101471835333223,0.5115633298673455,0.3937747571206505,0.49360675311824653,0.3699059455969741,0.481817088489002,0.16556150343444467,-0.3613221993881847,0.13795364780717131,-0.30261037874526026,0.5029353975213046,0.26791691824480013,0.330719117556964,-0.18803682706339844,0.32929223028892524,0.4225409045021518,-0.26227782604560607,0.24922998575889252,0.6136785646494485,0.41909680274451067,0.27582650096886796
Raphe_D,0.3203046480005793,0.019177734609888624,0.11562984115974308,-0.2117029355947129,-0.3378202040672647,-0.7006263419121689,0.7409052788248347,-0.5066667734800585,-0.7608565348434067,0.4984158415515085,1.0,0.34817228423007157,-0.4378933040336057,0.27146471648718573,0.26259948518803,-0.043752622651541756,0.6870360212155078,-0.1946046734076985,-0.0055552626185856975,0.8620182737249795,-0.719837158518942,-0.4184696201834741,-0.11806174421647803,0.12998123334073847,-0.17205670441262164,0.8781188587645973,0.14006399929813404,0.5973660895943109,-0.042089763166393804,0.42281014488230045,-0.29356697489246536,-0.7169382040533065,0.6291787652616806,-0.8826197751351975,0.7528095310831463,0.6487194776798132,-0.38164841417799356,-0.8221972832385932,0.3101018476653543,0.584396005176682,-0.8583858411565025,0.028192310361079952,0.36573889996668846,0.654334150610579,0.7535677738390195
Precentral_L,0.23567687775307736,0.6214598889896193,0.4210143354665765,-0.016136373103390913,-0.13335709069665475,-0.2275618751878651,0.26662390342881764,0.12266153675176408,-0.13783369273022603,0.5237596239634864,0.34817228423007157,1.0,0.04854072298010773,0.6039038945044543,0.10600369427488485,-0.22361845972005862,0.24961520420400446,0.44101843804237056,0.49744782007242544,0.4812199025625643,-0.48747435099764846,-0.11057149542119042,-0.22765237417056008,0.4536589390087174,-0.3712933115962515,0.42812728340141076,0.8743263296488138,0.5560660916305588,0.21247586117966316,0.5389347621212027,0.21443948354461695,-0.44099663401753453,0.03147320172826957,-0.3410129956824361,0.3839609701169333,0.3980735410060512,0.4182296421697859,-0.23739454635585747,0.2137212758024472,0.2854743873708064,-0.17920087612412736,0.31254760932877235,0.24338611546492456,0.25679681592706577,0.2137684601274526
Thal_AV_L,-0.4130676710783016,0.19059685228772322,0.26387840442318006,0.528647699447803,0.5424937812067233,0.4318447475777947,-0.5486305718559926,0.4240751671953258,0.5340133758343851,-0.15924329663975248,-0.4378933040336057,0.04854072298010773,1.0,-0.13826626853742308,0.21283079175119124,0.3574151714861905,-0.378970640737616,0.26282461086702363,0.011305377643990045,-0.46249441255627577,0.6218006847354745,0.5512051843889437,0.30225386674407323,0.10101353909990206,0.3423819011460057,-0.31652865361859134,0.06348682425306824,-0.3795781729698885,0.36878959585405174,-0.04000261519257996,0.27517561423685155,0.3787623260431003,-0.1377193470752574,0.49975577750199157,-0.1543707774474214,-0.3304183991414077,0.2359059206530066,0.35881739584874567,0.06928687672695745,-0.32939523335104703,0.4146671529004369,0.18239637417273555,0.05814947163317348,-0.21990505869117385,-0.38902215285942726
Frontal_Inf_Tri_L,0.28649151660400224,0.37183135199637785,0.5255904254470198,0.012715560103098059,-0.29283866107111595,-0.2965940223094742,0.2665719771492731,0.0644098732962899,-0.23414205753044334,0.7900790762733996,0.27146471648718573,0.6039038945044543,-0.13826626853742308,1.0,0.19453059767595757,-0.11013601979593723,0.29421599314596414,0.5617927023556188,0.6393887646975495,0.36156921323269164,-0.5161326917239303,-0.1278326729959715,-0.08502358088608944,0.22844162650769737,-0.1385237919333843,0.3697087348464536,0.530714722952862,0.3715021014228484,0.428401927181779,0.5960158620484296,0.4864822921992206,-0.3640989678540827,-0.12200519376569259,-0.11157462976894653,0.35402258746468956,0.16042881185319102,0.6127622468459718,0.05409436262053553,0.3190999848594933,0.3523488444146027,0.005445303231883096,0.4134176092721544,0.5521755479398849,0.11633583030650335,0.22057777804290926
Thal_IL_R,-0.002384818037726736,0.14840586691364965,0.3205886536430395,0.4158215048476079,-0.0731157847544133,-0.15078638911149467,0.1882176467333399,-0.0035088285538586446,-0.030400634940964438,0.186319069229267,0.26259948518803,0.10600369427488485,0.21283079175119124,0.19453059767595757,1.0,0.02402476874017399,0.028477140648369283,0.04841293239883382,-0.08412345289441253,0.14770374869578418,-0.15368176700916872,-0.17643029680362834,0.1360577304972428,0.10593383830585773,-0.019361115525499732,0.36050530044879975,-0.0022207195472556266,-0.054444569273881784,0.35596594461860454,0.2739494507852055,0.15747329794846426,-0.1894864243288767,0.17706566544002983,-0.1548865787589208,0.4908917535263404,0.2136363365820518,-0.06254551011558829,-0.18386461527753709,0.3693603929522023,0.14516354557106168,-0.22468251270216558,0.1799600333327323,0.4595860788052969,0.06430644619593424,0.44333729504572617
Insula_R,-0.159000732541823,-0.32895693493674444,0.1511527798853377,0.07438806219524852,0.6740500275587925,0.20967929604877272,-0.07946664502083754,0.046517562006870884,0.11481303279909479,0.012182957026990685,-0.043752622651541756,-0.22361845972005862,0.3574151714861905,-0.11013601979593723,0.02402476874017399,1.0,0.050763055362715304,-0.05558892485268738,-0.1538961153872408,-0.19401187375309756,0.5750118334480037,0.5679430555937199,0.6950658477508936,-0.14454161767987925,0.611346469103708,-0.001646747620591691,-0.3256187950066965,-0.12897326662507394,0.4521045219299686,0.09891970128198965,0.1738638530108864,0.14567585526149748,0.43908175412306993,0.1254814490276481,0.23896255648120698,-0.25278919759858237,-0.022766145922515385,-0.06025548834396569,0.19563007451264305,-0.08349340438436238,-0.04256817061041159,0.4216094999665839,0.42922580931254317,-0.0338624003218334,-0.16095461579758502
