,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_Re_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Sup_2_L,Thal_IL_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_L,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,Raphe_D,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_Re_R,Postcentral_R,Cerebellum_10_L,Lingual_L,SN_pr_R,Thal_VA_L,LC_L,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,N_Acc_R,Olfactory_L,Thal_MGN_R,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuI_R,Temporal_Mid_L,Thal_VPL_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,Thal_LGN_R,Hippocampus_L,Thal_PuL_L,Vermis_3,Cuneus_R,Thal_MDm_L,OFCmed_R,Thal_AV_R,Temporal_Pole_Sup_L,Thal_MGN_L,Calcarine_L,Occipital_Mid_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_PuA_R,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_4_5_L,Vermis_10,Thal_PuM_L,Olfactory_R,Thal_VL_R,Putamen_R,Precuneus_R,Putamen_L,Cingulate_Mid_R,Temporal_Pole_Mid_L,VTA_R,Thal_LP_L,SN_pr_L,ACC_pre_R,Frontal_Mid_2_R,Cerebellum_3_L,Fusiform_R,Occipital_Mid_R,Cerebellum_8_R,Occipital_Inf_L,Cerebellum_Crus1_L,Parietal_Inf_L,Thal_PuI_L
SN_pc_L,1.0,-0.3417392481987582,-0.5129204735443086,-0.13419593860295892,-0.5562347723121629,-0.43277755710522947,0.7711033760189928,0.39758282511481235,0.12686330368602095,0.14902649505031887,-0.5070846835732049,0.35836534496332173,0.16278675360383726,0.4961777126154916,0.6702494799254232,-0.4034884587518066,-0.4088810956229462,-0.4167472892037206,-0.6554122781919949,-0.2298244087602067,-0.6751067393961877,-0.4090011865465063,-0.2811942364530008,0.2922931997528305,-0.35495719115733015,-0.7516725103683134,-0.5008393297780424,0.7368141714566935,0.5560451807457808,0.4551147563817782,0.2139505603785096,-0.2582301025697255,0.7791292951657578,-0.6059719633929813,-0.12924517212155293,-0.3757071030828222,0.3991388864774151,0.24304778928145626,-0.35504083113028895,0.4791864958165927,-0.3801054835230234,-0.21686614628837983,-0.32013819523179454,-0.17813864935571794,-0.36794329131308057,0.6951059189215024,-0.3956951619666865,-0.489559476788614,0.7074352458246592,0.30446187354089005,-0.662888077598439,-0.37579172472203864,-0.7285789332931334,-0.013680349776441041,-0.6377896488585536,-0.18384788226690243,0.26458225406265024,-0.17859383144007682,0.37731795126322526,-0.008408210282409673,0.49831789710230184,0.43753138509178013,-0.603247292788069,-0.4079166264794545,-0.3457046116362112,0.18126156292169077,-0.2254496927008582,-0.33436480803604407,-0.6912175319809761,0.3082723333903272,-0.3487043409515788,-0.29190857846027735,0.08738988779110156,0.37834004766138546,0.20062515336126135,-0.01032544664095354,0.5249270403009755,-0.10061480974135457,-0.0019284851382152773,0.22652663561930664,-0.48800748498771856,0.04377178866310325,0.6908063865409528,0.7291275882151451,-0.34379896542915356,-0.3220137918996843,-0.1128332812696314,0.696644044855567,0.002365879016625917,0.7196260719161396,0.7427191201765218,0.160779522077783,-0.646004942938198,-0.1418448481270364,-0.18841654125921253,0.6714659776942622,-0.5862648951218192,0.057949448387483456,0.6190891977732454,-0.3065871295681744,-0.7301959901398081,-0.12295339715530836,-0.6332905904651265,0.4547414371448223,-0.5383408347739949,-0.04733061659537844,0.5672291096840529,0.20399961295459804,-0.5431071381903299,-0.2065552996887046,-0.7202753709398092,-0.5668303763433958,-0.5401346999893835,0.03627273208933728,0.7042124917211952,0.15275531321598168,0.7428916557411134,0.4714709542266827,0.6336501103457494,0.41237628157783063
Thal_MDm_R,-0.3417392481987582,1.0,0.38903312848864013,-0.04945722215155076,0.5116001407766297,0.24486213432918028,-0.18355115564175756,-0.34404319919752735,-0.31831962056828766,-0.05669179908422214,0.1749635860886123,-0.23185784290982975,0.4312909814345815,-0.017027233823567495,-0.36182790773570295,0.3261802409546287,0.679542793289236,0.35564213329333466,0.49070094214318666,0.4455992147567355,0.4928549725322472,0.08534899926838621,0.6421004781035181,0.2726917730504024,0.4268085287023964,0.4503074523219422,0.27876115388450806,-0.183362163912963,0.08603707198714194,-0.18443727230977283,-0.3354301664391727,0.4207591704175833,-0.28071624571462955,0.5258849901163094,0.2964304361144299,0.16404983265047257,-0.3723352558877059,0.24396846161105112,0.5439565182795362,0.3267168788481006,0.5789872501138345,-0.05763704609194117,0.6894338418406373,0.18132045156349805,0.19692907453428504,-0.19043853338765696,0.5966991460966318,0.6361880217310949,-0.21825712197241098,-0.2117051088691077,0.7260449365343028,0.6592190827078898,0.4548321829550634,0.1734339552573422,0.7687273752717706,0.2852219072607979,-0.4557753020106336,0.3971189339782176,0.1161990882356801,-0.12869692635220056,-0.022956359593069756,-0.15504821597934057,0.7259827241973374,0.40040732177920607,0.2705042049907334,0.06377020159021068,0.4224854284706456,0.4153161031451149,0.4499891787686456,-0.009652975774058067,0.5146393900992796,0.28907325343480994,0.31538335264230943,0.2497733563708464,0.40192040582718686,0.5804102837283892,-0.5427994478441296,0.19239779327534146,0.17521319481335385,-0.07199859445866798,0.635842699504898,-0.07375682860618803,-0.08341461802192718,-0.24653035553137315,0.8641498583728457,0.4471859015693741,0.37341634818281183,-0.4621921846401857,0.41213251607561496,-0.09799102631152146,-0.14524701947760624,-0.3230063588016034,0.5978693622436967,0.5931885364504583,0.12214675277700733,-0.13523269898050408,0.513084485837063,0.2963660227949283,-0.4692928879164256,0.69022457827753,0.38115908755491684,0.6295139343841357,0.6136757632057146,0.1384372625021228,0.7345395367914617,0.5175891330474609,-0.4312303711797855,-0.1631032595036525,0.48586600694303955,0.22790750569648077,0.47260957438101964,0.6405504404744009,0.37487012376039774,-0.1857823920241348,-0.32190286148979963,-0.27547080573749616,-0.30941260845765933,-0.1045469091729468,-0.03671955562842224,0.31979258580781983
OFCpost_R,-0.5129204735443086,0.38903312848864013,1.0,0.06701962273985278,0.6414421752941779,0.30831496009361686,-0.5328835149717017,-0.48537275262278223,-0.11436066584199221,0.17114385158301296,0.1038939081070437,-0.378970640737616,0.17759212969196284,-0.3597661784796263,-0.667549284591861,0.4388665365532239,0.6580921195504953,0.14109806022663987,0.45947694153023744,0.24961520420400446,0.41380366258002876,0.20205770257036132,0.6753387976357951,-0.20571501848852375,0.24245452446982085,0.6359299748007374,0.7504087309951555,-0.5571196672583525,-0.39931118729796944,-0.36842744506628977,-0.24957466650281665,0.05997312713013718,-0.5963718007776695,0.7138053647908688,0.1194725337492756,0.489844359328951,-0.49729979006811664,0.09941456425269674,0.35036947015710035,-0.28342571106060793,0.5766351022057703,0.4912100581036272,0.30270044394329215,0.062020575020290764,0.2916190236084801,-0.4795984552520162,0.27966163476759026,0.5385818686907003,-0.5345365975446357,-0.5894266005870265,0.49741400950632697,0.28500727234596396,0.6870360212155078,0.22241045907549117,0.5230076130407153,0.55501883767405,-0.43616333758703113,0.13599042515459298,-0.3179149655976149,0.49773940710141296,-0.22886687435722491,-0.2219470657157229,0.5840032890681889,0.4727173314965591,0.5414764802509275,-0.20262650371445057,0.5511898769918988,0.004399333088165717,0.7910060926515762,-0.34640471011285145,0.24559783414544356,0.45330140084686554,0.023874141885735743,0.07113813909297374,-0.06372287960996253,0.08987252482193879,-0.506550554736787,0.031461085575369245,-0.17919121302135066,0.011270304097529599,0.6417973308915341,-0.2431608960019891,-0.39563408748815576,-0.5534988990117963,0.36621816084066255,0.6260774417443586,-0.04823636495035322,-0.6290820357397865,0.16577983776025748,-0.5558288169196716,-0.4539175169081028,-0.5466977338530107,0.6257778793339384,0.11604483081610985,0.059209203231025916,-0.4815870536253005,0.7754705509121173,0.3486498786401329,-0.4185540150237256,0.3597328097878123,0.7421336611469594,-0.04349145775887801,0.5788815888021825,-0.34253867194747883,0.46324967732267136,-0.08456404078078755,-0.709151722156307,0.25453115992214953,0.4146663212137503,0.44908210663171994,0.6467657848028804,0.42298766429144874,0.6656300030961065,-0.03608007001575177,-0.5706105040440856,-0.4387756916712602,-0.43865061836626906,-0.4760969823676813,-0.3669679185523052,-0.35183820498188495
Temporal_Sup_R,-0.13419593860295892,-0.04945722215155076,0.06701962273985278,1.0,-0.4136651621765711,0.8719112195968807,-0.09189348015337165,0.4920161359267807,0.7701818773417443,0.4143765403684935,0.04768962783238918,0.33306648922265114,0.13185310498813196,-0.3557031743648096,0.06639853914089054,-0.21723304701803353,-0.23423768209087997,0.42442817373210495,-0.058228374519842536,-0.2283671286674754,-0.10581373981670142,0.7841521630679714,-0.04025259656744376,-0.2867997946393537,-0.31953693054566035,0.4082351809993397,0.025530326884028565,-0.2454748091891252,-0.21451760285332852,0.5890922487377781,0.6797419822471541,0.2878001613585422,-0.08894744321223869,-0.05487230568955864,-0.31330634849010325,0.23844398619912438,0.6936859867718291,-0.28897774289278444,-0.3866517215929915,0.060972031840929045,-0.3489981272733496,0.5913459803631671,0.020202000777625434,0.18041839670940416,0.8636966729902128,-0.0775811625816336,0.37700849643905837,-0.1592929881276295,-0.10117978024685699,0.2301846025919614,0.058848691037754156,-0.21827389316168258,-0.028437879849308165,-0.33955856992117345,0.058842123673013814,-0.26809035433603406,0.3747661660183084,-0.18570199738217635,-0.2266350124143658,0.290982877641407,0.5397071328960383,0.40673218236078673,0.23128406909014018,-0.0723345281796578,-0.12220832055520894,0.7255468325127243,0.02670430840108075,-0.10075704146251552,0.05684749321569235,-0.06992158720364172,-0.26838498722724274,-0.11909527752594687,0.0781145007458047,-0.15673085969182554,0.34803304227187815,0.3472767606932321,0.536137311137161,-0.22859608381393173,-0.4058589135323685,0.552120669605177,-0.08219992490858859,0.6091253832801901,0.18021579477920407,0.10271819596472755,0.2361335286956418,-0.3911097902837598,0.39018660139885736,0.034649478712601475,0.08635220644009216,0.13108607951398316,-0.25407737025384086,0.3210947903956318,0.024396008409221556,0.36532495639860346,-0.010425194897580247,-0.32629675190740903,-0.1850979130950992,0.4151503330828887,0.4789629863826637,0.422283339781563,0.26965512435264705,0.3191809935485719,0.4872124184210488,-0.04811024068515763,-0.029060084103293544,0.11526580545350097,0.15762010054267583,0.3479045895872445,0.15566955914260489,-0.09880167265364294,0.07952290709681474,0.43105794866297353,0.19640410951305473,0.7949927173518764,0.09630122463509093,0.47758292467703345,0.05246627075845059,-0.041102455372630804,-0.1585665148394142,0.11048187929546638
OFClat_L,-0.5562347723121629,0.5116001407766297,0.6414421752941779,-0.4136651621765711,1.0,-0.08044558462522919,-0.5249791837798082,-0.8219774102941223,-0.5579753463063988,-0.1685575244783063,0.2508665366037401,-0.5271463773875782,0.19960415574520549,-0.10747638592969262,-0.6628250972641103,0.6056780806000445,0.8093653592794531,0.1445962370265235,0.6825924015176477,0.5419305778218858,0.6592520859889242,-0.0641986722459761,0.6197548755154975,-0.02976383381952598,0.6860372582209567,0.5509902605599039,0.5589646523893838,-0.46024070791283017,-0.20781604971149012,-0.7395081788973444,-0.5653254231863745,0.21845497354069657,-0.6247954384103055,0.8323898586187161,0.3485258224248602,0.4737238322934821,-0.8545883514437166,0.35979626143116594,0.768848659966609,-0.3633349341935094,0.7956702833758024,0.05906275549420992,0.47261224856609224,0.15961586716264378,-0.03496868229930717,-0.6393543281876838,0.31987365233542214,0.7979333024735664,-0.5151055128537692,-0.5816770344261812,0.5922071038698684,0.6167558988850449,0.8135625629522545,0.49674718416315294,0.5938692570638503,0.6020184319029029,-0.5748976045752502,0.41532894040149526,-0.19937630575994736,-0.013181532083369453,-0.5660400791887968,-0.39136168588038356,0.5411274665593307,0.49592876612064796,0.6343776605586507,-0.5488550021908817,0.5325993445671308,0.29308588496006116,0.7890100692699883,-0.01904081994819629,0.655259578255221,0.5429932673269382,0.1614095444750287,0.048857906600378885,-0.08746656631847058,0.089346964642835,-0.8907707958751915,0.22289944355706282,0.38076022208549837,-0.38208343195994676,0.8418913699726979,-0.32515408147710634,-0.46427117552308944,-0.6744352988553052,0.3350026665801901,0.686617941704344,0.027945280590574332,-0.7069247640057378,0.3177536602713722,-0.6617420337605635,-0.41794140510274547,-0.4969921705100732,0.7480990700839836,0.07500709869442365,0.2385947726469501,-0.39452444825575217,0.8871945261831755,0.09914872995947377,-0.8041628744284239,0.23557798314910003,0.6442837625659483,-0.0015565677053216613,0.4218941145226536,-0.24830391544466518,0.6824613465794614,0.05824667164317581,-0.663109514959124,-0.09971801397244932,0.30774316124891854,0.6289833198008166,0.7683330975400171,0.33128128656122313,0.6573795257238392,-0.4840025934720327,-0.7890907730792578,-0.602197670980195,-0.6925199105984965,-0.41686411258435124,-0.38733945628811767,-0.202198378922134
Heschl_R,-0.43277755710522947,0.24486213432918028,0.30831496009361686,0.8719112195968807,-0.08044558462522919,1.0,-0.3605792096379484,0.23742229105313284,0.5195574765847991,0.26843705074976487,0.14736137747132708,0.03108154910697305,0.11341126494521112,-0.5202644331181986,-0.24843345302908199,-0.0645734782818473,0.0949263382554545,0.5259115385418448,0.28530054311202885,-0.12577815495611153,0.21295960764414892,0.8257166666461225,0.19498758693711576,-0.3603896324514505,-0.07842390878380202,0.655377848442942,0.18830116019664478,-0.4885099219072382,-0.3923555136751267,0.31017362463877163,0.41971029894485856,0.4215007670239941,-0.3866795201491152,0.22351489477552805,-0.22101461159634572,0.3210752912969716,0.38030549365686495,-0.265126214055447,-0.14847181863677864,0.027020455201505204,-0.08869994445582025,0.5468403385229971,0.24128025213919554,0.20925801083451792,0.9069508879136032,-0.324962420462737,0.6267940061937798,0.11994416430258524,-0.3574085500299387,0.047028133968602955,0.3508676333192528,0.06341352922330157,0.2937677695398839,-0.2891372329508882,0.421989303573751,-0.15450726352736527,0.10592315287878525,0.01651860814990751,-0.34968525999266986,0.20292430189508628,0.3256993428686288,0.17094589270004906,0.5238875086916124,0.14570423512101718,0.005564814067833695,0.5905012317135482,0.13724027611822087,0.1460787864768555,0.3525512816147999,-0.16966685083891747,-0.06424667786603439,-0.00038561526498745343,0.052359338996621964,-0.20295821000774164,0.33259072107227683,0.42528232942187744,0.18986975590968436,-0.23625276743699117,-0.3295699337821333,0.4365158077554175,0.17775424646076046,0.5613466701782257,-0.07264018679355559,-0.222020737058817,0.4541131443634811,-0.1253543831651173,0.4262096475536438,-0.2751301940649898,0.1474822233520543,-0.10650179648762671,-0.47333407136492195,0.136989377269789,0.32390172339336204,0.46950367394283826,-0.011971130445713008,-0.5295202981168109,0.11874004996930866,0.34753635909294317,0.11764306168247995,0.6097139957107404,0.5065787293740633,0.42294073503823787,0.7356059712152703,-0.21802931822272045,0.31640303155254873,0.2131838471413745,-0.14976712366081535,0.17253884101662,0.36456535579503785,-0.014269788212020964,0.3720573821254259,0.6439814121992766,0.4056368173165265,0.5783792099954986,-0.19863301665498131,0.27019027146141245,-0.2185576675464169,-0.20564261898583586,-0.3604896738486599,0.03981351003187464
Cuneus_L,0.7711033760189928,-0.18355115564175756,-0.5328835149717017,-0.09189348015337165,-0.5249791837798082,-0.3605792096379484,1.0,0.3924677253166373,0.06738559157819393,-0.01922116202014519,-0.5009474793945374,0.4075977862328321,0.11936103007996872,0.6944976675168133,0.6832751066458628,-0.49692303403895915,-0.28057765276504704,-0.22016395820393447,-0.6133856664826405,-0.040931021202936554,-0.6792646642348548,-0.37299423946185206,-0.10689091065849247,0.5299958958381543,-0.3451832822305117,-0.7343802116088262,-0.6362755655882312,0.9179083599300351,0.8158325941404798,0.5721062272895946,0.25133065934428006,-0.08974484773347949,0.9354580460977443,-0.5417688521438144,0.0874141632827959,-0.5030220039798738,0.44635037049319465,0.4467833975587044,-0.20405415988293657,0.5905422773223057,-0.297709192741856,-0.3006304791346333,-0.1922531738549247,-0.15300314085876782,-0.3080712652476591,0.8423741004031364,-0.3098275360579195,-0.38601859889141726,0.874403932874094,0.2968634618977712,-0.6087119501582011,-0.09054897805349192,-0.7508761662437744,-0.007568613116652572,-0.5232101683257415,-0.1650292452864482,0.1871401682391676,-0.17365055374675534,0.5922411612500359,-0.14340004875316933,0.5557243794302279,0.28750714738913524,-0.5099926599386423,-0.35057215412698106,-0.28517736817505923,0.3465185819909239,-0.1567287307305249,-0.06957348728337505,-0.6004085022018557,0.33270422506380243,-0.171006571523598,-0.16177020213495852,0.0233172028511731,0.5213858820649176,0.27421876508770193,0.14441499041286793,0.47100318965098475,0.08616697095944172,0.08098693858418068,0.04062005161889601,-0.44235147124290297,0.1440775291286316,0.6589736610614702,0.8710680791615069,-0.19208267452506617,-0.21471225776949954,0.17339833042527478,0.6923386783872545,-0.05214256356871711,0.8699571877101936,0.9308924955798947,0.1594990381768342,-0.664970859042505,-0.017602783883557675,-0.08126449414373983,0.8372206024656391,-0.5528422535847743,-0.059396506858718036,0.5770261552232506,-0.2134889524052237,-0.7044048037601399,0.1293293122049523,-0.49786230643090273,0.6665798074508759,-0.32333056895165396,0.284935156271864,0.573406612716921,-0.07663559338477967,-0.5304040059348453,-0.34487200299396426,-0.687191790291126,-0.37473871387493235,-0.6719462397483712,0.00533030028740452,0.8228732875719171,0.0873852280001763,0.8146954169137628,0.43315965932278744,0.8684891716357725,0.5502909116882673
Occipital_Inf_R,0.39758282511481235,-0.34404319919752735,-0.48537275262278223,0.4920161359267807,-0.8219774102941223,0.23742229105313284,0.3924677253166373,1.0,0.5620422932677688,0.21154518880018797,-0.10582928396185197,0.5645401797592822,-0.018248826912841395,0.08583467822706818,0.637874930463255,-0.5440731585219489,-0.6365090618870509,0.027271440618697983,-0.47836868280589206,-0.4069099331371274,-0.5010616556560871,0.2783499026743475,-0.4331543322456131,-0.0053931932392742845,-0.38545882509956414,-0.3260228757000602,-0.45616566586518154,0.3576856670957086,0.15826777905035147,0.6895778486337658,0.5997919675461135,-0.020162273831210224,0.4677318236166751,-0.6055535915731122,-0.30185471856598783,-0.35635957577560295,0.8347890960799589,-0.2670937143358505,-0.6950581324487594,0.3327104883137078,-0.5397930689992295,0.01166108803876798,-0.2763200588449598,-0.056632331919475,0.194031198070884,0.5226388136397162,-0.1792898223554872,-0.6105918963075994,0.4008531832952762,0.5878979585544897,-0.3432958615448005,-0.49924061412220483,-0.6441782439768019,-0.5469148034022859,-0.3271134888810471,-0.6033348280284607,0.6231896800493706,-0.3486392366998798,0.14761662818749122,0.027562150958440626,0.6189422149219623,0.38036435554373715,-0.25296335424490335,-0.31355847437848966,-0.5461023467193239,0.6115222960571078,-0.30584288452385855,-0.14979957088762882,-0.5230607984251494,0.061074498571642204,-0.549457144935877,-0.5142961967834598,0.05239418871282004,0.05054497101991286,0.22582059109230385,-0.0038125752916594526,0.8251070139480938,-0.19209988430000954,-0.22125109739289847,0.4521531826235261,-0.5923009617598072,0.39500404758174357,0.4741134892381471,0.6026971561099744,-0.15619828143446896,-0.5412787037136041,0.20456636396256797,0.572448113461956,-0.10190671368162033,0.5998479435540872,0.3113597825965826,0.5159703922755757,-0.5272616761798355,0.10436601040898037,-0.1785996736361374,0.282712095508733,-0.6771935522524732,0.07538910747733386,0.7170532772631147,-0.049202729855932416,-0.4183975170631906,0.2136674755365236,-0.18382758608145872,0.2933461229890255,-0.3857465635762123,-0.023219156569212553,0.5802711628334614,0.10676685644425073,-0.08910534848850102,-0.4857441088979564,-0.5587054443737394,-0.09820196706795763,-0.45853279761822097,0.5998896090013659,0.7097427067904777,0.6976390764551381,0.6244214187451952,0.4098216688673731,0.2956818100951366,0.24930596444570377
Temporal_Inf_R,0.12686330368602095,-0.31831962056828766,-0.11436066584199221,0.7701818773417443,-0.5579753463063988,0.5195574765847991,0.06738559157819393,0.5620422932677688,1.0,0.5319990161078364,-0.0036964072717858287,0.49885496841626337,0.0831955087574721,-0.10877378930198954,0.32739190961266024,-0.2502158962317298,-0.3923759045674708,0.2156049064254719,-0.27158723128197537,-0.13102044928609036,-0.4001797198959306,0.5211118875469587,-0.2074581677472225,-0.1515977122978024,-0.431597049000619,0.11645754311208412,-0.0895740833367013,-0.06991917553554684,-0.09252337809218751,0.5272518812979446,0.8226234429883335,0.1288913920672204,0.05008682884109295,-0.1707810840028144,-0.16884332618351847,0.21153353148476492,0.7355007183081937,-0.22877870468373307,-0.4485026607999219,0.005744956341386383,-0.42782534207836437,0.586421308232795,-0.13233981322256702,0.25753498350513926,0.5436207981424032,0.02520664088666876,0.032282500013509824,-0.2652739636956509,-0.0016491575023627463,0.31934252172393907,-0.25586292013986334,-0.39898381759007784,-0.21127662894808244,-0.15142632052395597,-0.26127681155868243,-0.18531878694573653,0.5660598220872644,-0.28354835435323056,-0.22007437275741037,0.41229762396631514,0.5563783113825753,0.5558880971846446,-0.060978334242975385,-0.18489336987846822,-0.08280215958785064,0.5518092804095658,0.06487317629083404,-0.32349646503897256,-0.13108551533981228,-0.011849733667587492,-0.35674511670558035,-0.08239229623868102,0.12186933684622857,-0.01091331819801058,0.26685739151628046,0.09802420206333197,0.6669159616231684,-0.1407243052138574,-0.39510318470179956,0.49351359085608704,-0.2131969961044149,0.47775512998222447,0.3493149260900258,0.3078370435275742,-0.1234703477607102,-0.4099511009583748,0.23007911821762295,0.2348275798243156,-0.047577663408192014,0.17489399745617787,-0.04178902317064423,0.3894895556913476,-0.19668708648778058,0.09147570359433643,0.026800088955069294,-0.20891855182125482,-0.34151131657026546,0.4513685541690309,0.6977436491278802,0.13326171462607428,0.10836804507688422,0.04411022225749946,0.11534580943612228,0.12198467503300899,-0.31651580819782843,-0.06783157399484274,0.3443151626146605,0.4388766742018702,-0.04547375655148744,-0.021956177538097265,-0.15435823858779438,0.12902641703726134,0.05985268470541495,0.8557618194379303,0.22425103768845084,0.5556600895465102,0.27945197042404474,0.1003834163959801,0.026330152676761302,0.10185725676179697
Red_N_L,0.14902649505031887,-0.05669179908422214,0.17114385158301296,0.4143765403684935,-0.1685575244783063,0.26843705074976487,-0.01922116202014519,0.21154518880018797,0.5319990161078364,1.0,0.09848362071863964,0.4799691661944494,0.31426351470337444,-0.1421371002548941,0.08061292380590308,0.020947909633170888,0.0418662361982223,0.3329356367401127,-0.22913213637309582,0.029797406505888205,-0.12541160107673763,0.2541029096599961,0.20093743276794113,-0.04561883408756615,-0.24297687331119694,0.16533935863239935,0.1925232267615532,-0.17250892857832756,-0.07942078469916924,0.23224459439825565,0.4384451580956944,-0.02854662215237468,-0.07880312739134945,0.09279887986145086,-0.09271450638424965,0.45174587334496474,0.279686638518805,-0.08187310264017549,-0.10972271239567792,0.14541214578231132,-0.09184297187765812,0.5662828817472814,0.20637288392408204,0.35941232382502963,0.26320771724925973,-0.047348445238552375,0.18849214751126747,0.1198386117920694,-0.13713589631673376,0.21519212919372538,0.05176371816163636,-0.23092802754322966,0.11417036401380633,0.03505849397358334,-0.11934429633667215,0.0697501047045303,0.43913267244211784,-0.2526507260801136,-0.18172721657076973,0.5322134290161596,0.38097025127036216,0.6986224164203998,0.07806103203881741,-0.010897220449821268,0.05902981668296828,0.20744769699139537,0.2809427977165429,-0.25828017090406064,-0.03481268816317486,-0.16252760141984307,-0.1030009881488083,-0.0844789461228768,0.25532851548312874,0.2422051325624878,0.34445232722539704,0.16574349040476533,0.31108952746247825,-0.028184312997182732,-0.16609449415063995,0.3909923286547799,0.14823564364929892,0.23291416451721106,0.24938362706584008,0.16003722703406578,0.0514730777760923,-0.1162820269939125,-0.013126913044489784,0.1493456516481291,0.2437969585120011,-0.03314726191265886,-0.03468113226716818,0.29547859412185284,0.09480018331736673,0.09920967570758647,-0.047317463891575325,-0.2191678149263897,-0.018116115208558686,0.5626351036115473,0.3984785948440357,0.29896002760930074,0.18678460764860047,0.04819544716675014,0.18995332468189888,0.07876296331392636,-0.168401555669871,-0.06315726428744216,0.03415521094827891,0.6576520542207519,0.09278383313542142,0.27081184950446613,0.09552105300320611,0.113875167701281,0.3250269165499809,0.6099887591879618,0.03710432070221331,0.33191780577421315,0.2003435385131455,0.11211578020812565,0.005897699515521156,0.06388907031230517
