,OFCant_R,Caudate_R,Temporal_Pole_Mid_R,Thal_PuI_L,Cerebellum_6_R,Cuneus_R,ACC_sub_L,Rectus_L,Thal_LP_R,Thal_LGN_R,Rectus_R,N_Acc_L,Occipital_Inf_L,Olfactory_R,Lingual_L,Thal_VL_R,Thal_VA_R,Frontal_Mid_2_R,Cerebellum_Crus2_R,Thal_AV_R,Parietal_Inf_R,LC_L,Thal_IL_R,Occipital_Inf_R,Pallidum_L,Calcarine_L,Occipital_Sup_R,Cerebellum_7b_L,Olfactory_L,Heschl_R,Thal_PuL_L,Thal_VL_L,Frontal_Inf_Tri_L,Postcentral_R,Temporal_Mid_R,SN_pc_L,Temporal_Mid_L,Cingulate_Post_L,Cerebellum_Crus1_L,Thal_VPL_L,Thal_PuA_R,Paracentral_Lobule_R,Angular_R,Raphe_D,Angular_L,SupraMarginal_L,Thal_AV_L,Frontal_Med_Orb_R,Thal_PuI_R,Cerebellum_10_R,Cerebellum_10_L,Frontal_Inf_Tri_R,OFCant_L,SupraMarginal_R,Vermis_9,Supp_Motor_Area_L,Thal_LP_L,SN_pc_R,Thal_PuM_R,ACC_sup_R,Temporal_Sup_L,Putamen_R,Precentral_R,Thal_VA_L,Fusiform_R
OFCant_R,1.0,0.6459958543128594,-0.6280719377918963,-0.20070160595479286,-0.5199782407049001,-0.6901814249115584,0.7361369865778596,0.681573887823251,0.18374060846013918,-0.2688961759740968,0.6656508615687142,0.20585324275384465,-0.6322233256565724,0.7670660142018141,-0.46638194926255655,-0.016437292628367805,0.6117689408298018,0.4423191887175845,-0.4497640465215366,-0.002626515210673663,-0.615549507847241,0.5629346518876012,0.10032318029711691,-0.6771935522524732,0.6285931663566425,-0.6653528385568889,-0.6790975953391848,-0.4675853655239895,0.8264167002557415,0.11874004996930866,-0.3237040344061094,0.4708314738258184,0.47801570319215697,-0.3490989907715214,-0.7543750794890975,-0.5862648951218192,0.03689650460464311,0.10592437400622391,-0.4093201579483861,0.3560856853679852,0.11936629693038532,-0.22475655132726322,-0.7367407839689881,0.819159046500881,-0.5505033159243268,-0.11861576891538272,-0.4423351129857739,0.496234237618006,0.09186221164369099,0.718686708391803,0.22783660007751866,0.15684373404871585,0.8986695443437387,-0.6573172555152487,-0.7210541720062326,0.31413021681801123,0.38169184325955213,0.4753892431919537,-0.07968213005003438,0.1940252786653176,0.7809489566674861,0.5695666334996267,-0.014085564871385509,0.6289230560566267,-0.2915599136620828
Caudate_R,0.6459958543128594,1.0,-0.6099378636926367,-0.021806824423259496,-0.143071060906709,-0.5239909593163887,0.7468616178341241,0.1984086584087585,0.41890060768422743,-0.019027005513971153,0.3740546633527707,-0.009331756198650027,-0.670908365783353,0.7044576871668451,-0.2095892420647256,0.4211014777437522,0.8044855731101278,0.7904278014947511,-0.1621746898265895,0.29141791517908205,-0.6128408184633491,0.45127879825289413,0.4908917535263404,-0.35382827329682415,0.7333199637084014,-0.5281924788506797,-0.7351857277961463,-0.4470078886637761,0.6726354868758206,0.5235851669750715,0.18075433943494262,0.7359252254846512,0.35402258746468956,-0.3296240753353131,-0.32299160931693505,-0.6666190186024034,-0.13784721764621982,0.4683529010986428,-0.3095277425553132,0.7168521180768286,0.4408302905230243,-0.37866800258109284,-0.6520534266954782,0.7528095310831463,-0.6710940104329698,-0.23900073264911745,-0.1543707774474214,0.062365595083717563,0.3903517411881544,0.4854631698690481,0.039548494136439315,0.6012398397193468,0.6972925132244542,-0.34680792245494624,-0.5740967630217577,0.1583608536435429,0.5728319635873487,0.5662093854073312,0.43987756034711434,0.6427118955733591,0.5577678849987079,0.862502312480836,0.31903448518156274,0.7505534158874981,0.09065407476285882
Temporal_Pole_Mid_R,-0.6280719377918963,-0.6099378636926367,1.0,-0.026224911352808588,0.31922004869130033,0.47886753747527494,-0.6068991452438324,-0.45313764350901464,-0.2667756329553465,0.3664776635264696,-0.6472969802621646,-0.21958654181196632,0.647483958822786,-0.5868087409800639,0.365118663301906,-0.09390656885611448,-0.44333664626412045,-0.3913205869078193,0.18396345130161468,-0.23016747083138647,0.46125697244102465,-0.5319071925668709,-0.1894864243288767,0.548446482051527,-0.5121690680920096,0.4862759348839782,0.5584753551463495,0.2070412028918714,-0.6312700988242683,-0.09905850509667202,0.02442797880647682,-0.5043990328735048,-0.3640989678540827,0.24255422270452642,0.523047588630751,0.48066434750972237,0.05086861445500471,-0.19738333528608343,0.42912302589421636,-0.4464231439193806,-0.14656130683386073,0.09926079012958051,0.5803798510141337,-0.7169382040533065,0.47302883072120294,0.08971192616132953,0.3787623260431003,-0.48999018396179883,-0.26698502393652357,-0.17854951882565803,0.2886248533175357,-0.05885710062136844,-0.6523559204135402,0.5385007376289406,0.4171974217509374,-0.23831950610313182,-0.21645047700705047,-0.517560724158789,-0.13784633805705818,-0.20008022383186366,-0.571671421014198,-0.42067337326300663,0.030910953839614036,-0.44580204498098974,0.22593169107831093
Thal_PuI_L,-0.20070160595479286,-0.021806824423259496,-0.026224911352808588,1.0,0.11664737251107357,0.47735203335812426,-0.22896048239321862,-0.049185216281306815,0.1314883436591663,0.11807350030989444,-0.03199063792323165,0.060278601165342914,0.4147139375844689,-0.32093019497811254,0.5732929576888907,0.5198843838785614,-0.022477591728524107,0.1049388339516782,0.4359786336136565,0.49899304022217117,0.3849157098594179,0.018855400645459697,0.15747329794846426,0.24930596444570377,0.11107878769135832,0.6067372823834041,0.4713780778361566,0.5058590756076266,-0.24749923247978828,0.03981351003187464,0.24341186380120874,0.22811740572969935,0.4864822921992206,0.30982295309621427,0.3196920782433246,0.41237628157783063,0.4483754202560778,0.5052597377681052,0.42926778476129024,0.2735590140120248,0.5316191042914098,0.4687152385954669,0.42148207169909735,-0.29356697489246536,0.518736592978921,0.6564593991305254,0.27517561423685155,0.12659528901843115,0.4645838680986268,-0.41593564660934085,-0.2642252442121288,0.2733641931977885,-0.26060297205853056,0.3352424357580858,0.4194411211202725,0.16988669938906983,-0.1256713710822918,-0.21802943276705467,0.5649732824082769,0.07137121934482021,0.06259613567851303,0.09167015835253171,-0.030808270010938534,0.053648099397576185,0.134403813945256
Cerebellum_6_R,-0.5199782407049001,-0.143071060906709,0.31922004869130033,0.11664737251107357,1.0,0.47715658433085273,-0.4146980021569872,-0.5723431702069982,0.22655512422373658,0.29892732863523686,-0.43601431743732977,-0.03742050495697216,0.3703752998644659,-0.24821224737164707,0.4250384814756391,0.10532187239645777,-0.22782380248667194,-0.1783133813544169,0.5190129836614884,0.1049133527817147,0.17142601455398002,-0.3220531901751526,0.23225733622324957,0.6231896800493706,-0.3593026794132303,0.25202383255326105,0.2210370679851919,0.4120629406736606,-0.44093203209434373,0.10592315287878525,0.47307937982799353,-0.038156073547551864,-0.4663377039195999,-0.015557195936347419,0.6672147738891095,0.26458225406265024,0.047538543935244974,-0.13353266841438902,0.5119553945672045,-0.07847044858826739,0.0012650682038783834,0.10761143374316896,0.333388788425051,-0.3669878015733291,0.14597416269349517,-0.08902814160250817,0.7747904204735943,-0.42341733540232995,0.25668296429186754,-0.27949671390713104,0.14951288801713875,-0.048773784866481144,-0.49123218066470714,0.3841060022882033,0.5606506863114319,-0.23812389644614335,-0.10343526729723011,-0.020863164029169712,0.3588151908406038,0.25162418413387116,-0.5288189204793816,-0.13043098856096763,0.22651972615323082,-0.22337276576656195,0.6930273821565686
Cuneus_R,-0.6901814249115584,-0.5239909593163887,0.47886753747527494,0.47735203335812426,0.47715658433085273,1.0,-0.7047407664735643,-0.3418868724339797,-0.03240616774973491,0.16743251359673753,-0.35681301900379975,0.1373244494062463,0.8056019127389045,-0.6414332194261542,0.6526697702426472,0.21672244494662452,-0.5525278242937116,-0.27899140518266485,0.4707411408276702,0.21596357776063774,0.845052550106137,-0.4362926357647053,-0.05237879462441932,0.6026971561099744,-0.5593507064630457,0.8544203793467069,0.8648724453284328,0.6897300639946243,-0.6347731590214926,-0.222020737058817,0.262388088739705,-0.14538163395974452,-0.07317557004619435,0.6160944788450101,0.6748194074927856,0.7291275882151451,0.49859154614919116,0.15375962925927789,0.4493987935516329,-0.31858879460436695,0.05017706434776436,0.6490047337686751,0.8904816511722904,-0.7978278403243074,0.8408728705934304,0.5871744170603147,0.6174203700905961,-0.2057327283584729,0.223890326179265,-0.6422636783745304,-0.06337270130201669,-0.0609260537989401,-0.7564960134615027,0.7197626057714059,0.8451394991054354,0.035311699337659055,-0.3916440133862796,-0.38531306852297975,0.3069814318644028,-0.055114261236314424,-0.4454266451841156,-0.4659074884011909,0.184857587149618,-0.4704867014959809,0.33951129055241014
ACC_sub_L,0.7361369865778596,0.7468616178341241,-0.6068991452438324,-0.22896048239321862,-0.4146980021569872,-0.7047407664735643,1.0,0.44986938108445607,0.1302861397878381,-0.1779895983892058,0.6189971561501868,-0.049735011127445904,-0.7418721748237235,0.8588608879482018,-0.3610426644976319,0.13114025030700344,0.6409292287226988,0.6563774121402063,-0.4027849091973602,0.17366446193061072,-0.7129250644404297,0.5717845506629298,0.14077148116982405,-0.4577715000044824,0.7432736898033049,-0.6431284597648838,-0.7840558326279701,-0.49854628094680453,0.8701912817570502,0.4654346476898628,-0.10473878135013642,0.35110102636619234,0.25773992028226034,-0.4167832240469272,-0.44000193307144153,-0.7732645180143816,-0.22243655727890313,0.14205881807573473,-0.6176483272768643,0.45224724858948046,0.23189085000590665,-0.44224078524502775,-0.7248559266450348,0.8199920200847383,-0.6945003054528378,-0.29719884413838876,-0.51364912860682,0.25346449247638403,0.09220235731030492,0.5598564430897417,0.07673595941928443,0.4137347468465052,0.8184764351115956,-0.4659781443032978,-0.6538790538736872,0.11811026067373748,0.5104999200586995,0.5620453889061965,0.07974009587482829,0.22490826700052688,0.5636231139642514,0.7527982137949474,0.1534532232062019,0.6961405454668631,-0.008046717019303186
Rectus_L,0.681573887823251,0.1984086584087585,-0.45313764350901464,-0.049185216281306815,-0.5723431702069982,-0.3418868724339797,0.44986938108445607,1.0,0.07862997731415573,-0.3186477232776383,0.8556850276864773,0.5630959294082315,-0.28359452318628786,0.47457107890209815,-0.33499220248844025,-0.2600777079375761,0.14194847131997856,0.11940002505874595,-0.45389337977908956,-0.14999306018778547,-0.30158127506871235,0.48382658951631663,-0.16799618725506973,-0.6033348280284607,0.2007003012561394,-0.4178654995758441,-0.2946757289004589,-0.16381563152846393,0.5343179695439827,-0.15450726352736527,-0.5159854868223532,0.1986702079951161,0.45764233901455237,-0.13825071453827856,-0.6076371638937593,-0.18384788226690243,0.2444126516163787,0.031389908972706444,-0.49282792072173487,0.021526168255990217,-0.04640352597147233,0.10340571610792489,-0.4124575830871624,0.4951597275105849,-0.13252534147281186,0.2266638463330464,-0.3705851267759041,0.8665315635389719,0.020158126071153592,0.45720853626250846,0.22845199593652304,-0.12131214004520395,0.6431977881399256,-0.4486666337022727,-0.42497748228161725,0.4814329342692222,0.048731706102585835,0.3675705600422682,-0.2024228373601126,-0.1163245168782484,0.6085908591027627,0.17856708536240026,-0.06577281252885359,0.18917731152681513,-0.26907534590600307
Thal_LP_R,0.18374060846013918,0.41890060768422743,-0.2667756329553465,0.1314883436591663,0.22655512422373658,-0.03240616774973491,0.1302861397878381,0.07862997731415573,1.0,0.18949556639876933,0.13799933954338672,0.17401093041366528,-0.11988304595964969,0.28197704456466416,0.11162430421980568,0.3027972145456498,0.24126384184852476,0.30751725321729856,0.19116483678951482,0.2083025657424417,-0.25085915902671185,0.0743432308023716,0.2652879832450498,-0.056632331919475,0.19149107450658606,-0.20109791404194036,-0.27253732552555154,0.005502441796031121,0.19291424625379575,0.20925801083451792,0.3611582208379177,0.524247735288762,0.22424666541361968,-0.192513471832181,0.021934735488159694,-0.17813864935571794,0.18073049314336992,0.31354275522796965,0.13597465975874914,0.46870883677469305,0.2906184581229445,0.006552329186883948,-0.22687759192429208,0.24297949011046685,-0.21217307676642921,0.044262455009593964,0.32452686495493377,0.12612633688931116,0.34820718240297405,0.09892326274785476,0.12492855440686611,0.2238621539383139,0.18951618980016952,-0.06234494433447943,-0.05288778910181676,0.23699808899204408,0.23139594536131292,0.2819039250779795,0.38670214080826104,0.6008246913971461,0.2435227307707323,0.3376094030172594,0.263601493539972,0.318250012166816,0.28213855996043224
Thal_LGN_R,-0.2688961759740968,-0.019027005513971153,0.3664776635264696,0.11807350030989444,0.29892732863523686,0.16743251359673753,-0.1779895983892058,-0.3186477232776383,0.18949556639876933,1.0,-0.36449714790082555,-0.1586043438595322,0.28895762108776285,-0.02462536899208115,0.5819512573995925,0.23106559175767935,-0.0696660514849142,0.026330628544572337,0.012049466825153453,0.14565097081118636,-0.006366853893267234,-0.16458051596011317,-0.019361115525499732,0.4521531826235261,-0.09913182843088736,0.23102313861610832,0.04335637647001618,0.0849821324778018,-0.13181912182784405,0.4365158077554175,0.4617772861375363,0.007337014734087789,-0.1385237919333843,-0.20804421917048438,0.5093816059642474,0.22652663561930664,0.043469375875344905,0.21223414557766335,0.21642323535398061,0.2196062249584949,0.25036637521542776,-0.27027029461480423,0.1846474353547474,-0.17205670441262164,0.050027490105705924,-0.07377565491906918,0.3423819011460057,-0.3858794797615556,0.13456445831184305,-0.0105609669355177,0.3562313179934623,0.3697559569011185,-0.3209627948958863,0.4298624433020422,0.15224915148751256,-0.388762994337355,0.03648300603824884,0.04416681285424198,0.2438288802883537,0.20873737902301984,-0.19015426929577614,0.15945960483755675,-0.014113838943080171,0.06631214730741324,0.4796117390757998
