,LC_R,ACC_sup_R,Pallidum_L,Cerebellum_10_R,N_Acc_L,Hippocampus_R,Precuneus_L,Cerebellum_8_R,Cingulate_Post_R,Frontal_Inf_Orb_2_R,Cingulate_Mid_R,Amygdala_L,Temporal_Sup_L,Precentral_R,Calcarine_L,Cerebellum_3_L,OFCpost_L,OFCmed_R,Raphe_D,Thal_VPL_L,Temporal_Inf_R,Rectus_L,Thal_PuI_L,ACC_sup_L,SN_pc_L,Lingual_L,Cerebellum_Crus1_L,Cingulate_Mid_L,OFCmed_L,Thal_PuL_R,Temporal_Pole_Mid_L,Cerebellum_6_R,Calcarine_R,Thal_PuA_L,Temporal_Mid_R,Occipital_Sup_R,Rolandic_Oper_R,Insula_L,Postcentral_L,Thal_PuI_R,Thal_VPL_R,Cerebellum_7b_L,Thal_VA_L,Paracentral_Lobule_L,Cingulate_Post_L,Thal_MDl_R,Thal_PuL_L,Temporal_Pole_Sup_L,Temporal_Pole_Mid_R,OFCpost_R
LC_R,1.0,0.32749051419338965,0.6814985283537767,0.43420698069561164,-0.0845825290257117,0.6703397935545851,-0.4132195974852879,-0.2073571476202193,-0.06510991041697996,0.27189329960839553,0.14571289815843663,0.6163659643750521,0.4568970454979578,0.08444197955549179,-0.6186015911014878,0.5961056903007645,0.07658326813079352,0.3614541115739632,0.7535677738390195,0.4874973955316824,-0.4001797198959306,0.13824513875226666,-0.17733285949114827,0.4061774721255132,-0.6751067393961877,-0.5226767113803285,-0.2814012566557096,0.07177433302275536,0.15060692819938779,0.28910066437010495,-0.5588188617017065,-0.2776195739413527,-0.6823387784610693,0.3632902449260914,-0.5494453549103162,-0.6967604360564041,0.20765872899233842,0.27582650096886796,-0.2067776400401065,0.15344370837963875,-0.04005014908588373,-0.545933601153774,0.5819288832594447,0.05537631850773267,0.1573154634016431,-0.09740975539997045,-0.08968099228738138,-0.6540272672205535,-0.5978801628446327,0.41380366258002876
ACC_sup_R,0.32749051419338965,1.0,0.3399848003484907,0.17622106077689467,-0.0447231386122834,0.4628866174375304,-0.06817577834091436,0.19009056683710404,0.444792877743177,0.4397090914566725,0.5258705246842299,0.128175894079605,0.25859205857079576,0.5900192910561685,-0.2002433431211154,0.27697706296937624,-0.10977939824926941,-0.04210686119834242,0.2901241097511272,0.6025939998337853,0.2156049064254719,-0.1163245168782484,0.07137121934482021,0.8016949834036772,-0.4167472892037206,0.06942577547211222,0.0809356869560127,0.45314629054201133,-0.09605056283461054,0.37537113426069896,-0.1630279460827807,0.25162418413387116,-0.08227383969838224,0.35880553179234226,0.11477053169418343,-0.30746584838088825,0.48592930648573257,0.35564531923316356,-0.0027889746174614865,0.34232846787380816,0.40456881089246194,-0.17770848120448499,0.5163308203935486,0.1722179153232047,0.5112102803701387,0.1802756639167407,0.41965084128966534,-0.16391950106189235,-0.20008022383186366,0.14109806022663987
Pallidum_L,0.6814985283537767,0.3399848003484907,1.0,0.3781074546941545,-0.24525641736680082,0.6823582252250885,-0.2834449102735291,-0.18579240227937513,0.18295315461153627,0.3392236975517096,0.2452443838749238,0.6403540882265222,0.623149911315998,0.08268872834516473,-0.38690985701565717,0.5262975309074357,0.29883448257310313,0.4966551659681247,0.6435049913493354,0.6288095338455469,-0.26127681155868243,0.2007003012561394,0.11107878769135832,0.372477903637579,-0.6377896488585536,-0.19034942782949796,-0.2131438127270283,0.19802250093968823,0.23408396608900978,0.4405312309688656,-0.5568056722632067,-0.3593026794132303,-0.6350781697720337,0.5686977697526864,-0.4026209182187725,-0.5572656020349611,0.32874183171471494,0.5365003483355858,-0.06198000661904443,0.1806460024463398,0.208245178751313,-0.3997636685442014,0.8150792417323219,0.08570086821791262,0.31783759822901464,-0.21174417697916412,-0.02169706724917696,-0.6566822489851188,-0.5121690680920096,0.5230076130407153
Cerebellum_10_R,0.43420698069561164,0.17622106077689467,0.3781074546941545,1.0,0.14442793916850905,0.5616057468406144,-0.4822651762803854,-0.31138309058893854,-0.26629185650925874,0.07768461260624634,-0.22324605225800526,0.6022001131112061,0.47286306221196567,0.09432433694049328,-0.6852098850453453,0.6397530819429461,0.12256630044174592,0.45667952171499326,0.654334150610579,0.140476696001644,-0.0895740833367013,0.45720853626250846,-0.41593564660934085,0.1732260127638497,-0.5008393297780424,-0.3929707785528884,-0.3088175817938081,0.0375642738108425,0.24517130434223564,-0.07861287255552277,-0.6719483731571654,-0.27949671390713104,-0.4659365489817782,0.003781730654294486,-0.5347072459692476,-0.6503188108051527,0.19192069793418187,0.41909680274451067,-0.22272779123393527,-0.02547211692494915,-0.20321164396886005,-0.5732854950670224,0.4942223513456341,-0.0025994840867935645,-0.0746854066207258,-0.13567899465709374,-0.34801469392494555,-0.5270696202065579,-0.17854951882565803,0.7504087309951555
N_Acc_L,-0.0845825290257117,-0.0447231386122834,-0.24525641736680082,0.14442793916850905,1.0,-0.011812366659908995,0.26123081382433244,-0.17961325889298488,-0.07159421150426001,-0.2752169244981427,0.0060556997072791965,0.2077567224323539,0.25709975922103795,0.07735309543911728,-0.13465144891001846,0.23521179780643386,0.08061061304943754,0.24456429022111148,0.12998123334073847,-0.16508179015085447,0.03837403301410761,0.5630959294082315,0.060278601165342914,0.09822092820854668,0.22781123010669024,-0.0796991036114247,-0.11461388004817967,0.11170195089841599,0.4300862612500534,-0.1476262119900889,-0.08635709995478474,-0.03742050495697216,0.24351666678713596,0.09015077730273457,-0.24056064526133214,0.018252224028565387,-0.21707400065416768,0.28177337976773265,0.3439604876807577,0.3760510480883953,0.09653777907034332,0.2628843331041875,-0.1331950227063033,0.3088657349965844,0.13143734894184755,0.39412189785159213,-0.25317605909989255,-0.07365051102318633,-0.21958654181196632,0.15098934484539467
Hippocampus_R,0.6703397935545851,0.4628866174375304,0.6823582252250885,0.5616057468406144,-0.011812366659908995,1.0,-0.571391672870941,-0.09724176968412555,0.20799815488221493,0.6613167807707583,0.05087359362651374,0.6669457664067006,0.4583564449154033,0.18693347185916445,-0.6375027922718934,0.8494038693420419,0.26085336618805066,0.3371129655566202,0.8323750472375051,0.6256625028078155,0.11645754311208412,0.2926907317215956,-0.17425311644722227,0.3702378190891978,-0.7516725103683134,-0.21126006308061143,-0.49250298705615503,0.11598873860210865,0.39592881159662496,0.4215529653415413,-0.5671062336272374,-0.19830101920031332,-0.4526850648080727,0.4626655479883075,-0.2538281997352641,-0.8150222127951449,0.6581759273621512,0.4108279038288514,-0.3649546444921905,0.19049005044928555,0.14284514690197983,-0.4849822600285351,0.6902630616194516,-0.06003401181695295,0.25883518114011045,-0.1717012313939906,0.16308571556173643,-0.7512926862734092,-0.5757253189784598,0.6359299748007374
Precuneus_L,-0.4132195974852879,-0.06817577834091436,-0.2834449102735291,-0.4822651762803854,0.26123081382433244,-0.571391672870941,1.0,0.03928304630402115,0.25697816962692616,-0.41796912987067475,0.4760561540289549,-0.3206592315109038,-0.01638908826995597,0.2112072604645079,0.6782462474735412,-0.5117591210017611,0.08389476931838241,-0.04576242921286149,-0.5336528314041847,-0.2398977387827955,-0.09252337809218751,0.03288691096486868,0.5741437610042772,0.06273983598495318,0.5560451807457808,0.35741410377718313,0.34952046575861556,0.38569911936059315,0.044895823632351894,0.02688849576002679,0.42206175130088186,0.06643568321143485,0.4472561622607068,0.14033764966688253,0.21435717159257592,0.7906256224959223,-0.32121732294127203,0.08217722873004675,0.7917226644083716,0.2845000742924308,0.29190214704504996,0.5945741258463646,-0.23182060872174157,0.5290438837825795,0.2723059163174982,0.1517675319143009,-0.02702976823164646,0.42771080348689794,0.15995950697440492,-0.39931118729796944
Cerebellum_8_R,-0.2073571476202193,0.19009056683710404,-0.18579240227937513,-0.31138309058893854,-0.17961325889298488,-0.09724176968412555,0.03928304630402115,1.0,0.2762024233917384,0.4357341644830035,-0.06365359883219837,-0.6388530643990037,-0.5452103010174382,0.23577925115969706,0.3327680156859178,-0.1853936496114271,-0.33069143868522266,-0.6443449929591649,-0.3708266404371967,0.004748515390115057,0.5556600895465102,-0.6219855861794441,0.20853401200750232,-0.058186861318880505,0.15275531321598168,0.45975134838734744,0.4089356952269069,-0.20554556518658731,-0.5004158827232331,0.2031790575252997,0.48504661806301136,0.7682071659620908,0.4055126115146484,-0.033407516421747066,0.7228626954458744,0.19448283892856347,0.24716952891594274,-0.4400116535707257,-0.11503564802585914,0.22091287665006798,0.28678297738190545,0.42700378346260226,-0.13602521200869708,-0.04443242444868025,0.006301368035615026,0.28888818651852743,0.4776464366572776,0.3892468686995735,0.3608252106341564,-0.4387756916712602
Cingulate_Post_R,-0.06510991041697996,0.444792877743177,0.18295315461153627,-0.26629185650925874,-0.07159421150426001,0.20799815488221493,0.25697816962692616,0.2762024233917384,1.0,0.4726753431193697,0.6050344974800654,-0.14690893241563416,0.1408884053409928,0.3041635525944302,0.4321398929142966,0.031623056566845074,0.24914241359457237,-0.21838187525655978,-0.11170963916514388,0.5741937265757282,0.3797650028585623,-0.2204635299328463,0.5400933921259152,0.3201587212852948,0.052403460555636806,0.6508651277895805,0.12074300198032868,0.5227466583322367,-0.04457028013415169,0.5887524263805743,0.2044019162515279,0.11282891793654654,0.3781812241425708,0.41764405028682966,0.5127549367564542,0.15634574955756433,0.6484327110951367,0.29036707458667604,0.08055864305974798,0.4035408624738186,0.7258173493324817,0.2575906367708241,0.3251302485184652,-0.06402549094543263,0.8412268386487766,0.08294764697638256,0.6453978963514097,0.1040337536074843,0.0008750109793962139,-0.053006634931728414
Frontal_Inf_Orb_2_R,0.27189329960839553,0.4397090914566725,0.3392236975517096,0.07768461260624634,-0.2752169244981427,0.6613167807707583,-0.41796912987067475,0.4357341644830035,0.4726753431193697,1.0,0.1169200416793497,0.02725979084723472,-0.08590843862110986,0.2655908325493602,-0.10884245035940814,0.44608144167254277,0.18664812050694798,-0.24710384287293558,0.2937595729818507,0.5019644872206349,0.5211118875469587,-0.2582113487146277,0.006938235496517307,0.22982471202917182,-0.4090011865465063,0.2575633696095056,-0.1857225991376648,0.08803898713007545,-0.03646491631232061,0.5000392793233538,-0.03169130715979675,0.26444093227898513,0.03545599162556657,0.2712387751003256,0.4151647629135274,-0.39258564031107895,0.8460070011988656,-0.01461118321610877,-0.4316092266747579,0.13909198909459206,0.28520010185654515,-0.1758083978206185,0.39407073455552405,-0.27316574945178973,0.28901047827135573,-0.08405845759897744,0.5777431420483767,-0.2545775091786141,-0.19078410045471594,0.20205770257036132
