,Calcarine_L,Frontal_Sup_2_R,OFCpost_R,Rolandic_Oper_R,Precuneus_L,OFClat_R,Thal_LP_R,Occipital_Inf_L,Cerebellum_7b_R,Temporal_Inf_L,Thal_Re_R,Insula_L,Paracentral_Lobule_L,Cerebellum_Crus2_R,Vermis_8,Cuneus_R,Fusiform_L,Vermis_9,Parietal_Sup_R,Thal_MDm_R,Cerebellum_8_L,Parietal_Inf_R,Temporal_Pole_Sup_L,ParaHippocampal_L,Cerebellum_10_L,Thal_VL_L,Cerebellum_6_R,OFCant_R,Thal_PuA_L,Vermis_7,Lingual_R,Putamen_R,Thal_PuA_R,Frontal_Mid_2_R,Paracentral_Lobule_R,Olfactory_R,Thal_Re_L,Vermis_4_5,OFCmed_L,Caudate_R,Frontal_Inf_Tri_R,Fusiform_R,Thal_PuM_L,Supp_Motor_Area_R,ACC_pre_L,SN_pr_L,Thal_LGN_R,Cerebellum_10_R,Frontal_Sup_Medial_R,Cerebellum_Crus1_R,Heschl_L,Occipital_Sup_R,Parietal_Sup_L,Vermis_6,Cuneus_L,Cingulate_Mid_L,Thal_MDl_R,Thal_LP_L,Amygdala_L,Frontal_Inf_Oper_R,OFClat_L,Precuneus_R,Thal_IL_R,Temporal_Pole_Sup_R,Occipital_Mid_L,Thal_PuL_L,VTA_L,Frontal_Med_Orb_R,Thal_PuL_R,Vermis_1_2,Temporal_Pole_Mid_L,Thal_LGN_L,OFCpost_L,Thal_VPL_R,Cerebellum_4_5_L,Cerebellum_Crus1_L,Postcentral_L,SupraMarginal_L,Calcarine_R,OFCant_L,Rectus_R,Thal_MDm_L,Red_N_R,Frontal_Sup_2_L,Cerebellum_9_L,Thal_MGN_R,VTA_R,Insula_R,Thal_VA_L,Thal_PuI_L,SN_pr_R,Thal_AV_R,Angular_R,Cerebellum_4_5_R,Temporal_Pole_Mid_R,Pallidum_R,Cerebellum_9_R,SN_pc_R,Temporal_Mid_L,Frontal_Med_Orb_L,Thal_VPL_L,Occipital_Sup_L,Putamen_L,Frontal_Inf_Oper_L,ACC_sup_L
Calcarine_L,1.0,-0.5490638711734898,-0.5558288169196716,-0.07856101410134349,0.6782462474735412,-0.6178761586005672,-0.20109791404194036,0.7938920898379883,0.25413743870102773,-0.3694593083677808,-0.0959222735953054,-0.19752858773437448,-0.07826252231225304,0.44334223934292677,-0.4734444665441187,0.8544203793467069,-0.2072531449896241,0.7644656419009559,0.7408878503164783,-0.09799102631152146,-0.030388051157042,0.8230413827259045,0.6803392188942202,-0.6128859498343818,-0.18137587673862296,-0.19697110604128604,0.25202383255326105,-0.6653528385568889,-0.1380607785314274,-0.3445377680639758,0.6451953637360184,-0.37008101753413336,0.15660652668413388,-0.24587501195752062,0.5363894007750996,-0.698350855733167,-0.5259048326316277,-0.06592660235072438,-0.3188395817299669,-0.5281924788506797,0.07764751590178512,0.17287022870399435,-0.042401799686963386,-0.20247126743928306,-0.6666297003854076,-0.4576284924300423,0.23102313861610832,-0.6852098850453453,-0.34278196866469396,0.4135446781528634,-0.33353624750190103,0.8676422234604442,0.8128273741948994,0.3946252716902235,0.8699571877101936,0.14472565274426177,0.1750553174345513,-0.3881153866824352,-0.7023073313762231,0.5710251018358972,-0.6617420337605635,0.6401468917114125,-0.13287273424042242,0.6256427989331244,0.7733749685363507,0.3400156814973397,0.7279490998063948,-0.28417514065983707,0.09095858253279485,-0.24655480562227813,0.647795446100996,0.13159334626368338,0.04585953074049126,0.40778142265258593,0.06895150689041317,0.449756781213845,0.34728183499799503,0.5954048927390633,0.7198312639354468,-0.7824503785154303,-0.46169425869427433,-0.048989832939884216,0.09243212293441029,-0.4316515796104678,0.4094312096224633,0.3877056207781841,-0.05860260028864441,0.2052261760952149,-0.3851864546343048,0.6067372823834041,0.34154447523921155,0.34814993267178046,0.8886548657678086,0.45208930757384935,0.4862759348839782,-0.2206997007701265,0.35063348676204353,-0.5250480277972038,0.42907772216461637,-0.2060150262663582,-0.14426332459950336,0.8136363974549955,-0.26077612469249595,-0.170060705996272,-0.18566698552224664
Frontal_Sup_2_R,-0.5490638711734898,1.0,0.43924522380245873,0.454495332875046,-0.22060618843289265,0.6165092117059149,0.39046015942154016,-0.6311156123756296,-0.14295764638760147,0.365558704327167,0.25408568382736174,0.39710099077870054,0.24559469586647786,-0.11977413859666328,0.3354997859152388,-0.4448335738921865,0.2940455725088507,-0.5097956780471405,-0.5207757926522164,0.42881912243004194,0.1402409499252221,-0.41329724992209965,-0.5092071555512618,0.5120522351603386,0.14727863974919794,0.5208283198852316,-0.14696865282358598,0.5583932826452873,0.30835962528516586,0.43784942630103446,-0.33330555849776566,0.5895600473518138,0.27660424082667173,0.7302794787565274,-0.2522748583226889,0.6486230628592554,0.449162703825381,0.4102645988908283,0.19752235880982677,0.7324115263852305,0.4585286468569599,0.0659013087567374,0.44100637831037076,0.6425229025220678,0.7541313575722948,0.36644166531479966,-0.07383381405511397,0.5327123410224905,0.7196667875249732,-0.22616060696042004,0.3842249746980925,-0.6162360973600316,-0.5612623234693422,-0.15073955225214603,-0.5541537902109108,0.5056468487054853,-0.05547793141214756,0.5421623180521472,0.5276890121338678,-0.025679352294171065,0.5328729172336036,-0.11409564545197512,0.30518625372733044,-0.38984772385208705,-0.5910081298156414,0.05974081029997531,-0.6204388960635121,0.07146663088506885,0.33621265528541894,0.2577980475054801,-0.4602298755624566,0.22673514657832075,0.06057299390556203,0.06649541248234601,0.19781218424558708,-0.30281594740720463,-0.05377022549300909,-0.23801023917248026,-0.4189843573630705,0.5954350184094587,0.24885816342530928,0.4449906781398771,0.045348745789244235,0.6387166808204569,-0.2458116022173194,-0.242522625845273,0.09613803087429351,0.144403046679313,0.618420244104251,-0.2351363255146353,-0.11418823053685354,0.16673003467655442,-0.5028593176292564,-0.11091702283373535,-0.4140651027464273,0.447482050661886,-0.18180342257916104,0.49215039779403263,-0.14210990486142652,0.014014796797666549,0.43023728089960195,-0.638000070983003,0.4344653045217834,0.4121108156364805,0.6701451799565986
OFCpost_R,-0.5558288169196716,0.43924522380245873,1.0,0.2916190236084801,-0.39931118729796944,0.542137383544081,0.062020575020290764,-0.43865061836626906,-0.5466977338530107,0.5766351022057703,0.13599042515459298,0.6753387976357951,0.031461085575369245,-0.6221854704536124,0.1038939081070437,-0.5534988990117963,0.5511898769918988,-0.667549284591861,-0.4815870536253005,0.38903312848864013,0.24746707050608358,-0.5345365975446357,-0.6290820357397865,0.7138053647908688,0.49773940710141296,0.30270044394329215,-0.43616333758703113,0.7754705509121173,0.17677180251270655,0.24245452446982085,-0.364426100200903,0.5788815888021825,0.11604483081610985,0.42298766429144874,-0.3597661784796263,0.7421336611469594,0.45947694153023744,0.4663808747045085,0.45330140084686554,0.5400905161876004,0.30044133198963363,-0.03608007001575177,0.3597328097878123,0.059209203231025916,0.6289721698579522,0.44908210663171994,0.011270304097529599,0.7504087309951555,0.24559783414544356,-0.5894266005870265,0.5434719998947665,-0.5963718007776695,-0.5571196672583525,-0.24957466650281665,-0.5328835149717017,0.14059165205658852,-0.1863433391623762,0.4146663212137503,0.7185946739289467,-0.20262650371445057,0.6414421752941779,-0.34253867194747883,0.028477140648369283,-0.506550554736787,-0.4539175169081028,-0.2431608960019891,-0.6310620471589152,0.22241045907549117,0.05997312713013718,0.4912100581036272,-0.709151722156307,0.17759212969196284,0.4661764314763824,-0.06372287960996253,0.3486498786401329,-0.4760969823676813,-0.20571501848852375,-0.1618811612414084,-0.3618627751797464,0.7159811410855574,0.5414764802509275,0.36621816084066255,0.24192004781999207,0.35036947015710035,-0.20998542515040583,-0.34640471011285145,0.25453115992214953,0.050763055362715304,0.5840032890681889,-0.35183820498188495,-0.2219470657157229,-0.04823636495035322,-0.5637211710564105,-0.02720122125251359,-0.3138900938312505,0.47387936699627653,-0.23478143845293978,0.489844359328951,0.07113813909297374,0.24112044358165682,0.27966163476759026,-0.4795984552520162,0.46324967732267136,0.4769571620690106,0.1783950506612093
Rolandic_Oper_R,-0.07856101410134349,0.454495332875046,0.2916190236084801,1.0,-0.32121732294127203,0.6705783379844447,0.2067953329631858,-0.2661945820924943,0.11915461699372151,-0.0663804314445086,0.07918842802762492,0.15805289597105046,-0.25992462925262966,0.04019171326583479,0.13439832173117874,-0.179358673905161,0.1475901575412906,-0.20864421408329187,-0.5116167926411613,0.19692907453428504,0.32404658054271196,-0.2793727456890239,-0.2485785350570217,0.24342566306723054,0.19174262924703706,0.2177499802297453,0.1058917710764131,0.12655216427910623,0.27235100770568194,-0.0010919892597070293,0.2973946356451359,0.6940811891772728,0.3903175625001244,0.6492386210442737,-0.4433021350648262,0.48743129333193064,0.29480303963317095,0.5315533690462945,0.04706597156742385,0.5408970190832986,0.7387375460441123,0.5654643544161995,0.55230697589072,0.10101396791947737,0.2802626581694801,0.12175621798945058,0.42682287111906986,0.19192069793418187,0.03401017561501047,0.021751992861307516,0.12554840689906224,-0.35387802634317084,-0.4357703369321047,0.4410685396609795,-0.3080712652476591,0.31468760722360184,-0.12979982807117585,0.29277883067442656,0.08642678557733947,0.623785950127817,-0.03496868229930717,-0.15166058400627822,0.12385761044069132,0.20773320551792765,-0.4601391541377118,0.5598490280512854,-0.2168167074178819,-0.23634309579725438,0.49973204351064615,0.5723807623046359,-0.07358749567395416,0.1930703512411483,0.257088803860277,0.35714211154962844,0.3988385134890593,-0.2334172043759301,-0.36901929521329524,-0.14559878573094123,0.07905866510762326,0.15864676181717755,0.054133718474159855,0.40289507523711526,0.34525114404221374,-0.10364317405272239,0.19274352189254837,-0.01988565814142656,0.2756967095899778,0.8219049814167523,0.46612763306772736,0.05784856504779731,0.21785001899584805,0.4965105580281696,-0.10066724920587629,0.3974887968836403,-0.12527097493231024,0.5551833899005135,0.3619295229469069,0.41601504364463454,-0.21972022541505087,-0.3810262609760728,0.5527444870611726,-0.36208532028942697,0.2834629219063407,0.0443607537187836,0.2690956065325875
Precuneus_L,0.6782462474735412,-0.22060618843289265,-0.39931118729796944,-0.32121732294127203,1.0,-0.6968165301505822,-0.05197376146457782,0.5546058018226532,0.11383104405626458,0.07974540180353785,0.01972623243482317,0.08217722873004675,0.5290438837825795,0.3833193704812148,-0.33471618942126263,0.7533012406712817,0.15546145470755834,0.6019421508050363,0.8528121962761392,0.08603707198714194,-0.22658941369161417,0.8277993452460366,0.42771080348689794,-0.2382703490899527,-0.26073068955551215,0.014200702628008023,0.06643568321143485,-0.3028887457449182,0.14033764966688253,0.029140349673721713,0.3018699043131096,-0.3669068806208044,0.15909555065151054,-0.12966663430088585,0.8965365501090043,-0.4909365166299938,-0.3795885354682368,-0.0040911893241340515,0.044895823632351894,-0.37814285378208395,-0.10036993910843751,-0.04140939994576286,-0.08788975266860892,0.2915343085932717,-0.32561383328478566,-0.12109116338818231,-0.19559929194687883,-0.4822651762803854,0.212334505691506,0.20411859637786356,-0.08420116691569626,0.7906256224959223,0.8869281448532949,0.1306000837030059,0.8158325941404798,0.38569911936059315,0.1517675319143009,-0.35207576448801403,-0.3206592315109038,0.22847493804615326,-0.20781604971149012,0.8845554610268217,-0.03973067308567071,0.15690508765745356,0.8119983615175651,-0.02702976823164646,0.5178313213526141,0.16115282398031783,0.02688849576002679,-0.38873331512080783,0.42206175130088186,0.34911683937992694,0.08389476931838241,0.29190214704504996,0.07517414306396411,0.34952046575861556,0.7917226644083716,0.7894334488752671,0.4472561622607068,-0.3955847383249255,-0.03522964080364405,0.017813021339587114,-0.19735421060408523,0.1547658592530136,0.16718649703626753,0.3554649098246654,-0.17388157568375737,-0.17976590217084745,-0.23182060872174157,0.5741437610042772,0.15957461640074902,0.3259992518896262,0.7260512103578343,0.16874311615776505,0.15995950697440492,-0.34124887886465033,0.07242395775650234,-0.37971843399795424,0.6412215938279702,0.2800602101799825,-0.2398977387827955,0.6723543474184489,-0.06937892499358747,0.24534373258582215,0.06273983598495318
OFClat_R,-0.6178761586005672,0.6165092117059149,0.542137383544081,0.6705783379844447,-0.6968165301505822,1.0,0.176675299758854,-0.6680159906056784,-0.09639500291803181,0.11817163319329599,0.05050327670251965,0.13795364780717131,-0.1715229500947539,-0.20178545627241745,0.44152415468719103,-0.6234249229662371,0.14210321589627592,-0.5686492292748903,-0.7950102165606684,0.20711813911609625,0.4793972786775921,-0.7110462662095766,-0.6194593909306638,0.4675953449893142,0.2887325936806522,0.21606584397032114,-0.038275089644232686,0.5041912695356465,0.1358901190678047,0.18197642207095427,-0.2161458335885089,0.7197457937860882,0.17581074833896349,0.6041822873520998,-0.6937303961842868,0.7704771699394314,0.4809257453125091,0.4167768740970872,0.17464214093659028,0.6715644393929341,0.4997116046121039,0.33425151521181556,0.3555637638381143,0.1251311273565442,0.564363463105038,0.30367840489746833,0.15516225094640004,0.6254606753773271,0.1336709790656822,-0.24901997969689385,0.2532821455035714,-0.7694558137845129,-0.7943682207813834,0.0296315578911234,-0.7744846850337571,0.05901920198415452,-0.12924668873742434,0.5569791766671859,0.4479856229002861,0.06017677603369653,0.30134431870585193,-0.5273672447125178,0.17706566544002983,-0.15613081127188785,-0.8246807114849152,0.07830823323666955,-0.6630773571274134,-0.06500689207807002,0.18835621429052424,0.5289515743226002,-0.4607453818222718,-0.02137267154154237,0.09899645940298893,-0.08233485168831538,0.2776560980426977,-0.4218490890224778,-0.44846807837120345,-0.5433551385283802,-0.3736957525402494,0.5900950835552727,0.25884665358750203,0.3744248445775599,0.2550762159055697,0.10341107954430777,-0.06959327024803166,-0.3113251246032381,0.29064170500627,0.43908175412306993,0.5450372658134908,-0.35327933151539453,-0.08931751822148788,0.039836656682063945,-0.6111523985772204,0.07038019316430674,-0.28718863571188574,0.5552272809274481,0.06374536662311336,0.5375455461351765,-0.5051168677176694,-0.20331145018996538,0.38949632787772315,-0.6583791728947082,0.29389640459994903,-0.01077023993880388,0.21765394791278334
Thal_LP_R,-0.20109791404194036,0.39046015942154016,0.062020575020290764,0.2067953329631858,-0.05197376146457782,0.176675299758854,1.0,-0.11988304595964969,0.18118541104640826,0.18851949327117848,-0.014435652884750946,0.26899529098609304,0.120862062448724,0.19116483678951482,0.249957197598474,-0.03240616774973491,0.30777360828203676,-0.05288778910181676,-0.3232710539951657,0.18132045156349805,0.06702196194768452,-0.25085915902671185,-0.09239445559376168,0.28676693513583384,0.12492855440686611,0.524247735288762,0.22655512422373658,0.18374060846013918,0.4349541885656295,0.16971903693352194,0.1210565274866735,0.3376094030172594,0.2906184581229445,0.30751725321729856,0.006552329186883948,0.28197704456466416,0.10109818808165864,0.38557047451156234,0.060468223548149194,0.41890060768422743,0.2238621539383139,0.28213855996043224,0.4188188578841999,0.2812098130635521,0.3350217386997361,0.25707863869831343,0.18949556639876933,0.09892326274785476,0.3291316050512925,0.1810882522340934,0.11812548322472592,-0.27253732552555154,-0.2527935789923644,0.21276229700291102,-0.15300314085876782,0.15611041144330634,0.13562838230532526,0.23139594536131292,0.13795265541428708,0.13141768032057397,0.15961586716264378,0.10079199617086364,0.2652879832450498,-0.08766310997078092,-0.14644428929470238,0.3611582208379177,-0.13825918302001558,0.12612633688931116,0.360251206064721,0.22469164476809225,-0.07536925030372725,0.28668002502553924,-0.08362550504656356,0.39337370513087416,0.2807245911379973,0.13597465975874914,-0.004903229153675197,0.044262455009593964,-0.03630336614290184,0.18951618980016952,0.13799933954338672,0.1631964393166258,0.1641092041967802,0.31598524619453283,0.14678754886290013,-0.034733079723004386,0.04236198195224311,0.23569957798525956,0.318250012166816,0.1314883436591663,0.3029322651318815,0.2083025657424417,-0.22687759192429208,0.08272658053858582,-0.2667756329553465,0.11880945137283104,0.19225896328319547,0.2819039250779795,0.18073049314336992,0.1073583533897894,0.46870883677469305,-0.3379197304502554,0.28319500092192756,0.32461407030914435,0.5407095339474168
Occipital_Inf_L,0.7938920898379883,-0.6311156123756296,-0.43865061836626906,-0.2661945820924943,0.5546058018226532,-0.6680159906056784,-0.11988304595964969,1.0,0.24362617348872873,-0.3800538489663843,-0.353993728078166,-0.1317249547138612,-0.04589514168239948,0.27806669467820566,-0.5421293003590762,0.8056019127389045,-0.1258301426837521,0.7013069760971589,0.6660095499266038,-0.30941260845765933,0.10120461041904928,0.6922415970904602,0.781236523901938,-0.6214152871731788,0.15415667140592113,-0.27912407826810715,0.3703752998644659,-0.6322233256565724,-0.2867541704441723,-0.4516009774847309,0.6663438093324733,-0.4964423926026753,-0.011208497513678485,-0.43068728898135866,0.5008266559520357,-0.6705716444113105,-0.7475435701219659,-0.07506327627083893,-0.3452754451492704,-0.670908365783353,-0.15197036571008476,0.242028633058208,-0.17055319185067672,-0.24680502676584554,-0.7162032068905916,-0.459863167925375,0.28895762108776285,-0.5234026454250998,-0.4367224193809466,0.41598185917350455,-0.3423871938009065,0.8132783427755057,0.7309837243339458,0.39798624411414235,0.8146954169137628,-0.01669938864439362,0.2478697078838531,-0.4172457825976484,-0.7032039307906637,0.3884290063836009,-0.6925199105984965,0.5127022629149902,-0.2009636672211479,0.6625702294209849,0.835620611836522,0.17113367233405505,0.7573330252942613,-0.17904978747385913,-0.18931694149100803,-0.12188687680838832,0.5686979339751334,0.12620508123573648,-0.08199654486402753,0.276588814942086,0.04119822925013783,0.5510408770295269,0.3337976448365228,0.582615661776292,0.7315049830275063,-0.782553106916461,-0.42082592545835196,-0.2992052081721218,0.2869610355870744,-0.4616194473856641,0.5656070313792673,0.1029165295345606,0.0879909969353433,0.13693671606183502,-0.4553096285725525,0.4147139375844689,0.4156337041270532,0.07090944072379028,0.7848356852235011,0.42059106477080366,0.647483958822786,-0.43218590406330587,0.4455167477756449,-0.5121704815483689,0.5574501945509296,-0.06907185640465544,-0.32919426995895307,0.8177501495481202,-0.43584038296704825,-0.17456400552171172,-0.28646280434769317
Cerebellum_7b_R,0.25413743870102773,-0.14295764638760147,-0.5466977338530107,0.11915461699372151,0.11383104405626458,-0.09639500291803181,0.18118541104640826,0.24362617348872873,1.0,-0.36108132731469283,-0.1704986994690451,-0.40248155491844334,0.03727778364139084,0.7433380756683301,0.2450142601666923,0.3821583653354141,-0.1774232666240616,0.5298784153974935,0.09475622828001525,-0.3230063588016034,0.020405306893947404,0.1829756944174687,0.3578710379707417,-0.32467127116296224,-0.23554560179305167,0.026989685575871263,0.6952935066554664,-0.5389151522859208,0.03705237992975182,-0.12671950539744212,0.5253263054705396,-0.12889727568529621,0.0697497864564337,-0.10865633841574877,0.06032300632129129,-0.2857588931933431,-0.25551961145523017,-0.016193724354178835,-0.4287223938495807,-0.14409645128885273,-0.010659394374250663,0.5594623435704923,0.037158116940298906,-0.028369844553429183,-0.40248700314595687,-0.17968807071640108,0.17459466882254424,-0.4781791691143357,-0.22215156997390606,0.7006014487351367,-0.36166881511473253,0.22502300089995902,0.14407016735581485,0.5648712777454388,0.1594990381768342,-0.20559105879685058,0.27099572699609425,-0.2429856456923334,-0.5879905360491792,0.3664734331344938,-0.4969921705100732,0.24428384710120937,0.38745320769256075,0.5175574984737836,0.08429297252526649,0.5033164372798818,0.47595014865989893,-0.34489994546044117,0.17177676833108602,-0.023585799536571295,0.4360208478200451,-0.016814513869946927,-0.4645513356080142,0.2415425314850571,0.0025558330616305192,0.3205554438851204,-0.0751010815666881,-0.01991692989450863,0.33098554911957273,-0.4853494304967643,-0.33557333579060744,-0.1967856167524909,0.1097570955216204,-0.4149990358321046,0.4641866859687703,0.23364862780089476,0.07399546419608745,0.32570057154847754,-0.2550662722082065,0.17074108196200274,0.47088591812332875,0.2255172194298953,0.3277073283908017,0.28531585985944075,0.2167465648294358,-0.15985081354243658,0.5457417879743522,0.020386967715079356,-0.011228519345602789,-0.41938431471419035,0.036882452644430956,0.14440076619412243,-0.23129473946776646,-0.3058446085317479,0.042715714209709044
Temporal_Inf_L,-0.3694593083677808,0.365558704327167,0.5766351022057703,-0.0663804314445086,0.07974540180353785,0.11817163319329599,0.18851949327117848,-0.3800538489663843,-0.36108132731469283,1.0,0.3759151583694159,0.6513296639230071,0.39201103367821993,-0.22319142144884346,0.28843636815974716,-0.34719782359853557,0.7848931823801588,-0.3140145188398176,-0.13665759251337317,0.5789872501138345,-0.06871033627438435,-0.3019781322428841,-0.5073772988187526,0.7908835803071731,0.008189632570245138,0.49709871218117446,-0.3548663901051507,0.7145476375231903,0.587953839918549,0.6642849669116326,-0.43512197198690916,0.37085169062784906,0.24811212778084224,0.34723762131997604,0.19286548464668438,0.5009880339701585,0.5107356808821321,0.43313191027020925,0.4477584930662014,0.49265081718120884,0.09708922870326882,-0.22414660346713813,0.3135854849506402,0.17637164957193469,0.6102148082128616,0.5370507951643227,-0.3044973286737883,0.4312452816862276,0.5180854656908022,-0.3628348604538641,0.5350401228358328,-0.3723772782179472,-0.18087103837198393,-0.34123047100020254,-0.297709192741856,0.1228598170609223,-0.2266704570771497,0.3359857239185465,0.7045800619729862,-0.33647328581576225,0.7956702833758024,0.15951461600424455,0.23902847511213815,-0.7045069369806959,-0.15422452821869415,-0.28053144154038595,-0.4661424409104961,0.34826365395146835,0.3165593380211476,0.01169456693969492,-0.47093555172980717,0.401279687986524,0.35327967820420747,0.13941454628872768,0.34474044146681954,-0.18954720170192726,0.18190271895920737,0.18946715339165188,-0.4788005489647,0.6453078619051452,0.5508667853245095,0.41564932463586507,-0.17838026248850838,0.5807707718540258,-0.3274547078066001,0.08136705212281672,-0.11636462565651201,-0.3328433296311662,0.6344422619967967,0.03522122405677235,-0.3024426162400358,0.26328719246999227,-0.44138352533462394,-0.2071729984347674,-0.5636653207423661,0.41358017395338176,-0.3243217595531471,0.33278421438494266,0.4231344694957516,0.45843509245704633,0.2520156703678673,-0.3573102618854165,0.7340655890313216,0.7657498541112963,0.3126247741972286
