,Putamen_L,OFCpost_L,Red_N_L,Caudate_L,Vermis_4_5,Lingual_R,Fusiform_R,Vermis_10,Vermis_9,ParaHippocampal_L,Temporal_Pole_Sup_R,Occipital_Mid_R,Frontal_Inf_Tri_R,SN_pc_L,Lingual_L,OFCpost_R,Putamen_R,Cuneus_R,Cerebellum_7b_L,Heschl_L,Occipital_Inf_R,VTA_R,Cerebellum_Crus2_L,SN_pr_L,Hippocampus_L
Putamen_L,1.0,0.41336492714318746,-0.168401555669871,0.6866053944558316,0.4076367444233933,-0.3703995995302181,-0.16382052009170284,-0.5408158487344257,-0.41854597615107536,0.708297019719015,-0.5810185992364483,-0.48934358595863187,0.45029186114208086,-0.5383408347739949,-0.07336224649467264,0.46324967732267136,0.7084075946650492,-0.4296193857596469,-0.1875189213452829,0.6030879992895026,-0.3857465635762123,-0.2865550956945387,0.3489399569626059,0.3189367684650568,0.7535162323425126
OFCpost_L,0.41336492714318746,1.0,-0.12607141859788173,0.25884264541529944,0.34531524658719037,-0.07429622832500343,-0.10192422219097953,-0.09007962956460093,-0.19360498518941868,0.4511054340465964,-0.24340969990655376,-0.15307257060301668,0.2575470736915852,-0.10906857574378581,0.15951953635035682,0.4661764314763824,0.3404558478207421,-0.11101896581968881,0.03473316872162091,0.3236555744928183,-0.24674464744964897,0.012523133812168415,-0.013649402917821631,0.30379562364808727,0.42369796112050856
Red_N_L,-0.168401555669871,-0.12607141859788173,1.0,0.1198386117920694,0.5066607190688523,0.4732845593954312,0.6099887591879618,0.3984785948440357,0.08061292380590308,0.09279887986145086,0.31108952746247825,0.03710432070221331,0.19503785591019357,0.14902649505031887,0.38097025127036216,0.17114385158301296,0.18995332468189888,0.16003722703406578,0.10830641268056318,0.0028716907619973945,0.21154518880018797,0.6576520542207519,-0.16609449415063995,0.27081184950446613,0.14823564364929892
Caudate_L,0.6866053944558316,0.25884264541529944,0.1198386117920694,1.0,0.44291413743348873,-0.38144068696953365,-0.1645787596623265,-0.5779001453975696,-0.5032135050636898,0.8117119969155829,-0.707918692876327,-0.689786640286178,0.2722680629564359,-0.489559476788614,-0.2805332462267454,0.5385818686907003,0.5956691456871785,-0.427047499033628,-0.20649268751927466,0.5646182410040287,-0.6105918963075994,0.02941878590083352,0.32990858631355446,0.6734372131876548,0.8864933853142796
Vermis_4_5,0.4076367444233933,0.34531524658719037,0.5066607190688523,0.44291413743348873,1.0,0.3156521449992397,0.5950138293322672,0.19729102821739922,-0.009832611582531446,0.5207505006276618,-0.0007751636742471023,-0.2130321882330645,0.5769471646813945,-0.19143850354333847,0.45208418720343563,0.4663808747045085,0.6030735379986908,-0.0082534981424187,0.09954384434840198,0.3092576452498967,0.032410129941963836,0.4121698059126776,-0.11815312484638653,0.42722219699503006,0.6004262610680583
Lingual_R,-0.3703995995302181,-0.07429622832500343,0.4732845593954312,-0.38144068696953365,0.3156521449992397,1.0,0.7324337237640504,0.9046721740825729,0.6955004030851399,-0.3958732863146937,0.8005178204026602,0.6009976428908281,0.1867034056008974,0.5409726590078132,0.8624282899072621,-0.364426100200903,-0.1459864690835308,0.71859641274617,0.6058878256222217,-0.4440126285495773,0.7095449829516439,0.3865308170596077,-0.21209262435027226,-0.1646820943929616,-0.33623412038422557
Fusiform_R,-0.16382052009170284,-0.10192422219097953,0.6099887591879618,-0.1645787596623265,0.5950138293322672,0.7324337237640504,1.0,0.6674120761428379,0.3720407017045447,-0.052236913752407015,0.6303396101593438,0.22287059198696438,0.3757813622846511,0.03627273208933728,0.602409274541244,-0.03608007001575177,0.2559344601751108,0.33951129055241014,0.2871657372504706,-0.2533967957960489,0.5998896090013659,0.46402605073968073,-0.2725421491310761,0.022432301755741003,-0.06007224638868171
Vermis_10,-0.5408158487344257,-0.09007962956460093,0.3984785948440357,-0.5779001453975696,0.19729102821739922,0.9046721740825729,0.6674120761428379,1.0,0.7585623485050468,-0.5531233586611672,0.8747381241691811,0.7131362804914819,0.014322938607969259,0.6190891977732454,0.8032577986172995,-0.4185540150237256,-0.3291999932522491,0.7577797142174743,0.640610240869565,-0.4998232848013465,0.7170532772631147,0.324781530885257,-0.29362478644870915,-0.3082948863288455,-0.5164977598881386
Vermis_9,-0.41854597615107536,-0.19360498518941868,0.08061292380590308,-0.5032135050636898,-0.009832611582531446,0.6955004030851399,0.3720407017045447,0.7585623485050468,1.0,-0.5768742774304335,0.6699056153296402,0.7497155114691126,-0.18434110392589254,0.6702494799254232,0.595906771362406,-0.667549284591861,-0.5279521691630182,0.8451394991054354,0.7813807871262481,-0.5770615394720954,0.637874930463255,0.024858197460613015,0.08201192819449908,-0.2798058710807933,-0.4699359471629024
ParaHippocampal_L,0.708297019719015,0.4511054340465964,0.09279887986145086,0.8117119969155829,0.5207505006276618,-0.3958732863146937,-0.052236913752407015,-0.5531233586611672,-0.5768742774304335,1.0,-0.7253232188006224,-0.747403776748261,0.22516803463512655,-0.6059719633929813,-0.28348447685071465,0.7138053647908688,0.6361159538948147,-0.5761077227705677,-0.2420396072819441,0.5698597430093434,-0.6055535915731122,0.04610605749823485,0.22555113040459962,0.7330043855385344,0.9332114773457527
Temporal_Pole_Sup_R,-0.5810185992364483,-0.24340969990655376,0.31108952746247825,-0.707918692876327,-0.0007751636742471023,0.8005178204026602,0.6303396101593438,0.8747381241691811,0.6699056153296402,-0.7253232188006224,1.0,0.7043915213365002,0.05720036231720095,0.5249270403009755,0.6685204871696668,-0.506550554736787,-0.30701441976700045,0.6639783842950672,0.4130543131941704,-0.6355212953674202,0.8251070139480938,0.2978454539321356,-0.3535369089779091,-0.49075668165370373,-0.6961105127504289
Occipital_Mid_R,-0.48934358595863187,-0.15307257060301668,0.03710432070221331,-0.689786640286178,-0.2130321882330645,0.6009976428908281,0.22287059198696438,0.7131362804914819,0.7497155114691126,-0.747403776748261,0.7043915213365002,1.0,-0.09719468002491367,0.7042124917211952,0.5965108004598257,-0.5706105040440856,-0.5064174242890336,0.840778003930154,0.5655296045581785,-0.3859452192160861,0.7097427067904777,-0.029741582498394318,-0.0863159811796349,-0.6049757386189802,-0.6989150765986492
Frontal_Inf_Tri_R,0.45029186114208086,0.2575470736915852,0.19503785591019357,0.2722680629564359,0.5769471646813945,0.1867034056008974,0.3757813622846511,0.014322938607969259,-0.18434110392589254,0.22516803463512655,0.05720036231720095,-0.09719468002491367,1.0,-0.2893703921837076,0.3354413245849136,0.30044133198963363,0.7328125175197019,-0.0609260537989401,-0.21737722029827128,0.3289577215614001,0.1736048346425148,0.08162424230119758,-0.21654049313619628,-0.032646707223270496,0.282552782258962
SN_pc_L,-0.5383408347739949,-0.10906857574378581,0.14902649505031887,-0.489559476788614,-0.19143850354333847,0.5409726590078132,0.03627273208933728,0.6190891977732454,0.6702494799254232,-0.6059719633929813,0.5249270403009755,0.7042124917211952,-0.2893703921837076,1.0,0.49831789710230184,-0.5129204735443086,-0.6332905904651265,0.7291275882151451,0.5493947842812577,-0.4214257635237067,0.39758282511481235,0.20399961295459804,-0.0019284851382152773,-0.2065552996887046,-0.48800748498771856
Lingual_L,-0.07336224649467264,0.15951953635035682,0.38097025127036216,-0.2805332462267454,0.45208418720343563,0.8624282899072621,0.602409274541244,0.8032577986172995,0.595906771362406,-0.28348447685071465,0.6685204871696668,0.5965108004598257,0.3354413245849136,0.49831789710230184,1.0,-0.22886687435722491,0.017656899422799407,0.6526697702426472,0.5728329651010416,-0.18640930362374228,0.6189422149219623,0.2685196801269246,-0.20152692981291467,-0.18975467450414096,-0.17777207760045147
OFCpost_R,0.46324967732267136,0.4661764314763824,0.17114385158301296,0.5385818686907003,0.4663808747045085,-0.364426100200903,-0.03608007001575177,-0.4185540150237256,-0.667549284591861,0.7138053647908688,-0.506550554736787,-0.5706105040440856,0.30044133198963363,-0.5129204735443086,-0.22886687435722491,1.0,0.5788815888021825,-0.5534988990117963,-0.4552716937694394,0.5434719998947665,-0.48537275262278223,0.25453115992214953,-0.17919121302135066,0.44908210663171994,0.6417973308915341
Putamen_R,0.7084075946650492,0.3404558478207421,0.18995332468189888,0.5956691456871785,0.6030735379986908,-0.1459864690835308,0.2559344601751108,-0.3291999932522491,-0.5279521691630182,0.6361159538948147,-0.30701441976700045,-0.5064174242890336,0.7328125175197019,-0.6332905904651265,0.017656899422799407,0.5788815888021825,1.0,-0.4659074884011909,-0.3974714994256375,0.5284079334406444,-0.18382758608145872,0.03762494157138002,-0.06993656890274016,0.28256499856638145,0.6242414325548242
Cuneus_R,-0.4296193857596469,-0.11101896581968881,0.16003722703406578,-0.427047499033628,-0.0082534981424187,0.71859641274617,0.33951129055241014,0.7577797142174743,0.8451394991054354,-0.5761077227705677,0.6639783842950672,0.840778003930154,-0.0609260537989401,0.7291275882151451,0.6526697702426472,-0.5534988990117963,-0.4659074884011909,1.0,0.6897300639946243,-0.4652090643131761,0.6026971561099744,0.06385866827553101,-0.022512630518514144,-0.3302621756112374,-0.4721025772098386
Cerebellum_7b_L,-0.1875189213452829,0.03473316872162091,0.10830641268056318,-0.20649268751927466,0.09954384434840198,0.6058878256222217,0.2871657372504706,0.640610240869565,0.7813807871262481,-0.2420396072819441,0.4130543131941704,0.5655296045581785,-0.21737722029827128,0.5493947842812577,0.5728329651010416,-0.4552716937694394,-0.3974714994256375,0.6897300639946243,1.0,-0.29980005086635647,0.383078789693235,0.03227627288045146,0.29451989675101986,-0.036455317736816685,-0.1670437976078716
Heschl_L,0.6030879992895026,0.3236555744928183,0.0028716907619973945,0.5646182410040287,0.3092576452498967,-0.4440126285495773,-0.2533967957960489,-0.4998232848013465,-0.5770615394720954,0.5698597430093434,-0.6355212953674202,-0.3859452192160861,0.3289577215614001,-0.4214257635237067,-0.18640930362374228,0.5434719998947665,0.5284079334406444,-0.4652090643131761,-0.29980005086635647,1.0,-0.4639027079270574,-0.11162626232147599,0.2056389542287862,0.22407215291624719,0.58009869935956
Occipital_Inf_R,-0.3857465635762123,-0.24674464744964897,0.21154518880018797,-0.6105918963075994,0.032410129941963836,0.7095449829516439,0.5998896090013659,0.7170532772631147,0.637874930463255,-0.6055535915731122,0.8251070139480938,0.7097427067904777,0.1736048346425148,0.39758282511481235,0.6189422149219623,-0.48537275262278223,-0.18382758608145872,0.6026971561099744,0.383078789693235,-0.4639027079270574,1.0,0.10676685644425073,-0.22125109739289847,-0.4857441088979564,-0.5923009617598072
VTA_R,-0.2865550956945387,0.012523133812168415,0.6576520542207519,0.02941878590083352,0.4121698059126776,0.3865308170596077,0.46402605073968073,0.324781530885257,0.024858197460613015,0.04610605749823485,0.2978454539321356,-0.029741582498394318,0.08162424230119758,0.20399961295459804,0.2685196801269246,0.25453115992214953,0.03762494157138002,0.06385866827553101,0.03227627288045146,-0.11162626232147599,0.10676685644425073,1.0,-0.23898286438137306,0.3954820959208608,0.11942266688555216
Cerebellum_Crus2_L,0.3489399569626059,-0.013649402917821631,-0.16609449415063995,0.32990858631355446,-0.11815312484638653,-0.21209262435027226,-0.2725421491310761,-0.29362478644870915,0.08201192819449908,0.22555113040459962,-0.3535369089779091,-0.0863159811796349,-0.21654049313619628,-0.0019284851382152773,-0.20152692981291467,-0.17919121302135066,-0.06993656890274016,-0.022512630518514144,0.29451989675101986,0.2056389542287862,-0.22125109739289847,-0.23898286438137306,1.0,0.24156152650973844,0.3086109466916541
SN_pr_L,0.3189367684650568,0.30379562364808727,0.27081184950446613,0.6734372131876548,0.42722219699503006,-0.1646820943929616,0.022432301755741003,-0.3082948863288455,-0.2798058710807933,0.7330043855385344,-0.49075668165370373,-0.6049757386189802,-0.032646707223270496,-0.2065552996887046,-0.18975467450414096,0.44908210663171994,0.28256499856638145,-0.3302621756112374,-0.036455317736816685,0.22407215291624719,-0.4857441088979564,0.3954820959208608,0.24156152650973844,1.0,0.7630184494979091
Hippocampus_L,0.7535162323425126,0.42369796112050856,0.14823564364929892,0.8864933853142796,0.6004262610680583,-0.33623412038422557,-0.06007224638868171,-0.5164977598881386,-0.4699359471629024,0.9332114773457527,-0.6961105127504289,-0.6989150765986492,0.282552782258962,-0.48800748498771856,-0.17777207760045147,0.6417973308915341,0.6242414325548242,-0.4721025772098386,-0.1670437976078716,0.58009869935956,-0.5923009617598072,0.11942266688555216,0.3086109466916541,0.7630184494979091,1.0
