,Temporal_Sup_L,Calcarine_R,Rolandic_Oper_R,Caudate_L,Occipital_Sup_R,Thal_LGN_L,Temporal_Sup_R,SN_pr_L,Frontal_Sup_2_R,Cerebellum_4_5_R,Vermis_6,Supp_Motor_Area_R,Thal_PuL_L,Cerebellum_7b_L,Frontal_Sup_Medial_R,Supp_Motor_Area_L,Frontal_Inf_Oper_R,Thal_VPL_L,Cingulate_Mid_L,Thal_MDl_R,Thal_PuA_L,Cingulate_Post_R,Precuneus_L,Thal_MGN_R,Temporal_Mid_R,LC_L,Thal_Re_L,Thal_IL_R,Rectus_R,Thal_AV_L,Thal_Re_R,Occipital_Mid_R,Temporal_Inf_L,Heschl_L,Olfactory_R,Thal_MDm_L,Putamen_R,ACC_sub_R,Rolandic_Oper_L,ACC_sup_L,Frontal_Med_Orb_R,Angular_R,Temporal_Pole_Mid_R,Hippocampus_R,Insula_R,Occipital_Inf_R,ParaHippocampal_L,Vermis_9,Paracentral_Lobule_L,Putamen_L,Parietal_Inf_R,Amygdala_L,N_Acc_R,Paracentral_Lobule_R,Frontal_Inf_Tri_L,Vermis_8,OFCmed_L,Temporal_Pole_Sup_L,Frontal_Sup_2_L,Cerebellum_3_L,VTA_R,Cerebellum_10_R,ACC_pre_L,Postcentral_R,Frontal_Med_Orb_L,Thal_VL_R,Amygdala_R,LC_R,Thal_PuA_R,Frontal_Sup_Medial_L,Pallidum_L,SupraMarginal_R,Precentral_L,OFCpost_R,Parietal_Sup_L,Thal_VA_R,Cerebellum_9_R,Thal_MDl_L,SN_pc_L,Cuneus_L
Temporal_Sup_L,1.0,-0.4620985152478379,0.05093781132839734,0.7975497536384751,-0.4286678555757237,0.4140971706950364,-0.23423768209087997,0.4984606763439482,0.4378712897944387,-0.23892635402489135,-0.3848814298067467,0.112395250750547,-0.16900338499446013,-0.17594576868136852,0.5850848988155476,0.42313953667230364,-0.26176674821115353,0.49962747845666006,0.32396396644323866,-0.14204189611014392,0.5422217701557976,0.1408884053409928,-0.01638908826995597,-0.1086580725672273,-0.6577965132848453,0.500977898290286,0.4951596544894256,0.17846868088878373,0.5721451222379659,-0.3666029977499273,0.3209776130304132,-0.529797736921136,0.796355808679303,0.8080988839807175,0.557756814623197,0.4980607691624696,0.49966244460386355,0.3762541275434046,0.8622352458656551,0.43021351416253606,0.47847111470983866,-0.5031477854826819,-0.571671421014198,0.4583564449154033,-0.19240708796574513,-0.6365090618870509,0.7757645912548502,-0.5305543659282516,0.23277531099906404,0.7384967736224038,-0.3841200014979487,0.7845269065031147,0.3294283549850581,0.001174896221260429,0.7797944597676928,0.07446072202052939,0.4961236893039329,-0.5392473071041125,0.7201984577780073,0.5561070665543986,-0.05015912338829669,0.47286306221196567,0.7571840880757136,-0.10372989036177928,0.5956367199411723,0.2557880023116307,0.3715322138214708,0.4568970454979578,0.3262350881626089,0.6638308430442165,0.623149911315998,-0.46062287834289434,0.5762307797110886,0.6580921195504953,-0.3023102197974415,0.5697554714406665,-0.3783367305791423,0.4772657598125677,-0.4088810956229462,-0.28057765276504704
Calcarine_R,-0.4620985152478379,1.0,0.07905866510762326,-0.41034685052506387,0.6479007829411513,0.17305975792238362,0.35972851510380566,-0.17481796281762182,-0.4189843573630705,0.7135352934852506,0.6782990455788926,-0.05386571998781037,0.32824063209062504,0.5885203592831424,-0.3974030479827023,-0.10359121452540711,0.5369626493819544,-0.2468890967811307,0.07233270474117151,0.4506221314219667,-0.2846133119824868,0.3781812241425708,0.4472561622607068,0.24406583979824087,0.7477917919454947,-0.3445668115918825,-0.599177333322172,-0.11665239944224588,-0.23218012521965486,0.5762517170202031,-0.3918988589875423,0.7115297580717023,-0.4788005489647,-0.46703695156901365,-0.4625260072269524,-0.26339432824136616,-0.3270010292106099,-0.5040019012637521,-0.4908721337623148,-0.18022850591565873,-0.14202289351553332,0.7483098948934204,0.47090732230134974,-0.4526850648080727,0.44631454280887006,0.6195571387204881,-0.4910343383627596,0.7091436059186532,-0.0833207623381921,-0.5705062506669469,0.6129231959161076,-0.6684403890407559,-0.472346423439144,0.369826591941831,-0.21443902743612045,-0.3323034926594072,-0.19032384744096487,0.6163849004651486,-0.5126312982785237,-0.38363198045010083,0.36250322717703914,-0.4659365489817782,-0.6567582253104329,0.2914098730973644,-0.24430898418897817,0.044075546398759026,-0.45487624495284934,-0.6823387784610693,0.004968522114657449,-0.43614637484988433,-0.6350781697720337,0.7237651785845916,-0.17819723421693967,-0.3618627751797464,0.5541910203044155,-0.5854206406323468,0.6312804023587021,-0.5623573408614294,0.6816731531669099,0.684462886897769
Rolandic_Oper_R,0.05093781132839734,0.07905866510762326,1.0,0.1602801679361355,-0.35387802634317084,0.1930703512411483,0.8636966729902128,0.12175621798945058,0.454495332875046,0.3974887968836403,0.4410685396609795,0.10101396791947737,0.5598490280512854,-0.23065904035799448,0.03401017561501047,-0.20017891439471228,0.623785950127817,0.5527444870611726,0.31468760722360184,-0.12979982807117585,0.27235100770568194,0.6484327110951367,-0.32121732294127203,-0.01988565814142656,0.38754805872360326,0.10936979365116585,0.29480303963317095,0.12385761044069132,0.054133718474159855,0.048259256382176985,0.07918842802762492,-0.2416460318972827,-0.0663804314445086,0.12554840689906224,0.48743129333193064,0.40289507523711526,0.6940811891772728,0.4320957243658069,0.24407558930687456,0.2690956065325875,-0.23634309579725438,-0.10066724920587629,-0.12527097493231024,0.6581759273621512,0.8219049814167523,0.194031198070884,0.24342566306723054,-0.20864421408329187,-0.25992462925262966,0.2834629219063407,-0.2793727456890239,0.08642678557733947,0.08547130655398318,-0.4433021350648262,0.034815408121482795,0.13439832173117874,0.04706597156742385,-0.2485785350570217,-0.10364317405272239,0.4482586352274511,0.2756967095899778,0.19192069793418187,0.2802626581694801,-0.3116231774512524,-0.3810262609760728,0.37125932476353884,-0.006654069254256191,0.20765872899233842,0.3903175625001244,0.11417062872854923,0.32874183171471494,0.3191479582846412,-0.04824960889552392,0.2916190236084801,-0.4357703369321047,0.32763294095667805,0.3619295229469069,0.33906179867553426,-0.36794329131308057,-0.3080712652476591
Caudate_L,0.7975497536384751,-0.41034685052506387,0.1602801679361355,1.0,-0.5928428497473184,0.4102473585969206,-0.1592929881276295,0.6734372131876548,0.6412104939752438,-0.20929567102115545,-0.26426066250272434,0.3119411621988993,-0.0449347525811599,-0.20649268751927466,0.7264435464285656,0.4507910197919978,-0.25200595002088,0.5621421777627502,0.32053132459589756,-0.006132594821810728,0.6104220608500229,0.13427458317799856,-0.09783638548855568,0.04973132187141118,-0.5893810064209718,0.5124757739734123,0.5710452363833277,0.4057829984479942,0.5956329711025372,-0.19707458510862347,0.2607856766074269,-0.689786640286178,0.7065424061775436,0.5646182410040287,0.6139686389597696,0.5021432254951812,0.5956691456871785,0.4451180290547353,0.8622446489513919,0.7138739258817316,0.46959882195925673,-0.6222533687636912,-0.7196199473183577,0.6120134089385303,-0.08536279609930865,-0.6105918963075994,0.8117119969155829,-0.5032135050636898,0.1944183851238484,0.6866053944558316,-0.4761434015698139,0.7356912647113898,0.24779329626878743,-0.026374876360224783,0.5872814230887736,0.33696493561910984,0.4995105413548161,-0.6155361138399983,0.7758080388830294,0.6904947333040703,0.02941878590083352,0.46103213997925535,0.8370793193772402,-0.20481320537412412,0.44941390843664336,0.27843806618783934,0.5640577725158334,0.5988043805501428,0.3141290667792981,0.6660013772104632,0.5745704006496463,-0.5363747051122133,0.6733882418308329,0.5385818686907003,-0.4269669298124619,0.649741739586436,-0.3284752860562644,0.37445676063966465,-0.489559476788614,-0.38601859889141726
Occipital_Sup_R,-0.4286678555757237,0.6479007829411513,-0.35387802634317084,-0.5928428497473184,1.0,0.041405974346541786,-0.08894744321223869,-0.4871753150331911,-0.6162360973600316,0.23881446799656425,0.22369699527982748,-0.07991840160633581,0.05867507190414642,0.5893180636222385,-0.28029391033677115,-0.003708227822343643,0.35446133290747917,-0.4478227389636222,0.09321441410900687,0.19622573154096346,-0.25506521341725563,0.15634574955756433,0.7906256224959223,0.2696539878833224,0.5018856028861373,-0.455549342012059,-0.6756831996160083,-0.22468251270216558,-0.41003050410593345,0.4146671529004369,-0.20217388997403934,0.8980291243150977,-0.3723772782179472,-0.3596797851416379,-0.7877176149970829,-0.25259649045387267,-0.601876535490169,-0.7977942251321786,-0.5176326203635394,-0.2991234254095789,-0.15753932789704833,0.933412297728785,0.5584753551463495,-0.8150222127951449,-0.04256817061041159,0.4677318236166751,-0.6714640660970014,0.7324378439074795,0.16113064918575132,-0.4345628473792729,0.9222817013566734,-0.7009024028901748,-0.10254896567157323,0.6601321569459664,0.005445303231883096,-0.503744646095862,-0.29713493935058694,0.7476022188760343,-0.3470530315949499,-0.7898293776055891,-0.1017560031498533,-0.6503188108051527,-0.7383475739895735,0.6923873294152735,-0.03230055713148646,0.07661436097054238,-0.5659854686034888,-0.6967604360564041,-0.03836674468037811,-0.229905581204932,-0.5572656020349611,0.6496181932897752,-0.17920087612412736,-0.5963718007776695,0.9401592932662692,-0.6248422693129513,0.20622280290738418,-0.4689825203596374,0.7791292951657578,0.9354580460977443
Thal_LGN_L,0.4140971706950364,0.17305975792238362,0.1930703512411483,0.4102473585969206,0.041405974346541786,1.0,0.13185310498813196,0.2937325615809252,0.22673514657832075,0.31733425549994543,0.09771498240885303,0.22272413512070693,0.1089413730131548,0.21577789935203143,0.35404032447030986,0.25240292652562274,0.2344032361530632,0.3494665077654338,0.29514177172239564,0.21364597491884482,0.4849740278697144,0.5144263721646894,0.34911683937992694,0.13960520429538248,0.020376612355924726,0.14918034673404773,0.036515233322540516,0.3205886536430395,0.18867746698566706,0.26387840442318006,0.05134083234683881,-0.018397152041121866,0.401279687986524,0.26324008903160834,0.11639644260375334,0.4591417130308237,0.32950016879227545,-0.024393108967655088,0.3871280132796766,0.29312513989831523,0.17460619333736868,0.07578341265432184,-0.1424381849594973,0.17482332723586433,0.1511527798853377,-0.018248826912841395,0.30190922605293585,0.10441861461842257,0.24145967033657675,0.3274270373269743,0.06105243552795658,0.12033498731734366,0.016375406453133776,0.27759662102481136,0.5255904254470198,-0.05979569038162176,0.10641222916047303,0.0012258239693933616,0.2901410501632178,0.23911228558373848,0.2331538237330357,0.13129531485754403,0.20902573289489693,0.20096689426846076,0.26057430472126825,0.4559026021495871,0.07301839734334307,0.0722763266441669,0.5740303867809838,0.2725167718550062,0.2279631934738208,0.13935369802173192,0.4210143354665765,0.17759212969196284,0.09368406586052003,0.3181240414840032,0.0785276451562733,0.11013200866528215,0.16278675360383726,0.11936103007996872
Temporal_Sup_R,-0.23423768209087997,0.35972851510380566,0.8636966729902128,-0.1592929881276295,-0.08894744321223869,0.13185310498813196,1.0,-0.09880167265364294,0.19501222292704146,0.6148560321145092,0.6797419822471541,-0.010425194897580247,0.6091253832801901,-0.06086907713602858,-0.26838498722724274,-0.31330634849010325,0.7255468325127243,0.37700849643905837,0.17615824566175114,0.029588218325134783,0.06370984024891678,0.6159430501322593,-0.21451760285332852,-0.06992158720364172,0.6936859867718291,-0.0723345281796578,-0.058228374519842536,0.03200335309987835,-0.12220832055520894,0.33306648922265114,-0.18570199738217635,0.09630122463509093,-0.3489981272733496,-0.06610171501333899,0.26965512435264705,0.2361335286956418,0.4872124184210488,0.2636185953053376,-0.11615461628595351,0.07889619042228643,-0.33955856992117345,0.1685656857693947,0.16415055630841507,0.4082351809993397,0.9270172889970031,0.4920161359267807,-0.05487230568955864,0.06639853914089054,-0.22859608381393173,-0.029060084103293544,-0.10117978024685699,-0.23669803361241484,-0.10075704146251552,-0.3557031743648096,-0.16128076416912665,0.04768962783238918,-0.11909527752594687,0.034649478712601475,-0.3866517215929915,0.19640410951305473,0.3479045895872445,0.025530326884028565,-0.05507250033643597,-0.2266350124143658,-0.4662438464562514,0.3191809935485719,-0.21723304701803353,-0.10581373981670142,0.36532495639860346,-0.21827389316168258,0.058842123673013814,0.5890922487377781,-0.2283671286674754,0.06701962273985278,-0.2454748091891252,0.058848691037754156,0.652089905978566,0.08997431533827008,-0.13419593860295892,-0.09189348015337165
SN_pr_L,0.4984606763439482,-0.17481796281762182,0.12175621798945058,0.6734372131876548,-0.4871753150331911,0.2937325615809252,-0.09880167265364294,1.0,0.36644166531479966,0.027212185306129486,0.013056851405025096,0.21162236047972907,-0.10384342101995697,-0.036455317736816685,0.3968705615692244,0.24656419723109596,-0.35702084563773034,0.19952371265020843,0.03896025847279074,-0.06578316547576966,0.4007757722399583,-0.04667714102151927,-0.12109116338818231,0.3274606642348924,-0.41799106085041815,0.4036795953963184,0.4690871533047752,0.14954938092370715,0.7162146960429268,-0.21958918259705765,0.30903257604921236,-0.6049757386189802,0.5370507951643227,0.22407215291624719,0.5626338139111737,0.11153058725637982,0.28256499856638145,0.23257071501443385,0.5799947755683938,0.23655123359009456,0.6087149678662661,-0.46540307259956476,-0.6310630102179657,0.4856493441192225,-0.019561081034002222,-0.4857441088979564,0.7330043855385344,-0.2798058710807933,0.1299402565918359,0.3189367684650568,-0.39042836154413707,0.5617585688976425,-0.09833599327615303,0.0030168100853901767,0.2041149091177691,0.2869442854364137,0.5810387214416579,-0.5202864928460025,0.476467446020239,0.7534845175299788,0.3954820959208608,0.4252958297594885,0.503149767554401,-0.29655122464242983,0.41833017647462234,-0.09805420410823529,0.5743646852525635,0.34019427062792945,-0.024071395334566714,0.25620307343639365,0.2166320518318977,-0.47122773916234056,0.5117230264328856,0.44908210663171994,-0.33247952323396723,0.28508715535150886,-0.04331402731206017,0.10552118291767296,-0.2065552996887046,-0.34487200299396426
Frontal_Sup_2_R,0.4378712897944387,-0.4189843573630705,0.454495332875046,0.6412104939752438,-0.6162360973600316,0.22673514657832075,0.19501222292704146,0.36644166531479966,1.0,-0.11091702283373535,-0.15073955225214603,0.6425229025220678,0.05974081029997531,-0.46368077248412815,0.7196667875249732,0.42922998053697603,-0.025679352294171065,0.43023728089960195,0.5056468487054853,-0.05547793141214756,0.30835962528516586,0.16479604062079503,-0.22060618843289265,-0.242522625845273,-0.30830060031330814,0.17052513747081205,0.449162703825381,0.30518625372733044,0.24885816342530928,-0.05331832048496951,0.25408568382736174,-0.6413834241322123,0.365558704327167,0.3842249746980925,0.6486230628592554,0.4449906781398771,0.5895600473518138,0.537993609239142,0.5427898054382911,0.6701451799565986,0.07146663088506885,-0.5028593176292564,-0.4140651027464273,0.634438304343211,0.144403046679313,-0.3677519601254085,0.5120522351603386,-0.5097956780471405,0.24559469586647786,0.4344653045217834,-0.41329724992209965,0.5276890121338678,0.1259892971069971,-0.2522748583226889,0.2682627587892827,0.3354997859152388,0.19752235880982677,-0.5092071555512618,0.6387166808204569,0.5442671916339474,0.09613803087429351,0.5327123410224905,0.7541313575722948,-0.06738059425288119,0.014014796797666549,0.21772819300372137,0.42353000339305164,0.560492108496092,0.27660424082667173,0.6282133994067203,0.4515775380732694,-0.20950685044693368,0.5455555379030367,0.43924522380245873,-0.5612623234693422,0.630549692840704,-0.18180342257916104,0.42694635004980247,-0.6254197187837339,-0.5541537902109108
Cerebellum_4_5_R,-0.23892635402489135,0.7135352934852506,0.3974887968836403,-0.20929567102115545,0.23881446799656425,0.31733425549994543,0.6148560321145092,0.027212185306129486,-0.11091702283373535,1.0,0.7876028361763552,-0.05099423155801312,0.4004817209546179,0.4295140173752743,-0.3707003556002326,-0.14944241693871702,0.5477870993204291,0.05968725045890547,0.03359854561341244,0.3000395424982166,-0.024850587450095413,0.4458047783257048,0.16874311615776505,0.1546509762978784,0.6998702032405505,-0.1563578790407204,-0.33777006540863164,-0.0001636162323137369,-0.10663336180871581,0.4928148024039901,-0.21491619050668995,0.3673289222150259,-0.2071729984347674,-0.23372747071429834,-0.019387520185130253,0.05609070881768097,0.08336146205436568,-0.11535436467597517,-0.25349767606918355,-0.09270083010982996,-0.18887334431880312,0.43024789823740633,0.3110122342733163,-0.028402780117052186,0.6502222166769263,0.5275575795236842,-0.14211009459169144,0.5119220370490665,-0.06749032358033477,-0.23514195747071226,0.22751290839976984,-0.4153580018298328,-0.3289714879388365,0.11136238639048726,-0.1759852756273593,-0.1465542546777351,-0.09632121199713174,0.3329495031760359,-0.4491112652443939,0.07021906147586729,0.519163351081505,-0.09863669978382182,-0.34504304055679125,0.03346496543736653,-0.2930223192842025,0.21436462722045938,-0.32167083853088174,-0.4149715249824564,0.2699379268255865,-0.41018242454749604,-0.24046625915306155,0.5763755923394045,-0.0612742596599837,-0.02720122125251359,0.1513207385233149,-0.21690556877749165,0.773468128909847,-0.1842606615972626,0.33908822586190907,0.24529783880620673
