,Temporal_Mid_R,Thal_PuA_L,Vermis_6,Precuneus_R,Frontal_Inf_Oper_L,Temporal_Pole_Mid_L,Cerebellum_9_R,Thal_Re_R,Thal_AV_L,Thal_VPL_R,Cerebellum_4_5_R,Cerebellum_8_L,N_Acc_L,Frontal_Mid_2_L,Thal_MDl_L
Temporal_Mid_R,1.0,-0.15740917929995152,0.8261045047151372,0.3677034628817536,-0.4816894361034195,0.6618663664904281,0.8021262842276132,-0.30831132813038997,0.6025013341795649,0.36360162022176384,0.6998702032405505,0.33905393962430697,-0.24056064526133214,-0.6378355794606763,-0.34565661000318915
Thal_PuA_L,-0.15740917929995152,1.0,0.08726429225332276,0.2350027222614321,0.6825156525142311,-0.1377661526890101,0.015837553128983994,0.3150210741082209,-0.04000261519257996,0.5483428165472418,-0.024850587450095413,-0.17320331600288513,0.09015077730273457,0.6149612075364437,0.3541578197515779
Vermis_6,0.8261045047151372,0.08726429225332276,1.0,0.36276339317123685,-0.26078927485177134,0.5217366414966823,0.9343014422075951,-0.21214264442225053,0.504871909795053,0.4186987274337076,0.7876028361763552,0.3938191802078163,0.057105278044754376,-0.4125917455063216,-0.3613435247093234
Precuneus_R,0.3677034628817536,0.2350027222614321,0.36276339317123685,1.0,0.2529094610437999,0.4478897400688375,0.31625875646525803,0.01568985035948304,0.4623350613017074,0.45970501117894674,0.4119728009832654,0.013078517055552243,0.2530431806182837,-0.08489266385362298,-0.1994471476674249
Frontal_Inf_Oper_L,-0.4816894361034195,0.6825156525142311,-0.26078927485177134,0.2529094610437999,1.0,-0.38537898003979254,-0.28212333400687944,0.30351392394135174,-0.16244798639167962,0.3967392749037525,-0.1728654910071342,-0.1843973659347148,0.26122413293446056,0.7892215610173875,0.40863506315608955
Temporal_Pole_Mid_L,0.6618663664904281,-0.1377661526890101,0.5217366414966823,0.4478897400688375,-0.38537898003979254,1.0,0.5093268349182452,-0.14088087079306447,0.4318447475777947,0.20644711813381025,0.3948629672837992,0.019771702684062233,-0.08635709995478474,-0.6019206584026247,-0.48383439261926176
Cerebellum_9_R,0.8021262842276132,0.015837553128983994,0.9343014422075951,0.31625875646525803,-0.28212333400687944,0.5093268349182452,1.0,-0.26227130634384993,0.5424937812067233,0.33632324477084985,0.773468128909847,0.5165941814064184,0.01676588672454655,-0.43299705633487945,-0.3531202481089679
Thal_Re_R,-0.30831132813038997,0.3150210741082209,-0.21214264442225053,0.01568985035948304,0.30351392394135174,-0.14088087079306447,-0.26227130634384993,1.0,-0.4130676710783016,-0.01874713024597189,-0.21491619050668995,-0.20585527776635992,0.02172987301683852,0.37919774373010606,0.44083925493033327
Thal_AV_L,0.6025013341795649,-0.04000261519257996,0.504871909795053,0.4623350613017074,-0.16244798639167962,0.4318447475777947,0.5424937812067233,-0.4130676710783016,1.0,0.36878959585405174,0.4928148024039901,0.35552422002037876,0.10101353909990206,-0.3111455634007249,-0.4590618152526901
Thal_VPL_R,0.36360162022176384,0.5483428165472418,0.4186987274337076,0.45970501117894674,0.3967392749037525,0.20644711813381025,0.33632324477084985,-0.01874713024597189,0.36878959585405174,1.0,0.5004509574602811,0.11255297959072938,0.09653777907034332,0.1443413377224264,0.05336023637955532
Cerebellum_4_5_R,0.6998702032405505,-0.024850587450095413,0.7876028361763552,0.4119728009832654,-0.1728654910071342,0.3948629672837992,0.773468128909847,-0.21491619050668995,0.4928148024039901,0.5004509574602811,1.0,0.6070260444487307,0.08566246181079692,-0.3052663808179969,-0.1842606615972626
Cerebellum_8_L,0.33905393962430697,-0.17320331600288513,0.3938191802078163,0.013078517055552243,-0.1843973659347148,0.019771702684062233,0.5165941814064184,-0.20585527776635992,0.35552422002037876,0.11255297959072938,0.6070260444487307,1.0,-0.011746194447242843,-0.12654261581902482,-0.0016030847401396864
N_Acc_L,-0.24056064526133214,0.09015077730273457,0.057105278044754376,0.2530431806182837,0.26122413293446056,-0.08635709995478474,0.01676588672454655,0.02172987301683852,0.10101353909990206,0.09653777907034332,0.08566246181079692,-0.011746194447242843,1.0,0.2028355385960048,-0.29649169339777565
Frontal_Mid_2_L,-0.6378355794606763,0.6149612075364437,-0.4125917455063216,-0.08489266385362298,0.7892215610173875,-0.6019206584026247,-0.43299705633487945,0.37919774373010606,-0.3111455634007249,0.1443413377224264,-0.3052663808179969,-0.12654261581902482,0.2028355385960048,1.0,0.6392997260737642
Thal_MDl_L,-0.34565661000318915,0.3541578197515779,-0.3613435247093234,-0.1994471476674249,0.40863506315608955,-0.48383439261926176,-0.3531202481089679,0.44083925493033327,-0.4590618152526901,0.05336023637955532,-0.1842606615972626,-0.0016030847401396864,-0.29649169339777565,0.6392997260737642,1.0
