,Thal_PuL_R,Lingual_R,Thal_LGN_L,Frontal_Med_Orb_R,Angular_R,Vermis_9,Frontal_Mid_2_R,Olfactory_R,Paracentral_Lobule_R,OFCpost_L,Caudate_R,Frontal_Sup_2_L,Thal_VA_L,OFCpost_R,Hippocampus_R,Thal_MGN_L,VTA_L,Temporal_Sup_R,ParaHippocampal_L,Temporal_Pole_Sup_R,Parietal_Sup_L,Insula_L,ACC_sub_R,Putamen_R,Postcentral_R,Thal_AV_L,Cerebellum_8_L,Cerebellum_8_R,Thal_PuA_L,Raphe_D,Amygdala_R,Paracentral_Lobule_L,OFCmed_R,Temporal_Pole_Sup_L,Cerebellum_9_L,Thal_MGN_R,Temporal_Inf_R,OFCant_L,Occipital_Sup_L,Frontal_Inf_Tri_R
Thal_PuL_R,1.0,0.15326004369750199,0.30403540141007107,-0.1050004486684976,-0.08325456930843378,0.03158412983767777,0.48803286798199597,0.2891075821050816,0.056668564712035595,0.286263607002905,0.5306654175627686,0.16468978236127652,0.4565978149120224,0.05997312713013718,0.4215529653415413,0.45318542470645146,-0.11851391959493103,0.2878001613585422,0.3813438258420726,-0.051500221558851714,-0.15278588573113272,0.2538005517081846,0.19001868319919277,0.5066145394345838,-0.1361055605651814,-0.023307308253517917,0.0012779751509019287,0.2031790575252997,0.6426515763338323,0.2726051799043373,-0.028378500450666193,-0.12825653692011008,-0.06150149959021444,-0.14714026948903106,0.09306851671970977,0.4460061633284977,0.1288913920672204,0.1333162271208508,-0.3618807365727313,0.47979678566397105
Lingual_R,0.15326004369750199,1.0,0.25783605708238555,-0.2516827652244612,0.646214077976842,0.6955004030851399,-0.11479296328240234,-0.33646414179024525,0.2428704061795399,-0.07429622832500343,-0.3024375702165939,-0.5810137681433457,-0.2876288470058214,-0.364426100200903,-0.25746617560324153,0.08034835785649976,0.7102276229474244,0.5710253141223709,-0.3958732863146937,0.8005178204026602,0.3774970240708419,-0.20832994601079727,-0.3907889373522939,-0.1459864690835308,0.11015443016132523,0.6037642790760754,0.3318250266178898,0.5987734476344816,-0.06521035981888207,-0.5582153817822981,-0.5326805204859032,-0.12776893559715205,-0.5361885710507218,0.5784482675548791,0.816991572658791,0.3061756792033948,0.7272344969021665,-0.670686063156003,0.4227925437359289,0.1867034056008974
Thal_LGN_L,0.30403540141007107,0.25783605708238555,1.0,0.17460619333736868,0.07578341265432184,0.10441861461842257,0.3320757839641312,0.11639644260375334,0.27759662102481136,0.268132964792126,0.30797244686467945,0.2901410501632178,0.4070598582628093,0.17759212969196284,0.17482332723586433,0.5160873478709808,0.08326646085333585,0.13185310498813196,0.30190922605293585,-0.08097318953792984,0.09368406586052003,0.5148208603332486,-0.024393108967655088,0.32950016879227545,0.20096689426846076,0.26387840442318006,0.15762340968966884,0.03739100884737826,0.4849740278697144,0.11562984115974308,0.07301839734334307,0.24145967033657675,0.1705858760342773,0.0012258239693933616,0.15110686798957246,0.13960520429538248,0.0831955087574721,0.141867682545908,0.015413026940658723,0.39001975759869234
Frontal_Med_Orb_R,-0.1050004486684976,-0.2516827652244612,0.17460619333736868,1.0,-0.30080808122251784,-0.24180573420754317,-0.042092376758565954,0.29515905445893237,0.2636554000480323,0.29615409675539295,0.062365595083717563,0.6118896794291837,0.01770857096820497,0.22241045907549117,0.1377261890303159,0.06619854749722112,-0.17122809133799924,-0.33955856992117345,0.5000355094869563,-0.5497555315125849,0.0191765802548155,0.3825609780131784,-0.032419051618843134,-0.009671848913858404,-0.12009443714101453,-0.2763816345925001,-0.18040466198412583,-0.49801070511438306,0.2991188647787454,0.36031900678017925,0.49741063198717117,0.31600324518649275,0.5654510290240273,-0.3855289753666683,-0.16329851520880362,0.1689458611530265,-0.15142632052395597,0.47557176807877294,-0.1829962832344715,-0.2796242122978803
Angular_R,-0.08325456930843378,0.646214077976842,0.07578341265432184,-0.30080808122251784,1.0,0.7881462199499414,-0.31944140665993015,-0.6948872451836314,0.584288637606017,-0.0347718009936967,-0.6520534266954782,-0.4609892895079351,-0.4959888354948045,-0.5637211710564105,-0.7004601264389289,-0.17150511222246093,0.7512483256697621,0.1685656857693947,-0.6809757341862549,0.688967574034295,0.8526900307068852,-0.29246391630013174,-0.7310770679130961,-0.49579616236158025,0.6591976656756955,0.4816776747955571,-0.017410050618604497,0.3589056475424034,-0.23289942160127475,-0.8692884922574815,-0.6534616132358138,0.10788331837128039,-0.5033060104532526,0.7349433223716278,0.4710273030082105,0.3052272131273466,0.25046304579344625,-0.8109982980767911,0.8301653048060046,-0.04241618077939086
Vermis_9,0.03158412983767777,0.6955004030851399,0.10441861461842257,-0.24180573420754317,0.7881462199499414,1.0,-0.38885320229216896,-0.6175000622790187,0.6048422518621223,-0.19360498518941868,-0.5740967630217577,-0.4950874579692111,-0.491292099291349,-0.667549284591861,-0.644822182968454,-0.10698278889819257,0.7473731040362277,0.06639853914089054,-0.5768742774304335,0.6699056153296402,0.7162117630386732,-0.4011617881222222,-0.6383725822722285,-0.5279521691630182,0.43865747300610797,0.5340133758343851,0.09942856273772113,0.5836859171634009,-0.09476942356936609,-0.7608565348434067,-0.5417677361379252,0.0853379800334811,-0.56000455498256,0.6869802216958633,0.6304434311223327,0.4095835337930184,0.32739190961266024,-0.7739541089359273,0.6299835812100093,-0.18434110392589254
Frontal_Mid_2_R,0.48803286798199597,-0.11479296328240234,0.3320757839641312,-0.042092376758565954,-0.31944140665993015,-0.38885320229216896,1.0,0.597417689945099,-0.2441036846973417,0.24980821215219362,0.7904278014947511,0.39885728989935487,0.7635655438353435,0.42298766429144874,0.679252711958611,0.2997381577777473,-0.4802203527114705,0.43105794866297353,0.516542033877275,-0.278896264167934,-0.41749115007794746,0.4874449695398128,0.6354727312351107,0.788772356826757,-0.008333459963876395,-0.061112643740686035,0.20002910187019635,-0.02180315816745908,0.4544152615240996,0.48760327598760944,0.30180344725244324,0.11638152672484231,0.22534904747021844,-0.49673250980562883,-0.15752437900369423,-0.16790194608651537,0.12902641703726134,0.4618860895962574,-0.3872807485537118,0.8160022332291509
Olfactory_R,0.2891075821050816,-0.33646414179024525,0.11639644260375334,0.29515905445893237,-0.6948872451836314,-0.6175000622790187,0.597417689945099,1.0,-0.4294233066564701,0.3578745418143316,0.7044576871668451,0.4038532148897005,0.6766355082844673,0.7421336611469594,0.8585557412792265,0.15285346186682894,-0.7157537281028976,0.26965512435264705,0.8083340034972022,-0.47114519986108905,-0.7256162498150222,0.5056666974978985,0.7813400013319699,0.707101805004889,-0.4614562484311395,-0.28214351512208613,0.24180040840877848,-0.2186764158298576,0.40378943038392573,0.8216795114383503,0.5213100691891583,0.08972623062104916,0.4361436214055142,-0.713943191491231,-0.14628106994591214,-0.22321496375856772,0.10836804507688422,0.7886329031163596,-0.7272881685969511,0.35259815073606515
Paracentral_Lobule_R,0.056668564712035595,0.2428704061795399,0.27759662102481136,0.2636554000480323,0.584288637606017,0.6048422518621223,-0.2441036846973417,-0.4294233066564701,1.0,0.10609285987357206,-0.37866800258109284,0.17473746425812706,-0.24791924912641222,-0.3597661784796263,-0.5566169403874094,-0.002686150239933137,0.4601253645714498,-0.3557031743648096,-0.12774166297280745,0.08763736151211525,0.8206879363990626,0.036455436070728396,-0.6206934895482119,-0.43137977022472584,0.6585666145607494,0.30877631719212206,-0.16422470255264193,0.02023757411774943,0.2097908451025833,-0.4620332489876502,-0.19517323473691806,0.5379512705285163,0.04400844035269603,0.36700950947141736,0.21748837602451823,0.417084935521395,-0.10877378930198954,-0.3122544694953447,0.52004355405089,-0.2597747950432515
OFCpost_L,0.286263607002905,-0.07429622832500343,0.268132964792126,0.29615409675539295,-0.0347718009936967,-0.19360498518941868,0.24980821215219362,0.3578745418143316,0.10609285987357206,1.0,0.19639383528565632,0.21436033676394187,0.32472265054361843,0.4661764314763824,0.26085336618805066,0.1941225802396924,-0.20666596530333223,0.05852948705607659,0.4511054340465964,-0.24340969990655376,0.004258807040202854,0.5271322047641384,0.14577624432999864,0.3404558478207421,-0.010130353254944387,-0.304236824728088,-0.023790388777440767,-0.33069143868522266,0.3746099469784676,0.22524060042039945,0.07029943309946664,0.049641756646001546,0.3642348204944553,-0.22152408806492743,-0.12406118094323208,0.11491846016411171,-0.08518213893830177,0.3445193106748814,-0.06112225138318824,0.2575470736915852
Caudate_R,0.5306654175627686,-0.3024375702165939,0.30797244686467945,0.062365595083717563,-0.6520534266954782,-0.5740967630217577,0.7904278014947511,0.7044576871668451,-0.37866800258109284,0.19639383528565632,1.0,0.4857794290289807,0.7505534158874981,0.5400905161876004,0.8283175168042684,0.5010990255167147,-0.617855397119865,0.23916834513924223,0.7169397864534519,-0.48932295618770283,-0.6610699399798697,0.5029353975213046,0.7212300324009286,0.862502312480836,-0.3296240753353131,-0.1543707774474214,0.11820656073867908,-0.10787991423636907,0.5407507180885203,0.7528095310831463,0.5190743622820093,-0.01409081556632021,0.35552950099727465,-0.6656447090233946,-0.2738694810188134,-0.09307851872982811,-0.0452472503177217,0.6972925132244542,-0.7038728576092336,0.6012398397193468
Frontal_Sup_2_L,0.16468978236127652,-0.5810137681433457,0.2901410501632178,0.6118896794291837,-0.4609892895079351,-0.4950874579692111,0.39885728989935487,0.4038532148897005,0.17473746425812706,0.21436033676394187,0.4857794290289807,1.0,0.4256834385277419,0.35036947015710035,0.3053504332653557,0.22896068992780821,-0.5224785242873796,-0.3866517215929915,0.5809545741628293,-0.7532199057407519,-0.16856800258891766,0.5992111897953809,0.1720782806857993,0.3076320235511495,0.08417668606363726,-0.2425279417749966,-0.25542709281279485,-0.5650486218254428,0.4446105620305412,0.5467166952202003,0.5286208516199591,0.42094147167679014,0.5843584573694071,-0.49873248564173756,-0.5058148461298825,-0.06883329406368714,-0.4485026607999219,0.6731578358051526,-0.38287334396145395,0.055752133029875514
Thal_VA_L,0.4565978149120224,-0.2876288470058214,0.4070598582628093,0.01770857096820497,-0.4959888354948045,-0.491292099291349,0.7635655438353435,0.6766355082844673,-0.24791924912641222,0.32472265054361843,0.7505534158874981,0.4256834385277419,1.0,0.5840032890681889,0.6902630616194516,0.3488068020675977,-0.6248035342807189,0.23128406909014018,0.6589618098677782,-0.44553012061122843,-0.5047458554475404,0.617545525035826,0.6781604930341727,0.7885527174959877,-0.16168435938165424,-0.11939250670502347,0.1784487109538454,-0.13602521200869708,0.5837367047656504,0.6267953895528087,0.3185350181224107,0.15040415964498588,0.4092860856198526,-0.5235623439578325,-0.2541804734895929,-0.23121904511071,-0.060978334242975385,0.5992302915038726,-0.45737322319677004,0.6382467316926655
