,Thal_LP_R,Thal_VL_L,Insula_L,N_Acc_L,Heschl_L,Frontal_Mid_2_R,OFClat_R,Paracentral_Lobule_L,VTA_L,Thal_PuA_R,Vermis_3,Cerebellum_4_5_R,Frontal_Inf_Tri_R,Angular_R,Vermis_6,Cerebellum_9_R,Thal_PuM_L,Frontal_Med_Orb_L,Calcarine_R,Frontal_Sup_Medial_L,Thal_MDl_L,Frontal_Inf_Oper_L,Temporal_Pole_Sup_R,Cerebellum_6_L,Frontal_Med_Orb_R,Occipital_Sup_L,Thal_Re_L,Thal_IL_L,OFCpost_L,Thal_MDm_R,Temporal_Mid_R,Cerebellum_Crus1_R,Thal_LGN_L,Occipital_Mid_R,Raphe_D,Occipital_Sup_R,Lingual_L,Frontal_Sup_Medial_R,Frontal_Inf_Tri_L,Putamen_R,VTA_R,Thal_VL_R,Paracentral_Lobule_R,Cingulate_Mid_L,Postcentral_L,Calcarine_L,Parietal_Sup_L,Occipital_Inf_L,Rectus_L,Thal_MDl_R,Vermis_9,Rectus_R,Amygdala_R,Vermis_7,Cerebellum_8_R,Angular_L,Pallidum_R,SN_pc_R,Occipital_Inf_R,Frontal_Inf_Oper_R,Precuneus_R,SupraMarginal_R,Cerebellum_Crus2_L,Thal_VPL_L,SN_pr_L,Cingulate_Post_R,ACC_sub_L,Parietal_Inf_R,OFCant_R,Thal_MGN_R
Thal_LP_R,1.0,0.4866277394243167,0.2568562914006014,0.4494602900839468,0.3579923462491252,0.21980694187427222,0.18776694613276787,0.003895400371485507,0.45998739873053435,0.18428364104896536,0.02504565998052642,0.10539954037197714,-0.014911135258817916,-0.1261216321302861,0.07277644116230515,-0.2108924148097824,0.1245530648168203,0.08184568650880028,-0.025715909683146704,0.1265945450709352,0.32586904994071497,0.015911281683119272,0.2917603525098974,0.10520297097354624,-0.11388699735581845,-0.25715804047070856,0.14325303335403208,0.44369995177078,0.09428218177800105,0.42812515123058226,0.050925161307617865,0.06801659519088062,0.37034287019290796,-0.2345687942425046,0.08578906527839236,-0.19319699245072822,-0.017048035418382537,0.12786734992887155,0.10032917276549788,0.4169733570896997,0.04288764796969939,0.13693626747857351,0.046055017764332434,0.3681088899907866,-0.04351697735922103,-0.04486385741493912,-0.15506845333532707,0.03526885551977676,-0.05720199303772978,0.3651033819880298,-0.08373611018625667,-0.07216035075621753,0.16140552298907712,0.12553004591981679,-0.0859360568461814,-0.1422619111463772,0.14993672971536928,0.3807528054325478,0.022151155881667897,-0.04853469187775595,-0.13166657318275213,-0.03775776112190879,-0.06679414821375373,0.2360106864194928,-0.24667732541270618,0.2066821210992869,-0.03837661252429421,-0.08242958522656654,-0.21371788630871497,-0.220950071276757
Thal_VL_L,0.4866277394243167,1.0,0.6368413478981181,0.4713501077685463,0.5856185822713574,0.5854925376020601,0.4951393881115549,0.037832154840992976,0.4855334108489181,0.040240971637422615,0.4341614390930969,0.23567426269700534,0.5269514349975607,-0.03882290910725408,0.11225653183388,-0.13870547461449625,0.3897086371124106,-0.18602169298507468,0.10221391365853225,0.26510690796223696,0.6901884507334564,0.3966014837151509,0.14938759561152126,0.3981998539134028,0.03301721031561057,-0.1484469732638756,0.3235456596493284,0.502778210064044,0.29495234802159903,0.2956362193676218,-0.05966709503310834,-0.08809311139371007,0.48173561909558527,-0.27000375743727995,-0.045546180973216915,-0.19846954029673974,-0.11365938670320302,0.4518937582223776,0.4014014237372488,0.6527154650966241,0.31706207866881353,0.3652191779440497,0.22667560303916848,0.6693398070549432,-0.058019270799001564,0.12159155802330666,-0.1865552610211147,-0.006601352111529114,0.2588154022987235,0.28828050596435295,0.15313692406338367,0.22365621502549732,0.22250711911914203,0.27629009692944806,-0.1815006262024494,-0.16178112784810877,0.40414206371741496,0.4071159374962085,-0.19094252638295034,0.34128626756831315,0.27487008884005615,0.15291505787297688,-0.3577061112265437,0.47940660716934347,-0.027422576466262807,0.5175758453887078,0.17973082747222266,0.049106354451777856,0.18585769960531556,-0.19834828881443536
Insula_L,0.2568562914006014,0.6368413478981181,1.0,0.14662629240553152,0.7118137368565531,0.6817295001793668,0.31778856680256345,0.007464172055713777,0.31679490075384925,-0.09489358497086119,0.37638186726974465,0.25116572479133664,0.6423889603609149,0.18476623914167478,0.15375562026492653,-0.005229501323473256,0.160107799843442,-0.20177898394331825,0.1535119609927388,0.18915350365395717,0.26917385447238795,0.5230937346268281,0.03130172054702306,0.4022637370675498,0.20395405247371123,0.04267493202570371,0.33368777570437785,0.08271810017528268,0.3035035764765251,0.126080452430799,-0.03275643741524371,-0.0616999706026965,0.5106629605150436,0.007378890387920569,0.1281198409039412,0.10147335254955465,0.08281733684575775,0.7163629705672055,0.4900439099144255,0.39933758191334173,0.21493133061677835,0.2567007802865976,0.17045181433460765,0.6392664330095339,-0.07270370584508659,0.2999640619598299,-0.02062131903476212,0.1456688607168542,0.2693746876884463,0.18568441528104898,0.16724504097495416,0.1818668120946274,0.09155795597933353,0.21468757158497723,-0.008567022363988423,-0.059244229096742505,0.26372182310131825,0.2459316672020287,0.007741471411825143,0.40377881692199385,0.35601185929687046,0.29800552207077374,-0.12814620363395096,0.09776157738223733,-0.10791852874778887,0.32631681878719704,0.14563140243792813,0.2932377667156166,0.11904464917228277,-0.1106647401816886
N_Acc_L,0.4494602900839468,0.4713501077685463,0.14662629240553152,1.0,0.21428990704275092,0.03894197969297858,0.23012854440249905,-0.028718657894702165,0.5114849067162566,-0.1373081387042741,-0.10318401423499185,-0.14208354754400296,-0.04046814487489602,-0.21330341590231278,-0.04785179852663623,-0.21729697525075792,0.2320969774623237,0.15399394921183965,-0.06308096016036564,-0.08171609775704802,0.38882426684674826,0.03738283404323391,0.07832492004936892,-0.06853666592721346,-0.37818009723013124,-0.1627988254155591,0.05413851117289729,0.5088550137066664,0.15226194209964342,0.14514364403902386,-0.06595841560504391,-0.17692195902825936,0.05527971146010992,-0.25188695593172966,-0.29554663522580976,-0.21811459697021962,-0.15776803278060372,-0.19346463967866373,0.013919482984025105,0.46251066223402354,0.18625967284741382,-0.20727900012161132,0.13700157332515403,0.20260044187195325,-0.05622080633236377,-0.09298339492903873,-0.1368413181248705,0.12748510363501545,0.31341481810921473,0.14281050941279813,-0.04076193709357364,0.3595435649234045,0.24271031816060348,-0.05815174751936218,-0.2279697910425304,-0.13186499153059758,-0.001977385109027454,0.31311466269701316,-0.19843239060944873,-0.05297740895591514,-0.09719632769324164,-0.08474488338093628,-0.36826212294256494,0.4010859399135743,0.008539739138992449,0.007907949337869752,-0.03403685355025847,-0.0008004479370441146,0.26737722694116334,-0.4587963665344879
Heschl_L,0.3579923462491252,0.5856185822713574,0.7118137368565531,0.21428990704275092,1.0,0.5509053681062299,0.3690564406444808,-0.14961098778579862,0.3695082632141136,-0.11522111806568293,0.15638286766829151,-0.05984607352689998,0.4515044752805468,-0.23894321415809167,-0.07151223290954492,-0.32163349758044224,0.2699651772480393,-0.21868162191401472,-0.038638849966243616,-0.015363455745938927,0.27180028348961643,0.5216218583147486,-0.17355366506384526,0.24264380310179928,-0.01225822182541605,-0.1872136993573076,0.356276534472328,0.06985128621300851,0.3609233011303652,-0.11396814368476316,-0.3037861460239754,-0.2268036081009045,0.5356197081470141,-0.34024198052062044,0.09656875582548975,-0.2706513378523596,-0.18599504365713684,0.5041047034983462,0.5977669162967717,0.2573423882176318,0.3522546443376517,0.1300472381856239,-0.02049361420712373,0.5743893681556618,-0.17650625993275093,0.06802118232093086,-0.26726227942096803,0.1957241104614269,0.32835366483938977,-0.11512199021023083,-0.06302582329100785,0.3606023682810097,0.24299471031147618,0.09527805459157783,-0.2177362810453843,-0.21968977656564953,0.1326194732346911,0.349956675831791,-0.24571180792230907,0.15813893558556838,-0.02932082140871306,0.0018771722529215007,-0.20645748081120302,0.29021327433299926,-0.30228461964982417,0.1368772251401196,0.2582758036754385,0.02843727920588319,0.27735706936685905,-0.1873283203081721
Frontal_Mid_2_R,0.21980694187427222,0.5854925376020601,0.6817295001793668,0.03894197969297858,0.5509053681062299,1.0,0.5660036251593034,-0.17046014751719757,0.4344993306465741,-0.010536954478177235,0.46125490316579354,0.09524852083324702,0.7388898272047849,0.19572532148605176,-0.09434640042956939,-0.06589427385508659,0.22469247087119149,-0.3521499624697213,-0.12717848263363254,0.045757431160502716,0.434419863157588,0.37909261124389915,0.12345848232823588,0.31569252725300445,0.3663433407542648,0.1262686020143495,0.4214106952142659,0.3081836696819979,0.5501829218837792,0.07997592333428137,-0.22128162297236467,-0.3164076063840031,0.4290045677016452,-0.11581192671560223,0.1839886567282146,0.04434593057688042,-0.17598802950891967,0.6642105538647929,0.4173674003041233,0.41104086401861234,0.4511270904558122,0.38151404617736184,0.12750910914529603,0.6772413954084996,-0.20573132376096287,0.021883165801951848,-0.07018302484231909,-0.04534043407754155,0.3300730681519462,0.02937810440836275,0.10093175712795521,0.3061623301966601,0.3253856120896298,0.04863902878720825,-0.1475822236889784,-0.13990780693017973,0.39317412456904055,0.4287299856544253,-0.2969123699338976,0.550558430829983,0.4790239839946335,0.45408366039478143,-0.44653618703436687,0.28795343744844554,-0.19580939975158515,0.4148119712586154,0.4629652872580079,0.33500256984620763,0.20688011288958252,0.0735515044163097
OFClat_R,0.18776694613276787,0.4951393881115549,0.31778856680256345,0.23012854440249905,0.3690564406444808,0.5660036251593034,1.0,-0.2356531709846356,0.5964040041541785,0.019188255019718985,0.487964832732463,0.08202614487261056,0.4347354501362361,-0.27265592033979047,-0.14144913807428663,-0.2673387214784991,0.6647928866876223,-0.3148535744708175,-0.18702237779379677,0.028169174495594734,0.5999451912170674,0.1250895636990132,0.13226894633916642,-0.014193177228763489,0.18553613158811916,-0.35854674591500435,0.43407982310323856,0.5733096139164126,0.5513148149805145,0.1183340489607232,-0.19091279337254627,-0.3014778188186064,0.15530246704981754,-0.5006791304067326,-0.11888895521127356,-0.4165689107207145,-0.524691083425155,0.26799911463512155,0.3203749738428434,0.6694783777510138,0.4973708705779177,0.5224895723468069,-0.16380154004462458,0.3513752949333814,-0.27225713824790226,-0.28216909336795887,-0.4370771028981899,-0.462201402206015,0.5104836020958025,-0.10047485726663608,0.10061075923675626,0.2946068634542166,0.529418616711383,0.20249021656619365,-0.5993224849502441,-0.4956700814009752,0.6430570390600194,0.5154713322824606,-0.4239802051977849,0.1346962710643565,0.09847938083229135,0.052703659719330824,-0.5863088964352702,0.6937266230766396,-0.00746084827937284,0.3209494175894183,0.6498964979871497,-0.18911323930396434,0.5250582589701072,0.16095710341925398
Paracentral_Lobule_L,0.003895400371485507,0.037832154840992976,0.007464172055713777,-0.028718657894702165,-0.14961098778579862,-0.17046014751719757,-0.2356531709846356,1.0,-0.4517568135851371,0.08077441708372132,0.03447715749491457,0.5958546102320407,0.14832203142654815,0.24093781517007754,0.6785474909358665,0.5953850366845642,-0.2558761860491273,0.3053188126472219,0.6596635576811292,0.787629317531982,0.08258469396036489,0.5199200131529685,0.28571877921950717,0.34767355454726073,-0.28885111298041566,0.2044470446202967,-0.48942590984055445,-0.17807015585530508,-0.7864983398028389,0.25326405605246416,0.6386818572434017,0.7363725559287347,-0.1722718301632232,0.4371793040338004,-0.4153410273121153,0.40209931350676453,0.7019532298642714,0.24263022558868655,0.2927084026525616,-0.034016612069773654,-0.5786562193107481,0.21197578346891904,0.7158540896073293,0.09074862159286838,0.9498294774841328,0.6553303121219233,0.6563748787307485,-0.06280597606536031,-0.5431522168498528,0.6407894265686059,0.5409963966566116,-0.5429925424858594,-0.5852981627672307,0.5008205657077452,0.4689172736699038,0.7129672689509996,-0.07816250601888536,-0.42896074765697134,0.7276456765916892,0.21850471673059044,0.36166031203306487,-0.2888001817774286,0.36327352348944597,-0.22193013304797482,0.5939146415755562,0.3262657258895299,-0.6986817071785705,-0.2119905849921426,-0.23349086666581595,-0.18453811025624933
VTA_L,0.45998739873053435,0.4855334108489181,0.31679490075384925,0.5114849067162566,0.3695082632141136,0.4344993306465741,0.5964040041541785,-0.4517568135851371,1.0,0.0927120724458767,0.19947500998449502,-0.26375570307063434,0.14763346115999476,-0.2580332690204437,-0.48748339887738096,-0.39911863933195957,0.35819537474007135,-0.06454550831406435,-0.46002945928696276,-0.26780583754489756,0.37196360482953983,0.01103611475129691,-0.016401782058167676,-0.161335718713831,-0.10319154260604392,-0.26271649390294316,0.4258716541043368,0.6892205238596241,0.6934438138515732,0.2066143164980594,-0.455702378796813,-0.5380079507162467,0.3617190010558018,-0.5476380376778224,0.23954849049446422,-0.42208432848404226,-0.5571131733345142,0.01896843620333872,0.1589884259591546,0.5043260502556036,0.6193742970190912,0.21197437320660617,-0.17769798607180656,0.2810668414676965,-0.4698781595920529,-0.4741921175316435,-0.41939873860450294,-0.014260455470347613,0.45546805065492124,-0.09416709038209432,-0.22774858697621816,0.4616511647563391,0.7830066436764892,-0.22872168815966037,-0.44920032415810646,-0.45664992790910514,0.25607412154811715,0.7084848592251642,-0.5678153710219714,-0.049168752999017504,-0.12740428666582876,0.22443752995651484,-0.5811161679061526,0.545078398476584,-0.42433073480978784,0.10789018580708787,0.5159682848942028,0.13801814909172735,0.23030043615113668,0.06320439829692825
Thal_PuA_R,0.18428364104896536,0.040240971637422615,-0.09489358497086119,-0.1373081387042741,-0.11522111806568293,-0.010536954478177235,0.019188255019718985,0.08077441708372132,0.0927120724458767,1.0,0.12129519455612471,0.23076382208720905,-0.21724569050285952,0.0801194595115321,0.04361539873323928,0.05835489762465963,-0.2725093649698143,0.07472702358856487,0.10990565843810793,0.2087747960292108,0.06576539065095846,0.008837954577118584,0.24369445701382766,0.1822372971031746,0.030545932432105367,0.0461104635623905,0.02650138282450596,0.22278733791472008,-0.13150069689461352,0.6844925386567831,0.2053089884003616,0.2752045506275794,0.2775829535369941,0.0704963986490699,0.2532172152336451,0.04857348755763931,0.15275471958547768,0.08146735451387421,0.026962574366129987,-0.03250455374779074,-0.11222800965035172,0.3805679415185058,-0.06718108784935704,0.11527197173516378,0.15292157467642126,0.06361885600046163,0.07339172469098483,0.0851401152644642,-0.34612388129371013,0.3147324615033951,0.011336348542750565,-0.3804312872521301,0.16806272475046483,0.22902692105983838,0.10861913032357974,0.11322349330469147,0.18800053740667552,-0.18505640648659136,0.1857553095269347,-0.20701494645474428,-0.05857831471981469,0.020640081389955083,0.20056123744879062,-0.2660584052591573,-0.007060162481637639,0.17402770156289335,-0.18123353448881194,-0.15116333387460917,-0.35874287020022083,0.32875394193495716
