,Frontal_Mid_2_L,Frontal_Inf_Tri_R,Thal_PuM_R,OFCant_L,OFClat_R,Vermis_4_5,Paracentral_Lobule_R,Cerebellum_9_L,Vermis_6,Vermis_7,Thal_PuI_R,Rolandic_Oper_L,Thal_VA_R,Raphe_M,Cerebellum_Crus2_R,Hippocampus_R,ParaHippocampal_R,ACC_sub_R,Frontal_Sup_2_R,ACC_sub_L
Frontal_Mid_2_L,1.0,0.12012384340711607,-0.17162646102770085,-0.7616155380877861,-0.09134382680113434,0.4564220935643737,0.4925304070283998,0.4419532830437232,0.6621212093492688,0.6119494519828996,0.22957702368166594,0.46612724539922284,-0.00029435914099367806,0.1564459360448095,0.47565720886478907,-0.19910573761017408,-0.09167588645125302,-0.6803292198953989,0.519239550561628,-0.5803392206522954
Frontal_Inf_Tri_R,0.12012384340711607,1.0,0.1706920836064717,0.15321171718619783,0.4347354501362361,0.5179341448271767,0.38190664768460103,0.3238657869356738,0.10684091319244124,0.2035095957991724,0.3803465799344609,0.7137160139103136,0.11920669580871317,0.22937515246414586,-0.4448606983725782,0.13793918345203726,0.2966465331724498,0.08328755520245533,0.6701175137870317,0.21358323565655374
Thal_PuM_R,-0.17162646102770085,0.1706920836064717,1.0,0.49690881156355865,0.6318921738899042,-0.15857659901269722,-0.1598532447635507,0.11168987611623216,-0.3682966403004205,-0.13289068881006397,0.5051275420301312,0.026595855831637833,0.10514165590950687,-0.16067501557829456,-0.5436140908056332,0.4205703566763608,0.5419657133297995,0.4060037634652048,-0.21137486851297446,0.5711546246500603
OFCant_L,-0.7616155380877861,0.15321171718619783,0.49690881156355865,1.0,0.5143322783270512,-0.3118127955835691,-0.4400568049713053,-0.26971246452373226,-0.7119940322387723,-0.5061058831758575,-0.0965515385072176,-0.1902402435527689,-0.024716614925913958,-0.19766301537557945,-0.7353601555653733,0.45610400339496626,0.422226573779694,0.8547682657938191,-0.297919784129699,0.846547745810997
OFClat_R,-0.09134382680113434,0.4347354501362361,0.6318921738899042,0.5143322783270512,1.0,0.1629887120561369,-0.16380154004462458,0.33469982175680507,-0.14144913807428663,0.20249021656619365,0.30214223040620664,0.25096361763962055,0.031821752968186665,0.08679504493505955,-0.6988932953682884,0.6042923214676876,0.7283979979561199,0.46804737439870187,0.12469809939531713,0.6498964979871497
Vermis_4_5,0.4564220935643737,0.5179341448271767,-0.15857659901269722,-0.3118127955835691,0.1629887120561369,1.0,0.4854120796869131,0.4755762899906529,0.6713951184491549,0.5216447746196796,0.27671238563540435,0.6095202696169355,-0.05370115323742055,0.271953527217291,0.06337277558194389,0.14171947507777774,0.22446149638939927,-0.3076578913153319,0.6745565320858171,-0.2573771421898111
Paracentral_Lobule_R,0.4925304070283998,0.38190664768460103,-0.1598532447635507,-0.4400568049713053,-0.16380154004462458,0.4854120796869131,1.0,0.14994940457246855,0.392882549417184,0.1517025249815359,0.4590564800433866,0.5256051476411866,-0.1589261324766671,-0.11465860525987472,0.17701332969584244,-0.21139108374626905,-0.130281752079801,-0.6281662460126023,0.6730917511314815,-0.5268130467877552
Cerebellum_9_L,0.4419532830437232,0.3238657869356738,0.11168987611623216,-0.26971246452373226,0.33469982175680507,0.4755762899906529,0.14994940457246855,1.0,0.46370589583845834,0.6913918235294588,0.3693756473077691,0.26899512418040705,0.20384014406055492,0.2965906561448221,-0.07155534478150549,0.1480832030901653,0.44020437229421566,-0.22685340153680214,0.36486693019657546,-0.1241899222969852
Vermis_6,0.6621212093492688,0.10684091319244124,-0.3682966403004205,-0.7119940322387723,-0.14144913807428663,0.6713951184491549,0.392882549417184,0.46370589583845834,1.0,0.7256239181858467,0.1359878705893246,0.36088250611868267,0.012653512522698255,0.4317570514725069,0.5163351845856414,-0.2530877180228183,-0.15327039311042356,-0.5542133369575023,0.5202911629021884,-0.5279140480019872
Vermis_7,0.6119494519828996,0.2035095957991724,-0.13289068881006397,-0.5061058831758575,0.20249021656619365,0.5216447746196796,0.1517025249815359,0.6913918235294588,0.7256239181858467,1.0,0.17661968017950905,0.2987021491973603,0.1395220280239774,0.578166971371514,0.24838539974891297,-0.036937403861758276,0.14131899446665183,-0.400333246222221,0.44875847495778404,-0.3011484232700155
