,Pallidum_L,Frontal_Mid_2_L,Frontal_Med_Orb_L,Cerebellum_3_R,Supp_Motor_Area_R,Cerebellum_Crus1_L,Caudate_L,Thal_PuM_L,Calcarine_R,Cerebellum_Crus2_L,Temporal_Pole_Sup_R,Cerebellum_6_L,Frontal_Inf_Tri_R,Thal_PuI_L,ACC_sup_L,Thal_MDm_L,ParaHippocampal_L,Thal_MGN_L,Vermis_6,Frontal_Inf_Orb_2_L,Vermis_7,Raphe_M,Frontal_Inf_Oper_R,Postcentral_L,Cerebellum_8_R,Amygdala_L,Cerebellum_Crus2_R,OFCant_L,Temporal_Sup_L,Precentral_L
Pallidum_L,1.0,0.4049910654460221,0.32543150587892206,0.2833578593533046,0.6182266161127776,0.2303546836294636,0.4225569588887487,-0.23488942658218817,0.572146269208476,0.21101659857460486,0.3796639557936021,0.23573653675682812,-0.008187777964793322,-0.2536904211441347,-0.10153797300801365,-0.12220201657830544,-0.35941531191100673,0.13696148259028407,0.5648981826829373,-0.5683443027233884,0.37205900842715356,0.027637934148733532,0.14435186422973506,0.5077665822807299,0.2793490772044594,-0.5109344627723217,0.3199371127050612,-0.5811657452728515,-0.44665996340833536,0.48254709970111925
Frontal_Mid_2_L,0.4049910654460221,1.0,0.2543940235766128,0.4050744473885381,0.6394068578061477,0.46933958820269805,-0.19520033310588275,-0.11602171572665747,0.6592191735935652,0.3863345626775134,0.2679563992806659,0.3569797462580339,0.12012384340711607,-0.36410121601575135,0.2839285945536795,-0.09123435994601221,-0.39592821572622044,0.13479730489740283,0.6621212093492688,-0.6394156556139936,0.6119494519828996,0.1564459360448095,0.09009211929879071,0.890212032109293,0.33304168558783914,-0.5471630347352663,0.47565720886478907,-0.7616155380877861,-0.1231520737099714,0.9541896738806721
Frontal_Med_Orb_L,0.32543150587892206,0.2543940235766128,1.0,-0.17128689491126253,0.29644806900834025,0.025529027574492026,-0.08421371059283775,-0.3860424722883912,0.09725888619179002,0.17276143375043287,-0.1420143208600888,-0.10535081828816713,-0.21769320764434938,-0.312525600446158,-0.03839253908028806,-0.1264853020151647,-0.36602746248041435,-0.2591041877763855,0.04005042360931675,-0.19659910247984158,-0.053578688191922165,-0.3327247367205566,-0.2151221708754262,0.31102042984810147,0.1269417388005883,-0.21014062827304036,0.2528582091268069,-0.3464666927686577,-0.1851241818908767,0.28525686066307837
Cerebellum_3_R,0.2833578593533046,0.4050744473885381,-0.17128689491126253,1.0,0.2732193811685099,0.4262256323954461,0.21619374765435134,0.39679134813221684,0.5981825328449564,0.2032828210705468,0.4148454997982248,0.4248684437568237,0.2975905415820425,0.17944345427007627,-0.051141055644122066,0.0939902136682339,0.21323359005889533,0.5860395604348503,0.5895884364174612,-0.5104330184041782,0.8184959769743971,0.5797347717281128,0.2780464483702434,0.24589447582077334,-0.1559962617133146,-0.41516988593788345,0.03403841024117251,-0.31706114097169913,-0.2731286463147324,0.3211363801115719
Supp_Motor_Area_R,0.6182266161127776,0.6394068578061477,0.29644806900834025,0.2732193811685099,1.0,0.3174123475158523,0.31479443727328515,-0.1763972753318127,0.5591527634996182,0.1605713882530981,0.046820402928315165,0.4923292924156165,0.3910052322585919,-0.32903573487275706,0.26416157974829413,0.006373404138562209,-0.2747776820980677,0.07389113329120504,0.5654137266333025,-0.47849414865773365,0.4447718448950158,0.10076205933790026,0.36269273824409753,0.6360350288657554,0.4083335951487943,-0.33081975072697795,0.28366279774234093,-0.5587604770403296,-0.05385909869743386,0.665232299141921
Cerebellum_Crus1_L,0.2303546836294636,0.46933958820269805,0.025529027574492026,0.4262256323954461,0.3174123475158523,1.0,-0.17037466684983585,-0.20116159196849584,0.6499524799379756,0.7558592684404412,0.12152646022899218,0.6868476769151824,-0.09403557725224874,-0.2504826934386141,0.0414442686833398,-0.20531481861870848,-0.1978970491750562,0.4007400394228131,0.5888627466587771,-0.5711619051560871,0.6892333705012189,0.510341405890374,-0.01678731270453924,0.3577928387964061,0.553368040032994,-0.1929588334137739,0.6779842601367737,-0.6042749076289275,-0.2560249495708902,0.41193781182117306
Caudate_L,0.4225569588887487,-0.19520033310588275,-0.08421371059283775,0.21619374765435134,0.31479443727328515,-0.17037466684983585,1.0,0.28079957721239734,0.11789602764906115,-0.37320767861363796,0.30238281085796,0.19778893207446538,0.3581495027771949,0.41825590446946204,-0.052589452321925675,0.39043667306911556,0.417823136171418,0.12689975082637997,0.1456929638366241,0.175202808183133,0.1264087148492853,0.09787177070729255,0.3573346325420034,-0.19795834614572694,-0.18923534754214366,0.07380913257804016,-0.3092707837258571,0.2329769703907454,0.07496150584212899,-0.19314050427787277
Thal_PuM_L,-0.23488942658218817,-0.11602171572665747,-0.3860424722883912,0.39679134813221684,-0.1763972753318127,-0.20116159196849584,0.28079957721239734,1.0,-0.06693366628520366,-0.40295914545374834,0.12449961108228955,-0.020782209705994183,0.2541176114464735,0.6991780584046136,-0.038049690454315804,0.37990636257344823,0.6100927133034657,0.21388195596477833,-0.024623075422903283,0.2562346424345139,0.24000844766255075,0.2652438001538148,0.15026936523138235,-0.3605182454773268,-0.5735388447037991,-0.07862013598812173,-0.4687078865305806,0.4410104759226864,0.15486180528506877,-0.2845054333448493
Calcarine_R,0.572146269208476,0.6592191735935652,0.09725888619179002,0.5981825328449564,0.5591527634996182,0.6499524799379756,0.11789602764906115,-0.06693366628520366,1.0,0.4864195282967515,0.4306195759932703,0.5313823345117008,0.08563834375509527,-0.21949800299960404,-0.03922429746121566,-0.28135546297194985,-0.21570804128421855,0.3881920334995071,0.8519253783548107,-0.7417550138630434,0.733864760982079,0.45990222099353895,0.18732170729263026,0.6245619584477489,0.3508812804070633,-0.45637781588226417,0.539680575703732,-0.7186879659317779,-0.35415617408147526,0.6401594769358269
Cerebellum_Crus2_L,0.21101659857460486,0.3863345626775134,0.17276143375043287,0.2032828210705468,0.1605713882530981,0.7558592684404412,-0.37320767861363796,-0.40295914545374834,0.4864195282967515,1.0,0.07626353961998585,0.3328825476803896,-0.32967026689749745,-0.45481218993547273,-0.10291890979809548,-0.42314869494583385,-0.4616446155559947,0.264985198824201,0.4850933649644418,-0.6165176565498048,0.3708962372960656,0.2953930358993161,-0.19793753408670306,0.364289232802055,0.5690249527100704,-0.24828931622204228,0.7782576134618652,-0.645832840979884,-0.43793219615027157,0.3887207575929548
