,Parietal_Sup_R,Thal_VL_R,OFCant_R,Thal_MDl_L,Thal_PuI_R,Cerebellum_4_5_L,Frontal_Inf_Orb_2_L,Vermis_3,Frontal_Sup_2_R,Frontal_Inf_Oper_R,Vermis_1_2,Thal_MDm_R,Thal_MDl_R,Thal_PuA_R,Hippocampus_L,Thal_LP_L,Insula_R,Thal_VA_R,Cerebellum_Crus1_R,Frontal_Sup_Medial_R,Frontal_Inf_Orb_2_R,Frontal_Inf_Tri_R,Raphe_M,Fusiform_L,Supp_Motor_Area_R,Thal_PuM_R,Temporal_Pole_Sup_R,ACC_pre_R,Cuneus_R,VTA_R,SN_pc_L,Cerebellum_3_R,Angular_R,Caudate_R,Angular_L,Temporal_Pole_Mid_L,Cerebellum_Crus1_L,Thal_PuL_R,Temporal_Sup_R,Thal_PuA_L,Hippocampus_R,Thal_IL_L,Parietal_Inf_R,Olfactory_R,Cerebellum_6_L
Parietal_Sup_R,1.0,0.032518719711957286,-0.14515473782347954,0.006430730711370823,0.31848433124031383,0.01381593703530952,0.05714050361113244,0.028869493658885526,0.38318090843896796,0.33218414426075704,-0.2685307998097445,0.022895028377977213,0.30444445163330447,-0.054658877291131946,0.052843063832883036,-0.3526000391006411,0.013941063966087325,-0.048464027164601006,-0.15638910162252465,0.22655781151007837,-0.24073601101916253,0.3307629993729968,-0.23596810493581102,0.45391085867138553,0.35464480652577224,-0.20502905567001464,-0.27119731299778704,0.12811440222858386,0.7330159819382517,0.14466110676806887,0.06773856768944513,-0.3280168543659267,0.7240797298661059,0.32905838126454307,0.48104689992512684,0.09293551491048821,-0.10224618075158302,0.11628199533669936,0.007640821566134096,-0.47360456746379703,-0.14327921926126297,-0.0364089281891661,0.8458765451885182,-0.2833304626587751,0.27073702262842314
Thal_VL_R,0.032518719711957286,1.0,0.021552704926088274,0.49758034355462843,0.46682505221441395,0.5090223985653096,-0.06278661379076662,0.6373366238137358,0.4504219678886363,0.20478151512408552,0.38190708959520037,0.5058059837204643,0.3541966151238461,0.3805679415185058,-0.06183854713836224,0.43645551695499396,0.15063683599473998,0.08271993481102806,0.17196606501330583,0.4099336482373936,0.12935603383344874,0.47260570540222346,0.09046156464277715,0.07020870984624923,0.2519290287511504,0.3510071301120814,0.14520213800400167,0.2849379414421407,-0.13579724261363502,0.06815220356498813,0.5315733870203404,0.5182611480240973,0.09453885078965273,0.48848367266148207,-0.08826712893968461,-0.06343041162773186,0.10213127862873728,-0.3579765006961933,0.04274542095337858,0.3203551275513214,0.476748270046719,0.45112563191686095,-0.14682552408338895,0.040733668159228194,0.3525326534755072
OFCant_R,-0.14515473782347954,0.021552704926088274,1.0,0.33064361758087113,0.2683251899546182,-0.007528720252309432,0.33210719497962216,0.1951167245458963,-0.14553123259247377,0.22287966393377565,0.12501565692477448,-0.466320888990727,-0.39554517845100495,-0.35874287020022083,0.311953599290541,0.33785133015991914,0.2894740845518909,0.2782369249050072,-0.356736580711189,-0.05788063617086053,0.34890950566980544,0.33171202784020287,0.34704553871554933,0.332287823226181,-0.12687561281174053,0.5156339838103503,-0.2899696814550381,0.19415127553194922,-0.22864741100025696,0.39958977010347774,0.3059677257944736,0.026249816680328834,-0.2696878989423929,-0.264885723509027,-0.35616660394291827,0.38074436433437675,-0.17145188508808046,-0.356551719534164,-0.0580908845212812,0.527632277617863,-0.01447618729200264,0.11168104497993919,-0.06910629874378457,0.40634414168156435,0.029945349773654328
Thal_MDl_L,0.006430730711370823,0.49758034355462843,0.33064361758087113,1.0,0.3637050330412959,0.4826653020311594,0.19669133234145886,0.4478657845437755,0.3186309622893872,0.34005415134282535,0.30585622587441447,0.28416905383696345,0.2831233112546652,0.06576539065095846,0.22349325927073302,0.47769970502630793,0.40076807373119416,-0.13339624685236362,-0.05943808374251621,0.2236269936326813,0.3489557988133486,0.4601834510492836,0.15456583600979149,0.310239884015864,0.28462682356054214,0.4235129562911164,0.14242837345134246,0.27450253844318634,-0.09145519545586608,0.3156608977891427,0.3612053954714438,0.3227596399366387,-0.0374946810491293,0.2103507841816406,-0.17836529488243913,0.13017555278792417,-0.1332791729311252,-0.1763053282469768,0.1856208499789888,0.5056320508354327,0.39525496703253743,0.6061465314322707,-0.07059903951450018,0.3531184762374597,0.306061963497434
Thal_PuI_R,0.31848433124031383,0.46682505221441395,0.2683251899546182,0.3637050330412959,1.0,0.16170433613190593,-0.23629561458129247,0.34836068449241486,0.285086868133011,0.32879112770177077,0.1408869097571648,0.16013616985971488,0.34954471244765384,-0.03609977454109794,-0.20174390672938666,0.047868897312730405,-0.10207918874629086,0.2621126107478792,0.0685338621690834,0.022174902605539167,-0.0913616742175962,0.3803465799344609,-0.08495629672161151,0.07035483321440028,0.400050491654464,0.5051275420301312,-0.06963370824830871,-0.028271733453706135,0.24396462692144186,0.06692121481393623,0.6073050344693002,0.1976877760151436,0.2886752587155639,0.06420469111247577,0.13212947632224525,-0.18809533059722355,-0.18530988776220259,-0.37938185025937415,0.26914308640553725,0.1500982094074641,0.055160428671025656,0.29667050973220305,0.11240045964541809,-0.16949138357685412,0.0739789210093121
Cerebellum_4_5_L,0.01381593703530952,0.5090223985653096,-0.007528720252309432,0.4826653020311594,0.16170433613190593,1.0,0.01968651798431584,0.7520858170400543,0.5814335397780471,0.39931711333476816,0.5789861708846347,0.4875620785867162,0.448849143964442,0.1523391384018825,0.11294260544339972,0.25935940259491935,0.3486943110462166,-0.1269129979415872,0.16254144201685453,0.4048196028876838,0.16499706437331774,0.53901036087452,0.22838701025337008,0.3008173395269037,0.42075274388111844,0.05603696763329257,0.28908385234089173,0.2733606581733767,0.12978524288696816,0.09753109697581656,0.2595055314148607,0.5452275859979062,0.23250023616853455,0.27136744952310105,-0.19088472762816314,-0.004675372276466105,0.0971656849317631,-0.06089888173871994,0.4312870268718229,0.22993238038531674,0.5018653149709095,0.3825067330554768,0.07458380274381037,0.14587925311770594,0.4863684288419284
Frontal_Inf_Orb_2_L,0.05714050361113244,-0.06278661379076662,0.33210719497962216,0.19669133234145886,-0.23629561458129247,0.01968651798431584,1.0,0.04799480337259807,-0.23370438823355838,-0.06023435131083216,-0.2689274617754588,-0.19801959780312758,-0.5081687354379365,-0.09907162016312826,0.9491712133966043,0.4880992579834929,0.8502266460935994,-0.24844665334335891,-0.868450641624892,0.01575418780291102,0.6979886876111658,0.14126730554332717,-0.26513747875998667,0.34293848145540257,-0.47849414865773365,0.4090932003986213,-0.32478941376370524,0.7543611306781702,-0.2653366160087823,0.8075382431670213,-0.20419828031695522,-0.5104330184041782,-0.37601900255841064,0.4666382444260633,-0.5063010062484862,0.9107367977859436,-0.5711619051560871,-0.32953604173967416,-0.61878644886441,0.4759562874486791,0.47236294114331107,0.43989199634283205,0.2850060421146562,0.7653372665617747,-0.2681059751130918
Vermis_3,0.028869493658885526,0.6373366238137358,0.1951167245458963,0.4478657845437755,0.34836068449241486,0.7520858170400543,0.04799480337259807,1.0,0.4210589878834063,0.5154311509833687,0.6497585524851678,0.22465866527027156,0.16040095289370818,0.12129519455612471,0.13667072943095612,0.35350346339768024,0.2583545893677377,0.2190319401689194,-0.04249331442861674,0.3032080941827167,0.18789632653055277,0.6246403503843689,0.22557497172079835,0.2891037923225605,0.24158053067338972,0.29715065277500374,0.11480957766067337,0.3249329001976607,-0.03132046067932623,0.2389679739724494,0.49131005610095874,0.6080242693283113,0.15756876710944226,0.28840642901630215,-0.2117366419919324,0.11510653775192227,-0.06508684676198231,-0.3149075724647892,0.24246776412831217,0.3751943706236874,0.4223181976112146,0.2824469005891399,0.05605715503102315,0.15309418798967123,0.34739981456391167
Frontal_Sup_2_R,0.38318090843896796,0.4504219678886363,-0.14553123259247377,0.3186309622893872,0.285086868133011,0.5814335397780471,-0.23370438823355838,0.4210589878834063,1.0,0.5472472791729069,0.28329211977729823,0.3543488755885156,0.6087925052777213,0.0873400933929672,-0.1999746584828238,0.05663570614811155,0.07952966378691455,-0.07990921542144747,0.3714075754811793,0.7534835510336866,-0.2215543965214589,0.6701175137870317,0.16929470427710677,0.4052952993443743,0.7440704923622137,-0.21137486851297446,0.22813448625835434,0.11259245636724635,0.534519404111866,-0.15398064418758486,0.17044348677963225,0.34653818163854877,0.4501153229707048,0.23747918296629875,0.39713011944152177,-0.26304716865762595,0.26651446338035745,0.14976765938959008,0.46068368222997985,-0.175839515734949,0.042405245593075715,0.03279629665725194,0.20823754687077803,-0.2581359281043626,0.6080346934452925
Frontal_Inf_Oper_R,0.33218414426075704,0.20478151512408552,0.22287966393377565,0.34005415134282535,0.32879112770177077,0.39931711333476816,-0.06023435131083216,0.5154311509833687,0.5472472791729069,1.0,0.33007778163976664,-0.1243271960162529,0.17264208912470827,-0.20701494645474428,0.03383800404197252,0.10747748517087548,0.13415392659559813,0.06188005763700373,-0.028498024750421562,0.32563792825899224,-0.06123498367025125,0.7722409404855135,0.21013109962873747,0.547698881334501,0.36269273824409753,0.008602226274361606,0.1121040373927686,0.10655149128881908,0.4403241715953588,0.11507316199363396,0.29025489194694987,0.2780464483702434,0.39577723444203955,0.03037370787453537,0.192947325956567,0.05656411472183631,-0.01678731270453924,0.02119637107309546,0.44753491980537763,0.04253911074939988,-0.05901465052659597,0.020885851507625074,0.3074769457180596,-0.04259498514173342,0.4222535552075361
