,Red_N_R,Thal_MGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Thal_AV_R
Red_N_R,1.0,-0.034249001782636054,-0.17644764387054895,0.24452922543801694,0.04528362938585424,0.35490313198912316,0.029885384047709927,-0.19900723447254054,-0.11998831874768275,-0.0753903352498913
Thal_MGN_L,-0.034249001782636054,1.0,-0.2475777388433694,0.24352338196657658,-0.22328599433461568,0.44833901152098105,0.001650942948859794,0.3032297371816859,0.4327974033252278,0.3250909712514933
OFCpost_R,-0.17644764387054895,-0.2475777388433694,1.0,-0.405162445666047,0.6251161769790309,-0.32878568968428756,-0.2892329107304492,-0.6065864823575484,-0.48437925452583297,0.059274479797236906
Temporal_Sup_R,0.24452922543801694,0.24352338196657658,-0.405162445666047,1.0,-0.6470548381678187,0.7386844148530978,0.42125042662966067,0.5631247060765525,0.6778316754488268,0.5199447309264867
OFClat_L,0.04528362938585424,-0.22328599433461568,0.6251161769790309,-0.6470548381678187,1.0,-0.4130503459624324,-0.41641794541610183,-0.7641659180495536,-0.7888975333122371,-0.20356758532510913
Heschl_R,0.35490313198912316,0.44833901152098105,-0.32878568968428756,0.7386844148530978,-0.4130503459624324,1.0,-0.08863763740430373,0.33785467003544967,0.6428851413931219,0.41747484469904145
Cuneus_L,0.029885384047709927,0.001650942948859794,-0.2892329107304492,0.42125042662966067,-0.41641794541610183,-0.08863763740430373,1.0,0.5232144549570017,0.2036526678121978,0.115936360354768
Occipital_Inf_R,-0.19900723447254054,0.3032297371816859,-0.6065864823575484,0.5631247060765525,-0.7641659180495536,0.33785467003544967,0.5232144549570017,1.0,0.7956991224053064,0.24349215532184662
Temporal_Inf_R,-0.11998831874768275,0.4327974033252278,-0.48437925452583297,0.6778316754488268,-0.7888975333122371,0.6428851413931219,0.2036526678121978,0.7956991224053064,1.0,0.41893135570522794
Thal_AV_R,-0.0753903352498913,0.3250909712514933,0.059274479797236906,0.5199447309264867,-0.20356758532510913,0.41747484469904145,0.115936360354768,0.24349215532184662,0.41893135570522794,1.0
