,Red_N_R,Thal_MGN_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Thal_AV_R,Thal_VA_L,Thal_PuI_R,Paracentral_Lobule_R,Thal_LP_L,Amygdala_R
Red_N_R,1.0,-0.034249001782636054,-0.17644764387054895,0.24452922543801694,0.04528362938585424,0.35490313198912316,0.029885384047709927,-0.19900723447254054,-0.11998831874768275,-0.0753903352498913,0.011250264901869728,0.30168490627646427,-0.027550592103664468,0.02155120205424838,-0.11731666322726676
Thal_MGN_L,-0.034249001782636054,1.0,-0.2475777388433694,0.24352338196657658,-0.22328599433461568,0.44833901152098105,0.001650942948859794,0.3032297371816859,0.4327974033252278,0.3250909712514933,-0.14028726887974152,-0.0678143918045181,-0.14531019180548796,0.042363956826809705,-0.2033437171487794
OFCpost_R,-0.17644764387054895,-0.2475777388433694,1.0,-0.405162445666047,0.6251161769790309,-0.32878568968428756,-0.2892329107304492,-0.6065864823575484,-0.48437925452583297,0.059274479797236906,0.6693815493062616,-0.1250424730851153,-0.2182991452892923,0.3813373600171211,0.7661356544936363
Temporal_Sup_R,0.24452922543801694,0.24352338196657658,-0.405162445666047,1.0,-0.6470548381678187,0.7386844148530978,0.42125042662966067,0.5631247060765525,0.6778316754488268,0.5199447309264867,-0.22332910753595095,0.26914308640553725,0.3676409047137596,-0.33372320879541334,-0.5684921476955529
OFClat_L,0.04528362938585424,-0.22328599433461568,0.6251161769790309,-0.6470548381678187,1.0,-0.4130503459624324,-0.41641794541610183,-0.7641659180495536,-0.7888975333122371,-0.20356758532510913,0.5045189788846101,-0.32208516338311105,-0.3990423706358451,0.4000281804772426,0.6251552318018755
Heschl_R,0.35490313198912316,0.44833901152098105,-0.32878568968428756,0.7386844148530978,-0.4130503459624324,1.0,-0.08863763740430373,0.33785467003544967,0.6428851413931219,0.41747484469904145,-0.1218037563547051,0.11141773075839215,-0.09229542085668228,0.0187820616788883,-0.36489426505482664
Cuneus_L,0.029885384047709927,0.001650942948859794,-0.2892329107304492,0.42125042662966067,-0.41641794541610183,-0.08863763740430373,1.0,0.5232144549570017,0.2036526678121978,0.115936360354768,-0.3565944226208745,0.2513059025138314,0.5669176340973487,-0.646573389430937,-0.508155820179439
Occipital_Inf_R,-0.19900723447254054,0.3032297371816859,-0.6065864823575484,0.5631247060765525,-0.7641659180495536,0.33785467003544967,0.5232144549570017,1.0,0.7956991224053064,0.24349215532184662,-0.5891301859917718,0.05602117507336887,0.3561890148724144,-0.4809049848936722,-0.718459938055492
Temporal_Inf_R,-0.11998831874768275,0.4327974033252278,-0.48437925452583297,0.6778316754488268,-0.7888975333122371,0.6428851413931219,0.2036526678121978,0.7956991224053064,1.0,0.41893135570522794,-0.3665924788925265,0.14210909554123,0.1601255160207343,-0.19969178904999874,-0.52563490954856
Thal_AV_R,-0.0753903352498913,0.3250909712514933,0.059274479797236906,0.5199447309264867,-0.20356758532510913,0.41747484469904145,0.115936360354768,0.24349215532184662,0.41893135570522794,1.0,0.28386480281498505,0.08956596025571797,0.3298919473797314,0.21174180832438963,-0.139630877144103
Thal_VA_L,0.011250264901869728,-0.14028726887974152,0.6693815493062616,-0.22332910753595095,0.5045189788846101,-0.1218037563547051,-0.3565944226208745,-0.5891301859917718,-0.3665924788925265,0.28386480281498505,1.0,0.16626518279338964,0.007749740824962913,0.6640123927153673,0.6414395252431393
Thal_PuI_R,0.30168490627646427,-0.0678143918045181,-0.1250424730851153,0.26914308640553725,-0.32208516338311105,0.11141773075839215,0.2513059025138314,0.05602117507336887,0.14210909554123,0.08956596025571797,0.16626518279338964,1.0,0.4590564800433866,0.047868897312730405,-0.049600374021332896
Paracentral_Lobule_R,-0.027550592103664468,-0.14531019180548796,-0.2182991452892923,0.3676409047137596,-0.3990423706358451,-0.09229542085668228,0.5669176340973487,0.3561890148724144,0.1601255160207343,0.3298919473797314,0.007749740824962913,0.4590564800433866,1.0,-0.1206972686159798,-0.3670547217118458
Thal_LP_L,0.02155120205424838,0.042363956826809705,0.3813373600171211,-0.33372320879541334,0.4000281804772426,0.0187820616788883,-0.646573389430937,-0.4809049848936722,-0.19969178904999874,0.21174180832438963,0.6640123927153673,0.047868897312730405,-0.1206972686159798,1.0,0.481705455897379
Amygdala_R,-0.11731666322726676,-0.2033437171487794,0.7661356544936363,-0.5684921476955529,0.6251552318018755,-0.36489426505482664,-0.508155820179439,-0.718459938055492,-0.52563490954856,-0.139630877144103,0.6414395252431393,-0.049600374021332896,-0.3670547217118458,0.481705455897379,1.0
