,OFCant_R,Thal_VA_R,Frontal_Inf_Oper_R,Thal_PuA_R,Cingulate_Post_L,SupraMarginal_R,Occipital_Sup_R,OFClat_L,Calcarine_L,ACC_pre_R,Cerebellum_Crus1_L,Rectus_L,Cerebellum_6_R,Cerebellum_9_L,Thal_AV_R,Vermis_9,Paracentral_Lobule_R,Thal_IL_R,OFClat_R,Thal_VPL_L,Red_N_R,Thal_PuL_R,Occipital_Mid_L,Cuneus_R,Thal_VL_L,Cerebellum_Crus1_R,Cerebellum_9_R,Thal_MGN_R,OFCmed_L,Cingulate_Mid_L,Heschl_L,ACC_sup_R,Lingual_R,Supp_Motor_Area_L,Insula_L,Temporal_Sup_L,Thal_PuI_R,Rolandic_Oper_L,VTA_R,Frontal_Inf_Orb_2_R,Lingual_L,N_Acc_R,Thal_VA_L,SN_pr_L,Postcentral_L,Rolandic_Oper_R,Insula_R,Caudate_L,Cuneus_L,Hippocampus_R,Vermis_6,Parietal_Sup_R,ACC_sub_L,Frontal_Sup_2_R,N_Acc_L,Pallidum_R,OFCmed_R,Frontal_Sup_Medial_L,Raphe_M,Thal_PuA_L
OFCant_R,1.0,0.2782369249050072,0.22287966393377565,-0.35874287020022083,-0.05824542377234736,-0.08082402957615432,-0.2753537036522186,0.38196604624876945,-0.15897115966918166,0.19415127553194922,-0.17145188508808046,0.5988803064783846,-0.3171477138659947,0.07223732449350981,-0.11464437666462486,0.012423496749148713,-0.12323169597943939,-0.41601172644162376,0.5250582589701072,0.531869846942749,0.5285088436892598,-0.356551719534164,-0.20841005810938656,-0.22864741100025696,0.18585769960531556,-0.356736580711189,-0.2602696249551122,-0.10855885074743434,0.24310231824303818,0.061764710432381735,0.27735706936685905,0.2423786018887898,-0.3123479298025991,-0.22335454159839552,0.11904464917228277,0.3950769878835648,0.2683251899546182,0.31612156628026084,0.39958977010347774,0.34890950566980544,-0.42900915283950175,0.5193150446466211,0.3991292490151397,0.13143423788331332,-0.2638720331593003,0.32957786359216157,0.2894740845518909,-0.012938641915167371,-0.2457811945842521,-0.01447618729200264,-0.1979920432671079,-0.14515473782347954,0.41261318914083267,-0.14553123259247377,0.26737722694116334,0.09725791847051866,0.6325220447164174,-0.20636313496115258,0.34704553871554933,0.527632277617863
Thal_VA_R,0.2782369249050072,1.0,0.06188005763700373,-0.09118806929388416,0.038786872565883666,-0.022871546749985396,0.06688011026405462,-0.10346634802530873,0.09161592965711973,-0.0581903816757121,0.048317298290404424,0.22042603651377113,-0.009214162684289281,0.20384014406055492,-0.16684731502796277,0.2150073262914396,-0.1589261324766671,0.341883927659611,0.031821752968186665,-0.09738021886172309,0.6542337195433517,-0.309339791611998,-0.018480555539015512,-0.013457304519149517,-0.2832116053013744,-0.013820282350316846,0.18618249482526378,0.2388798695038402,0.02123308858296115,-0.17615172458733452,-0.19144237928710897,0.20712684468521012,0.039328080815708745,-0.018786500965290616,-0.11328263091073099,-0.08323895226060184,0.2621126107478792,0.11972045804818574,-0.030369515683590333,-0.15913741018590152,-0.044125648052731975,-0.00678632472114965,-0.19816288126854928,0.35925499275810213,-0.00988206932192146,0.05802316043399528,-0.3118971644980786,-0.22727499007460958,0.10136163540320903,-0.22646799372428061,0.012653512522698255,-0.048464027164601006,0.0877313943382788,-0.07990921542144747,-0.34933993247973755,0.09140310022938654,0.28004995213841705,-0.032752590931134695,0.33372107147504854,0.005389356135357389
Frontal_Inf_Oper_R,0.22287966393377565,0.06188005763700373,1.0,-0.20701494645474428,0.504810943621478,0.3857604689955519,0.3023876077832458,-0.0521504621402848,0.3282654628678708,0.10655149128881908,-0.01678731270453924,0.03113453168225479,0.17651481376620715,0.3412875889314688,0.3958671697314259,0.3710420432938996,0.3872085262362916,0.12160283852555133,0.1346962710643565,0.14301286222659038,0.3894191613221599,0.02119637107309546,0.14603697893077025,0.4403241715953588,0.34128626756831315,-0.028498024750421562,0.2967935070667922,-0.06410945768017333,0.07962357535283582,0.509161346219299,0.15813893558556838,0.1471464869724985,0.25349758437010056,0.1228086830604535,0.40377881692199385,0.32524907796485314,0.32879112770177077,0.5727009403485618,0.11507316199363396,-0.06123498367025125,0.11390443267415579,-0.08718845754686026,0.20857882381202686,0.23684605972677525,0.14259484808351902,0.4895019194172983,0.13415392659559813,0.3573346325420034,0.36857118576396725,-0.05901465052659597,0.17948906862904077,0.33218414426075704,0.015584555567826786,0.5472472791729069,-0.05297740895591514,0.15266119235368614,0.18252101874707552,0.18113377821873597,0.21013109962873747,0.04253911074939988
Thal_PuA_R,-0.35874287020022083,-0.09118806929388416,-0.20701494645474428,1.0,0.0161694931703499,0.020640081389955083,0.04857348755763931,-0.16824099728397707,0.06361885600046163,0.032417431748907155,0.23932769341446491,-0.34612388129371013,0.22306114201161276,0.10500544163497154,0.13354769026024724,0.011336348542750565,-0.06718108784935704,0.2306027484122137,0.019188255019718985,-0.2660584052591573,-0.5302610595532543,0.30246006367293177,0.04008776495876486,-0.09956311435368674,0.040240971637422615,0.2752045506275794,0.05835489762465963,0.32875394193495716,-0.07868942992250377,0.11527197173516378,-0.11522111806568293,-0.28954034409975815,0.07259362455161841,0.0825468543623626,-0.09489358497086119,-0.1643061525199094,-0.03609977454109794,-0.24842465253021032,-0.11222800965035172,-0.023730358690242308,0.15275471958547768,-0.1447263478790811,-0.061121415519946216,-0.007060162481637639,0.15292157467642126,-0.42718679773837853,-0.061091457703536356,-0.026047219955005956,0.07385748511767619,0.3944670231784001,0.04361539873323928,-0.054658877291131946,-0.18123353448881194,0.0873400933929672,-0.1373081387042741,0.18800053740667552,-0.4764453499440009,0.2087747960292108,-0.11199635915898432,-0.20348314166974588
Cingulate_Post_L,-0.05824542377234736,0.038786872565883666,0.504810943621478,0.0161694931703499,1.0,0.13026309914995501,0.24233396308190613,-0.33942593708276236,0.33689051686577515,-0.03288362496656197,0.08156924038030851,-0.1420348034996262,0.41765363846465364,0.42671597150857743,0.4634312525949086,0.35452159823230844,0.45285183031562787,0.2052238690487902,0.16411291079112003,0.14664627835706726,0.10351374323529976,-0.00902429377482589,0.051646998963626276,0.36377778613398065,0.34662369306882423,0.2478739755797797,0.3944601532238825,-0.026297570039355896,-0.08323920213846744,0.40122562030333236,-0.03874426606450247,0.36685696679580804,0.41577438204451656,0.37460179945483085,0.16496626723883223,0.06590243400339825,0.48040211941508476,0.4644022256243611,-0.0926801120327847,-0.1507105262644474,0.2598124599243553,-0.2545365130220488,0.1337309518007756,0.3872273687284904,0.3699883425553803,0.13195972191345415,-0.049031915099970666,0.27764634831745416,0.36012403332155685,0.0594393577967976,0.4050843466061304,0.2568370426259145,-0.1333313282738866,0.5649206250927329,-0.018288975013476833,0.22497187101086805,-0.0970436477007653,0.5424549098290853,0.12979594342146966,-0.005894251046550262
SupraMarginal_R,-0.08082402957615432,-0.022871546749985396,0.3857604689955519,0.020640081389955083,0.13026309914995501,1.0,0.39458459480844216,0.21071341376732408,-0.08587459582340506,0.3985693266022664,-0.24880614999206796,0.081583089068635,-0.19257406361411666,-0.07220144721348146,0.16324506498851343,-0.13031278280741634,0.24393372143557213,0.19251253867881268,0.052703659719330824,-0.10832827059632137,0.025572456678253773,-0.14401094817939572,0.2712729170718533,0.40611218653627357,0.15291505787297688,-0.3598638855819845,0.09021440148422848,0.2184462376424293,0.3040257083556293,0.37041627370753255,0.0018771722529215007,0.05359026681596533,-0.0761857122740822,-0.32466551981134134,0.29800552207077374,0.12700575155448646,0.18074460162408856,0.005768533091625073,0.32803527291916196,0.020713011219474182,-0.12555722475656492,0.04054348102872577,0.12733892005490396,-0.15644453302329442,-0.36824690549030054,0.5646922894902421,0.2275307770360474,0.48257431099610304,0.3211884542454621,0.14853208137405538,-0.22218427775535438,0.6259043076011096,0.1496442515686189,0.25790972077420954,-0.08474488338093628,0.04791524395068391,0.061715672714673736,-0.23995916552056556,-0.16368141496187477,-0.10743759759385657
Occipital_Sup_R,-0.2753537036522186,0.06688011026405462,0.3023876077832458,0.04857348755763931,0.24233396308190613,0.39458459480844216,1.0,-0.43399121217706665,0.5815982556293544,-0.31251359953875896,0.33544363925563003,-0.3277721880340583,0.48113148610541745,0.08385229268134325,0.06876451324349435,0.3140332577212856,0.5234686152877209,0.684378369259591,-0.4165689107207145,-0.6560533338572758,0.008222991999986981,0.41720596863000253,0.628440624583932,0.8348762894818391,-0.19846954029673974,0.3999378860982835,0.5503639562095854,-0.16712790771796804,-0.3968940295963726,0.0918643785229125,-0.2706513378523596,0.055943184805224234,0.5941852774512146,0.3457983947278451,0.10147335254955465,-0.2544698971608031,0.24744402677720312,0.1400970064553608,-0.42005432432088313,-0.52808757002967,0.6547092966006837,-0.6252696098046978,-0.4182520526131196,0.35892192806467715,0.42983512643681293,0.08656185691588572,-0.4654500995397686,0.06237124222688415,0.945759704629569,-0.40433718112243755,0.3802739001352569,0.7087968461433671,-0.5375638648043439,0.4029058489585688,-0.21811459697021962,-0.2877535951242149,-0.0874012873348646,0.21332967204781275,0.0869200976455771,-0.7367013047798037
OFClat_L,0.38196604624876945,-0.10346634802530873,-0.0521504621402848,-0.16824099728397707,-0.33942593708276236,0.21071341376732408,-0.43399121217706665,1.0,-0.5388780721172453,0.6851819290702469,-0.38069814135030344,0.5140173348389854,-0.7690527999243407,-0.4735444556977769,-0.20356758532510913,-0.4865161613822643,-0.3990423706358451,-0.5828270287428545,0.33297521757803106,0.3338564121305335,0.04528362938585424,-0.3055761488858436,0.07170019624438893,-0.28484350448389656,0.22548631006853992,-0.8012817703377308,-0.5100338923868044,0.14323788947592797,0.4263092154110935,0.14202139817137013,0.5288352584574397,-0.3002600329873626,-0.6905103184961728,-0.7663563576590074,0.29953307478635677,0.6857171005857928,-0.32208516338311105,-0.0364097622839764,0.7253842234763801,0.5466620548366677,-0.6332173271483129,0.6748187450782713,0.5045189788846101,-0.6107104172941377,-0.7104292791674022,0.4656943827410694,0.6771485840699784,-0.016580656655242176,-0.41641794541610183,0.2317972537369147,-0.6829027768460338,0.0316900074766653,0.6595123014760073,-0.26088191033422603,0.08829982561014821,-0.09543817628438374,0.3971310346172085,-0.6016514766404915,-0.08657129625374178,0.37199578114585646
Calcarine_L,-0.15897115966918166,0.09161592965711973,0.3282654628678708,0.06361885600046163,0.33689051686577515,-0.08587459582340506,0.5815982556293544,-0.5388780721172453,1.0,-0.43004528688927984,0.6615007445160963,-0.3294312011867023,0.792522897639209,0.3806659467344124,0.4651962272554226,0.555777000059183,0.4521654627989593,0.45263506930634595,-0.28216909336795887,-0.4373535980500316,0.030990288947855247,0.49697689969495473,0.24577524687536872,0.5583923927972154,0.12159155802330666,0.7330378297407841,0.45160121257976177,-0.3575026553019934,-0.48438558295002654,0.3288699993605921,0.06802118232093086,-0.007447993978556408,0.8823690886362642,0.6697582613376935,0.2999640619598299,-0.14360133932361013,0.05361008099070642,0.4834269659264991,-0.5535059639009743,-0.5493927263301642,0.8434417768457468,-0.6677952509172016,-0.3149779408655591,0.42074213276411326,0.631840689112286,-0.16094985261976383,-0.44674574640933323,0.09144634989183378,0.6274096827274857,-0.29302354203673653,0.7840376032411929,0.14898900255697664,-0.621604907436763,0.5910945795870833,-0.09298339492903873,0.0075419924892779645,-0.10621665582972988,0.6100961799327015,0.43010317375733365,-0.49700373299778794
ACC_pre_R,0.19415127553194922,-0.0581903816757121,0.10655149128881908,0.032417431748907155,-0.03288362496656197,0.3985693266022664,-0.31251359953875896,0.6851819290702469,-0.43004528688927984,1.0,-0.4366856108501366,0.4682056626431364,-0.5100849440542395,-0.16962855945582792,0.09728480256120889,-0.2650197995157658,-0.24980018612125596,-0.4325332963940692,0.565521767668,0.40338995527282356,0.0020098932706144974,-0.4557579816098155,-0.11737382035235613,-0.11217071416976894,0.40254356254484674,-0.6478270033882281,-0.31213423914895616,0.2957730318653804,0.6562383194989478,0.3479707327569682,0.45468652804585746,-0.24996819036912307,-0.45670074574870917,-0.6544305157439478,0.5061487272568016,0.56270918398867,-0.028271733453706135,0.10523096785657415,0.6819830660181034,0.6505520811214243,-0.5208349306583028,0.6011550841616337,0.6386774236336181,-0.4634454515017488,-0.5893881401895148,0.44255012945405203,0.760004223639116,0.28806598999299915,-0.28971010253624435,0.5267826197609216,-0.4912581682829562,0.12811440222858386,0.707306776996727,0.11259245636724635,0.03368963489594782,0.33913040937788436,0.22306017979980747,-0.2934804469362281,-0.1142481979397727,0.4602434931969785
