,Vermis_6,Occipital_Inf_R,Insula_R,SN_pr_R,Thal_LP_L,Thal_LGN_L,OFCmed_L,Cingulate_Post_R,Vermis_9,Amygdala_L,Frontal_Inf_Tri_R,Cerebellum_8_L,Cerebellum_3_L,Rolandic_Oper_L,Frontal_Mid_2_R,Temporal_Pole_Mid_L,Supp_Motor_Area_L,Cuneus_R,Raphe_D,SN_pr_L,Rolandic_Oper_R,LC_L,Angular_R,Thal_VL_L,Thal_VPL_R
Vermis_6,1.0,0.7634471248171962,0.3423600434517201,0.35736931644674075,0.11805349363438111,0.2605379135540283,-0.07995609335122747,0.4351663033846178,0.6544977271404739,0.40987692420817373,0.34627116423136506,0.6919962511873352,0.2815555492456654,0.4660349189421815,0.5153870693914859,-0.34522721315115495,0.47110978792354086,0.19318731552384705,0.1330314256495005,0.33734658184962313,0.4499587505267834,0.2363454367761322,0.1671140478052166,0.36652494442279443,0.35173432298964347
Occipital_Inf_R,0.7634471248171962,1.0,0.08179817072416119,0.062399399492583045,0.12944147835649614,0.06922498227528477,-0.1592846960697658,0.05096259605829124,0.3072309570363272,0.30794492051363065,0.07641308060056266,0.6480253225579342,-0.05879814429324507,0.21710875521161505,0.5074204241913502,-0.6378205825202147,0.31724886967560834,-0.09442295085139864,0.2474045940456617,0.05613002068041454,0.18439585233702055,-0.03266762785699857,-0.22453138925940005,0.04625582329130995,0.1111770716667464
Insula_R,0.3423600434517201,0.08179817072416119,1.0,0.6942917269698146,0.06752765814964784,0.3200333394378316,0.44508917434354034,0.5232729515554664,0.3808580852152225,0.38794626817026046,0.7156423013175255,0.23386089326484125,0.5283328962536347,0.7360010782545454,0.3697665191660313,0.28183318322015677,0.13623574335601304,0.25403082039957825,-0.003828583654384299,0.6524388243479211,0.7110433129005475,0.461537709990015,0.26135255076478786,0.7049785978028992,0.7094153378786948
SN_pr_R,0.35736931644674075,0.062399399492583045,0.6942917269698146,1.0,0.09145173942054685,0.49157237445803564,0.34552987592497686,0.47055211465026464,0.27123582303173016,0.5205510693676904,0.6214444889659457,0.09638714855378361,0.6224602128516655,0.6730946328350633,0.3457739646214112,0.31000763970194906,0.21664980695913144,0.4675581334955539,0.08865886086633783,0.6713998995461975,0.5920941557744387,0.5237103834280337,0.4983255289630113,0.8337149497423558,0.6949130009568406
Thal_LP_L,0.11805349363438111,0.12944147835649614,0.06752765814964784,0.09145173942054685,1.0,0.13483983387297116,0.16893691568122163,0.1189705532266668,0.14594358927648687,0.16453129653241935,0.13606984715931605,0.034849304959166535,0.045112543569255356,0.18987141561689655,0.2727952358925354,-0.06245801687267015,0.14747112042263016,0.12611040103737525,0.27146012223447996,0.19594691068545328,0.1278801822952381,-0.04732520888187811,0.047582800882435605,0.19454350520360822,0.18879516522589174
Thal_LGN_L,0.2605379135540283,0.06922498227528477,0.3200333394378316,0.49157237445803564,0.13483983387297116,1.0,0.22793425712128065,0.4425725499625505,0.2641103947081655,0.10732206625765255,0.36857769369775334,0.09404225580708289,0.5465744322578041,0.5114014285603992,0.4754111299679119,0.19165603046702123,0.609177305183888,0.3014105817512171,0.06241247740302678,0.5309636555419648,0.45245346836616995,0.4409286869849569,0.2971694095207649,0.5598089586647136,0.48643451993144565
OFCmed_L,-0.07995609335122747,-0.1592846960697658,0.44508917434354034,0.34552987592497686,0.16893691568122163,0.22793425712128065,1.0,0.2716003010140566,0.16647369130227613,0.21063952897532603,0.426050582168218,-0.07261296140881905,0.3848234504431666,0.38991381082717297,0.290847830675217,0.3406689581643119,0.08749752904301049,0.1413232370729523,0.054389410810798115,0.4923391348892173,0.43005584117552326,0.5330950165280234,0.07300865853530461,0.29864099673467165,0.2975102717441443
Cingulate_Post_R,0.4351663033846178,0.05096259605829124,0.5232729515554664,0.47055211465026464,0.1189705532266668,0.4425725499625505,0.2716003010140566,1.0,0.5381449847503376,0.42058630407893005,0.5428562992081478,0.2623760495179413,0.6022107388312834,0.6898601089920781,0.3271490208707824,0.28941580568378356,0.39705450411628707,0.5543658171675012,-0.10436202317222863,0.6987432517160593,0.7221878154978476,0.46331964861241154,0.4539701000215278,0.5647168026901176,0.41274090005557995
Vermis_9,0.6544977271404739,0.3072309570363272,0.3808580852152225,0.27123582303173016,0.14594358927648687,0.2641103947081655,0.16647369130227613,0.5381449847503376,1.0,0.18725792329931865,0.4620324743995555,0.6512179585486526,0.39928146715261037,0.5513660854100767,0.37765788137543893,0.04249336159977255,0.36593485499152906,0.28276300168009794,0.0023235966422369193,0.41758423820385787,0.5033954276453463,0.25699006351828524,0.3303974269674565,0.3165317466160449,0.3914054671439914
Amygdala_L,0.40987692420817373,0.30794492051363065,0.38794626817026046,0.5205510693676904,0.16453129653241935,0.10732206625765255,0.21063952897532603,0.42058630407893005,0.18725792329931865,1.0,0.37793525135148087,0.245292044506013,0.2185925496449929,0.41801509599495207,0.24259096701163751,-0.2232396167952476,0.0761811775897804,0.23802275690801084,0.13626677041886176,0.3635834631511771,0.46252878118262025,0.26107907755111903,0.19127248560916665,0.520122297643805,0.30401350651516323
Frontal_Inf_Tri_R,0.34627116423136506,0.07641308060056266,0.7156423013175255,0.6214444889659457,0.13606984715931605,0.36857769369775334,0.426050582168218,0.5428562992081478,0.4620324743995555,0.37793525135148087,1.0,0.3783341609345667,0.5481403582585235,0.7927974247466991,0.6482765337552542,0.31110404093198735,0.29458797137910636,0.06299299863427597,0.020448546371017867,0.6558579916101803,0.788927632282873,0.34406153683374896,0.16932483326027065,0.6740104452436607,0.6603048947558744
Cerebellum_8_L,0.6919962511873352,0.6480253225579342,0.23386089326484125,0.09638714855378361,0.034849304959166535,0.09404225580708289,-0.07261296140881905,0.2623760495179413,0.6512179585486526,0.245292044506013,0.3783341609345667,1.0,0.11600974789964633,0.4089912243077672,0.47241579526323596,-0.3321671772347577,0.3725743180154865,-0.023029298131282447,0.19743460738293386,0.17479473722206268,0.3337758006989429,0.062173145458274195,0.03967909441575908,0.1456397202288803,0.2595708976984819
Cerebellum_3_L,0.2815555492456654,-0.05879814429324507,0.5283328962536347,0.6224602128516655,0.045112543569255356,0.5465744322578041,0.3848234504431666,0.6022107388312834,0.39928146715261037,0.2185925496449929,0.5481403582585235,0.11600974789964633,1.0,0.6321365282351468,0.24813545986055122,0.4634683222371608,0.2990759450437958,0.48237227269992544,-0.19612281602719678,0.5672661247854178,0.5705747305356549,0.6852465964431095,0.49399771056858355,0.5821044375753528,0.5513698229688951
Rolandic_Oper_L,0.4660349189421815,0.21710875521161505,0.7360010782545454,0.6730946328350633,0.18987141561689655,0.5114014285603992,0.38991381082717297,0.6898601089920781,0.5513660854100767,0.41801509599495207,0.7927974247466991,0.4089912243077672,0.6321365282351468,1.0,0.5959300847922865,0.29384403092426703,0.39881063213707985,0.3964328236051696,0.031355072107430604,0.7533655993536843,0.8535197521103011,0.45193820062957835,0.3368913378824003,0.7664878585264955,0.8255546881724427
Frontal_Mid_2_R,0.5153870693914859,0.5074204241913502,0.3697665191660313,0.3457739646214112,0.2727952358925354,0.4754111299679119,0.290847830675217,0.3271490208707824,0.37765788137543893,0.24259096701163751,0.6482765337552542,0.47241579526323596,0.24813545986055122,0.5959300847922865,1.0,-0.18516941337605455,0.6260170332955897,-0.1387505983598035,0.25430279169772846,0.48666375957495456,0.5872171109112958,0.1602923892001113,-0.1481451138018938,0.43984818657148117,0.4477605395535581
Temporal_Pole_Mid_L,-0.34522721315115495,-0.6378205825202147,0.28183318322015677,0.31000763970194906,-0.06245801687267015,0.19165603046702123,0.3406689581643119,0.28941580568378356,0.04249336159977255,-0.2232396167952476,0.31110404093198735,-0.3321671772347577,0.4634683222371608,0.29384403092426703,-0.18516941337605455,1.0,-0.175150896099684,0.3028750957227974,-0.17537953921580618,0.39075934956704245,0.27418763499075666,0.30099823332256875,0.38247555008940815,0.3448047194960694,0.2789234581181945
Supp_Motor_Area_L,0.47110978792354086,0.31724886967560834,0.13623574335601304,0.21664980695913144,0.14747112042263016,0.609177305183888,0.08749752904301049,0.39705450411628707,0.36593485499152906,0.0761811775897804,0.29458797137910636,0.3725743180154865,0.2990759450437958,0.39881063213707985,0.6260170332955897,-0.175150896099684,1.0,0.1934645145075802,0.1209098746297222,0.3421162217434922,0.3860068912726966,0.2742248382695889,0.18503269029982966,0.2561025777984632,0.2530907086294781
Cuneus_R,0.19318731552384705,-0.09442295085139864,0.25403082039957825,0.4675581334955539,0.12611040103737525,0.3014105817512171,0.1413232370729523,0.5543658171675012,0.28276300168009794,0.23802275690801084,0.06299299863427597,-0.023029298131282447,0.48237227269992544,0.3964328236051696,-0.1387505983598035,0.3028750957227974,0.1934645145075802,1.0,-0.04224056091883259,0.40989383427346143,0.19373854809700244,0.42494980060539805,0.85949597519022,0.41554813968926124,0.39044974782457376
Raphe_D,0.1330314256495005,0.2474045940456617,-0.003828583654384299,0.08865886086633783,0.27146012223447996,0.06241247740302678,0.054389410810798115,-0.10436202317222863,0.0023235966422369193,0.13626677041886176,0.020448546371017867,0.19743460738293386,-0.19612281602719678,0.031355072107430604,0.25430279169772846,-0.17537953921580618,0.1209098746297222,-0.04224056091883259,1.0,0.07818138353342126,-0.018181949387653776,-0.12599313495413428,-0.048363238824330225,0.12383617301687622,0.07321000193050413
SN_pr_L,0.33734658184962313,0.05613002068041454,0.6524388243479211,0.6713998995461975,0.19594691068545328,0.5309636555419648,0.4923391348892173,0.6987432517160593,0.41758423820385787,0.3635834631511771,0.6558579916101803,0.17479473722206268,0.5672661247854178,0.7533655993536843,0.48666375957495456,0.39075934956704245,0.3421162217434922,0.40989383427346143,0.07818138353342126,1.0,0.7597654964246424,0.48058968081241155,0.36462367698302217,0.7171516763506544,0.5784927086880943
Rolandic_Oper_R,0.4499587505267834,0.18439585233702055,0.7110433129005475,0.5920941557744387,0.1278801822952381,0.45245346836616995,0.43005584117552326,0.7221878154978476,0.5033954276453463,0.46252878118262025,0.788927632282873,0.3337758006989429,0.5705747305356549,0.8535197521103011,0.5872171109112958,0.27418763499075666,0.3860068912726966,0.19373854809700244,-0.018181949387653776,0.7597654964246424,1.0,0.38826740857070446,0.16409545012148802,0.6495196745566856,0.572538355126105
