,Vermis_9,Thal_IL_R,Paracentral_Lobule_R,Thal_VPL_R,SN_pr_R,Temporal_Mid_L,Occipital_Mid_R,Olfactory_R,Cerebellum_9_R,ParaHippocampal_L,Caudate_R,Temporal_Inf_L,Frontal_Inf_Orb_2_R,Putamen_L,Rolandic_Oper_L
Vermis_9,1.0,0.3230057011992205,-0.07484943164699527,0.3914054671439914,0.27123582303173016,0.5472113491393664,0.045364635403565313,0.07110267893913513,0.7148019211544425,0.3706985562320887,0.39503534725571343,0.519512861881433,0.28434889713493483,0.3963511788696144,0.5513660854100767
Thal_IL_R,0.3230057011992205,1.0,0.07098100790626384,0.8475228740749231,0.6238874436075162,0.6638183894269084,0.08059013049421819,0.3822336227063143,0.5309283426877406,0.7839795003182032,0.8790908354419656,0.6381479451440683,0.5579412939594269,0.6745624451780609,0.7133373249485486
Paracentral_Lobule_R,-0.07484943164699527,0.07098100790626384,1.0,0.22534294354731255,0.402868390567945,0.07959485705291876,0.5718820442371164,0.08079859865092429,-0.18989463007186927,0.22408182323093512,0.2236406396635078,-0.1457799807264165,0.03765072225420022,0.28549498896812975,0.10242752858131363
Thal_VPL_R,0.3914054671439914,0.8475228740749231,0.22534294354731255,1.0,0.6949130009568406,0.7517981958230215,0.14874026199310625,0.34103590749783597,0.5736891060355546,0.7843948484279285,0.9530146998951526,0.6558472180824783,0.5288455092955079,0.6859027158924005,0.8255546881724427
SN_pr_R,0.27123582303173016,0.6238874436075162,0.402868390567945,0.6949130009568406,1.0,0.6999080403520818,0.30013271757363486,0.3728539826380584,0.4609359830758805,0.8069074809479482,0.7339809221380056,0.5585163556524954,0.5318031790005961,0.7539939513989898,0.6730946328350633
Temporal_Mid_L,0.5472113491393664,0.6638183894269084,0.07959485705291876,0.7517981958230215,0.6999080403520818,1.0,0.1967703438504327,0.33382063958217373,0.7590708539444189,0.788366052321216,0.7716492480575534,0.8780755620376574,0.5030642905693835,0.7604953191817522,0.8713174991044208
Occipital_Mid_R,0.045364635403565313,0.08059013049421819,0.5718820442371164,0.14874026199310625,0.30013271757363486,0.1967703438504327,1.0,0.0007319256988015655,-0.011695168779575603,0.09419650354110874,0.10552929172256649,-0.07502426009061461,-0.08064242269233704,0.15095083661599437,0.06069079378112524
Olfactory_R,0.07110267893913513,0.3822336227063143,0.08079859865092429,0.34103590749783597,0.3728539826380584,0.33382063958217373,0.0007319256988015655,1.0,0.12293219170497229,0.39332000297492953,0.42164790605822156,0.31874360652981054,0.5449248070340268,0.4916394769475882,0.33782935225291144
Cerebellum_9_R,0.7148019211544425,0.5309283426877406,-0.18989463007186927,0.5736891060355546,0.4609359830758805,0.7590708539444189,-0.011695168779575603,0.12293219170497229,1.0,0.5561099744959581,0.5601131817662005,0.7268758988326701,0.32357558390694857,0.5122600096234717,0.718377345187633
ParaHippocampal_L,0.3706985562320887,0.7839795003182032,0.22408182323093512,0.7843948484279285,0.8069074809479482,0.788366052321216,0.09419650354110874,0.39332000297492953,0.5561099744959581,1.0,0.8487326001900992,0.709297584301988,0.6673062224951176,0.8084057258173039,0.7767278359240711
Caudate_R,0.39503534725571343,0.8790908354419656,0.2236406396635078,0.9530146998951526,0.7339809221380056,0.7716492480575534,0.10552929172256649,0.42164790605822156,0.5601131817662005,0.8487326001900992,1.0,0.6973564721684504,0.6267498798817748,0.765357954683214,0.8296120326007337
Temporal_Inf_L,0.519512861881433,0.6381479451440683,-0.1457799807264165,0.6558472180824783,0.5585163556524954,0.8780755620376574,-0.07502426009061461,0.31874360652981054,0.7268758988326701,0.709297584301988,0.6973564721684504,1.0,0.5598353927528876,0.7035908611280135,0.8248853271308563
Frontal_Inf_Orb_2_R,0.28434889713493483,0.5579412939594269,0.03765072225420022,0.5288455092955079,0.5318031790005961,0.5030642905693835,-0.08064242269233704,0.5449248070340268,0.32357558390694857,0.6673062224951176,0.6267498798817748,0.5598353927528876,1.0,0.6777984936608219,0.5739910018892654
Putamen_L,0.3963511788696144,0.6745624451780609,0.28549498896812975,0.6859027158924005,0.7539939513989898,0.7604953191817522,0.15095083661599437,0.4916394769475882,0.5122600096234717,0.8084057258173039,0.765357954683214,0.7035908611280135,0.6777984936608219,1.0,0.7836617715789845
Rolandic_Oper_L,0.5513660854100767,0.7133373249485486,0.10242752858131363,0.8255546881724427,0.6730946328350633,0.8713174991044208,0.06069079378112524,0.33782935225291144,0.718377345187633,0.7767278359240711,0.8296120326007337,0.8248853271308563,0.5739910018892654,0.7836617715789845,1.0
