,Frontal_Inf_Tri_L,Frontal_Med_Orb_L,Precuneus_R,Thal_AV_L,Caudate_L,Temporal_Pole_Sup_L,Frontal_Sup_Medial_L,Cingulate_Post_L,Postcentral_R,Cerebellum_Crus2_R,Vermis_9,Thal_PuI_R,ACC_pre_L,Cuneus_R,SupraMarginal_L,Thal_PuM_L,Vermis_3,VTA_L,Parietal_Sup_L,Cerebellum_10_R,Occipital_Sup_L,Paracentral_Lobule_L,Cerebellum_Crus1_R,Cerebellum_4_5_L,Pallidum_R,Olfactory_R,Cerebellum_7b_R,Frontal_Med_Orb_R,Cerebellum_Crus1_L,OFCpost_R,Supp_Motor_Area_R,Occipital_Inf_L,Amygdala_R,Putamen_R,Occipital_Sup_R,Thal_PuL_R,ACC_sup_R,Putamen_L,Thal_PuI_L,Red_N_R,Temporal_Inf_L,Temporal_Pole_Mid_R,Lingual_L,Insula_L,ACC_sub_R,Frontal_Mid_2_R,Vermis_6,OFClat_L,Amygdala_L,OFCant_R,ParaHippocampal_R,Rectus_L,Olfactory_L,SN_pr_R,Thal_VPL_L
Frontal_Inf_Tri_L,1.0,-0.21810980860259138,0.1936692213152173,0.459300451722273,0.43256245635210516,0.2827948701799551,0.8574392620530217,0.3621194555736837,0.35903208887982674,0.38943424212958627,0.42142325897903543,0.23205022842049258,0.5926581761690194,-0.16044886838317776,-0.09680442593106262,-0.11389111610669259,0.4817496739144099,0.1477755449362985,-0.30539776324518086,0.40223967913703756,-0.27507170898639355,-0.25028889321841863,0.2847488050099646,0.46526072092999493,0.27271459609209436,0.09623288674776898,0.3621525694786453,-0.4526190114431196,0.5045409388648404,0.3768222285353519,0.6853980705737278,0.28168615803060415,0.3511880192506836,0.3651872260950751,-0.42984129159764534,0.11470709866232015,0.1394269525832165,0.3796685936525482,0.47623570035754315,0.3168209279899014,0.7239091014203821,-0.15924695201418257,0.539260739621852,0.7301186409511916,-0.1060313241492454,0.8851921511033649,0.4230032042413767,0.5905322744908218,0.39439636631979624,0.5047564412093782,0.3323623679615362,-0.21467395824373878,0.15216373347600645,0.3350874304405466,0.4902020000794866
Frontal_Med_Orb_L,-0.21810980860259138,1.0,0.22188088299088582,0.25111255672262367,0.10772191649502606,0.2693187352085288,-0.3472501555627869,0.15369058346095624,0.21545103357624018,-0.43666574317505985,0.015671574900043773,-0.34546350115232966,-0.32912451067036996,0.1550200608036918,0.14783345247227417,-0.12441897031914473,0.2343009061308024,-0.29885304499339127,0.2610498386009157,0.049634867144112194,0.03845478414758359,0.09640122501774125,-0.4357318959012929,0.14042837564376545,0.41683693541703815,0.22017122333449887,-0.3068908802810108,0.5323475045988202,-0.5230417261118425,0.04598359764398985,-0.0819477841088065,-0.5056160098520891,0.06978585653002854,0.308120227461303,0.18143493393536594,0.0032262925265181762,0.2849412312842778,0.24626254297470035,-0.06796552866224462,0.34132582300718173,0.031231519241554873,0.41984787631646764,-0.15659685949781132,-0.18355404871874034,0.3829733667313586,-0.241800555974264,-0.37549076604012344,0.12101680631499495,-0.34306437311395827,-0.026910938501155463,0.2518288599774966,0.3389206087278499,0.13661596107913276,0.009385148163447748,0.03520872837196617
Precuneus_R,0.1936692213152173,0.22188088299088582,1.0,0.2820981437069614,0.460019849095899,0.4451892873209523,-0.09029880215893393,0.7796796541633159,0.6735348122657102,-0.09616268896409419,0.4858278055114951,0.33754411451865557,-0.23239572503729805,0.7860072292523371,0.6671328878356815,0.47920776266311405,0.5767978680277945,0.290318962099748,0.20309910361987812,0.6431347081072791,0.644741379633885,0.38890406707763087,0.02424109491594224,0.5835383138070864,0.46856126343084115,0.1624616332770307,0.05364781608404753,0.12833892560347782,0.023726735020916476,0.4019514605609388,0.6053284056027523,0.03558781984026767,0.3880141403117734,0.5791045298021051,0.5812935460659705,0.5286367559121545,0.5376481322296328,0.610016306373771,0.4118183121671591,0.3406361685284252,0.44091641738829995,0.19527508079378283,0.5788404441300332,0.4994860881122511,0.09184225416538871,0.11414650734271596,0.3061762186760355,0.037355853975366844,0.3243921685021766,0.02811610305318215,0.5129814447850976,0.030715510748523193,0.37294510120229096,0.4854602348157811,0.5050462552571148
Thal_AV_L,0.459300451722273,0.25111255672262367,0.2820981437069614,1.0,0.7610609674597838,0.5515374853376092,0.36523110334163783,0.30135091731632146,0.49083431114023646,0.2476303418307596,0.4617811257320783,0.30165938929856756,0.31959835784752955,0.16874157679929216,0.17479821364170475,0.09760564132907344,0.4821366398033834,0.29502533189785735,0.006316002162389337,0.44323975763789447,0.03961618621199336,-0.03461083759165925,0.1261831657069739,0.6638036209731412,0.529026544886946,0.25987608020869246,0.2805137348656857,0.13187846246438537,0.2463828000699516,0.30300487913802476,0.36327479098385873,0.02306369469638033,0.4691459804279945,0.4596388254955127,-0.008231154393160977,0.4139394221659756,0.5339721515978927,0.574840864232054,0.5977344986161978,0.7039636311522792,0.6626090579252352,0.2747657120913829,0.4810258029404627,0.5397629688896692,0.26425255831092276,0.5043577858152153,0.32808690336650326,0.2985889796596484,0.044719042316924064,0.40640996380456124,0.632886423100957,0.12157456748200916,0.3069716568627945,0.48307625193414216,0.45493880442829787
Caudate_L,0.43256245635210516,0.10772191649502606,0.460019849095899,0.7610609674597838,1.0,0.6796124898102741,0.21898423448037815,0.4588970434328064,0.5741592756605477,0.13805920359364002,0.39333843049234335,0.6063104318361265,0.27250317056662016,0.36913016133717763,0.337797095772917,0.370218110063125,0.6696065150915264,0.372592867074823,-0.03302759672080325,0.49049629067265377,0.2953598271505018,0.15822590975263373,0.07219235122428232,0.8465484293639239,0.5661079969641015,0.3825017913457441,0.18121849615958752,0.040300855165922946,0.17750601209531394,0.4856846628015396,0.3503812265625511,0.14242756407619753,0.39702164776137244,0.6459552550669072,0.22092716607081184,0.5231612837683135,0.746417574137282,0.7753348561702672,0.832410814896756,0.7303892480246764,0.649041765158749,0.39746735839239616,0.5681356104586501,0.7208633695326578,0.30707583070828504,0.38471801126307714,0.30444720264762526,-0.021572018490005083,0.39364994437662054,0.27673317463703767,0.6741384085193615,0.2097714733177224,0.29036448972050893,0.7701295115628427,0.7063034675066607
Temporal_Pole_Sup_L,0.2827948701799551,0.2693187352085288,0.4451892873209523,0.5515374853376092,0.6796124898102741,1.0,0.0602041336852493,0.39051552454545774,0.3674447882508495,0.1437988502656956,0.38237428368988713,0.2613468961215804,-0.024648116202045496,0.2450456516976464,0.17849224452797482,0.019447836964807792,0.5105681663286513,0.1435923307943452,-0.038422593199939764,0.4951207821763974,0.26280859907002213,0.16017060086088666,0.13266220583729846,0.6136554859682285,0.6460541546536395,0.4631459069762707,0.23244347754198752,0.42735920348419354,0.13379063634776933,0.6530522194510012,0.2314511858422113,0.11803996041817294,0.22013009611099146,0.7067208644848111,0.152323950153863,0.18864412478419595,0.7225776344682322,0.7664663364874684,0.417849083722202,0.571865373199884,0.6421361858340479,0.7008521113949714,0.448795671014391,0.5053590212413943,0.33299987402176673,0.18088960616747568,0.27801531810969643,-0.11119668911935918,0.25987815439344747,0.1200926773673053,0.7025958695107121,0.28442549701840775,0.4808283075043436,0.5732386433177543,0.44455301140341325
Frontal_Sup_Medial_L,0.8574392620530217,-0.3472501555627869,-0.09029880215893393,0.36523110334163783,0.21898423448037815,0.0602041336852493,1.0,0.15796717423098475,0.11254599806022667,0.5615731711759743,0.3487390191647742,0.15373532146050137,0.7830000896026578,-0.3811805688640657,-0.33286925786823385,-0.18625809346478947,0.288281252553396,0.18766155906689583,-0.3747073206346026,0.2555193197799453,-0.4107290148531605,-0.42122096622537075,0.42743678346708597,0.2821168418889627,0.10591468599030389,-0.03720170127885707,0.45474641690590833,-0.5124979574823528,0.6602170830164171,0.17308058452838962,0.5287193443277854,0.3871059966972223,0.25691992488077514,0.10605300487897831,-0.604538819247959,-0.02514308237385219,-0.10872996221222238,0.13327434082673403,0.30033492675752216,0.19929727544963913,0.5826778484378349,-0.2728600603443675,0.4289261624836154,0.5163383035052219,-0.2165217583749953,0.8932321113150993,0.5231467707379192,0.5135950961319518,0.25602108381892036,0.5110317590660912,0.10749416676404283,-0.32288759979334547,0.04935709736140133,0.12745451811417463,0.23438054580301199
Cingulate_Post_L,0.3621194555736837,0.15369058346095624,0.7796796541633159,0.30135091731632146,0.4588970434328064,0.39051552454545774,0.15796717423098475,1.0,0.4759743487179742,0.13718455764807438,0.48524789538625634,0.28778740551617443,0.009874285582403431,0.46661037981598574,0.2885168967129694,0.3145242165463251,0.6020525836145243,0.16785573316222532,0.05053697495705314,0.4812214553834992,0.23240469929160534,0.15930399246351418,0.11289098991981533,0.602560185015835,0.48357311643123685,0.19183170380770406,0.1694438942430852,-0.011347315078798218,0.1619867225801535,0.43895150140167916,0.5008589155280055,0.04618411304100726,0.3208522206653421,0.5937581466644383,0.18698627054123018,0.31664874145900057,0.5079341033565239,0.5993524013991628,0.42604128311515405,0.31760930395241604,0.49269279358455376,0.1195383808133638,0.5453049694819472,0.5840481628268053,0.03281171742300886,0.28089308190909973,0.3451603809685743,0.10325611727014948,0.3714803766255325,0.05483857965348302,0.4139710214387556,-0.011689565669837365,0.2138070793109037,0.38829311041609094,0.3659760374692558
Postcentral_R,0.35903208887982674,0.21545103357624018,0.6735348122657102,0.49083431114023646,0.5741592756605477,0.3674447882508495,0.11254599806022667,0.4759743487179742,1.0,-0.08846701842351187,0.40566411535282515,0.3292742303094837,-0.05957762936732178,0.6533858020443054,0.7020541814968261,0.5410028720587183,0.5746742924940236,0.32954443259379784,0.2306389021816662,0.5132620273239036,0.5278782361676354,0.3823506693886684,0.006271119906322184,0.5877573818926467,0.3860630583813916,0.22083961229760343,0.021762002254880668,-0.004994290640954354,0.06571870100790063,0.30393768380124037,0.6536784723025745,0.026110983975216637,0.533444006233376,0.39322716034241245,0.5492357773321613,0.7169013603249043,0.49741000135401725,0.5546973905653844,0.4906421595549833,0.4572242361318177,0.4919318062337924,0.11589544550446525,0.4653936042732128,0.5929771224582886,0.20044916052280443,0.333721827183093,0.21294591572470914,0.3081545689841144,0.14724563703192486,0.31129033716232246,0.49312803398217775,0.1178246560160925,0.32562933570459635,0.538840430730484,0.47884468075647246
Cerebellum_Crus2_R,0.38943424212958627,-0.43666574317505985,-0.09616268896409419,0.2476303418307596,0.13805920359364002,0.1437988502656956,0.5615731711759743,0.13718455764807438,-0.08846701842351187,1.0,0.4113260639606972,0.28697360333162725,0.35696797111909373,-0.1826660886384611,-0.23362633139879188,-0.01481946842380154,0.007970075598452114,0.3617999272093915,-0.3273812851554853,0.35384205355354637,-0.12647145840978913,-0.2514597916915864,0.8809963156540865,0.19939800315986023,0.05095247731190695,-0.0933495566525924,0.8769765335979197,-0.23149286360156449,0.8589793554351893,0.07417939443731426,0.243739138075911,0.5857140593169236,0.19131826431630852,0.05457469810386043,-0.32495770579231004,-0.0023034522473605614,0.016704788276680635,0.10738601687249481,0.10481500026849042,0.11148809868213537,0.4119161268797691,-0.05172686373061455,0.5433982100801661,0.37604184619079084,-0.2143909265382614,0.45431658940481184,0.7243026124951056,0.07869977893530095,0.2839729385579093,0.1415722321170746,0.09124077942679729,-0.2956258062240539,0.018950653179525784,0.07133835137789488,-0.01848852091014501
