,Thal_IL_L,N_Acc_L,Thal_PuM_L,Angular_L,Pallidum_L,Thal_MDl_R,Cerebellum_9_R,Thal_PuI_R,Insula_L,Thal_MGN_L,OFCmed_L,Vermis_10,Cuneus_L,OFClat_L,ACC_sub_L,Thal_LP_L,Fusiform_R,Lingual_R,Cingulate_Mid_L,Fusiform_L,Thal_PuA_R,SupraMarginal_R,Cuneus_R,Cerebellum_4_5_L,Vermis_7,Frontal_Inf_Tri_L,SN_pr_R,Caudate_L,Supp_Motor_Area_R,Pallidum_R,Rolandic_Oper_R,OFCpost_R,OFClat_R,Thal_LGN_R,Precentral_L,OFCmed_R,Cerebellum_7b_R,Thal_MGN_R,Paracentral_Lobule_R,Thal_PuM_R,Caudate_R,Frontal_Sup_Medial_L,Red_N_L,OFCant_L,Putamen_L,Cerebellum_Crus2_R,Thal_VL_R,Lingual_L,Cerebellum_8_L,Temporal_Pole_Mid_L,Frontal_Inf_Oper_L,Precentral_R,Thal_VPL_L,Rectus_R,Temporal_Pole_Sup_R,ParaHippocampal_L,Frontal_Inf_Orb_2_R,OFCpost_L,Postcentral_L,SN_pc_R
Thal_IL_L,1.0,0.43995007423260235,0.021953161914268018,-0.06271763475791511,0.6131426676787752,0.42531746084046523,0.4912594238339017,0.4509767922292126,0.5220609292908862,0.4648827967452524,0.1672743412390962,0.49712840203627584,0.1596743418867334,-0.04334169029540929,0.15874097356988176,0.03616919369096882,0.6624751513178524,0.3723362620569017,0.3846304810936166,0.6112937549864162,0.4474800989055155,0.2685742207734076,0.013031898388852405,0.6842635089764986,0.003838707450825695,0.4005384181216926,0.6310108540224098,0.7809291624758272,0.1646596902857284,0.551950528046096,0.5597147882321929,0.3842440620278773,0.31668533970595897,0.6947341261434193,0.15768241240679814,0.283939559268973,0.2364876201824137,0.8449202997471228,0.03596726525892784,0.2674433324199052,0.7387007225646853,0.2998071807820421,0.641500618099244,0.209759159979191,0.6814248586726175,0.2688186624160135,0.8201596728339613,0.42180912256883407,0.20448316078117942,0.31474047651908976,0.5169434029346432,0.18249292359330566,0.5944461995960385,0.27780635522735647,0.6402805590678878,0.7238314039691273,0.5284300230618311,0.4302183239677665,0.16486976249412777,0.3972306337039753
N_Acc_L,0.43995007423260235,1.0,0.2527186201771559,0.3190791132518749,0.5102578621516676,0.2201140499787548,0.4127162371207312,0.33209482300553256,0.4752963361109677,0.42129009426025216,0.09030536338543044,0.2626439693297581,0.3182158057449404,0.20858870627299883,0.17740274422370447,0.10625344338937665,0.41543513728917286,0.4467862301181758,0.36977871387809236,0.5960904295025952,0.3073963118783288,0.3252154347214528,0.3157345221575736,0.49841300442072417,0.04350962549726508,0.19452494620767052,0.5120121948667287,0.4498739885070045,0.38225998091916846,0.6094205193502484,0.367698360436141,0.3880661088623341,0.38180444425877663,0.6603424982048522,0.26062403570732817,0.3870880628510306,0.15679148606051566,0.3192436900478222,0.1002418825018936,0.4054012041148807,0.5852588577013497,0.11062183715714462,0.5082977140261963,-0.0003563463537458218,0.5844441474225863,0.16089483827470363,0.5396509096577295,0.4188198364709214,0.2177612947859963,0.23272746558920743,0.308419173262088,0.3643101441275351,0.451169464577204,0.13103752659363996,0.4851496615465911,0.5545708097299773,0.5018895982278768,0.42345490356541077,0.30080045706989994,0.3920450838610275
Thal_PuM_L,0.021953161914268018,0.2527186201771559,1.0,0.7017114749435609,-0.07804066696524409,0.6557149013666854,0.17494678520254264,0.7365430636662545,0.3890855074336261,-0.1566327506612413,0.01998451733995854,0.14500589472839076,0.5896203185565662,-0.19316688707380256,-0.28091614258428543,0.1569593016068351,0.04753517355164081,0.3660417386218621,0.3313610046114464,0.38512751374119036,0.7524683807879171,0.5659364292954616,0.7528832414446996,0.4199329124656705,0.06886945924799866,-0.11389111610669259,0.4884624984583241,0.370218110063125,0.25925661819027734,0.04077295136456137,0.0824338068887674,0.027753006817259535,-0.09513700533303181,0.06365267724209407,0.174190051267621,-0.16664669995145076,0.027796796671289578,-0.17515614817899783,0.5702862083093668,0.8756832082639447,0.3577502960535272,-0.18625809346478947,0.05463368298102896,-0.3223554877866743,0.27738518215274843,-0.01481946842380154,0.3167751900840008,0.4001984080979603,0.014020159485352996,-0.024602196304586398,0.1369487287740747,0.48027166938740107,0.39076498719507596,-0.159128310741721,0.08257639466074301,0.33673419470954025,-0.05824110707490177,0.15081535363343632,0.3251303260122522,0.3585800435082244
Angular_L,-0.06271763475791511,0.3190791132518749,0.7017114749435609,1.0,0.09697977209353867,0.40750412022268084,0.008908193069705521,0.39220588858978445,0.18231357818391755,-0.0035579882245744847,-0.0010166918105461173,0.09765058323686253,0.7403031394033601,-0.1838243957370232,0.08018632002000357,0.004774149274259451,-0.02012206362037846,0.20309749213125472,0.36596346132120927,0.1857866013862283,0.3932851970899761,0.7135460720609781,0.9055835310645141,0.2709998434052834,-0.03732906683168667,-0.3132893586242693,0.4156429612561998,0.24062338460218977,0.2668081391128026,0.21699280553656447,0.05308284043753251,0.09792818629029523,0.052349429603043986,0.10957412652548587,0.054552497634739905,0.2172407661890678,-0.10239336210504098,-0.17488220037415414,0.6794969807214403,0.6568815066294257,0.24990559700063994,-0.5166322523770034,0.16770969195130325,-0.25810932342765175,0.3464020387144394,-0.2428979020364054,0.1875397418873567,0.2736804260018918,-0.10532965014886221,0.27919536158679914,-0.09568157293660694,0.34867197528008376,0.32806428535902515,0.05166785223646118,0.2135667965970377,0.2989767882842551,0.04069850298388488,0.09191818815736841,0.3639360315714471,0.24806264633873149
Pallidum_L,0.6131426676787752,0.5102578621516676,-0.07804066696524409,0.09697977209353867,1.0,0.1611868931921617,0.43986841184068937,0.08985432157855003,0.5194099297608289,0.6209122904662296,0.3215523314971691,0.5046688783541664,0.30253175443227587,0.2056385396439074,0.4137660105130973,0.050938743021794776,0.6836481639343878,0.5232751539947786,0.6323006480471741,0.5887074915665182,0.11850290259592113,0.43355879514055,0.178142658434993,0.6909850024269282,-0.07980470070633446,0.46788049127585757,0.5654635716202534,0.5920218577921786,0.4749867433167569,0.8442065202427561,0.6965807886021198,0.5270866584638504,0.6273747410334283,0.7004553503226475,0.2407997530672082,0.512119536737562,0.06919574719426264,0.6142892927687207,0.03426232596204472,0.1930845661635658,0.5887736076976768,0.2757828707535531,0.766227456724598,0.37818455299844983,0.8177928028892536,0.07624648136055674,0.5946109213409819,0.4689241877206952,0.16691243368964115,0.5616499815060074,0.4876285697286705,0.3666013919733197,0.5493200043342752,0.3202079926642927,0.680597153800095,0.6815732100001579,0.634114965824327,0.43620467216908704,0.307937829057819,0.2876006090425757
Thal_MDl_R,0.42531746084046523,0.2201140499787548,0.6557149013666854,0.40750412022268084,0.1611868931921617,1.0,0.36530729044354265,0.8090791201254963,0.5456657378849747,0.1953245335204558,0.32670694357324165,0.4240860741135018,0.37752383324105593,-0.137138863852582,-0.20648483138185877,0.2487769752228529,0.40597844982095377,0.340425095526838,0.4063678177408771,0.46282491949008553,0.8762119600988193,0.5235616381227983,0.5122177183447865,0.5978670246388722,-0.10417575792483195,0.24876519923158683,0.60877933385227,0.6497311090059215,0.23478747513505424,0.12482542920725362,0.40442995586220143,0.2569522892125333,0.10708249286443698,0.15210786555321104,0.22792234866189134,-0.10233354499182813,0.05560850918695776,0.26583355150565013,0.43609617830909075,0.7223321231719592,0.5513162708461795,0.034342797702184645,0.3561905772985264,-0.004524423649124038,0.44091139165050613,0.0014107399782503284,0.5436086771421146,0.49256916224632324,0.034577434972065765,0.09251989205960949,0.4442992167216881,0.3473651229262461,0.7089023844341906,-0.007620063034051134,0.3286469324519009,0.647261829229473,0.12976155618360086,0.28292151986746344,0.38716851543268194,0.5102468693043782
Cerebellum_9_R,0.4912594238339017,0.4127162371207312,0.17494678520254264,0.008908193069705521,0.43986841184068937,0.36530729044354265,1.0,0.5046545137131896,0.7368509102454806,0.2008887686025555,0.2359475347508165,0.7768502298975241,0.2667201092148152,0.20586503605381898,-0.1717983775923307,0.23798356124738512,0.8038160494902935,0.7932533188022508,0.6512057894250471,0.745462720899485,0.5084560319962729,0.3252837538233893,0.16999601682981172,0.6222741488586844,0.5727822379942763,0.6546478012883915,0.4609359830758805,0.5502941723880826,0.5780210221257908,0.34719004617403193,0.6617528089075629,0.5133221908091652,0.317642117624079,0.49782361241783885,0.5219075844344362,0.026555609257424093,0.7179079191568332,0.43054441404891763,-0.18989463007186927,0.3354970376176966,0.5601131817662005,0.614469735672125,0.3224536353403898,0.07316366077948076,0.5122600096234717,0.6894436435826967,0.5354639043097906,0.8585381914372924,0.7549414615486825,-0.11448333876603198,0.6888109308639432,0.5187736113811595,0.4562683198159503,-0.11103426841574415,0.47928156951536716,0.5561099744959581,0.32357558390694857,0.5492652794306343,0.42146461455970285,0.46985277435689615
Thal_PuI_R,0.4509767922292126,0.33209482300553256,0.7365430636662545,0.39220588858978445,0.08985432157855003,0.8090791201254963,0.5046545137131896,1.0,0.6132002501377638,0.006951164291912381,0.07244810344015833,0.38601530412325635,0.36027636835223503,-0.15171949162984152,-0.4370263835435566,0.2379217695986119,0.37171941252378665,0.48422560006656457,0.377405424367287,0.6292232436679964,0.9373219636194727,0.4156333494522545,0.4959153611313475,0.5457028003385355,0.26246950574377553,0.23205022842049258,0.6234890263094378,0.6063104318361265,0.29055854773697976,0.07545092719853036,0.3421684431927818,0.19649790006728093,-0.08304039410626063,0.24456770458462485,0.32987077710813667,-0.2375887605210972,0.2866988105476407,0.19919260330675137,0.3172213858233801,0.8216507713207722,0.5482312339364234,0.15373532146050137,0.16920896639871366,-0.2658591962935753,0.4008711278267419,0.28697360333162725,0.5583470287810497,0.5707734731880021,0.23534071931040157,-0.17481163823448406,0.4191538297245521,0.4097545685169745,0.5995529536296594,-0.21114495938251318,0.2737071089276481,0.5317893627295754,0.030917994112032547,0.37622038874262004,0.35539853713641156,0.5471092140977275
Insula_L,0.5220609292908862,0.4752963361109677,0.3890855074336261,0.18231357818391755,0.5194099297608289,0.5456657378849747,0.7368509102454806,0.6132002501377638,1.0,0.3041636674306705,0.39955258161118584,0.6515850427697787,0.4068847749991617,0.2870859231964136,-0.10358792824684943,0.15585227710457777,0.7103024788103236,0.7094949933049514,0.7555521239085595,0.8242437679472627,0.6302149222268376,0.49488684701822044,0.3152705741914958,0.7595526778177726,0.24248523116271617,0.7301186409511916,0.7168874481019276,0.7208633695326578,0.6759556033756167,0.4650878785222326,0.8130756036691628,0.6071347838758356,0.491341003076213,0.5379624706741762,0.6865810980950907,-0.012837207515739853,0.36416002867944425,0.3786955393532935,0.03971737916333886,0.5945176254240591,0.7360030501627666,0.5163383035052219,0.5300175371178237,0.22551731939860234,0.7074977459292905,0.37604184619079084,0.6874480182085486,0.7451367539504965,0.47032680692587536,0.01605884502701573,0.8578616684119951,0.6737992026405557,0.6707199642630793,0.005358355061852213,0.6513035247163277,0.7449639770399781,0.5329844228535973,0.6970962443437894,0.6822560472176331,0.40502162708286654
Thal_MGN_L,0.4648827967452524,0.42129009426025216,-0.1566327506612413,-0.0035579882245744847,0.6209122904662296,0.1953245335204558,0.2008887686025555,0.006951164291912381,0.3041636674306705,1.0,0.30067510084465493,0.18479290359140813,0.08702098724015105,0.43379267742461436,0.3172974195041423,0.10829559613542344,0.43891901087391727,0.18564809529050832,0.31707368193947255,0.33478885260493363,0.0009365323020427127,0.15017016580614434,-0.05936574614125406,0.45630239340062817,-0.39821123507946893,0.3963833414885202,0.42210011091223687,0.3427174994201171,0.3309209119195119,0.5666643159047807,0.48076658088252366,0.30050362971457845,0.6535720627566242,0.5518043742839907,0.186861640918119,0.38128999587806983,-0.1249795947818982,0.5583752380361776,-0.050488632102647854,0.0764306968675325,0.41664951708321335,0.2468451810765109,0.7852597277139183,0.4699159324709497,0.4944937114603354,-0.1355140869131125,0.4408436982120967,0.18919449547714942,-0.12119685993746489,0.4202265611787334,0.34187617137521165,0.14383268005963878,0.6811129388260928,0.08998245391935791,0.4012459572082703,0.6670355782946016,0.5008989769040856,0.304370833812157,0.24025745947485194,0.28845242591973397
