,Cerebellum_4_5_R,Temporal_Pole_Mid_L,Cingulate_Post_R,Thal_PuA_L,Occipital_Inf_R,Frontal_Inf_Orb_2_L,ParaHippocampal_L,Frontal_Med_Orb_L,Thal_PuL_L,Postcentral_R,Vermis_9,Thal_PuI_L,OFCpost_R,Cerebellum_9_R,Cerebellum_7b_L,Temporal_Sup_L,Frontal_Sup_2_L,Cerebellum_9_L,Frontal_Sup_Medial_L,Fusiform_L,Thal_LGN_R,SupraMarginal_L,Precuneus_L,Fusiform_R,N_Acc_R,ACC_sub_L,Vermis_7,Calcarine_R,VTA_L,Temporal_Mid_R,Frontal_Inf_Tri_L,Frontal_Inf_Oper_R,Thal_MDm_R,OFClat_R,ACC_sup_R,Thal_AV_L,SN_pr_L,Olfactory_R,Precentral_L,Occipital_Mid_R,Thal_AV_R,Amygdala_R,Cerebellum_8_L,Thal_MGN_L,Precentral_R
Cerebellum_4_5_R,1.0,0.31656221909634014,0.7386666831888699,0.4081603944986015,0.1644045121453653,0.47274811367539604,0.5838409170592045,0.13090180847542449,0.22954148693093326,0.49855935468863094,0.7980262778068766,0.4430116751906346,0.5835885793276345,0.7089628293506473,0.26116400923606914,0.7149582862441003,0.2812985899782686,0.8249881463149381,0.3555957217454789,0.5939789657874184,0.48099788036633373,0.17829177508474536,0.5905799236289807,0.8207427987862952,0.5589091541575923,0.271349535424719,0.2646491664049897,0.7770737183940312,0.13675302373382495,0.6266674863393883,0.5191679334508031,0.6750343507715749,0.33695946010284217,0.5131653514403246,0.5455160205829921,0.5318401324100117,0.6556202976421056,0.2699925156953092,0.3368138421663624,-0.03058797297570835,0.03143375318630531,0.31562619032502637,0.4491178197340941,0.2598104154759175,0.46522519083903746
Temporal_Pole_Mid_L,0.31656221909634014,1.0,0.28941580568378356,0.35262139279432003,-0.6378205825202147,0.5432144864742385,0.43541052185532875,0.6853009550910261,0.10665708030589062,0.3396378520299155,0.04249336159977255,0.19899486680432912,0.3382145928267131,-0.11448333876603198,-0.4209792584893367,0.26199870371968864,-0.44567372853305764,0.09374008690939736,-0.3915893173409266,0.10566966082948752,0.4190117053451091,0.17940237160653458,0.3626835112277617,0.24858146157643887,0.6075657515253299,0.809630307118026,-0.5477844672625177,0.026077556180015848,-0.2660918256317932,0.16877382753524828,-0.14591320195865384,0.21021444408650833,0.12215871012206321,0.5309807603451857,0.5352399283615356,0.3378982847251226,0.39075934956704245,0.4335375061251843,-0.2916516378039322,0.08176274068479854,-0.04522650660576363,0.12327655375881963,-0.3321671772347577,0.4202265611787334,0.0360320211791097
Cingulate_Post_R,0.7386666831888699,0.28941580568378356,1.0,0.3779057025575094,0.05096259605829124,0.36697380942740687,0.6004396333765979,0.14519377963228233,0.31200647807316634,0.5221559284804196,0.5381449847503376,0.46672732007950374,0.5100156620867982,0.5374698140578213,0.16829105199308922,0.720687293352678,0.1424560232187878,0.5887325570700371,0.15231110700691666,0.5082674178985153,0.384271609467507,0.3602996348898414,0.8175755901468843,0.6869693138595343,0.45126561696342643,0.1368633887185588,0.0976444895629008,0.7539806082525015,0.20533493106217762,0.6279540936977098,0.4094599334809634,0.6491560044205116,0.42923361043722685,0.44420620254502224,0.5155377994632963,0.32994448505260665,0.6987432517160593,0.21517719150388942,0.33219515554267764,0.1787904244916748,0.15289705636240125,0.41039993404128444,0.2623760495179413,0.3542095308334136,0.48609735071432153
Thal_PuA_L,0.4081603944986015,0.35262139279432003,0.3779057025575094,1.0,-0.020427547794600216,0.49470998698066665,0.7314212373223574,0.11798499224355792,0.3344977767793754,0.6764580519425869,0.2559315032975318,0.8363510543921613,0.2898296485777334,0.3877805077799075,0.11425226670718834,0.6666570083781966,0.11975201225628582,0.36648799820356565,0.09504460211227493,0.6834093038032453,0.5710311995878399,0.4941991604508238,0.4183804646988964,0.43385694177244044,0.48938567830587343,0.12751614333757658,-0.09934044343713605,0.3310772263074959,0.42876954028608905,0.6399494852135593,0.30811425976850043,0.6811290739420451,0.8065553668402162,0.3330740758239302,0.5990951031586894,0.6723588708256422,0.5041419520384193,0.2683509358573339,0.3624235391162184,0.2932953795096338,0.3494948793009919,0.4591721636921898,0.08101879527268083,0.20052187478711128,0.5721752161457304
Occipital_Inf_R,0.1644045121453653,-0.6378205825202147,0.05096259605829124,-0.020427547794600216,1.0,-0.15690924100874418,-0.03771404129998127,-0.6374005253022256,0.08409417680696238,-0.087034317383087,0.3072309570363272,0.06831837126566591,0.03072808913466017,0.5978644998434318,0.7368652918614287,0.1739273888449156,0.5670983396958339,0.4060904103268578,0.5878790974053667,0.45973020184737134,0.07337662993908627,-0.18571893007963194,-0.07302943897659071,0.3444467787507496,-0.15927516753434492,-0.6468085303939575,0.7729143380582381,0.43583118988051317,0.3817423861952965,0.38204647627978383,0.38677667481219075,0.21739579613503382,0.12348075612263307,-0.21825622637834527,-0.1806938950465655,0.07286769211883334,0.05613002068041454,-0.15490585607761215,0.4187133286557508,0.04796469962372701,0.17019685250508693,0.26165272553109065,0.6480253225579342,-0.27040063534282055,0.30221914445055315
Frontal_Inf_Orb_2_L,0.47274811367539604,0.5432144864742385,0.36697380942740687,0.49470998698066665,-0.15690924100874418,1.0,0.7104797949707448,0.32927794103816593,0.12881392047614362,0.44828489145637046,0.3064192103479054,0.5124421781396075,0.5148569073626141,0.3193398571828047,-0.03221724180735766,0.6094497728674128,0.18522702270957733,0.40856368205520804,0.2584079137928732,0.5634711911164754,0.7181150348286293,0.13968613723770845,0.24320023811298427,0.5034322532225283,0.7427600732895762,0.5459651884957231,-0.18308879239309794,0.21011648267070293,0.1204102394302555,0.4859141837454783,0.4387808124163064,0.6253143396433323,0.32290538091571386,0.6655987033166574,0.5812170011668347,0.6695852817882914,0.5555998000922835,0.5700614959090358,0.2452670229106871,-0.14521173503202855,0.15984107512614626,0.46025460335564006,0.15215850135546197,0.5525262676386808,0.3243004517724322
ParaHippocampal_L,0.5838409170592045,0.43541052185532875,0.6004396333765979,0.7314212373223574,-0.03771404129998127,0.7104797949707448,1.0,0.173578781714812,0.495716046278351,0.5575863669586548,0.3706985562320887,0.8066089739261462,0.5094538630270697,0.5561099744959581,0.08248774097595896,0.8263419969708561,0.23539327761600742,0.5338003849660959,0.26810395139249055,0.7575786261389854,0.703643900346186,0.2942147042075245,0.49558286993714357,0.7073529716607577,0.6587143114962606,0.2250388342651182,-0.14342198773172563,0.4737773935949572,0.38875905014859674,0.7081403787482711,0.5083564747951194,0.7797659793687594,0.7219995959424317,0.6031088894842965,0.6062723171327598,0.6739568359895207,0.7513669057680116,0.39332000297492953,0.3606790949330816,0.09419650354110874,0.2740102687507305,0.5189200556871502,0.15881003685760983,0.6670355782946016,0.4802210208772306
Frontal_Med_Orb_L,0.13090180847542449,0.6853009550910261,0.14519377963228233,0.11798499224355792,-0.6374005253022256,0.32927794103816593,0.173578781714812,1.0,-0.09790177012989182,0.21545103357624018,0.015671574900043773,-0.06796552866224462,0.04598359764398985,-0.22892023484607713,-0.3774447294979509,0.05352001536591754,-0.36898999643577196,-0.01878819877589929,-0.3472501555627869,-0.1123467528891152,0.28683363321369654,0.14783345247227417,0.19205114680863083,-0.003333246833628583,0.36057062413293284,0.677562305505418,-0.49849730362842076,-0.07569918547473796,-0.29885304499339127,-0.004974878809862655,-0.21810980860259138,0.004107727355326099,-0.08629293253080064,0.39867325975785917,0.2849412312842778,0.25111255672262367,0.13130906386928348,0.22017122333449887,-0.2805257455601439,-0.01676716835428372,0.0018864052625772426,0.06978585653002854,-0.2955246151777339,0.29226220386017887,-0.028961977906359855
Thal_PuL_L,0.22954148693093326,0.10665708030589062,0.31200647807316634,0.3344977767793754,0.08409417680696238,0.12881392047614362,0.495716046278351,-0.09790177012989182,1.0,0.18003158242092748,0.08277599901380081,0.4704390437241824,0.1286383720828515,0.296713338832348,0.11462580533805722,0.38990300763839303,0.15950993370525718,0.18502245321514646,0.1744847100427704,0.3833996711255356,0.12528426379618185,0.058083757762730504,0.27426186347543074,0.3573516296324299,0.1335867950755337,-0.14478129558377872,-0.04453579394705665,0.2847107292085662,0.3944287522705753,0.35532436773520215,0.2582041701981713,0.3415950885940188,0.44473842757472115,0.17501548953138418,0.1370165728461038,0.12404055366849924,0.38220954382740596,-0.06623540824073028,0.14783281603702217,0.10914499185980486,0.06424237760331514,0.0862129255506844,0.04920167496166313,0.35324850696364596,0.1912070642154715
Postcentral_R,0.49855935468863094,0.3396378520299155,0.5221559284804196,0.6764580519425869,-0.087034317383087,0.44828489145637046,0.5575863669586548,0.21545103357624018,0.18003158242092748,1.0,0.40566411535282515,0.4906421595549833,0.30393768380124037,0.33437662766792564,0.03506538634969948,0.6598725915933038,0.17940236848209257,0.4307828337853151,0.11254599806022667,0.512809728389696,0.40768521897823423,0.7020541814968261,0.668180533605809,0.320754697846961,0.4035819992297528,0.2661059808032206,-0.04076495703374325,0.4508052978443149,0.32954443259379784,0.6132221683555569,0.35903208887982674,0.5872815312583771,0.6122274853445746,0.5281132190504637,0.49741000135401725,0.49083431114023646,0.5045410158276905,0.22083961229760343,0.5433945555977802,0.44481292821413837,0.4644598866102536,0.533444006233376,0.170241588349424,0.15505842876132694,0.8256735361494371
