,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
Vermis_8,0.2772537889496527,0.038201872049949494,0.3260831031284588,0.33982488397145727,0.04538997324164208,0.174774421566164,0.308074315750224,0.3749098130868433,0.5513145764589185,0.14074226142044455,1.0,0.3082817261305734,-0.12234657271996201,-0.15402143949717984,0.9274702576655549,0.1837163538815281,0.4486801471472538,0.273305566685698,0.1998838927810966,0.3073948504693913,0.13412577042637,0.17334819575090624,0.4150363737596199,0.36229427843316675,0.6969311154656447,0.13323248509513796,0.6996723184336788,-0.0006227351015882041,0.4229386997917157,0.3572005456656168
Thal_AV_L,0.48092103774656475,0.28848500403715993,0.30300487913802476,0.6147343491221865,0.2985889796596484,0.2593297922367116,0.20920297619146777,0.07286769211883334,0.5396553263593092,0.48307625193414216,0.3082817261305734,1.0,0.346782975777343,-0.012165781352505291,0.4617811257320783,0.4691459804279945,0.6768277426936179,0.4563082299518514,0.5596839876767886,0.33707481154091323,0.2924837585459808,0.5852031265874731,0.5397629688896692,0.36312310305111734,0.05585088981895584,0.6826213143349783,0.44323975763789447,0.006316002162389337,0.24019562575856648,0.3587106613676774
Thal_MGN_L,0.5059139124249645,0.1953245335204558,0.30050362971457845,0.3782336176023781,0.43379267742461436,0.21629988463913952,0.08702098724015105,-0.27040063534282055,0.2785993383917909,0.42210011091223687,-0.12234657271996201,0.346782975777343,1.0,-0.050488632102647854,0.05071405374936627,0.3652613691747727,0.43974465062676277,0.16348806053832585,0.07513061587743422,0.186861640918119,0.21774050313682694,0.5008989769040856,0.3041636674306705,0.24025745947485194,-0.39821123507946893,0.6437993231481585,0.326400117669961,-0.14134082952637286,0.14904018451686207,0.15017016580614434
Paracentral_Lobule_R,0.13987290327682808,0.43609617830909075,0.10368243958627124,0.19822219095445945,-0.35064037252060437,0.2306657089588573,0.5149906703236024,-0.41738763639523596,-0.12067053016317116,0.402868390567945,-0.15402143949717984,-0.012165781352505291,-0.050488632102647854,1.0,-0.07484943164699527,-0.023150776818660814,0.11395134848395118,0.5058125101485343,0.4149235990156348,-0.07997329637884545,0.262616852436577,0.03765072225420022,0.03971737916333886,0.22041182932341896,-0.2865830208562535,0.25518132453250186,0.11278136629087462,0.2921667998247115,0.5101185955796461,0.6819182342326124
Vermis_9,0.41758423820385787,0.149768506506029,0.36103792412202323,0.4484549578981533,0.16493304579845372,0.2924293474061008,0.3951247637839909,0.3072309570363272,0.5602213580756398,0.27123582303173016,0.9274702576655549,0.4617811257320783,0.05071405374936627,-0.07484943164699527,1.0,0.31676072660451565,0.5771862903956518,0.357487911852624,0.2898355703476179,0.36246471596352803,0.25699006351828524,0.28434889713493483,0.5080430409290493,0.43370528492240973,0.5933970023885162,0.33736299672922115,0.7642465131524618,0.046140134879802445,0.49782452580885167,0.43568499273241257
Amygdala_R,0.48214196223214745,0.09188033582428812,0.3184954547707577,0.4892976149623147,0.4739035415078201,0.589043508893779,0.3218515143350625,0.26165272553109065,0.4087211150640012,0.5320937367102122,0.1837163538815281,0.4691459804279945,0.3652613691747727,-0.023150776818660814,0.31676072660451565,1.0,0.5297617197916175,0.2701220041244924,0.21997420031534,0.5234455521375524,0.38528887513913707,0.47360878850927474,0.6137652194096708,0.47780748747810203,0.15195577558192955,0.6429432650369229,0.44646806040303677,0.05419646916955941,0.3704046232935111,0.3503793639447311
Temporal_Sup_L,0.7823336580951743,0.5505877785235778,0.5698330906165874,0.8724062119915265,0.2996486994970349,0.6084393727318589,0.5006673396229117,0.1739273888449156,0.7587110647123304,0.6922671018000063,0.4486801471472538,0.6768277426936179,0.43974465062676277,0.11395134848395118,0.5771862903956518,0.5297617197916175,1.0,0.6095192092561079,0.6443135818759315,0.5826748153346231,0.4352557606112647,0.5392193030774569,0.8528395042581843,0.7520090810411815,0.1382992596568189,0.777962968228779,0.7092185324106656,-0.062466357641740265,0.6119018881812663,0.6436812830338252
ACC_sup_L,0.5433034805408448,0.4837864096751892,0.5115547194275439,0.6793548117714389,-0.27219247937895974,0.4127645022855442,0.6578792094608625,-0.2792797106202397,0.45480801224331535,0.6287397771749565,0.273305566685698,0.4563082299518514,0.16348806053832585,0.5058125101485343,0.357487911852624,0.2701220041244924,0.6095192092561079,1.0,0.6036772775798935,0.016146650058599506,0.4733617615357935,0.45373646035195225,0.49707209533195224,0.42412349891880835,-0.11701556836336144,0.5481439689824357,0.42989491907758254,0.1683145413997905,0.6527075820856107,0.7125944140956283
Thal_MDm_L,0.471547712162312,0.834657658382854,0.27997442837191183,0.7379473504371542,-0.14421826329130835,0.46206071242822944,0.4608398396615552,0.10284690352193192,0.5425794572935548,0.6910980160235104,0.1998838927810966,0.5596839876767886,0.07513061587743422,0.4149235990156348,0.2898355703476179,0.21997420031534,0.6443135818759315,0.6036772775798935,1.0,0.28854701158491114,0.3707548829917218,0.2890068376922745,0.6380689015993466,0.4270113755009191,0.048727227950387454,0.6856207705186823,0.40637951189575106,-0.039766358670740375,0.4399350044758034,0.6149856454878954
Precentral_L,0.40873034172573514,0.22792234866189134,0.23080242116205452,0.425620609065695,0.6021082546443391,0.5068370864751832,0.09609614529255892,0.4187133286557508,0.3913996681667402,0.3607562763092494,0.3073948504693913,0.33707481154091323,0.186861640918119,-0.07997329637884545,0.36246471596352803,0.5234455521375524,0.5826748153346231,0.016146650058599506,0.28854701158491114,1.0,0.24724429681637358,0.17271115445009486,0.6865810980950907,0.7750042148932578,0.2712936879954367,0.4163114472124275,0.36474486224475294,-0.11526824229332946,0.22973366278693608,0.2959983121978496
