,LC_L,Olfactory_R,Thal_IL_L,Cingulate_Mid_R,Thal_LGN_L,Vermis_3,Thal_IL_R,Cerebellum_6_R,Cerebellum_4_5_L,Lingual_L,Precuneus_R,Cingulate_Post_L,Fusiform_R,Thal_PuM_R,Occipital_Mid_L,Vermis_7,Occipital_Mid_R,Thal_PuA_R,Heschl_R,Thal_MDl_L,Thal_PuI_R,Thal_PuM_L,Frontal_Sup_Medial_R,ACC_sub_R,Thal_PuL_R,Cerebellum_6_L,Thal_LGN_R,Frontal_Mid_2_L,Rolandic_Oper_L,Cerebellum_7b_R,Fusiform_L,Thal_PuA_L,Frontal_Inf_Orb_2_R,VTA_L,Insula_L,SN_pr_L,SN_pc_R,Thal_AV_L,Thal_MGN_R,Temporal_Pole_Mid_L,OFCant_L,Precentral_R,Angular_R,Thal_MDl_R,ACC_sup_L,Frontal_Inf_Oper_L,Thal_VL_R,Cerebellum_10_L,Red_N_R,Cerebellum_3_R,Calcarine_R,Frontal_Inf_Oper_R,Olfactory_L,Thal_MDm_L,Insula_R,Thal_VL_L,Temporal_Sup_L,Occipital_Sup_R,Thal_PuI_L,Temporal_Inf_L,Caudate_R,SN_pr_R,SupraMarginal_R,ParaHippocampal_L,OFCmed_L,Thal_LP_R,Rolandic_Oper_R,VTA_R,Cerebellum_9_L,Angular_L,Frontal_Sup_Medial_L,Raphe_D,Thal_VA_R,Thal_VPL_L,Cerebellum_3_L
LC_L,1.0,0.21161320211694754,0.19310041312594753,0.5260691505704811,0.4409286869849569,0.5720860926894686,0.3206660534887752,0.19769200034525142,0.6073440978856212,0.34963370429578183,0.445380135035189,0.36683616289535953,0.33735184147056624,0.44263461486500066,-0.0336428303003952,-0.1296255100726923,0.3118688437712933,0.310796450766919,0.3973955666771656,0.4162865459906193,0.2782591075543658,0.40630027332505114,0.0018030720641303071,0.23141312939770659,0.4564383609902342,0.1253745223451284,0.32772547899807786,0.04003337166523093,0.45193820062957835,-0.11914588576138548,0.44711676264154027,0.45408666859634006,0.4831250932867368,0.262121038537567,0.5049054760300737,0.48058968081241155,0.33199938629291015,0.2924837585459808,0.11837891145970504,0.30099823332256875,0.14301554154109836,0.4095481006380377,0.35109367944590236,0.34959039801994024,0.4733617615357935,0.3267381399097794,0.3883602531282285,0.3661307781034726,0.42968290308468365,0.4791362050969559,0.24058349909073842,0.4179124180286174,0.4055723121863282,0.3707548829917218,0.461537709990015,0.4351384825994163,0.4352557606112647,0.3549401801902046,0.3646100705792953,0.3965897971234528,0.4324213937706577,0.5237103834280337,0.4672319640736392,0.5372578235085835,0.5330950165280234,0.23846880697400813,0.38826740857070446,0.035849149427629526,0.30318000435392717,0.3619796117418446,0.03104156297165223,-0.12599313495413428,0.35119619492792,0.42754482602818494,0.6852465964431095
Olfactory_R,0.21161320211694754,1.0,0.37496881003441407,0.2749065762673971,0.18311163145299356,0.3651556725036404,0.3822336227063143,-0.003350686312273308,0.3453577887700095,0.07884722159033858,0.1624616332770307,0.19183170380770406,0.28511206492419405,0.15006532815725465,-0.14316865775845378,-0.18128467426429318,0.0007319256988015655,0.0208429627323193,0.29211075038249423,0.10123939569982383,-0.0051994556059359286,-0.03211255569878617,-0.10263704710106968,0.6398114788010123,0.20356979288338028,-0.013421230991093833,0.4958648419506213,0.013361873836144135,0.33782935225291144,-0.10667637935144099,0.3133993079121044,0.2683509358573339,0.5449248070340268,-0.19974391083891896,0.37824973418517754,0.3474793418559889,-0.14772182916098672,0.25987608020869246,0.3061378011227308,0.4335375061251843,0.25513648031085,0.08913592798317775,0.11609554273583747,0.021788706624213706,0.4536602676069332,0.21354732184478445,0.3838668652116172,0.21894113846025726,0.2846773883861405,0.14208086161034564,-0.0050290054857700635,0.33589797362542245,0.27489743456068993,0.1481297040586716,0.6050423965056295,0.3418733135156047,0.2928472776859636,0.07663207746993772,0.22827388847973418,0.31874360652981054,0.42164790605822156,0.3728539826380584,0.20005593865773966,0.39332000297492953,0.21451722609432383,0.18034723447100448,0.3810090489276894,0.11304134249103828,0.17378139531003076,0.10275716318275263,-0.03720170127885707,-0.10206395258328811,0.3504998846804714,0.2521230605887459,0.38175014317073774
Thal_IL_L,0.19310041312594753,0.37496881003441407,1.0,0.40896178765249847,0.24059430395621456,0.41710376108313435,0.704379222910469,0.15808183941757067,0.6842635089764986,0.42180912256883407,0.17342598519548916,0.2868748886816589,0.6624751513178524,0.2674433324199052,-0.0243010977238222,0.003838707450825695,-0.16793595695255958,0.4474800989055155,0.19477786422170854,0.41822149720167767,0.4509767922292126,0.021953161914268018,0.22323587112277116,0.1936775975015528,0.18259901383944188,0.3381139685854036,0.6947341261434193,0.27502286465441844,0.6083057782237615,0.2364876201824137,0.6112937549864162,0.5857394180511271,0.5284300230618311,0.24888829193831746,0.5220609292908862,0.5146223135844522,0.3972306337039753,0.6461447302188604,0.8449202997471228,0.31474047651908976,0.209759159979191,0.18249292359330566,0.0764737483722267,0.42531746084046523,0.4668961421918516,0.5169434029346432,0.8201596728339613,0.3817594831021361,0.7229587250825019,0.32992504962245095,0.2456630942569914,0.5961076547293859,0.31754279642318733,0.6292448818310412,0.6278546324901559,0.7880459024422483,0.5976538060049462,-0.13056730032703465,0.6830367356568355,0.5949547668753833,0.7387007225646853,0.6310108540224098,0.2685742207734076,0.7238314039691273,0.1672743412390962,-0.14066214395866555,0.5597147882321929,0.21355816084462814,0.38612840741465615,-0.06271763475791511,0.2998071807820421,0.07803188570495956,0.8111059627060613,0.5944461995960385,0.306030209503342
Cingulate_Mid_R,0.5260691505704811,0.2749065762673971,0.40896178765249847,1.0,0.6269764346588992,0.7656319625739245,0.604574687208395,0.4306153610038711,0.7957868997260954,0.7129940879556943,0.830909938104061,0.7436236441097624,0.6872024697429943,0.5614076172686571,-0.007621983742774661,0.06596088827272592,0.26432621728950545,0.4518687142816205,0.616770273308197,0.5832096405538586,0.3902270964954254,0.389974089279452,0.2562601938746186,0.1645247354278482,0.5852430895140222,0.41006547739387217,0.5862448215008665,0.3459062337666833,0.8416597185830245,0.1964178893431389,0.7082157326464041,0.6034554482450915,0.5000361194000479,0.3185898292137951,0.7752553000295549,0.7732291275684445,0.42103767004624865,0.5629171718925325,0.3845503449899405,0.3442381045635736,0.30582800455306464,0.7663294837942982,0.5512767117752742,0.4333486971539046,0.6158326090286546,0.6852293574007916,0.6442779217717007,0.5630780513846376,0.5716208087012662,0.7236429233887844,0.7343389040382691,0.7874947916282055,0.4099504957249084,0.5297780657448492,0.5747613161732058,0.7068827199591675,0.8600534503634847,0.3278001387024297,0.5752312912603696,0.7609078267851452,0.6990609381353649,0.6485809993841566,0.718261541657203,0.739975318439267,0.3495228390179263,0.26585533306586323,0.7824168357422744,-0.01733243907343966,0.6510006249551838,0.450934724167819,0.2939335133608615,-0.004716550931306726,0.6058467186985185,0.6527379332931064,0.7178159597784757
Thal_LGN_L,0.4409286869849569,0.18311163145299356,0.24059430395621456,0.6269764346588992,1.0,0.45594150701027303,0.6098356448357928,0.1524102722020515,0.5348292815032976,0.39806916445910834,0.4486173071136836,0.30206864726042953,0.36212525722717864,0.4498610253098601,-0.039442787310801725,-0.08906650721947436,0.15673620300098604,0.24478925498670948,0.4868750297942055,0.37376880342244556,0.24527070730622316,0.265567724407125,0.3141817240334336,0.22157898223772104,0.5560356592857697,0.2617035430099143,0.6291084837078976,0.37292355671966987,0.5114014285603992,0.01975422781024813,0.5929853409905418,0.4957297271740168,0.4214649092036156,0.340134984483714,0.5243877901446192,0.5309636555419648,0.32791516595099074,0.5018294011389901,0.25222779422639013,0.19165603046702123,0.23770256373084753,0.580342149530227,0.2971694095207649,0.22217002157416582,0.22652438638316263,0.4748517285171018,0.5012177583888479,0.32270594190627583,0.5622263496630298,0.3986720665219359,0.39968910077153647,0.527317520584478,0.38473711220497075,0.2258794046971378,0.3200333394378316,0.5598089586647136,0.561692392946645,0.1438907186271012,0.4918066988027959,0.5429041876218499,0.5465927421596203,0.49157237445803564,0.339547548231684,0.6261017813637064,0.22793425712128065,0.4265722574779813,0.45245346836616995,0.0512333801974823,0.4114712142813075,0.30202870449287916,0.2937671366135279,0.06241247740302678,0.39678017132865223,0.6691462525354075,0.5465744322578041
Vermis_3,0.5720860926894686,0.3651556725036404,0.41710376108313435,0.7656319625739245,0.45594150701027303,1.0,0.5128107102148506,0.27525577962002884,0.7928003711704968,0.49593832425838114,0.5767978680277945,0.6020525836145243,0.6039102431032535,0.40634731103125854,-0.12150632477056574,-0.043401413157161145,0.023625778896657113,0.33577806246655995,0.5167171737572879,0.44552250504675545,0.2608987360192848,0.23610706457624023,0.2356377042588385,0.31231253576162765,0.3781443662078697,0.27621516717016475,0.5123811354063548,0.2662916607026908,0.7340318265528024,0.0157878957764245,0.642630023464541,0.5679622431169974,0.5553786605666339,0.13686391347281615,0.6329440990102864,0.6518512830874247,0.2632373951677418,0.4821366398033834,0.37606161294230905,0.4450106293300152,0.3156854412426985,0.5134126832034909,0.3002230736622622,0.34424927347102663,0.6226119373800051,0.6052854939363789,0.6012952661775198,0.44382985771686007,0.4906958001061499,0.6917264319702429,0.507035480121228,0.6833970698865807,0.2453778305114877,0.4647563906556376,0.5726075997881362,0.584004169263857,0.682806805976761,0.15757143771678206,0.5615243198322571,0.6732051158660719,0.6280797551494167,0.5562339354993665,0.5333790072143497,0.6470896722744266,0.424178245132913,0.11755990713325326,0.6805631854293779,0.007883453928336,0.4876282954653487,0.17952215521606743,0.288281252553396,-0.20691151039817082,0.5322818619700419,0.5277279844821653,0.7774662938469454
Thal_IL_R,0.3206660534887752,0.3822336227063143,0.704379222910469,0.604574687208395,0.6098356448357928,0.5128107102148506,1.0,0.20658526679463943,0.7661038371623267,0.48901071681360214,0.3418243062861912,0.3658373338365514,0.5987773209535561,0.46715373004639593,-0.031627388517546914,-0.026888888873048175,0.08059013049421819,0.5134884440864697,0.4002695588275773,0.6286973820419878,0.4676001175906542,0.2901744741849966,0.2372469485500286,0.2830886953471265,0.517817232313336,0.32991198622232254,0.9080677038229725,0.23950860590031547,0.7133373249485486,0.1936839509909606,0.7496753248102771,0.7244536007888267,0.5579412939594269,0.3597521644498765,0.5787496323268433,0.5509704804302729,0.5397610713793252,0.8271144802765432,0.694539273267378,0.354756380475429,0.20926512882308665,0.48929065862238924,0.25672605741957455,0.40660477440325316,0.48965317126271596,0.5510501548508391,0.8654360954623549,0.4148467712452604,0.8146263099074238,0.4280661393279085,0.4080051715249241,0.6911545398946419,0.36136227922669384,0.608069492594572,0.5336428537870874,0.8063795087428071,0.6499709543746635,0.09430289943287097,0.6687405819111808,0.6381479451440683,0.8790908354419656,0.6238874436075162,0.3608153985875196,0.7839795003182032,0.1943823701671442,0.217157054605061,0.5244662688898362,0.34640862569558545,0.4796781384517,0.19788777724242118,0.270186093100078,0.06765920179714582,0.7126665661301896,0.6264830776046937,0.5202009817794961
Cerebellum_6_R,0.19769200034525142,-0.003350686312273308,0.15808183941757067,0.4306153610038711,0.1524102722020515,0.27525577962002884,0.20658526679463943,1.0,0.3613411272785317,0.7511561219547789,0.38221938258244886,0.3908625563607882,0.5372774503267832,0.21335213011295678,0.46551465833508926,0.8074200493287288,0.14801300361811173,0.2992256368951326,0.25466423398665866,0.25765041102596137,0.33973444924155055,0.1860023565597238,0.3470946729047138,-0.042326993969467874,0.23589536367406683,0.8096369819126606,0.21587217960721852,0.41799821377843427,0.44068510872726385,0.701022368198181,0.5072298724755124,0.15159473159243717,0.11551922093831656,0.42129142284817206,0.5195299513183754,0.26708918863972014,0.24585098109575906,0.3045969265700117,0.0865439734751136,-0.2659857670741741,-0.183704881066906,0.3685503058909673,0.23966393865174704,0.12551423670107054,0.18774671028851897,0.4064849095242953,0.21606164095911998,0.6355781192948372,0.11958674452220606,0.637801367090991,0.7387711572512276,0.39584514900370954,0.16177277576856688,0.27580454299929813,0.30126520044762894,0.22288339546952032,0.47087398367141803,0.05888524299706604,0.1988375770493019,0.5019897792853213,0.2703468391843719,0.2220694992510696,0.30049086835464467,0.2338122433470148,-0.03836281620430619,0.250657669038162,0.3899193629585862,0.19647759269160214,0.7827759528101619,0.11037328530889194,0.43560979781833403,0.06585445835379657,0.17540325948047464,0.09995315215808491,0.29291589019548997
Cerebellum_4_5_L,0.6073440978856212,0.3453577887700095,0.6842635089764986,0.7957868997260954,0.5348292815032976,0.7928003711704968,0.7661038371623267,0.3613411272785317,1.0,0.7154353014289306,0.5835383138070864,0.602560185015835,0.805967807681148,0.6174698898725874,-0.029913020715199946,0.013161922533848942,0.14081399539464814,0.6067757382995626,0.5845553679403284,0.6675467125686781,0.5457028003385355,0.4199329124656705,0.24056214984491023,0.22592952958669044,0.5186706688645808,0.44007595606229283,0.6990105107046022,0.24484012879648617,0.8457712422379615,0.18490701587321992,0.8095847520872965,0.7502047246196759,0.5915769494530533,0.3894888255839178,0.7595526778177726,0.7541424185894099,0.5315953967026227,0.6638036209731412,0.6044348519475341,0.4110871696996183,0.2402623538140317,0.5648652332033552,0.37633129146775374,0.5978670246388722,0.6600706944907561,0.6548205946526836,0.8215006001670273,0.574975336133077,0.7413920243582439,0.7021056258216178,0.6000917012785603,0.8263658427795858,0.37161238001020397,0.7226698921691034,0.7135584567014731,0.8641361089362767,0.795085411735769,0.2066582060665245,0.7574594060205037,0.759140431557957,0.8267119847675816,0.7608286941662686,0.5857604543699034,0.8653148657796419,0.3987385073496052,0.12352404018907208,0.7457649726112907,0.15102026974575591,0.6076408197919123,0.2709998434052834,0.2821168418889627,-0.05323713473381289,0.7672518653245021,0.7272015873687678,0.7726890903255653
Lingual_L,0.34963370429578183,0.07884722159033858,0.42180912256883407,0.7129940879556943,0.39806916445910834,0.49593832425838114,0.48901071681360214,0.7511561219547789,0.7154353014289306,1.0,0.5788404441300332,0.5453049694819472,0.7879362061162465,0.5320415170524567,0.30596815536361,0.48681449051964965,0.22538101234893865,0.5807322178140915,0.5270647633710492,0.5300804530530154,0.5707734731880021,0.4001984080979603,0.3849207385112476,-0.04333822441491195,0.4484516212012152,0.800849250070053,0.42774149627158087,0.4245950856360261,0.7527505579239081,0.6095015700179948,0.7618208448655447,0.464510532065665,0.2862661052990628,0.5116230314236787,0.7451367539504965,0.6231681255900696,0.48232368546787724,0.4810258029404627,0.3477462456672327,-0.01740516338750745,0.035474402738091375,0.5898239719757638,0.42525055609179135,0.49256916224632324,0.39435031851508856,0.6269393807965141,0.5136013248475478,0.6637898297880366,0.4564070587102823,0.6964281050410043,0.8812376192608132,0.73413647629413,0.2709406280270714,0.561243188980891,0.5118283870781807,0.6261029137729667,0.7524831535587151,0.15932776653616149,0.5295340613021667,0.685944035772064,0.5556623577918253,0.5694318993082006,0.5340415801107874,0.6136310667962048,0.17428429538339474,0.24864109952373475,0.662752952621568,0.11185264689430037,0.798688309450665,0.2736804260018918,0.4289261624836154,0.09878308779429641,0.49040777716859624,0.5382135738602277,0.5082117447548546
