,Temporal_Pole_Sup_L,Thal_LP_L,Frontal_Med_Orb_L,Cerebellum_6_R,Frontal_Mid_2_R,Parietal_Sup_L,Cerebellum_Crus2_L,Temporal_Mid_R,Rectus_R,Cerebellum_Crus1_R,Thal_MDl_R,Thal_VPL_L,Supp_Motor_Area_L,N_Acc_L,Cerebellum_10_R,Red_N_L,Supp_Motor_Area_R,SN_pc_L,Paracentral_Lobule_L,Insula_R,Thal_VA_R,OFCpost_R,Thal_PuM_L,Fusiform_R,Frontal_Inf_Oper_R,ACC_pre_R,Frontal_Inf_Orb_2_R,Thal_LGN_R,Cerebellum_3_L,Occipital_Inf_R,Cerebellum_4_5_L,Olfactory_R,Cerebellum_9_R,Thal_PuM_R,Fusiform_L,Thal_MDm_L,Occipital_Mid_L,LC_L,Temporal_Inf_L,Thal_IL_R
Temporal_Pole_Sup_L,1.0,0.021200154277829154,0.2693187352085288,0.2974937112213771,0.18088960616747568,-0.038422593199939764,-0.004970582387180858,0.5474515367686363,0.5448868919007828,0.13266220583729846,0.313725360753206,0.44455301140341325,0.0009889179086518003,0.5325843198387851,0.4951207821763974,0.5986017999568857,0.2314511858422113,0.40431979668492996,0.16017060086088666,0.6633709876004072,0.7206425295856584,0.6530522194510012,0.019447836964807792,0.6026434713326528,0.5294583859441664,0.03492072188245175,0.6007378136840065,0.5641438421887874,0.4157081231659891,-0.09204110652490911,0.6136554859682285,0.4631459069762707,0.4766908637835106,0.18052990497212756,0.5072197071034957,0.49534156844622,-0.058065077351657314,0.3241359398642905,0.6421361858340479,0.5013000169292808
Thal_LP_L,0.021200154277829154,1.0,-0.1287066662155468,0.10370663603034648,0.2727952358925354,-0.22227228559365655,0.15525837185899527,0.14803587944241894,-0.15709902496235253,-0.017190476072831726,0.2487769752228529,0.19552697135950306,0.14747112042263016,0.10625344338937665,0.18246660853664412,0.10784508045508535,0.23113538376361814,0.15295261959249362,-0.17946912883502725,0.06752765814964784,0.08932514904268066,0.04843424618873752,0.1569593016068351,0.16726083355172797,0.23967700890495916,0.16450834948547222,-0.004831179119562744,0.07141274496513422,0.045112543569255356,0.12944147835649614,0.1677617993777021,-0.24552069238909263,0.23798356124738512,0.1906990075182722,0.21865331988809764,0.19476204785677462,0.08188127496931459,-0.04732520888187811,0.18632579781576586,0.17962308517821554
Frontal_Med_Orb_L,0.2693187352085288,-0.1287066662155468,1.0,-0.2738270369835531,-0.241800555974264,0.2610498386009157,-0.541843716026143,-0.004974878809862655,0.2878126836097741,-0.4357318959012929,-0.11917994500860946,0.03520872837196617,-0.031049932531451527,0.11579089837826874,0.049634867144112194,0.3828860219466192,-0.0819477841088065,0.3197725460339947,0.09640122501774125,-0.028650633962196758,0.2695730878714855,0.04598359764398985,-0.12441897031914473,-0.003333246833628583,0.004107727355326099,-0.30287554121530275,0.3121529409710079,0.28683363321369654,0.23462866535478413,-0.6374005253022256,0.14042837564376545,0.22017122333449887,-0.22892023484607713,-0.1459378512457341,-0.1123467528891152,-0.06773327959468388,-0.6020438312441644,0.24322099999857189,0.031231519241554873,0.21979954018751155
Cerebellum_6_R,0.2974937112213771,0.10370663603034648,-0.2738270369835531,1.0,0.3957781595613752,-0.06670992155722358,0.3918186560511228,0.5572516843284814,-0.10975317564751765,0.808234010982328,0.12551423670107054,0.09995315215808491,0.36059245709819604,0.2511621294388027,0.7221814395666322,-0.03590794482951102,0.44048561411936604,-0.030524608765145927,0.0004314172503418529,0.30126520044762894,0.17540325948047464,0.27163039779400194,0.1860023565597238,0.5372774503267832,0.39584514900370954,0.14866723329047157,0.11551922093831656,0.21587217960721852,0.29291589019548997,0.6261030995966159,0.3613411272785317,-0.003350686312273308,0.7707274640678293,0.21335213011295678,0.5072298724755124,0.27580454299929813,0.46551465833508926,0.19769200034525142,0.5019897792853213,0.20658526679463943
Frontal_Mid_2_R,0.18088960616747568,0.2727952358925354,-0.241800555974264,0.3957781595613752,1.0,-0.2598289630820973,0.41798977699161194,0.5020938043684511,-0.26553182391432173,0.3054946409082545,0.15196632898430956,0.4176584623102732,0.6260170332955897,0.3013972831369999,0.4219912719609401,0.4522356689416925,0.6853647391146195,0.4329925799140413,-0.31700898869057564,0.3697665191660313,0.27981431365814435,0.2988616458078209,-0.06190284832649785,0.6229022610115592,0.705438645859337,0.6582163406603454,0.3679557930693009,0.49402378001103997,0.24813545986055122,0.5074204241913502,0.4791650737043107,0.06401399858472354,0.6795826694527906,0.15551909571566602,0.6529658671907596,0.24786923788041396,0.1387677205698805,0.1602923892001113,0.6766549220724192,0.45726530658772047
Parietal_Sup_L,-0.038422593199939764,-0.22227228559365655,0.2610498386009157,-0.06670992155722358,-0.2598289630820973,1.0,-0.4199966051666004,-0.056891922929028,0.12533908790468778,-0.1792985352550461,-0.0852039471827043,-0.1103490527081157,-0.0727046724329905,0.01520780669861409,0.051079472251862594,-0.03742473811324408,-0.08412471601552896,0.12121973191334008,0.3060922454186466,-0.09241741605026291,-0.0646108282128824,-0.08933609392355284,0.1137673596957448,-0.16821371255716022,-0.10398510494192,-0.28419374074349085,-0.06982226969973027,0.042430389412169325,0.11538611769761717,-0.27087126971627,-0.05934667196295622,0.025585709368161305,-0.21002421663090248,0.07893227187623954,-0.15045910846292201,-0.039766358670740375,-0.14517876716085668,0.07433103091012006,-0.15571328564738893,-0.013792877791377008
Cerebellum_Crus2_L,-0.004970582387180858,0.15525837185899527,-0.541843716026143,0.3918186560511228,0.41798977699161194,-0.4199966051666004,1.0,0.23569640888365007,-0.3922066177396145,0.5807777088049179,0.10926358484024627,-0.013224376717309996,0.11011988669550657,0.0710326507346843,0.08610631227325775,-0.1860495429695947,0.12478635483250378,-0.26603393119287355,-0.3437474759568477,0.0879947662925384,0.04201917572317443,0.0168209602227303,0.020027852832906236,0.325922131850999,0.15398315047363167,0.3804999882347206,-0.11120118028760931,0.060514028909044906,-0.2589334938552619,0.764759082276604,0.10018323152271985,-0.16766689460755588,0.4884659446802984,0.09887400185670805,0.32058209533476495,0.12871495770156816,0.4770243682060166,-0.16092560044916054,0.28417203305535044,0.09845231565771881
Temporal_Mid_R,0.5474515367686363,0.14803587944241894,-0.004974878809862655,0.5572516843284814,0.5020938043684511,-0.056891922929028,0.23569640888365007,1.0,0.021423831592200196,0.3878201681764954,0.44692789688680445,0.5853285393918917,0.5152228654936835,0.5867916660063145,0.694087219964018,0.5003554617564278,0.6605084001043183,0.4184488958114391,0.1473674306187704,0.6136122825980351,0.6178133889546275,0.4648563646305458,0.51339436401048,0.6923091119245824,0.750629677190921,0.17618947673701402,0.4817871529625912,0.6427067205379415,0.632555387724415,0.38204647627978383,0.8119417886402531,0.30430220060839,0.70698308976128,0.661034123280054,0.868835486962159,0.6267369403407432,0.3204220866027733,0.5091700286177879,0.7925362192135509,0.6742440823204205
Rectus_R,0.5448868919007828,-0.15709902496235253,0.2878126836097741,-0.10975317564751765,-0.26553182391432173,0.12533908790468778,-0.3922066177396145,0.021423831592200196,1.0,-0.1529362936898911,-0.007620063034051134,0.017597268051150063,-0.2965247075556457,0.13103752659363996,0.0625586769133261,0.25222794654518654,-0.16264456375217876,0.21724557542822476,0.24816004071659564,0.3345875762223101,0.32864335088875735,0.35216234005592795,-0.159128310741721,0.12951065153428304,0.0674204051607805,-0.182816926364526,0.35212171478821935,0.10869398695326227,0.27007487160987453,-0.4294210764222852,0.16126295128257956,0.46231409074611646,-0.11103426841574415,-0.11938268918216541,-0.06711900864493114,0.13648950717659936,-0.2896681844050947,0.07505475345377466,0.06926197869675835,0.016979944749580363
Cerebellum_Crus1_R,0.13266220583729846,-0.017190476072831726,-0.4357318959012929,0.808234010982328,0.3054946409082545,-0.1792985352550461,0.5807777088049179,0.3878201681764954,-0.1529362936898911,1.0,-0.010410361466642992,-0.1074385687109746,0.2428364623392669,0.11213823219994747,0.4134157131670017,-0.26362538397516383,0.2522015562089507,-0.2878254547711593,-0.028105315605665107,0.09737541664187846,-0.009864533844606213,0.03974253879499762,0.07727610086999785,0.3358935463279942,0.16418371034036564,0.14371646677104336,-0.0629206811516941,0.027132668471521963,-0.017555486603535436,0.7712292936634518,0.09543645747344716,-0.1482410652960195,0.6296886468186317,0.05041851830685827,0.3342925354009345,0.15535608873684245,0.6008163068815597,0.004447699143846861,0.2975581745426248,0.01392633655765282
Thal_MDl_R,0.313725360753206,0.2487769752228529,-0.11917994500860946,0.12551423670107054,0.15196632898430956,-0.0852039471827043,0.10926358484024627,0.44692789688680445,-0.007620063034051134,-0.010410361466642992,1.0,0.7089023844341906,-0.012039882917468728,0.2201140499787548,0.3726093401883136,0.3561905772985264,0.23478747513505424,0.23004711280838702,0.20203478572792327,0.5386830262152076,0.40538278886409,0.2569522892125333,0.6557149013666854,0.40597844982095377,0.5297682593136914,0.17808328316682406,0.12976155618360086,0.15210786555321104,0.36956853004897905,0.011508668978923097,0.5978670246388722,0.021788706624213706,0.36530729044354265,0.7223321231719592,0.46282491949008553,0.834657658382854,0.19038325383181215,0.34959039801994024,0.3119300500263047,0.40660477440325316
Thal_VPL_L,0.44455301140341325,0.19552697135950306,0.03520872837196617,0.09995315215808491,0.4176584623102732,-0.1103490527081157,-0.013224376717309996,0.5853285393918917,0.017597268051150063,-0.1074385687109746,0.7089023844341906,1.0,0.32267269905876755,0.451169464577204,0.5323531168087599,0.7443505160845121,0.5080551286057583,0.5500502397233795,0.07280124207565049,0.6095002328101407,0.6723029727276453,0.3768956876831076,0.39076498719507596,0.5649324250221257,0.6722051825967457,0.22300703750398504,0.40213953600938473,0.526001116820778,0.5453128203539446,-0.03154691029247591,0.7272015873687678,0.2521230605887459,0.4562683198159503,0.6035029152439932,0.6403880157216274,0.6175282050078824,-0.03721715020923661,0.42754482602818494,0.5840868866306106,0.6264830776046937
Supp_Motor_Area_L,0.0009889179086518003,0.14747112042263016,-0.031049932531451527,0.36059245709819604,0.6260170332955897,-0.0727046724329905,0.11011988669550657,0.5152228654936835,-0.2965247075556457,0.2428364623392669,-0.012039882917468728,0.32267269905876755,1.0,0.3242118740757188,0.413384188926614,0.32241496663170566,0.8588127127728983,0.29363680081920357,-0.023267992627616245,0.13623574335601304,0.14483143517734257,0.11093161393252779,0.15438716248345694,0.304340607874891,0.3964479965931076,0.07834790681249607,0.2262194275696965,0.37245156537711466,0.2990759450437958,0.31724886967560834,0.3029120945751565,0.06788912660304879,0.43771249751973124,0.23288140947138355,0.491031367999428,0.05532154351106993,0.15803879165554902,0.2742248382695889,0.5078705194737858,0.327210375787209
