,Frontal_Med_Orb_L,Vermis_7,Frontal_Mid_2_R,Occipital_Sup_L,Frontal_Inf_Oper_L,Insula_R,ACC_sup_R,VTA_R,Insula_L,Frontal_Sup_2_R,Thal_AV_R,Amygdala_R,Cerebellum_Crus1_R,Frontal_Sup_2_L,Thal_IL_L,Thal_MDl_R,Cerebellum_6_R,Precuneus_R,Fusiform_R,Thal_VA_R,Olfactory_R,Precuneus_L,Calcarine_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_R,ACC_pre_R,OFCpost_L,Heschl_R,Vermis_10,Precentral_R,Precentral_L,Postcentral_R,Occipital_Sup_R,Hippocampus_R,Cerebellum_10_L,Red_N_R,Temporal_Inf_R,Parietal_Sup_R,Thal_MGN_L,Cerebellum_9_R,Rectus_R,Frontal_Inf_Tri_R,ACC_sup_L,Rolandic_Oper_L,Paracentral_Lobule_R,Thal_IL_R,Thal_PuM_L,Thal_MDm_L,Thal_PuL_R,Supp_Motor_Area_L
Frontal_Med_Orb_L,1.0,0.1485303762914268,0.36342369951360676,-0.17968534953651796,0.10411988125931367,0.16659836318368074,0.09863798890982016,0.11766136285529559,0.055205527953333895,0.2297385789883467,0.020128087236705818,0.31013983044781107,0.1104384427158639,0.33392347301546,-0.026429491749602758,0.006060863429628867,0.003748689480780732,0.056028953540245056,-0.05988130013384162,0.19846341038407034,0.42428183827797394,0.025981312792937222,-0.1953124369036094,0.3551495584483816,0.3474325049957362,0.35979727989178606,0.07159610227985648,0.1475171245719998,-0.17362071077351032,0.30892271132765475,0.27463586754140096,0.18088352726613405,-0.1268092809246498,0.08154858534631904,0.22371810829455074,0.1427720977439095,-0.07067695814327371,0.027324366043801812,-0.1375756830281815,0.11579309061106144,0.01207350325999812,0.30604881783608895,0.07682493978089215,0.08277447640709017,0.1651900267165049,0.0924307239835496,-0.10456030351430097,0.07964481203857524,-0.03226646336547812,0.2677591200696136
Vermis_7,0.1485303762914268,1.0,0.4055109858381897,-0.5551094013886422,-0.23993196864265873,0.06919813180849153,0.26709943929031293,0.33401586853110243,-0.26945112697120543,0.08139239578349122,0.1841874518620137,0.29500448717164696,-0.21942616379357208,-0.0791336506500993,0.21406038948712203,0.2516422897963239,-0.3210622154723029,0.013254743052022266,-0.520695088470761,0.3128503397236048,0.13035238765693935,0.057756154292420946,-0.468601598093286,-0.058646923295738555,0.06676489272192367,0.007275523251247976,-0.31807426858128895,0.2439283121479356,0.1585786188984245,0.09201370506789264,0.07053444456298996,0.07764487408433927,-0.6452995760129503,0.23576398814941182,0.1902313813370811,0.1289883570619161,-0.41693260137778765,0.18759911527521259,-0.08639100399107935,0.22802583457673198,-0.04649763858359712,0.27254169965660746,0.04302589186367865,-0.2446125226960734,-0.10614205660271124,-0.14661043575945898,-0.08004864243141917,0.1419072093835264,0.023183045903001843,0.11070633338039024
Frontal_Mid_2_R,0.36342369951360676,0.4055109858381897,1.0,-0.036832728803317887,0.550401684400139,0.7807939656854584,0.6638543811234912,0.5633600445565232,0.49818062469790314,0.6380285625179458,0.4235838022598915,0.18656920849806333,-0.10706796470711408,0.5272925624279989,0.569083012360464,0.29446576958717285,-0.14005452472918511,0.5484049781695653,-0.11216071314542846,0.47286723036313105,0.4478903617833547,0.5105284979911444,0.08438602221300551,0.686691656030066,0.15789214276603658,0.563566336107682,0.35402971585973586,0.7320761082737178,0.02337008554771071,0.8196697765780391,0.7938382949670895,0.7376105858086524,-0.04559494165342772,0.5426937881386938,0.29196571232763124,0.4203624973751174,-0.1963342908626193,0.2896894927655292,0.17610025358198958,0.43591568226520194,-0.06615529337064978,0.8850569721953073,0.6471087454841241,0.4755343395923535,0.6099073983472095,0.39036187741462747,0.29457813407125816,0.6457026986521738,0.3630815623088296,0.7940243384645777
Occipital_Sup_L,-0.17968534953651796,-0.5551094013886422,-0.036832728803317887,1.0,0.673771261444618,0.2700723871509411,0.2360065694433609,0.09624593470562269,0.4783538465461892,-0.018543288593667936,0.18606182075448482,-0.3104091053518918,0.25995260957825556,-0.01680212210710279,0.16572674928802225,-0.2258054581964173,0.4444354450468225,0.6452776934542209,0.5685799259651872,-0.1348445994055954,-0.19597909084149437,0.6362484866199942,0.6693116525548626,0.15976540065816877,-0.22153214773155716,-0.15720145715160086,0.37985716983120554,0.07186241096678171,0.1440315719144547,0.2603251088413741,0.3241081729600563,0.44192422042803103,0.9439721378742287,0.078538290883808,-0.14707414195700808,-0.0916125869075014,0.4244945848690116,0.5414998461526862,0.23640627996451416,0.14961171753453995,-0.021863959901850107,0.10479286959043944,0.37823763307772906,0.49104824493972066,0.545771240618964,0.2700707445993706,0.3046297149423677,0.18400233278452652,0.1992322231544332,0.3636262564790659
Frontal_Inf_Oper_L,0.10411988125931367,-0.23993196864265873,0.550401684400139,0.673771261444618,1.0,0.6428605257750258,0.50543803541482,0.43983237378403656,0.7641885180016531,0.3857477628665107,0.37051588245818684,-0.14159789901043232,0.22348316871092835,0.42238422254912134,0.4271623627854401,0.07737786923052441,0.3087207383936729,0.8077395798569074,0.4037299931630698,0.21258896073359848,0.18855579615095974,0.7549200101739983,0.5800923382521116,0.6573655477764745,-0.14134184318031726,0.4008483363022693,0.5952395126068154,0.5961343022875388,0.10875877533363357,0.783630904892761,0.84137542702694,0.8330589641833301,0.6677129523033237,0.308030145138882,0.025737671786317643,0.2341936116911693,0.19780508641563024,0.5024879781706035,0.22809587542557117,0.37817500220281375,-0.0852374215902521,0.7109653610555625,0.6470243881703065,0.767383524611468,0.8941896360632048,0.42836164160794155,0.3509859325647882,0.5666783273093087,0.5437432699067621,0.7905741326365704
Insula_R,0.16659836318368074,0.06919813180849153,0.7807939656854584,0.2700723871509411,0.6428605257750258,1.0,0.5845679881253761,0.4366214888675273,0.7972481825192034,0.652829947108115,0.3365894241846536,-0.05042700083626839,-0.2070759378517602,0.5150407152948472,0.6485013944688925,0.24329675265896117,-0.15410161891482807,0.5361650264166944,0.08358640794469681,0.1833951322929763,0.4121455699958581,0.508534176276268,0.3694875644553022,0.5818223853673811,0.03649877199350419,0.4396888470113266,0.656690001129579,0.5903847464485195,0.09454007686093825,0.7126642784693163,0.6856763633208849,0.6914233592858742,0.24575235335062706,0.5226102438482092,0.2058220679249786,0.34570018237802314,0.087951327885627,0.20317900364428151,0.3484406038060263,0.3741786818684508,0.0010219978139875327,0.7324202501397793,0.6325752829617911,0.6928954104365459,0.6212762604618695,0.41034213027429,0.4323404764540885,0.6623406524921707,0.352107586275854,0.6805325449880048
ACC_sup_R,0.09863798890982016,0.26709943929031293,0.6638543811234912,0.2360065694433609,0.50543803541482,0.5845679881253761,1.0,0.6297889113512467,0.30347390851722367,0.35922859726067163,0.5885470545443638,0.07912241563022046,-0.020907194313811415,0.2294015864195573,0.6259333853291209,0.198545778312797,0.09573360700866637,0.5996966948843214,0.16181977532362418,0.5913425833748944,0.17376105756574328,0.6251510876894729,0.3090689690693931,0.4823276971133253,0.11246148108270414,0.28481762473536626,0.18833966660792992,0.5085960948882015,0.10196316720903915,0.5465054924200379,0.5703034664103415,0.6392852645239855,0.1857748475376143,0.7352363583876228,0.13052598507289367,0.38466063051572374,-0.3580343285990014,0.4090473533690534,0.3842237871278642,0.33810055969710906,-0.038590190024965866,0.5343423372835621,0.8795834265052084,0.4438921709537043,0.5045889780902284,0.5270888781374568,0.5608064768477712,0.6455676327790347,0.26236336183606607,0.697436923491386
VTA_R,0.11766136285529559,0.33401586853110243,0.5633600445565232,0.09624593470562269,0.43983237378403656,0.4366214888675273,0.6297889113512467,1.0,0.25028686578169995,0.0921962009726612,0.5596893254090876,0.09249992551271653,0.1218643197772214,0.032467632923035776,0.4410432658883383,0.38122596725283975,0.18015498881062064,0.5265313204724075,0.21111997810048552,0.5041461122195251,0.26140125089884486,0.557350015388155,0.35282241761218935,0.2812112715958277,-0.009779589996286737,0.21148036064848413,0.06800454296300384,0.5794373993203341,0.28589954652174704,0.5445051121614337,0.5140165280282346,0.595874656157263,0.0628256270973973,0.6789967036486071,0.12153727903967095,0.46365128220712615,-0.2700860166890169,0.350484546136341,0.1856790306294274,0.4258152879380913,-0.18563437060653984,0.5454340107246717,0.5434832663138468,0.42644958252260007,0.4995305149890721,0.4664134164050655,0.42973949910516424,0.6571360398876175,0.4521259353401631,0.6256796057080709
Insula_L,0.055205527953333895,-0.26945112697120543,0.49818062469790314,0.4783538465461892,0.7641885180016531,0.7972481825192034,0.30347390851722367,0.25028686578169995,1.0,0.5261985890272501,0.19834737211647738,-0.1395521319403524,0.021820853668527134,0.5176749726111975,0.48709997713619496,0.23252936614460218,0.056448274618471614,0.5477021346736721,0.3058507218269453,-0.09405449881473575,0.3565923716220844,0.47607328330215515,0.49307481837089345,0.5655892310270126,-0.12051225113656007,0.37497528539637603,0.7950426918073509,0.5146582771531845,0.10055951089606133,0.6797811124192895,0.6874112839412381,0.6529548779110059,0.5090813803063982,0.2092056646203879,0.007079460632612964,0.18471554427912848,0.3444889748613531,0.18556225555081896,0.21655055545767066,0.33534725036984053,0.0814548936014237,0.5979315817768963,0.4712835991385476,0.8057584231592069,0.7143711886645527,0.27371458066265736,0.2984789463454032,0.5130183716656862,0.4232690175222671,0.5818088595796668
Frontal_Sup_2_R,0.2297385789883467,0.08139239578349122,0.6380285625179458,-0.018543288593667936,0.3857477628665107,0.652829947108115,0.35922859726067163,0.0921962009726612,0.5261985890272501,1.0,-0.10407374495029288,-0.12056642065642356,-0.44846929658954016,0.8692384668906555,0.41009116763355086,-0.01648460006233454,-0.48850386034892807,0.11337928553656967,-0.3851337444791773,0.08822937811484008,0.3002576642016403,0.06159111035399255,-0.1708607902495605,0.7374796622121612,0.23616613583217014,0.6646772019093853,0.5784936823286462,0.28909081461401953,-0.11283642973366201,0.4242831420663517,0.5103174643262507,0.3044292821572403,-0.057696493820711035,0.0550422517285125,0.21950777331088017,0.059834094356506766,0.11261886199497168,-0.09088949273521678,0.31051463613541663,-0.14510927160943338,0.10822407574939989,0.5677206119530737,0.44728714444950474,0.27155346877554215,0.3037795604034139,0.20066531113425667,0.1778960530171212,0.3001652205741936,0.11386488117425689,0.34632907355661147
