,Thal_PuM_R,Precuneus_L,Cerebellum_8_R,VTA_R,OFCmed_R,Occipital_Sup_L,Vermis_1_2,Frontal_Sup_2_R,Raphe_D,Cuneus_R,Vermis_6,Occipital_Sup_R,ACC_sub_R,LC_L,Thal_VA_R,Occipital_Inf_L,Lingual_L,Pallidum_R,Thal_MGN_R,Vermis_9,Thal_PuA_L,Frontal_Sup_2_L,Thal_IL_R,Thal_VA_L,Frontal_Sup_Medial_L,OFCpost_L,Heschl_L,Cerebellum_3_R,VTA_L,Frontal_Med_Orb_L,Putamen_L,N_Acc_R,Cingulate_Post_L,Thal_IL_L,Cerebellum_6_L,Cuneus_L,Thal_PuA_R,Thal_PuL_R,Parietal_Inf_L,Temporal_Inf_L,Cingulate_Mid_R,Parietal_Sup_R,Thal_AV_L,Thal_MDl_R,Cerebellum_3_L,Precuneus_R,Vermis_7,ACC_sup_L,Red_N_R,Caudate_L,OFClat_L,Putamen_R,Parietal_Inf_R,Cerebellum_Crus1_R,Paracentral_Lobule_L,Thal_LP_R,Frontal_Inf_Orb_2_R,SN_pr_L,Fusiform_R,ACC_pre_L,Thal_MGN_L,Thal_AV_R,Hippocampus_L,Temporal_Pole_Mid_L,Thal_VL_R,OFCant_R,Frontal_Sup_Medial_R,Thal_PuM_L,Frontal_Mid_2_R,Lingual_R
Thal_PuM_R,1.0,0.5360896161409375,0.4196074638655489,0.5180172157250917,0.26572980251124995,0.2983203586533562,0.24433700242830533,0.3158165099208662,0.18632296631570971,0.18281030440883608,-0.10191250989903997,0.2904836211022648,0.06653260325533017,-0.37880623389558354,0.33431442362751207,-0.2954269363546792,0.4668547222677945,0.5594328055381731,0.42213342664370057,0.3385269616509193,0.7654665077799928,0.20346357927336783,0.5079142798008848,0.653158473552637,0.3384943570789482,0.43912716955478465,0.42403228008312505,0.7640226704244402,0.3881165871702395,-0.013422219895660961,0.6317811055155073,0.4068941016361239,0.5429846010466239,0.7129215581941459,0.23333633302613843,0.4669985759443488,0.7714216806081363,0.35411164505912335,0.6643174204974789,0.5890366244028425,0.6811376340796235,0.11094430580887767,0.30823178250747296,0.40771639851246116,0.6683925459788312,0.5125883323677575,-0.06864725533397267,0.7044754984223138,0.45775685303465286,0.49074910541010297,0.6451093506921727,0.6691930745816567,0.5230259515378941,-0.06905185454782695,0.5866680698327521,0.26813228545241174,0.3550197605509908,0.5740401686019659,0.3807810317326172,0.24456250650606703,0.4459147671601645,0.5916329023966619,0.7704722817594044,-0.03120822971468177,0.5588055291992148,-0.15573553766921558,0.305225407256598,0.703061516913485,0.564798898718827,0.5344367872644916
Precuneus_L,0.5360896161409375,1.0,0.6219324667245472,0.557350015388155,0.3598466955503235,0.6362484866199942,0.1414229086130842,0.06159111035399255,0.28076458863533044,0.536017394943152,-0.08422023460761736,0.5910781072479063,-0.035016431919187074,-0.19220168106015476,0.32450492130637004,-0.08400833114677314,0.6371621410812968,0.41207496589735143,0.47179804534681036,0.2662194996270477,0.353363099123457,-0.013379697576747044,0.2958701292176538,0.6091496846989704,0.3242110012395663,0.22891643438924728,0.5025348145824972,0.3044346349507787,0.19599594694217326,0.025981312792937222,0.4244001022637245,0.015533566000114516,0.8581871246220069,0.461447554784171,0.43334354371106254,0.5647424098233841,0.3430425428725772,0.3867043814862114,0.9159006831323614,0.5951375911178652,0.8258938158345744,0.8059156910204857,0.28109830681953435,0.14405867126437452,0.4215780871696625,0.9655212534041687,0.057756154292420946,0.6833499272630925,0.14731136657798694,0.37979030067965425,0.4794333946645395,0.42872524271711604,0.9048926941610685,0.3336039037260536,0.7515176044899763,0.286445468393669,0.0485882768090882,0.5481658663855197,0.4789691325884181,0.06752039613461788,0.22894006864712768,0.6193215275449006,0.3776623688512163,0.12048663611403711,0.5382941118111495,-0.3774304474224365,0.13480645438311356,0.4322202046898031,0.5105284979911444,0.6208715889790314
Cerebellum_8_R,0.4196074638655489,0.6219324667245472,1.0,0.4315606469069194,0.33069330492618804,0.288676699756064,0.25701319298798275,-0.42946127874332696,-0.058380447091749665,0.18682556058479846,0.0074300200052960196,0.3718452597017565,-0.08075211110800506,-0.46161086295006626,0.16625918544338147,-0.42958631544423925,0.25725229858586474,0.4178473299325321,0.4219650972664365,0.15412168657007397,0.30215877767453714,-0.45271347165657394,0.10203363237803427,0.4196935908887552,-0.12645765060601,-0.008295259913795407,0.2737593321219465,0.2512076892844616,0.46857373320736867,-0.025533442992311854,0.18922080412935063,-0.05449975636530977,0.44528406422478056,0.24198761023614088,-0.041543571778699696,0.42335531446768143,0.24200320616373802,0.22659932099989596,0.5524400197947565,0.6235754457968891,0.5139501833588332,0.507441224610894,0.4396180290244973,0.3088487236718663,0.43769309979743465,0.6137964493232708,0.049968872868306084,0.2442588964333629,0.231776776706649,-0.038692543588168024,0.5134266542233454,0.2654161740782553,0.6384710068650689,0.6298696064688777,0.43220094035735834,0.15325089833713476,-0.09735687237399693,0.3213766539763523,0.7251868858613011,-0.20745744295719165,-0.017657939602023585,0.6379755707077266,0.35265794907521336,0.13438403284231085,0.20794044441988402,-0.38365754464548285,-0.2977260432676371,0.1267770511333441,0.15725399562211326,0.4867064542698944
VTA_R,0.5180172157250917,0.557350015388155,0.4315606469069194,1.0,0.4868394066361501,0.09624593470562269,-0.16433935637123995,0.0921962009726612,-0.06157144208683444,0.0007393694068751467,0.14953257849378881,0.0628256270973973,0.05104247975092562,-0.42410359506491596,0.5041461122195251,-0.18479144145377077,0.2753220545411255,0.5510963248727748,0.02596477759790632,0.28444210216553195,0.25615117850712565,0.032467632923035776,0.4664134164050655,0.4509132583089437,0.2812112715958277,0.06800454296300384,0.46335662960569235,0.23081959011443146,0.48455205284606273,0.11766136285529559,0.29697213018430224,0.19444607702146394,0.5398846086782282,0.4410432658883383,0.04627072009570076,0.15847388733216974,0.23818604116745834,0.4521259353401631,0.5912098433986728,0.3220335933309987,0.6885140744980814,0.350484546136341,0.20217957946353368,0.38122596725283975,0.3631280651250195,0.5265313204724075,0.33401586853110243,0.5434832663138468,0.46365128220712615,0.5025906114150889,0.3960827546192444,0.3476979750675557,0.48063381836363217,0.1218643197772214,0.5334231682974906,0.3039565672182006,0.1990809239677603,0.48056440447327414,0.21111997810048552,0.10953772554686386,0.1856790306294274,0.5596893254090876,0.5712012956036885,-0.22144054155991078,0.5355307214753912,-0.158969551081297,0.13561971998951156,0.42973949910516424,0.5633600445565232,0.27966668746767154
OFCmed_R,0.26572980251124995,0.3598466955503235,0.33069330492618804,0.4868394066361501,1.0,-0.03801838204602998,-0.38001311932789894,-0.15439996489644292,-0.3232346921581463,-0.057132021614809764,0.0492278606232415,-0.05991237780278877,0.07579659846543581,-0.3596734953467549,0.5949043791137238,-0.3930632124548143,0.1408542238710137,0.437517007646818,-0.17196392141599282,0.2248416789744659,-0.03465285393546385,-0.15662215649049524,0.33011517686044933,0.34048883147645653,0.03251216866193072,-0.26557548682936716,0.4368091052023276,0.06737316051986321,0.5010768534118828,0.20875444431956205,-0.07923804511407147,0.13199705569601886,0.420690731162701,0.17091526108849037,-0.06197978314219181,0.08765395225420783,0.03424715387603026,0.2567677856131221,0.3595781111073773,0.173708099280611,0.5126457798333425,0.22928455029461742,0.265587579102089,0.25848717580893293,0.11797639661572339,0.2968961410777256,0.32432146206078466,0.23400544385356062,0.4679230549151298,0.34869576886331555,0.31499088546344034,-0.06025222137267439,0.3458332834044678,0.10125969555837638,0.231662828833848,0.035133465481031995,-0.14856210687991134,0.39313924608792633,0.15062845106718403,-0.08834778970319661,0.029062871504814552,0.5681283756530225,0.5026519604928433,-0.11208016192776574,0.36335849869433784,-0.1490936735332323,-0.10987739804858988,0.34134768920151587,0.3319321732340146,0.16133774360500913
Occipital_Sup_L,0.2983203586533562,0.6362484866199942,0.288676699756064,0.09624593470562269,-0.03801838204602998,1.0,0.3227885968435991,-0.018543288593667936,0.6748194670217759,0.9299579509987471,-0.510086261883108,0.9439721378742287,-0.12131900649267019,0.038281068629230856,-0.1348445994055954,-0.008007943075382558,0.8331661741945396,0.026318157943099288,0.667256921926276,-0.1248016649829811,0.4403944031993804,-0.01680212210710279,0.2700707445993706,0.33430515131032595,0.15976540065816877,0.37985716983120554,-0.09977221541983076,0.33910181922532345,-0.35422862701806057,-0.17968534953651796,0.4001028676395891,-0.02671033250391298,0.5041503864616222,0.16572674928802225,0.8075042855233324,0.7939343546144204,0.4240214070364595,0.1992322231544332,0.6666823685304143,0.6004027653500934,0.344310404213204,0.5414998461526862,0.1123136690209999,-0.2258054581964173,0.5153213085980479,0.6452776934542209,-0.5551094013886422,0.37823763307772906,-0.0916125869075014,0.16330598899194473,0.25008764751886076,0.19728766681570922,0.6876749752284321,0.25995260957825556,0.4033831464333054,0.22299113463382847,-0.15502091857312156,0.3488239103589494,0.5685799259651872,-0.09600607817046124,0.23640627996451416,0.18606182075448482,-0.1421416293602156,0.2347213854031669,0.21228696635944075,-0.3498001040066822,0.06874155561423591,0.3046297149423677,-0.036832728803317887,0.7795379657030778
Vermis_1_2,0.24433700242830533,0.1414229086130842,0.25701319298798275,-0.16433935637123995,-0.38001311932789894,0.3227885968435991,1.0,-0.032521699288025105,0.3333314692884861,0.19884083778319456,-0.18260376792142113,0.37359698959412235,-0.26405827406320953,-0.03506912075075881,-0.43305823770280094,-0.011272659663014738,0.14612569220580585,-0.017759221973607547,0.562435953464323,-0.04982271548798494,0.399522339277869,-0.1327788748630465,-0.3082244657113444,0.20694770326510778,-0.15308117484513123,0.3711743480634872,-0.15189922481443793,0.45401052516999313,-0.11497362135620554,-0.33743523560108685,0.28554700852685927,0.08780724505392573,-0.04060376812450315,0.14656567000891765,0.13043987354859354,0.3628693866181613,0.3245114802631726,-0.01318231033026187,0.16718208362699166,0.43694808592597034,-0.01570752983825866,0.04466024446606135,0.1552570505927893,0.041138496783578365,0.4409661381607875,0.1643086906583152,-0.38846348015082255,0.02866552293353035,-0.3367671607818083,-0.2762568028833485,0.18368564403014312,0.23792535635883572,0.22559230810668943,0.09750406277369529,0.15049341675307742,0.08542267457829578,0.0431848588710831,0.015633840411288527,0.32865003238399293,-0.10209372908102311,0.14811924225406328,-0.040363949526269434,-0.048151495626020044,0.2400807871468379,-0.1119637044487235,-0.17278894182222393,-0.10076825999460957,-0.07463982077862094,-0.1732262622751837,0.25527332959913895
Frontal_Sup_2_R,0.3158165099208662,0.06159111035399255,-0.42946127874332696,0.0921962009726612,-0.15439996489644292,-0.018543288593667936,-0.032521699288025105,1.0,0.15583557694517447,-0.020374234469540866,0.030077059235346048,-0.057696493820711035,0.1671436324197482,0.18353937825437655,0.08822937811484008,0.4876741973109286,0.010489490534291079,0.15620644368962794,0.012853669173521844,0.06914614794820605,0.2608974949824553,0.8692384668906555,0.20066531113425667,-0.05423418282252752,0.7374796622121612,0.5784936823286462,0.2626833691504865,0.3139124084850326,-0.17777849866499806,0.2297385789883467,0.597514840071407,0.37404155287275476,0.06410545720974659,0.41009116763355086,0.1533190584909452,-0.12590661123363586,0.24390739018508276,0.11386488117425689,0.12527793385694722,-0.16140512128415574,0.1250548320619492,-0.09088949273521678,-0.1667671582538206,-0.01648460006233454,0.13478887995327704,0.11337928553656967,0.08139239578349122,0.44728714444950474,0.059834094356506766,0.43954138033228424,0.10718230760427679,0.5636692164613496,-0.10096837179862558,-0.44846929658954016,0.4205011214404852,0.11938539376518845,0.6993277925788104,-0.01798571510161269,-0.3851337444791773,0.6793401604968635,0.31051463613541663,-0.10407374495029288,0.18098734856334373,0.017392726657659997,0.4148274627791736,0.41783835924546736,0.8653974799929373,0.1778960530171212,0.6380285625179458,-0.15751322048522182
Raphe_D,0.18632296631570971,0.28076458863533044,-0.058380447091749665,-0.06157144208683444,-0.3232346921581463,0.6748194670217759,0.3333314692884861,0.15583557694517447,1.0,0.6339239279785909,-0.38179090438070207,0.6124220108841815,-0.07341439476130229,0.17762353859104846,-0.17823997455611046,0.17244975250898367,0.6090893361209122,-0.22205494533279366,0.5691358405311369,-0.14933984139096854,0.38424165347858213,0.13658973303525193,0.15367132461011848,0.22849916549049182,0.16483083050366829,0.3738049947205937,-0.186762745600438,0.2840594207744139,-0.5312639048514098,-0.3506937913348134,0.33023590016461074,-0.24215355487002413,0.2478069441528004,0.12518319883604792,0.759449237044347,0.5073653330928496,0.49739968462429374,0.03968854736197653,0.38064039457688065,0.31767037160240164,0.1574122017577601,0.20468545681378073,-0.05396914051748847,-0.35332238828810786,0.40314943714746204,0.2737765798222749,-0.512873216784213,0.3638666831833314,-0.32067224664031735,0.275523103409031,0.018302744871092187,0.1457304751681318,0.3791580611430953,0.015013190613781561,0.12858252637677928,0.07421231552220658,-0.10173642655037186,0.18122889782144808,0.2553103717372968,0.09089477867860442,0.36945300708213813,-0.09454917917315799,-0.20576071003623322,0.09050882005660772,0.11616850275083553,-0.2665499430466468,0.13742862414834184,0.2627970212558275,-0.12288943400868893,0.48381685157471443
Cuneus_R,0.18281030440883608,0.536017394943152,0.18682556058479846,0.0007393694068751467,-0.057132021614809764,0.9299579509987471,0.19884083778319456,-0.020374234469540866,0.6339239279785909,1.0,-0.5575243019433186,0.9403815992958995,-0.058446572277854374,0.12103793308978071,-0.08908801934327146,-0.004370242684334376,0.8155745639616476,0.013018702853669581,0.5768321993963856,-0.17896013144525239,0.3676672868331956,0.10957349256696274,0.31184593670670546,0.2434094017832168,0.2768357832462672,0.34959545626806493,-0.18791486427501589,0.21912034787120896,-0.41996060291171633,-0.09860280229894422,0.3341288155973376,-0.007074238399514925,0.4325022575101825,0.03913108820233368,0.7978458162027905,0.7290945673918706,0.3730124451250755,0.1770027906781176,0.5349727338329379,0.4530995204618318,0.2605403306834143,0.4565580992162052,0.08382348578175165,-0.2504602256099764,0.4054068475020701,0.5615777226881125,-0.644826000451342,0.33012021953040954,-0.07241942201813814,0.2181114287178802,0.1226550449621832,0.11529056455603526,0.554276139514916,0.3558983630214742,0.34762933744425634,0.22334089587524414,-0.17450794158028096,0.31849512060811774,0.5817894644051234,-0.046343067390209325,0.16604140183666322,0.15719177423994848,-0.240900349671508,0.3205238210868748,0.22608676046772266,-0.1732844321764835,0.14726118623517684,0.2995852548454409,-0.09238063420628036,0.7894480281816976
